,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,migrated_from,locked_date
10,"['c++', 'gcc', 'visual-c++', 'clang']","{'account_id': 3649626, 'reputation': 7485, 'user_id': 3042117, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/dc6ec10c58136fc12bf83fe45001d672?s=256&d=identicon&r=PG', 'display_name': 'Iter Ator', 'link': 'https://stackoverflow.com/users/3042117/iter-ator'}",True,2821,4,6,1663572401,1569069968,1569070955.0,58040401,CC BY-SA 4.0,https://stackoverflow.com/questions/58040401/is-there-an-alternative-for-visual-c-declspec-property-declaration-attribut,Is there an alternative for visual C++ __declspec (property declaration attribute) in clang and gcc?,58482942.0,,,,
11,"['c++', 'c++11']","{'account_id': 4953422, 'reputation': 324, 'user_id': 3986729, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'mgr', 'link': 'https://stackoverflow.com/users/3986729/mgr'}",False,147,0,1,1663561426,1568883693,1568891845.0,58007393,CC BY-SA 4.0,https://stackoverflow.com/questions/58007393/is-it-possible-to-mark-a-class-as-non-final-derivable-in-c,Is it possible to mark a class as non-final/derivable in C++?,,,,,
12,"['c++', 'visual-c++', 'visual-studio-2013']","{'account_id': 6343956, 'reputation': 975, 'user_id': 4925067, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/47A2p.jpg?s=256&g=1', 'display_name': 'Frederik Petersen', 'link': 'https://stackoverflow.com/users/4925067/frederik-petersen'}",False,511,0,0,1663311320,1567528160,1663311320.0,57775576,CC BY-SA 4.0,https://stackoverflow.com/questions/57775576/visual-c-command-line-app-why-am-i-getting-error-c1069-cannot-read-compiler,Visual C++ Command line App: Why am I getting Error C1069: cannot read compiler command line on release build only?,,,,,
13,"['c++', 'opencv', 'video', 'computer-vision']","{'account_id': 16528033, 'reputation': 21, 'user_id': 12014244, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-v7SMg542aHw/AAAAAAAAAAI/AAAAAAAACIU/24JYfwMpge0/photo.jpg?sz=256', 'display_name': 'Rachit Sahgal', 'link': 'https://stackoverflow.com/users/12014244/rachit-sahgal'}",True,209,1,0,1662144950,1567510621,1662144950.0,57770923,CC BY-SA 4.0,https://stackoverflow.com/questions/57770923/videos-captured-from-an-iphone-camera-appear-to-be-rotated-by-90-degrees-by-open,Videos captured from an iPhone camera appear to be rotated by 90 degrees by OpenCV? How do I get around this?,58135660.0,,,,
14,"['c++', 'opencv', 'ubuntu']","{'account_id': 3868910, 'reputation': 4291, 'user_id': 3204706, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://i.stack.imgur.com/GIk0b.jpg?s=256&g=1', 'display_name': 'Tina J', 'link': 'https://stackoverflow.com/users/3204706/tina-j'}",False,3478,0,1,1662144924,1568757036,1662144924.0,57982505,CC BY-SA 4.0,https://stackoverflow.com/questions/57982505/opencv-4-cap-prop-pos-frames-was-not-declared-in-this-scope,OpenCV 4: &#39;CAP_PROP_POS_FRAMES&#39; was not declared in this scope,,,,,
15,"['c++', 'c', 'warnings', 'compiler-warnings', 'c++-faq']","{'account_id': 406349, 'reputation': 107362, 'user_id': 775806, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/XNd2C.png?s=256&g=1', 'display_name': 'n. m.', 'link': 'https://stackoverflow.com/users/775806/n-m'}",True,38039,20,342,1662117178,1567952435,1570558390.0,57842756,CC BY-SA 4.0,https://stackoverflow.com/questions/57842756/why-should-i-always-enable-compiler-warnings,Why should I always enable compiler warnings?,57842757.0,,,,
16,"['c++', 'opencv', 'contour', 'watershed']","{'account_id': 14041622, 'reputation': 63, 'user_id': 10142879, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bb33091c92c6b007aea1eb90be94f9ae?s=256&d=identicon&r=PG&f=1', 'display_name': 'VM4', 'link': 'https://stackoverflow.com/users/10142879/vm4'}",False,307,0,1,1661504299,1569230765,1661504299.0,58059392,CC BY-SA 4.0,https://stackoverflow.com/questions/58059392/problem-in-sorting-contours-according-to-contour-area-size,Problem in sorting contours according to contour area size,,,,,
17,"['c++', 'winapi', 'function-pointers', 'reinterpret-cast']","{'account_id': 15062967, 'reputation': 46742, 'user_id': 10871073, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ddBW9.png?s=256&g=1', 'display_name': 'Adrian Mole', 'link': 'https://stackoverflow.com/users/10871073/adrian-mole'}",True,2141,1,9,1660851377,1568719742,1570002705.0,57973305,CC BY-SA 4.0,https://stackoverflow.com/questions/57973305/what-s-the-best-way-to-cast-a-function-pointer-from-one-type-to-another,What’s the best way to cast a function pointer from one type to another?,73407654.0,,,,
18,"['c++', 'ndi']","{'account_id': 120692, 'reputation': 877, 'user_id': 313272, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/6b9ed6933546b6e98e2603f44265683f?s=256&d=identicon&r=PG', 'display_name': 'Castles', 'link': 'https://stackoverflow.com/users/313272/castles'}",False,135,1,0,1660571647,1569572660,1660571647.0,58130612,CC BY-SA 4.0,https://stackoverflow.com/questions/58130612/c-ndi-sdk-get-red-green-blue-values,C++ NDI SDK get Red Green Blue values,,,,,
19,"['c++', 'qt', 'dialog', 'resize']","{'account_id': 2907941, 'reputation': 1540, 'user_id': 2492801, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/WzzOZ.jpg?s=256&g=1', 'display_name': 'Benjamin Bihler', 'link': 'https://stackoverflow.com/users/2492801/benjamin-bihler'}",True,1010,2,1,1660147011,1569496023,,58115463,CC BY-SA 4.0,https://stackoverflow.com/questions/58115463/how-can-i-adjust-the-size-of-a-qdialog-according-to-its-title-length,How can I adjust the size of a QDialog according to its title length?,58117552.0,,,,
20,"['c++', 'iterator', 'c++17', 'ctad']","{'account_id': 29303, 'reputation': 9789, 'user_id': 79111, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/O31rq.png?s=256&g=1', 'display_name': 'Ton van den Heuvel', 'link': 'https://stackoverflow.com/users/79111/ton-van-den-heuvel'}",True,248,1,9,1660008751,1567454332,1660008751.0,57762121,CC BY-SA 4.0,https://stackoverflow.com/questions/57762121/is-stdmake-move-iterator-redundant-since-c17s-class-template-argument-deduc,Is std::make_move_iterator redundant since C++17&#39;s class template argument deduction?,57762216.0,,,,
21,"['c++', 'c++17']","{'account_id': 4163187, 'reputation': 9721, 'user_id': 3414900, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://i.stack.imgur.com/KlvbC.jpg?s=256&g=1', 'display_name': 'bartop', 'link': 'https://stackoverflow.com/users/3414900/bartop'}",True,2304,2,31,1659525403,1568617526,1568620020.0,57951871,CC BY-SA 4.0,https://stackoverflow.com/questions/57951871/is-there-sense-in-using-const-stdstring-arguments-in-c17,Is there sense in using const std::string&amp; arguments in C++17?,57952368.0,,,,
22,"['c++', 'eigen']","{'account_id': 11786379, 'reputation': 99, 'user_id': 8623933, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/72e3f6c0cad398068c8de817b17fc044?s=256&d=identicon&r=PG&f=1', 'display_name': 'pixelpress', 'link': 'https://stackoverflow.com/users/8623933/pixelpress'}",True,2920,1,1,1659100954,1568756480,,57982427,CC BY-SA 4.0,https://stackoverflow.com/questions/57982427/eigenquaternion-fromtwovectors-does-not-return-a-valid-quaternion,Eigen::Quaternion FromTwoVectors() does not return a valid quaternion,57983242.0,,,,
23,"['c++', 'ubuntu', 'googlemock']","{'account_id': 2716622, 'reputation': 53, 'user_id': 2343859, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/4172c2ff421af99c87d2610e6c98f908?s=256&d=identicon&r=PG', 'display_name': 'Moufid', 'link': 'https://stackoverflow.com/users/2343859/moufid'}",True,1114,1,0,1658882516,1567526381,1658882516.0,57775164,CC BY-SA 4.0,https://stackoverflow.com/questions/57775164/segfault-when-using-gmock,SegFault when using gmock,57788953.0,,,,
24,"['c++', 'memory-management', 'dll', 'cross-platform', 'smart-pointers']","{'account_id': 26955, 'reputation': 14047, 'user_id': 70600, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/6123be50f7a10302e7bf59dcdc5e2623?s=256&d=identicon&r=PG', 'display_name': 'ruipacheco', 'link': 'https://stackoverflow.com/users/70600/ruipacheco'}",True,577,3,3,1658841707,1569333553,1569336292.0,58082000,CC BY-SA 4.0,https://stackoverflow.com/questions/58082000/smart-pointer-wrapping-cotaskmemalloc-and-cotaskmemfree,Smart pointer wrapping CoTaskMemAlloc and CoTaskMemFree,,,,,
25,"['c++', 'rvalue', 'lvalue', 'intrusive-containers', 'boost-intrusive']","{'account_id': 14736829, 'reputation': 115, 'user_id': 10642602, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/29d8bd693d5ba7c7e3de0b729503b71c?s=256&d=identicon&r=PG&f=1', 'display_name': 'eight3', 'link': 'https://stackoverflow.com/users/10642602/eight3'}",True,270,2,0,1658770682,1569251479,1569256367.0,58065389,CC BY-SA 4.0,https://stackoverflow.com/questions/58065389/why-boost-intrusive-list-s-push-back-function-requires-lvalue,Why boost intrusive list &#39;s push_back function requires lvalue?,58067262.0,,,,
26,"['c++', 'windows', 'winapi', 'locale', 'facet']","{'account_id': 5937777, 'reputation': 4440, 'user_id': 4743275, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/XtOgO.jpg?s=256&g=1', 'display_name': 'KeyC0de', 'link': 'https://stackoverflow.com/users/4743275/keyc0de'}",True,1195,1,6,1658596407,1568633289,1568634941.0,57955871,CC BY-SA 4.0,https://stackoverflow.com/questions/57955871/how-to-output-and-input-utf8-or-utf16-unicode-text-in-windows-using-c,How to output and input UTF8 or UTF16 Unicode text in Windows using C++?,58088547.0,,,,
27,"['c++', 'utf-8', 'output', 'c++17', 'mingw-w64']","{'account_id': 4160052, 'reputation': 465, 'user_id': 3410351, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/ed2b2d5613219b23b33be57ab7ae43e0?s=256&d=identicon&r=PG', 'display_name': 'xamid', 'link': 'https://stackoverflow.com/users/3410351/xamid'}",True,580,1,-1,1658485957,1569329051,1571501037.0,58080623,CC BY-SA 4.0,https://stackoverflow.com/questions/58080623/display-large-utf-8-encoded-strings-for-standard-output-decently-despite-window,"Display large UTF-8-encoded strings for standard output decently, despite Windows or MinGW bugs",58099629.0,,,,
28,"['c++', 'c++17', 'option-type']","{'account_id': 8929, 'reputation': 57534, 'user_id': 16287, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/Ogq0T.png?s=256&g=1', 'display_name': 'Drew Dormann', 'link': 'https://stackoverflow.com/users/16287/drew-dormann'}",True,18761,4,57,1658417268,1568666915,1658417268.0,57964217,CC BY-SA 4.0,https://stackoverflow.com/questions/57964217/stdoptional-construct-empty-with-or-stdnullopt,std::optional - construct empty with {} or std::nullopt?,57964294.0,,,,
29,['c++'],"{'account_id': 16670118, 'reputation': 71, 'user_id': 12047800, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2329237954072199/picture?type=large', 'display_name': 'Trương Đức Vinh', 'link': 'https://stackoverflow.com/users/12047800/tr%c6%b0%c6%a1ng-%c4%90%e1%bb%a9c-vinh'}",True,16905,6,6,1658132921,1568180322,1568180653.0,57882748,CC BY-SA 4.0,https://stackoverflow.com/questions/57882748/remove-trailing-zero-in-c,Remove trailing zero in C++,57883193.0,,,,
30,"['python', 'c++', 'pybind11']","{'account_id': 1597979, 'reputation': 2301, 'user_id': 1479628, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/28786d848d6d02f535c37eb41c9336c4?s=256&d=identicon&r=PG', 'display_name': 'Frank', 'link': 'https://stackoverflow.com/users/1479628/frank'}",True,5405,1,10,1658025103,1568801358,1568877654.0,57990269,CC BY-SA 4.0,https://stackoverflow.com/questions/57990269/passing-pointer-to-c-from-python-using-pybind11,passing pointer to C++ from python using pybind11,57992245.0,,,,
31,"['c++', 'hashmap', 'hashtable']","{'account_id': 5979774, 'reputation': 351, 'user_id': 4699255, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/uPVhg.jpg?s=256&g=1', 'display_name': 'Vocaloidas', 'link': 'https://stackoverflow.com/users/4699255/vocaloidas'}",False,340,1,1,1657977660,1569192161,1569198192.0,58053917,CC BY-SA 4.0,https://stackoverflow.com/questions/58053917/inserting-new-key-value-pair-in-stdunordered-map-causes-an-out-of-range-exce,Inserting new key/value pair in std::unordered_map causes an &quot;out of range&quot; exception,,,,,
32,"['c++', 'date', 'datetime', 'formatting', 'unix-timestamp']","{'account_id': 8418064, 'reputation': 109, 'user_id': 6317752, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/83a0de73486773dae471666b4c2d6b81?s=256&d=identicon&r=PG&f=1', 'display_name': 'rick astley', 'link': 'https://stackoverflow.com/users/6317752/rick-astley'}",True,896,1,1,1657910551,1569718306,,58151361,CC BY-SA 4.0,https://stackoverflow.com/questions/58151361/c-ctime-to-date-formatted-string,C++ ctime() to date formatted string?,,,,,
33,"['c++', 'bazel']","{'account_id': 373216, 'reputation': 2197, 'user_id': 722720, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/7c5d12bf3c52daa8c9169da94ec021b8?s=256&d=identicon&r=PG', 'display_name': 'EFanZh', 'link': 'https://stackoverflow.com/users/722720/efanzh'}",False,1322,1,4,1657695089,1569216735,1569217588.0,58056166,CC BY-SA 4.0,https://stackoverflow.com/questions/58056166/how-to-ignore-warnings-from-external-c-dependency-headers-in-bazel,How to ignore warnings from external C++ dependency headers in Bazel,,,,,
34,"['c++', 'opencv', 'ffmpeg', 'mp4', 'fourcc']","{'account_id': 3868910, 'reputation': 4291, 'user_id': 3204706, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://i.stack.imgur.com/GIk0b.jpg?s=256&g=1', 'display_name': 'Tina J', 'link': 'https://stackoverflow.com/users/3204706/tina-j'}",True,19136,4,9,1657641337,1567616131,1567689281.0,57792837,CC BY-SA 4.0,https://stackoverflow.com/questions/57792837/opencv-ffmpeg-tag-is-not-supported-with-codec-id-12-and-format-mp4-mp4,OpenCV: FFMPEG: tag is not supported with codec id 12 and format &#39;mp4 / MP4,,,,,
35,"['c++', 'language-lawyer', 'c++17', 'one-definition-rule']","{'account_id': 3843574, 'reputation': 4451, 'user_id': 3537677, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/e05436d74c08a9efa7db860df7bbf01f?s=256&d=identicon&r=PG', 'display_name': 'Superlokkus', 'link': 'https://stackoverflow.com/users/3537677/superlokkus'}",True,722,2,1,1657529324,1569252763,1657529324.0,58065751,CC BY-SA 4.0,https://stackoverflow.com/questions/58065751/constexpr-variable-at-namespace-scope-with-and-without-explicit-inline-definitio,constexpr variable at namespace scope with and without explicit inline definition,58076313.0,,,,
36,"['c++', 'image-processing', 'intel-ipp']","{'account_id': 9697665, 'reputation': 19, 'user_id': 7193597, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-TGOtfae7eNY/AAAAAAAAAAI/AAAAAAAAABo/T-EnpF-XJcA/photo.jpg?sz=256', 'display_name': 'Ning Liu', 'link': 'https://stackoverflow.com/users/7193597/ning-liu'}",True,269,1,0,1656535275,1567755654,1568099717.0,57817717,CC BY-SA 4.0,https://stackoverflow.com/questions/57817717/resize-with-cubic-in-ipp-2019-slower-than-ipp-5-2,Resize with Cubic in IPP 2019 slower than IPP 5.2,,,,,
37,"['c++', 'initialization', 'stdarray']","{'account_id': 483357, 'reputation': 46199, 'user_id': 898348, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/13b3f2c44ba8449bd60764d07f4538dc?s=256&d=identicon&r=PG', 'display_name': 'Jabberwocky', 'link': 'https://stackoverflow.com/users/898348/jabberwocky'}",True,15279,6,44,1656233596,1567425401,1567468513.0,57756557,CC BY-SA 4.0,https://stackoverflow.com/questions/57756557/initializing-a-stdarray-with-a-constant-value,Initializing a std::array with a constant value,57757301.0,,,,
38,"['android', 'c++', 'opencv', 'java-native-interface']","{'account_id': 16403206, 'reputation': 23, 'user_id': 11848528, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f25f91025290a99c82f563895ff2e9dd?s=256&d=identicon&r=PG&f=1', 'display_name': 'K22', 'link': 'https://stackoverflow.com/users/11848528/k22'}",True,172,1,1,1655827239,1567775620,1655827239.0,57822746,CC BY-SA 4.0,https://stackoverflow.com/questions/57822746/how-can-i-change-this-project-to-a-opencv-realtime-face-detection-app,How can I change this project to a OpenCV realtime face detection app?,57832443.0,,,,
39,"['c++', 'templates', 'template-specialization']","{'account_id': 13192969, 'reputation': 23238, 'user_id': 9528746, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ukFe1.png?s=256&g=1', 'display_name': 'Max Langhof', 'link': 'https://stackoverflow.com/users/9528746/max-langhof'}",True,1592,4,22,1655503659,1567597378,1592644375.0,57787666,CC BY-SA 4.0,https://stackoverflow.com/questions/57787666/is-it-possible-to-implement-always-false-in-the-c-standard-library,Is it possible to implement always_false in the C++ standard library?,57788465.0,,,,
40,"['c++', 'integer', 'long-integer', 'long-long']","{'account_id': 16753891, 'reputation': 11, 'user_id': 12110316, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d5b989a212679b162627841ba4dc272d?s=256&d=identicon&r=PG&f=1', 'display_name': 'soulgood', 'link': 'https://stackoverflow.com/users/12110316/soulgood'}",True,820,3,1,1654826318,1569286775,,58071775,CC BY-SA 4.0,https://stackoverflow.com/questions/58071775/formatting-commas-into-a-long-long-integer,Formatting Commas into a long long integer,,,,,
41,"['c++', 'pointers', 'arduino']","{'account_id': 16758507, 'reputation': 13, 'user_id': 12113891, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/20b2bcec2e833f87e3e9584b094787cc?s=256&d=identicon&r=PG', 'display_name': 'Trobador', 'link': 'https://stackoverflow.com/users/12113891/trobador'}",True,133,4,0,1654674602,1569338162,1569338988.0,58083429,,https://stackoverflow.com/questions/58083429/how-do-these-pointers-point-to-more-than-just-a-char-or-a-byte,How do these pointers point to more than just a char or a byte?,58083517.0,1569371735.0,Needs more focus,,
42,"['c++', 'menu']","{'account_id': 10932988, 'reputation': 1, 'user_id': 8035524, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/eaa6a9ba36fb708c6979fafcb175e359?s=256&d=identicon&r=PG&f=1', 'display_name': 'Robert Cumming', 'link': 'https://stackoverflow.com/users/8035524/robert-cumming'}",False,723,1,0,1654654723,1568994993,,58031727,CC BY-SA 4.0,https://stackoverflow.com/questions/58031727/how-to-create-a-win32-application-with-windows-menus-using-c-and-using-the-vis,how to create a win32 application with Windows menus using c++ and using the visual studio 2017 menu editor,,,,,
43,"['c++', 'linker']","{'account_id': 13672663, 'reputation': 25, 'user_id': 9865010, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-j9ItDiv2pWg/AAAAAAAAAAI/AAAAAAAAADQ/p6fhmqMqX6E/photo.jpg?sz=256', 'display_name': 'James', 'link': 'https://stackoverflow.com/users/9865010/james'}",False,412,1,-1,1654349504,1567844297,1567845145.0,57831938,CC BY-SA 4.0,https://stackoverflow.com/questions/57831938/undefined-reference-to-classfunction-error-in-c-clion-ide,undefined reference to `Class::function()&#39; error in c++ [CLion ide],,,,,
44,"['c++', 'glsl', 'vulkan']","{'account_id': 10603483, 'reputation': 179, 'user_id': 7809720, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6f2cbd6d938b543de7f32e0c23622424?s=256&d=identicon&r=PG', 'display_name': 'Arthur Monteiro', 'link': 'https://stackoverflow.com/users/7809720/arthur-monteiro'}",True,236,1,0,1654099284,1569341490,1654099284.0,58084369,CC BY-SA 4.0,https://stackoverflow.com/questions/58084369/how-to-make-soft-shadows-with-cascaded-shadow-mapping,How to make soft shadows with cascaded shadow mapping?,58092989.0,,,,
45,"['c++', 'codeblocks', 'file-handling']","{'user_type': 'does_not_exist', 'display_name': 'user12067965'}",False,699,3,0,1653765313,1569070817,1653763461.0,58040540,CC BY-SA 4.0,https://stackoverflow.com/questions/58040540/deleting-specific-line-from-file-in-c,Deleting specific line from file in c++,,,,,
46,"['c++', 'clang']","{'account_id': 5239168, 'reputation': 318, 'user_id': 4186817, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://lh4.googleusercontent.com/-wnjlC6KZ-Kw/AAAAAAAAAAI/AAAAAAAAADs/lxDzfCFnFkQ/photo.jpg?sz=256', 'display_name': 'Enbugger', 'link': 'https://stackoverflow.com/users/4186817/enbugger'}",True,444,1,2,1653729686,1568938919,,58020261,CC BY-SA 4.0,https://stackoverflow.com/questions/58020261/how-do-i-check-if-my-clangd-compilation-database-is-valid,How do I check if my clangd compilation database is valid?,,,,,
