,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from,protected_date
10,"['c++', 'linux', 'multithreading', 'wine', 'pspice']","{'account_id': 7709020, 'reputation': 51, 'user_id': 5839038, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10153931842574669/picture?type=large', 'display_name': 'David', 'link': 'https://stackoverflow.com/users/5839038/david'}",False,246,2,1,1666355956,1635457615,69761330,CC BY-SA 4.0,https://stackoverflow.com/questions/69761330/poor-performance-with-ltspice-wine-on-multicore-linux-machine,Poor performance with LTSpice + Wine on multicore Linux machine,,,,,,
11,"['c++', 'runtime-error', 'stdvector']","{'account_id': 17521198, 'reputation': 33, 'user_id': 12707218, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/yl6qG.png?s=256&g=1', 'display_name': 'ghsoares', 'link': 'https://stackoverflow.com/users/12707218/ghsoares'}",False,1728,1,0,1665041142,1635535515,69773877,CC BY-SA 4.0,https://stackoverflow.com/questions/69773877/getting-throw-bad-array-new-lengthv-when-trying-to-use-stdvectorpush-back,getting &quot;_throw_bad_array_new_lengthv&quot; when trying to use std::vector::push_back inside a class,,,,,,
12,"['c++', 'wav', 'riff']","{'account_id': 22703346, 'reputation': 164, 'user_id': 16870448, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/db06bf089eca45e211d2a754245a5df3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Omar', 'link': 'https://stackoverflow.com/users/16870448/omar'}",False,310,1,1,1664882000,1635111240,69700935,CC BY-SA 4.0,https://stackoverflow.com/questions/69700935/how-to-read-correct-riff-wav-fmt-header-data-correctly-for-all-wav-files,How to read correct Riff Wav fmt Header data correctly for all wav files,,1635114588.0,,,,
13,"['c++', 'c++11', 'vim', 'c++17', 'neovim']","{'account_id': 22844138, 'reputation': 51, 'user_id': 16990695, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxjWJzqxd1WvrJRnDjqhhN3Nsuls85x5FE2fjA=k-s256', 'display_name': 'Sobhy Rzk', 'link': 'https://stackoverflow.com/users/16990695/sobhy-rzk'}",True,3446,3,3,1664756036,1635200683,69715424,CC BY-SA 4.0,https://stackoverflow.com/questions/69715424/debugging-c-in-neovim,Debugging C++ in (Neo)vim,,,,,,
14,"['c++', 'oop', 'constructor']","{'account_id': 3320560, 'reputation': 3, 'user_id': 2791843, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user2791843', 'link': 'https://stackoverflow.com/users/2791843/user2791843'}",True,153,2,0,1664680434,1633601278,69479278,CC BY-SA 4.0,https://stackoverflow.com/questions/69479278/working-of-parameterized-constructor-in-c-when-variables-are-initailized-vs-un,Working of parameterized constructor in C++ when variables are initailized vs uninitialized,69479353.0,1664680434.0,,,,
15,"['c++', 'networking', 'dll', 'lua', 'garrys-mod']","{'account_id': 20231512, 'reputation': 21, 'user_id': 16856435, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-KvEts-BFIAM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmMS9MoxnH9lQckt93YksDAtfnebA/s96-c/photo.jpg?sz=256', 'display_name': 'Stanislav Volkovich', 'link': 'https://stackoverflow.com/users/16856435/stanislav-volkovich'}",False,520,1,0,1664664943,1633656635,69489480,CC BY-SA 4.0,https://stackoverflow.com/questions/69489480/garrys-mod-how-to-send-a-dll,Garry&#39;s Mod: How to send a DLL?,,1664664943.0,,,,
16,"['c++', 'qt6', 'egl', 'eglfs']","{'account_id': 472928, 'reputation': 3921, 'user_id': 881712, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/852956f1a8a603a7d09d10e856f821be?s=256&d=identicon&r=PG', 'display_name': 'Mark', 'link': 'https://stackoverflow.com/users/881712/mark'}",True,517,2,0,1664468634,1633710074,69498953,CC BY-SA 4.0,https://stackoverflow.com/questions/69498953/could-not-create-the-egl-surface-error-0x300b,Could not create the egl surface: error = 0x300b,,1664218308.0,,,,
17,"['c++', 'visual-studio', 'msbuild']","{'account_id': 11340788, 'reputation': 877, 'user_id': 8314962, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/Sdz7p.jpg?s=256&g=1', 'display_name': 'olist', 'link': 'https://stackoverflow.com/users/8314962/olist'}",True,108,1,1,1663982681,1634811135,69660033,CC BY-SA 4.0,https://stackoverflow.com/questions/69660033/is-it-possible-to-only-link-a-project-without-compiling-when-using-visual-studio,Is it possible to only link a project without compiling when using visual studio 2019?,73834148.0,1634868187.0,,,,
18,"['c++', 'visual-studio-code']","{'account_id': 10963267, 'reputation': 35, 'user_id': 8055845, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9ecb6c31f859ff950d3cb37596d1ef26?s=256&d=identicon&r=PG&f=1', 'display_name': 'Zakys98', 'link': 'https://stackoverflow.com/users/8055845/zakys98'}",True,216,1,-1,1663757091,1633896171,69518605,CC BY-SA 4.0,https://stackoverflow.com/questions/69518605/vs-code-automatic-namespace-name-generating,VS Code - automatic namespace name generating,69718949.0,1663757091.0,,,,
19,"['c++', 'macos', 'visual-studio-code', 'macos-big-sur', 'macos-monterey']","{'account_id': 21468447, 'reputation': 33, 'user_id': 15817935, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhlUpVotX_kVEmWQDukoMLrW_VeCAECJ3zeUg8yig=k-s256', 'display_name': 'Ishu Dhariwal', 'link': 'https://stackoverflow.com/users/15817935/ishu-dhariwal'}",True,4380,4,2,1663598363,1635558943,69776246,CC BY-SA 4.0,https://stackoverflow.com/questions/69776246/vs-code-is-throwing-include-error-on-macos-monterey-it-worked-fine-on-bigsur,vs code is throwing #include error on macOS monterey it worked fine on BigSur,69801624.0,1635600021.0,,,,
20,"['c++', 'c++11', 'c++17', 'convex-hull', 'grahams-scan']","{'account_id': 19769721, 'reputation': 47, 'user_id': 14476934, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ed203813cae197eeb39e782cc8b9f114?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bernard Joshua', 'link': 'https://stackoverflow.com/users/14476934/bernard-joshua'}",True,129,1,1,1663576072,1634320845,69588858,CC BY-SA 4.0,https://stackoverflow.com/questions/69588858/convex-hull-not-returning-right-path-graham-scan-in-c,Convex Hull Not Returning Right Path ( Graham Scan in C++),70411275.0,1663576072.0,,,,
21,"['c++', 'cgal']","{'account_id': 391909, 'reputation': 52382, 'user_id': 752843, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://lh4.googleusercontent.com/-wVd00r-Qktg/AAAAAAAAAAI/AAAAAAAAAL4/nt5UY5EguKk/photo.jpg?sz=256', 'display_name': 'Richard', 'link': 'https://stackoverflow.com/users/752843/richard'}",True,226,1,1,1663558683,1633046343,69399922,CC BY-SA 4.0,https://stackoverflow.com/questions/69399922/how-does-one-obtain-the-area-of-a-general-polygon-set-in-cgal,How does one obtain the area of a general polygon set in CGAL?,69535139.0,1635629039.0,,,,
22,"['c++', 'cmake', 'build', 'c++17', 'build-system']","{'account_id': 23185886, 'reputation': 21, 'user_id': 17282992, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b5a8f5a28b123330e7a24121b78adcd?s=256&d=identicon&r=PG', 'display_name': 'jasonjje223', 'link': 'https://stackoverflow.com/users/17282992/jasonjje223'}",True,497,1,2,1663190843,1635537739,69774203,CC BY-SA 4.0,https://stackoverflow.com/questions/69774203/modern-cmake-c-version-with-set-property-or-target-compile-features,Modern CMake - C++ version with set_property or target_compile_features,,,,,,
23,"['c++', 'c', 'synchronization', 'semaphore']","{'account_id': 22500649, 'reputation': 21, 'user_id': 16697024, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/871cacdd38e9af9c80c26653a7007241?s=256&d=identicon&r=PG&f=1', 'display_name': 'dragon', 'link': 'https://stackoverflow.com/users/16697024/dragon'}",False,355,2,1,1662810511,1634732550,69645917,CC BY-SA 4.0,https://stackoverflow.com/questions/69645917/understanding-the-sem-open,Understanding the sem_open(),,1662810511.0,,,,
24,"['c++', 'python-3.x', 'opencv', 'onnx', 'tf2onnx']","{'account_id': 15470796, 'reputation': 648, 'user_id': 11160943, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/q1bHd.png?s=256&g=1', 'display_name': 'fisakhan', 'link': 'https://stackoverflow.com/users/11160943/fisakhan'}",True,5685,2,1,1662627633,1634656936,69633595,CC BY-SA 4.0,https://stackoverflow.com/questions/69633595/load-onnx-model-in-opencv-dnn,Load onnx model in opencv dnn,,1662454453.0,,,,
25,"['c++', 'gcc', 'module', 'g++', 'c++20']","{'account_id': 18610297, 'reputation': 55, 'user_id': 13562898, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/46d605b76b3b38ac551193fb955d607e?s=256&d=identicon&r=PG&f=1', 'display_name': 'ExZerminator', 'link': 'https://stackoverflow.com/users/13562898/exzerminator'}",False,1365,1,2,1662609459,1633733358,69502406,CC BY-SA 4.0,https://stackoverflow.com/questions/69502406/how-to-import-modules-using-gcc-g-11-1,How to import modules using gcc/g++ 11.1,,1633735356.0,,,,
26,['c++'],"{'account_id': 22811602, 'reputation': 115, 'user_id': 16962816, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/JOlZM.jpg?s=256&g=1', 'display_name': 'Abdul raheem', 'link': 'https://stackoverflow.com/users/16962816/abdul-raheem'}",True,253,1,-2,1662453136,1633924007,69520814,CC BY-SA 4.0,https://stackoverflow.com/questions/69520814/c-error-when-using-greater-than-equal-to-operators,c++ error when using greater than equal to operators,,1662453136.0,,,,
27,"['c++', 'unreal-engine4']","{'account_id': 3128707, 'reputation': 1789, 'user_id': 4342230, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1df316cc9223ed3f8c6b6de1e670889b?s=256&d=identicon&r=PG', 'display_name': 'GuyPaddock', 'link': 'https://stackoverflow.com/users/4342230/guypaddock'}",False,134,0,0,1662247869,1633909297,69519727,CC BY-SA 4.0,https://stackoverflow.com/questions/69519727/why-do-ue4-specs-crash-when-certain-variables-are-passed-into-the-it-lambda,Why do UE4 specs crash when certain variables are passed into the `It()` lambda?,,1662247869.0,,,,
28,"['c++', 'postgresql', 'c++17', 'qt5']","{'account_id': 23010413, 'reputation': 11, 'user_id': 17133009, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dc8a643f7b316294100ddec3774af108?s=256&d=identicon&r=PG', 'display_name': 'jerloi', 'link': 'https://stackoverflow.com/users/17133009/jerloi'}",True,84,2,1,1662044777,1634028491,69537561,CC BY-SA 4.0,https://stackoverflow.com/questions/69537561/no-result-in-qtsql-query,No result in QTSql query,73571639.0,1634044884.0,,,,
29,"['c++', 'emscripten']","{'account_id': 23106486, 'reputation': 11, 'user_id': 17215010, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3f8cfade0d7198b61d31761464733550?s=256&d=identicon&r=PG', 'display_name': 'ZVlad', 'link': 'https://stackoverflow.com/users/17215010/zvlad'}",False,206,1,1,1661912704,1634857698,69669698,CC BY-SA 4.0,https://stackoverflow.com/questions/69669698/cant-export-gl-functions-when-compiling-with-emscripten,Can&#39;t export gl functions when compiling with emscripten,,,,,,
30,"['c++', 'clang-format']","{'account_id': 8724585, 'reputation': 21, 'user_id': 6526583, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/2ffFT.jpg?s=256&g=1', 'display_name': 'Edward W', 'link': 'https://stackoverflow.com/users/6526583/edward-w'}",False,80,0,2,1661845087,1634257677,69578709,CC BY-SA 4.0,https://stackoverflow.com/questions/69578709/how-to-prevent-clang-format-from-adding-a-newline-before-define-lists,How to prevent clang-format from adding a newline before #define lists,,,,,,
31,"['c++', 'struct', 'enums', 'unions']","{'account_id': 19847708, 'reputation': 35, 'user_id': 14538936, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/bpM9e.jpg?s=256&g=1', 'display_name': 'Naitzirch', 'link': 'https://stackoverflow.com/users/14538936/naitzirch'}",True,70,1,1,1661803846,1633199898,69419229,CC BY-SA 4.0,https://stackoverflow.com/questions/69419229/what-type-do-i-use-in-the-constructor-to-initialize-a-member-variable-defined-by,What type do I use in the constructor to initialize a member variable defined by a nameless enum?,69419278.0,1661803846.0,,,,
32,"['c++', 'opencv', 'ubuntu-20.04']","{'account_id': 7661098, 'reputation': 159, 'user_id': 5806371, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3517507174ab3ad664597fe3ad2dafb8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Anuj', 'link': 'https://stackoverflow.com/users/5806371/anuj'}",False,543,1,0,1661799286,1634590059,69622409,CC BY-SA 4.0,https://stackoverflow.com/questions/69622409/resizing-image-leads-to-segmentation-fault-opencv-c,Resizing Image leads to Segmentation Fault OpenCV C++,,1661799286.0,,,,
33,"['c++', 'visual-studio', 'linker-errors', 'sfml']","{'account_id': 20224042, 'reputation': 46, 'user_id': 14832525, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-PVradYEtTKo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmeSlSB1OLAE9t58_MvvD1DzRv7zw/s96-c/photo.jpg?sz=256', 'display_name': 'noobi3', 'link': 'https://stackoverflow.com/users/14832525/noobi3'}",True,591,3,-1,1661516741,1634411096,69598755,CC BY-SA 4.0,https://stackoverflow.com/questions/69598755/sfml-unresolved-external-symbol,SFML unresolved external symbol,,1634414527.0,,,,
34,"['c++', 'cp']","{'account_id': 22980280, 'reputation': 9, 'user_id': 17107320, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzO8aAHBLraNZNCkSck3WvV4ynjr7kTRrZN4Uxc=k-s256', 'display_name': 'Godspeed', 'link': 'https://stackoverflow.com/users/17107320/godspeed'}",False,222,1,0,1661516537,1635674605,69785770,CC BY-SA 4.0,https://stackoverflow.com/questions/69785770/how-to-set-build-commands-in-geany-for-compiling-c-files-with-wsl,How to set build commands in geany for compiling c++ files with wsl?,,,,,,
35,"['c++', 'wxwidgets']","{'account_id': 21739703, 'reputation': 39, 'user_id': 16047242, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/52317c4ac56069eb2ee185628ed4732d?s=256&d=identicon&r=PG&f=1', 'display_name': 'rosenishere', 'link': 'https://stackoverflow.com/users/16047242/rosenishere'}",False,298,2,0,1661169918,1633438999,69451010,CC BY-SA 4.0,https://stackoverflow.com/questions/69451010/wxwidgets-c-run-function-that-changes-labels-text-every-second,WxWidgets C++: Run function that changes label&#39;s text every second,,,,,,
36,"['c++', 'exception', 'try-catch', 'ifstream']","{'account_id': 20943292, 'reputation': 95, 'user_id': 15429485, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjUtC8D_qanaG29M_s1b2-H00yJAGoRANTmOxl1=k-s256', 'display_name': 'Koon W', 'link': 'https://stackoverflow.com/users/15429485/koon-w'}",False,1145,2,-3,1660872045,1633287284,69427963,CC BY-SA 4.0,https://stackoverflow.com/questions/69427963/searching-text-file-for-name-and-id-pairs-try-catch-exceptions,"Searching text file for name and ID pairs, try/catch exceptions",,1633440873.0,,,,
37,"['c++', 'bluetooth', 'winsock2']","{'account_id': 20497439, 'reputation': 23, 'user_id': 15042034, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-htc1irqSR1o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclO49PlTm-3xAJiTn-NopM8dwDafw/s96-c/photo.jpg?sz=256', 'display_name': 'Isaac W', 'link': 'https://stackoverflow.com/users/15042034/isaac-w'}",True,134,1,-1,1660681526,1633667512,69490525,CC BY-SA 4.0,https://stackoverflow.com/questions/69490525/garbage-at-the-end-of-buffer-socket,Garbage at the end of buffer socket,69490949.0,1660681526.0,,,,
38,"['c++', 'gcc', 'attributes', 'c++20', 'unions']","{'account_id': 7468377, 'reputation': 868, 'user_id': 5677080, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/lfQXf.jpg?s=256&g=1', 'display_name': 'Martin Kopeck&#253;', 'link': 'https://stackoverflow.com/users/5677080/martin-kopeck%c3%bd'}",False,381,0,0,1660535225,1634814396,69660819,CC BY-SA 4.0,https://stackoverflow.com/questions/69660819/gcc-c-how-to-use-attribute-packed,GCC C++ - How to use __attribute__((packed)),,1660535225.0,,,,
39,"['c++', 'bluetooth', 'winsock']","{'account_id': 20497439, 'reputation': 23, 'user_id': 15042034, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-htc1irqSR1o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclO49PlTm-3xAJiTn-NopM8dwDafw/s96-c/photo.jpg?sz=256', 'display_name': 'Isaac W', 'link': 'https://stackoverflow.com/users/15042034/isaac-w'}",True,234,1,1,1660515427,1633564642,69473896,CC BY-SA 4.0,https://stackoverflow.com/questions/69473896/how-do-i-format-an-bluetooth-address-as-a-btaddr,How do I format an bluetooth address as a btaddr?,69474526.0,1660515427.0,,,,
40,"['python', 'c++', 'opencv', 'svm']","{'account_id': 4588899, 'reputation': 205, 'user_id': 3722796, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/0e133ba08f993805956a5184c87a73e1?s=256&d=identicon&r=PG&f=1', 'display_name': 'banerjk', 'link': 'https://stackoverflow.com/users/3722796/banerjk'}",False,69,1,2,1660344308,1634016407,69535463,CC BY-SA 4.0,https://stackoverflow.com/questions/69535463/opencv-svm-classifier-not-working-across-platform,OpenCV SVM Classifier not working across platform,,1660344308.0,,,,
41,"['c++', 'function', 'pointers']","{'account_id': 22831248, 'reputation': 84, 'user_id': 16979676, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ggmajw-ORigW3uIYST0C848rXAbHV2HdEzyiGbcpQ=k-s256', 'display_name': 'Daniel H Sagarra', 'link': 'https://stackoverflow.com/users/16979676/daniel-h-sagarra'}",True,136,1,-3,1660170915,1633872630,69515599,CC BY-SA 4.0,https://stackoverflow.com/questions/69515599/why-operator-address-of-has-not-effect,Why operator address-of has not effect?,69515826.0,1660170915.0,,,,
42,"['c++', 'c', 'xcode', 'cmake']","{'account_id': 15030181, 'reputation': 41, 'user_id': 10848567, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6aa3f6868b2e0b3cc63852cf5770443e?s=256&d=identicon&r=PG&f=1', 'display_name': 'RBM', 'link': 'https://stackoverflow.com/users/10848567/rbm'}",False,504,1,1,1660157768,1633765208,69504715,CC BY-SA 4.0,https://stackoverflow.com/questions/69504715/problem-with-compilers-when-using-cmake-to-build-a-xcode-project,Problem with compilers when using cmake to build a Xcode project,,1633766909.0,,,,
43,"['c++', 'visual-studio', 'visual-studio-2017', 'vcxproj']","{'user_type': 'does_not_exist', 'display_name': 'user11004963'}",True,104,1,1,1660117169,1634541032,69612041,CC BY-SA 4.0,https://stackoverflow.com/questions/69612041/simple-and-easy-way-to-move-visual-studio-vcxproj-files-from-one-folder-to-anoth,Simple and easy way to move visual studio vcxproj files from one folder to another,73302460.0,1660014765.0,,,,
44,"['c++', 'algorithm', 'search', 'data-structures']","{'account_id': 21024291, 'reputation': 11, 'user_id': 15449934, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ggeg4WhSHf9A-TYN1z37kDH2NNe0CxV_VDcISIVdA=k-s256', 'display_name': 'RAJA GOPALAN', 'link': 'https://stackoverflow.com/users/15449934/raja-gopalan'}",True,513,1,-4,1660039207,1633252731,69423539,CC BY-SA 4.0,https://stackoverflow.com/questions/69423539/for-searching-in-unsorted-array-which-is-best-linear-or-binary-search,For Searching in unsorted Array which is best - linear or binary search,,,,,,
45,['c++'],"{'account_id': 23185493, 'reputation': 13, 'user_id': 17282870, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/59828629de7ef48fe01f5b0dff52bdf8?s=256&d=identicon&r=PG&f=1', 'display_name': 'JIM Jordon', 'link': 'https://stackoverflow.com/users/17282870/jim-jordon'}",True,137,2,1,1659493833,1635570132,69776915,CC BY-SA 4.0,https://stackoverflow.com/questions/69776915/the-sum-of-1-a-a2-an,the sum of 1 + a + a^2 + _ _ _ + a^n,69777189.0,,,,,
46,"['c++', 'undefined', 'behavior']","{'account_id': 20383090, 'reputation': 1, 'user_id': 14952756, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/96a33f7d3a932a654363503eaa867146?s=256&d=identicon&r=PG&f=1', 'display_name': 'Salman Sk', 'link': 'https://stackoverflow.com/users/14952756/salman-sk'}",False,4223,2,0,1659027744,1633549547,69471864,CC BY-SA 4.0,https://stackoverflow.com/questions/69471864/c-runtime-error-line-1061-char-9-runtime-error-addition-of-unsigned-offset,C++ runtime error: Line 1061: Char 9: runtime error: addition of unsigned offset,,1633549907.0,,,,
47,"['c++', 'posix', 'message-queue']","{'account_id': 7143342, 'reputation': 51, 'user_id': 5460062, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://i.stack.imgur.com/4FbY3.png?s=256&g=1', 'display_name': 'Java Weenis', 'link': 'https://stackoverflow.com/users/5460062/java-weenis'}",False,131,1,0,1658943384,1634848193,69668411,CC BY-SA 4.0,https://stackoverflow.com/questions/69668411/how-to-reverse-direction-of-posix-message-queue-in-linux,How to &quot;reverse direction&quot; of POSIX message queue in Linux?,,,,,,
