,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,locked_date
10,"['c++', 'qt', 'signals']","{'account_id': 16596463, 'reputation': 145, 'user_id': 11993214, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2376705632384285/picture?type=large', 'display_name': 'Tojmak', 'link': 'https://stackoverflow.com/users/11993214/tojmak'}",True,4373,64378886.0,2,3,1666593660,1602780425,,64376214,CC BY-SA 4.0,https://stackoverflow.com/questions/64376214/how-qt-signals-with-parameters-works,How QT signals with parameters works,,,
11,"['c++', 'json', 'visual-studio-code', 'compiler-errors']","{'account_id': 17824571, 'reputation': 41, 'user_id': 12946104, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mC7mHYgFhelgsgQScHnHYCT8r4WEf9hOPMgNT8n=k-s256', 'display_name': 'Zlushiie', 'link': 'https://stackoverflow.com/users/12946104/zlushiie'}",True,9866,,5,4,1666536550,1603588117,1613423086.0,64519454,CC BY-SA 4.0,https://stackoverflow.com/questions/64519454/error-the-prelaunchtask-c-c-g-exe-build-active-file-terminated-with-exi,Error: &quot;The preLaunchTask &#39;C/C++: g++.exe build active file&#39; terminated with exit code 1&quot;,,,
12,"['c++', 'gtk', 'gtkmm']","{'account_id': 12260546, 'reputation': 121, 'user_id': 8948381, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/--B9gjBTCoE8/AAAAAAAAAAI/AAAAAAAABo8/yBGErAQ_9bk/photo.jpg?sz=256', 'display_name': 'DATALOT', 'link': 'https://stackoverflow.com/users/8948381/datalot'}",False,289,,1,1,1665828297,1602235846,1602282767.0,64277351,CC BY-SA 4.0,https://stackoverflow.com/questions/64277351/how-to-get-the-gtk3-theme-colors-in-c,How to get the GTK+3 theme colors in C++,,,
13,"['python', 'c++', 'cmake', 'pip', 'pybind11']","{'account_id': 13527004, 'reputation': 436, 'user_id': 9856082, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/SoLp7.jpg?s=256&g=1', 'display_name': 'd-man', 'link': 'https://stackoverflow.com/users/9856082/d-man'}",False,743,,1,0,1665648074,1603137579,1665648074.0,64434365,CC BY-SA 4.0,https://stackoverflow.com/questions/64434365/installing-shared-library-with-python-package-not-separately,Installing shared library with python package not separately,,,
14,"['c++', 'c++11', 'promise', 'future', 'condition-variable']","{'account_id': 4894651, 'reputation': 505, 'user_id': 3944685, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/eae7d71c4ebcaf4014e925ee69ee9b21?s=256&d=identicon&r=PG&f=1', 'display_name': 'bobbydev', 'link': 'https://stackoverflow.com/users/3944685/bobbydev'}",False,462,,1,4,1665222043,1602146281,,64258821,CC BY-SA 4.0,https://stackoverflow.com/questions/64258821/use-of-promise-and-future-to-provide-continous-periodic-notifications-from-one-t,Use of Promise and Future to provide continous periodic notifications from one thread to another,,,
15,"['c++', 'c', 'vcpkg']","{'account_id': 19828055, 'reputation': 1, 'user_id': 14523232, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-wCYeLin18Qo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmS_C3i8v7FoE5rQ_hreWh6ThHP8g/s96-c/photo.jpg?sz=256', 'display_name': 'tawosky', 'link': 'https://stackoverflow.com/users/14523232/tawosky'}",False,2143,,1,-1,1664343204,1604138947,1604203303.0,64620565,CC BY-SA 4.0,https://stackoverflow.com/questions/64620565/how-to-install-vcpkg-for-vs-code,how to install vcpkg for vs code?,,,
16,"['c++', 'winapi', 'webview2']","{'account_id': 7371638, 'reputation': 234, 'user_id': 6337792, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://lh5.googleusercontent.com/-tEOLy9okKnA/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rc9bLbCQ7r2eeQkWX2heY66QL-wqg/photo.jpg?sz=256', 'display_name': 'Stdugnd4ikbd', 'link': 'https://stackoverflow.com/users/6337792/stdugnd4ikbd'}",True,5087,64293869.0,2,1,1664204153,1602334765,1602338873.0,64293698,CC BY-SA 4.0,https://stackoverflow.com/questions/64293698/manage-delete-cookies-of-working-webview2,Manage/Delete cookies of working WebView2,,,
17,"['c++', 'segmentation-fault']","{'account_id': 17834293, 'reputation': 559, 'user_id': 12953642, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1ac9de93f387319fcd8e79ca18ece531?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bouraoui Al-Moez L.A', 'link': 'https://stackoverflow.com/users/12953642/bouraoui-al-moez-l-a'}",True,135,64174585.0,2,1,1663857470,1601651772,1663857470.0,64174082,CC BY-SA 4.0,https://stackoverflow.com/questions/64174082/whats-the-behaviour-of-number-and-why-it-compile,What&#39;s the behaviour of &quot;&quot; + number and why it compile?,,,
18,"['c++', 'arrays']","{'account_id': 18730832, 'reputation': 29, 'user_id': 13656264, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GijdvT1105NWw8fm0aKJUh5LmRR3affLuzu5-5BqQM=k-s256', 'display_name': 'Hermain Qadir', 'link': 'https://stackoverflow.com/users/13656264/hermain-qadir'}",False,520,,1,0,1663177186,1602262336,1602275711.0,64284249,CC BY-SA 4.0,https://stackoverflow.com/questions/64284249/check-if-an-array-of-integers-forms-a-palindrome,Check if an array of integers forms a palindrome?,,,
19,"['c++', 'multithreading', 'stdthread']","{'account_id': 7803521, 'reputation': 19276, 'user_id': 5902074, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c96c5238b54165bd4ec723f5096cd010?s=256&d=identicon&r=PG&f=1', 'display_name': 'zdenek', 'link': 'https://stackoverflow.com/users/5902074/zdenek'}",True,411,64411219.0,1,0,1663099909,1602940677,1603004224.0,64402901,CC BY-SA 4.0,https://stackoverflow.com/questions/64402901/synchronize-worker-threads-with-a-main-thread,Synchronize worker threads with a main thread,,,
20,"['c++', 'qt', 'c++11', 'clang', 'qmake']","{'account_id': 4153469, 'reputation': 6461, 'user_id': 3405291, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/lhpdM.png?s=256&g=1', 'display_name': 'user3405291', 'link': 'https://stackoverflow.com/users/3405291/user3405291'}",True,5835,64282324.0,1,5,1663093265,1602252434,1602260325.0,64281680,CC BY-SA 4.0,https://stackoverflow.com/questions/64281680/error-no-template-named-enable-if-t-in-namespace-std-did-you-mean-enable,error: no template named &#39;enable_if_t&#39; in namespace &#39;std&#39;; did you mean &#39;enable_if&#39;?,,,
21,"['c++', 'c++20', 'c++-coroutine']","{'account_id': 357282, 'reputation': 1948, 'user_id': 697352, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/m0SGp.jpg?s=256&g=1', 'display_name': 'mauve', 'link': 'https://stackoverflow.com/users/697352/mauve'}",True,1253,64272730.0,2,4,1662212212,1602191275,,64270626,CC BY-SA 4.0,https://stackoverflow.com/questions/64270626/turning-a-function-call-which-takes-a-callback-into-a-coroutine,Turning a function call which takes a callback into a coroutine,,,
22,"['c++', 'c++17', 'auto', 'stdany']","{'account_id': 14006241, 'reputation': 439, 'user_id': 10116322, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-IRzjK6a_jXA/AAAAAAAAAAI/AAAAAAAAADA/82AJ-NtEkvg/photo.jpg?sz=256', 'display_name': 'Ayan Bhunia', 'link': 'https://stackoverflow.com/users/10116322/ayan-bhunia'}",True,907,64431468.0,5,10,1661934674,1603124314,1603125560.0,64431350,CC BY-SA 4.0,https://stackoverflow.com/questions/64431350/what-is-the-difference-between-auto-and-stdany,What is the difference between `auto` and `std::any`?,,,
23,"['c++', 'recursion', 'backtracking']","{'account_id': 4155305, 'reputation': 425, 'user_id': 5993117, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/2a2ab9dbf07f91b03e0ff5d5db125465?s=256&d=identicon&r=PG&f=1', 'display_name': 'user_185051', 'link': 'https://stackoverflow.com/users/5993117/user-185051'}",True,1353,64162835.0,2,0,1661298484,1601526024,,64149017,CC BY-SA 4.0,https://stackoverflow.com/questions/64149017/leetcode-question-489-robot-room-cleaner-why-my-solution-doesnt-work,Leetcode question 489. Robot Room Cleaner - why my solution doesn&#39;t work,,,
24,"['c++', 'program-entry-point', 'arduino-c++', 'freestanding']","{'account_id': 7998123, 'reputation': 361, 'user_id': 6400436, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e480a6f4c4ac38046ff4ed20e4a43fa5?s=256&d=identicon&r=PG&f=1', 'display_name': 'christo', 'link': 'https://stackoverflow.com/users/6400436/christo'}",True,342,,2,6,1661273117,1603919826,1661273117.0,64581419,CC BY-SA 4.0,https://stackoverflow.com/questions/64581419/does-c-for-arduino-follow-the-standard,Does C++ for Arduino follow the standard?,,,
25,"['c++', 'c', 'pointers', 'typedef', 'function-declaration']","{'account_id': 10558134, 'reputation': 864, 'user_id': 7848740, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/acbcba634674de0384bec85593ba4e67?s=256&d=identicon&r=PG', 'display_name': 'NicoCaldo', 'link': 'https://stackoverflow.com/users/7848740/nicocaldo'}",True,1682,64478734.0,5,4,1660989083,1603353722,1603375334.0,64477810,CC BY-SA 4.0,https://stackoverflow.com/questions/64477810/understanding-how-to-use-typedef-void-function-with-pointers-as-params,Understanding how to use typedef void function with pointers as params,,,
26,"['c++', 'templates', 'clang', 'compiler-bug']","{'account_id': 97993, 'reputation': 82196, 'user_id': 265521, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/34a66330977044d70165288c56740d4b?s=256&d=identicon&r=PG', 'display_name': 'Timmmm', 'link': 'https://stackoverflow.com/users/265521/timmmm'}",True,511,,3,3,1660810438,1604067201,,64610024,CC BY-SA 4.0,https://stackoverflow.com/questions/64610024/duplicate-symbols-with-global-template-variable-using-clang,Duplicate symbols with global template variable using Clang,,,
27,"['c++', 'pointers', 'error-handling', 'return']","{'account_id': 19032130, 'reputation': 147, 'user_id': 13893999, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-tPg6xiITkoU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclKqHjZyMpHrd6-xYqz9v_FfDGaWQ/photo.jpg?sz=256', 'display_name': 'efe373', 'link': 'https://stackoverflow.com/users/13893999/efe373'}",True,1123,64517200.0,2,1,1660557087,1603566789,1603567236.0,64517100,CC BY-SA 4.0,https://stackoverflow.com/questions/64517100/in-a-non-void-function-i-want-to-return-nothing,In a non-void function I want to return nothing,,,
28,"['c++', 'macos', 'opencv', 'cmake', 'macos-catalina']","{'account_id': 7120877, 'reputation': 367, 'user_id': 5445548, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://i.stack.imgur.com/pmGVM.png?s=256&g=1', 'display_name': 'maracuja', 'link': 'https://stackoverflow.com/users/5445548/maracuja'}",False,382,,1,0,1660344470,1603757777,1660344470.0,64546675,CC BY-SA 4.0,https://stackoverflow.com/questions/64546675/build-of-opencv4-for-c-using-cmake-failing-after-upgrading-to-macos-catalina,Build of opencv4 for c++ using cmake failing after upgrading to macOS Catalina,,,
29,"['c++', 'json', 'browser', 'chromium', 'webui']","{'account_id': 19662642, 'reputation': 3, 'user_id': 14393771, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dd4c6dee5febf301e517ba505426b656?s=256&d=identicon&r=PG&f=1', 'display_name': 'sapir', 'link': 'https://stackoverflow.com/users/14393771/sapir'}",False,104,,0,0,1660277347,1603821851,1660277347.0,64560382,CC BY-SA 4.0,https://stackoverflow.com/questions/64560382/why-i-get-the-error-withsetjsonpath-function,why i get the error with&quot;SetJsonPath()&quot; function ..?,,,
30,"['c++', 'qt', 'qt5', 'qtablewidget', 'qtablewidgetitem']","{'account_id': 2340818, 'reputation': 117, 'user_id': 2052153, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/7de63f014266f504304a94fcba374708?s=256&d=identicon&r=PG', 'display_name': 'user2052153', 'link': 'https://stackoverflow.com/users/2052153/user2052153'}",True,1484,64210373.0,2,3,1660237036,1601835083,1601907425.0,64198197,CC BY-SA 4.0,https://stackoverflow.com/questions/64198197/how-to-prevent-too-aggressive-text-elide-in-qtableview,How to prevent too aggressive text elide in QTableview?,,,
31,"['python', 'c++', 'pytorch', 'onnx', 'torchscript']","{'account_id': 10704981, 'reputation': 169, 'user_id': 7879081, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1470461483010045/picture?type=large', 'display_name': 'Areeb Muzaffar', 'link': 'https://stackoverflow.com/users/7879081/areeb-muzaffar'}",False,1106,,0,3,1659987617,1603790634,1603801691.0,64551410,CC BY-SA 4.0,https://stackoverflow.com/questions/64551410/convert-pytorch-yolact-pth-model-for-deployment-in-c,Convert Pytorch Yolact (.pth) model for deployment in C++,,,
32,"['c++', 'winapi', 'uwp', 'include', 'c++-winrt']","{'account_id': 1262027, 'reputation': 514, 'user_id': 1336336, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/87630e8a479df607835310e9aed3dbec?s=256&d=identicon&r=PG', 'display_name': 'Force Gaia', 'link': 'https://stackoverflow.com/users/1336336/force-gaia'}",True,3279,65015068.0,3,3,1659972027,1601483838,,64142007,CC BY-SA 4.0,https://stackoverflow.com/questions/64142007/vs-2017-2019-cannot-find-the-winrt-header-files-even-on-a-fresh-solution,"VS 2017 &amp; 2019 cannot find the WinRT header files, even on a fresh solution",,,
33,"['python', 'c++', 'gcc', 'lto']","{'account_id': 3242593, 'reputation': 569, 'user_id': 2838922, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/ef317bd1ff0ecb831fac64c492557887?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alexandre Vandermonde', 'link': 'https://stackoverflow.com/users/2838922/alexandre-vandermonde'}",True,5733,64204906.0,2,2,1659752686,1601847359,,64200140,CC BY-SA 4.0,https://stackoverflow.com/questions/64200140/how-to-solve-lto1-fatal-error-bytecode-stream-in-file-generated-with-lt,How to solve: lto1: fatal error: bytecode stream in file &#39;...&#39; generated with LTO version 6.0 instead of the expected 7.1,,,
34,"['c++', 'c', 'embedded-linux']","{'account_id': 4867855, 'reputation': 1994, 'user_id': 4748326, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/6kUjW.jpg?s=256&g=1', 'display_name': 'Alexis', 'link': 'https://stackoverflow.com/users/4748326/alexis'}",True,889,64426157.0,4,0,1659641831,1603103732,1603145506.0,64425612,CC BY-SA 4.0,https://stackoverflow.com/questions/64425612/how-can-i-change-the-byte-orders-of-a-struct,How can I change the byte orders of a struct?,,,
35,"['c++', 'cuda', 'gpu', 'nvidia']","{'account_id': 15156582, 'reputation': 425, 'user_id': 10937159, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d811bd1970765e10eb2832f19a00e986?s=256&d=identicon&r=PG&f=1', 'display_name': 'Hball99', 'link': 'https://stackoverflow.com/users/10937159/hball99'}",True,463,,2,2,1659505979,1602055683,1602057741.0,64239253,CC BY-SA 4.0,https://stackoverflow.com/questions/64239253/writing-output-file-cuda-c,Writing Output File Cuda C++,,,
36,"['c++', 'c++17', 'autotools']","{'account_id': 6286174, 'reputation': 2666, 'user_id': 4885321, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c966387fdadf996e8a5d8a14bc482903?s=256&d=identicon&r=PG', 'display_name': 'alagner', 'link': 'https://stackoverflow.com/users/4885321/alagner'}",True,215,64384651.0,2,0,1659092793,1602832245,1602834890.0,64384496,CC BY-SA 4.0,https://stackoverflow.com/questions/64384496/autotools-stdcfs-false-positive,"autotools, stdc++fs, false positive",,,
37,"['c++', 'memory-management', 'dynamic-memory-allocation', 'c++20', 'allocator']","{'account_id': 2093561, 'reputation': 1624, 'user_id': 1862823, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/134ae6e532080f6012f7d24f6c843428?s=256&d=identicon&r=PG', 'display_name': 'NeomerArcana', 'link': 'https://stackoverflow.com/users/1862823/neomerarcana'}",True,806,64638327.0,3,3,1658654310,1604128143,1604143001.0,64619312,CC BY-SA 4.0,https://stackoverflow.com/questions/64619312/why-would-i-write-custom-allocators-for-stl-containers-when-i-could-just-overwri,Why would I write custom allocators for STL containers when I could just overwrite new and delete?,,,
38,"['c++', 'networking', 'arduino', 'mqtt', 'esp32']","{'account_id': 13994856, 'reputation': 44, 'user_id': 10107943, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Vwu74.jpg?s=256&g=1', 'display_name': 'Kaiiso', 'link': 'https://stackoverflow.com/users/10107943/kaiiso'}",True,218,,2,1,1658647824,1603456169,1658647824.0,64500028,CC BY-SA 4.0,https://stackoverflow.com/questions/64500028/how-to-find-pc-local-ip-from-esp32-to-use-mqtt-nodejs-server,How to find PC local IP from ESP32 to use MQTT nodejs server,,,
39,"['c++', 'qt', 'qml']","{'account_id': 16081986, 'reputation': 370, 'user_id': 11608607, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/113adbc15bea27441d0dbdeba5d011f6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alloces', 'link': 'https://stackoverflow.com/users/11608607/alloces'}",False,335,,1,1,1657730017,1602933978,1602934392.0,64401907,CC BY-SA 4.0,https://stackoverflow.com/questions/64401907/send-qml-registered-enum-to-c-method-as-parameter,Send qml registered enum to c++ method as parameter,,,
40,"['c++', 'winapi', 'autohotkey', 'windows-shell']","{'account_id': 17602579, 'reputation': 720, 'user_id': 12772224, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mBh_fYCJcSHFzsTRzAhaPGTD8wYw3KSPcal86Nr=k-s256', 'display_name': 'Mr. Doge', 'link': 'https://stackoverflow.com/users/12772224/mr-doge'}",False,309,,1,0,1657333734,1602270874,1602375258.0,64286041,CC BY-SA 4.0,https://stackoverflow.com/questions/64286041/show-in-folder-shopenfolderandselectitems-for-explorer-replacement-program,Show in folder (SHOpenFolderAndSelectItems) for explorer replacement program,,,
41,"['c++', 'opencv', 'memory-leaks', 'default-parameters']","{'account_id': 17194716, 'reputation': 2112, 'user_id': 12447766, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-8u4KF2jS0Fk/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdQ51MyoIeOHM14pz1QnUu7L-8N_Q/photo.jpg?sz=256', 'display_name': 'Burak', 'link': 'https://stackoverflow.com/users/12447766/burak'}",True,153,64308273.0,2,1,1657280973,1602442387,1657280973.0,64307876,CC BY-SA 4.0,https://stackoverflow.com/questions/64307876/would-calling-the-default-parameter-with-new-cause-memory-leak,Would calling the default parameter with `new` cause memory leak?,,,
42,"['c++', 'wchar', 'const-char']","{'account_id': 19799718, 'reputation': 1, 'user_id': 14501021, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gj4w869eUsfuf_A7Mx9NBWSC_MhRjdf2cA_s-9gHg=k-s256', 'display_name': 'Zsombor Varga', 'link': 'https://stackoverflow.com/users/14501021/zsombor-varga'}",False,163,,0,0,1657018040,1603379823,1603382190.0,64485343,,https://stackoverflow.com/questions/64485343/argument-of-type-wchar-is-incompatible-with-parameter-of-type-const-char,argument of type &quot;WCHAR *&quot; is incompatible with parameter of type &quot;const char *&quot;,1657018017.0,Duplicate,
43,"['c++', 'c++11', 'ros', 'subscriber', 'ros2']","{'account_id': 17103446, 'reputation': 23, 'user_id': 12376011, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/32da146a041dde40a2bbb4e325d3ae0b?s=256&d=identicon&r=PG&f=1', 'display_name': 'botamochi6277', 'link': 'https://stackoverflow.com/users/12376011/botamochi6277'}",False,3789,,3,0,1656901144,1604027724,1604028053.0,64602246,CC BY-SA 4.0,https://stackoverflow.com/questions/64602246/ros-2-subscriber-callback-with-a-method-of-member-class,ROS 2 Subscriber Callback with a method of member class,,,
44,"['c++', 'chrono']","{'account_id': 2124341, 'reputation': 665, 'user_id': 1886914, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/R9fhp.jpg?s=256&g=1', 'display_name': 'Kenny83', 'link': 'https://stackoverflow.com/users/1886914/kenny83'}",True,2117,64169432.0,1,6,1656374200,1601630952,1656372596.0,64169258,CC BY-SA 4.0,https://stackoverflow.com/questions/64169258/c-print-days-hours-minutes-etc-of-a-chronoduration,"C++ Print days, hours, minutes, etc. of a chrono::duration",,,
45,"['c++', 'templates', 'variadic', 'parameter-pack']","{'account_id': 11622112, 'reputation': 51, 'user_id': 8513086, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/607e5f4816b2cfdd602bb01624c57227?s=256&d=identicon&r=PG&f=1', 'display_name': 'Chih-Long Lin', 'link': 'https://stackoverflow.com/users/8513086/chih-long-lin'}",True,586,,2,5,1656365183,1602602854,,64338273,CC BY-SA 4.0,https://stackoverflow.com/questions/64338273/c-get-head-and-tail-of-a-parameter-pack,C++: Get head and tail of a parameter pack,,,
