,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,locked_date,migrated_from
10,"['c++', 'char', 'ascii']","{'account_id': 26618406, 'reputation': 1, 'user_id': 20237475, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu0Esry6nMogfH24p4SBOa3Yt2Kbz_RNFwUWpSJ0=k-s256', 'display_name': 'Jared Lee', 'link': 'https://stackoverflow.com/users/20237475/jared-lee'}",False,68,,1,0,1668788166,1665726083,1665727992.0,74064761,CC BY-SA 4.0,https://stackoverflow.com/questions/74064761/char-int-to-change-the-char-value,char + int to change the char value,,,,
11,"['javascript', 'c++', 'multithreading', 'qt', 'thread-safety']","{'account_id': 13210042, 'reputation': 317, 'user_id': 9540586, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2d970a23cb61a7876521fcfe76683a50?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nikita', 'link': 'https://stackoverflow.com/users/9540586/nikita'}",True,58,,2,0,1668774451,1666161636,1666252560.0,74120887,CC BY-SA 4.0,https://stackoverflow.com/questions/74120887/qjsengine-crashes-when-used-in-multithreading-program,QJSEngine crashes when used in multithreading program,,,,
12,"['python', 'c++', 'windows', 'visual-studio', 'debugging']","{'account_id': 4053177, 'reputation': 319, 'user_id': 3332023, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/4a4ebeeb007950ea4445ccf6a842b4ef?s=256&d=identicon&r=PG&f=1', 'display_name': 'axel_ande', 'link': 'https://stackoverflow.com/users/3332023/axel-ande'}",True,195,74486282.0,1,2,1668756959,1666681153,1667373194.0,74190153,CC BY-SA 4.0,https://stackoverflow.com/questions/74190153/no-symbols-loaded-for-c-in-mixed-debugging-from-python,No symbols loaded for c++ in mixed debugging (from Python),,,,
13,"['c++', 'winapi', 'mfc']","{'account_id': 19610851, 'reputation': 75, 'user_id': 14353389, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b27872717d98724855e36312f3c37ff8?s=256&d=identicon&r=PG&f=1', 'display_name': 'ssroreo', 'link': 'https://stackoverflow.com/users/14353389/ssroreo'}",True,54,74484343.0,1,0,1668739282,1666665297,1666668681.0,74188593,CC BY-SA 4.0,https://stackoverflow.com/questions/74188593/how-to-hide-borders-of-combox-and-only-show-the-bottom-border-in-mfc,How to hide borders of combox and only show the bottom border in MFC?,,,,
14,"['c++', 'reactivex', 'rxcpp']","{'account_id': 1481860, 'reputation': 4141, 'user_id': 1391055, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/edbeabd2b0a1788b369790c88bb00c01?s=256&d=identicon&r=PG', 'display_name': 'Nyaruko', 'link': 'https://stackoverflow.com/users/1391055/nyaruko'}",False,62,,1,0,1668718598,1664800684,,73935600,CC BY-SA 4.0,https://stackoverflow.com/questions/73935600/rxcpp-difference-bewteen-schedulers,RxCpp: Difference bewteen schedulers,,,,
15,['c++'],"{'account_id': 23891253, 'reputation': 317, 'user_id': 17890874, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/517865fbf6d7206ed7ec4da5feb8a3bd?s=256&d=identicon&r=PG', 'display_name': 'macomphy', 'link': 'https://stackoverflow.com/users/17890874/macomphy'}",False,74,,1,1,1668629359,1665394342,1665540114.0,74012811,CC BY-SA 4.0,https://stackoverflow.com/questions/74012811/what-is-the-difference-between-magically-winked-out-and-monotonic,what is the difference between &quot;magically winked out&quot; and monotonic?,,,,
16,"['c++', 'constructor', 'copy', 'handle', 'circular-reference']","{'account_id': 7266700, 'reputation': 11, 'user_id': 5541104, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a99b6bff02a5f00a468915ad5d149281?s=256&d=identicon&r=PG&f=1', 'display_name': 'Baris', 'link': 'https://stackoverflow.com/users/5541104/baris'}",True,45,74450384.0,1,1,1668535904,1666359332,,74154478,CC BY-SA 4.0,https://stackoverflow.com/questions/74154478/c-handle-class-circular-reference-problem,c++ Handle class circular reference problem,,,,
17,"['c++', 'ros2', 'gazebo-simu', 'ignition']","{'account_id': 19951585, 'reputation': 13, 'user_id': 14621120, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ebfe100a096a539447b947f69c558fcc?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gustavo_OL', 'link': 'https://stackoverflow.com/users/14621120/gustavo-ol'}",True,25,,1,0,1668527741,1666827029,,74215258,CC BY-SA 4.0,https://stackoverflow.com/questions/74215258/how-to-control-a-robot-from-gazebo-using-ros2-foxy,How to control a robot from Gazebo using ROS2 Foxy?,,,,
18,"['c++', 'root-framework']","{'account_id': 26614222, 'reputation': 1, 'user_id': 20233932, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu1mOMHWyBJehgEoKO0YLbQ20VHyifk-_oeEaPgp=k-s256', 'display_name': 'G&#246;ktuğ Bayram', 'link': 'https://stackoverflow.com/users/20233932/g%c3%b6ktu%c4%9f-bayram'}",False,50,,1,-1,1668514299,1667066146,1667067850.0,74247557,CC BY-SA 4.0,https://stackoverflow.com/questions/74247557/warning-failed-to-call-main-to-execute-the-macro,warning: Failed to call `main()` to execute the macro,,,,
19,"['c++', 'smart-pointers', 'unreal-engine5']","{'account_id': 15798171, 'reputation': 173, 'user_id': 11399462, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/SGBYy.jpg?s=256&g=1', 'display_name': 'Notrum666', 'link': 'https://stackoverflow.com/users/11399462/notrum666'}",False,84,,1,2,1668511922,1666621344,,74182556,CC BY-SA 4.0,https://stackoverflow.com/questions/74182556/dynamic-casting-for-tsharedptrtype,Dynamic casting for TSharedPtr&lt;Type&gt;,,,,
20,"['c++', 'visual-studio-code', 'arduino', 'raspberry-pi-pico']","{'account_id': 19777323, 'reputation': 48, 'user_id': 14482993, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gh9o-u27BFWb2meHM5SaXp-Ia6LD5yWL29Z_wDFJg=k-s256', 'display_name': 'Vishesh Varma', 'link': 'https://stackoverflow.com/users/14482993/vishesh-varma'}",False,30,,1,0,1668412777,1666331408,1666341377.0,74149257,CC BY-SA 4.0,https://stackoverflow.com/questions/74149257/vscode-configuration-for-arduino-reverts-back-to-default-after-compiling,vscode configuration for Arduino reverts back to default after compiling,,,,
21,"['c++', 'xcode', 'macos']","{'account_id': 20140273, 'reputation': 557, 'user_id': 14770245, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/99d276cd9b57fa85d63454504c6fd367?s=256&d=identicon&r=PG&f=1', 'display_name': 'James Smith', 'link': 'https://stackoverflow.com/users/14770245/james-smith'}",False,25,,1,-1,1668357822,1666140066,1666405889.0,74118758,CC BY-SA 4.0,https://stackoverflow.com/questions/74118758/in-an-xcode-c-project-how-do-you-access-the-project-assets-from-inside-the-app,In an XCode C++ project how do you access the project assets from inside the application?,,,,
22,"['c++', 'pointers']","{'account_id': 13682257, 'reputation': 87, 'user_id': 10657095, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Marc Miller', 'link': 'https://stackoverflow.com/users/10657095/marc-miller'}",True,82,,1,-2,1668336407,1667140902,1668336407.0,74254001,CC BY-SA 4.0,https://stackoverflow.com/questions/74254001/integer-pointer-only-has-correct-value-if-i-print-it,Integer pointer only has correct value if I print it,,,,
23,"['c++', 'clang']","{'account_id': 5607933, 'reputation': 221, 'user_id': 4441774, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4f0c6cbabf71bb8fd5ade7d1482b1484?s=256&d=identicon&r=PG', 'display_name': 'royshoo', 'link': 'https://stackoverflow.com/users/4441774/royshoo'}",True,241,,1,14,1668334901,1664982857,1668334457.0,73962573,CC BY-SA 4.0,https://stackoverflow.com/questions/73962573/no-integer-overflow-warning-reported-in-the-call-to-constructor,No integer overflow warning reported in the call to constructor,,,,
24,"['c++', 'grpc']","{'account_id': 5316235, 'reputation': 3118, 'user_id': 10576494, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/I8f5Y.jpg?s=256&g=1', 'display_name': 'Elad Maimoni', 'link': 'https://stackoverflow.com/users/10576494/elad-maimoni'}",False,28,,1,0,1668216045,1666541044,1666542386.0,74172666,CC BY-SA 4.0,https://stackoverflow.com/questions/74172666/how-to-cancel-a-server-side-streaming-request-if-streaming-never-starts,How To Cancel A Server Side Streaming Request if Streaming Never Starts?,,,,
25,"['c++', 'qt', 'cmake']","{'account_id': 1243735, 'reputation': 2342, 'user_id': 3998319, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/RFyfw.jpg?s=256&g=1', 'display_name': 'katang', 'link': 'https://stackoverflow.com/users/3998319/katang'}",False,88,,1,-1,1668183296,1666545431,1668183296.0,74173224,CC BY-SA 4.0,https://stackoverflow.com/questions/74173224/how-can-i-remove-entirely-qt-from-ubuntu-22-04,How can I remove entirely Qt from Ubuntu 22.04?,,,,
26,"['c++', 'unreal-engine4']","{'account_id': 25182419, 'reputation': 37, 'user_id': 19023782, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/92cd984066158ca8a3ca9e370d12cc5e?s=256&d=identicon&r=PG', 'display_name': 'getLucky90', 'link': 'https://stackoverflow.com/users/19023782/getlucky90'}",False,51,,0,0,1668178803,1666647048,1666688348.0,74187006,CC BY-SA 4.0,https://stackoverflow.com/questions/74187006/why-is-unreal-engine-crashing-and-throwing-me-an-exception-when-trying-to-add-dy,Why is unreal engine crashing and throwing me an exception when trying to add dynamic to a mesh?,,,,
27,"['c++', 'tensorflow', 'gpu', 'cpu']","{'account_id': 10729392, 'reputation': 111, 'user_id': 7895963, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7739df04294fd3b720eaedef692d896b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tides', 'link': 'https://stackoverflow.com/users/7895963/tides'}",True,61,74400412.0,1,1,1668158838,1666095539,,74110853,CC BY-SA 4.0,https://stackoverflow.com/questions/74110853/how-to-check-if-tensorflow-is-using-the-cpu-with-the-c-api,How to check if Tensorflow is using the CPU with the C++ API?,,,,
28,"['c++', 'templates', 'iterator', 'istream-iterator', 'input-iterator']","{'account_id': 23710796, 'reputation': 41, 'user_id': 17732696, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/XvB3W.jpg?s=256&g=1', 'display_name': 'OussamaOz', 'link': 'https://stackoverflow.com/users/17732696/oussamaoz'}",False,84,,1,1,1668157617,1666026314,1666081488.0,74100780,CC BY-SA 4.0,https://stackoverflow.com/questions/74100780/random-access-iterator-and-input-iterator,random-access-iterator and input iterator,,,,
29,"['c++', 'arrays', 'stack', 'postfix-notation', 'infix-notation']","{'account_id': 26625387, 'reputation': 1, 'user_id': 20243512, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/xXCVW.png?s=256&g=1', 'display_name': 'evantuazon', 'link': 'https://stackoverflow.com/users/20243512/evantuazon'}",False,56,,0,0,1668145795,1665849313,1668145795.0,74080932,CC BY-SA 4.0,https://stackoverflow.com/questions/74080932/made-an-infix-to-postfix-converter-and-calculator-using-an-array-based-stack-in,Made an infix to postfix converter and calculator using an array based stack in c++. The calculations don&#39;t work. Only returns the top of the stack,,,,
30,"['c++', 'compiler-optimization', 'undefined-behavior', 'integer-overflow', 'integer-arithmetic']","{'account_id': 26276212, 'reputation': 845, 'user_id': 19945342, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/95bf58bef385fb321fc0b5c102fffe2c?s=256&d=identicon&r=PG', 'display_name': 'mbang', 'link': 'https://stackoverflow.com/users/19945342/mbang'}",True,7062,74112037.0,4,64,1668095367,1666037115,1668095367.0,74102654,CC BY-SA 4.0,https://stackoverflow.com/questions/74102654/compiler-optimizations-may-cause-integer-overflow-is-that-okay,Compiler optimizations may cause integer overflow. Is that okay?,,,,
31,"['c++', 'string', 'compiler-errors', 'substring']","{'account_id': 23230679, 'reputation': 5, 'user_id': 17321497, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyBlaal9KHgNaPZ0TnyTBR4N4g1XQmwAI0opz82NA=k-s256', 'display_name': 'Luka Pavlov', 'link': 'https://stackoverflow.com/users/17321497/luka-pavlov'}",True,81,74244239.0,2,0,1668089720,1667034560,,74244075,,https://stackoverflow.com/questions/74244075/when-i-try-to-use-string-insert-it-tells-me-there-is-a-length-error-at-memory,When I try to use string.insert() it tells me there is a length error at memory location... How do I fix this?,1667551401.0,Not suitable for this site,,
32,"['c++', 'xml', 'sax', 'libxml2', 'tcpserver']","{'account_id': 22552756, 'reputation': 61, 'user_id': 16741625, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gih5J7JW44vKXgJDsRfVwz7qIysaFbdH_LbYBrSaA=k-s256', 'display_name': 'Daniel Anderson', 'link': 'https://stackoverflow.com/users/16741625/daniel-anderson'}",True,33,,1,-1,1668089078,1667139434,1668089078.0,74253801,CC BY-SA 4.0,https://stackoverflow.com/questions/74253801/how-to-detect-end-of-an-xml-and-begining-of-new-one-using-libxml2,How to detect end of an xml and begining of new one using libxml2,,,,
33,"['c++', 'lcm']","{'account_id': 26504416, 'reputation': 3, 'user_id': 20140799, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/RpwyS.jpg?s=256&g=1', 'display_name': 'Mehedi Hasan Rifat', 'link': 'https://stackoverflow.com/users/20140799/mehedi-hasan-rifat'}",True,48,73923186.0,1,0,1668087034,1664680758,1668087034.0,73923148,CC BY-SA 4.0,https://stackoverflow.com/questions/73923148/why-does-the-output-always-show-0-as-lcm,Why does the output always show 0 as LCM?,,,,
34,"['c++', 'algorithm']","{'account_id': 462742, 'reputation': 15706, 'user_id': 865220, 'user_type': 'registered', 'accept_rate': 23, 'profile_image': 'https://www.gravatar.com/avatar/7d3b1b447b8ec429be00d231c2360e9e?s=256&d=identicon&r=PG', 'display_name': 'ishandutta2007', 'link': 'https://stackoverflow.com/users/865220/ishandutta2007'}",False,128,,2,-3,1668079319,1666240450,1668078280.0,74134479,CC BY-SA 4.0,https://stackoverflow.com/questions/74134479/given-a-number-find-the-next-higher-number-containing-only-certain-digits,Given a number find the next higher number containing only certain digits,,,,
35,"['c++', 'windows', 'mfc', 'labview']","{'account_id': 23843878, 'reputation': 3, 'user_id': 17848610, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJy3BSiwl8XIOyRWMT-QGMJTUfZNSf04wK_9eopE=k-s256', 'display_name': 'madhawa polkotuwa', 'link': 'https://stackoverflow.com/users/17848610/madhawa-polkotuwa'}",True,67,74204807.0,2,0,1668067662,1666765296,1668067662.0,74203442,CC BY-SA 4.0,https://stackoverflow.com/questions/74203442/createprocess-on-top-of-other-windows-applications-mfc,CreateProcess on top of other windows applications MFC,,,,
36,"['c++', 'abstract-class', 'circular-dependency']","{'account_id': 26656252, 'reputation': 19, 'user_id': 20269741, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu3YinYureEssTST5WkzfP5d5QiomQyXdo_5PpjX_A=k-s256', 'display_name': 'guiege', 'link': 'https://stackoverflow.com/users/20269741/guiege'}",True,61,74154344.0,2,-2,1668067092,1666358032,1666393829.0,74154181,CC BY-SA 4.0,https://stackoverflow.com/questions/74154181/why-isnt-this-abstract-class-working-with-circular-dependency,Why isn&#39;t this abstract class working with circular dependency?,,,,
37,"['c++', 'templates', 'c++20']","{'account_id': 1118715, 'reputation': 15201, 'user_id': 1107474, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/1ed1a5311fa24392fb6c5f90f680c8dd?s=256&d=identicon&r=PG', 'display_name': 'mezamorphic', 'link': 'https://stackoverflow.com/users/1107474/mezamorphic'}",False,41,,0,2,1668014729,1666355402,,74153651,CC BY-SA 4.0,https://stackoverflow.com/questions/74153651/c-crtp-base-class-cannot-return-type-defined-in-the-derived-class,C++ CRTP Base class cannot return type defined in the derived class,,,,
38,"['c++', 'pointers', 'linked-list']","{'account_id': 26778264, 'reputation': 1, 'user_id': 20373541, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu0DBtUf9RkhY1MoBh50xuixxoxa_oA6lPnacvxp=k-s256', 'display_name': 'fakeha ', 'link': 'https://stackoverflow.com/users/20373541/fakeha'}",False,37,,0,-1,1668010553,1667153223,1667161288.0,74255547,CC BY-SA 4.0,https://stackoverflow.com/questions/74255547/dividing-values-in-a-linked-list-by-2,Dividing values in a linked list by 2,,,,
39,"['c++', 'boost', 'binance', 'boost-beast', 'boost-beast-websocket']","{'account_id': 21018536, 'reputation': 43, 'user_id': 15445436, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/de3f4c5a238a8b37f5da178ad39937e1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Naseef ', 'link': 'https://stackoverflow.com/users/15445436/naseef'}",False,65,,0,-2,1668009829,1666857744,1666861657.0,74218667,CC BY-SA 4.0,https://stackoverflow.com/questions/74218667/segmentation-default-core-dumped-while-passing-handlers-to-async-read,Segmentation default (Core dumped) while passing handlers to async_read,,,,
40,"['c++', 'xcode', 'allocation', 'instruments']","{'account_id': 26400546, 'reputation': 9, 'user_id': 20051077, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/ACNPEu9kS8tx0R5hmUfYlyFtM5ZGZAd36_ShXrnMnJD07JA=k-s256', 'display_name': 'Sethu MJ', 'link': 'https://stackoverflow.com/users/20051077/sethu-mj'}",True,98,,2,0,1668009222,1667215316,,74262518,CC BY-SA 4.0,https://stackoverflow.com/questions/74262518/why-required-kernel-recording-resources-are-in-use-by-another-document-error-i,Why &quot;Required kernel recording resources are in use by another document&quot; error is thrown when I try to run Executable in Instruments-&gt;Allocations?,,,,
41,"['c++', 'arrays', 'slice', 'c++20', 'std-ranges']","{'account_id': 4483020, 'reputation': 307, 'user_id': 3646557, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3646557', 'link': 'https://stackoverflow.com/users/3646557/user3646557'}",True,131,74344108.0,1,1,1668008450,1665505589,1665540224.0,74031279,CC BY-SA 4.0,https://stackoverflow.com/questions/74031279/generic-slicing-views-of-multidimensional-array-in-c20-using-ranges,generic slicing (views) of multidimensional array in C++20 using ranges,,,,
42,"['c++', 'c++20', 'c++23']","{'account_id': 906817, 'reputation': 13625, 'user_id': 941531, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a5b3dab7ce6e710dbca170ef59e6c715?s=256&d=identicon&r=PG', 'display_name': 'Arty', 'link': 'https://stackoverflow.com/users/941531/arty'}",True,139,74250856.0,2,2,1667943655,1667034357,1667054192.0,74244055,CC BY-SA 4.0,https://stackoverflow.com/questions/74244055/in-c-get-smallest-integer-type-that-can-hold-given-amount-of-bits,In C++ get smallest integer type that can hold given amount of bits,,,,
43,"['c++', 'sorting']","{'account_id': 90733, 'reputation': 13326, 'user_id': 249618, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/81060fe344980bc9a3273a48b8f3e31c?s=256&d=identicon&r=PG', 'display_name': 'SF.', 'link': 'https://stackoverflow.com/users/249618/sf'}",True,150,74031170.0,3,3,1667900221,1665491247,1665496067.0,74028163,CC BY-SA 4.0,https://stackoverflow.com/questions/74028163/what-will-stdsort-do-if-the-comparison-is-inconsistent-ab-bc-ca,"What will std::sort do if the comparison is inconsistent? (A&lt;B, B&lt;C, C&lt;A)",,,,
44,"['c++', 'binary']","{'account_id': 26629841, 'reputation': 53, 'user_id': 20247202, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu3Rn3MeCELwuPBEdqhJmLIEs8cbYGMG6xhbUpWR=k-s256', 'display_name': 'Sebastian Orteho', 'link': 'https://stackoverflow.com/users/20247202/sebastian-orteho'}",True,113,74098972.0,1,1,1667897431,1665843097,1667897431.0,74080168,CC BY-SA 4.0,https://stackoverflow.com/questions/74080168/how-can-i-faster-encoding-randomclass,How can I faster encoding randomclass?,,,,
45,"['c++', 'clang', 'clang-format']","{'account_id': 26724751, 'reputation': 59, 'user_id': 20328005, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu29FmNvP98ROIkx_DHPSMJvD4TTA2H9A5Z3XPom=k-s256', 'display_name': 'grmpyc8', 'link': 'https://stackoverflow.com/users/20328005/grmpyc8'}",True,96,74357076.0,1,3,1667892624,1666685533,1666687398.0,74190943,CC BY-SA 4.0,https://stackoverflow.com/questions/74190943/no-line-break-after-while-statement-with-clang-format,No line break after while-statement with clang-format,,,,
46,"['c++', 'function', 'c++11', 'repeat', 'redundancy']","{'account_id': 26763679, 'reputation': 3, 'user_id': 20361199, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu3vdgScUTckiXqcTY0zaOZg77pcCXU41OUWLS5P=k-s256', 'display_name': 'Yaroslav Zabello', 'link': 'https://stackoverflow.com/users/20361199/yaroslav-zabello'}",True,28,74265249.0,1,0,1667856248,1667225232,1667856248.0,74264539,CC BY-SA 4.0,https://stackoverflow.com/questions/74264539/remove-repeated-code-in-function-definition,Remove repeated code in function definition,,,,
