,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,locked_date
10,"['c++', 'enums']","{'account_id': 902489, 'reputation': 22837, 'user_id': 2736559, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/VVvJ4.jpg?s=256&g=1', 'display_name': 'Hossein', 'link': 'https://stackoverflow.com/users/2736559/hossein'}",True,489714,12183377.0,15,244,1665996613,1346259743,1573146594.0,12183008,CC BY-SA 4.0,https://stackoverflow.com/questions/12183008/how-to-use-enums-in-c,How to use enums in C++,,,1469063185.0,
11,"['c++', 'stream', 'windows-8', 'windows-runtime', 'visual-studio-2012']","{'account_id': 413964, 'reputation': 463, 'user_id': 787913, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/8eeaab7befd1bf1dd549069da8162190?s=256&d=identicon&r=PG', 'display_name': 'Alam Brito', 'link': 'https://stackoverflow.com/users/787913/alam-brito'}",True,14010,14172579.0,7,15,1665822152,1344372234,,11853838,CC BY-SA 3.0,https://stackoverflow.com/questions/11853838/getting-an-array-of-bytes-out-of-windowsstoragestreamsibuffer,Getting an array of bytes out of Windows::Storage::Streams::IBuffer,,,,
12,"['c++', 'debugging', 'bitset']","{'account_id': 399807, 'reputation': 3749, 'user_id': 765409, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/9e387ebc6f0bab782739d2a53b425c2a?s=256&d=identicon&r=PG', 'display_name': 'Louis93', 'link': 'https://stackoverflow.com/users/765409/louis93'}",True,488,12032389.0,1,-1,1665614660,1344975343,1665614660.0,11960046,CC BY-SA 4.0,https://stackoverflow.com/questions/11960046/c-program-does-not-seem-to-work-when-bitset-arrays-are-used-correctly-in-p,C++: Program does not seem to work when bitset arrays are used (correctly!) in place of bitset variables,,,,
13,"['c#', 'c++', 'c']","{'account_id': 1087592, 'reputation': 33, 'user_id': 1082943, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/e7d73416094e0e3200064721e36e4330?s=256&d=identicon&r=PG', 'display_name': 'user1082943', 'link': 'https://stackoverflow.com/users/1082943/user1082943'}",True,253,11926786.0,2,-4,1665608646,1344796341,1665608646.0,11924707,,https://stackoverflow.com/questions/11924707/how-to-create-a-dll-library-from-sourcecode-c-and-then-use-it-with-c,How to create a DLL library from sourcecode.c and then use it with C#,1344820530.0,not a real question,,
14,"['c++', 'cmake']","{'account_id': 406771, 'reputation': 11903, 'user_id': 776473, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/dbfcfc0e3c4b2b0baef2383fbc97f687?s=256&d=identicon&r=PG', 'display_name': 'acm', 'link': 'https://stackoverflow.com/users/776473/acm'}",True,6979,48555098.0,3,27,1665460281,1345316768,1484607820.0,12021448,CC BY-SA 3.0,https://stackoverflow.com/questions/12021448/how-can-cmake-arguments-be-forwarded-to-externalproject,How can CMake arguments be forwarded to ExternalProject,,,,
15,"['c++', 'c++11', 'exception', 'openmp']","{'account_id': 69111, 'reputation': 19187, 'user_id': 201270, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/14de57d911f1a8f24001f767d3596e3f?s=256&d=identicon&r=PG', 'display_name': 'Grizzly', 'link': 'https://stackoverflow.com/users/201270/grizzly'}",True,4038,13978507.0,1,14,1665423573,1344257032,1665423573.0,11828539,CC BY-SA 4.0,https://stackoverflow.com/questions/11828539/elegant-exception-handling-in-openmp,Elegant exception handling in OpenMP,,,,
16,"['c++', 'cmd', 'mingw']","{'account_id': 974885, 'reputation': 2592, 'user_id': 996468, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/P4M8V.png?s=256&g=1', 'display_name': 'iKlsR', 'link': 'https://stackoverflow.com/users/996468/iklsr'}",True,740,11773665.0,3,1,1665350927,1343894034,1382790460.0,11773228,CC BY-SA 3.0,https://stackoverflow.com/questions/11773228/how-can-i-hide-the-command-prompt-of-an-application-after-it-has-started,How can I hide the command prompt of an application after it has started?,,,,
17,"['c++', 'char', 'buffer', 'cin', 'getline']","{'account_id': 1410818, 'reputation': 921, 'user_id': 1337447, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/a4c2ce8876a14c2b865e8fa1b1704643?s=256&d=identicon&r=PG', 'display_name': 'Derp', 'link': 'https://stackoverflow.com/users/1337447/derp'}",True,39448,12186605.0,5,12,1665346228,1346274553,1665346228.0,12186568,CC BY-SA 4.0,https://stackoverflow.com/questions/12186568/why-getline-skipping-input-even-after-cin-clear,"Why getline() skipping input, even after cin.clear()?",,,,
18,"['c++', 'c', 'random', 'uniform']","{'account_id': 910755, 'reputation': 7646, 'user_id': 944687, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/9e4b32705e40c455ffd41e0ca7c6db29?s=256&d=identicon&r=PG', 'display_name': 'Desmond Hume', 'link': 'https://stackoverflow.com/users/944687/desmond-hume'}",True,7388,11766794.0,7,16,1665136523,1343822704,1495541379.0,11758809,CC BY-SA 3.0,https://stackoverflow.com/questions/11758809/what-is-the-optimal-algorithm-for-generating-an-unbiased-random-integer-within-a,What is the optimal algorithm for generating an unbiased random integer within a range?,,,,
19,"['java', 'c++', 'vim', 'methods']","{'account_id': 180744, 'reputation': 13647, 'user_id': 414271, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/a42dbf49bfae60f011e7d09f4ca7bc70?s=256&d=identicon&r=PG', 'display_name': 'void-pointer', 'link': 'https://stackoverflow.com/users/414271/void-pointer'}",True,27128,12128868.0,5,41,1665090921,1345969511,1389885374.0,12128678,CC BY-SA 3.0,https://stackoverflow.com/questions/12128678/vim-go-to-beginning-end-of-next-method,Vim: Go to Beginning/End of Next Method,,,,
20,"['c++', 'windows', 'visual-studio', 'visual-c++']","{'account_id': 387924, 'reputation': 483, 'user_id': 746550, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/babc4410a45ed735e4587852919c7605?s=256&d=identicon&r=PG', 'display_name': 'gogiii', 'link': 'https://stackoverflow.com/users/746550/gogiii'}",True,216108,12124290.0,16,48,1664435872,1345915547,1627137044.0,12124146,CC BY-SA 4.0,https://stackoverflow.com/questions/12124146/vc-fatal-error-lnk1168-cannot-open-filename-exe-for-writing,VC++ fatal error LNK1168: cannot open filename.exe for writing,,,1440553206.0,
21,"['c++', 'cmake']","{'account_id': 1020943, 'reputation': 4199, 'user_id': 1031311, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/Wn8YV.png?s=256&g=1', 'display_name': 'solti', 'link': 'https://stackoverflow.com/users/1031311/solti'}",True,686366,11797272.0,7,282,1663537348,1343933532,1569993274.0,11783932,CC BY-SA 4.0,https://stackoverflow.com/questions/11783932/how-do-i-add-a-linker-or-compile-flag-in-a-cmake-file,How do I add a linker or compile flag in a CMake file?,,,,
22,"['c++', 'cmake', 'cross-compiling', 'embedded-resource']","{'account_id': 1073884, 'reputation': 8557, 'user_id': 1072468, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/cb56d2bf7341a5092975ce5c7af50b6e?s=256&d=identicon&r=PG', 'display_name': 'Nicu Stiurca', 'link': 'https://stackoverflow.com/users/1072468/nicu-stiurca'}",True,30056,11814544.0,6,47,1663453367,1344130081,1495540960.0,11813271,CC BY-SA 3.0,https://stackoverflow.com/questions/11813271/embed-resources-eg-shader-code-images-into-executable-library-with-cmake,"Embed resources (eg, shader code; images) into executable/library with CMake",,,,
23,"['c++', 'c', 'cmake']","{'account_id': 157038, 'reputation': 2594, 'user_id': 374691, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/18288d93eb99699bec734da4f8b1a7d3?s=256&d=identicon&r=PG', 'display_name': 'Chris Covert', 'link': 'https://stackoverflow.com/users/374691/chris-covert'}",True,206306,11802004.0,10,129,1663394744,1344017946,1344018689.0,11801186,CC BY-SA 3.0,https://stackoverflow.com/questions/11801186/cmake-unable-to-determine-linker-language-with-c,CMake unable to determine linker language with C++,,,,
24,"['c++', 'qt', 'deployment', 'qt-creator']","{'account_id': 1495934, 'reputation': 33, 'user_id': 1414071, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f56bb684e533186b46ae28b20feef353?s=256&d=identicon&r=PG', 'display_name': 'Rununga', 'link': 'https://stackoverflow.com/users/1414071/rununga'}",True,1578,,2,1,1662632965,1345280215,1345282055.0,12017282,CC BY-SA 3.0,https://stackoverflow.com/questions/12017282/qtcreator-tray-icon-under-window-does-not-show-up-when-deployed,qtcreator tray icon under window does not show up when deployed,,,,
25,"['c++', 'string', 'string-formatting']","{'account_id': 481416, 'reputation': 321886, 'user_id': 895245, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://i.stack.imgur.com/5Powi.jpg?s=256&g=1', 'display_name': 'Ciro Santilli OurBigBook.com', 'link': 'https://stackoverflow.com/users/895245/ciro-santilli-ourbigbook-com'}",True,1117,12055599.0,5,0,1662279506,1345473226,1495541539.0,12039647,CC BY-SA 3.0,https://stackoverflow.com/questions/12039647/how-to-get-a-formatted-stdstring-in-c-without-length-liminations,How to get a formatted std::string in c++ without length liminations,,,,
26,"['c++', 'stl', 'shared-memory']","{'account_id': 216608, 'reputation': 694, 'user_id': 471960, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/b2c19af77c77da4665d09f686e301654?s=256&d=identicon&r=PG', 'display_name': 'shobhu', 'link': 'https://stackoverflow.com/users/471960/shobhu'}",True,6003,12210650.0,3,15,1662222094,1346397426,1346397599.0,12210581,CC BY-SA 3.0,https://stackoverflow.com/questions/12210581/how-to-store-stl-objects-in-shared-memory-c,How to store stl objects in shared memory (C++)?,,,,
27,"['c++', 'c', 'performance', 'assembly', 'relational-operators']","{'account_id': 1640809, 'reputation': 15208, 'user_id': 1513286, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/s66iO.jpg?s=256&g=1', 'display_name': 'Vin&#237;cius', 'link': 'https://stackoverflow.com/users/1513286/vin%c3%adcius'}",True,143994,12135533.0,16,1742,1662115284,1346033412,1637922592.0,12135518,CC BY-SA 4.0,https://stackoverflow.com/questions/12135518/is-faster-than,Is &lt; faster than &lt;=?,,,1553132368.0,
28,"['c++', 'c++11', 'clang', 'shared-ptr', 'initializer-list']","{'account_id': 365471, 'reputation': 913, 'user_id': 710408, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/c172ade500804cc504c9ae840336b137?s=256&d=identicon&r=PG', 'display_name': 'dpj', 'link': 'https://stackoverflow.com/users/710408/dpj'}",True,22277,11821152.0,3,27,1661621409,1344209266,1344211685.0,11820981,CC BY-SA 3.0,https://stackoverflow.com/questions/11820981/stdshared-ptr-and-initializer-lists,std::shared_ptr and initializer lists,,,,
29,"['c++', 'post', 'input', 'cgi', 'scanf']","{'account_id': 1542935, 'reputation': 2553, 'user_id': 1437138, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/b4b0218d953886fed95ef07799da6580?s=256&d=identicon&r=PG', 'display_name': 'Smith Dwayne', 'link': 'https://stackoverflow.com/users/1437138/smith-dwayne'}",True,3298,,1,1,1661144711,1344947487,,11952333,CC BY-SA 3.0,https://stackoverflow.com/questions/11952333/get-input-from-cgi-post-data,Get input from cgi POST data,,,,
30,"['c++', 'exception-handling', 'assignment-operator', 'exception-safety']","{'account_id': 50757, 'reputation': 3118, 'user_id': 151453, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/2280eaa43c3a97bb6f5f626c20880058?s=256&d=identicon&r=PG', 'display_name': 'Jimm Chen', 'link': 'https://stackoverflow.com/users/151453/jimm-chen'}",True,36650,12015213.0,4,44,1659545584,1345254470,1345301630.0,12015156,CC BY-SA 3.0,https://stackoverflow.com/questions/12015156/what-is-wrong-with-checking-for-self-assignment-and-what-does-it-mean,What is wrong with &quot;checking for self-assignment&quot; and what does it mean?,,,,
31,"['c++', 'multithreading', 'c++11']","{'account_id': 120626, 'reputation': 8173, 'user_id': 313175, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/17983e85ea926e9e985c00d1a771f24a?s=256&d=identicon&r=PG', 'display_name': 'Alexander V', 'link': 'https://stackoverflow.com/users/313175/alexander-v'}",True,288582,12207835.0,6,169,1659427912,1346375449,1434362593.0,12207684,CC BY-SA 3.0,https://stackoverflow.com/questions/12207684/how-do-i-terminate-a-thread-in-c11,How do I terminate a thread in C++11?,,,,
32,"['c++', 'templates', 'c++11', 'constexpr']","{'account_id': 1149452, 'reputation': 64029, 'user_id': 1131467, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/6115f0a575cf85c444663504d5f1b3c3?s=256&d=identicon&r=PG', 'display_name': 'Andrew Tomazos', 'link': 'https://stackoverflow.com/users/1131467/andrew-tomazos'}",True,10354,12108694.0,8,44,1659178639,1345807126,1345813300.0,12108390,CC BY-SA 3.0,https://stackoverflow.com/questions/12108390/c11-compile-time-calculation-of-array,C++11: Compile Time Calculation of Array,,,,
33,"['c++', 'qt', 'sfml']","{'account_id': 1128979, 'reputation': 1522, 'user_id': 1115506, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/0f659f4e625f131966bab94a0aa68331?s=256&d=identicon&r=PG', 'display_name': 'Bugster', 'link': 'https://stackoverflow.com/users/1115506/bugster'}",True,6183,12056481.0,3,2,1659079264,1345557198,1345996643.0,12056412,CC BY-SA 3.0,https://stackoverflow.com/questions/12056412/using-sfml-with-qt-creator,Using SFML with Qt creator?,,,,
34,"['c++', 'visual-studio-2010', 'visual-studio-2013']","{'account_id': 1138466, 'reputation': 16705, 'user_id': 1123020, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/78465afdabcd3781cf060e74fd28cfab?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yoda', 'link': 'https://stackoverflow.com/users/1123020/yoda'}",True,4076,11913276.0,4,1,1658948894,1344674024,1416586090.0,11913238,CC BY-SA 3.0,https://stackoverflow.com/questions/11913238/backspace-delete-space-etc-dontt-work-in-visual-studio-2010,"Backspace, delete, space etc. dont&#39;t work in Visual Studio 2010",,,,
35,"['c++', 'googlemock']","{'account_id': 1552611, 'reputation': 685, 'user_id': 1444658, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/710dfe84d92e391b73cadca6b3104b14?s=256&d=identicon&r=PG', 'display_name': 'Edmund', 'link': 'https://stackoverflow.com/users/1444658/edmund'}",True,6547,12088539.0,1,10,1658805712,1345713765,1658805712.0,12088537,CC BY-SA 4.0,https://stackoverflow.com/questions/12088537/workaround-for-gmock-to-support-rvalue-reference,Workaround for gmock to support rvalue reference,,,,
36,"['c++', 'constructor']","{'account_id': 378048, 'reputation': 1814, 'user_id': 730537, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/fa9400d198477125f47d8ce1243f790f?s=256&d=identicon&r=PG', 'display_name': 'Tejendra', 'link': 'https://stackoverflow.com/users/730537/tejendra'}",True,49753,12038485.0,5,9,1658667317,1345458565,1595431582.0,12036037,CC BY-SA 4.0,https://stackoverflow.com/questions/12036037/explicit-call-to-a-constructor,Explicit Call to a Constructor,,,,
37,"['c++', 'c', 'openfiledialog']","{'account_id': 369786, 'reputation': 12885, 'user_id': 717355, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/074a898507c21055bbff06c0d27acfb5?s=256&d=identicon&r=PG', 'display_name': 'Philip Oakley', 'link': 'https://stackoverflow.com/users/717355/philip-oakley'}",False,496,,1,0,1658196177,1343915774,1658196177.0,11778957,CC BY-SA 4.0,https://stackoverflow.com/questions/11778957/how-to-set-the-windows-file-open-dialog-filter-to-include-a-must-finish-with-s,How to set the windows File Open dialog filter to include a &#39;must finish with&#39; selection,,,,
38,"['c++', 'string', 'integer', 'cout', 'multiplication']","{'account_id': 1719262, 'reputation': 469, 'user_id': 1575615, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/78f1108146348ac6c9f9e8b7664ed563?s=256&d=identicon&r=PG', 'display_name': 'skittles sour', 'link': 'https://stackoverflow.com/users/1575615/skittles-sour'}",True,77223,11843258.0,9,20,1657894458,1344332640,1592326009.0,11843226,CC BY-SA 4.0,https://stackoverflow.com/questions/11843226/multiplying-a-string-by-an-int-in-c,Multiplying a string by an int in C++,,,,
39,"['c++', 'g++']","{'account_id': 728369, 'reputation': 791, 'user_id': 682102, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/e90e672d00e8777d8b04f7eda345c8db?s=256&d=identicon&r=PG', 'display_name': 'Ole-M', 'link': 'https://stackoverflow.com/users/682102/ole-m'}",True,37427,11792453.0,1,9,1657884288,1343983182,,11792224,CC BY-SA 3.0,https://stackoverflow.com/questions/11792224/undefined-reference-to-constructor,Undefined reference to constructor,,,,
40,"['c++', 'c', 'casting', 'multidimensional-array', 'matrix']","{'account_id': 181545, 'reputation': 1387, 'user_id': 415616, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/4cf1de89bcc37690a9fe8569351a9e9b?s=256&d=identicon&r=PG', 'display_name': 'NoahR', 'link': 'https://stackoverflow.com/users/415616/noahr'}",True,33601,11869188.0,4,31,1656429511,1344443611,,11869056,CC BY-SA 3.0,https://stackoverflow.com/questions/11869056/how-to-cast-simple-pointer-to-a-multidimensional-array-of-fixed-size,How to cast simple pointer to a multidimensional-array of fixed size?,,,,
41,"['c++', 'type-inference']","{'account_id': 910968, 'reputation': 3453, 'user_id': 944844, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/2440f2d59d6579e41369a78c11de5137?s=256&d=identicon&r=PG', 'display_name': 'James Leonard', 'link': 'https://stackoverflow.com/users/944844/james-leonard'}",True,20722,12084107.0,6,70,1656335446,1345689684,1455988917.0,12084040,CC BY-SA 3.0,https://stackoverflow.com/questions/12084040/decltype-vs-auto,decltype vs auto,,,,
42,"['c++', 'opengl', 'compiler-errors', 'glut']","{'account_id': 261949, 'reputation': 6634, 'user_id': 546476, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/XmzQi.png?s=256&g=1', 'display_name': 'Daniel says Reinstate Monica', 'link': 'https://stackoverflow.com/users/546476/daniel-says-reinstate-monica'}",True,19451,11962716.0,3,9,1655864293,1344990272,1655864293.0,11962665,CC BY-SA 4.0,https://stackoverflow.com/questions/11962665/glcreateshader-was-not-declared-in-this-scope,&#39;glCreateShader&#39; was not declared in this scope?,,,,
43,"['c++', 'visual-studio-2010', 'visual-c++', 'linker-errors', 'unresolved-external']","{'account_id': 1277823, 'reputation': 9052, 'user_id': 1232685, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/c688c1619a594511acc59ccd3a231e15?s=256&d=identicon&r=PG', 'display_name': 'Lanaru', 'link': 'https://stackoverflow.com/users/1232685/lanaru'}",True,140,12149556.0,1,0,1655791558,1346101082,1346102230.0,12149516,CC BY-SA 3.0,https://stackoverflow.com/questions/12149516/what-could-be-causing-this-linker-error,What could be causing this linker error?,,,,
44,"['c++', 'c++11', 'future']","{'account_id': 100700, 'reputation': 1252, 'user_id': 271317, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/f819307e6e2278ee6e503dab3bc89bbe?s=256&d=identicon&r=PG', 'display_name': 'm42a', 'link': 'https://stackoverflow.com/users/271317/m42a'}",True,25683,12087141.0,3,41,1655626591,1345706409,,12086622,CC BY-SA 3.0,https://stackoverflow.com/questions/12086622/is-there-a-way-to-cancel-detach-a-future-in-c11,Is there a way to cancel/detach a future in C++11?,,,,
45,"['c++', 'string', 'parentheses', 'comma-operator']","{'account_id': 345239, 'reputation': 2087, 'user_id': 678022, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8b8aff07ad4c799ea755b2c40b6632e4?s=256&d=identicon&r=PG', 'display_name': 'Adversus', 'link': 'https://stackoverflow.com/users/678022/adversus'}",True,1781,11899071.0,5,12,1654609149,1344591506,1654609149.0,11899009,,https://stackoverflow.com/questions/11899009/two-strings-between-brackets-separated-by-a-comma-in-c,Two strings between brackets separated by a comma in C++,1654609124.0,Duplicate,,
46,"['c++', 'math', 'square-root']","{'account_id': 1634873, 'reputation': 1531, 'user_id': 1508640, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/8b6b4b081bfad301bbf3410605037126?s=256&d=identicon&r=PG', 'display_name': 'Loers Antario', 'link': 'https://stackoverflow.com/users/1508640/loers-antario'}",True,5708,12188588.0,7,12,1654455969,1346258612,1378452350.0,12182701,CC BY-SA 3.0,https://stackoverflow.com/questions/12182701/generating-continued-fractions-for-square-roots,Generating continued fractions for square roots,,,,
