,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,accepted_answer_id,closed_reason,protected_date,migrated_from
10,"['c++', 'c', 'runtime-error', 'libgit2']","{'account_id': 10896956, 'reputation': 1710, 'user_id': 8010568, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/11624afad52c1714db631934e3951dc3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Berkay Berabi', 'link': 'https://stackoverflow.com/users/8010568/berkay-berabi'}",True,1511,3,0,1666883769,1596712240,1596712824.0,63282317,CC BY-SA 4.0,https://stackoverflow.com/questions/63282317/runtime-error-load-of-misaligned-address,runtime error: load of misaligned address,,63282429.0,,,
11,"['c++', 'qt', 'deployment', 'qcombobox', 'qdialog']","{'account_id': 19141267, 'reputation': 169, 'user_id': 13981196, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/acb2b9066c0a1af275928a06bfde5257?s=256&d=identicon&r=PG&f=1', 'display_name': 'dasmanfred', 'link': 'https://stackoverflow.com/users/13981196/dasmanfred'}",True,105,2,-1,1666872650,1598519100,1598526566.0,63612700,CC BY-SA 4.0,https://stackoverflow.com/questions/63612700/qcombobox-doesnt-display-the-currently-selected-item-unless-another-button-in-t,QComboBox doesn&#39;t display the currently selected item unless another button in the dialog is clicked,,63614570.0,,,
12,"['c++', 'boost', 'asio', 'beast']","{'account_id': 3817483, 'reputation': 1799, 'user_id': 3166476, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://i.stack.imgur.com/tU6SH.jpg?s=256&g=1', 'display_name': 'lakeweb', 'link': 'https://stackoverflow.com/users/3166476/lakeweb'}",True,1886,2,2,1666738636,1596999095,,63330104,CC BY-SA 4.0,https://stackoverflow.com/questions/63330104/how-to-use-boostbeast-download-a-file-no-blocking-and-with-responses,"How to use boost::beast, download a file no blocking and with responses",,63331157.0,,,
13,"['c++', 'cmake']","{'account_id': 19219461, 'reputation': 21, 'user_id': 14043617, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-T_6ePTYPg6o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnOWaJ5LLVAWqpE2qYliaEwkq2Oqg/photo.jpg?sz=256', 'display_name': 'feliks.maj', 'link': 'https://stackoverflow.com/users/14043617/feliks-maj'}",True,376,2,2,1666715614,1596478849,,63234880,CC BY-SA 4.0,https://stackoverflow.com/questions/63234880/how-to-link-debug-executable-with-release-library-using-cmake-fetchcontent,How to link debug executable with release library using CMake FetchContent?,,,,,
14,"['c++', 'leveldb', 'rocksdb']","{'account_id': 13199597, 'reputation': 127, 'user_id': 9533194, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-Hsk5ovcDlLg/AAAAAAAAAAI/AAAAAAAAACA/hVTztwF-vYg/photo.jpg?sz=256', 'display_name': 'Zihe Liu', 'link': 'https://stackoverflow.com/users/9533194/zihe-liu'}",False,146,1,3,1666673199,1598412435,1598419842.0,63590049,CC BY-SA 4.0,https://stackoverflow.com/questions/63590049/does-leveldb-generate-bloom-filter-every-4kb-or-2kb-of-data-block,Does leveldb generate Bloom Filter every 4KB or 2KB of Data Block?,,,,,
15,"['c++', 'curl', 'openssl', 'webrtc', 'libwebsockets']","{'account_id': 5399587, 'reputation': 528, 'user_id': 4299809, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c520f81cf8c836173de1dd66cd465c93?s=256&d=identicon&r=PG&f=1', 'display_name': 'SamT', 'link': 'https://stackoverflow.com/users/4299809/samt'}",True,691,2,1,1666290544,1596709810,,63281661,CC BY-SA 4.0,https://stackoverflow.com/questions/63281661/how-to-avoid-sub-library-aggregation-during-webrtc-compilation-on-windows,How to avoid sub-library aggregation during webrtc compilation on Windows?,,,,,
16,"['c++', 'linker', 'codeblocks', 'avr-gcc']","{'account_id': 8121523, 'reputation': 115, 'user_id': 11685627, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/EnXyN.jpg?s=256&g=1', 'display_name': 'Gen0me', 'link': 'https://stackoverflow.com/users/11685627/gen0me'}",False,218,1,2,1666037490,1597747965,1597758050.0,63467094,CC BY-SA 4.0,https://stackoverflow.com/questions/63467094/what-are-mechanisms-of-selection-of-emulation-mode-for-a-linker,What are mechanisms of selection of emulation mode for a linker?,,,,,
17,"['c++', 'gcc', 'visual-studio-code', 'mingw', 'mingw32']","{'account_id': 14648824, 'reputation': 553, 'user_id': 10579376, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/l2dkV.png?s=256&g=1', 'display_name': 'Cheemakurthi Mukesh', 'link': 'https://stackoverflow.com/users/10579376/cheemakurthi-mukesh'}",False,957,0,0,1665931285,1598269786,,63560461,CC BY-SA 4.0,https://stackoverflow.com/questions/63560461/c-mingw-bin-lib-gcc-mingw32-6-3-0-mingw32-bin-ld-exe-final-link,c:/mingw/bin/../lib/gcc/mingw32/6.3.0/../../../../mingw32/bin/ld.exe: final link failed: No space left on device,,,,,
18,"['c++', 'char']","{'account_id': 16536154, 'reputation': 9, 'user_id': 11948129, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4780c4f82d48079b0aa80265d7b278db?s=256&d=identicon&r=PG&f=1', 'display_name': 'Will ', 'link': 'https://stackoverflow.com/users/11948129/will'}",True,2417,2,1,1665844605,1598174080,,63545287,CC BY-SA 4.0,https://stackoverflow.com/questions/63545287/error-c2664-cannot-convert-argument-1-from-const-char-14-to-char,error C2664: cannot convert argument 1 from &#39;const char [14]&#39; to &#39;char&#39;,,,,,
19,"['c++', 'unreal-engine4']","{'account_id': 18284268, 'reputation': 480, 'user_id': 13312532, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2d2a808e8380f1a3e39d8903448b7f52?s=256&d=identicon&r=PG&f=1', 'display_name': 'Arnold-Baba', 'link': 'https://stackoverflow.com/users/13312532/arnold-baba'}",False,13942,1,2,1665673320,1597950819,,63511778,CC BY-SA 4.0,https://stackoverflow.com/questions/63511778/how-to-fix-assertion-failed-in-unreal-engine-4-11,How to fix &quot;assertion failed&quot; in Unreal Engine 4.11,,,,,
20,"['c++', 'protocol-buffers', 'ubuntu-18.04', 'gazebo-simu', 'px4']","{'account_id': 15490654, 'reputation': 500, 'user_id': 11175221, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-bc_uZ4M9VLI/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcNDChaAGuH4au4xnFC_Y9Nqcp4ZQ/mo/photo.jpg?sz=256', 'display_name': 'LoW', 'link': 'https://stackoverflow.com/users/11175221/low'}",True,2456,2,1,1665568323,1596230452,1596290929.0,63199225,CC BY-SA 4.0,https://stackoverflow.com/questions/63199225/use-specific-protobuf-version-when-multiple-versions-are-installed,Use specific protobuf version when multiple versions are installed,,63231374.0,,,
21,"['c++', 'algorithm', 'c++17']","{'account_id': 2611521, 'reputation': 10202, 'user_id': 2261538, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f4e60dd44745bd1518ee933e081119de?s=256&d=identicon&r=PG', 'display_name': 'darune', 'link': 'https://stackoverflow.com/users/2261538/darune'}",True,106,4,0,1665419373,1597822364,,63482069,CC BY-SA 4.0,https://stackoverflow.com/questions/63482069/simplest-way-to-remove-first-part-of-a-string-if-it-matches-from-beginning,Simplest way to remove first part of a string if it matches (from beginning) ? (using boost is ok),,63482208.0,,,
22,"['c++', 'naming-conventions']","{'account_id': 19236242, 'reputation': 65, 'user_id': 14057140, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e0c00df97f967b5ee31699c15bed94d4?s=256&d=identicon&r=PG&f=1', 'display_name': 'rabtors', 'link': 'https://stackoverflow.com/users/14057140/rabtors'}",False,278,1,1,1664977305,1596675990,1664977305.0,63275461,CC BY-SA 4.0,https://stackoverflow.com/questions/63275461/google-interfaces-and-files,Google interfaces and files,,,,,
23,"['c++', 'c', 'debugging', 'gdb', 'compiler-optimization']","{'account_id': 3032157, 'reputation': 27484, 'user_id': 4561887, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/1ecb6a74fca21551bd8157504ad47faf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gabriel Staples', 'link': 'https://stackoverflow.com/users/4561887/gabriel-staples'}",True,2432,1,6,1664165521,1597276907,1597277705.0,63386189,CC BY-SA 4.0,https://stackoverflow.com/questions/63386189/whats-the-difference-between-a-compilers-o0-option-and-og-option,What&#39;s the difference between a compiler&#39;s `-O0` option and `-Og` option?,,63386263.0,,,
24,"['python', 'c++', 'graph']","{'account_id': 19275465, 'reputation': 315, 'user_id': 14088584, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-RRC9038Ea5M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclF9g9zltmH8LGdXkrjD8fk8fKq-Q/photo.jpg?sz=256', 'display_name': 'SHIVANSHU SAHOO', 'link': 'https://stackoverflow.com/users/14088584/shivanshu-sahoo'}",True,32002,3,5,1664123725,1598862033,,63667255,CC BY-SA 4.0,https://stackoverflow.com/questions/63667255/plotting-graphs-in-c,Plotting graphs in C++,,63667672.0,,1664127294.0,
25,"['c++', 'express', 'c++17', 'language-lawyer', 'constant-expression']","{'account_id': 16334089, 'reputation': 6650, 'user_id': 11796722, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-hbVqmiJejgo/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rehNL7lbCriSOGqR5fVrWy6CjMYYA/photo.jpg?sz=256', 'display_name': 'xmh0511', 'link': 'https://stackoverflow.com/users/11796722/xmh0511'}",False,140,2,3,1663654879,1598595870,1598596324.0,63628538,CC BY-SA 4.0,https://stackoverflow.com/questions/63628538/what-situation-will-the-evaluation-for-expressions-occur-in,what situation will the evaluation for expressions occur in,,,,,
26,"['c++', 'type-conversion', 'c++17', 'stdvector', 'string-view']","{'account_id': 1434399, 'reputation': 10565, 'user_id': 1356110, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/har6o.jpg?s=256&g=1', 'display_name': 'Ashot', 'link': 'https://stackoverflow.com/users/1356110/ashot'}",True,2096,1,5,1663088833,1597876706,,63495886,CC BY-SA 4.0,https://stackoverflow.com/questions/63495886/convert-stdvectoruint8-t-to-stdstring-view,Convert std::vector&lt;uint8_t&gt; to std::string_view,,,,,
27,"['python', 'c++', 'multithreading', 'image-processing']","{'account_id': 7380802, 'reputation': 621, 'user_id': 5617580, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/3d231da78780209632350c3475e6587a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bing', 'link': 'https://stackoverflow.com/users/5617580/bing'}",True,839,3,0,1662996251,1596213339,1596214962.0,63195790,CC BY-SA 4.0,https://stackoverflow.com/questions/63195790/find-duplicate-images-in-fastest-way,Find duplicate images in fastest way,,63195944.0,,,
28,"['c++', 'visual-studio', 'premake']","{'account_id': 10290074, 'reputation': 814, 'user_id': 7592072, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1e6115e8b9fc628e6363dea9200d9057?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nikita Smirnov', 'link': 'https://stackoverflow.com/users/7592072/nikita-smirnov'}",True,678,3,0,1662926190,1596447411,,63227008,CC BY-SA 4.0,https://stackoverflow.com/questions/63227008/exclude-project-from-build-by-premake,Exclude project from build by Premake,,63228027.0,,,
29,"['c++', 'grpc']","{'account_id': 12633143, 'reputation': 131, 'user_id': 9183698, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-YFLM4dNqnwM/AAAAAAAAAAI/AAAAAAAAUmo/8tJBj8EpsO4/photo.jpg?sz=256', 'display_name': 'Kotori0', 'link': 'https://stackoverflow.com/users/9183698/kotori0'}",True,3610,3,4,1662652051,1598013935,,63523196,CC BY-SA 4.0,https://stackoverflow.com/questions/63523196/how-to-build-grpc-with-openssl-instead-of-boringssl,How to build gRPC++ with OpenSSL instead of BoringSSL,,63523209.0,,,
30,"['c++', 'qt', 'cmake', 'linker']","{'account_id': 19382621, 'reputation': 29, 'user_id': 14173514, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7dbcdeae65ae580fddf19e1187ddf33b?s=256&d=identicon&r=PG&f=1', 'display_name': 'fyl', 'link': 'https://stackoverflow.com/users/14173514/fyl'}",True,1043,3,0,1662448603,1598554028,1598691016.0,63622407,CC BY-SA 4.0,https://stackoverflow.com/questions/63622407/qt-static-linking-problem-undefined-reference-to-c-std-library,Qt static linking problem: undefined reference to C++ std library,,,,,
31,"['python', 'c++', 'python-c-api']","{'account_id': 2875629, 'reputation': 6834, 'user_id': 2467772, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/19d111f9436ccf10d1391751e54a2699?s=256&d=identicon&r=PG', 'display_name': 'batuman', 'link': 'https://stackoverflow.com/users/2467772/batuman'}",False,284,1,-1,1662288257,1598252921,1662288257.0,63556233,CC BY-SA 4.0,https://stackoverflow.com/questions/63556233/embedding-python-into-a-c,Embedding Python into a C++,,,,,
32,"['c++', 'visual-studio', 'operator-overloading']","{'account_id': 2048387, 'reputation': 325, 'user_id': 1827955, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://i.stack.imgur.com/HTY9I.jpg?s=256&g=1', 'display_name': 'Fido', 'link': 'https://stackoverflow.com/users/1827955/fido'}",False,242,0,1,1662285640,1597151303,,63358835,,https://stackoverflow.com/questions/63358835/why-hash-functor-with-non-const-operator-does-not-compile-in-visual-studio-w,"Why hash functor with non-const operator () does not compile in Visual Studio, when working with unordered set?",1662285628.0,,Duplicate,,
33,"['c++', 'math', 'floating-point', 'hardware', 'posit-number-system']","{'account_id': 17264625, 'reputation': 3790, 'user_id': 12501684, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/5INvB.jpg?s=256&g=1', 'display_name': 'janekb04', 'link': 'https://stackoverflow.com/users/12501684/janekb04'}",True,547,3,5,1662275733,1598732314,1662275733.0,63651414,CC BY-SA 4.0,https://stackoverflow.com/questions/63651414/why-aren-t-posit-arithmetic-representations-commonly-used,Why aren’t posit arithmetic representations commonly used?,,63651491.0,,,
34,"['c++', 'constexpr', 'c++20', 'c++-concepts']","{'account_id': 2409117, 'reputation': 37883, 'user_id': 2104697, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/22ba5a5469953d6ab315e6c2c02a1ee2?s=256&d=identicon&r=PG', 'display_name': 'Guillaume Racicot', 'link': 'https://stackoverflow.com/users/2104697/guillaume-racicot'}",True,542,2,11,1662217024,1596977471,1596993662.0,63326542,CC BY-SA 4.0,https://stackoverflow.com/questions/63326542/checking-for-constexpr-in-a-concept,Checking for constexpr in a concept,,69515693.0,,,
35,"['c++', 'struct', 'unions', 'anonymous-types', 'bit-fields']","{'account_id': 15266435, 'reputation': 125, 'user_id': 12349762, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7cda1514237c597b6c35cba8556019cb?s=256&d=identicon&r=PG&f=1', 'display_name': 'A.Lacasse', 'link': 'https://stackoverflow.com/users/12349762/a-lacasse'}",False,412,0,1,1661804138,1597854592,1661804138.0,63491268,CC BY-SA 4.0,https://stackoverflow.com/questions/63491268/c-same-name-different-type,C++ Same Name Different Type,,,,,
36,"['c++', 'protocol-buffers', 'emplace']","{'account_id': 1582575, 'reputation': 2093, 'user_id': 1467600, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/90323ac767ad86e163a062fb0823f99f?s=256&d=identicon&r=PG', 'display_name': 'D&#225;vid T&#243;th', 'link': 'https://stackoverflow.com/users/1467600/d%c3%a1vid-t%c3%b3th'}",True,319,1,0,1661629263,1597925129,,63504705,CC BY-SA 4.0,https://stackoverflow.com/questions/63504705/in-protocol-buffers-how-to-placement-new-inside-an-arena,In protocol buffers how to `placement new` inside an arena?,,73513834.0,,,
37,"['c++', 'opencv', 'background-subtraction']","{'account_id': 19100170, 'reputation': 45, 'user_id': 13948625, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ggkdvxr0-vEOGs8-UnpLOJcFsDXXUBKntprD_w=k-s256', 'display_name': 'Yunus Emre K&#220;T&#220;K', 'link': 'https://stackoverflow.com/users/13948625/yunus-emre-k%c3%9ct%c3%9ck'}",False,103,1,-2,1661522547,1597769835,1661522547.0,63473304,CC BY-SA 4.0,https://stackoverflow.com/questions/63473304/opencv-mog2-backgroundsubtraction-function-is-not-working-well-on-c,OpenCv MOG2 Backgroundsubtraction function is not working well on C++,,,,,
38,"['c++', 'opencv', 'deep-learning', 'object-detection']","{'account_id': 18651203, 'reputation': 740, 'user_id': 13594617, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a047786aadf03292fa773af3c943e135?s=256&d=identicon&r=PG&f=1', 'display_name': 'Atharva Dubey', 'link': 'https://stackoverflow.com/users/13594617/atharva-dubey'}",True,2128,1,1,1661522524,1598338192,1661522524.0,63573424,CC BY-SA 4.0,https://stackoverflow.com/questions/63573424/error-215assertion-failed-m-dims-2-in-function-formattedimpl-in-cvdn,error: (-215:Assertion failed) m.dims &lt;= 2 in function &#39;FormattedImpl&#39; in cv::dnn,,63574547.0,,,
39,"['c++', 'opencv']","{'account_id': 18651203, 'reputation': 740, 'user_id': 13594617, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a047786aadf03292fa773af3c943e135?s=256&d=identicon&r=PG&f=1', 'display_name': 'Atharva Dubey', 'link': 'https://stackoverflow.com/users/13594617/atharva-dubey'}",True,43789,2,16,1661522505,1597683789,1661522505.0,63455427,CC BY-SA 4.0,https://stackoverflow.com/questions/63455427/fatal-error-opencv2-opencv-modules-hpp-no-such-file-or-directory-include-ope,fatal error: opencv2/opencv_modules.hpp: No such file or directory #include &quot;opencv2/opencv_modules.hpp&quot;,,63456129.0,,,
40,"['c++', 'recursion']","{'account_id': 18781152, 'reputation': 27, 'user_id': 13695789, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Givlhdfnioh6N5-xsG_tG89d4mhszqqHX28n1shZg=k-s256', 'display_name': 'Samuel .R.F', 'link': 'https://stackoverflow.com/users/13695789/samuel-r-f'}",True,169,3,-2,1660922537,1597857915,1660922537.0,63492055,CC BY-SA 4.0,https://stackoverflow.com/questions/63492055/how-to-solve-this-problem-using-recursion,How to solve this problem using recursion?,,,,,
41,"['c++', 'for-loop', 'vector', 'operators']","{'account_id': 18699542, 'reputation': 45, 'user_id': 13632037, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/yDVbs.jpg?s=256&g=1', 'display_name': 'Maisha', 'link': 'https://stackoverflow.com/users/13632037/maisha'}",True,7646,3,-1,1660637617,1596700039,1596702353.0,63279038,,https://stackoverflow.com/questions/63279038/what-does-forauto-it-a-mean,What does for(auto &amp;it: a) mean?,1596727902.0,63279280.0,Duplicate,,
42,"['c++', 'c', 'unions', 'signed', 'bit-fields']","{'account_id': 4621987, 'reputation': 29, 'user_id': 3746792, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/743ce1e47bbc4df9943f9043fc8f090e?s=256&d=identicon&r=PG&f=1', 'display_name': 'maximaman', 'link': 'https://stackoverflow.com/users/3746792/maximaman'}",True,92,2,2,1660535492,1597534476,1660535492.0,63431731,CC BY-SA 4.0,https://stackoverflow.com/questions/63431731/why-does-my-program-not-check-the-value-of-a-bitfield-member-even-though-there-i,Why does my program not check the value of a bitfield member even though there is an &quot;if&quot; statement?,,,,,
43,"['c++', 'templates', 'c++17', 'eigen']","{'account_id': 17510279, 'reputation': 113, 'user_id': 12698527, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mC8V5OGouNcSJ-b0y8OPOomu1zaHsghecvgudkC1w=k-s256', 'display_name': 'Virginie', 'link': 'https://stackoverflow.com/users/12698527/virginie'}",True,358,1,3,1660535449,1598011168,1660535449.0,63522543,CC BY-SA 4.0,https://stackoverflow.com/questions/63522543/union-template-with-stdvariant-and-stdvisit,Union Template with std::variant and std::visit,,63522938.0,,,
44,"['c++', 'initialization', 'destructor', 'unions']","{'account_id': 5664476, 'reputation': 455, 'user_id': 4481014, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7d9494f69d3f0d07770f6d9c9babd5e8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Uy H&#224;', 'link': 'https://stackoverflow.com/users/4481014/uy-h%c3%a0'}",True,97,2,3,1660535390,1596314078,1660535390.0,63209819,CC BY-SA 4.0,https://stackoverflow.com/questions/63209819/use-union-to-defer-member-variable-construction,Use union to defer member variable construction,,63210395.0,,,
45,"['c++', 'unions']","{'account_id': 216122, 'reputation': 45154, 'user_id': 471164, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/45d4a7ba0fb8e789356f5da87536444d?s=256&d=identicon&r=PG', 'display_name': 'vitaut', 'link': 'https://stackoverflow.com/users/471164/vitaut'}",True,1016,2,5,1660535265,1596235484,1660535265.0,63199979,CC BY-SA 4.0,https://stackoverflow.com/questions/63199979/is-offsetof-of-a-union-member-always-zero,Is offsetof of a union member always zero?,,63200699.0,,,
