,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,community_owned_date,protected_date,migrated_from
10,"['c++', 'scope', 'c++11', 'unique-ptr']","{'account_id': 1274873, 'reputation': 321, 'user_id': 1230339, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/7bcaf69133680744d7d4bd2135d5b27d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Robin Holenweger', 'link': 'https://stackoverflow.com/users/1230339/robin-holenweger'}",True,2510,17447737.0,2,6,1665860197,1333524843,1495535371.0,10006767,CC BY-SA 3.0,https://stackoverflow.com/questions/10006767/heap-corruption-when-leaving-scope-with-unique-ptr,heap corruption when leaving scope with unique_ptr,,,,,
11,"['c++', 'stack']","{'user_type': 'does_not_exist', 'display_name': 'user466534'}",True,613,10178939.0,3,0,1665860108,1334597129,,10178734,CC BY-SA 3.0,https://stackoverflow.com/questions/10178734/all-nearest-smaller-values,All nearest smaller values,,,,,
12,"['c++', 'mesh', 'terrain']","{'account_id': 1404652, 'reputation': 39, 'user_id': 1332697, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/526f1b516119431dff29b45a6a090f84?s=256&d=identicon&r=PG', 'display_name': 'Megadanxzero', 'link': 'https://stackoverflow.com/users/1332697/megadanxzero'}",False,1451,,1,3,1665685827,1334367524,,10150292,CC BY-SA 3.0,https://stackoverflow.com/questions/10150292/how-can-i-use-marching-squares-to-generate-a-polygonal-mesh-of-a-bitmap,How can I use Marching Squares to generate a polygonal mesh of a bitmap?,,,,,
13,"['c++', 'graphics', 'bresenham']","{'account_id': 285808, 'reputation': 4133, 'user_id': 1142380, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/rM8f6.jpg?s=256&g=1', 'display_name': 'ToastyMallows', 'link': 'https://stackoverflow.com/users/1142380/toastymallows'}",True,49697,10117768.0,3,10,1665237644,1333854081,1333855529.0,10060046,CC BY-SA 3.0,https://stackoverflow.com/questions/10060046/drawing-lines-with-bresenhams-line-algorithm,Drawing lines with Bresenham&#39;s Line Algorithm,,,,,
14,"['c++', 'udp', 'client-server', 'chat', 'winsock']","{'account_id': 406892, 'reputation': 1413, 'user_id': 776647, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/17492a81d0cf2aa8699faa5f65192752?s=256&d=identicon&r=PG', 'display_name': 'Beef', 'link': 'https://stackoverflow.com/users/776647/beef'}",True,1917,10082029.0,1,2,1664092871,1334017834,1334021799.0,10081573,CC BY-SA 3.0,https://stackoverflow.com/questions/10081573/how-to-make-a-synchronous-chat-program-to-send-and-receive-messages-synchronousl,How to make a synchronous chat program to send and receive messages synchronously?,,,,,
15,"['c++', 'serialization', 'yaml', 'formats']","{'account_id': 188046, 'reputation': 395, 'user_id': 426539, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fdd061bab325abed4968b6b2a46723e3?s=256&d=identicon&r=PG', 'display_name': 'James', 'link': 'https://stackoverflow.com/users/426539/james'}",False,853,,1,2,1663772784,1334219173,1334219892.0,10119976,CC BY-SA 3.0,https://stackoverflow.com/questions/10119976/tiny-c-yaml-reader-writer,Tiny C++ YAML reader/writer,,,,,
16,"['c++', 'string', 'filesystems']","{'account_id': 337992, 'reputation': 4169, 'user_id': 666576, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/b7436e88c1eb190f4ce173e544f0982a?s=256&d=identicon&r=PG', 'display_name': 'Mat', 'link': 'https://stackoverflow.com/users/666576/mat'}",True,52050,10364927.0,6,30,1663618805,1335626597,,10364877,CC BY-SA 3.0,https://stackoverflow.com/questions/10364877/c-how-to-remove-filename-from-path-string,c++ how to remove filename from path string,,,,,
17,"['c++', 'c', 'cmake', 'clang']","{'account_id': 39941, 'reputation': 22814, 'user_id': 115478, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/df66f5ffbf986ef9ff5a990f26dbd1f1?s=256&d=identicon&r=PG', 'display_name': 'leedm777', 'link': 'https://stackoverflow.com/users/115478/leedm777'}",True,100543,10055571.0,5,195,1663537091,1333728772,1535730021.0,10046114,CC BY-SA 4.0,https://stackoverflow.com/questions/10046114/in-cmake-how-can-i-test-if-the-compiler-is-clang,"In CMake, how can I test if the compiler is Clang?",,,,,
18,"['c++', 'com']","{'account_id': 165302, 'reputation': 7005, 'user_id': 388626, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/70393519eb2d28453fac8b087d71e68a?s=256&d=identicon&r=PG', 'display_name': 'Rei Miyasaka', 'link': 'https://stackoverflow.com/users/388626/rei-miyasaka'}",True,11512,10153947.0,3,9,1663503913,1334408832,,10153873,CC BY-SA 3.0,https://stackoverflow.com/questions/10153873/how-do-i-use-com-ptr-t,How do I use _com_ptr_t?,,,,,
19,"['c++', 'c', 'linux', 'boost', 'getopt']","{'account_id': 1019523, 'reputation': 10481, 'user_id': 1030287, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/3e56cc11531e75f08dab7bc5e36b5bb5?s=256&d=identicon&r=PG', 'display_name': 's5s', 'link': 'https://stackoverflow.com/users/1030287/s5s'}",True,9380,10160781.0,3,8,1663401018,1334480071,1334494593.0,10160711,,https://stackoverflow.com/questions/10160711/which-library-to-use-to-parse-command-line-arguments-in-c,which library to use to parse command line arguments in C++,1663401023.0,Duplicate,,,
20,"['c++', 'shell', 'cmake']","{'account_id': 133450, 'reputation': 29122, 'user_id': 334831, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/bf2a7f4d71e1d892ce564fe4bd81193f?s=256&d=identicon&r=PG', 'display_name': 'Tombart', 'link': 'https://stackoverflow.com/users/334831/tombart'}",True,10859,9963817.0,6,12,1663202539,1333277154,1333284398.0,9963783,CC BY-SA 3.0,https://stackoverflow.com/questions/9963783/cmake-coloring-errors-and-warnings,CMake coloring errors and warnings,,,,,
21,"['c++', 'enums']","{'account_id': 364885, 'reputation': 4050, 'user_id': 709507, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/u5suM.jpg?s=256&g=1', 'display_name': 'Inside Man', 'link': 'https://stackoverflow.com/users/709507/inside-man'}",True,18098,10371706.0,3,4,1662839815,1335698317,1555740863.0,10371681,CC BY-SA 4.0,https://stackoverflow.com/questions/10371681/enum-type-can-not-accept-cin-command,enum type can not accept cin command,,,,,
22,"['c++', 'arduino']","{'account_id': 178670, 'reputation': 1020, 'user_id': 410802, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/139548037974cc3ca8648200c65c8f55?s=256&d=identicon&r=PG', 'display_name': 'BOMEz', 'link': 'https://stackoverflow.com/users/410802/bomez'}",True,1282,10375923.0,2,0,1662551264,1335731678,1662551264.0,10375753,CC BY-SA 4.0,https://stackoverflow.com/questions/10375753/arduino-serial-available-keeps-increasing,Arduino Serial.available() keeps increasing,,,,,
23,"['c++', 'qt', 'file-exists']","{'account_id': 1392428, 'reputation': 1171, 'user_id': 1322915, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/e24fbf94adf5f9aa5fe156c3703e31f8?s=256&d=identicon&r=PG', 'display_name': 'user1322915', 'link': 'https://stackoverflow.com/users/1322915/user1322915'}",True,94640,,5,82,1660813053,1335144956,1447088402.0,10273816,CC BY-SA 3.0,https://stackoverflow.com/questions/10273816/how-to-check-whether-file-exists-in-qt-in-c,How to check whether file exists in Qt in c++,,,,,
24,"['c++', 'multimap']","{'account_id': 1091873, 'reputation': 394, 'user_id': 1086340, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/5162393ef0fa58ca9e2f1829424a0e88?s=256&d=identicon&r=PG', 'display_name': 'InspiredCoder', 'link': 'https://stackoverflow.com/users/1086340/inspiredcoder'}",True,2607,9981365.0,2,3,1660634409,1333389334,1333389402.0,9981295,CC BY-SA 3.0,https://stackoverflow.com/questions/9981295/how-to-modify-a-value-in-multimap,how to modify a value in multimap?,,,,,
25,"['c++', 'inheritance', 'constructor', 'visibility', 'derived-class']","{'account_id': 1308916, 'reputation': 1617, 'user_id': 1257341, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://www.gravatar.com/avatar/60843f061262e2b29baff53fde385e19?s=256&d=identicon&r=PG', 'display_name': 'Joy', 'link': 'https://stackoverflow.com/users/1257341/joy'}",True,191814,10282879.0,4,40,1659703696,1335192307,1597991997.0,10282787,CC BY-SA 4.0,https://stackoverflow.com/questions/10282787/calling-the-base-class-constructor-from-the-derived-class-constructor,Calling the base class constructor from the derived class constructor,,,,,
26,"['c++', 'qt', 'googlemock', 'qtestlib']","{'account_id': 1017970, 'reputation': 155, 'user_id': 1029083, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/70d32558b388d0a61f55dffa21222ae2?s=256&d=identicon&r=PG', 'display_name': 'user1029083', 'link': 'https://stackoverflow.com/users/1029083/user1029083'}",False,1881,,1,4,1658805725,1334709591,1658805725.0,10201199,CC BY-SA 4.0,https://stackoverflow.com/questions/10201199/qtestlib-unit-test-framework-gmock-create-qtcpserver-mock-object,QTestLib unit test framework + Gmock (Create QTCPServer - Mock Object),,,,,
27,"['c++', 'windows', 'winapi', 'hook', 'windows-shell']","{'account_id': 192090, 'reputation': 736, 'user_id': 433041, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/9a490daadb32be545d472824bdbfbe0f?s=256&d=identicon&r=PG', 'display_name': 'Oleg Kovalov', 'link': 'https://stackoverflow.com/users/433041/oleg-kovalov'}",False,990,,0,0,1658606007,1334857880,1334863006.0,10233856,CC BY-SA 3.0,https://stackoverflow.com/questions/10233856/how-can-i-get-selected-file-in-windows-explorer-using-winapi-functions,How can i get selected file in Windows Explorer using WinApi functions,,,,,
28,"['c++', 'c', 'hook']","{'account_id': 1429960, 'reputation': 65, 'user_id': 1352583, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b57001d2756492612a20cb8113185198?s=256&d=identicon&r=PG', 'display_name': 'EggplantBonanza', 'link': 'https://stackoverflow.com/users/1352583/eggplantbonanza'}",True,1727,10290675.0,5,1,1658527565,1335230979,,10290603,CC BY-SA 3.0,https://stackoverflow.com/questions/10290603/changing-variables-during-run-time-without-the-use-of-hooks-in-c-c,Changing variables during run-time without the use of hooks in C/C++?,,,,,
29,"['c++', 'getopt']","{'account_id': 131078, 'reputation': 3244, 'user_id': 597069, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/6a2faf3f8ade89f87e285dafd7ee4de4?s=256&d=identicon&r=PG', 'display_name': 'tflutre', 'link': 'https://stackoverflow.com/users/597069/tflutre'}",True,5509,10213755.0,4,5,1657972950,1334763960,1657972950.0,10213071,CC BY-SA 4.0,https://stackoverflow.com/questions/10213071/in-c-how-to-use-only-long-options-with-a-required-argument,"In C++, how to use only long options with a required argument?",,,,,
30,"['c++', 'object', 'methods', 'null', 'design-patterns']","{'account_id': 271008, 'reputation': 85833, 'user_id': 561309, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/6d833d9f0ffa2265a01359ccecd26d54?s=256&d=identicon&r=PG&f=1', 'display_name': 'laurent', 'link': 'https://stackoverflow.com/users/561309/laurent'}",True,65594,10371115.0,9,49,1656489048,1335691879,1335697005.0,10371094,CC BY-SA 3.0,https://stackoverflow.com/questions/10371094/returning-a-null-reference-in-c,Returning a &quot;NULL reference&quot; in C++?,,,,,
31,"['c++', 'c']","{'account_id': 1404714, 'reputation': 143, 'user_id': 1332744, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e0522d96f44dd7e2e8be0fd2d6f1a945?s=256&d=identicon&r=PG', 'display_name': 'samkpo', 'link': 'https://stackoverflow.com/users/1332744/samkpo'}",True,4422,,2,7,1656062774,1334369368,1334369634.0,10150415,CC BY-SA 3.0,https://stackoverflow.com/questions/10150415/using-lm-sensors-to-get-temperature,Using lm-sensors to get temperature,,,,,
32,"['c++', 'string', 'algorithm']","{'account_id': 1005437, 'reputation': 5228, 'user_id': 1019342, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/12f1dc6a994818a6e8d0020f1489dfcf?s=256&d=identicon&r=PG', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/1019342/ali'}",True,153972,10058725.0,13,71,1655491213,1333834740,1493263726.0,10058606,CC BY-SA 3.0,https://stackoverflow.com/questions/10058606/splitting-a-string-by-a-character,Splitting a string by a character,,,,,
33,"['c++', 'file-io']","{'account_id': 1050179, 'reputation': 2130, 'user_id': 1054324, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/QzmZC.png?s=256&g=1', 'display_name': 'Peter', 'link': 'https://stackoverflow.com/users/1054324/peter'}",True,245939,10195497.0,8,336,1655028135,1334680713,1436333015.0,10195343,CC BY-SA 3.0,https://stackoverflow.com/questions/10195343/copy-a-file-in-a-sane-safe-and-efficient-way,"Copy a file in a sane, safe and efficient way",,,1335177379.0,,
34,"['c++', 'reference', 'operator-overloading', 'comma-operator']","{'account_id': 1340095, 'reputation': 206, 'user_id': 1281943, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/f80845c450c039cd7c5688be6bb5a58a?s=256&d=identicon&r=PG', 'display_name': 'Yazou', 'link': 'https://stackoverflow.com/users/1281943/yazou'}",True,1627,10295590.0,3,0,1654874872,1335258857,1654874872.0,10295010,CC BY-SA 4.0,https://stackoverflow.com/questions/10295010/c-comma-operator-overloading-and-vector-of-references,C++ comma operator overloading and vector of references,,,,,
35,"['c++', 'c++11', 'variadic']","{'account_id': 993728, 'reputation': 1964, 'user_id': 1010226, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/60c1f13f6ea1b5f82a8eda9bdab66a75?s=256&d=identicon&r=PG', 'display_name': 'CTMacUser', 'link': 'https://stackoverflow.com/users/1010226/ctmacuser'}",True,1441,10226717.0,1,5,1654807563,1334830917,1654807563.0,10226090,CC BY-SA 4.0,https://stackoverflow.com/questions/10226090/can-variadic-expansions-be-used-as-a-chain-of-comma-operator-calls,Can variadic expansions be used as a chain of comma-operator calls?,,,,,
36,"['c++', 'string']","{'account_id': 1334678, 'reputation': 577, 'user_id': 1277710, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/a7f8c173d896d0612fdf787f396cdf09?s=256&d=identicon&r=PG', 'display_name': 'NetInfo', 'link': 'https://stackoverflow.com/users/1277710/netinfo'}",True,179439,10218747.0,5,15,1654706307,1334786497,,10218714,CC BY-SA 3.0,https://stackoverflow.com/questions/10218714/c-string-declaring,C++ String Declaring,,,,,
37,"['c++', 'box2d', 'shapes']","{'account_id': 1261425, 'reputation': 1163, 'user_id': 1219610, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/7816351c97476e831d02049cc0195cc8?s=256&d=identicon&r=PG', 'display_name': 'Buron', 'link': 'https://stackoverflow.com/users/1219610/buron'}",True,4065,,1,3,1654640567,1333644827,,10032756,CC BY-SA 3.0,https://stackoverflow.com/questions/10032756/how-to-create-ellipse-shapes-in-box2d,How to create ellipse shapes in box2d?,,,,,
38,"['c++', 'c', 'pointers', 'language-lawyer', 'limit']","{'account_id': 1359681, 'reputation': 7616, 'user_id': 1297267, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/8f7db3b32eb760653a8e35ad5e39ff3a?s=256&d=identicon&r=PG', 'display_name': 'Parag', 'link': 'https://stackoverflow.com/users/1297267/parag'}",True,53002,,14,470,1654602826,1334054057,1584015499.0,10087113,CC BY-SA 4.0,https://stackoverflow.com/questions/10087113/how-many-levels-of-pointers-can-we-have,How many levels of pointers can we have?,,,,1334560949.0,
39,"['c++', 'string', 'ascii']","{'account_id': 1203544, 'reputation': 1861, 'user_id': 1173731, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/HX56a.jpg?s=256&g=1', 'display_name': 'AnthonyW', 'link': 'https://stackoverflow.com/users/1173731/anthonyw'}",True,34432,15813530.0,4,9,1654115907,1334596965,1495540956.0,10178700,CC BY-SA 3.0,https://stackoverflow.com/questions/10178700/c-strip-non-ascii-characters-from-string,C++ Strip non-ASCII Characters from string,,,,,
40,"['c++', 'c', 'linux', 'execve']","{'account_id': 1204808, 'reputation': 10730, 'user_id': 1174719, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/3a19c5c9ee8dc642d77ef0e5bc563772?s=256&d=identicon&r=PG', 'display_name': 'Nosrettap', 'link': 'https://stackoverflow.com/users/1174719/nosrettap'}",True,23437,10068383.0,2,4,1654110427,1333938897,1333986439.0,10068327,CC BY-SA 3.0,https://stackoverflow.com/questions/10068327/what-does-execve-do,What does execve() do?,,,,,
41,"['c++', 'memory-management']","{'account_id': 1036919, 'reputation': 1309, 'user_id': 1043920, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/691ca9c705760bd4344b9dccb0828dcd?s=256&d=identicon&r=PG', 'display_name': 'mmurphy', 'link': 'https://stackoverflow.com/users/1043920/mmurphy'}",True,809,10219775.0,4,2,1654011893,1334792848,1407768693.0,10219738,CC BY-SA 3.0,https://stackoverflow.com/questions/10219738/is-it-possible-to-call-the-destructor-without-knowing-the-type,Is it possible to call the destructor without knowing the type?,,,,,
42,"['c++', 'struct', 'binaryfiles']","{'account_id': 1381256, 'reputation': 3, 'user_id': 1325507, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f057505cb6d7b2145e4633611acd4bbc?s=256&d=identicon&r=PG', 'display_name': 'z0mi3ie', 'link': 'https://stackoverflow.com/users/1325507/z0mi3ie'}",True,1830,10117178.0,2,0,1653556831,1334201906,1653556831.0,10117063,CC BY-SA 4.0,https://stackoverflow.com/questions/10117063/writing-to-a-binary-file-from-a-struct-part-of-a-linked-list,Writing to a binary file from a struct part of a linked list,,,,,
43,"['c++', 'visual-c++', 'dll', 'dllexport', 'import-libraries']","{'account_id': 27779, 'reputation': 18638, 'user_id': 73656, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/6e74327cd30703efbb90fc29f4fed03d?s=256&d=identicon&r=PG', 'display_name': 'Pavel Radzivilovsky', 'link': 'https://stackoverflow.com/users/73656/pavel-radzivilovsky'}",True,2798,15187968.0,5,5,1653492631,1333383744,1362548480.0,9980026,CC BY-SA 3.0,https://stackoverflow.com/questions/9980026/suppress-import-library-creation-visual-c-linker,Suppress import library creation - Visual C++ linker,,,,,
44,"['c++', 'audio', 'console']","{'account_id': 1313245, 'reputation': 647, 'user_id': 1260774, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/d7e6f7351b2b2e8bee27964ac843b1dc?s=256&d=identicon&r=PG', 'display_name': 'aJynks', 'link': 'https://stackoverflow.com/users/1260774/ajynks'}",True,62997,9961965.0,6,5,1653309245,1333255020,1622650327.0,9961949,CC BY-SA 4.0,https://stackoverflow.com/questions/9961949/playsound-in-c-console-application,PlaySound in C++ Console application?,,,,,
45,"['c++', 'windows']","{'account_id': 1259741, 'reputation': 651, 'user_id': 1218395, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/3cd8eff5d6687b0af91a0b19afd2d9f8?s=256&d=identicon&r=PG', 'display_name': 'Tprice88', 'link': 'https://stackoverflow.com/users/1218395/tprice88'}",True,260323,9965832.0,6,19,1653297469,1333294776,1333295798.0,9965710,CC BY-SA 3.0,https://stackoverflow.com/questions/9965710/how-to-change-text-and-background-color,How to change text and background color?,,,,1567376753.0,
46,"['c++', 'cmake', 'protocol-buffers']","{'account_id': 85449, 'reputation': 31603, 'user_id': 238232, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/ccda2293fc93c7a871956102004ac19d?s=256&d=identicon&r=PG', 'display_name': 'cnd', 'link': 'https://stackoverflow.com/users/238232/cnd'}",True,33839,10010837.0,2,24,1653287092,1333539836,,10010398,CC BY-SA 3.0,https://stackoverflow.com/questions/10010398/how-to-link-google-protobuf-libraries-via-cmake-on-linux,How to link google protobuf libraries via cmake on linux?,,,,,
47,"['c++', 'string', 'templates', 'stringstream']","{'account_id': 351875, 'reputation': 14257, 'user_id': 688624, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/b0714eded10b5ccee614c7134360974b?s=256&d=identicon&r=PG', 'display_name': 'imallett', 'link': 'https://stackoverflow.com/users/688624/imallett'}",True,1407,9958662.0,1,3,1653188924,1333219224,1653188924.0,9958621,CC BY-SA 4.0,https://stackoverflow.com/questions/9958621/ambiguous-overload-for-stringstream,Ambiguous Overload for stringstream,,,,,
