,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,locked_date
10,"['c++', 'oop', 'pointers', 'dynamic', 'abstract']","{'account_id': 13367802, 'reputation': 71, 'user_id': 9647366, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0c5208a49ff240ca745a32e2471f3f31?s=256&d=identicon&r=PG&f=1', 'display_name': 'UW_Huskies_01', 'link': 'https://stackoverflow.com/users/9647366/uw-huskies-01'}",True,72,1,0,1665587320,1605574946,64867905,CC BY-SA 4.0,https://stackoverflow.com/questions/64867905/how-can-i-make-a-dynamic-array-of-pointers-that-each-point-to-an-abstract-base-c,How can I make a dynamic array of pointers that each point to an abstract base class?,1665587320.0,64867948.0,,,
11,"['c++', 'vector', 'iterator']","{'account_id': 18208482, 'reputation': 1203, 'user_id': 13371696, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjpWp5llP56LFuEvFIDUCGiBZATIT7XzSntnYK6hg=k-s256', 'display_name': 'Rawnak Yazdani', 'link': 'https://stackoverflow.com/users/13371696/rawnak-yazdani'}",True,402,1,1,1665137658,1604658746,64712927,CC BY-SA 4.0,https://stackoverflow.com/questions/64712927/how-does-the-subtraction-of-two-iterators-denote-the-index-of-a-vector-item-in-c,How does the subtraction of two iterators denote the index of a vector item in C++?,1665137658.0,64713113.0,,,
12,"['c++', 'visual-studio', 'cmake', 'linker-errors', 'clion']","{'account_id': 19100270, 'reputation': 21, 'user_id': 13948708, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1811618505799500/picture?type=large', 'display_name': 'Cesar Monsalud', 'link': 'https://stackoverflow.com/users/13948708/cesar-monsalud'}",False,716,1,2,1664526251,1605775365,64908133,CC BY-SA 4.0,https://stackoverflow.com/questions/64908133/how-do-i-fix-a-linker-error-in-clion-when-there-seems-to-be-no-problem-with-the,How do I fix a linker error in Clion when there seems to be no problem with the code?,,,,,
13,"['c++', 'dll', 'name-mangling']","{'account_id': 20062856, 'reputation': 25, 'user_id': 14709217, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-QmRIojx-Z-8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmlNrqKbBQ3dcV9zMwNePoJ132M9Q/s96-c/photo.jpg?sz=256', 'display_name': 'uzer', 'link': 'https://stackoverflow.com/users/14709217/uzer'}",True,287,2,1,1663676857,1606339086,65012811,CC BY-SA 4.0,https://stackoverflow.com/questions/65012811/c-dll-and-name-mangling-issue,C++ dll and name mangling issue,1606339903.0,65012955.0,,,
14,['c++'],"{'account_id': 19741310, 'reputation': 21, 'user_id': 14454641, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-LPOp721gsvM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclTHpiOv1BnmC6vP6Iz5K8iJXyWzQ/s96-c/photo.jpg?sz=256', 'display_name': 'LickMe', 'link': 'https://stackoverflow.com/users/14454641/lickme'}",True,214,3,0,1663083028,1606364246,65016044,,https://stackoverflow.com/questions/65016044/conditions-that-wont-accept-letters-from-the-alphabet,Conditions that won&#39;t accept letters from the alphabet,1606388643.0,,1663083203.0,Duplicate,
15,"['c++', 'c++11', 'templates', 'constexpr']","{'account_id': 19735304, 'reputation': 331, 'user_id': 14449929, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-iFYk1HWVgH4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclmPbHQmS-U_ZdnZfG3KidoJeskKg/s96-c/photo.jpg?sz=256', 'display_name': 'Carol Victor', 'link': 'https://stackoverflow.com/users/14449929/carol-victor'}",True,163,1,-1,1662913988,1605996592,64948611,CC BY-SA 4.0,https://stackoverflow.com/questions/64948611/constexpr-encrypted-strings,Constexpr Encrypted Strings,,,,,
16,"['c++', 'window']","{'account_id': 17213427, 'reputation': 3, 'user_id': 14112130, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1e427eb1f915fd3ef967581aebdc1b58?s=256&d=identicon&r=PG&f=1', 'display_name': 'Cody S', 'link': 'https://stackoverflow.com/users/14112130/cody-s'}",True,1113,3,0,1662192678,1605717647,64897414,CC BY-SA 4.0,https://stackoverflow.com/questions/64897414/error-c2664-messageboxw-cannot-convert-argument-2-from-const-char-to-lpcwst,Error C2664: MessageBoxW cannot convert argument 2 from &#39;const char &#39; to &#39;LPCWSTR&#39;,1605719176.0,64897441.0,,,
17,"['c++', 'opencv', 'raspberry-pi']","{'account_id': 20033908, 'reputation': 61, 'user_id': 14686078, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5661db6c7144f9b425a59bb34e1fb740?s=256&d=identicon&r=PG&f=1', 'display_name': 'INT_Tom', 'link': 'https://stackoverflow.com/users/14686078/int-tom'}",False,2699,0,2,1662100111,1606054961,64955268,CC BY-SA 4.0,https://stackoverflow.com/questions/64955268/opencv4-cant-initialize-gtk-backend,OpenCV4 can&#39;t initialize GTK backend,1662100111.0,,,,
18,"['c++', 'parameters', 'arduino']","{'account_id': 10206598, 'reputation': 161, 'user_id': 7535155, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://lh6.googleusercontent.com/-7ixXZxG9jWs/AAAAAAAAAAI/AAAAAAAAABc/liwFubbXhxQ/photo.jpg?sz=256', 'display_name': 'BrunoTS', 'link': 'https://stackoverflow.com/users/7535155/brunots'}",True,463,3,-2,1662006324,1605633664,64880169,CC BY-SA 4.0,https://stackoverflow.com/questions/64880169/arrays-with-unknown-size-on-arduino,Arrays with unknown size on Arduino,1605634330.0,,,,
19,"['c++', 'memory-leaks', 'virtual', 'vmmap']","{'account_id': 212929, 'reputation': 9531, 'user_id': 466056, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/101889513654ccabf2cff98d3352e74c?s=256&d=identicon&r=PG', 'display_name': 'YAKOVM', 'link': 'https://stackoverflow.com/users/466056/yakovm'}",True,74,1,0,1661822331,1605477963,64850300,CC BY-SA 4.0,https://stackoverflow.com/questions/64850300/vmmap-reports-100-gb-allocations,VMMap reports ~100 GB allocations,,64850711.0,,,
20,"['c++', 'windows', 'visual-c++', 'printf']","{'account_id': 238634, 'reputation': 318, 'user_id': 507662, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/d4261ca820fe2cfbac8865f48b4dc6ee?s=256&d=identicon&r=PG', 'display_name': 'Michael', 'link': 'https://stackoverflow.com/users/507662/michael'}",False,392,0,7,1661793868,1606195099,64980651,CC BY-SA 4.0,https://stackoverflow.com/questions/64980651/hang-in-printf-on-windows,hang in printf on Windows,,,,,
21,"['c++', 'arduino', 'esp32']","{'account_id': 19930941, 'reputation': 13, 'user_id': 14604562, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-1Rk4TEuYd8s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck-ZBPOi4HJV2nbkKw1Dny50TSFGg/s96-c/photo.jpg?sz=256', 'display_name': 'Jakub Nevařil', 'link': 'https://stackoverflow.com/users/14604562/jakub-neva%c5%99il'}",True,603,1,1,1661593413,1604913417,64748807,CC BY-SA 4.0,https://stackoverflow.com/questions/64748807/wificlient-read-returns-number-1-for-each-character-sent,WiFiClient.Read() returns number 1 for each character sent,1658644223.0,64750476.0,,,
22,"['c++', 'clang', 'c++17', 'std']","{'account_id': 15740230, 'reputation': 119, 'user_id': 11357889, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/BQWRS.jpg?s=256&g=1', 'display_name': 'lead-free', 'link': 'https://stackoverflow.com/users/11357889/lead-free'}",True,1025,3,2,1661455826,1605744199,64903331,CC BY-SA 4.0,https://stackoverflow.com/questions/64903331/clang-execution-header-not-found,clang execution header not found,1605745029.0,64905047.0,,,
23,"['c++', 'makefile', 'cmake']","{'account_id': 16460429, 'reputation': 66, 'user_id': 11891602, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-f6_KTYeiLjU/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rf9zivZVLd1fN2z3inSPuEI35b0uw/photo.jpg?sz=256', 'display_name': 'Xavier Groleau', 'link': 'https://stackoverflow.com/users/11891602/xavier-groleau'}",True,625,1,-1,1661358515,1604378665,64656916,,https://stackoverflow.com/questions/64656916/cmake-public-static-library-not-linking-undefined-reference,"CMake. Public static library not linking, undefined reference",1604409110.0,64664189.0,1604423843.0,Duplicate,
24,"['c++', 'compilation', 'linker']","{'account_id': 20010156, 'reputation': 61, 'user_id': 14667305, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/653b758b26f7f6b770dd8523aa1f2c6a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Romain B', 'link': 'https://stackoverflow.com/users/14667305/romain-b'}",False,202,1,6,1661275315,1605865912,64927243,CC BY-SA 4.0,https://stackoverflow.com/questions/64927243/unexpected-symbols-resolution-when-linking-against-c-library,Unexpected symbols resolution when linking against c++ library,1661261352.0,,,,
25,"['c++', 'unique-ptr']","{'account_id': 12635760, 'reputation': 2492, 'user_id': 9185253, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/114451586026362/picture?type=large', 'display_name': 'Maestro', 'link': 'https://stackoverflow.com/users/9185253/maestro'}",True,576,2,0,1660606345,1604781818,64732246,CC BY-SA 4.0,https://stackoverflow.com/questions/64732246/how-unique-ptr-can-use-the-custom-deleter-function,How unique_ptr can use the custom deleter function?,,,,,
26,"['python', 'c++', 'ndi']","{'account_id': 15541685, 'reputation': 1, 'user_id': 11212198, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d2f4b8ddb56bcb0b7fd60ef15c1744a4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Abdullah Tanveer', 'link': 'https://stackoverflow.com/users/11212198/abdullah-tanveer'}",False,1621,1,0,1660571616,1605764842,64906056,CC BY-SA 4.0,https://stackoverflow.com/questions/64906056/ndi-network-device-interface-with-python,NDI ( Network Device Interface ) with Python,1660571616.0,,,,
27,"['c++', 'gcc', 'clang', 'simd', 'auto-vectorization']","{'account_id': 1103165, 'reputation': 13674, 'user_id': 1095108, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/ef58c13b698fcca901cab8694123ae2d?s=256&d=identicon&r=PG', 'display_name': 'user1095108', 'link': 'https://stackoverflow.com/users/1095108/user1095108'}",True,109,1,3,1659792525,1606393935,65022124,CC BY-SA 4.0,https://stackoverflow.com/questions/65022124/shuffle-function-and-simd-code-generation,shuffle() function and SIMD code generation,1606394089.0,,,,
28,"['c++', 'reference', 'rvalue', 'perfect-forwarding']","{'account_id': 8872478, 'reputation': 689, 'user_id': 6625804, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1206674012717729/picture?type=large', 'display_name': 'Hrant Nurijanyan', 'link': 'https://stackoverflow.com/users/6625804/hrant-nurijanyan'}",True,851,1,1,1659025080,1604611315,64705493,CC BY-SA 4.0,https://stackoverflow.com/questions/64705493/perfect-forwarding-vs-const-reference,Perfect forwarding vs const reference,1659025080.0,64705607.0,,,
29,"['c++', 'macos', 'visual-studio-code', 'terminal']","{'account_id': 17026496, 'reputation': 21, 'user_id': 12317590, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDPN6B4Uf1b37fdutIZGOBQQHKcmOzNL-i3VqeNAw=k-s256', 'display_name': 'Zhaoyu Gu', 'link': 'https://stackoverflow.com/users/12317590/zhaoyu-gu'}",False,1551,1,1,1659008263,1606257923,64995957,CC BY-SA 4.0,https://stackoverflow.com/questions/64995957/terminal-will-be-reused-by-tasks-press-any-key-to-close-it,"Terminal will be reused by tasks, press any key to close it",1606258240.0,,,,
30,"['c++', 'arduino', 'led', 'circuit']","{'account_id': 14771691, 'reputation': 57, 'user_id': 11891609, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6ca1ba5e5b96ae3b3c1f6cc6a7a1232c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Anonymous 286', 'link': 'https://stackoverflow.com/users/11891609/anonymous-286'}",True,139,2,1,1658742181,1606144966,64971238,CC BY-SA 4.0,https://stackoverflow.com/questions/64971238/why-is-the-red-light-not-lighting-up,Why is the red light not lighting up?,1658742137.0,64972150.0,,,
31,"['c++', 'http', 'post', 'esp32', 'panic']","{'user_type': 'does_not_exist', 'display_name': 'user7772779'}",True,575,1,1,1658741146,1605370938,64836033,CC BY-SA 4.0,https://stackoverflow.com/questions/64836033/esp32-panics-every-other-http-post-request,ESP32 panics every other HTTP POST request,1658741146.0,,,,
32,"['c++', 'bit-shift']","{'account_id': 9557032, 'reputation': 33, 'user_id': 7099186, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/794fd0aec9bb02814982f216925bc5a6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Maeglix', 'link': 'https://stackoverflow.com/users/7099186/maeglix'}",True,1368,3,3,1658739911,1605610582,64873884,CC BY-SA 4.0,https://stackoverflow.com/questions/64873884/storing-multiple-int-values-into-one-variable-c,Storing multiple int values into one variable - C++,1658739795.0,64874280.0,,,
33,"['c++', 'arduino', 'adc', 'sensors']","{'account_id': 19957479, 'reputation': 77, 'user_id': 14625849, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Amx7M.jpg?s=256&g=1', 'display_name': 'the_pie_in_the_sky_is_a_lie', 'link': 'https://stackoverflow.com/users/14625849/the-pie-in-the-sky-is-a-lie'}",True,135,1,1,1658738672,1605274789,64821949,CC BY-SA 4.0,https://stackoverflow.com/questions/64821949/strange-data-from-wheatstone-bridge-via-adc-and-arduino,Strange data from Wheatstone bridge via ADC and Arduino,1658738672.0,64823964.0,,,
34,['c++'],"{'account_id': 19887247, 'reputation': 33, 'user_id': 14570014, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjenRZN2RXOY2quH0K7p-fLZWQd-PbnwHuBofLO=k-s256', 'display_name': 'treeTallAsian', 'link': 'https://stackoverflow.com/users/14570014/treetallasian'}",True,663,3,3,1658737585,1604400825,64661430,CC BY-SA 4.0,https://stackoverflow.com/questions/64661430/using-the-newline-character-to-break-a-loop-in-c,Using the newline character to break a loop in c++,1658737564.0,64661484.0,,,
35,"['c++', 'arduino', 'bluetooth', 'binary', 'byte']","{'account_id': 19299835, 'reputation': 71, 'user_id': 14108022, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10158531200224696/picture?type=large', 'display_name': 'Alejandro Monsalve Krause', 'link': 'https://stackoverflow.com/users/14108022/alejandro-monsalve-krause'}",True,104,1,1,1658698819,1606510517,65043766,CC BY-SA 4.0,https://stackoverflow.com/questions/65043766/how-to-divide-a-number-into-1-byte-chunks-to-be-sent-through-serial-bluetooth-in,How to divide a number into 1-byte chunks to be sent through serial Bluetooth in C++?,1658698782.0,65076433.0,,,
36,"['c++', 'arduino', 'esp32', 'arduinojson']","{'account_id': 16591310, 'reputation': 25, 'user_id': 11989422, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/410021e27ed8a92ae6b04a87b8bc1d88?s=256&d=identicon&r=PG&f=1', 'display_name': 'alosbh', 'link': 'https://stackoverflow.com/users/11989422/alosbh'}",True,446,3,0,1658649626,1605794969,64913417,CC BY-SA 4.0,https://stackoverflow.com/questions/64913417/json-serializing-in-c-esp32,Json serializing in C++ (ESP32),1658649626.0,64917130.0,,,
37,"['c++', 'preprocessor']","{'account_id': 275035, 'reputation': 10582, 'user_id': 567650, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/ccbc30c848110d05818d71e37ae8c8cf?s=256&d=identicon&r=PG', 'display_name': 'jwd', 'link': 'https://stackoverflow.com/users/567650/jwd'}",True,870,4,2,1658269061,1606342407,65013414,CC BY-SA 4.0,https://stackoverflow.com/questions/65013414/msvc-treatment-of-va-args-vs-other-compilers,MSVC treatment of ##__VA_ARGS__ vs. other compilers,,,,,
38,"['c++', 'cmake', 'clion', 'address-sanitizer']","{'account_id': 19965730, 'reputation': 11, 'user_id': 14632358, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1db295d5512b1b81dcf49093b1f04333?s=256&d=identicon&r=PG&f=1', 'display_name': 'burny', 'link': 'https://stackoverflow.com/users/14632358/burny'}",True,1712,2,1,1657754831,1605272400,64821367,CC BY-SA 4.0,https://stackoverflow.com/questions/64821367/clion-wont-run-binary-with-address-sanitizer,CLion wont run binary with address sanitizer,1605282861.0,,,,
39,"['c++', 'gcc', 'g++', 'stdatomic']","{'account_id': 7744324, 'reputation': 1175, 'user_id': 5862756, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://i.stack.imgur.com/EzYCp.png?s=256&g=1', 'display_name': 'VorpalSword', 'link': 'https://stackoverflow.com/users/5862756/vorpalsword'}",True,1715,1,2,1657619755,1605799828,64914827,CC BY-SA 4.0,https://stackoverflow.com/questions/64914827/are-c20-new-atomic-flag-features-supported-in-g-gcc,Are C++20 new atomic_flag features supported in g++ / gcc?,1605801258.0,64915219.0,,,
40,"['c++', 'c++20']","{'account_id': 19468534, 'reputation': 143, 'user_id': 14241378, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/GA2Xc.jpg?s=256&g=1', 'display_name': 'xleonch', 'link': 'https://stackoverflow.com/users/14241378/xleonch'}",True,7515,3,12,1657472834,1605624609,64877559,CC BY-SA 4.0,https://stackoverflow.com/questions/64877559/cant-use-iostream-as-module-in-c20-visual-studio,Can&#39;t use iostream as module in C++20 (Visual Studio),1657471458.0,65542254.0,,,
41,"['c++', 'windows', 'winapi']","{'account_id': 14310826, 'reputation': 351, 'user_id': 10337166, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/27af0e8fe8e8b4291c5b796ec7a08c9c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Hunter91151', 'link': 'https://stackoverflow.com/users/10337166/hunter91151'}",False,139,2,0,1657197965,1606153010,64973434,CC BY-SA 4.0,https://stackoverflow.com/questions/64973434/enumerate-all-file-type-associations,Enumerate all file type associations,1606158377.0,,,,
42,"['c++', 'iterator', 'c++20', 'c++-concepts']","{'account_id': 4616979, 'reputation': 6558, 'user_id': 3743145, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/680680d82143e4d33dc569913e5ef8c5?s=256&d=identicon&r=PG', 'display_name': 'kyb', 'link': 'https://stackoverflow.com/users/3743145/kyb'}",True,801,1,1,1657028707,1605994227,64948293,CC BY-SA 4.0,https://stackoverflow.com/questions/64948293/implement-c20-bidirectional-iterator-concept,Implement C++20 bidirectional_iterator concept,1605998771.0,64948878.0,,,
43,"['c++', 'graphics', 'openmesh']","{'account_id': 5699103, 'reputation': 2424, 'user_id': 4504711, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/583d378f497f6f55857b9e3d58bb9a11?s=256&d=identicon&r=PG&f=1', 'display_name': 'Botond', 'link': 'https://stackoverflow.com/users/4504711/botond'}",True,105,1,1,1656069872,1605655405,64884841,CC BY-SA 4.0,https://stackoverflow.com/questions/64884841/remove-a-property-by-name-in-openmesh,Remove a property by name in OpenMesh,1605720225.0,64898786.0,,,
44,"['c++', 'compilation', 'g++']","{'user_type': 'does_not_exist', 'display_name': 'user14685345'}",True,1226,1,2,1655454088,1606320191,65008385,CC BY-SA 4.0,https://stackoverflow.com/questions/65008385/how-to-link-libraries-with-g-compiler,How to link libraries with g++ compiler?,1606326468.0,,,,
45,"['c++', 'multithreading', 'qt', 'post', 'qnetworkaccessmanager']","{'account_id': 10310503, 'reputation': 26, 'user_id': 13103631, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/990c76062e8d1ba3b7b107045cb1aab1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kylo_Entro', 'link': 'https://stackoverflow.com/users/13103631/kylo-entro'}",False,504,1,0,1655230064,1605392821,64839263,CC BY-SA 4.0,https://stackoverflow.com/questions/64839263/qt-qnetworkaccessmanager-post-method-works-only-in-main-thread,Qt QNetworkAccessManager post method works only in main thread,,,,,
46,"['c++', 'visual-studio', 'visual-c++', 'msbuild', 'pch']","{'account_id': 2634232, 'reputation': 895, 'user_id': 2279385, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6cc0421340d16d8c6f604893c46e748d?s=256&d=identicon&r=PG', 'display_name': 'mwallner', 'link': 'https://stackoverflow.com/users/2279385/mwallner'}",False,1235,2,3,1654766920,1605176310,64802010,CC BY-SA 4.0,https://stackoverflow.com/questions/64802010/virtual-range-for-pch-exceeded-issue-after-visual-studio-2019-upgrade-to-16,&#39;Virtual range for PCH exceeded&#39; issue - after Visual Studio 2019 Upgrade to 16.7.6,1605176423.0,,,,
47,"['c#', 'c++', 'callback', 'com', 'out-of-process']","{'account_id': 8183779, 'reputation': 21, 'user_id': 6160141, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/79fa4598e34b85e59ddb387e2b7de05e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dr. MefistO', 'link': 'https://stackoverflow.com/users/6160141/dr-mefisto'}",False,120,1,0,1654666036,1604429982,64668935,CC BY-SA 4.0,https://stackoverflow.com/questions/64668935/pass-c-callback-function-into-com-out-of-process-method,Pass C++ callback function into COM out-of-process method,1604430762.0,,,,
