,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,migrated_from,locked_date
10,"['c++', 'windows', 'visual-studio-code', 'boost']","{'account_id': 11184072, 'reputation': 13, 'user_id': 8207130, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ce94533b62ff8e702a6f68bce05e0c50?s=256&d=identicon&r=PG&f=1', 'display_name': 'Wojciech', 'link': 'https://stackoverflow.com/users/8207130/wojciech'}",True,686,2,0,1667993133,1649702504,71832753,CC BY-SA 4.0,https://stackoverflow.com/questions/71832753/could-not-find-vswhere,could not find &quot;vswhere&quot;,,71876171.0,,,,
11,"['c++', 'boost', 'boost-geometry']","{'account_id': 2247232, 'reputation': 2194, 'user_id': 2601293, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/43WA3.jpg?s=256&g=1', 'display_name': 'J&#39;e', 'link': 'https://stackoverflow.com/users/2601293/je'}",True,70,1,3,1667915118,1650371597,71925038,CC BY-SA 4.0,https://stackoverflow.com/questions/71925038/spheroid-line-interpolate-but-in-the-other-direction,Spheroid line_interpolate - but in the other direction,1650405449.0,74361765.0,,,,
12,"['c++', 'string', 'oop', 'pointers', 'char']","{'account_id': 14683299, 'reputation': 58, 'user_id': 18803325, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/41a2b0ce8dce73c81f8ba9b1ecacc9b4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Stefano', 'link': 'https://stackoverflow.com/users/18803325/stefano'}",True,5127,2,2,1667581295,1650830319,71991901,,https://stackoverflow.com/questions/71991901/error-iso-c-forbids-converting-a-string-constant-to-char,error: ISO C++ forbids converting a string constant to ‘char*’,,71992858.0,1667581283.0,Duplicate,,
13,"['c++', 'tensorflow', 'rust']","{'account_id': 16169433, 'reputation': 112, 'user_id': 11673556, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-g1tOj6e_IK8/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdFh-8c27PXJ_rGxv0XKl806y9SCg/mo/photo.jpg?sz=256', 'display_name': 'Bots Fab', 'link': 'https://stackoverflow.com/users/11673556/bots-fab'}",False,61,2,0,1667226903,1649725906,71835907,CC BY-SA 4.0,https://stackoverflow.com/questions/71835907/i-am-building-a-tensorflow-graph-using-tensorflow-rs-and-can-t-get-individual-op,I am building a TensorFlow graph using TensorFlow-rs and can’t get individual Operations from ops::split,1667002279.0,,,,,
14,"['c++', 'omnet++', 'veins']","{'account_id': 23006340, 'reputation': 23, 'user_id': 17129558, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a457b053d46704269410d3b974402b4c?s=256&d=identicon&r=PG', 'display_name': 'bettyn', 'link': 'https://stackoverflow.com/users/17129558/bettyn'}",True,127,1,1,1666973286,1650042339,71886865,CC BY-SA 4.0,https://stackoverflow.com/questions/71886865/how-to-include-a-vector-container-class-in-a-message-file-in-omnet,How to include a vector (container class) in a message file in OMNeT++,1650127417.0,,,,,
15,"['c++', 'c', 'visual-studio', 'compiler-warnings']","{'account_id': 11741517, 'reputation': 3369, 'user_id': 8593689, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-kY2lz_X3qgg/AAAAAAAAAAI/AAAAAAAAFd8/kH8aLaFLJuc/photo.jpg?sz=256', 'display_name': 'Shane Bishop', 'link': 'https://stackoverflow.com/users/8593689/shane-bishop'}",True,198,1,3,1666965382,1651082712,72033411,CC BY-SA 4.0,https://stackoverflow.com/questions/72033411/what-is-the-visual-studio-warning-equivalent-of-gccs-wreturn-type,What is the Visual Studio warning equivalent of GCC&#39;s -Wreturn-type?,1666964925.0,72034727.0,,,,
16,"['c++', 'tensorflow', 'tensorflow-c++', 'cppflow']","{'account_id': 16822421, 'reputation': 11, 'user_id': 12162505, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDkmigxzQpuWPp5dmDXKdFRK8NtdXGwtvb5m9BLsg=k-s256', 'display_name': 'Alfan Rizaldy', 'link': 'https://stackoverflow.com/users/12162505/alfan-rizaldy'}",False,154,1,1,1666951282,1649056692,71733344,CC BY-SA 4.0,https://stackoverflow.com/questions/71733344/how-to-create-custom-tensor-value-with-shape-b-n-m,"How to create custom tensor value with shape (b,n,m)?",1649065462.0,,,,,
17,"['c++', 'c', 'gcc', 'x86-64', 'atomic']","{'account_id': 3032157, 'reputation': 27494, 'user_id': 4561887, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/1ecb6a74fca21551bd8157504ad47faf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gabriel Staples', 'link': 'https://stackoverflow.com/users/4561887/gabriel-staples'}",True,544,2,9,1666903474,1649910683,71866535,CC BY-SA 4.0,https://stackoverflow.com/questions/71866535/which-types-on-a-64-bit-computer-are-naturally-atomic-in-gnu-c-and-gnu-c-m,"Which types on a 64-bit computer are naturally atomic in gnu C and gnu C++? -- meaning they have atomic reads, and atomic writes",1660795275.0,,,,,
18,"['c++', 'visual-studio-code', 'dev-c++']","{'account_id': 14351438, 'reputation': 1, 'user_id': 10366774, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fc1b89f7daa59975d8e50e924fea36f0?s=256&d=identicon&r=PG', 'display_name': 'b y f hc', 'link': 'https://stackoverflow.com/users/10366774/b-y-f-hc'}",False,33,0,0,1666787702,1649400045,71792688,CC BY-SA 4.0,https://stackoverflow.com/questions/71792688/my-code-can-run-in-devc-but-does-not-run-in-vscode,My code can run in devc++ but does not run in vscode,1666787702.0,,,,,
19,"['c#', 'c++', 'winforms', 'gesture', 'touchpad']","{'account_id': 24832611, 'reputation': 41, 'user_id': 18711636, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/473a24373ed1901cf62b73c9c940e30b?s=256&d=identicon&r=PG', 'display_name': 'Mitesh Gosar', 'link': 'https://stackoverflow.com/users/18711636/mitesh-gosar'}",False,181,0,4,1666698169,1649153369,71749912,CC BY-SA 4.0,https://stackoverflow.com/questions/71749912/stop-touchpad-trackpad-3-finger-gestures-in-windows-application,Stop touchpad/trackpad 3 finger gestures in windows application,1666698169.0,,,,,
20,"['c++', 'windows', 'cmake', 'lib', 'vcpkg']","{'account_id': 6576696, 'reputation': 5019, 'user_id': 5082463, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/877843e34372342a80c73f38ee79ad60?s=256&d=identicon&r=PG&f=1', 'display_name': 'KcFnMi', 'link': 'https://stackoverflow.com/users/5082463/kcfnmi'}",True,539,2,2,1666595049,1649650373,71822648,CC BY-SA 4.0,https://stackoverflow.com/questions/71822648/vcpkg-manifest-install-system-wide,vcpkg manifest install system wide,1649652852.0,71833564.0,,,,
21,"['c++', 'clang', 'libstdc++', 'c++-modules']","{'account_id': 1075529, 'reputation': 1073, 'user_id': 1073784, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/a826c65f4ff3e4fbffb972c3b16acde7?s=256&d=identicon&r=PG', 'display_name': 'Sami Liedes', 'link': 'https://stackoverflow.com/users/1073784/sami-liedes'}",True,256,1,6,1666045181,1650797075,71987638,CC BY-SA 4.0,https://stackoverflow.com/questions/71987638/with-clang-and-libstdc-on-linux-is-it-currently-feasible-to-use-any-standard,"With clang and libstdc++ on Linux, is it currently feasible to use any standard library types in a module interface?",,74103854.0,,,,
22,"['c++', 'linux', 'ubuntu', 'pipe']","{'account_id': 21325189, 'reputation': 11, 'user_id': 15697685, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1200677953684745/picture?type=large', 'display_name': 'Aniqa', 'link': 'https://stackoverflow.com/users/15697685/aniqa'}",False,116,1,0,1665930801,1649503521,71807638,CC BY-SA 4.0,https://stackoverflow.com/questions/71807638/how-to-implement-pipes-in-custom-shell,How to implement pipes in custom shell?,,,,,,
23,"['python', 'c++', 'raspberry-pi', 'arduino-uno', 'spi']","{'account_id': 7205585, 'reputation': 66, 'user_id': 5501297, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/RHv0G.png?s=256&g=1', 'display_name': 'pokeybill', 'link': 'https://stackoverflow.com/users/5501297/pokeybill'}",False,274,1,1,1665873999,1648936136,71721415,CC BY-SA 4.0,https://stackoverflow.com/questions/71721415/troubleshooting-arduino-pi4-communication-using-nrf24l01,Troubleshooting Arduino/Pi4 communication using nRF24L01,,,,,,
24,"['c++', 'vtk']","{'account_id': 12382284, 'reputation': 157, 'user_id': 9027373, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/03e66e155d796e76149c31a92f94bc55?s=256&d=identicon&r=PG&f=1', 'display_name': 'mystic.06', 'link': 'https://stackoverflow.com/users/9027373/mystic-06'}",False,109,1,1,1665767093,1650350894,71920725,CC BY-SA 4.0,https://stackoverflow.com/questions/71920725/stream-ply-string-data-instead-reading-it-from-a-file,Stream PLY string data instead reading it from a file,,,,,,
25,"['c++', 'logging', 'random', 'save', 'srand']","{'account_id': 25001235, 'reputation': 23, 'user_id': 18861628, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GghbhTDGF3W4p5D4WGJTj8Aii4dXBUZzSD5ro0OWg=k-s256', 'display_name': 'Der Theorieticker', 'link': 'https://stackoverflow.com/users/18861628/der-theorieticker'}",False,58,1,0,1665766956,1650362120,71923002,CC BY-SA 4.0,https://stackoverflow.com/questions/71923002/how-to-logg-srand-outcomes-into-txt-file-in-c,How to logg SRAND outcomes into .txt file in c++?,1654097450.0,,,,,
26,"['c++', 'cmake', 'symbolic-math']","{'account_id': 7691136, 'reputation': 57, 'user_id': 5827413, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-6LOrKo_j9PY/AAAAAAAAAAI/AAAAAAAAAIo/sqk4lLGpB7Q/photo.jpg?sz=256', 'display_name': 'Lord Nexprex', 'link': 'https://stackoverflow.com/users/5827413/lord-nexprex'}",True,327,1,0,1665766572,1650729304,71981298,CC BY-SA 4.0,https://stackoverflow.com/questions/71981298/cmake-include-header-only-library-with-i-option,Cmake include header only library with -I option,1650729441.0,71981356.0,,,,
27,"['c++', 'vtable']","{'account_id': 21978891, 'reputation': 21, 'user_id': 16254269, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ced1319ec02aaebd740c6732f220dfcb?s=256&d=identicon&r=PG&f=1', 'display_name': 'DisplayName', 'link': 'https://stackoverflow.com/users/16254269/displayname'}",True,142,2,1,1665599151,1649434289,71800202,CC BY-SA 4.0,https://stackoverflow.com/questions/71800202/trivially-copyable-requirements-and-virtual-functions,Trivially copyable requirements and virtual functions,1649435623.0,,,,,
28,"['c++', 'encryption', 'openssl', 'network-programming']","{'account_id': 24822606, 'reputation': 1, 'user_id': 18702776, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bdbd566c1199506ac5999f5ae339574f?s=256&d=identicon&r=PG', 'display_name': 'Victor C', 'link': 'https://stackoverflow.com/users/18702776/victor-c'}",False,2353,2,-1,1665573563,1649080675,71738520,CC BY-SA 4.0,https://stackoverflow.com/questions/71738520/openssl-3-0-2-pkcs12-parse-failure,OpenSSL 3.0.2 PKCS12_parse Failure,,,,,,
29,"['c++', 'arrays', '2d']","{'account_id': 24928734, 'reputation': 1, 'user_id': 18796126, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10229072363492727/picture?type=large', 'display_name': 'Dwayne Hampton', 'link': 'https://stackoverflow.com/users/18796126/dwayne-hampton'}",False,423,1,-1,1665538638,1649871866,71861775,CC BY-SA 4.0,https://stackoverflow.com/questions/71861775/ue4-c-cannot-get-ue4-tarray-to-work-with-c-2darray,UE4 C++ Cannot get UE4 TArray to work with C++ 2DArray,1649877022.0,,,,,
30,"['c++', 'function', 'class', 'constexpr']","{'user_type': 'does_not_exist', 'display_name': 'user18065329'}",True,76,1,-1,1665513102,1650014419,71882230,CC BY-SA 4.0,https://stackoverflow.com/questions/71882230/how-to-define-constexpr-function-inside-class,How to define constexpr function inside class?,1665513102.0,,,,,
31,"['c++', 'opengl', 'glfw']","{'account_id': 13365674, 'reputation': 146, 'user_id': 9646048, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-vtVxseNsZYU/AAAAAAAAAAI/AAAAAAAAK1Y/Wp4wNg6Y1dA/photo.jpg?sz=256', 'display_name': 'Snakehater', 'link': 'https://stackoverflow.com/users/9646048/snakehater'}",False,74,1,0,1665362415,1649060404,71734005,CC BY-SA 4.0,https://stackoverflow.com/questions/71734005/opengl-randomly-renders-no-triangles,OpenGL randomly renders no triangles,,,,,,
32,"['c++', 'string', 'visual-studio-code', 'fstream', 'ifstream']","{'account_id': 24942509, 'reputation': 13, 'user_id': 18808201, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d263fce1c05a6a53572969dd164d4570?s=256&d=identicon&r=PG', 'display_name': 'Adrian', 'link': 'https://stackoverflow.com/users/18808201/adrian'}",True,280,1,0,1665255462,1649984782,71879059,CC BY-SA 4.0,https://stackoverflow.com/questions/71879059/fstream-doesnt-read-the-input-visual-studio-code-but-it-works-in-visual-studio,fstream doesn&#39;t read the input Visual Studio Code but it works in Visual Studio Community,1665255462.0,71886748.0,,,,
33,"['c++', 'visual-studio-code', 'gdb']","{'account_id': 23721099, 'reputation': 37, 'user_id': 17741643, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhRFh7pDoqMZsO55L_N83XlpnLgMQHD191eihzAPQ=k-s256', 'display_name': 'Subham Swostik Pradhan', 'link': 'https://stackoverflow.com/users/17741643/subham-swostik-pradhan'}",True,350,1,2,1665169398,1650978865,72014621,CC BY-SA 4.0,https://stackoverflow.com/questions/72014621/specified-argument-was-out-of-the-range-of-valid-values-parameter-arch,Specified argument was out of the range of valid values.(Parameter &#39;arch&#39;),,,,,,
34,"['c++', 'makefile']","{'account_id': 24580387, 'reputation': 21, 'user_id': 18485612, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/28367127e35a4369c6b6ffcbef0b617a?s=256&d=identicon&r=PG', 'display_name': 'ElAzazel', 'link': 'https://stackoverflow.com/users/18485612/elazazel'}",False,90,3,-1,1664925381,1648983926,71725301,CC BY-SA 4.0,https://stackoverflow.com/questions/71725301/how-do-i-run-this-makefile,How do I run this Makefile?,,,,,,
35,"['android', 'c++', 'onnx', 'onnxruntime']","{'account_id': 19320091, 'reputation': 21, 'user_id': 14123952, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjcWCEaAjYKJ14s48F0K_bq_Za32EUwmMJaIx49=k-s256', 'display_name': 'Anton Shpakowski', 'link': 'https://stackoverflow.com/users/14123952/anton-shpakowski'}",False,300,1,1,1664802424,1649317536,71778195,CC BY-SA 4.0,https://stackoverflow.com/questions/71778195/how-to-use-onnxruntime-in-a-native-android-library,How to use onnxruntime in a native android library,1649318973.0,,,,,
36,"['c++', 'windows', 'dll', 'operating-system', 'antivirus']","{'account_id': 22356599, 'reputation': 31, 'user_id': 16573778, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/66931a26f5f61c98acfc6d331e818d6e?s=256&d=identicon&r=PG&f=1', 'display_name': 'jjnounde', 'link': 'https://stackoverflow.com/users/16573778/jjnounde'}",False,165,1,1,1664775488,1650718577,72233003,,https://stackoverflow.com/questions/72233003/understand-hooked-syscalls-do-win32-api-always-call-system-ones-in-ntdll-dll,Understand Hooked syscalls - Do win32 api always call system ones in ntdll.dll?,1652473144.0,,,,"{'other_site': {'aliases': ['https://itsecurity.stackexchange.com'], 'styling': {'tag_background_color': '#FFF', 'tag_foreground_color': '#000', 'link_color': '#0077CC'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'security.meta', 'site_url': 'https://security.meta.stackexchange.com', 'name': 'Information Security Meta Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=security.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'launch_date': 1310490000, 'open_beta_date': 1290106800, 'closed_beta_date': 1289502000, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/security/Img/apple-touch-icon@2.png', 'twitter_account': 'StackSecurity', 'favicon_url': 'https://cdn.sstatic.net/Sites/security/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/security/Img/apple-touch-icon.png', 'audience': 'information security professionals', 'site_url': 'https://security.stackexchange.com', 'api_site_parameter': 'security', 'logo_url': 'https://cdn.sstatic.net/Sites/security/Img/logo.png', 'name': 'Information Security', 'site_type': 'main_site'}, 'on_date': 1652460824, 'question_id': 261473}",
37,"['c++', 'c++17', 'language-lawyer', 'implicit-conversion']","{'account_id': 1630883, 'reputation': 5403, 'user_id': 1505451, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/Kk60E.jpg?s=256&g=1', 'display_name': 'jacobsa', 'link': 'https://stackoverflow.com/users/1505451/jacobsa'}",True,78,2,1,1664659344,1649544582,71812498,CC BY-SA 4.0,https://stackoverflow.com/questions/71812498/why-and-how-do-the-c-implicit-conversion-rules-distinguish-templated-conversio,Why and how do the C++ implicit conversion rules distinguish templated conversion functions from non-templated?,,73921837.0,,,,
38,"['c++', 'language-lawyer', 'undefined-behavior', 'constexpr']","{'account_id': 2194877, 'reputation': 14475, 'user_id': 7325599, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8d601da836449a445b9f15756296061d?s=256&d=identicon&r=PG', 'display_name': 'Fedor', 'link': 'https://stackoverflow.com/users/7325599/fedor'}",True,85,1,4,1664655180,1650719784,71979970,CC BY-SA 4.0,https://stackoverflow.com/questions/71979970/constant-evaluation-of-self-assignment-in-member-initialization,Constant evaluation of self-assignment in member initialization,,73921436.0,,,,
39,"['c++', 'c', 'linux', 'multithreading', 'clang']","{'account_id': 24961066, 'reputation': 17, 'user_id': 18825027, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyME4wf3q_ZITWlVdcQpt3Q0pDTfqbstxTjK2P7=k-s256', 'display_name': 'Fioralba Amaranta', 'link': 'https://stackoverflow.com/users/18825027/fioralba-amaranta'}",False,262,0,0,1664386927,1650592091,71962601,CC BY-SA 4.0,https://stackoverflow.com/questions/71962601/barrier-file-not-found-c-makefile,Barrier file not found (C++ Makefile),1650601935.0,,,,,
40,"['python', 'c++', 'circuit', 'sat', 'satisfiability']","{'account_id': 22602520, 'reputation': 1, 'user_id': 16783809, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/676aa11e722deedd97ac6a7cc4dceb11?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rkd', 'link': 'https://stackoverflow.com/users/16783809/rkd'}",False,114,2,0,1664336639,1649468486,71804652,CC BY-SA 4.0,https://stackoverflow.com/questions/71804652/converting-circuit-benchmark-to-cnf-formula-to-use-to-solve-with-sat-solvers,Converting circuit benchmark to CNF formula to use to solve with SAT solvers,,,,,,
41,"['c++', 'websocket', 'tls1.2', 'ixwebsocket']","{'account_id': 3121511, 'reputation': 1573, 'user_id': 3173115, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/c8e1daf73bdb957276e472a5b335f5e5?s=256&d=identicon&r=PG', 'display_name': 'Alex', 'link': 'https://stackoverflow.com/users/3173115/alex'}",False,205,1,0,1663930385,1650127909,71895782,CC BY-SA 4.0,https://stackoverflow.com/questions/71895782/how-to-enabled-tls-in-ixwebsocket-for-simple-client-server-application,How to enabled TLS in IXWebSocket for simple client/server application,1650129014.0,,,,,
42,"['c++', 'c++14', 'default-constructor']","{'account_id': 3967710, 'reputation': 868, 'user_id': 3273130, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8b6a7fd1336f54f3da8bf99bafac2218?s=256&d=identicon&r=PG', 'display_name': 'Bolpat', 'link': 'https://stackoverflow.com/users/3273130/bolpat'}",True,241,2,5,1663860471,1649163627,71752259,CC BY-SA 4.0,https://stackoverflow.com/questions/71752259/purpose-of-explicitly-deleting-the-default-constructor,Purpose of explicitly deleting the default constructor,,71752619.0,,,,
43,"['c++', 'multithreading', 'c++17', 'race-condition', 'data-corruption']","{'account_id': 6699272, 'reputation': 873, 'user_id': 5166365, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-z6wwnfOa-Ms/AAAAAAAAAAI/AAAAAAAAAcA/iXvkndQn63M/photo.jpg?sz=256', 'display_name': 'Michael Sohnen', 'link': 'https://stackoverflow.com/users/5166365/michael-sohnen'}",True,74,1,3,1663858904,1650414813,71932819,CC BY-SA 4.0,https://stackoverflow.com/questions/71932819/c-can-thread-race-conditions-corrupt-static-global-integer-values-on-a-per-by,C++: Can thread race conditions corrupt static/global integer values on a per-byte level?,,71933027.0,,,,
44,"['c#', 'c++', 'marshalling']","{'account_id': 3785068, 'reputation': 1060, 'user_id': 3143269, 'user_type': 'registered', 'accept_rate': 41, 'profile_image': 'https://www.gravatar.com/avatar/d6635f82fc4e7ece3a19121e915d6a7c?s=256&d=identicon&r=PG&f=1', 'display_name': 'AeroClassics', 'link': 'https://stackoverflow.com/users/3143269/aeroclassics'}",True,162,2,-1,1663829538,1648854971,71713593,CC BY-SA 4.0,https://stackoverflow.com/questions/71713593/c-how-to-get-an-array-of-int-from-unmanaged-c,C# how to get an array of int* from unmanaged C++,1654090930.0,,,,,
