,tags,owner,is_answered,view_count,closed_date,answer_count,score,last_activity_date,creation_date,question_id,link,closed_reason,title,bounty_amount,bounty_closes_date,last_edit_date,content_license,accepted_answer_id
10,"['c#', 'windows', 'winapi', 'bluetooth', 'dllimport']","{'account_id': 2837980, 'reputation': 334, 'user_id': 2438200, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/117b0f63a89f5ce09dbf1015878c5aa2?s=256&d=identicon&r=PG', 'display_name': 'Nikolay', 'link': 'https://stackoverflow.com/users/2438200/nikolay'}",False,85,,0,0,1669090636,1660734668,73387446,https://stackoverflow.com/questions/73387446/winapi-bluetoothfindfirstdevice-in-c-dont-return-any-result,,WinAPI BluetoothFindFirstDevice in C# don&#39;t return any result,,,1669090636.0,CC BY-SA 4.0,
11,"['c#', 'anonymous-types']","{'account_id': 432725, 'reputation': 7106, 'user_id': 817659, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/dc6960319324ecebe786580dfca13f07?s=256&d=identicon&r=PG', 'display_name': 'Ivan', 'link': 'https://stackoverflow.com/users/817659/ivan'}",True,53,,2,0,1668885903,1661012365,73428306,https://stackoverflow.com/questions/73428306/create-an-anonymous-type-dynamically,,Create an anonymous type dynamically,,,1668885903.0,CC BY-SA 4.0,73428535.0
12,"['c#', 'asp.net', 'asp.net-web-api', 'confirmation-email']","{'account_id': 16875302, 'reputation': 39, 'user_id': 12202867, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/433ffda715a1732461274521091afddc?s=256&d=identicon&r=PG&f=1', 'display_name': 'Michał Sawicki', 'link': 'https://stackoverflow.com/users/12202867/micha%c5%82-sawicki'}",True,222,,2,0,1668872392,1660200472,73316371,https://stackoverflow.com/questions/73316371/aspnetcore-identity-usermanager9-verifyusertokenasync-code-invalidtoken,,"AspNetCore.Identity.UserManager[9] VerifyUserTokenAsync() &quot;code&quot;: &quot;InvalidToken&quot;,",,,1660211143.0,CC BY-SA 4.0,73319593.0
13,"['c#', 'unity3d']","{'user_type': 'does_not_exist', 'display_name': 'user16223274'}",True,1006,,2,0,1668849863,1659480178,73214533,https://stackoverflow.com/questions/73214533/library-search-propertydatabase-db-is-already-opened,,&quot;Library/Search/propertyDatabase.db&quot; is already opened,,,1659554207.0,CC BY-SA 4.0,73241815.0
14,"['c#', 'asp.net-mvc', 'asp.net-core', 'asp.net-web-api', 'asp.net-core-6.0']","{'account_id': 26007484, 'reputation': 11, 'user_id': 19717023, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/39abdc639509d77807e13c928a29606f?s=256&d=identicon&r=PG', 'display_name': 'Jawad Ahmed', 'link': 'https://stackoverflow.com/users/19717023/jawad-ahmed'}",True,1143,,1,1,1668822958,1659955242,73276586,https://stackoverflow.com/questions/73276586/system-net-sockets-socketexception-10060-a-connection-attempt-failed-because,,"System.Net.Sockets.SocketException (10060): A connection attempt failed because the connected party did not properly respond after a period of time,",,,1659955531.0,CC BY-SA 4.0,
15,"['c#', '.net', '.net-core', 'smo']","{'account_id': 1654884, 'reputation': 2820, 'user_id': 1524712, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/tbzxv.jpg?s=256&g=1', 'display_name': 'Ghini Antonio', 'link': 'https://stackoverflow.com/users/1524712/ghini-antonio'}",True,561,,3,3,1668817124,1661253412,73457750,https://stackoverflow.com/questions/73457750/microsoft-sqlserver-management-method-not-found-creating-a-serverconnection,,Microsoft SqlServer Management: method not found creating a ServerConnection,,,1661270224.0,CC BY-SA 4.0,73952799.0
16,"['c#', 'ios', 'xcode', 'unity3d', 'tvos']","{'account_id': 12518217, 'reputation': 435, 'user_id': 9110576, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/uTW8c.jpg?s=256&g=1', 'display_name': 'Haseeb Hassan Asif', 'link': 'https://stackoverflow.com/users/9110576/haseeb-hassan-asif'}",False,38,,1,0,1668788132,1661846721,73539051,https://stackoverflow.com/questions/73539051/unity-game-for-tvos-not-registering-input-in-apple-tv-simulator,,Unity game for tvos not registering input in Apple TV simulator,,,1661847604.0,CC BY-SA 4.0,
17,"['c#', 'excel', 'closedxml']","{'account_id': 20704334, 'reputation': 1, 'user_id': 15202565, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-GTZG_CkVA3U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmoUp0Yf7mKrl4jkkMn_Mn5HF-HfQ/s96-c/photo.jpg?sz=256', 'display_name': 'Senna', 'link': 'https://stackoverflow.com/users/15202565/senna'}",False,135,,1,0,1668724403,1660198896,73316115,https://stackoverflow.com/questions/73316115/in-closedxml-how-to-set-the-hyperlink-to-a-cell-in-file-a-xlsx-whose-address-po,,"In ClosedXml, how to set the hyperlink to a cell in File A.xlsx whose address points to a specific cell in File B.xlsx",,,1660200941.0,CC BY-SA 4.0,
18,"['c#', 'debugging', 'dynamic', 'view']","{'account_id': 1981751, 'reputation': 768, 'user_id': 1778190, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8514c293ac32cb613851d746b5e56607?s=256&d=identicon&r=PG', 'display_name': 'Igor Levicki', 'link': 'https://stackoverflow.com/users/1778190/igor-levicki'}",True,42,,1,2,1668702483,1661609942,73511772,https://stackoverflow.com/questions/73511772/is-it-possible-to-get-c-debugger-dynamic-view-node-to-work-for-this-class,,Is it possible to get C# debugger Dynamic View node to work for this class?,,,1668702483.0,CC BY-SA 4.0,74380438.0
19,"['c#', '.net-core', 'blazor', 'blazor-server-side']","{'account_id': 2044048, 'reputation': 2321, 'user_id': 1972706, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/ZT1VS.jpg?s=256&g=1', 'display_name': 'Ben Junior', 'link': 'https://stackoverflow.com/users/1972706/ben-junior'}",False,83,,0,1,1668638141,1661115123,73438139,https://stackoverflow.com/questions/73438139/how-to-change-the-culture-to-another-language-but-keep-the-currency-format-in-us,,How to change the culture to another language but keep the currency format in US Dollar?,,,1668638141.0,CC BY-SA 4.0,
20,"['c#', 'xamarin', 'maui', '.net-maui']","{'account_id': 25448840, 'reputation': 35, 'user_id': 19250602, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhjkL13YMCpE5rRKllFxsRbyFUAEliksTkEdUMUr28=k-s256', 'display_name': 'Higor Pereira', 'link': 'https://stackoverflow.com/users/19250602/higor-pereira'}",True,269,,1,2,1668630649,1660594610,73366024,https://stackoverflow.com/questions/73366024/opacity-bug-on-maui,,Opacity bug on Maui,,,,CC BY-SA 4.0,74466846.0
21,"['c#', 'android', 'unity3d']","{'account_id': 25516185, 'reputation': 38, 'user_id': 19307008, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiuYjGjopChxi8edEoHDEcN49f9RRQWIIjbDszJ1g=k-s256', 'display_name': 'Pretzl', 'link': 'https://stackoverflow.com/users/19307008/pretzl'}",True,106,,2,0,1668487983,1661721300,73522328,https://stackoverflow.com/questions/73522328/access-notifications-from-other-apps-on-android,,Access Notifications from other apps on Android,,,,CC BY-SA 4.0,74412852.0
22,"['c#', 'asp.net-core-webapi', 'unit-of-work']","{'account_id': 24020541, 'reputation': 171, 'user_id': 18002913, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b63f0d1e3d0d0767815232da73e53a54?s=256&d=identicon&r=PG', 'display_name': 'NewPartizal', 'link': 'https://stackoverflow.com/users/18002913/newpartizal'}",False,460,,1,0,1668426562,1661630998,73514103,https://stackoverflow.com/questions/73514103/how-can-i-use-unit-of-work-pattern-with-generic-repository-pattern-in-my-asp-net,,How can I use unit of work pattern with generic repository pattern in my ASP.NET Core Web API project?,,,1661664277.0,CC BY-SA 4.0,
23,"['c#', 'azure-cosmosdb']","{'account_id': 9836427, 'reputation': 63, 'user_id': 7286696, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2b778c06c33a50b0032dd3a14065a1d7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kuruption', 'link': 'https://stackoverflow.com/users/7286696/kuruption'}",False,235,,2,2,1668402571,1661956365,73557547,https://stackoverflow.com/questions/73557547/cosmos-db-partial-document-update-with-filter-predicate,,Cosmos DB Partial Document Update with Filter Predicate,,,1662119454.0,CC BY-SA 4.0,
24,"['c#', 'unity3d', 'optimization', 'kdtree']","{'account_id': 26123943, 'reputation': 1, 'user_id': 19815733, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5515c790e67a9facb28cde4728040501?s=256&d=identicon&r=PG', 'display_name': 'Anip Games', 'link': 'https://stackoverflow.com/users/19815733/anip-games'}",False,105,,1,0,1668322055,1661113817,73438004,https://stackoverflow.com/questions/73438004/using-a-kd-tree-in-unity-for-querying-the-nearest-entity-is-really-slow-for-some,,Using a KD Tree in Unity for querying the nearest entity is really slow for some reason,,,1661113962.0,CC BY-SA 4.0,
25,"['c#', 'wpf', 'nullpointerexception', 'wav', 'naudio']","{'account_id': 45101, 'reputation': 4364, 'user_id': 132765, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/1787e889244b1bc62e1e4f7522f786bf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Aaginor', 'link': 'https://stackoverflow.com/users/132765/aaginor'}",False,48,,1,0,1668287429,1661936751,73553446,https://stackoverflow.com/questions/73553446/exception-when-playing-wave-with-waveoutevent-of-naudio,,Exception when playing wave with WaveOutEvent of NAudio,,,,CC BY-SA 4.0,
26,"['c#', 'rate-limiting']","{'account_id': 2275764, 'reputation': 1110, 'user_id': 2002076, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/5d1ab415d38d53a75b3d1e9a442a0ac3?s=256&d=identicon&r=PG', 'display_name': 'Travis Pettry', 'link': 'https://stackoverflow.com/users/2002076/travis-pettry'}",False,96,,0,2,1668195433,1659782964,73259109,https://stackoverflow.com/questions/73259109/aspnetcoreratelimit-is-defaulting-to-longest-rule,,AspNetCoreRateLimit is defaulting to longest rule,,,1668195433.0,CC BY-SA 4.0,
27,"['c#', '.net', 'fastreport']","{'account_id': 22979939, 'reputation': 1, 'user_id': 17107032, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzLfXS2ZWR7c9xkG4Uz47HZ9VdrMXT4w2eFXkJj=k-s256', 'display_name': 'b1llso', 'link': 'https://stackoverflow.com/users/17107032/b1llso'}",False,45,,1,0,1668156848,1660051153,73292552,https://stackoverflow.com/questions/73292552/fastreport-cant-create-individual-charts-for-group-bands,,FastReport - Cant create individual charts for group bands,,,,CC BY-SA 4.0,
28,"['c#', 'wpf', 'xaml', 'animated-gif']","{'account_id': 25679427, 'reputation': 97, 'user_id': 19442413, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/488bdee76ea8a0ceb63d545df962d97b?s=256&d=identicon&r=PG', 'display_name': 'JuniorDev13', 'link': 'https://stackoverflow.com/users/19442413/juniordev13'}",False,82,,2,0,1668099169,1660122308,73303534,https://stackoverflow.com/questions/73303534/could-not-load-file-or-assembly-xamlanimatedgif-publickeytoken-null-or-one-of,,"Could not load file or assembly &#39;XamlAnimatedGif, PublicKeyToken=null&#39; or one of its dependencies",,,1660127248.0,CC BY-SA 4.0,
29,"['c#', 'unity3d']","{'account_id': 23621205, 'reputation': 213, 'user_id': 17654458, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7175cec2b8bcdad45609bbbea0f0bc67?s=256&d=identicon&r=PG&f=1', 'display_name': 'kylorius beno', 'link': 'https://stackoverflow.com/users/17654458/kylorius-beno'}",True,2081,,1,3,1667999623,1659707005,73250763,https://stackoverflow.com/questions/73250763/error-cs0246-the-type-or-namespace-name-streamingcontext-could-not-be-found,,Error CS0246: The type or namespace name &#39;StreamingContext&#39; could not be found (are you missing a using directive or an assembly reference?),,,1659717600.0,CC BY-SA 4.0,73251390.0
30,"['c#', 'entity-framework-core', '.net-6.0']","{'account_id': 9016981, 'reputation': 21, 'user_id': 6719459, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/9njaA.jpg?s=256&g=1', 'display_name': 'Osama Ahmed', 'link': 'https://stackoverflow.com/users/6719459/osama-ahmed'}",False,2791,,0,0,1667987757,1660633830,73370042,https://stackoverflow.com/questions/73370042/err-the-entity-type-requires-a-primary-key-to-be-defined-if-you-intended,,"ERR The entity type &#39;***&#39; requires a primary key to be defined. If you intended to use a keyless entity type, call &#39;HasNoKey&#39; in &#39;OnModelCreating&#39;",,,,CC BY-SA 4.0,
31,"['c#', '.net', 'visual-studio', 'visual-studio-2022']","{'account_id': 789163, 'reputation': 25805, 'user_id': 939213, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/85abdf3e1c88011c45e1a0cae01df78b?s=256&d=identicon&r=PG', 'display_name': 'ispiro', 'link': 'https://stackoverflow.com/users/939213/ispiro'}",True,204,,1,1,1667973909,1660507178,73354740,https://stackoverflow.com/questions/73354740/visual-studio-17-3-new-features-not-working-is-there-a-solution,,Visual Studio 17.3 new features not working - is there a solution?,,,1660573891.0,CC BY-SA 4.0,73354758.0
32,"['c#', 'xaml', 'pie-chart', '.net-maui', 'syncfusion-chart']","{'account_id': 24273877, 'reputation': 21, 'user_id': 18221459, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1f1a7fc8af8f728d10e0b8bea3af25f2?s=256&d=identicon&r=PG', 'display_name': 'isla_just', 'link': 'https://stackoverflow.com/users/18221459/isla-just'}",True,50,,3,0,1667969511,1661895280,73548679,https://stackoverflow.com/questions/73548679/changing-colour-of-syncfusion-pie-chart-in-net-maui,,Changing colour of Syncfusion pie chart in .net maui,,,,CC BY-SA 4.0,
33,"['c#', 'asp.net-core', 'httprequest', 'content-type', 'content-disposition']","{'account_id': 19342635, 'reputation': 9, 'user_id': 14141819, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e618fcfd49f8b7a5cdacba49b9e0797f?s=256&d=identicon&r=PG&f=1', 'display_name': 'iop04329', 'link': 'https://stackoverflow.com/users/14141819/iop04329'}",True,90,,1,0,1667958270,1660034869,73288971,https://stackoverflow.com/questions/73288971/using-nftstorage-webapi-upload-with-some-problem-and-get-an-error-response-st,,Using NFTStorage WebApi (upload) with some problem and get an error &quot;Response status code does not indicate success: 500 (Internal Server Error).&quot;,,,1660034938.0,CC BY-SA 4.0,74369060.0
34,"['c#', '.net', 'multithreading', 'azure-sql-database']","{'account_id': 21412196, 'reputation': 33, 'user_id': 15772125, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9653b816d9018a1925242ef0ef321ebd?s=256&d=identicon&r=PG&f=1', 'display_name': 'TheoDoc2013', 'link': 'https://stackoverflow.com/users/15772125/theodoc2013'}",False,39,,1,0,1667939159,1659316999,73188067,https://stackoverflow.com/questions/73188067/app-not-processing-events-while-trying-to-open-database-connection,,App not processing events while trying to open database connection,,,,CC BY-SA 4.0,
35,"['c#', 'http', 'request', 'httprequest', 'xnet']","{'account_id': 25531324, 'reputation': 1, 'user_id': 19319296, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b5d53a3584d20200c297e994bae3e37?s=256&d=identicon&r=PG', 'display_name': 'Blann', 'link': 'https://stackoverflow.com/users/19319296/blann'}",True,146,,1,0,1667925440,1660737973,73388205,https://stackoverflow.com/questions/73388205/leaf-xnet-httpexception-could-not-receive-the-message-body-of-the-response-htt,,Leaf.xNet.HttpException: &quot;Could not receive the message body of the response HTTP-server &#39;example.com&#39;&quot;,,,1660738042.0,CC BY-SA 4.0,74364182.0
36,"['c#', '.net', 'synchronization', 'azure-sql-database', 'sqlanywhere']","{'account_id': 18594490, 'reputation': 11, 'user_id': 13550886, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gg0HudzCIPueCufYHXdqzeUKbaNd6GHOSswtLM5-Q=k-s256', 'display_name': 'Ajay AV', 'link': 'https://stackoverflow.com/users/13550886/ajay-av'}",True,56,,1,-1,1667925130,1660381368,73342898,https://stackoverflow.com/questions/73342898/bi-directional-data-sync,,Bi-Directional Data Sync,,,1660417700.0,CC BY-SA 4.0,74364114.0
37,"['c#', 'asp.net-mvc', '.net-core', 'zip']","{'account_id': 3153640, 'reputation': 1434, 'user_id': 2666502, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://i.stack.imgur.com/zGVE6.gif?s=256&g=1', 'display_name': 'mtholen', 'link': 'https://stackoverflow.com/users/2666502/mtholen'}",True,52,,1,1,1667923860,1659599699,73232268,https://stackoverflow.com/questions/73232268/downloading-zipped-collection-of-files-via-c-mvc-non-blocking-download,,Downloading Zipped Collection of files via C# MVC - non-blocking download,,,1667923860.0,CC BY-SA 4.0,74342072.0
38,"['c#', 'unity3d', 'abstract-class']","{'account_id': 12585067, 'reputation': 3, 'user_id': 9154336, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/698a89990799676f3906d4f91d808ef2?s=256&d=identicon&r=PG&f=1', 'display_name': 'edit', 'link': 'https://stackoverflow.com/users/9154336/edit'}",True,81,,2,0,1667905288,1660943613,73422303,https://stackoverflow.com/questions/73422303/best-practice-for-an-optional-method-that-i-want-to-call-in-start,,Best practice for an optional method that I want to call in Start()?,,,1660947205.0,CC BY-SA 4.0,73423310.0
39,"['c#', 'asp.net-core', '.net-6.0', 'blazor-webassembly', 'mediatr']","{'account_id': 3413460, 'reputation': 1180, 'user_id': 2862934, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/eeccb6d448bf50536821c3ff2804f9f8?s=256&d=identicon&r=PG&f=1', 'display_name': 'benjamin', 'link': 'https://stackoverflow.com/users/2862934/benjamin'}",True,231,,4,1,1667856223,1659956427,73276826,https://stackoverflow.com/questions/73276826/httpclient-configured-in-program-cs-is-not-being-passed-to-mediatr-requesthandle,,HttpClient configured in Program.cs is not being passed to MediatR RequestHandler by dependency injection container,,,1659958016.0,CC BY-SA 4.0,73281020.0
40,"['c#', 'datetime', 'odata', 'dynamics-business-central']","{'account_id': 22250044, 'reputation': 37, 'user_id': 16483107, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwVJurwzcjQkHPhv8ZbQ35laolPO_RGv6NNQSfL=k-s256', 'display_name': 'Salomon', 'link': 'https://stackoverflow.com/users/16483107/salomon'}",True,71,,1,0,1667840898,1660854937,73409134,https://stackoverflow.com/questions/73409134/odata-cant-filter-dates,,OData can&#39;t filter dates,,,1660856131.0,CC BY-SA 4.0,
41,"['c#', 'asp.net-core-webapi']","{'account_id': 11532639, 'reputation': 25, 'user_id': 14799293, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-2lDA7JuDwYk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmRqlx7zbxaDZu_xOnPEZYUbi__Fw/s96-c/photo.jpg?sz=256', 'display_name': 'Ayayron', 'link': 'https://stackoverflow.com/users/14799293/ayayron'}",False,128,,2,1,1667839497,1661337124,73471587,https://stackoverflow.com/questions/73471587/pass-complex-type-to-httpget-method-in-asp-net-core-web-api,,Pass complex type to HttpGet method in ASP.NET Core Web API,,,1661340167.0,CC BY-SA 4.0,
42,"['c#', 'asp.net', '.net', 'asp.net-core', '.net-core']","{'account_id': 25533933, 'reputation': 135, 'user_id': 19321395, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cbb169beec104db9f1e245d5a5edfe55?s=256&d=identicon&r=PG', 'display_name': 'Solid1', 'link': 'https://stackoverflow.com/users/19321395/solid1'}",True,4823,,3,3,1667820658,1659693392,73247933,https://stackoverflow.com/questions/73247933/how-to-fix-no-net-sdks-were-found-error-vscode,,How to fix &quot;No .NET SDKs were found.&quot; error--VSCode,,,1659693469.0,CC BY-SA 4.0,73248077.0
43,"['c#', 'wpf']","{'account_id': 8054390, 'reputation': 687, 'user_id': 6072006, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/ITkrq.png?s=256&g=1', 'display_name': 'lenny', 'link': 'https://stackoverflow.com/users/6072006/lenny'}",False,64,,1,0,1667741057,1660833795,73405039,https://stackoverflow.com/questions/73405039/how-do-i-find-out-what-is-disabling-my-wpf-button,,How do I find out what is disabling my WPF button?,,,1660897866.0,CC BY-SA 4.0,
44,"['c#', 'asp.net-core', 'integration-testing', 'xunit.net']","{'account_id': 10379324, 'reputation': 311, 'user_id': 7654641, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/524000af1dcfa01831dfefe15313a956?s=256&d=identicon&r=PG&f=1', 'display_name': 'MiBuena', 'link': 'https://stackoverflow.com/users/7654641/mibuena'}",True,323,,1,1,1667736405,1659970919,73280016,https://stackoverflow.com/questions/73280016/should-webapplicationfactory-be-disposed,,Should WebApplicationFactory&lt;&gt; be disposed?,,,1659972971.0,CC BY-SA 4.0,73280520.0
