,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,community_owned_date,migrated_from
27,"['c#', 'asp.net', '.net', 'c#-4.0', 'file-upload']","{'account_id': 361416, 'reputation': 15393, 'user_id': 704008, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/SQdWk.jpg?s=256&g=1', 'display_name': 'Pranav Singh', 'link': 'https://stackoverflow.com/users/704008/pranav-singh'}",True,13450,,14337882.0,2,0,1664394926,1356507347,,14037466,CC BY-SA 3.0,https://stackoverflow.com/questions/14037466/the-action-cant-be-completed-because-the-file-is-open-in-iis-worker-process,The action can&#39;t be completed because the file is open in IIS Worker Process,,,,
28,"['c#', 'asp.net', 'visual-studio-2010']","{'account_id': 2137995, 'reputation': 400, 'user_id': 1897291, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f8bce8d86e31cb59b33b97f8a664816c?s=256&d=identicon&r=PG', 'display_name': 'Mike A', 'link': 'https://stackoverflow.com/users/1897291/mike-a'}",False,7845,,,6,4,1663862660,1355306472,1363711973.0,13837206,CC BY-SA 3.0,https://stackoverflow.com/questions/13837206/c-visual-studio-2010-could-not-load-type-parse-error,C# Visual Studio 2010 - &#39;Could not load type&#39; Parse error,,,,
29,"['c#', 'fibonacci', 'ulong']","{'account_id': 2144003, 'reputation': 169, 'user_id': 1902053, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/056c81780298ea7c1e2391ea7e81ce9a?s=256&d=identicon&r=PG', 'display_name': 'Michael Guercia', 'link': 'https://stackoverflow.com/users/1902053/michael-guercia'}",True,1156,,,1,6,1663597877,1355686739,,13904823,CC BY-SA 3.0,https://stackoverflow.com/questions/13904823/calculating-fibonacci-in-c,calculating Fibonacci in C#,,,,
30,"['c#', '.net', 'arrays', 'linq', 'linq-to-objects']","{'account_id': 74991, 'reputation': 11822, 'user_id': 215234, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/cc41554f2bb2983d13bc3b93da6b08b8?s=256&d=identicon&r=PG&f=1', 'display_name': 'InfantPro&#39;Aravind&#39;', 'link': 'https://stackoverflow.com/users/215234/infantproaravind'}",True,65253,,14051280.0,3,32,1663334038,1356594603,1663334038.0,14051257,CC BY-SA 4.0,https://stackoverflow.com/questions/14051257/conversion-from-int-array-to-string-array,Conversion from Int array to string array,,,,
31,"['c#', 'entity-framework']","{'account_id': 13082, 'reputation': 6458, 'user_id': 26086, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/EOy38.jpg?s=256&g=1', 'display_name': 'Dave Mateer', 'link': 'https://stackoverflow.com/users/26086/dave-mateer'}",True,5038,,,3,2,1662990292,1355757221,1495540139.0,13916759,CC BY-SA 3.0,https://stackoverflow.com/questions/13916759/enums-casting-to-a-byte,Enums casting to a byte,,,,
32,"['c#', 'asp.net-mvc', 'devexpress']","{'account_id': 1795163, 'reputation': 142, 'user_id': 1634723, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/6ec02d8a7e2a57280cbcf40809f0f0d6?s=256&d=identicon&r=PG', 'display_name': 'Sindhoor', 'link': 'https://stackoverflow.com/users/1634723/sindhoor'}",False,7988,,,1,0,1662574125,1355183545,1375737677.0,13811348,CC BY-SA 3.0,https://stackoverflow.com/questions/13811348/dev-express-grid-in-mvc-c-inline-edit-not-expanding,dev express grid in mvc c# inline edit not expanding,,,,
33,"['c#', 'visual-studio', 'visual-studio-2012']","{'account_id': 121292, 'reputation': 7546, 'user_id': 314290, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/5ffde821f0f9670e601b19f1731a6849?s=256&d=identicon&r=PG', 'display_name': 'Mikhail', 'link': 'https://stackoverflow.com/users/314290/mikhail'}",True,21779,,14060040.0,7,12,1662553410,1356635414,1511131004.0,14059919,CC BY-SA 3.0,https://stackoverflow.com/questions/14059919/regenerate-settings-settings,Regenerate Settings.settings,,,,
34,"['c#', 'timer']","{'account_id': 2117989, 'reputation': 141, 'user_id': 1881847, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2f2e8fd24a5ce3edb664083e2320eabb?s=256&d=identicon&r=PG', 'display_name': 'user1881847', 'link': 'https://stackoverflow.com/users/1881847/user1881847'}",True,33157,,,7,14,1662313738,1354786439,1354786663.0,13740629,CC BY-SA 3.0,https://stackoverflow.com/questions/13740629/how-do-i-trigger-a-method-to-run-after-x-seconds,How do I trigger a method to run after x seconds?,,,,
35,"['c#', 'opencv', 'access-violation']","{'account_id': 2130128, 'reputation': 11, 'user_id': 1891139, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8a81dc559d2c4c0b3c7adf867955f54c?s=256&d=identicon&r=PG', 'display_name': 'ysm', 'link': 'https://stackoverflow.com/users/1891139/ysm'}",False,491,,,0,1,1662106797,1355130953,1662106797.0,13797950,CC BY-SA 4.0,https://stackoverflow.com/questions/13797950/accessviolationexception-error,AccessViolationException error,,,,
36,"['c#', 'asp.net-mvc', 'asp.net-mvc-4']","{'account_id': 2179707, 'reputation': 193, 'user_id': 1929490, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/66829e8c2067edaacf8ad28dc5e96bf1?s=256&d=identicon&r=PG', 'display_name': 'ilirvg', 'link': 'https://stackoverflow.com/users/1929490/ilirvg'}",True,52991,,14053546.0,4,19,1661845592,1356605712,1356606870.0,14053519,CC BY-SA 3.0,https://stackoverflow.com/questions/14053519/trying-to-allow-nulls-but-nullable-object-must-have-a-value,Trying to allow nulls but... &quot;Nullable object must have a value&quot;,,,,
37,['c#'],"{'account_id': 1770466, 'reputation': 3567, 'user_id': 1615362, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/1daf633bfa6d4c97a66ed30e6fd4040b?s=256&d=identicon&r=PG', 'display_name': 'user1615362', 'link': 'https://stackoverflow.com/users/1615362/user1615362'}",True,109423,,13781495.0,4,113,1661370826,1354997611,1354999522.0,13781468,CC BY-SA 3.0,https://stackoverflow.com/questions/13781468/get-list-of-properties-from-list-of-objects,Get list of properties from List of objects,,,,
38,"['c#', '.net', 'winforms']","{'account_id': 1768174, 'reputation': 923, 'user_id': 1613523, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7363d0dd3377489f531a068a927db74c?s=256&d=identicon&r=PG', 'display_name': 'user1613523', 'link': 'https://stackoverflow.com/users/1613523/user1613523'}",True,101757,,,25,79,1661069607,1354783256,1603138995.0,13739794,CC BY-SA 4.0,https://stackoverflow.com/questions/13739794/two-output-file-names-resolved-to-the-same-output,Two output file names resolved to the same output,,,,
39,"['c#', 'serial-port', '.net-4.5']","{'account_id': 1459602, 'reputation': 9327, 'user_id': 1374267, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/4d931aa8038b8dfcb4c5fd1f7a9a51e2?s=256&d=identicon&r=PG', 'display_name': 'Yannick Blondeau', 'link': 'https://stackoverflow.com/users/1374267/yannick-blondeau'}",True,165914,,13755084.0,3,37,1661042713,1354837544,1661042713.0,13754694,CC BY-SA 4.0,https://stackoverflow.com/questions/13754694/what-is-the-correct-way-to-read-a-serial-port-using-net-framework,What is the correct way to read a serial port using .NET framework?,,,,
40,"['c#', 'html', 'excel', 'export', 'html-table']","{'account_id': 1195276, 'reputation': 175, 'user_id': 1167151, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://www.gravatar.com/avatar/046d068cfd24434c71a928d13de7d55b?s=256&d=identicon&r=PG', 'display_name': 'Jennica', 'link': 'https://stackoverflow.com/users/1167151/jennica'}",False,10347,,,2,1,1660950070,1355995277,1478367847.0,13968795,CC BY-SA 3.0,https://stackoverflow.com/questions/13968795/create-excel-from-html-table-using-c,Create EXCEL from html table using C#,,,,
41,"['c#', 'asp.net', 'networking', 'connection', 'database-connection']","{'account_id': 892137, 'reputation': 529, 'user_id': 930186, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/85723133a070e3dc8f991cb319644adb?s=256&d=identicon&r=PG', 'display_name': 'QV1', 'link': 'https://stackoverflow.com/users/930186/qv1'}",True,1232,,,1,1,1660388649,1354720595,1354720661.0,13726369,CC BY-SA 3.0,https://stackoverflow.com/questions/13726369/error-on-asp-net-websites-connection-timeout,Error on ASP.NET Websites. Connection Timeout,,,,
42,"['c#', 'asp.net', 'master-pages']","{'account_id': 2064966, 'reputation': 1, 'user_id': 1840655, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7216f2732649a3f8dcbd9e6c01869bbc?s=256&d=identicon&r=PG', 'display_name': 'Laurie Halbritter', 'link': 'https://stackoverflow.com/users/1840655/laurie-halbritter'}",True,969,,,1,0,1660223617,1355149022,1660223617.0,13802708,CC BY-SA 4.0,https://stackoverflow.com/questions/13802708/search-button-on-master-page-returns-to-existing-gridview-on-separate-search-pag,Search Button on Master Page Returns to Existing GridView on Separate Search Page,,,,
43,"['c#', 'console']","{'account_id': 1035795, 'reputation': 1011, 'user_id': 1043122, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/b19f2bd4f5600564f824c168e3985363?s=256&d=identicon&r=PG', 'display_name': 'RnD', 'link': 'https://stackoverflow.com/users/1043122/rnd'}",True,37576,,,5,6,1659954073,1354383402,1354384436.0,13661890,CC BY-SA 3.0,https://stackoverflow.com/questions/13661890/ways-of-console-pausing,Ways of console pausing,,,,
44,"['c#', '.net']","{'account_id': 366852, 'reputation': 144455, 'user_id': 712649, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/tP0yV.jpg?s=256&g=1', 'display_name': 'Mathias R. Jessen', 'link': 'https://stackoverflow.com/users/712649/mathias-r-jessen'}",True,5080,,13932296.0,6,5,1659032879,1355830452,1659023723.0,13932056,CC BY-SA 4.0,https://stackoverflow.com/questions/13932056/net-application-configuration-to-store-email-contact-information,.NET Application Configuration to store email contact information,,,,
45,"['c#', 'concurrency', 'task-parallel-library', 'parallel.foreach', 'parallel-extensions']","{'account_id': 448879, 'reputation': 3969, 'user_id': 843345, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/CZKTQ.png?s=256&g=1', 'display_name': 'Leon Bouquiet', 'link': 'https://stackoverflow.com/users/843345/leon-bouquiet'}",True,10053,,14039106.0,3,16,1658968360,1356516703,1658968360.0,14039051,CC BY-SA 4.0,https://stackoverflow.com/questions/14039051/parallel-foreach-keeps-spawning-new-threads,Parallel.ForEach keeps spawning new threads,,,,
46,"['c#', '.net', 'database', 'entity-framework', 'ef-code-first']","{'account_id': 59775, 'reputation': 26917, 'user_id': 178757, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/487b39e86dd577c22005472b9a307b1b?s=256&d=identicon&r=PG', 'display_name': 'Jez', 'link': 'https://stackoverflow.com/users/178757/jez'}",True,55692,,13705637.0,4,76,1658356281,1354632257,,13705441,CC BY-SA 3.0,https://stackoverflow.com/questions/13705441/how-to-disable-cascade-delete-for-link-tables-in-ef-code-first,How to disable cascade delete for link tables in EF code-first?,,,,
47,"['c#', 'tostring', 'biginteger']","{'account_id': 889402, 'reputation': 3644, 'user_id': 928007, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://lh4.googleusercontent.com/-635CYyRbc4Q/AAAAAAAAAAI/AAAAAAAAYBQ/HaBgL76cjms/photo.jpg?sz=256', 'display_name': 'snotyak', 'link': 'https://stackoverflow.com/users/928007/snotyak'}",True,24824,,15447131.0,4,14,1658032123,1356573109,1495539952.0,14048476,CC BY-SA 3.0,https://stackoverflow.com/questions/14048476/biginteger-to-hex-decimal-octal-binary-strings,BigInteger to Hex/Decimal/Octal/Binary strings?,,,,
48,"['c#', '.net', 'file', 'sftp', 'file-transfer']","{'account_id': 1310884, 'reputation': 1481, 'user_id': 1258905, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/0695ffe187ec7793cabbbf2f39d5594e?s=256&d=identicon&r=PG', 'display_name': 'sabisabi', 'link': 'https://stackoverflow.com/users/1258905/sabisabi'}",True,3570,,,2,1,1657913874,1354544780,,13685265,CC BY-SA 3.0,https://stackoverflow.com/questions/13685265/check-sftp-file-transfer-completed,Check sftp file transfer completed?,,,,
