,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,locked_date
10,"['c#', 'xamarin.ios']","{'account_id': 13785141, 'reputation': 101, 'user_id': 9949250, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bb0bb5607b3bbda05e13fc4ceea2200e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gerardo Enrique Ake Dzib', 'link': 'https://stackoverflow.com/users/9949250/gerardo-enrique-ake-dzib'}",False,67,1,0,1668611935,1650057285,71889011,CC BY-SA 4.0,https://stackoverflow.com/questions/71889011/xamarin-forms-ios-rootviewcontroller-view-addsubview-not-showing-element-in-a,Xamarin Forms iOS RootViewController.View.AddSubview() not showing element in a page with Shell.PresentationMode=&quot;ModalAnimated&quot;,,,,,
11,"['c#', 'selenium', 'selenium-chromedriver']","{'account_id': 11525248, 'reputation': 41, 'user_id': 8445921, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3f2e7fe7460499cfb4e3298820128ff6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Deepak', 'link': 'https://stackoverflow.com/users/8445921/deepak'}",False,719,2,0,1668523064,1651127980,72039101,CC BY-SA 4.0,https://stackoverflow.com/questions/72039101/webdrivermanager-in-selenium-c-is-not-working,WebDriverManager in Selenium C# is not working,,,,,
12,"['c#', 'unity3d', 'photon']","{'account_id': 22909907, 'reputation': 1, 'user_id': 17047351, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1950417568464491/picture?type=large', 'display_name': 'Yasmeen Awwad', 'link': 'https://stackoverflow.com/users/17047351/yasmeen-awwad'}",False,609,3,0,1668515953,1649888189,71864377,CC BY-SA 4.0,https://stackoverflow.com/questions/71864377/photon-voice-mute-unmute-unity,Photon Voice Mute/Unmute - Unity,,,,,
13,"['c#', '.net']","{'account_id': 1404272, 'reputation': 3382, 'user_id': 1332416, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/9450fd5b9a7bd3d776823f86c4caf1cb?s=256&d=identicon&r=PG', 'display_name': 'Veksi', 'link': 'https://stackoverflow.com/users/1332416/veksi'}",True,664,3,0,1668505255,1649021236,71729980,CC BY-SA 4.0,https://stackoverflow.com/questions/71729980/formatting-byte-or-readonlyspanbyte-to-string-using-c-10-and-net-6-string,"Formatting byte[] or ReadOnlySpan&lt;byte&gt; to string using C# 10 and .NET 6 string interpolation, compiler handler lowering pattern",73701629.0,1649050529.0,,,
14,"['c#', 'jwt', 'asp.net-core-webapi']","{'account_id': 25111371, 'reputation': 13, 'user_id': 18960969, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/79707d27a8acbf031788ddf48c73055a?s=256&d=identicon&r=PG', 'display_name': 'senthup', 'link': 'https://stackoverflow.com/users/18960969/senthup'}",True,1527,2,0,1668382227,1651038953,72023888,CC BY-SA 4.0,https://stackoverflow.com/questions/72023888/how-to-configure-jwt-authentication-and-microsoft-authentication-in-asp-net-core,how to configure JWT authentication and Microsoft Authentication in asp.net core Web API startup class,72051891.0,1668382227.0,,,
15,"['c#', 'revit-api', 'autodesk', 'revitpythonshell']","{'account_id': 25081576, 'reputation': 11, 'user_id': 18934283, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/659ac7f8a445328423c0232753314e21?s=256&d=identicon&r=PG', 'display_name': 'smile-jie', 'link': 'https://stackoverflow.com/users/18934283/smile-jie'}",False,205,2,1,1668328254,1650864772,71994848,CC BY-SA 4.0,https://stackoverflow.com/questions/71994848/revit-api-how-to-get-the-offset-in-the-view-range-in-the-plan-region,revit-API：How to get the &quot;Offset&quot; in the &quot;View Range&quot; in the &quot;Plan Region&quot;?,,1650877137.0,,,
16,"['c#', '.net', 'windows', 'maui', '.net-maui']","{'account_id': 24797157, 'reputation': 101, 'user_id': 18679810, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/69d0bf878e83bcb127dd7dff2d75bcd3?s=256&d=identicon&r=PG', 'display_name': 'mugu90', 'link': 'https://stackoverflow.com/users/18679810/mugu90'}",True,3214,3,10,1668306433,1648898877,71717131,CC BY-SA 4.0,https://stackoverflow.com/questions/71717131/create-normal-windows-desktop-application-using-net-maui,create normal windows desktop application using .net maui?,,1648904615.0,,,
17,"['c#', 'json', 'console-application', '.net-6.0']","{'account_id': 2471689, 'reputation': 1765, 'user_id': 2153383, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/baf6dcd721c5b19dd315d566a3d4cc11?s=256&d=identicon&r=PG', 'display_name': 'MTplus', 'link': 'https://stackoverflow.com/users/2153383/mtplus'}",True,27538,7,30,1668121227,1650543107,71954271,CC BY-SA 4.0,https://stackoverflow.com/questions/71954271/how-can-i-read-the-appsettings-json-in-a-net-6-console-application,How can I read the appsettings.json in a .Net 6 console application?,73300150.0,,,,
18,"['c#', '.net-6.0']","{'account_id': 12330460, 'reputation': 351, 'user_id': 8996652, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ff67aa3b3dbda1f19ce7a26d5a0b630c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Robin', 'link': 'https://stackoverflow.com/users/8996652/robin'}",True,1719,1,5,1668084950,1648825667,71709090,CC BY-SA 4.0,https://stackoverflow.com/questions/71709090/how-to-use-ioptions-pattern-in-program-cs-in-net6-before-builder-build,"How to use IOptions pattern in Program.cs in .NET6, before builder.build()?",71709824.0,1651566022.0,,,
19,"['c#', 'unity3d', 'urp']","{'account_id': 24985053, 'reputation': 1, 'user_id': 18846944, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/78f43782dd459edefcd8d1994cc5d5de?s=256&d=identicon&r=PG', 'display_name': 'Hakan', 'link': 'https://stackoverflow.com/users/18846944/hakan'}",False,2118,3,0,1667928054,1650275424,71910233,CC BY-SA 4.0,https://stackoverflow.com/questions/71910233/unity-urp-error-reduced-additional-punctual-light-shadows-resolution,Unity URP Error: Reduced additional punctual light shadows resolution,,1650464601.0,,,
20,"['c#', 'mysql', 'asp.net-core', 'stream', 'bulkinsert']","{'account_id': 3165148, 'reputation': 851, 'user_id': 2675349, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ullan', 'link': 'https://stackoverflow.com/users/2675349/ullan'}",False,177,2,0,1667904115,1649969568,71877496,CC BY-SA 4.0,https://stackoverflow.com/questions/71877496/how-to-load-csv-file-to-mysql-using-sourcestream,How to load CSV file to MySQL using SourceStream?,,1650546713.0,,,
21,"['c#', 'winforms', 'printing', 'zebra-printers']","{'account_id': 4683902, 'reputation': 1470, 'user_id': 3791853, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://i.stack.imgur.com/OZIJ6.jpg?s=256&g=1', 'display_name': 'alamnaryab', 'link': 'https://stackoverflow.com/users/3791853/alamnaryab'}",False,371,1,0,1667896140,1649069326,71735955,CC BY-SA 4.0,https://stackoverflow.com/questions/71735955/print-prn-file-using-c-win-forms,print prn file using c# win forms,,,,,
22,"['c#', 'json', '.net', '.net-core', 'json.net']","{'account_id': 44445, 'reputation': 1646, 'user_id': 130501, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/413f60bb9c78166d10404c4f0cb27b67?s=256&d=identicon&r=PG', 'display_name': 'Gaotter', 'link': 'https://stackoverflow.com/users/130501/gaotter'}",True,1077,1,2,1667891361,1649170635,71754009,CC BY-SA 4.0,https://stackoverflow.com/questions/71754009/why-does-jsonconvert-deserialize-object-fail-with-int-but-not-long,Why does JsonConvert deserialize object fail with int but not long,71754142.0,1667891361.0,,,
23,"['c#', 'asp.net-mvc', 'asp.net-core', 'ssh', 'sftp']","{'account_id': 19556022, 'reputation': 93, 'user_id': 14310386, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0f09f7a043af7e7154cc5d732a9dc3f8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Explorer', 'link': 'https://stackoverflow.com/users/14310386/explorer'}",True,1417,2,0,1667833912,1650455409,71939110,CC BY-SA 4.0,https://stackoverflow.com/questions/71939110/renci-sshnet-common-sftppermissiondeniedexception-permission-denied,Renci.SshNet.Common.SftpPermissionDeniedException: &#39;Permission denied&#39;,72020104.0,1650470248.0,,,
24,"['c#', '.net', 'graphql', 'authorization', 'hotchocolate']","{'account_id': 9315364, 'reputation': 157, 'user_id': 6915873, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/d3fdcf68d7a847a797875185ae90b05e?s=256&d=identicon&r=PG&f=1', 'display_name': 'maxsands1503', 'link': 'https://stackoverflow.com/users/6915873/maxsands1503'}",True,755,1,0,1667833766,1650899854,72001875,CC BY-SA 4.0,https://stackoverflow.com/questions/72001875/net-6-webapi-with-hotchocolate-graphql-not-authorizing,NET 6 WebAPI with Hotchocolate GraphQL not authorizing,74348754.0,,,,
25,"['c#', 'sql-server', 'asynchronous', 'ssis', 'script-task']","{'account_id': 6325560, 'reputation': 957, 'user_id': 4912134, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/e2acf4f3d82de4ab30d4c9b982b2e7cf?s=256&d=identicon&r=PG&f=1', 'display_name': 'user4912134', 'link': 'https://stackoverflow.com/users/4912134/user4912134'}",False,318,0,0,1667652903,1650922617,72005987,CC BY-SA 4.0,https://stackoverflow.com/questions/72005987/ssis-async-calls-in-the-script-task-to-load-data-from-the-api-in-to-sql-server-t,SSIS Async calls in the Script task to load data from the API in to SQL server tables,,,,,
26,"['c#', 'function', 'sorting', 'arguments']","{'account_id': 16580056, 'reputation': 3, 'user_id': 11980879, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/8Cvoh.jpg?s=256&g=1', 'display_name': 'Mr Facysus', 'link': 'https://stackoverflow.com/users/11980879/mr-facysus'}",True,89,1,0,1667651588,1650020017,71883130,CC BY-SA 4.0,https://stackoverflow.com/questions/71883130/passing-function-as-parameter-cs1503,Passing Function as Parameter ( CS1503 ),71883167.0,1667651588.0,,,
27,"['c#', 'blockchain', 'ethereum', 'polygon']","{'account_id': 20199582, 'reputation': 111, 'user_id': 14815664, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/26b979c4a59a9c0e783a6a4f37cbae7a?s=256&d=identicon&r=PG&f=1', 'display_name': 'flutterisbae', 'link': 'https://stackoverflow.com/users/14815664/flutterisbae'}",True,438,2,0,1667644860,1648820429,71707849,CC BY-SA 4.0,https://stackoverflow.com/questions/71707849/monitoring-polygon-wallet-transactions-with-c,Monitoring Polygon wallet transactions with c#,71709565.0,,,,
28,"['c#', 'gtk3', 'gtk#']","{'account_id': 514099, 'reputation': 588, 'user_id': 907675, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/9e9fa49609bae078c653f7a44aeb884a?s=256&d=identicon&r=PG', 'display_name': 'klasyc', 'link': 'https://stackoverflow.com/users/907675/klasyc'}",False,94,2,0,1667636522,1649253118,71768040,CC BY-SA 4.0,https://stackoverflow.com/questions/71768040/gtk-3-24-slide-button-in-gtksharp,Gtk 3.24 - slide button in GtkSharp,,,,,
29,"['c#', '.net', 'google-cloud-platform', 'google-cloud-storage']","{'account_id': 17735779, 'reputation': 769, 'user_id': 12877180, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-LqQciuUvtGQ/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfm5LKlv2s_yyA01mfzT4TmN-RLHw/photo.jpg?sz=256', 'display_name': 'Mikolaj', 'link': 'https://stackoverflow.com/users/12877180/mikolaj'}",True,612,1,0,1667602033,1649230624,71762773,CC BY-SA 4.0,https://stackoverflow.com/questions/71762773/how-to-check-if-file-exists-in-google-cloud-storage-using-net-and-google-cloud,How to check if file exists in Google Cloud Storage using .NET and Google.Cloud.Storage.V1?,74323664.0,,,,
30,"['c#', 'visual-studio', 'intellisense', 'auto-generate', 'class-constructors']","{'account_id': 25097124, 'reputation': 13, 'user_id': 18948180, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/05f0cc787b08720dff601ccb8614a39d?s=256&d=identicon&r=PG', 'display_name': 'JDD_11', 'link': 'https://stackoverflow.com/users/18948180/jdd-11'}",True,5109,2,1,1667589090,1650949370,72008616,CC BY-SA 4.0,https://stackoverflow.com/questions/72008616/visual-studio-2022-not-showing-syntax-errors-and-intellisense-is-not-working-pro,Visual Studio 2022 not showing syntax errors and Intellisense is not working properly,72025586.0,,,,
31,"['c#', 'asp.net', 'angular', 'asp.net-core', 'angular13']","{'account_id': 15835906, 'reputation': 695, 'user_id': 11425760, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b491ea1c09749c5acf2fa696c2606f25?s=256&d=identicon&r=PG&f=1', 'display_name': 'Chris', 'link': 'https://stackoverflow.com/users/11425760/chris'}",False,1633,3,2,1667588704,1649689202,71830055,CC BY-SA 4.0,https://stackoverflow.com/questions/71830055/proxy-conf-js-not-working-in-asp-net-core-app-with-angular,proxy.conf.js not working in ASP.NET Core app with Angular,,1649752131.0,,,
32,"['c#', 'extension-methods']","{'account_id': 25054305, 'reputation': 29, 'user_id': 18909864, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b9767b9495500e061f2251130571c2f9?s=256&d=identicon&r=PG', 'display_name': 'maddy', 'link': 'https://stackoverflow.com/users/18909864/maddy'}",True,448,3,1,1667536609,1650684035,71976566,CC BY-SA 4.0,https://stackoverflow.com/questions/71976566/what-does-the-extension-method-do-in-c-and-why-do-you-need-it,What does the extension method do in c# and why do you need it?,,1650688872.0,,,
33,"['c#', 'azure-functions', 'connection-string', 'appsettings']","{'account_id': 917433, 'reputation': 1418, 'user_id': 949918, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/282a9f6af6bad60a109563d519b2e397?s=256&d=identicon&r=PG&f=1', 'display_name': 'Unknown Coder', 'link': 'https://stackoverflow.com/users/949918/unknown-coder'}",True,871,2,3,1667536253,1651233788,72057686,CC BY-SA 4.0,https://stackoverflow.com/questions/72057686/azure-function-app-unable-to-get-connection-string-value-cannot-be-null-para,Azure Function App Unable to get Connection String : Value cannot be null. (Parameter &#39;connectionString&#39;),72076819.0,,,,
34,"['c#', 'asp.net-core', 'asp.net-core-mvc']","{'account_id': 24800536, 'reputation': 75, 'user_id': 18682963, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/297ef81f74d335fbce3b8f495063bb22?s=256&d=identicon&r=PG', 'display_name': 'Yosef Abada', 'link': 'https://stackoverflow.com/users/18682963/yosef-abada'}",True,246,1,0,1667524678,1650007482,71881214,CC BY-SA 4.0,https://stackoverflow.com/questions/71881214/edit-images-in-wwwroot,Edit images in wwwroot,71887679.0,1650047754.0,,,
35,"['c#', 'asp.net-mvc', 'visual-studio-2022']","{'account_id': 24131527, 'reputation': 1011, 'user_id': 18099076, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/26325ddbae94704bb7d590921772a2ed?s=256&d=identicon&r=PG', 'display_name': 'aca', 'link': 'https://stackoverflow.com/users/18099076/aca'}",True,376,2,1,1667516462,1649672427,71826149,CC BY-SA 4.0,https://stackoverflow.com/questions/71826149/asp-net-core-web-app-6-0-index-view-not-found-but-exists,"ASP.NET Core Web App 6.0, Index view not found, but exists?",71828566.0,,,,
36,"['c#', 'mysql', 'amazon-s3']","{'account_id': 21466535, 'reputation': 115, 'user_id': 15816368, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzgRWhfFLWEadr8gOV5nOwEUTfJyZwXSOr-7yQK=k-s256', 'display_name': 'aka baka', 'link': 'https://stackoverflow.com/users/15816368/aka-baka'}",True,479,1,0,1667472110,1649913389,71866808,CC BY-SA 4.0,https://stackoverflow.com/questions/71866808/how-to-load-csv-file-from-s3-bucket-using-c-and-mysql,How to load csv file from s3 bucket using C# and MySql?,74301722.0,,,,
37,"['c#', 'clickonce', '.net-6.0', 'visual-studio-2022']","{'account_id': 7805676, 'reputation': 21, 'user_id': 5903639, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dadb07b8b6437ce5f308cc5de7d342e1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Thomas W.', 'link': 'https://stackoverflow.com/users/5903639/thomas-w'}",False,151,1,2,1667415266,1650904873,72002943,CC BY-SA 4.0,https://stackoverflow.com/questions/72002943/clickonce-publish-error-msb3094-destinationfiles-refers-to-2-items-and-so,"ClickOnce Publish error MSB3094: &quot;DestinationFiles&quot; refers to 2 item(s), and &quot;SourceFiles&quot; refers to 1 item(s)",,1650917774.0,,,
38,"['c#', 'php', 'encryption', 'aes', 'rijndael']","{'account_id': 25037705, 'reputation': 9, 'user_id': 18894914, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/46b4a0a2696937681e3b03ed58165b09?s=256&d=identicon&r=PG', 'display_name': 'ichnichtsphp', 'link': 'https://stackoverflow.com/users/18894914/ichnichtsphp'}",False,84,1,0,1667397789,1650551796,71956329,CC BY-SA 4.0,https://stackoverflow.com/questions/71956329/decrypt-c-encrypted-string-in-php-stringcipher-library,decrypt C# encrypted string in PHP (StringCipher Library),,,,,
39,"['c#', '.net', 'debugging', 'deadlock', 'dump']","{'account_id': 5370447, 'reputation': 14783, 'user_id': 4279155, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://i.stack.imgur.com/Gve3F.png?s=256&g=1', 'display_name': 'Dominique', 'link': 'https://stackoverflow.com/users/4279155/dominique'}",False,821,0,0,1667373495,1649145471,71748128,CC BY-SA 4.0,https://stackoverflow.com/questions/71748128/newbie-at-dotnet-dump-analysis-dotnet-dump-and-clrstack-all,Newbie at dotNet dump analysis: dotnet-dump and clrstack -all,,1667373495.0,,,
40,"['c#', '.net-6.0', 'winui-3', 'maui']","{'account_id': 21025357, 'reputation': 61, 'user_id': 15450842, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjP3dnHYZ2kKW50fjIBLwoBFlmxOIqDuTEsTvYw=k-s256', 'display_name': 'Ярослав Донецкий', 'link': 'https://stackoverflow.com/users/15450842/%d0%af%d1%80%d0%be%d1%81%d0%bb%d0%b0%d0%b2-%d0%94%d0%be%d0%bd%d0%b5%d1%86%d0%ba%d0%b8%d0%b9'}",True,6058,4,6,1667341444,1649494557,71806578,CC BY-SA 4.0,https://stackoverflow.com/questions/71806578/maui-how-to-remove-the-title-bar-and-fix-the-window-size,MAUI how to remove the Title Bar and fix the window size?,,1649494897.0,,,
41,"['javascript', 'java', 'c#', 'php', 'reactjs']","{'account_id': 25029812, 'reputation': 31, 'user_id': 18887679, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJw7V5ByJksuP2s-sjBoNzQFRUU7IjHUeey6RL7l=k-s256', 'display_name': 'user18887679', 'link': 'https://stackoverflow.com/users/18887679/user18887679'}",True,3381,4,3,1667304909,1650513867,71948818,CC BY-SA 4.0,https://stackoverflow.com/questions/71948818/no-result-using-makestyles-material-ui-in-react-18,No result using makeStyles Material UI in react 18,,1650530622.0,,,
42,"['c#', 'asp.net', 'asp.net-mvc', 'entity-framework']","{'account_id': 22960002, 'reputation': 69, 'user_id': 17090032, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0f932e8b2e2149f296b2821ad8d9c3a5?s=256&d=identicon&r=PG', 'display_name': 'dapet', 'link': 'https://stackoverflow.com/users/17090032/dapet'}",True,207,1,0,1667179210,1651236280,72058192,CC BY-SA 4.0,https://stackoverflow.com/questions/72058192/asp-net-delete-row-from-database-using-a-cshtml-webpage,ASP.NET - Delete row from database using a cshtml webpage,72075116.0,1667179210.0,,,
43,"['c#', 'asp.net', 'sql-server', 'asp.net-mvc', 'iis']","{'account_id': 231523, 'reputation': 185, 'user_id': 7105659, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/d9a7ca59805c723a60e3cb199e6e86f4?s=256&d=identicon&r=PG', 'display_name': 'MrMustafa', 'link': 'https://stackoverflow.com/users/7105659/mrmustafa'}",False,389,1,0,1667109664,1648958761,71722932,CC BY-SA 4.0,https://stackoverflow.com/questions/71722932/publish-asp-net-mvc-project-with-local-db-on-a-server-that-does-not-have-sql-ser,Publish ASP.NET MVC project with Local DB on a server that does not have SQL Server installed on it,,1649042974.0,,,
44,"['c#', 'database', 'relationship', 'new-operator']","{'account_id': 24747590, 'reputation': 25, 'user_id': 18633572, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhSuRKEktNPvd1_NA2s9gBAl8jKhFd5qztJoFB6=k-s256', 'display_name': 'Mohammad', 'link': 'https://stackoverflow.com/users/18633572/mohammad'}",False,31,0,0,1667022597,1651102458,72036372,CC BY-SA 4.0,https://stackoverflow.com/questions/72036372/how-to-determine-the-principal-end-of-the-relationship,how to determine the principal end of the relationship,,1667022597.0,,,
