,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date,locked_date
10,"['c#', 'asp.net', 'asp.net-core', 'blazor']","{'account_id': 16637328, 'reputation': 577, 'user_id': 12023694, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-KC7R6yzzYd0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reoVpdLJxC6Mo52rbHRD1k6mvq4Cw/photo.jpg?sz=256', 'display_name': 'Emba Ayyub', 'link': 'https://stackoverflow.com/users/12023694/emba-ayyub'}",True,74477,58499396.0,5,41,1668329568,1571657579,58485439,CC BY-SA 4.0,https://stackoverflow.com/questions/58485439/select-box-binding-in-blazor,Select box binding in blazor,1640901302.0,,,,
11,"['c#', 'asp.net', 'visual-studio']","{'account_id': 16440434, 'reputation': 382, 'user_id': 11876883, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-tQB0428CDOE/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rc_9YvdMhkrXbBemO9K7P0AWk6GTQ/photo.jpg?sz=256', 'display_name': 'Nits Patel', 'link': 'https://stackoverflow.com/users/11876883/nits-patel'}",False,2393,,1,6,1668272162,1571125566,58389654,CC BY-SA 4.0,https://stackoverflow.com/questions/58389654/how-to-fix-error-does-not-contain-a-definition-for-context-and-no-accessible-e,How to fix Error does not contain a definition for &#39;context&#39; and no accessible extension method &#39;context&#39; accepting a first argument type,1571131664.0,,,,
12,"['c#', '.net-core', 'json.net', 'system.text.json']","{'account_id': 1930435, 'reputation': 1121, 'user_id': 1739931, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/yVnP9.jpg?s=256&g=1', 'display_name': 'THBBFT', 'link': 'https://stackoverflow.com/users/1739931/thbbft'}",True,13954,74410213.0,6,24,1668224279,1571366216,58443181,CC BY-SA 4.0,https://stackoverflow.com/questions/58443181/does-the-new-system-text-json-have-a-required-property-attribute,Does the new `System.Text.Json` have a required property attribute?,1610420068.0,,,,
13,"['c#', 'xaml', 'xamarin', 'xamarin.forms', 'xamarin.android']","{'account_id': 16768749, 'reputation': 13, 'user_id': 12121758, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2074288762673343/picture?type=large', 'display_name': 'עמנואל טרובק', 'link': 'https://stackoverflow.com/users/12121758/%d7%a2%d7%9e%d7%a0%d7%95%d7%90%d7%9c-%d7%98%d7%a8%d7%95%d7%91%d7%a7'}",True,391,58618335.0,2,-1,1667866775,1572378881,58614491,CC BY-SA 4.0,https://stackoverflow.com/questions/58614491/how-to-add-gradient-to-a-border-line-below-the-header-of-a-page-in-xamarin-forms,How to add gradient to a border line below the header of a page in Xamarin Forms?,1572417029.0,,,,
14,"['c#', '.net', 'blazor']","{'account_id': 3871903, 'reputation': 5446, 'user_id': 3206983, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'bitshift', 'link': 'https://stackoverflow.com/users/3206983/bitshift'}",True,3363,58363380.0,2,5,1667423340,1570818012,58346600,CC BY-SA 4.0,https://stackoverflow.com/questions/58346600/why-do-blazor-components-and-elements-not-have-id-attributes,Why do Blazor components and elements not have Id attributes,1570819261.0,,,,
15,"['c#', 'asp.net-mvc', 'validation', 'fluentvalidation']","{'account_id': 3716127, 'reputation': 17220, 'user_id': 3092298, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/70530902b2446a5eccb717b2d21506fb?s=256&d=identicon&r=PG&f=1', 'display_name': 'Greg Burghardt', 'link': 'https://stackoverflow.com/users/3092298/greg-burghardt'}",False,4226,,0,10,1667408614,1571400368,58450593,CC BY-SA 4.0,https://stackoverflow.com/questions/58450593/how-to-validate-items-in-dictionarystring-t-view-model-property-using-fluentv,"How to validate items in Dictionary&lt;string, T&gt; view model property using FluentValidation",1571401911.0,,,,
16,"['c#', 'sql-server', 'entity-framework-core']","{'account_id': 16902670, 'reputation': 137, 'user_id': 12223582, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ielUv.jpg?s=256&g=1', 'display_name': 'Andres Guillen Hernandez', 'link': 'https://stackoverflow.com/users/12223582/andres-guillen-hernandez'}",True,1222,74276075.0,1,6,1667306239,1571190928,58404719,CC BY-SA 4.0,https://stackoverflow.com/questions/58404719/iqueryable-doesnt-implement-idbasync-query-provider,IQueryable doesn&#39;t implement IDbAsync Query Provider,1571237507.0,,,,
17,"['c#', 'unity3d', 'sprite']","{'user_type': 'does_not_exist', 'display_name': 'user10577558'}",True,4645,,2,0,1667217539,1570067041,58211306,CC BY-SA 4.0,https://stackoverflow.com/questions/58211306/unity-loading-sprites-with-addressables,Unity Loading Sprites with Addressables,,,,,
18,"['c#', 'android', 'xamarin', 'ado.net']","{'account_id': 11776325, 'reputation': 41, 'user_id': 8617626, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/xVm0l.png?s=256&g=1', 'display_name': 'Dadivitan Mj', 'link': 'https://stackoverflow.com/users/8617626/dadivitan-mj'}",True,6089,,3,3,1667158666,1571053543,58376095,CC BY-SA 4.0,https://stackoverflow.com/questions/58376095/xamarin-java-security-cert-certpathvalidatorexception-trust-anchor-for-certifi,Xamarin: java.security.cert.CertPathValidatorException: Trust anchor for certification path not found,,,,,
19,"['c#', 'winforms', 'checkbox', 'dynamically-generated']","{'account_id': 13646497, 'reputation': 37, 'user_id': 9845381, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/39d24272cc847ef5b4096259c2dfd4f8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Carlo Goretti', 'link': 'https://stackoverflow.com/users/9845381/carlo-goretti'}",True,42,58379000.0,1,-1,1667137470,1571062230,58378580,CC BY-SA 4.0,https://stackoverflow.com/questions/58378580/dynamically-generating-checkboxes-but-the-event-handler-only-works-for-the-last,Dynamically generating Checkboxes but the event handler only works for the last one,1571064142.0,,,,
20,"['c#', 'unity3d']","{'account_id': 16964311, 'reputation': 61, 'user_id': 12270652, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2396631073998895/picture?type=large', 'display_name': 'Fuad Shahmuradov', 'link': 'https://stackoverflow.com/users/12270652/fuad-shahmuradov'}",True,628,58554995.0,1,-2,1667092430,1571945096,58547960,CC BY-SA 4.0,https://stackoverflow.com/questions/58547960/unityscript-to-c-in-unity,UnityScript to C# in Unity,1667092430.0,,,,
21,"['c#', 'asp.net', 'xml']","{'account_id': 16474466, 'reputation': 1, 'user_id': 11902794, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9cf7485b2aff676b303c1af090e8ba3a?s=256&d=identicon&r=PG&f=1', 'display_name': 'MikeInChicago', 'link': 'https://stackoverflow.com/users/11902794/mikeinchicago'}",False,491,,1,0,1667010779,1570058740,58210532,CC BY-SA 4.0,https://stackoverflow.com/questions/58210532/xml-as-string-content-to-post-api,XML as string content to Post API,1667010779.0,,,,
22,"['c#', '.net-core', 'certificate', 'x509certificate2', 'ocsp']","{'account_id': 1864597, 'reputation': 333, 'user_id': 1856327, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c0c0fa5daef70043738b980a7fbb9785?s=256&d=identicon&r=PG', 'display_name': 'Guru_07', 'link': 'https://stackoverflow.com/users/1856327/guru-07'}",True,961,58612162.0,2,0,1666890673,1572360054,58609701,CC BY-SA 4.0,https://stackoverflow.com/questions/58609701/add-certificate-ocsp-authority-information-access-and-policies-extensions-in-c,Add Certificate ocsp Authority Information Access and policies extensions in c#,,,,,
23,"['c#', 'entity-framework-core']","{'account_id': 3402063, 'reputation': 3299, 'user_id': 2854001, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://i.stack.imgur.com/vUFjy.jpg?s=256&g=1', 'display_name': 'Thomas Koelle', 'link': 'https://stackoverflow.com/users/2854001/thomas-koelle'}",True,3547,58372389.0,1,2,1666726701,1570795112,58340818,CC BY-SA 4.0,https://stackoverflow.com/questions/58340818/entity-framework-core-insert-without-changetracking,Entity framework core insert without changetracking,1666726701.0,,,,
24,"['c#', 'json', 'polymorphism', '.net-core-3.0', 'system.text.json']","{'account_id': 133495, 'reputation': 6536, 'user_id': 334904, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/30c2d3f79c4b55e1d8de2a950cee0869?s=256&d=identicon&r=PG', 'display_name': 'shadeglare', 'link': 'https://stackoverflow.com/users/334904/shadeglare'}",True,7472,,2,4,1666597645,1570128054,58225122,CC BY-SA 4.0,https://stackoverflow.com/questions/58225122/serialize-deserialize-a-class-hierarchy-with-net-core-system-text-json,Serialize/Deserialize a class hierarchy with .NET Core System.Text.Json,1574747212.0,,,,
25,"['c#', 'asynchronous', 'async-await', 'interface']","{'account_id': 7544252, 'reputation': 473, 'user_id': 5727895, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2ce2d8fd692c1a24a21564b7eed98375?s=256&d=identicon&r=PG&f=1', 'display_name': 'simsi', 'link': 'https://stackoverflow.com/users/5727895/simsi'}",True,946,58592522.0,1,5,1666352082,1572271709,58592433,CC BY-SA 4.0,https://stackoverflow.com/questions/58592433/second-implementation-of-async-task-without-await,Second implementation of async task without await,1666352082.0,,,,
26,"['c#', 'asp.net-core', 'integration-testing', 'grpc']","{'account_id': 9526569, 'reputation': 141, 'user_id': 7079620, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/67249aff9967e43189023748f6a94d6f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mark LFT', 'link': 'https://stackoverflow.com/users/7079620/mark-lft'}",True,2737,,3,10,1666349936,1570347371,58255190,CC BY-SA 4.0,https://stackoverflow.com/questions/58255190/need-guidance-for-intregration-testing-with-the-new-net-core-3-0-grpc-service,Need Guidance for Intregration Testing with the new .Net Core 3.0 grpc service,1628004227.0,,,,
27,"['c#', 'aws-lambda']","{'account_id': 358584, 'reputation': 277, 'user_id': 699448, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/f61e07d781351e4291f7fff158ed4a8e?s=256&d=identicon&r=PG', 'display_name': 'Ryan', 'link': 'https://stackoverflow.com/users/699448/ryan'}",True,13262,,7,11,1666346413,1572308367,58599978,CC BY-SA 4.0,https://stackoverflow.com/questions/58599978/cannot-start-lambda-with-mock-lambda-test-tool,Cannot start lambda with Mock Lambda Test Tool,1572309108.0,,,,
28,"['c#', 'api', 'authentication', 'client-certificates', '.net-core-3.0']","{'account_id': 8894322, 'reputation': 73, 'user_id': 6639897, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a7dc2beeb690de818560bff35d735877?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mike Brunner', 'link': 'https://stackoverflow.com/users/6639897/mike-brunner'}",False,1799,,2,2,1666337216,1571732887,58500042,CC BY-SA 4.0,https://stackoverflow.com/questions/58500042/how-to-enable-certificate-authentication-in-app-service-with-net-core-3-0,How to enable certificate authentication in App-Service with .NET Core 3.0?,,,,,
29,"['c#', 'automapper']","{'account_id': 339744, 'reputation': 1280, 'user_id': 669398, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/aab866dd1fe7712a79e65389056625dc?s=256&d=identicon&r=PG', 'display_name': 'Morse', 'link': 'https://stackoverflow.com/users/669398/morse'}",True,3852,,3,8,1666285869,1571155967,58398824,CC BY-SA 4.0,https://stackoverflow.com/questions/58398824/cant-access-automapper-context-items-after-upgrade-to-9,Can&#39;t access automapper context items after upgrade to 9,,,,,
30,"['c#', 'html', 'selenium', 'internet-explorer', 'selenium-webdriver']","{'account_id': 13799736, 'reputation': 35, 'user_id': 9959973, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-8b5qMkDhGFI/AAAAAAAAAAI/AAAAAAAAAE8/5pnvEDcn4GU/photo.jpg?sz=256', 'display_name': 'Kalyani Thosar', 'link': 'https://stackoverflow.com/users/9959973/kalyani-thosar'}",False,457,,2,-1,1666185701,1570100604,58217803,CC BY-SA 4.0,https://stackoverflow.com/questions/58217803/select-element-from-dropdown-list-in-ulli-liul-tag-where-ul-tag-havi,Select element from dropdown list in &lt;ul&gt;&lt;li&gt;..&lt;/li&gt;&lt;ul&gt; tag where &lt;ul&gt; tag having attribute style -display:none,1570107693.0,,,,
31,"['c#', 'reflection', 'nullable', 'nullable-reference-types']","{'account_id': 133495, 'reputation': 6536, 'user_id': 334904, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/30c2d3f79c4b55e1d8de2a950cee0869?s=256&d=identicon&r=PG', 'display_name': 'shadeglare', 'link': 'https://stackoverflow.com/users/334904/shadeglare'}",True,6516,58454489.0,6,64,1666174075,1571412698,58453972,CC BY-SA 4.0,https://stackoverflow.com/questions/58453972/how-to-use-net-reflection-to-check-for-nullable-reference-type,How to use .NET reflection to check for nullable reference type,1572427557.0,,,,
32,"['c#', 'onclick', 'blazor']","{'account_id': 7658717, 'reputation': 321, 'user_id': 5804679, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10208162940131965/picture?type=large', 'display_name': 'micsp24', 'link': 'https://stackoverflow.com/users/5804679/micsp24'}",True,43388,,15,22,1666164301,1570000530,58196812,CC BY-SA 4.0,https://stackoverflow.com/questions/58196812/blazor-onclick-event-not-triggered,Blazor onclick event not triggered,1622019217.0,,,,
33,"['c#', '.net', 'dotnet-httpclient', 'polly', 'circuit-breaker']","{'account_id': 4671546, 'reputation': 75, 'user_id': 3783214, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3783214', 'link': 'https://stackoverflow.com/users/3783214/user3783214'}",True,1567,58440522.0,2,5,1666158348,1571334697,58438204,CC BY-SA 4.0,https://stackoverflow.com/questions/58438204/proper-way-to-handle-multiple-services-with-polly-circuit-breaker,Proper way to handle multiple services with polly circuit breaker,1666158348.0,,,,
34,"['c#', '.net', 'wpf', 'xaml', 'textblock']","{'account_id': 123760, 'reputation': 82635, 'user_id': 318425, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/e819b6b63b0ae65f9840c4eb9eca778f?s=256&d=identicon&r=PG', 'display_name': 'Fredrik Hedblad', 'link': 'https://stackoverflow.com/users/318425/fredrik-hedblad'}",True,450,74098893.0,4,1,1666017386,1570462657,58272836,CC BY-SA 4.0,https://stackoverflow.com/questions/58272836/display-datetime-in-textblock-with-dashed-underlined-textdecorations,Display DateTime in TextBlock with Dashed-Underlined TextDecorations,1570463997.0,,,,
35,"['c#', 'xml', 'linq', 'xml-parsing']","{'user_type': 'does_not_exist', 'display_name': 'user12141168'}",False,81,,2,0,1665591492,1569904130,58178049,CC BY-SA 4.0,https://stackoverflow.com/questions/58178049/using-c-how-can-we-pull-attribute-values-from-an-xml-schema-file-and-output-th,"Using C#, how can we pull attribute values from an XML Schema file and output that onto a CSV file?",1665591492.0,,,,
36,['c#'],"{'account_id': 12276525, 'reputation': 37, 'user_id': 8959977, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-Ac2iaIe9Q-M/AAAAAAAAAAI/AAAAAAAAACQ/fbh34wGRL1Q/photo.jpg?sz=256', 'display_name': 'Vector 2755', 'link': 'https://stackoverflow.com/users/8959977/vector-2755'}",True,116,,2,1,1665295742,1571702069,58495482,CC BY-SA 4.0,https://stackoverflow.com/questions/58495482/need-a-fix-for-this-implicit-cast-error-in-my-find-median-method,Need a fix for this implicit cast error in my find median method,1571715809.0,,,,
37,"['c#', 'loops', 'reactiveui']","{'account_id': 16386855, 'reputation': 1, 'user_id': 11836613, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/721aeaf82227bf5bb504d2aef02284af?s=256&d=identicon&r=PG&f=1', 'display_name': 'matthewtrahan', 'link': 'https://stackoverflow.com/users/11836613/matthewtrahan'}",False,303,,2,0,1665150996,1572015935,58561111,CC BY-SA 4.0,https://stackoverflow.com/questions/58561111/what-is-the-proper-way-to-iterate-through-an-iobservablelistt,What is the proper way to iterate through an IObservableList&lt;T&gt;?,,,,,
38,"['c#', 'visual-studio']","{'account_id': 16787710, 'reputation': 58, 'user_id': 12136236, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/oSluS.png?s=256&g=1', 'display_name': 'kaptcha', 'link': 'https://stackoverflow.com/users/12136236/kaptcha'}",True,6381,58359109.0,3,0,1665113229,1570916459,58358797,CC BY-SA 4.0,https://stackoverflow.com/questions/58358797/presentationframework-pdb-was-not-loaded,PresentationFramework.pdb Was Not Loaded,,,,,
39,"['c#', 'data-structures', 'case-sensitive', 'case-insensitive']","{'account_id': 34470, 'reputation': 13143, 'user_id': 97471, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/895c5df5b55d3746862eca67d3263f66?s=256&d=identicon&r=PG', 'display_name': 'Gerardo Grignoli', 'link': 'https://stackoverflow.com/users/97471/gerardo-grignoli'}",True,1380,73967153.0,6,1,1665092794,1571700032,58495287,CC BY-SA 4.0,https://stackoverflow.com/questions/58495287/o1-dictionary-both-case-sensitive-and-insensitive,O(1) Dictionary both case sensitive and insensitive,1665092794.0,,,,
40,"['c#', 'asp.net-mvc', 'swagger-ui']","{'account_id': 16512755, 'reputation': 53, 'user_id': 11931053, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-LasCh4TOeRI/AAAAAAAAAAI/AAAAAAAAAvA/1HSdn7aSMJQ/photo.jpg?sz=256', 'display_name': 'Moses Matimba Chavani Hlongwan', 'link': 'https://stackoverflow.com/users/11931053/moses-matimba-chavani-hlongwan'}",True,1356,58512018.0,2,1,1664978477,1571776259,58511873,CC BY-SA 4.0,https://stackoverflow.com/questions/58511873/how-to-lock-swagger-ui-with-login-screen-to-only-give-access-to-the-api-end-poin,How to lock swagger ui with login screen to only give access to the API end points to only the Authorised users,,,,,
41,"['c#', 'visual-studio', 'tostring']","{'account_id': 10528381, 'reputation': 171, 'user_id': 7758636, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/vdHyk.jpg?s=256&g=1', 'display_name': 'HoosierDude', 'link': 'https://stackoverflow.com/users/7758636/hoosierdude'}",True,18172,58623031.0,7,13,1664732013,1572429818,58622846,CC BY-SA 4.0,https://stackoverflow.com/questions/58622846/how-do-i-generate-a-tostring-in-visual-studio-that-includes-all-properties,How do I generate a ToString() in Visual Studio that includes all properties?,,,,,
42,"['c#', 'xamarin.forms', 'xamarin.android', 'xamarin.ios', 'visual-studio-2019']","{'account_id': 16976718, 'reputation': 53, 'user_id': 12279869, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-8A2xuKmDD34/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdR9AO8H27CMt9sfuAIdMdKhp5Fyg/photo.jpg?sz=256', 'display_name': 'Turkuz olenedek', 'link': 'https://stackoverflow.com/users/12279869/turkuz-olenedek'}",True,2532,58586468.0,2,5,1664542393,1572135960,58575734,CC BY-SA 4.0,https://stackoverflow.com/questions/58575734/xamarin-external-image-not-displaying-problem,Xamarin external image not displaying problem,1572147627.0,,,,
43,"['c#', 'xamarin', 'xamarin.forms', 'xamarin.android']","{'account_id': 12486647, 'reputation': 83, 'user_id': 9089651, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/190ad16b8e0a45a75a727ae776458377?s=256&d=identicon&r=PG&f=1', 'display_name': 'Creative', 'link': 'https://stackoverflow.com/users/9089651/creative'}",True,160,58638321.0,1,0,1664349742,1572447669,58628249,CC BY-SA 4.0,https://stackoverflow.com/questions/58628249/how-to-open-actioncall-activity-from-dependencyservic-in-xamarin-forms,How to open ActionCall Activity from DependencyServic in Xamarin Forms?,,,,,
44,"['c#', 'blazor']","{'account_id': 382306, 'reputation': 1597, 'user_id': 737453, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/541723a5f06e910c5e9de2563a8bd53c?s=256&d=identicon&r=PG', 'display_name': 'mz1378', 'link': 'https://stackoverflow.com/users/737453/mz1378'}",True,11295,58453224.0,2,5,1664303525,1571406867,58452319,CC BY-SA 4.0,https://stackoverflow.com/questions/58452319/in-blazor-how-to-bind-and-then-fire-onchange-in-a-dynamic-model,"In Blazor, How to @bind and then fire @onchange in a dynamic model",1631544495.0,,,,
45,"['c#', 'c++', 'opencv', 'dll']","{'account_id': 14435800, 'reputation': 115, 'user_id': 10427809, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/lgOuo.jpg?s=256&g=1', 'display_name': 'Coco Yen', 'link': 'https://stackoverflow.com/users/10427809/coco-yen'}",True,2305,58273388.0,2,1,1664225066,1570458354,58271603,CC BY-SA 4.0,https://stackoverflow.com/questions/58271603/how-to-pass-multiple-cvmat-from-c-dll-to-opencvsharp-mat-c-properly,How to pass multiple cv::Mat from c++ dll to opencvsharp Mat c# properly?,1662531278.0,,,,
