,tags,migrated_from,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,title,accepted_answer_id,content_license,protected_date,closed_date,closed_reason,community_owned_date
11,"['c#', '.net', 'windows', 'environment-variables', 'class-library']",,"{'account_id': 90318, 'reputation': 2934, 'user_id': 248700, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/93a21d86982eb2097037dd7919502b38?s=256&d=identicon&r=PG', 'display_name': 'Steve Johnson', 'link': 'https://stackoverflow.com/users/248700/steve-johnson'}",True,9478,2,8,1667476123,1352310753,1495540613.0,13275338,https://stackoverflow.com/questions/13275338/how-to-resolve-environment-variables-programatically-in-c-without-using-environ,How to resolve environment variables programatically in C# without using Environment Enum?,13275415.0,,,1352341918.0,exact duplicate,
12,"['c#', 'visual-studio', 'unit-testing', 'assert']",,"{'account_id': 284239, 'reputation': 3788, 'user_id': 582211, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/0445624cfb762ac48881b634865d10b9?s=256&d=identicon&r=PG', 'display_name': 'Tom', 'link': 'https://stackoverflow.com/users/582211/tom'}",True,4584,3,9,1667425903,1354223360,1667425903.0,13634779,https://stackoverflow.com/questions/13634779/assert-throwsexception-in-async-function-unit-test,Assert.ThrowsException in async function unit test?,13638366.0,CC BY-SA 4.0,,,,
13,"['c#', 'asp.net', '.net', 'visual-studio']",,"{'account_id': 1534946, 'reputation': 13031, 'user_id': 1431250, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/KN8OF.png?s=256&g=1', 'display_name': 'Abhijeet', 'link': 'https://stackoverflow.com/users/1431250/abhijeet'}",True,180319,11,217,1667282156,1352145184,1662393096.0,13239325,https://stackoverflow.com/questions/13239325/how-to-find-the-reason-for-a-failed-build-without-any-error-or-warning,How to find the reason for a failed Build without any error or warning,27425455.0,CC BY-SA 4.0,1489110062.0,,,
14,"['c#', '.net', 'iis', 'system.reactive']",,"{'account_id': 32566, 'reputation': 7653, 'user_id': 90475, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/777854bfd2424a0bf0905adaf7455301?s=256&d=identicon&r=PG', 'display_name': 'GregC', 'link': 'https://stackoverflow.com/users/90475/gregc'}",True,5807,4,3,1667210466,1353707964,1495542121.0,13536199,https://stackoverflow.com/questions/13536199/how-to-monitor-ftp-incoming-folder-for-newly-uploaded-files,How to monitor FTP incoming folder for newly uploaded files?,13543188.0,CC BY-SA 3.0,,,,
15,"['c#', 'web-services', '.net-3.5', 'asmx']",,"{'account_id': 150839, 'reputation': 15087, 'user_id': 364312, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/a9d9ccf351e01162fbe6fc962b5e79db?s=256&d=identicon&r=PG', 'display_name': 'oshirowanen', 'link': 'https://stackoverflow.com/users/364312/oshirowanen'}",True,21051,1,7,1666655096,1352128056,1643130201.0,13234819,https://stackoverflow.com/questions/13234819/the-test-form-is-only-available-for-requests-from-the-local-machine,The test form is only available for requests from the local machine,13235046.0,CC BY-SA 4.0,,,,
16,"['c#', 'datatable', 'copy']",,"{'account_id': 1857237, 'reputation': 773, 'user_id': 1682552, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/b0020135fdd2b71fe1a04c1b85937200?s=256&d=identicon&r=PG', 'display_name': 'Uni Le', 'link': 'https://stackoverflow.com/users/1682552/uni-le'}",True,1177,2,0,1666642393,1352972258,1666642393.0,13394730,https://stackoverflow.com/questions/13394730/copy-column-value-from-table-to-table-skip-first-3-rows,"copy Column value from table to table, skip first 3 rows",13394774.0,CC BY-SA 4.0,,,,
17,"['c#', 'datatable', 'compare']",,"{'account_id': 2074004, 'reputation': 489, 'user_id': 1847877, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/bbcf33349ba169761d7cf3bc25ce04e3?s=256&d=identicon&r=PG', 'display_name': 'Le Viet Hung', 'link': 'https://stackoverflow.com/users/1847877/le-viet-hung'}",True,4899,2,0,1666367568,1354104437,1666367568.0,13604723,https://stackoverflow.com/questions/13604723/compare-2-tables-columns-names-add-it-if-doesnt-exist,"Compare 2 tables columns names, add it if doesn&#39;t exist",13605239.0,CC BY-SA 4.0,,,,
18,"['c#', '.net']",,"{'account_id': 8490, 'reputation': 13567, 'user_id': 15349, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/d31c743145ddaa5b8ff103815078445b?s=256&d=identicon&r=PG', 'display_name': 'Peter', 'link': 'https://stackoverflow.com/users/15349/peter'}",True,34587,24,254,1666139462,1353601337,1395931471.0,13516689,https://stackoverflow.com/questions/13516689/for-i-0-why-is-i-i-equal-to-0,"For i = 0, why is (i += i++) equal to 0?",13516748.0,CC BY-SA 3.0,1387354616.0,,,
19,"['c#', '.net', 'sql', 'entity-framework', 'mvvm']",,"{'account_id': 168426, 'reputation': 8888, 'user_id': 393879, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/7a9f2a8490d8576f763b8e6f56a014ae?s=256&d=identicon&r=PG', 'display_name': 'Willem', 'link': 'https://stackoverflow.com/users/393879/willem'}",True,2273,3,4,1665993733,1352963859,,13393009,https://stackoverflow.com/questions/13393009/how-would-i-reconnect-entity-frameworks-connection-to-the-db-when-the-connection,How would i reconnect Entity Frameworks connection to the DB when the connection is lost,13393080.0,CC BY-SA 3.0,,,,
20,"['c#', 'width', 'tabcontrol', 'tabpage']",,"{'account_id': 1080702, 'reputation': 29869, 'user_id': 1077789, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/O7HIh.png?s=256&g=1', 'display_name': 'Isuru', 'link': 'https://stackoverflow.com/users/1077789/isuru'}",True,18618,4,6,1664923373,1352453949,1352460135.0,13305457,https://stackoverflow.com/questions/13305457/how-to-make-tab-pages-widths-fit-into-the-tabcontrols-width,How to make Tab pages&#39; widths fit into the TabControl&#39;s width,,CC BY-SA 3.0,,,,
21,"['c#', '.net', 'json', 'string']",,"{'account_id': 1916255, 'reputation': 861, 'user_id': 1728788, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://i.stack.imgur.com/mc6Nc.jpg?s=256&g=1', 'display_name': 'Aimee Jones', 'link': 'https://stackoverflow.com/users/1728788/aimee-jones'}",True,19073,2,11,1664816922,1353598176,1353598393.0,13515867,https://stackoverflow.com/questions/13515867/download-a-json-string-in-c,Download a JSON String in C#,13515904.0,CC BY-SA 3.0,,,,
22,"['c#', '.net', 'unit-testing', 'rhino-mocks']",,"{'account_id': 321925, 'reputation': 1579, 'user_id': 641046, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/c2f847ac7fc677a3be91ca9312ee9605?s=256&d=identicon&r=PG', 'display_name': 'user101010101', 'link': 'https://stackoverflow.com/users/641046/user101010101'}",True,7146,2,1,1664275173,1353941576,1664275173.0,13567304,https://stackoverflow.com/questions/13567304/rhino-mock-mocking-private-method-calls-c,Rhino Mock: Mocking private method calls c#,,CC BY-SA 4.0,,,,
23,"['c#', '.net', 'winforms', 'user-interface', 'textbox']",,"{'account_id': 1571474, 'reputation': 3751, 'user_id': 1459075, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/03de08b8f6ad55b8a15739656cc91daa?s=256&d=identicon&r=PG', 'display_name': 'Brandon Ling', 'link': 'https://stackoverflow.com/users/1459075/brandon-ling'}",True,243566,6,59,1664201855,1352513229,1467401480.0,13318561,https://stackoverflow.com/questions/13318561/adding-new-line-of-data-to-textbox,Adding new line of data to TextBox,13320287.0,CC BY-SA 3.0,,,,
24,"['c#', '.net', 'regex']",,"{'account_id': 1985739, 'reputation': 73, 'user_id': 1781027, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/39c871827d88db12b88614351e5edc34?s=256&d=identicon&r=PG', 'display_name': 'user1781027', 'link': 'https://stackoverflow.com/users/1781027/user1781027'}",True,23704,6,5,1664076616,1352159474,1352160164.0,13242328,https://stackoverflow.com/questions/13242328/counting-number-of-words-in-a-text-file,Counting number of words in a text file,,CC BY-SA 3.0,,,,
25,"['c#', 'outlook', 'vsto', 'add-in', 'admin-rights']",,"{'account_id': 1585976, 'reputation': 13008, 'user_id': 1470327, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/bbfda31206a98c9fc947cec762db13e5?s=256&d=identicon&r=PG', 'display_name': 'bas', 'link': 'https://stackoverflow.com/users/1470327/bas'}",True,5147,3,9,1663917841,1354096112,1360090296.0,13602186,https://stackoverflow.com/questions/13602186/create-outlook-addin-without-need-for-admin-rights,Create outlook addin without need for admin rights,14790977.0,CC BY-SA 3.0,,,,
26,"['c#', 'forms', 'timer']",,"{'account_id': 1788989, 'reputation': 1777, 'user_id': 1629802, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/M7RfV.png?s=256&g=1', 'display_name': 'tomb', 'link': 'https://stackoverflow.com/users/1629802/tomb'}",True,42208,8,19,1663829818,1353050606,1403103085.0,13412145,https://stackoverflow.com/questions/13412145/timer-wont-tick,Timer won&#39;t tick,13412254.0,CC BY-SA 3.0,,,,
27,"['c#', 'winforms', 'datagridview', 'datagridviewcolumn']",,"{'account_id': 1841920, 'reputation': 205, 'user_id': 1671161, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/50f0ebdb7ee699df1afd8796caf99247?s=256&d=identicon&r=PG', 'display_name': 'FJPoort', 'link': 'https://stackoverflow.com/users/1671161/fjpoort'}",True,144977,9,7,1663601650,1351760974,1495541816.0,13173915,https://stackoverflow.com/questions/13173915/search-for-value-in-datagridview-in-a-column,Search for value in DataGridView in a column,13174039.0,CC BY-SA 3.0,,,,
28,"['c#', 'search', 'avalonedit']",,"{'account_id': 1924214, 'reputation': 3081, 'user_id': 1735047, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/9127a33443dff62894a80541f859b4c6?s=256&d=identicon&r=PG', 'display_name': 'Frank59', 'link': 'https://stackoverflow.com/users/1735047/frank59'}",True,8660,6,16,1663331819,1352728460,1627480520.0,13344982,https://stackoverflow.com/questions/13344982/does-avalonedit-texteditor-have-quick-search-replace-functionality,Does AvalonEdit :TextEditor have quick search/replace functionality?,20670971.0,CC BY-SA 4.0,,,,
29,"['c#', 'asynchronous']",,"{'account_id': 169465, 'reputation': 25156, 'user_id': 395573, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/4a4cee4867d94511baabe7ebf49ef28a?s=256&d=identicon&r=PG', 'display_name': 'MBZ', 'link': 'https://stackoverflow.com/users/395573/mbz'}",True,184516,8,208,1662679896,1354231535,1527646750.0,13636648,https://stackoverflow.com/questions/13636648/wait-for-a-void-async-method,Wait for a void async method,13638087.0,CC BY-SA 4.0,,,,
30,"['c#', 'reference']",,"{'account_id': 2056711, 'reputation': 2427, 'user_id': 1834263, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/b8d6f90f113c08dc5d28dfc6032e7345?s=256&d=identicon&r=PG', 'display_name': 'TheScholar', 'link': 'https://stackoverflow.com/users/1834263/thescholar'}",True,121098,16,84,1662537196,1353295601,1568368994.0,13447248,https://stackoverflow.com/questions/13447248/how-to-assign-listt-without-it-being-a-reference-to-the-original-listt,How to assign List&lt;T&gt; without it being a reference to the original List&lt;T&gt;?,13447276.0,CC BY-SA 4.0,,,,
31,"['c#', 'sql-server', 'entity-framework', 'entity-framework-5', 'entity-framework-migrations']",,"{'account_id': 233258, 'reputation': 57555, 'user_id': 498624, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/61ee1ef42c85803b7cdb06ffd476404a?s=256&d=identicon&r=PG', 'display_name': 'Chev', 'link': 'https://stackoverflow.com/users/498624/chev'}",True,150317,9,157,1662383647,1352405544,,13296996,https://stackoverflow.com/questions/13296996/entity-framework-migrations-renaming-tables-and-columns,Entity Framework Migrations renaming tables and columns,13297248.0,CC BY-SA 3.0,,,,
32,"['c#', 'visual-studio-2010', 'testing', 'mstest', 'coded-ui-tests']",,"{'account_id': 386466, 'reputation': 51, 'user_id': 744237, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/e5cfea6eb71ae3f7a679843a697349b0?s=256&d=identicon&r=PG', 'display_name': 'Roman', 'link': 'https://stackoverflow.com/users/744237/roman'}",False,8374,3,4,1662148970,1353409443,1355912822.0,13471835,https://stackoverflow.com/questions/13471835/how-to-run-coded-ui-test-with-mstest-ese-without-installing-visual-studio-2010,How to run coded UI test with MSTest.ese without installing Visual Studio 2010,,CC BY-SA 3.0,,,,
33,"['c#', 'opencv', 'mouseevent']",,"{'account_id': 2073857, 'reputation': 41, 'user_id': 1847762, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7984c6a35c4b55c12443ee5cd7f04b01?s=256&d=identicon&r=PG', 'display_name': 'morteza kasravi', 'link': 'https://stackoverflow.com/users/1847762/morteza-kasravi'}",True,1753,1,4,1662106791,1353680758,1662106791.0,13531033,https://stackoverflow.com/questions/13531033/mouse-click-event-in-opencvsharp,mouse click event in openCVsharp,,CC BY-SA 4.0,,,,
34,"['c#', 'php', 'md5sum']",,"{'account_id': 443677, 'reputation': 1420, 'user_id': 835035, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/46dfa0672756a7bbe2e2aa53525ced4c?s=256&d=identicon&r=PG', 'display_name': 'conners', 'link': 'https://stackoverflow.com/users/835035/conners'}",True,1591,3,0,1662040598,1351879642,1352212127.0,13200767,https://stackoverflow.com/questions/13200767/c-hash-and-php-md5-file-folder-hash-not-the-same,c# hash and php MD5 file/folder hash not the same,13270794.0,CC BY-SA 3.0,,,,
35,"['c#', 'asp.net']",,"{'account_id': 2052650, 'reputation': 653, 'user_id': 1831272, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/9d34fa56d339ef49c9621faeae11f64d?s=256&d=identicon&r=PG', 'display_name': 'user1831272', 'link': 'https://stackoverflow.com/users/1831272/user1831272'}",True,19553,3,2,1662024031,1354080508,1354081063.0,13598430,https://stackoverflow.com/questions/13598430/how-to-dynamically-create-label-on-run-time-in-asp-net-c-to-a-particular-place,How to dynamically create label on run time in asp.net c# to a particular place on web page,,CC BY-SA 3.0,,,,
36,"['c#', 'c++', 'animation', 'easing']",,"{'account_id': 340145, 'reputation': 15988, 'user_id': 670017, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/14e34b1f97f25732aad207e006497f90?s=256&d=identicon&r=PG', 'display_name': 'ahmd0', 'link': 'https://stackoverflow.com/users/670017/ahmd0'}",True,65902,6,49,1661888296,1353358299,1661888296.0,13462001,https://stackoverflow.com/questions/13462001/ease-in-and-ease-out-animation-formula,Ease-in and ease-out animation formula,13462135.0,CC BY-SA 4.0,,,,
37,"['c#', '.net', 'performance', 'dll']",,"{'account_id': 1698425, 'reputation': 22213, 'user_id': 1559213, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/937f64eb93d21253405ee948ae32cf0c?s=256&d=identicon&r=PG', 'display_name': 'Murali Murugesan', 'link': 'https://stackoverflow.com/users/1559213/murali-murugesan'}",True,1549,1,9,1661875289,1354036886,1661875289.0,13589589,https://stackoverflow.com/questions/13589589/does-dll-size-matter,Does DLL size matter?,13589631.0,CC BY-SA 4.0,,,,
38,['c#'],,"{'account_id': 107038, 'reputation': 129246, 'user_id': 284795, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/99f7ffd3d45dbcef0b3b6960dcfe81a2?s=256&d=identicon&r=PG', 'display_name': 'Colonel Panic', 'link': 'https://stackoverflow.com/users/284795/colonel-panic'}",True,243,2,2,1661706547,1354026311,1354026695.0,13586325,https://stackoverflow.com/questions/13586325/succinct-syntax-for-initializing-list-of-lists,Succinct syntax for initializing list of lists,73520640.0,CC BY-SA 3.0,,,,
39,"['c#', '.net', 'network-interface']",,"{'account_id': 551103, 'reputation': 1468, 'user_id': 915843, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/a969fb182387e71891f077768aad7ff9?s=256&d=identicon&r=PG', 'display_name': 'soham', 'link': 'https://stackoverflow.com/users/915843/soham'}",True,41253,4,11,1661627999,1354090435,,13600604,https://stackoverflow.com/questions/13600604/how-to-get-accurate-download-upload-speed-in-c-net,How to get accurate download/upload speed in C#.NET?,13601197.0,CC BY-SA 3.0,,,,
40,"['c#', 'windows-phone-7', 'cryptography', 'windows-phone-7.1', '.net-assembly']",,"{'user_type': 'does_not_exist', 'display_name': 'user818700'}",False,12968,1,2,1661371650,1352728450,1352730814.0,13344978,https://stackoverflow.com/questions/13344978/missing-system-security-dll-assembly,Missing System.Security.dll Assembly,,CC BY-SA 3.0,,,,
41,"['c#', 'vector', 'xna']",,"{'account_id': 1876811, 'reputation': 891, 'user_id': 1697953, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/dc9d1e387253b382b49d77358b15df05?s=256&d=identicon&r=PG', 'display_name': 'Sorashi', 'link': 'https://stackoverflow.com/users/1697953/sorashi'}",True,57519,9,15,1661369268,1353346040,1649669069.0,13458992,https://stackoverflow.com/questions/13458992/angle-between-two-vectors-2d,Angle between two Vectors 2D,13459068.0,CC BY-SA 4.0,,,,
42,['c#'],,"{'account_id': 926645, 'reputation': 582, 'user_id': 957314, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7bb72c7dee77ec1c1dc0692cac837a7f?s=256&d=identicon&r=PG', 'display_name': 'hoooman', 'link': 'https://stackoverflow.com/users/957314/hoooman'}",True,13930,2,13,1661206208,1353166783,1353166986.0,13432057,https://stackoverflow.com/questions/13432057/how-to-use-marshal-getactiveobject-to-get-2-instance-of-of-a-running-process-t,How to use Marshal.getActiveObject() to get 2 instance of of a running process that has two processes open,13432229.0,CC BY-SA 3.0,,,,
43,"['c#', 'com', 'memory-leaks']",,"{'account_id': 211141, 'reputation': 621, 'user_id': 463135, 'user_type': 'registered', 'accept_rate': 10, 'profile_image': 'https://www.gravatar.com/avatar/904b9780d84c2d573cdff3fc55f5f404?s=256&d=identicon&r=PG', 'display_name': 'Jim', 'link': 'https://stackoverflow.com/users/463135/jim'}",False,389,0,1,1661024785,1352328143,,13279539,https://stackoverflow.com/questions/13279539/c-interface-to-com-leaks-memory-strangely,C# interface to COM leaks memory... strangely,,CC BY-SA 3.0,,,,
44,"['c#', 'html-agility-pack']",,"{'account_id': 1918912, 'reputation': 367, 'user_id': 1730855, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/3b0249a5aa9f7b50c8ace983fb7bb437?s=256&d=identicon&r=PG', 'display_name': 'Elvin', 'link': 'https://stackoverflow.com/users/1730855/elvin'}",True,985,4,1,1661008893,1353328632,,13453980,https://stackoverflow.com/questions/13453980/parse-rel-canonical-with-htmlagilitypack,parse rel canonical with HtmlAgilityPack,13454100.0,CC BY-SA 3.0,,,,
45,"['c#', 'interface', 'async-await']",,"{'account_id': 1068127, 'reputation': 17188, 'user_id': 1068094, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/0f382f72b6de2b69ade761b30f0fb555?s=256&d=identicon&r=PG', 'display_name': '&#193;lvaro Garc&#237;a', 'link': 'https://stackoverflow.com/users/1068094/%c3%81lvaro-garc%c3%ada'}",True,27626,1,54,1660320687,1353965658,1573754967.0,13573516,https://stackoverflow.com/questions/13573516/interfaces-and-async-methods,Interfaces and async methods,13573697.0,CC BY-SA 4.0,,,,
