,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason,migrated_from,community_owned_date
10,"['c#', 'gps', 'crc16']","{'account_id': 1408110, 'reputation': 41, 'user_id': 1335263, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/787f536ec04f5efe307a1aef952862ec?s=256&d=identicon&r=PG', 'display_name': 'Hilman Anshori', 'link': 'https://stackoverflow.com/users/1335263/hilman-anshori'}",True,7204,3,4,1668266297,1334536693,10167461,CC BY-SA 3.0,https://stackoverflow.com/questions/10167461/crc-itu-calculation-in-c,CRC-ITU calculation in c#,,1334605410.0,,,,,
11,"['c#', 'cryptography', 'encryption']","{'account_id': 95100, 'reputation': 6437, 'user_id': 259227, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/5c6733e00be30f2d6dee9b4e1cc2059c?s=256&d=identicon&r=PG', 'display_name': 'netmajor', 'link': 'https://stackoverflow.com/users/259227/netmajor'}",True,64263,3,11,1668059002,1335124998,10271645,CC BY-SA 3.0,https://stackoverflow.com/questions/10271645/decrypt-from-sha256,Decrypt from SHA256,10271674.0,,,,,,
12,"['c#', 'math', 'operators', 'modulo']","{'account_id': 187107, 'reputation': 4063, 'user_id': 424923, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/55d3d3416881f997fa76e2e59da07284?s=256&d=identicon&r=PG', 'display_name': 'Wolfy', 'link': 'https://stackoverflow.com/users/424923/wolfy'}",True,78890,3,47,1668006389,1333908268,10065080,CC BY-SA 4.0,https://stackoverflow.com/questions/10065080/mod-explanation,% (mod) explanation,10065670.0,1589679632.0,,,,,
13,"['c#', 'wpf', 'xaml', 'hyperlink']","{'account_id': 451349, 'reputation': 23579, 'user_id': 847200, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/ac14814bcfc842f847af55f9b3ad55b5?s=256&d=identicon&r=PG', 'display_name': 'Arsen Zahray', 'link': 'https://stackoverflow.com/users/847200/arsen-zahray'}",True,228397,10,177,1667920473,1334881648,10238694,CC BY-SA 4.0,https://stackoverflow.com/questions/10238694/example-using-hyperlink-in-wpf,Example using Hyperlink in WPF,10238715.0,1525802281.0,,,,,
14,['c#'],"{'account_id': 950453, 'reputation': 1231, 'user_id': 976721, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/c6677fa02c6399be0517453411373828?s=256&d=identicon&r=PG', 'display_name': 'Victor', 'link': 'https://stackoverflow.com/users/976721/victor'}",True,45867,7,10,1667904535,1334177150,10113680,CC BY-SA 3.0,https://stackoverflow.com/questions/10113680/preventing-index-out-of-range-error,Preventing Index Out of Range Error,10114136.0,1334177208.0,,,,,
15,"['c#', 'properties']","{'account_id': 220745, 'reputation': 4330, 'user_id': 478319, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/0cc0c0b848464b2bdc6a6b03b1c387c8?s=256&d=identicon&r=PG', 'display_name': 'cost', 'link': 'https://stackoverflow.com/users/478319/cost'}",True,13757,4,7,1667775676,1335603939,10362113,CC BY-SA 4.0,https://stackoverflow.com/questions/10362113/is-it-possible-to-have-a-getter-for-a-const,Is it possible to have a getter for a const?,10362203.0,1667775487.0,,,,,
16,"['c#', 'reference']","{'account_id': 79354, 'reputation': 1642, 'user_id': 225088, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/b1adbbf883719c407b88470c88e59c62?s=256&d=identicon&r=PG', 'display_name': 'jrizzo', 'link': 'https://stackoverflow.com/users/225088/jrizzo'}",True,46660,5,28,1667384082,1333466377,9996359,CC BY-SA 3.0,https://stackoverflow.com/questions/9996359/passing-a-class-as-a-ref-parameter-in-c-does-not-always-work-as-expected-can-a,Passing a class as a ref parameter in C# does not always work as expected. Can anyone explain?,9996442.0,,,,,,
17,"['c#', 'linq']","{'account_id': 978328, 'reputation': 15876, 'user_id': 998696, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/5qUsA.png?s=256&g=1', 'display_name': 'Snake Eyes', 'link': 'https://stackoverflow.com/users/998696/snake-eyes'}",True,37888,8,38,1667276305,1335267621,10297124,CC BY-SA 4.0,https://stackoverflow.com/questions/10297124/how-to-combine-more-than-two-generic-lists-in-c-zip,How to combine more than two generic lists in C# Zip?,10297160.0,1620834299.0,,,,,
18,"['c#', 'serialization', 'bytearray', 'protocol-buffers', 'protobuf-net']","{'account_id': 1011431, 'reputation': 6770, 'user_id': 1023928, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/0f1373fbc48fce33158d19ed1a398132?s=256&d=identicon&r=PG', 'display_name': 'Matt', 'link': 'https://stackoverflow.com/users/1023928/matt'}",True,40964,3,10,1666638136,1334395981,10152539,CC BY-SA 3.0,https://stackoverflow.com/questions/10152539/protobuf-net-serialization-deserialization,Protobuf-net serialization/deserialization,10153871.0,1334408639.0,,,,,
19,"['c#', 'sql', 'entity-framework', 'stored-procedures']","{'account_id': 314018, 'reputation': 3888, 'user_id': 628968, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/eJOrJ.jpg?s=256&g=1', 'display_name': 'bugnuker', 'link': 'https://stackoverflow.com/users/628968/bugnuker'}",True,40259,5,12,1666503154,1335467082,10339750,CC BY-SA 3.0,https://stackoverflow.com/questions/10339750/entity-framework-stored-procedure-return-value,Entity Framework - stored procedure return value,10340099.0,1335468280.0,,,,,
20,"['c#', 'concurrency', 'concurrent-collections']","{'account_id': 104572, 'reputation': 32719, 'user_id': 279516, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/e01f4ab4fa4ede8a7a23fe91ba902337?s=256&d=identicon&r=PG', 'display_name': 'Bob Horn', 'link': 'https://stackoverflow.com/users/279516/bob-horn'}",True,41065,7,53,1666080057,1334592761,10177768,CC BY-SA 3.0,https://stackoverflow.com/questions/10177768/concurrentbag-add-multiple-items,ConcurrentBag - Add Multiple Items?,10177861.0,,,,,,
21,"['c#', 'autofixture']","{'account_id': 98283, 'reputation': 2118, 'user_id': 266148, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/DG55X.jpg?s=256&g=1', 'display_name': 'Ricardo Rodrigues', 'link': 'https://stackoverflow.com/users/266148/ricardo-rodrigues'}",True,29493,10,57,1665934704,1334239487,10125199,CC BY-SA 4.0,https://stackoverflow.com/questions/10125199/autofixture-configure-fixture-to-limit-string-generation-length,AutoFixture - configure fixture to limit string generation length,10130176.0,1612313388.0,,,,,
22,"['c#', 'types', 'casting']","{'account_id': 914109, 'reputation': 4362, 'user_id': 947301, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/leugs.jpg?s=256&g=1', 'display_name': 'Anders Lind', 'link': 'https://stackoverflow.com/users/947301/anders-lind'}",True,2907,5,2,1665658668,1335572305,10359421,CC BY-SA 3.0,https://stackoverflow.com/questions/10359421/in-c-how-to-convert-an-var-to-a-char-array-char-array8,in c# how to convert an var to a char array. char array[8],10359436.0,,,,,,
23,"['c#', 'serialization', 'binaryformatter']","{'account_id': 1237491, 'reputation': 13, 'user_id': 1200789, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8b55ef7b43b8dd95399f1553d093d804?s=256&d=identicon&r=PG', 'display_name': 'user1200789', 'link': 'https://stackoverflow.com/users/1200789/user1200789'}",True,127,2,-3,1665614837,1333841437,10059214,,https://stackoverflow.com/questions/10059214/cant-get-class-list-to-deserialize,Can&#39;t get class list to deserialize,,1665614837.0,,1333957805.0,not a real question,,
24,"['c#', 'vb.net']","{'account_id': 197530, 'reputation': 8545, 'user_id': 441664, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/506c540d0148b7040a790ae7fff572c7?s=256&d=identicon&r=PG', 'display_name': 'Sharpeye500', 'link': 'https://stackoverflow.com/users/441664/sharpeye500'}",True,13947,7,15,1665407535,1334684923,10196312,CC BY-SA 3.0,https://stackoverflow.com/questions/10196312/dynamically-display-current-year-in-assembly-info,Dynamically display current year in assembly info,,,,,,,
25,"['c#', 'wpf', 'xaml', 'richtextbox', 'document']","{'account_id': 977192, 'reputation': 1210, 'user_id': 997939, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/0f3c3813d9229966f34e2de63114b747?s=256&d=identicon&r=PG', 'display_name': 'Kirsty White', 'link': 'https://stackoverflow.com/users/997939/kirsty-white'}",True,2842,2,2,1664631898,1334950702,10252506,CC BY-SA 3.0,https://stackoverflow.com/questions/10252506/richtextbox-to-string,richtextbox to string,10252781.0,1334955512.0,,,,,
26,"['c#', 'entity-framework', 'pagination']","{'account_id': 924853, 'reputation': 2272, 'user_id': 955831, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/oAg0E.jpg?s=256&g=1', 'display_name': 'Jason Foglia', 'link': 'https://stackoverflow.com/users/955831/jason-foglia'}",True,46960,6,22,1664279921,1334339562,10145815,CC BY-SA 3.0,https://stackoverflow.com/questions/10145815/c-entity-framework-pagination,C# Entity Framework Pagination,,,,,,,
27,"['c#', 'encryption']","{'account_id': 221787, 'reputation': 5680, 'user_id': 479971, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/aaf5d55357ee3c97872bb1fb31fb0bb3?s=256&d=identicon&r=PG', 'display_name': 'Richard', 'link': 'https://stackoverflow.com/users/479971/richard'}",True,807875,7,418,1663960329,1334545340,10168240,,https://stackoverflow.com/questions/10168240/encrypting-decrypting-a-string-in-c,Encrypting &amp; Decrypting a String in C#,10177020.0,1478014269.0,1451825373.0,1463758319.0,Duplicate,,
28,"['c#', 'mysql']","{'account_id': 402691, 'reputation': 111, 'user_id': 770009, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fa5103886b61c649afb290f319f65bbe?s=256&d=identicon&r=PG', 'display_name': 'Donald Hansen', 'link': 'https://stackoverflow.com/users/770009/donald-hansen'}",True,2698,3,3,1663951184,1334166161,10111157,CC BY-SA 3.0,https://stackoverflow.com/questions/10111157/issue-with-mysqlbulkloader-from-c-app,Issue with MySqlBulkLoader from C# app,,,,,,,
29,"['c#', 'string', 'formatting']","{'account_id': 1326930, 'reputation': 1763, 'user_id': 1271566, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/28b5abaab1ccee56b1530ff31e635330?s=256&d=identicon&r=PG', 'display_name': 'Brian', 'link': 'https://stackoverflow.com/users/1271566/brian'}",True,20361,6,18,1663919437,1335515932,10347455,CC BY-SA 4.0,https://stackoverflow.com/questions/10347455/string-format-with-string-join,string.Format with string.Join,10347538.0,1623377664.0,,,,,
30,"['c#', 'winforms', 'treeview']","{'account_id': 1414725, 'reputation': 721, 'user_id': 1340603, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/04b530d4487fa73417215d1bc5312564?s=256&d=identicon&r=PG', 'display_name': 'vettori', 'link': 'https://stackoverflow.com/users/1340603/vettori'}",True,17056,3,23,1663918426,1335611805,10362988,CC BY-SA 3.0,https://stackoverflow.com/questions/10362988/treeview-flickering,Treeview flickering?,10364283.0,1336406278.0,,,,,
31,"['c#', 'asp.net-mvc-3', 'size', 'limit', 'tempdata']","{'account_id': 1014615, 'reputation': 80037, 'user_id': 1026459, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/pv5mS.png?s=256&g=1', 'display_name': 'Travis J', 'link': 'https://stackoverflow.com/users/1026459/travis-j'}",True,7855,1,4,1663773568,1334263687,10131566,CC BY-SA 3.0,https://stackoverflow.com/questions/10131566/what-is-the-maximum-amount-of-data-that-should-be-placed-in-tempdata,What is the maximum amount of data that should be placed in TempData?,10131600.0,1334264759.0,,,,,
32,"['c#', 'asp.net', 'xml']","{'account_id': 1341242, 'reputation': 6853, 'user_id': 1282856, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/28af6f0620d21c5b3053cfc6fc36aa55?s=256&d=identicon&r=PG', 'display_name': 'R.D.', 'link': 'https://stackoverflow.com/users/1282856/r-d'}",True,127725,7,22,1663509507,1334241335,10125810,CC BY-SA 3.0,https://stackoverflow.com/questions/10125810/root-element-is-missing,Root element is missing,10125981.0,1334243131.0,,,,,
33,"['c#', '.net', 'serial-port']","{'account_id': 467392, 'reputation': 131, 'user_id': 872751, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/29e1336d431f6b86ce74e65f5215d990?s=256&d=identicon&r=PG', 'display_name': 'Thierry Ybt', 'link': 'https://stackoverflow.com/users/872751/thierry-ybt'}",True,7777,2,2,1663192892,1333632813,10029597,CC BY-SA 3.0,https://stackoverflow.com/questions/10029597/serialport-write-method-hanging-timeout-not-fired-in-c,"SerialPort.Write method hanging, timeout not fired in C#",,1333638415.0,,,,,
34,"['c#', 'cryptography', 'elliptic-curve']","{'account_id': 1425335, 'reputation': 587, 'user_id': 1349019, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/9808f529c32fe4eea7ffe5576983a013?s=256&d=identicon&r=PG', 'display_name': 'Jim', 'link': 'https://stackoverflow.com/users/1349019/jim'}",True,14079,2,6,1662743087,1335062581,10264770,CC BY-SA 3.0,https://stackoverflow.com/questions/10264770/creating-an-ecc-private-public-key-with-native-c,Creating an ECC Private/Public key with native C#,,1393481279.0,,,,,
35,"['c#', '.net', 'powershell', 'mocking', 'moles']","{'account_id': 473568, 'reputation': 282, 'user_id': 882766, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/c173097712edca97ef744ff551adde66?s=256&d=identicon&r=PG', 'display_name': 'bychance', 'link': 'https://stackoverflow.com/users/882766/bychance'}",True,2645,2,3,1662741897,1333711371,10042764,CC BY-SA 3.0,https://stackoverflow.com/questions/10042764/how-to-add-members-to-a-psobject-in-c,How to add members to a PSObject in C#?,10042885.0,,,,,,
36,"['c#', 'android', '.net', 'nfc', 'smartcard']","{'user_type': 'does_not_exist', 'display_name': 'user970470'}",False,8180,1,0,1662728865,1335200343,10284894,CC BY-SA 3.0,https://stackoverflow.com/questions/10284894/acr122u-nfc-tag-reading,acr122U NFC Tag reading,,1335519061.0,,,,,
37,"['c#', 'asp.net-mvc-3', 'fluentvalidation']","{'account_id': 97865, 'reputation': 4730, 'user_id': 265247, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/c3d29d938cf2770fd32a9e3f72914e3f?s=256&d=identicon&r=PG', 'display_name': 'Dangerous', 'link': 'https://stackoverflow.com/users/265247/dangerous'}",True,24533,4,19,1662634599,1334661976,10190316,CC BY-SA 3.0,https://stackoverflow.com/questions/10190316/how-do-you-validate-against-each-string-in-a-list-using-fluent-validation,How do you validate against each string in a list using Fluent Validation?,10190692.0,1334675536.0,,,,,
38,"['c#', 'event-viewer']","{'account_id': 118903, 'reputation': 437, 'user_id': 310260, 'user_type': 'registered', 'accept_rate': 23, 'profile_image': 'https://www.gravatar.com/avatar/5a99bdad373b47627d66f82fb82f6b64?s=256&d=identicon&r=PG', 'display_name': 'sOltan', 'link': 'https://stackoverflow.com/users/310260/soltan'}",True,1497,3,0,1662483724,1334080186,10093815,CC BY-SA 3.0,https://stackoverflow.com/questions/10093815/process-kill-is-not-logged-in-event-viewer,Process.Kill() is not logged in Event Viewer,,,,,,,
39,"['c#', 'matlab', '.net-assembly']","{'account_id': 69457, 'reputation': 1388, 'user_id': 202036, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/1b48dd3db403445345a30dfe1dfaf0bf?s=256&d=identicon&r=PG', 'display_name': 'Baran', 'link': 'https://stackoverflow.com/users/202036/baran'}",True,475,1,1,1662276490,1333580706,10020507,CC BY-SA 4.0,https://stackoverflow.com/questions/10020507/same-function-is-not-working-with-matlab-net-assembly,Same function is not working with Matlab .Net Assembly,10062899.0,1662276490.0,,,,,
40,"['c#', 'compiler-errors']","{'account_id': 14639, 'reputation': 14522, 'user_id': 30341, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/aee6ec3ab98794e9bd55606012ee98a5?s=256&d=identicon&r=PG', 'display_name': 'Aamir', 'link': 'https://stackoverflow.com/users/30341/aamir'}",True,201184,30,258,1662243268,1335339558,10311347,CC BY-SA 4.0,https://stackoverflow.com/questions/10311347/duplicate-assemblyversion-attribute,Duplicate AssemblyVersion Attribute,10312664.0,1540816596.0,1644483194.0,,,,
41,"['c#', 'pdf', 'itext']","{'account_id': 955488, 'reputation': 2297, 'user_id': 980872, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/735dea1466ed6f5f9e9f4ad71cbd7f54?s=256&d=identicon&r=PG', 'display_name': 'Lucifer', 'link': 'https://stackoverflow.com/users/980872/lucifer'}",True,6460,4,0,1661928995,1333391979,9981942,CC BY-SA 3.0,https://stackoverflow.com/questions/9981942/how-to-display-in-pdf-using-itextsharp,How to display ✔ in PDF using iTextSharp?,9982684.0,1515164106.0,,,,,
42,['c#'],"{'account_id': 952549, 'reputation': 311, 'user_id': 978411, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/f34f7297d8ffdf88edeb0ee489ede3eb?s=256&d=identicon&r=PG', 'display_name': 'Tom', 'link': 'https://stackoverflow.com/users/978411/tom'}",True,5045,3,4,1661821946,1335353936,10314815,CC BY-SA 3.0,https://stackoverflow.com/questions/10314815/trying-to-compile-and-execute-c-code-programmatically,trying to compile and execute C# code programmatically,10314868.0,1368211623.0,,,,,
43,"['c#', 'webservice-client']","{'account_id': 70659, 'reputation': 271, 'user_id': 204698, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/9166168e2a7ae9ad81eb46019ab6df75?s=256&d=identicon&r=PG', 'display_name': 'QLiu', 'link': 'https://stackoverflow.com/users/204698/qliu'}",False,13943,2,0,1661630655,1334654552,10188517,CC BY-SA 3.0,https://stackoverflow.com/questions/10188517/read-xml-response-webservice,Read XML response webservice,,1374354059.0,,,,,
44,"['c#', 'interop']","{'account_id': 1014156, 'reputation': 361, 'user_id': 1026102, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://www.gravatar.com/avatar/fee8cfc669591b663ad4c73dc798e945?s=256&d=identicon&r=PG', 'display_name': 'bossman', 'link': 'https://stackoverflow.com/users/1026102/bossman'}",True,1833,1,8,1661527479,1335299406,10305548,CC BY-SA 3.0,https://stackoverflow.com/questions/10305548/c-control-the-alignment-of-data,C# control the alignment of data,,1492510062.0,,,,,
45,"['c#', 'html-agility-pack', 'dynamic-content']","{'account_id': 1391445, 'reputation': 400, 'user_id': 1322188, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/839646c5e94606882c21ee678f310599?s=256&d=identicon&r=PG', 'display_name': 'Chyngyz Sydykov', 'link': 'https://stackoverflow.com/users/1322188/chyngyz-sydykov'}",True,21447,3,15,1661517224,1334557065,10169484,CC BY-SA 4.0,https://stackoverflow.com/questions/10169484/htmlagilitypack-and-dynamic-content-issue,htmlagilitypack and dynamic content issue,,1623335488.0,,,,,
46,"['c#', 'asp.net']","{'user_type': 'does_not_exist', 'display_name': 'user482375'}",True,13560,3,2,1661355229,1334761042,10212131,CC BY-SA 3.0,https://stackoverflow.com/questions/10212131/assign-javascript-values-to-c-variable,Assign JavaScript values to C# Variable,10212166.0,,,,,,
47,"['c#', '.net', 'vb.net']","{'account_id': 1431878, 'reputation': 43, 'user_id': 1354130, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/18b61d49e2da8c4a1b1033995f1e3482?s=256&d=identicon&r=PG', 'display_name': 'Dev with Issues', 'link': 'https://stackoverflow.com/users/1354130/dev-with-issues'}",True,93,1,0,1660859126,1335796118,10385382,CC BY-SA 4.0,https://stackoverflow.com/questions/10385382/not-able-to-understand-net-code,Not able to understand .Net Code,,1660859126.0,,,,,
48,"['c#', 'asp.net', 'error-handling']","{'account_id': 238797, 'reputation': 1461, 'user_id': 507932, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/f58dc03f2fba4b9b524a7bc061c8d18e?s=256&d=identicon&r=PG', 'display_name': 'Peuge', 'link': 'https://stackoverflow.com/users/507932/peuge'}",True,30454,2,13,1660675915,1333877807,10061837,CC BY-SA 4.0,https://stackoverflow.com/questions/10061837/catching-errors-in-global-asax,Catching errors in Global.asax,,1660675915.0,,,,,
49,"['c#', '.net', 'timer']","{'account_id': 120808, 'reputation': 9025, 'user_id': 313452, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/0cac4b7ee828f27c08704b1bfc356b9e?s=256&d=identicon&r=PG', 'display_name': 'Mohammed A. Fadil', 'link': 'https://stackoverflow.com/users/313452/mohammed-a-fadil'}",True,33209,3,102,1660245579,1335361733,10317088,CC BY-SA 4.0,https://stackoverflow.com/questions/10317088/why-there-are-5-versions-of-timer-classes-in-net,Why there are 5 Versions of Timer Classes in .NET?,,1531576177.0,,,,,
50,"['c#', 'winforms']","{'account_id': 301643, 'reputation': 3957, 'user_id': 609511, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/c723573b4de0e3fe25976a33e47eb3ec?s=256&d=identicon&r=PG', 'display_name': 'user609511', 'link': 'https://stackoverflow.com/users/609511/user609511'}",False,324,2,-1,1660222795,1335532247,10351240,CC BY-SA 4.0,https://stackoverflow.com/questions/10351240/show-default-form,Show default form,,1660222795.0,,,,,
