,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,bounty_amount,bounty_closes_date,closed_date,closed_reason
10,"['c#', 'entity-framework-core', 'unique-constraint', 'value-objects']","{'account_id': 12000615, 'reputation': 1838, 'user_id': 8780684, 'user_type': 'registered', 'accept_rate': 18, 'profile_image': 'https://www.gravatar.com/avatar/bf81208547ea2fc3aaf48ab16f234d89?s=256&d=identicon&r=PG&f=1', 'display_name': 'Martin', 'link': 'https://stackoverflow.com/users/8780684/martin'}",True,146,74551834.0,2,4,1669230155,1666989267,74240622,CC BY-SA 4.0,https://stackoverflow.com/questions/74240622/ef-core-create-composite-unique-index-with-a-value-object-and-a-parent-type,EF Core - Create composite unique index with a value object and a parent type,1667246469.0,,,,
11,"['c#', '.net', 'mailkit', 'mimekit']","{'account_id': 2084845, 'reputation': 75, 'user_id': 1856042, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bb0c7f007ddd968638fb906d197987f4?s=256&d=identicon&r=PG', 'display_name': 'pradeep', 'link': 'https://stackoverflow.com/users/1856042/pradeep'}",False,99,,1,0,1669215897,1665662614,74055461,CC BY-SA 4.0,https://stackoverflow.com/questions/74055461/system-io-fileloadexception-could-not-load-file-or-assembly-system-runtime-com,"System.IO.FileLoadException: Could not load file or assembly &#39;System.Runtime.CompilerServices.Unsafe, Version=4.0.4.1",,,,,
12,"['c#', 'clickonce', 'publish', 'bootstrapper', 'prerequisites']","{'account_id': 7729227, 'reputation': 732, 'user_id': 5852947, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://lh3.googleusercontent.com/-rciSzjXYSt8/AAAAAAAAAAI/AAAAAAAAALU/LNSOED-dDyY/photo.jpg?sz=256', 'display_name': 'Istvan Heckl', 'link': 'https://stackoverflow.com/users/5852947/istvan-heckl'}",True,148,74536380.0,1,1,1669136235,1666279539,74142462,CC BY-SA 4.0,https://stackoverflow.com/questions/74142462/clickonce-prerequisite-for-asp-net-core-runtime-6-0-10-x64,ClickOnce prerequisite for &quot;ASP.NET Core Runtime 6.0.10 x64&quot;,1666417035.0,,,,
13,"['c#', 'alert', 'playwright']","{'account_id': 7371362, 'reputation': 139, 'user_id': 5611422, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/61b7a87bb060867cef2da225c2b1faff?s=256&d=identicon&r=PG&f=1', 'display_name': 'bobe_b', 'link': 'https://stackoverflow.com/users/5611422/bobe-b'}",True,40,74535930.0,1,1,1669134257,1666984733,74239990,CC BY-SA 4.0,https://stackoverflow.com/questions/74239990/playwright-c-how-to-verify-alerts,Playwright c# how to verify alerts,,,,,
14,"['c#', 'azure-functions', 'nuget-package-restore', 'azureportal', 'azure-durable-functions']","{'account_id': 26645810, 'reputation': 11, 'user_id': 20260756, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu0jyIhdb9Gp91XW9QCX161gjhcP_SGDgwgKQ73U=k-s256', 'display_name': 'yuvraj kanakiya', 'link': 'https://stackoverflow.com/users/20260756/yuvraj-kanakiya'}",False,79,,1,1,1669122027,1665991651,74093813,CC BY-SA 4.0,https://stackoverflow.com/questions/74093813/nuget-packages-are-not-restoring-in-azure-function,Nuget Packages are not restoring in Azure Function,1669122027.0,,,,
15,"['c#', 'unity3d', 'naudio']","{'account_id': 25497053, 'reputation': 21, 'user_id': 19290956, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2f8d6d8936bfc76ed99195024fa14416?s=256&d=identicon&r=PG', 'display_name': 'yemeth', 'link': 'https://stackoverflow.com/users/19290956/yemeth'}",False,70,,1,-1,1669088798,1666750081,74201950,CC BY-SA 4.0,https://stackoverflow.com/questions/74201950/how-to-use-naudio-in-unity,How to use Naudio in Unity,1667562400.0,,,,
16,"['c#', 'azure', 'rabbitmq', 'azure-functions']","{'account_id': 3341553, 'reputation': 1826, 'user_id': 2807741, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Diego Perez', 'link': 'https://stackoverflow.com/users/2807741/diego-perez'}",True,48,,1,0,1669087926,1666781123,74206492,CC BY-SA 4.0,https://stackoverflow.com/questions/74206492/programmatically-launch-isolated-azure-function-rabbitmq-triggered-locally-for,Programmatically launch isolated Azure function (RabbitMQ Triggered) locally for integration test,1667949417.0,,,,
17,"['c#', '.net', 'entity-framework', 'entity-framework-core']","{'account_id': 136941, 'reputation': 4865, 'user_id': 340807, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/71699330a829554256913498d3beabdc?s=256&d=identicon&r=PG', 'display_name': 'NoPyGod', 'link': 'https://stackoverflow.com/users/340807/nopygod'}",True,87,74513069.0,2,0,1668990182,1664972174,73960204,CC BY-SA 4.0,https://stackoverflow.com/questions/73960204/entity-framework-core-concurrency-token-opt-out-under-specific-circumstances,Entity Framework Core concurrency token opt-out under specific circumstances,,,,,
18,"['c#', 'macos', 'visual-studio']","{'account_id': 26318016, 'reputation': 81, 'user_id': 19980486, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/PCLpi.jpg?s=256&g=1', 'display_name': 'SophieLove13', 'link': 'https://stackoverflow.com/users/19980486/sophielove13'}",False,106,,0,2,1668973472,1665338397,74007250,CC BY-SA 4.0,https://stackoverflow.com/questions/74007250/code-style-settings-wont-apply-in-visual-studio-2022-for-mac,Code style settings won&#39;t apply in Visual Studio 2022 for Mac,,,,,
19,"['c#', 'entity-framework-core', 'value-objects']","{'account_id': 19579941, 'reputation': 29, 'user_id': 14329228, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-3XLSTZJfLGE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucls54IGMoQdpM6l4WqHydF27Je85w/photo.jpg?sz=256', 'display_name': 'Szyszka947', 'link': 'https://stackoverflow.com/users/14329228/szyszka947'}",True,104,74382914.0,1,1,1668962134,1666872950,74221887,CC BY-SA 4.0,https://stackoverflow.com/questions/74221887/using-c-9-records-as-properties-in-entities-with-entity-framework-core,Using C# 9 records as properties in entities with Entity Framework Core,1666875503.0,,,,
20,"['c#', 'ssl-certificate', 'haproxy', 'hashicorp-vault', 'vaultsharp']","{'account_id': 26515903, 'reputation': 1, 'user_id': 20150443, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9b950c82b1f62511439df11c32e5e0e9?s=256&d=identicon&r=PG', 'display_name': 'slamjam', 'link': 'https://stackoverflow.com/users/20150443/slamjam'}",True,95,74508361.0,1,0,1668949770,1664806970,73936861,CC BY-SA 4.0,https://stackoverflow.com/questions/73936861/haproxy-forwarding-client-certificate-to-backend-hashicorp-vault-servers,HAProxy - Forwarding Client Certificate to backend HashiCorp Vault servers,,,,,
21,"['c#', 'asp.net', 'pagination', 'asp.net-core-webapi', 'sieve.net']","{'account_id': 21854251, 'reputation': 33, 'user_id': 16145904, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b69aa75df68c7d21b687ae02253f955c?s=256&d=identicon&r=PG&f=1', 'display_name': 'luca88', 'link': 'https://stackoverflow.com/users/16145904/luca88'}",False,149,,1,0,1668901216,1665777801,74074341,CC BY-SA 4.0,https://stackoverflow.com/questions/74074341/problem-with-pagination-using-sieve-package,Problem with pagination using Sieve package,1665778718.0,,,,
22,"['c#', 'uwp', 'tabview']","{'account_id': 21319479, 'reputation': 37, 'user_id': 15692871, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/3IJi7.png?s=256&g=1', 'display_name': 'Ivirius', 'link': 'https://stackoverflow.com/users/15692871/ivirius'}",True,63,74499644.0,1,1,1668857644,1666621742,74182655,CC BY-SA 4.0,https://stackoverflow.com/questions/74182655/uwp-tab-view-not-responding,UWP Tab View not responding,,,,,
23,"['c#', 'entity-framework-core', 'ef-core-6.0']","{'account_id': 328754, 'reputation': 3384, 'user_id': 651887, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/7120869b34e0c739502318f4f862c26c?s=256&d=identicon&r=PG', 'display_name': 'c-sharp-and-swiftui-devni', 'link': 'https://stackoverflow.com/users/651887/c-sharp-and-swiftui-devni'}",True,34,,1,0,1668796349,1666550096,74173776,CC BY-SA 4.0,https://stackoverflow.com/questions/74173776/the-entity-type-customattributedata-requires-a-primary-key-to-be-defined,The entity type &#39;CustomAttributeData&#39; requires a primary key to be defined,1668796349.0,,,,
24,"['c#', 'entity-framework', '.net-core', 'entity-framework-migrations', 'ef-core-6.0']","{'account_id': 3126484, 'reputation': 5748, 'user_id': 2645243, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/2e9a575fe76d2098064bb2f77543a29a?s=256&d=identicon&r=PG', 'display_name': 'Lukas K', 'link': 'https://stackoverflow.com/users/2645243/lukas-k'}",False,74,,1,0,1668796192,1666607539,74179811,CC BY-SA 4.0,https://stackoverflow.com/questions/74179811/how-to-disable-ef-migration-code-first-default-value-generation,How to disable EF Migration code first Default Value generation,1668796192.0,,,,
25,"['c#', 'android', 'xamarin.forms', 'visual-studio-2022']","{'account_id': 26495459, 'reputation': 21, 'user_id': 20133294, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu0xqphbbdNPwgImrRsPIhewc8O1YKKCO8lvutcU=k-s256', 'display_name': 'Conrad Markiewicz', 'link': 'https://stackoverflow.com/users/20133294/conrad-markiewicz'}",False,83,,1,1,1668777701,1664565677,73913184,CC BY-SA 4.0,https://stackoverflow.com/questions/73913184/xamarin-android-app-crashes-when-attempting-to-debug-on-a-physical-device,Xamarin Android App crashes when attempting to debug on a physical device,1664565934.0,,,,
26,"['c#', 'visual-studio', 'maui']","{'account_id': 5594458, 'reputation': 11, 'user_id': 4432629, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/100000718925723/picture?type=large', 'display_name': 'Mats Claesg&#229;rd', 'link': 'https://stackoverflow.com/users/4432629/mats-claesg%c3%a5rd'}",False,220,,3,0,1668775490,1665149721,73987999,CC BY-SA 4.0,https://stackoverflow.com/questions/73987999/adjust-maui-grid-row-height-according-to-label-with-multiple-rows,Adjust Maui Grid Row height according to label with multiple rows,1665149760.0,,,,
27,"['c#', 'loops', 'object', 'methods', 'switch-statement']","{'account_id': 26209667, 'reputation': 7, 'user_id': 19888755, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b965269fa07368b37d971638b13633e?s=256&d=identicon&r=PG', 'display_name': 'Luffy', 'link': 'https://stackoverflow.com/users/19888755/luffy'}",True,49,74202665.0,1,0,1668757254,1666756981,74202576,CC BY-SA 4.0,https://stackoverflow.com/questions/74202576/stack-overflow-repeat-261929-times-is-the-error-message-when-i-have-debu,&quot;Stack overflow. Repeat 261929 times[...]&quot; is the error message when I have debugged my code then I do not see any issues so what should I do?,1668757254.0,,,,
28,"['c#', 'if-statement', 'methods', 'boolean']","{'account_id': 26209667, 'reputation': 7, 'user_id': 19888755, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b965269fa07368b37d971638b13633e?s=256&d=identicon&r=PG', 'display_name': 'Luffy', 'link': 'https://stackoverflow.com/users/19888755/luffy'}",True,69,74085009.0,2,0,1668756859,1665899766,74084924,CC BY-SA 4.0,https://stackoverflow.com/questions/74084924/how-to-return-bool-with-message-inside-the-search-word-method-c,How to return bool with message inside the Search Word method C#?,1668756859.0,,,,
29,"['c#', 'methods', 'boolean', 'parallel-arrays']","{'account_id': 26209667, 'reputation': 7, 'user_id': 19888755, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b965269fa07368b37d971638b13633e?s=256&d=identicon&r=PG', 'display_name': 'Luffy', 'link': 'https://stackoverflow.com/users/19888755/luffy'}",True,66,74117687.0,1,0,1668749818,1666127510,74117519,CC BY-SA 4.0,https://stackoverflow.com/questions/74117519/how-to-return-true-or-false-with-message-inside-the-bool-method-for-parallel-arr,How to return true or false with message inside the bool method for parallel array C#?,1668749818.0,,,,
30,"['c#', '.net', 'asp.net-mvc', 'payment-gateway', 'razorpay']","{'account_id': 9463581, 'reputation': 21, 'user_id': 7036674, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-Hq4cs5psaUU/AAAAAAAAAAI/AAAAAAAAABI/G3cNSDtiGb0/photo.jpg?sz=256', 'display_name': 'Binoy kumar hari', 'link': 'https://stackoverflow.com/users/7036674/binoy-kumar-hari'}",False,30,,0,0,1668746797,1666930856,74230634,CC BY-SA 4.0,https://stackoverflow.com/questions/74230634/razorpay-net-integration-automatic-payment-capture,Razorpay .net integration automatic payment capture,1668746797.0,,,,
31,"['javascript', 'c#', 'jquery', '.net', 'asp.net-web-api2']","{'account_id': 1562436, 'reputation': 1813, 'user_id': 1452007, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://i.stack.imgur.com/cBOty.jpg?s=256&g=1', 'display_name': 'MC9000', 'link': 'https://stackoverflow.com/users/1452007/mc9000'}",False,50,,1,0,1668723597,1664648582,73920788,CC BY-SA 4.0,https://stackoverflow.com/questions/73920788/async-jquery-ajax-method-always-posting-null-data-to-api,async jQuery ajax method always posting null data to API,1668723597.0,,,,
32,"['c#', '.net-core', 'automapper']","{'account_id': 9560631, 'reputation': 106, 'user_id': 7101613, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10211286082213667/picture?type=large', 'display_name': 'Zulfikar Badurdeen', 'link': 'https://stackoverflow.com/users/7101613/zulfikar-badurdeen'}",False,42,,1,-1,1668721383,1666861870,74219497,CC BY-SA 4.0,https://stackoverflow.com/questions/74219497/automapper-ignore-a-property-in-source-and-add-value-to-destination-property,AutoMapper ignore a property in source and add value to destination property,1666862061.0,,,,
33,"['c#', 'vba', 'visio']","{'account_id': 7033089, 'reputation': 31, 'user_id': 5388114, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/71a188c28bf25c873cbf4ba8d6d7d68d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nihar Sahoo', 'link': 'https://stackoverflow.com/users/5388114/nihar-sahoo'}",True,60,,2,0,1668720790,1666070500,74106031,CC BY-SA 4.0,https://stackoverflow.com/questions/74106031/how-to-add-multiple-texts-on-visio-connector-shapes-using-the-c-vba-code,How to add multiple texts on Visio connector shapes using the c#/vba code?,,,,,
34,"['c#', 'naudio']","{'account_id': 10404295, 'reputation': 691, 'user_id': 7671671, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/72e389e9f365b8f5f2c076f96df8f94b?s=256&d=identicon&r=PG&f=1', 'display_name': 'AdrAs', 'link': 'https://stackoverflow.com/users/7671671/adras'}",True,45,,1,-1,1668711126,1665863594,74082545,CC BY-SA 4.0,https://stackoverflow.com/questions/74082545/how-to-convert-a-long-array-to-an-int-array-with-lossy-conversion,How to convert a long array to an int array with lossy conversion,,,,,
35,"['c#', 'macos', '.net-6.0', 'launchd', 'worker-service']","{'account_id': 2817731, 'reputation': 287, 'user_id': 2422331, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/33c65511ddaf0264777defa00a728040?s=256&d=identicon&r=PG', 'display_name': 'Mehroz Irshad', 'link': 'https://stackoverflow.com/users/2422331/mehroz-irshad'}",False,140,,0,2,1668703909,1664657463,73921671,CC BY-SA 4.0,https://stackoverflow.com/questions/73921671/run-worker-service-on-mac-os,Run Worker Service on Mac Os,,,,,
36,"['c#', '.net', 'maui', '.net-maui']","{'account_id': 26623536, 'reputation': 1, 'user_id': 20241933, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/gsDU6.png?s=256&g=1', 'display_name': 'Scott Seto', 'link': 'https://stackoverflow.com/users/20241933/scott-seto'}",True,273,74185071.0,1,0,1668695313,1665759560,74071174,CC BY-SA 4.0,https://stackoverflow.com/questions/74071174/net-maui-customize-datepicker-so-that-it-opens-when-clicking-on-an-icon,.NET MAUI: Customize datepicker so that it opens when clicking on an icon,1666634912.0,,,,
37,"['c#', 'asynchronous', '.net-6.0']","{'account_id': 26525504, 'reputation': 31, 'user_id': 20158569, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/94b028551faa7001c34bad99055081d0?s=256&d=identicon&r=PG', 'display_name': 'Karmgahl', 'link': 'https://stackoverflow.com/users/20158569/karmgahl'}",True,102,74473065.0,3,2,1668678347,1664890294,73948675,CC BY-SA 4.0,https://stackoverflow.com/questions/73948675/why-does-discarding-an-entityframework-firstordefaultasync-query-or-even-a-ora,Why does discarding an EntityFramework.FirstOrDefaultAsync() query or even a OracleCommand.ExecuteNonQueryAsync behave just like I awaited it?,1664951386.0,,,,
38,"['c#', 'rest', 'oauth', 'netsuite', 'restsharp']","{'account_id': 6605540, 'reputation': 195, 'user_id': 5102469, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://graph.facebook.com/10155883205745601/picture?type=large', 'display_name': 'Nick Proud', 'link': 'https://stackoverflow.com/users/5102469/nick-proud'}",False,41,,1,0,1668639432,1666734237,74200506,CC BY-SA 4.0,https://stackoverflow.com/questions/74200506/netsuite-oauth1-post-request-works-in-postman-but-fails-in-restsharp,NetSuite OAUTH1 POST request works in Postman but fails in Restsharp,,,,,
39,"['c#', 'asp.net-core', 'email', 'smtp']","{'account_id': 7790199, 'reputation': 31, 'user_id': 5893467, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/834237060018398/picture?type=large', 'display_name': 'Mohaned Ghawar', 'link': 'https://stackoverflow.com/users/5893467/mohaned-ghawar'}",False,34,,1,0,1668622940,1667168961,74257200,CC BY-SA 4.0,https://stackoverflow.com/questions/74257200/how-to-send-email-using-mail-kit-from-my-website-domain,How to send email using Mail kit from my website domain,,,,,
40,"['c#', 'asp.net-core', 'iis', 'asp.net-core-webapi']","{'account_id': 16016908, 'reputation': 73, 'user_id': 11559371, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/df7c0702c5fe27c9032b8ffe93d4da7b?s=256&d=identicon&r=PG&f=1', 'display_name': 'CodeTruthSeeker', 'link': 'https://stackoverflow.com/users/11559371/codetruthseeker'}",False,70,,0,0,1668615412,1666315619,74147860,CC BY-SA 4.0,https://stackoverflow.com/questions/74147860/asp-net-core-web-api-endpoint-throwing-http-405-error-after-modifying-uri-format,ASP.NET Core Web API endpoint throwing HTTP 405 error after modifying Uri format,1666353434.0,,,,
41,"['c#', '.net', 'office365', 'exchange-server']","{'account_id': 26646936, 'reputation': 11, 'user_id': 20261747, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d44916acc045e67956b4441bb81becd1?s=256&d=identicon&r=PG', 'display_name': 'Manoj Dwivedi', 'link': 'https://stackoverflow.com/users/20261747/manoj-dwivedi'}",False,64,,1,1,1668605608,1665998507,74095083,CC BY-SA 4.0,https://stackoverflow.com/questions/74095083/how-to-add-users-in-office-365-and-assign-license-using-graph-api,How to add users in Office 365 and assign license using graph api,,,,,
42,"['c#', 'unity3d']","{'account_id': 26526066, 'reputation': 11, 'user_id': 20159054, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/ACNPEu_EuxvqZArzVs-vmch_TyroI2c9OUFBARW_0juZAw=k-s256', 'display_name': 'Pro100wawaN', 'link': 'https://stackoverflow.com/users/20159054/pro100wawan'}",False,99,,1,1,1668595929,1664892296,73949161,CC BY-SA 4.0,https://stackoverflow.com/questions/73949161/how-to-correctly-compose-requests-to-the-unity-server,How to correctly compose requests to the Unity server,1664892600.0,,,,
43,"['c#', 'linq', 'asp.net-core', 'razor-pages']","{'account_id': 6273021, 'reputation': 13, 'user_id': 4876644, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c3c148fc9b888e884f65e38365fee15e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Khar', 'link': 'https://stackoverflow.com/users/4876644/khar'}",True,54,74458429.0,1,1,1668592587,1665576955,74041693,CC BY-SA 4.0,https://stackoverflow.com/questions/74041693/cascading-dropdown-duped-values,Cascading dropdown duped values,1665734489.0,,,,
44,"['c#', 'sql', 'vb.net', 'visual-studio', 'visual-studio-code']","{'account_id': 25610594, 'reputation': 3, 'user_id': 19384100, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b451ed68aebe0e46b9717633433f640f?s=256&d=identicon&r=PG', 'display_name': 'Imad', 'link': 'https://stackoverflow.com/users/19384100/imad'}",True,71,,1,0,1668583696,1667080067,74249092,CC BY-SA 4.0,https://stackoverflow.com/questions/74249092/tableadapter-update-and-identity-column,TableAdapter.update() and Identity Column,1667080129.0,,,,
45,"['c#', 'json', 'serialization', 'typing', 'system.text.json']","{'account_id': 26782213, 'reputation': 1, 'user_id': 20376912, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e2a2b8c2807ec7b1a2f08d89458c35e0?s=256&d=identicon&r=PG', 'display_name': 'user20376912', 'link': 'https://stackoverflow.com/users/20376912/user20376912'}",False,64,,2,0,1668576014,1667204179,74260428,CC BY-SA 4.0,https://stackoverflow.com/questions/74260428/jsonserializer-deserialize-deserialize-object-to-its-actual-type,JsonSerializer.Deserialize: Deserialize object to its actual type,1667303377.0,,,,
