,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,locked_date
10,"['c#', '.net-core', 'system.text.json']","{'account_id': 117576, 'reputation': 474, 'user_id': 307845, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/aaef82f393ad42f2f80e494dc6830a3b?s=256&d=identicon&r=PG', 'display_name': 'smiggleworth', 'link': 'https://stackoverflow.com/users/307845/smiggleworth'}",True,6585,3,8,1667838932,1569682976,1574746251.0,58147552,CC BY-SA 4.0,https://stackoverflow.com/questions/58147552/can-i-deserialize-json-with-private-constructor-using-system-text-json,Can I deserialize Json with private constructor using System.Text.Json?,59038811.0,,,,
11,"['c#', 'xunit.net']","{'account_id': 3322067, 'reputation': 822, 'user_id': 2793002, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://i.stack.imgur.com/OP4DB.jpg?s=256&g=1', 'display_name': 'cdarrigo', 'link': 'https://stackoverflow.com/users/2793002/cdarrigo'}",True,1218,2,3,1667800324,1569646380,1634046517.0,58143467,CC BY-SA 4.0,https://stackoverflow.com/questions/58143467/xunit-collectionfixture-instantiating-multiple-times,XUnit CollectionFixture instantiating multiple times,,,,,
12,"['c#', 'azure-api-management']","{'account_id': 7103055, 'reputation': 88, 'user_id': 5433785, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2ad0ff536e7f2f6d30070a0e09463cd6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Edifirst', 'link': 'https://stackoverflow.com/users/5433785/edifirst'}",True,266,1,0,1667761383,1568405072,,57929748,CC BY-SA 4.0,https://stackoverflow.com/questions/57929748/can-i-to-use-library-inside-expressions-on-azure-api-management,Can I to use Library inside expressions on Azure Api Management?,,,,,
13,"['c#', '.net-core', 'identityserver4', 'x509', 'mmc']","{'account_id': 16306659, 'reputation': 1114, 'user_id': 11776483, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10156076536357172/picture?type=large', 'display_name': 'Rob', 'link': 'https://stackoverflow.com/users/11776483/rob'}",True,14530,1,25,1667466889,1569595391,1570331750.0,58136779,CC BY-SA 4.0,https://stackoverflow.com/questions/58136779/how-to-create-a-signing-certificate-and-use-it-in-identityserver4-in-production,How to create a signing certificate and use it in IdentityServer4 in production?,58136780.0,,,,
14,"['c#', 'linq', 'group-by', 'entity-framework-core-3.0']","{'account_id': 281481, 'reputation': 34842, 'user_id': 577805, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/dbbe0a475e6a151f0595b83e55475f34?s=256&d=identicon&r=PG', 'display_name': 'Miguel Moura', 'link': 'https://stackoverflow.com/users/577805/miguel-moura'}",True,48712,6,95,1667307784,1569602633,1584727966.0,58138556,CC BY-SA 4.0,https://stackoverflow.com/questions/58138556/client-side-groupby-is-not-supported,Client side GroupBy is not supported,58280667.0,,,,
15,"['c#', '.net', 'docker', 'kubernetes', 'minikube']","{'account_id': 205998, 'reputation': 20305, 'user_id': 455042, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/e5267e32bd5a348dd534876316e579ee?s=256&d=identicon&r=PG', 'display_name': 'ShaneKm', 'link': 'https://stackoverflow.com/users/455042/shanekm'}",True,190,1,0,1667264510,1567709630,,57811484,CC BY-SA 4.0,https://stackoverflow.com/questions/57811484/errimageneverpull-when-deploying-to-minikube,ErrImageNeverPull when deploying to Minikube,57811642.0,,,,
16,"['c#', 'visual-studio']","{'account_id': 38855, 'reputation': 12937, 'user_id': 111794, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/c209be384649abcc5a4bf8babb132572?s=256&d=identicon&r=PG', 'display_name': 'Zev Spitz', 'link': 'https://stackoverflow.com/users/111794/zev-spitz'}",False,737,1,0,1667249411,1568825444,1568830518.0,57997484,CC BY-SA 4.0,https://stackoverflow.com/questions/57997484/trying-to-add-unregistered-com-component,Trying to add unregistered COM component,,,,,
17,"['c#', 'viewmodel', 'roslyn', 't4', 'roslyn-code-analysis']","{'account_id': 16703553, 'reputation': 21, 'user_id': 12072559, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDebTNAhgRG5NEqbtwZSdlf2jjXoW8TC7bM2Bcm=k-s256', 'display_name': 'Gizmo Code', 'link': 'https://stackoverflow.com/users/12072559/gizmo-code'}",True,1187,1,1,1667205246,1568615614,1568632744.0,57951480,CC BY-SA 4.0,https://stackoverflow.com/questions/57951480/get-all-properties-including-inherited-of-a-class-using-roslyn,Get all properties (including inherited) of a class using roslyn,,,,,
18,"['c#', 'unity3d']","{'account_id': 11811982, 'reputation': 11, 'user_id': 8643207, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-JouhwSCUt68/AAAAAAAAAAI/AAAAAAAAAvg/QZXAwBmOVMk/photo.jpg?sz=256', 'display_name': 'guus urselmann', 'link': 'https://stackoverflow.com/users/8643207/guus-urselmann'}",False,9820,1,1,1667106310,1567980475,1567996230.0,57846107,CC BY-SA 4.0,https://stackoverflow.com/questions/57846107/unity-tilemap-layer-order-sorting-player-in-front-of-and-behind-tiles-tree-spr,Unity Tilemap layer order sorting [Player in front of and behind tiles] Tree sprite consisting of 4 loose tiles,,,,,
19,"['c#', 'salesforce', 'dotnet-httpclient']","{'account_id': 1330864, 'reputation': 7517, 'user_id': 1274820, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/620aa435151f022b9c4070eae088d788?s=256&d=identicon&r=PG', 'display_name': 'user1274820', 'link': 'https://stackoverflow.com/users/1274820/user1274820'}",True,639,1,2,1667066893,1567545122,1567553070.0,57778801,CC BY-SA 4.0,https://stackoverflow.com/questions/57778801/logging-into-salesforce-with-c-httpclient,Logging into Salesforce with C# HttpClient,57780834.0,,,,
20,"['c#', 'interop']","{'account_id': 1007397, 'reputation': 22008, 'user_id': 1020773, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/22784328a011350c18cbfcc27d28fb76?s=256&d=identicon&r=PG', 'display_name': 'H Bellamy', 'link': 'https://stackoverflow.com/users/1020773/h-bellamy'}",True,218,2,1,1667063323,1567354064,,57747551,CC BY-SA 4.0,https://stackoverflow.com/questions/57747551/convert-ref-somestruct-to-intptr,Convert `ref SomeStruct` to IntPtr,,,,,
21,"['c#', 'wpf', 'asp.net-core']","{'account_id': 4554138, 'reputation': 567, 'user_id': 3762481, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/7e1cc0c887d7e93052d5ce7c0179a163?s=256&d=identicon&r=PG&f=1', 'display_name': 'ScottFoster1000', 'link': 'https://stackoverflow.com/users/3762481/scottfoster1000'}",False,888,1,4,1666983866,1569559041,,58127959,CC BY-SA 4.0,https://stackoverflow.com/questions/58127959/how-do-i-run-a-kestrel-asp-net-app-within-a-wpf-application-instance,How do I run a kestrel asp.net app within a wpf application instance,,,,,
22,"['c#', 'entity-framework', 'sqlite', '.net-core', 'datacontext']","{'account_id': 4646512, 'reputation': 471, 'user_id': 3764629, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/100001116369860/picture?type=large', 'display_name': 'Taifunov', 'link': 'https://stackoverflow.com/users/3764629/taifunov'}",True,34323,14,27,1666877213,1567336193,1567337956.0,57745481,CC BY-SA 4.0,https://stackoverflow.com/questions/57745481/unable-to-create-an-object-of-type-mycontext-for-the-different-patterns-suppo,Unable to create an object of type &#39;MyContext&#39;. For the different patterns supported at design time,62571809.0,,,,
23,"['c#', 'asp.net', 'visual-studio-2017', 'environment-variables']","{'account_id': 8850640, 'reputation': 644, 'user_id': 6610036, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/0469947022a1bdbb4422f3570da7dd80?s=256&d=identicon&r=PG&f=1', 'display_name': 'Trevor Bye', 'link': 'https://stackoverflow.com/users/6610036/trevor-bye'}",True,1049,1,1,1666821830,1568831370,1666821830.0,57998874,CC BY-SA 4.0,https://stackoverflow.com/questions/57998874/vs-2017-asp-net-local-environment-variables,VS 2017 ASP.NET Local environment variables,57999174.0,,,,
24,"['c#', 'basic-authentication', 'dotnet-httpclient']","{'account_id': 988, 'reputation': 83891, 'user_id': 1310, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/9cb44812fc259d55c656dd8038ea5af3?s=256&d=identicon&r=PG', 'display_name': 'ScArcher2', 'link': 'https://stackoverflow.com/users/1310/scarcher2'}",True,85071,7,50,1666788034,1568906701,1568908265.0,58014360,CC BY-SA 4.0,https://stackoverflow.com/questions/58014360/how-do-you-use-basic-authentication-with-system-net-http-httpclient,How do you use Basic Authentication with System.Net.Http.HttpClient?,58015049.0,,,,
25,"['c#', '.net', 'winforms', 'system.drawing']","{'account_id': 452498, 'reputation': 5940, 'user_id': 848968, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://i.stack.imgur.com/Y9IL8.jpg?s=256&g=1', 'display_name': 'techno', 'link': 'https://stackoverflow.com/users/848968/techno'}",True,2358,4,9,1666356073,1568133408,1569062213.0,57875015,CC BY-SA 4.0,https://stackoverflow.com/questions/57875015/displaying-thumbnails-of-very-high-resolution-images-fast-with-minimal-delay,Displaying Thumbnails of very high resolution images Fast with Minimal Delay,57987315.0,,,,
26,"['c#', 'asp.net', 'blazor', 'blazor-server-side', 'blazor-client-side']","{'account_id': 13882419, 'reputation': 614, 'user_id': 10022456, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/280ea42f72565038ee34a59abc5d3077?s=256&d=identicon&r=PG&f=1', 'display_name': 'Peter', 'link': 'https://stackoverflow.com/users/10022456/peter'}",True,4715,2,5,1666130079,1569438275,,58105036,CC BY-SA 4.0,https://stackoverflow.com/questions/58105036/how-do-you-create-a-form-wizard-using-blazor,How do you create a form wizard using Blazor?,58105037.0,,,,
27,"['c#', 'asp.net-core', 'asp.net-core-mvc']","{'account_id': 3287737, 'reputation': 2463, 'user_id': 2766753, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/3Fi5O.jpg?s=256&g=1', 'display_name': 'Ivandro Jao', 'link': 'https://stackoverflow.com/users/2766753/ivandro-jao'}",True,57917,7,89,1665647002,1567980795,1581080619.0,57846127,CC BY-SA 4.0,https://stackoverflow.com/questions/57846127/what-are-the-differences-between-app-userouting-and-app-useendpoints,What are the differences between app.UseRouting() and app.UseEndPoints()?,,,,,
28,"['c#', 'c++-cli', 'reentrancy']","{'account_id': 1102604, 'reputation': 909, 'user_id': 1094670, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/2e9c62b124fec3ee23c99d84d58ca5bf?s=256&d=identicon&r=PG', 'display_name': 'watkipet', 'link': 'https://stackoverflow.com/users/1094670/watkipet'}",False,162,1,0,1665605512,1569597557,,58137331,CC BY-SA 4.0,https://stackoverflow.com/questions/58137331/how-do-i-load-a-non-reentrant-c-cli-dll-twice-in-c,How do I load a non-reentrant C++/CLI DLL twice in C#?,,,,,
29,"['c#', 'asp.net', 'windows', 'filter']","{'account_id': 16027794, 'reputation': 61, 'user_id': 11567599, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/43094cd7140dcfaadcc97699f6a87dd8?s=256&d=identicon&r=PG&f=1', 'display_name': 'SqlKnightKing', 'link': 'https://stackoverflow.com/users/11567599/sqlknightking'}",False,104,2,0,1665595708,1568719510,1665595708.0,57973237,CC BY-SA 4.0,https://stackoverflow.com/questions/57973237/how-do-i-use-filtering-by-getting-the-first-8-values,How do I use filtering by getting the first 8 values,,,,,
30,"['c#', 'azure', 'tfs', 'azure-devops', 'azure-pipelines']","{'account_id': 3206014, 'reputation': 197, 'user_id': 2707065, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://graph.facebook.com/100000731347053/picture?type=large', 'display_name': 'Deepak Sabastein', 'link': 'https://stackoverflow.com/users/2707065/deepak-sabastein'}",True,542,1,3,1664801946,1569243921,1569245649.0,58063162,CC BY-SA 4.0,https://stackoverflow.com/questions/58063162/during-azure-build-want-to-get-the-revision-number-generated-by-azure-pipeline,"During Azure build, want to get the revision number generated by azure pipeline to update the FileVersion of my projects",,,,,
31,"['c#', 'asp.net-core']","{'account_id': 1282660, 'reputation': 7613, 'user_id': 1236401, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/7SNgk.png?s=256&g=1', 'display_name': 'Mugen', 'link': 'https://stackoverflow.com/users/1236401/mugen'}",True,15208,2,16,1664190174,1568895698,1568896126.0,58010923,CC BY-SA 4.0,https://stackoverflow.com/questions/58010923/microsoft-extensions-logging-logerror-is-not-logging-exception,Microsoft.Extensions.Logging - LogError is not logging exception,58015669.0,,,,
32,"['c#', 'permissions', 'registry', 'remote-registry']","{'account_id': 16631441, 'reputation': 25, 'user_id': 12019210, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDOuGhJD2ZtyekhLTrPUaFmmuFE145kynaR2RB_Lg=k-s256', 'display_name': 'Solanki Sagar', 'link': 'https://stackoverflow.com/users/12019210/solanki-sagar'}",True,169,1,1,1663979886,1567594169,1567597026.0,57786822,CC BY-SA 4.0,https://stackoverflow.com/questions/57786822/requested-remote-registry-access-is-not-allowed,Requested remote registry access is not allowed,73789184.0,,,,
33,"['c#', 'winforms', 'selenium']","{'account_id': 14492494, 'reputation': 391, 'user_id': 10468231, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/0CmZ7.png?s=256&g=1', 'display_name': 'Cosmin', 'link': 'https://stackoverflow.com/users/10468231/cosmin'}",True,75,2,0,1663764514,1568037937,,57855655,CC BY-SA 4.0,https://stackoverflow.com/questions/57855655/populate-combobox-from-a-web-combobox-accesed-with-selenium-webdriver,Populate Combobox from a web Combobox accesed with Selenium Webdriver,57856098.0,,,,
34,"['c#', 'dll', 'visual-studio-code', 'exe', 'omnisharp']","{'account_id': 16644508, 'reputation': 3, 'user_id': 12029122, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a24ced4b4d0b9d2e1240ff525a86e7c7?s=256&d=identicon&r=PG&f=1', 'display_name': 'mA1k', 'link': 'https://stackoverflow.com/users/12029122/ma1k'}",True,5869,2,0,1663275087,1567755226,1567755821.0,57817629,CC BY-SA 4.0,https://stackoverflow.com/questions/57817629/how-to-create-a-new-executable-c-project-with-visual-studio-code,How to create a new executable C# project with Visual Studio Code,57817693.0,,,,
35,"['c#', 'blazor']","{'account_id': 7598413, 'reputation': 722, 'user_id': 5763882, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/444323ca69818b3ab85160cbe1990929?s=256&d=identicon&r=PG&f=1', 'display_name': 'Amir Imam', 'link': 'https://stackoverflow.com/users/5763882/amir-imam'}",True,32136,3,48,1663257606,1568440366,1641622203.0,57932850,CC BY-SA 4.0,https://stackoverflow.com/questions/57932850/how-to-make-two-way-binding-on-blazor-component,How to make two-way binding on Blazor component,57933827.0,,,,
36,"['c#', '.net-core']","{'account_id': 3871903, 'reputation': 5446, 'user_id': 3206983, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'bitshift', 'link': 'https://stackoverflow.com/users/3206983/bitshift'}",True,27113,8,36,1663242510,1569438802,1606092227.0,58105146,CC BY-SA 4.0,https://stackoverflow.com/questions/58105146/how-to-set-hosting-environment-name-for-net-core-console-app-using-generic-host,How to set hosting environment name for .NET Core console app using Generic Host (HostBuilder),58106233.0,,,,
37,"['c#', '.net', 'asp.net-mvc', 'handlebars.net']","{'account_id': 2602160, 'reputation': 33, 'user_id': 2254235, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/27561086c31b7672abb979aa475a942e?s=256&d=identicon&r=PG', 'display_name': 'Tanggon Jodi Ismana', 'link': 'https://stackoverflow.com/users/2254235/tanggon-jodi-ismana'}",False,559,1,0,1663236602,1569298520,,58073024,CC BY-SA 4.0,https://stackoverflow.com/questions/58073024/handlebars-block-helper-is-not-registered,handlebars block helper is not registered,,,,,
38,"['c#', 'asp.net-core', 'visual-studio-project']","{'account_id': 13362426, 'reputation': 235, 'user_id': 9643959, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8da718b6d79b5fc126bf3d3c2cd281e6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Formula12', 'link': 'https://stackoverflow.com/users/9643959/formula12'}",True,6906,4,3,1662983605,1567900236,,57838194,CC BY-SA 4.0,https://stackoverflow.com/questions/57838194/cycles-detected,Cycles detected,57838422.0,,,,
39,"['c#', 'excel', 'interop']","{'account_id': 7866888, 'reputation': 485, 'user_id': 7595201, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/7b0d47b066eebc4a352551e2e346c643?s=256&d=identicon&r=PG&f=1', 'display_name': 'Patrick.H', 'link': 'https://stackoverflow.com/users/7595201/patrick-h'}",True,7787,4,16,1662757689,1568894241,1568897984.0,58010510,CC BY-SA 4.0,https://stackoverflow.com/questions/58010510/no-definition-found-for-getactiveobject-from-system-runtime-interopservices-mars,No definition found for GetActiveObject from System.Runtime.InteropServices.Marshal C#,58010881.0,,,,
40,"['c#', 'opencv', 'variance']","{'account_id': 16454426, 'reputation': 165, 'user_id': 11886994, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/95420e67fbde9ed86fb812ab68ae64cc?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gaya3', 'link': 'https://stackoverflow.com/users/11886994/gaya3'}",True,1636,1,6,1662539117,1568875229,1662539117.0,58005091,CC BY-SA 4.0,https://stackoverflow.com/questions/58005091/how-to-get-the-variance-of-laplacian-in-c,How to get the variance of Laplacian in C#,58005243.0,,,,
41,"['c#', '.net']","{'account_id': 15697673, 'reputation': 31, 'user_id': 11326656, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ZrJCY.jpg?s=256&g=1', 'display_name': 'Hashan JXT', 'link': 'https://stackoverflow.com/users/11326656/hashan-jxt'}",True,3625,2,1,1662481655,1567463473,,57763223,CC BY-SA 4.0,https://stackoverflow.com/questions/57763223/why-use-1024-for-a-buffer,Why Use 1024 for a buffer?,57763250.0,,,,
42,"['c#', 'xml', 'xsd', 'xml-parsing', 'xsd-validation']","{'account_id': 11984891, 'reputation': 27, 'user_id': 8769646, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-Eo020S_LhuQ/AAAAAAAAAAI/AAAAAAAAE5I/W6UVH342pGc/photo.jpg?sz=256', 'display_name': 'Avinash Avi', 'link': 'https://stackoverflow.com/users/8769646/avinash-avi'}",True,285,1,-1,1662272259,1569847836,1569934432.0,58168306,CC BY-SA 4.0,https://stackoverflow.com/questions/58168306/issue-while-converting-xsd-with-complextype-to-xml-using-msdn-microsoft-xml-xmlg,Issue while converting XSD with complextype to XML using MSDN Microsoft.Xml.XMLGen( XmlSampleGenerator API),58215837.0,,,,
43,"['c#', 'blazor', 'blazor-server-side']","{'account_id': 226314, 'reputation': 6270, 'user_id': 487291, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/bdcca15155be237d5faf68ddc18cb33b?s=256&d=identicon&r=PG', 'display_name': 'mko', 'link': 'https://stackoverflow.com/users/487291/mko'}",True,26695,5,65,1662139731,1569311904,1662139731.0,58075628,CC BY-SA 4.0,https://stackoverflow.com/questions/58075628/why-are-blazor-lifecycle-methods-getting-executed-twice,Why are Blazor lifecycle methods getting executed twice?,58077021.0,,,,
44,"['c#', 'xamarin.android', 'visual-studio-2019']","{'account_id': 16589347, 'reputation': 63, 'user_id': 11987896, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bee76d8df7a76fa16b2424be1688ef92?s=256&d=identicon&r=PG&f=1', 'display_name': 'kiran kumar', 'link': 'https://stackoverflow.com/users/11987896/kiran-kumar'}",True,189,2,1,1662086157,1568925649,1662086157.0,58018682,CC BY-SA 4.0,https://stackoverflow.com/questions/58018682/how-to-save-the-textview-text-as-text-file-in-my-xamarin-android,How to save the TextView.Text as text file in my Xamarin Android,58021278.0,,,,
45,"['c#', 'xamarin.android', 'visual-studio-2019']","{'account_id': 16589347, 'reputation': 63, 'user_id': 11987896, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bee76d8df7a76fa16b2424be1688ef92?s=256&d=identicon&r=PG&f=1', 'display_name': 'kiran kumar', 'link': 'https://stackoverflow.com/users/11987896/kiran-kumar'}",True,122,1,-1,1662085966,1568827634,1662085966.0,57997995,CC BY-SA 4.0,https://stackoverflow.com/questions/57997995/suggestion-regarding-free-natural-language-processing-api-for-xamarin-android-ap,Suggestion regarding free Natural Language Processing API for Xamarin Android app,58003260.0,,,,
46,"['c#', 'asp.net-web-api', '.net-core']","{'account_id': 11716504, 'reputation': 484, 'user_id': 8576844, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/gFEeA.jpg?s=256&g=1', 'display_name': 'Paweł G&#243;rszczak', 'link': 'https://stackoverflow.com/users/8576844/pawe%c5%82-g%c3%b3rszczak'}",True,8347,4,6,1662033030,1568738143,,57978535,CC BY-SA 4.0,https://stackoverflow.com/questions/57978535/save-changes-of-iconfigurationroot-sections-to-its-json-file-in-net-core-2-2,Save Changes of IConfigurationRoot sections to its *.json file in .net Core 2.2,57990271.0,,,,
