,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,migrated_from,protected_date
15,"['c#', 'azure', 'microsoft-graph-sdks']","{'account_id': 9055787, 'reputation': 1, 'user_id': 6744209, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b7382479a2199c1a9d989633e65ac70b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Shani Natav', 'link': 'https://stackoverflow.com/users/6744209/shani-natav'}",False,879,1,0,1668767126,1655274465,72626766,CC BY-SA 4.0,https://stackoverflow.com/questions/72626766/graphclient-argumentexception-only-http-1-0-and-http-1-1-version-requests-are-c,Graphclient ArgumentException: Only HTTP/1.0 and HTTP/1.1 version requests are currently supported. Parameter name: value,,,,,,
16,"['c#', 'wcf', 'asynchronous', 'cancellation-token', 'soapcore']","{'account_id': 9905415, 'reputation': 15, 'user_id': 7334071, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/94c7c6d5b9e16f7db4e694106f3c04b3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alexandru Chirita', 'link': 'https://stackoverflow.com/users/7334071/alexandru-chirita'}",True,198,2,0,1668728384,1656406229,72783426,CC BY-SA 4.0,https://stackoverflow.com/questions/72783426/soapcore-wcf-c-program-using-xmlserializer-doesnt-create-the-wsdl-with-async-m,SoapCore WCF C# program using XmlSerializer doesn&#39;t create the WSDL with async methods with CancellationToken,,72787095.0,,,,
17,"['c#', '.net', 'grpc', 'maui', 'maui-windows']","{'account_id': 6831051, 'reputation': 303, 'user_id': 5255036, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-Jtjq9NNKXRk/AAAAAAAAAAI/AAAAAAAATI0/GLZJYeV81Zk/photo.jpg?sz=256', 'display_name': 'The Don', 'link': 'https://stackoverflow.com/users/5255036/the-don'}",True,690,1,1,1668683951,1656240112,72760849,CC BY-SA 4.0,https://stackoverflow.com/questions/72760849/running-launching-a-separate-background-service-from-a-maui-app,Running/Launching a Separate Background Service from a MAUI App,,,,,,
18,"['c#', 'cookies', 'asp.net-core-mvc', 'integration-testing']","{'account_id': 18165281, 'reputation': 534, 'user_id': 13215988, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b530eed03c01214c1c86dc707a028495?s=256&d=identicon&r=PG&f=1', 'display_name': 'ChristianOConnor', 'link': 'https://stackoverflow.com/users/13215988/christianoconnor'}",True,230,1,0,1668672370,1654460043,72510811,CC BY-SA 4.0,https://stackoverflow.com/questions/72510811/c-integration-tests-how-do-you-set-the-auth-cookie,C# Integration Tests - How Do you Set The Auth Cookie?,1654460828.0,,,,,
19,"['c#', '.net', 'vsto', 'office-addins', 'visio']","{'account_id': 16694822, 'reputation': 57, 'user_id': 12066327, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10156993743462946/picture?type=large', 'display_name': 'Andrew Tyson', 'link': 'https://stackoverflow.com/users/12066327/andrew-tyson'}",True,53,2,0,1668634769,1654317687,72497125,CC BY-SA 4.0,https://stackoverflow.com/questions/72497125/programmatically-enable-visio-external-data-window-using-vsto-c,Programmatically enable Visio External Data window using VSTO C#,1654347385.0,72498477.0,,,,
20,"['c#', 'sql', 'parsing']","{'account_id': 25199775, 'reputation': 1, 'user_id': 19038793, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a58272c827e0d7a7a4df05c65eeb22ef?s=256&d=identicon&r=PG', 'display_name': 'Renee', 'link': 'https://stackoverflow.com/users/19038793/renee'}",False,70,2,-5,1668612146,1654558129,72524414,CC BY-SA 4.0,https://stackoverflow.com/questions/72524414/how-can-i-get-the-parts-of-a-sql-string-using-c,How can i get the parts of a SQL string using C#?,1654571768.0,,,,,
21,"['c#', 'visual-studio', 'envdte', 'twincat', 'visual-studio-sdk']","{'account_id': 22051383, 'reputation': 51, 'user_id': 16315621, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1f18f5e34d7d9d57c9e5fe6285e459b0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Manu', 'link': 'https://stackoverflow.com/users/16315621/manu'}",False,63,1,2,1668521531,1655218965,72619274,CC BY-SA 4.0,https://stackoverflow.com/questions/72619274/is-it-possible-to-hide-the-window-generated-when-creating-a-project-with-visual,Is it possible to hide the window generated when creating a project with Visual studio sdk?,,,,,,
22,"['javascript', 'c#', 'blazor']","{'account_id': 10508585, 'reputation': 1929, 'user_id': 7745011, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ZId9o.jpg?s=256&g=1', 'display_name': 'Roland Deschain', 'link': 'https://stackoverflow.com/users/7745011/roland-deschain'}",True,2098,2,3,1668414639,1654253658,72488563,CC BY-SA 4.0,https://stackoverflow.com/questions/72488563/blazor-server-side-application-throwing-system-invalidoperationexception-javas,Blazor server side application throwing &quot;System.InvalidOperationException: JavaScript interop calls cannot be issued at this time. ...&quot; during reload,1654257195.0,72496202.0,,,,
23,"['c#', 'asp.net-core-webapi', 'vuejs3', 'msal']","{'account_id': 18831455, 'reputation': 11, 'user_id': 13735164, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-6OBpLBqoLGs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmGDVdLm7JAH7oJIlb7IXKw4-b92g/photo.jpg?sz=256', 'display_name': 'Adam Semel', 'link': 'https://stackoverflow.com/users/13735164/adam-semel'}",False,293,1,1,1668382526,1655862497,72708843,CC BY-SA 4.0,https://stackoverflow.com/questions/72708843/asp-net-core-web-api-cant-authenticate-getting-401,ASP.NET Core Web API - can&#39;t authenticate - Getting 401 -,1668382526.0,,,,,
24,"['c#', 'xpath', 'linq-to-xml']","{'account_id': 18928034, 'reputation': 609, 'user_id': 13810710, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/875ec2b32dbffc120835ba623604aad2?s=256&d=identicon&r=PG&f=1', 'display_name': 'RickyBelmont', 'link': 'https://stackoverflow.com/users/13810710/rickybelmont'}",False,38,1,0,1668328535,1655259495,72625243,CC BY-SA 4.0,https://stackoverflow.com/questions/72625243/how-to-move-up-the-xml-element-one-step-higher-and-change-its-xname-to-this,How to move up the XML `Element` one step higher and change its `XName` to this format `parent_child` using `Linq to XML` in C#,1655260486.0,,,,,
25,"['c#', '.net', 'openxml', 'openxml-sdk']","{'account_id': 544350, 'reputation': 3063, 'user_id': 913766, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/d9333239fa52f134c79da397180bd4b7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Arthur', 'link': 'https://stackoverflow.com/users/913766/arthur'}",False,105,1,0,1668285969,1654615025,72533736,CC BY-SA 4.0,https://stackoverflow.com/questions/72533736/reading-cell-value-with-applied-text-formatting-with-openxml,Reading cell value with applied Text formatting with OpenXML,1654616950.0,,,,,
26,"['c#', 'asp.net-core', 'asp.net-web-api', 'razor', 'razor-pages']","{'account_id': 16581746, 'reputation': 196, 'user_id': 11982162, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/iKt0Y.jpg?s=256&g=1', 'display_name': 'bzmind', 'link': 'https://stackoverflow.com/users/11982162/bzmind'}",False,415,2,0,1668285527,1654854628,72572293,CC BY-SA 4.0,https://stackoverflow.com/questions/72572293/how-can-i-set-a-global-json-options-for-readfromjsonasync-method,How can I set a global JSON options for ReadFromJsonAsync method?,1654855476.0,,,,,
27,"['c#', 'wpf', 'xaml', 'binding', 'datacontext']","{'account_id': 16228501, 'reputation': 77, 'user_id': 11718061, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ENK5g.png?s=256&g=1', 'display_name': 'Scover', 'link': 'https://stackoverflow.com/users/11718061/scover'}",True,39,1,0,1668254074,1655038576,72592374,CC BY-SA 4.0,https://stackoverflow.com/questions/72592374/modifying-property-in-codebehind-doesnt-update-datacontext-binding-in-itemstemp,Modifying property in codebehind doesn&#39;t update DataContext binding in ItemsTemplate of ListBox,1668254074.0,72592878.0,,,,
28,"['c#', 'asp.net-core', 'jwt', 'asp.net-core-webapi', 'authorize-attribute']","{'account_id': 16508, 'reputation': 28036, 'user_id': 36036, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/a1ca9107ab1bc184aeff21605d6e3b40?s=256&d=identicon&r=PG&f=1', 'display_name': 'Aximili', 'link': 'https://stackoverflow.com/users/36036/aximili'}",True,1969,1,3,1668144462,1655163505,72610112,CC BY-SA 4.0,https://stackoverflow.com/questions/72610112/how-to-get-authorize-attribute-work-in-net-core-6-web-api,How to get [Authorize] attribute work in .NET Core 6 Web API?,1655190990.0,,,,,
29,"['javascript', 'c#', 'asp.net', 'asp.net-mvc', 'svg']","{'account_id': 20105418, 'reputation': 29, 'user_id': 14743070, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/AA2Fm.jpg?s=256&g=1', 'display_name': 'Vincent', 'link': 'https://stackoverflow.com/users/14743070/vincent'}",True,167,1,0,1668100878,1655744087,72690491,CC BY-SA 4.0,https://stackoverflow.com/questions/72690491/running-a-c-function-on-an-onclick-to-modify-svg-file,Running a C# function on an onclick to modify SVG file,1668100878.0,72692936.0,,,,
30,"['c#', 'android', 'keystore', 'maui', '.net-maui']","{'account_id': 12912268, 'reputation': 181, 'user_id': 9337608, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1485873448190260/picture?type=large', 'display_name': 'Rikudou En Sof', 'link': 'https://stackoverflow.com/users/9337608/rikudou-en-sof'}",False,250,3,0,1668029115,1654256105,72489010,CC BY-SA 4.0,https://stackoverflow.com/questions/72489010/cannot-upload-maui-file-to-playstore-due-to-signing-in-released-mode,Cannot upload MAUI file to Playstore due to signing in released mode,,,,,,
31,"['c#', 'unity3d', 'reflection']","{'account_id': 3055173, 'reputation': 1238, 'user_id': 2588978, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/820df3318bd2ef881cd1e95cfc008e12?s=256&d=identicon&r=PG&f=1', 'display_name': 'ProtoTyPus', 'link': 'https://stackoverflow.com/users/2588978/prototypus'}",False,96,1,0,1668017955,1654351565,72500389,CC BY-SA 4.0,https://stackoverflow.com/questions/72500389/type-getfield-on-array-field-returns-null,Type.GetField on array field returns null,1654355470.0,,,,,
32,"['c#', 'sharpziplib']","{'account_id': 123955, 'reputation': 5547, 'user_id': 2042829, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/d8f197cce0ab531871f5cca6548da602?s=256&d=identicon&r=PG&f=1', 'display_name': 'BennoDual', 'link': 'https://stackoverflow.com/users/2042829/bennodual'}",False,160,0,0,1668008625,1654179373,72477743,CC BY-SA 4.0,https://stackoverflow.com/questions/72477743/sharpziplib-does-not-unzip-password-protected-zip-file,SharpZipLib does not unzip password protected zip-file,,,,,,
33,"['c#', '.net-6.0', 'ef-core-6.0']","{'account_id': 3512485, 'reputation': 5133, 'user_id': 2936486, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/EPlZ7.jpg?s=256&g=1', 'display_name': 'Mauro Bilotti', 'link': 'https://stackoverflow.com/users/2936486/mauro-bilotti'}",True,315,1,1,1667768171,1655316091,72635919,CC BY-SA 4.0,https://stackoverflow.com/questions/72635919/ef-core-6-how-to-pluralize-class-names-when-running-scaffolding,EF Core 6: How to pluralize class names when running scaffolding,1667768171.0,,,,,
34,"['c#', 'unity3d', 'runtime', 'prefab']","{'account_id': 17297772, 'reputation': 75, 'user_id': 12528058, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4afb2351897c6af55410917e2ee9fc80?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bogdan Goncharenko', 'link': 'https://stackoverflow.com/users/12528058/bogdan-goncharenko'}",False,46,0,0,1667605980,1655140177,72606622,CC BY-SA 4.0,https://stackoverflow.com/questions/72606622/how-to-download-and-import-a-3d-model-at-runtime,How to download and import a 3D model at runtime?,,,,,,
35,"['c#', 'json']","{'account_id': 25662682, 'reputation': 1, 'user_id': 19428231, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhJSOGtICDE2uj9qm-dy6P7TE5Ik1VkkQe-iV-pKf0=k-s256', 'display_name': 'Sergey Kupchenko', 'link': 'https://stackoverflow.com/users/19428231/sergey-kupchenko'}",False,260,0,0,1667580716,1656346303,72775216,CC BY-SA 4.0,https://stackoverflow.com/questions/72775216/newtonsoft-json-jsonreaderexception-unexpected-character-encountered-while-pars,"Newtonsoft.Json.JsonReaderException: Unexpected character encountered while parsing value: F. Path &#39;&#39;, line 0, position 0",1656395650.0,,,,,
36,"['c#', '.net', 'unity3d']","{'account_id': 22127059, 'reputation': 11, 'user_id': 16379255, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0da33956162f505213a066fc13c38e0c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Fernando Valdes', 'link': 'https://stackoverflow.com/users/16379255/fernando-valdes'}",False,651,1,1,1667538058,1655854355,72708115,CC BY-SA 4.0,https://stackoverflow.com/questions/72708115/unity-error-cs1705-which-has-a-higher-version-than-referenced-assembly,Unity error CS1705: which has a higher version than referenced assembly,,,,,,
37,"['c#', 'firebase', 'unity3d', 'firebase-realtime-database']","{'account_id': 25660968, 'reputation': 1, 'user_id': 19426716, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ggah2DaPQ8m7riZ75gqQqwN00-K0OLaVCsZFLPINg=k-s256', 'display_name': 'Dindi', 'link': 'https://stackoverflow.com/users/19426716/dindi'}",False,105,1,0,1667452929,1656334712,72772506,CC BY-SA 4.0,https://stackoverflow.com/questions/72772506/firebase-database-unity-cant-set-playerpref-float-with-the-value-i-read-from-th,Firebase Database Unity can&#39;t set playerpref float with the value I read from the Database,1667452929.0,,,,,
38,"['c#', '.net', 'configuration']","{'account_id': 8308873, 'reputation': 240, 'user_id': 6244838, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/209cd080c9d6443906f5be5daebaeedf?s=256&d=identicon&r=PG&f=1', 'display_name': 'D4NieLDev', 'link': 'https://stackoverflow.com/users/6244838/d4nieldev'}",False,102,2,0,1667250258,1655846105,72707194,CC BY-SA 4.0,https://stackoverflow.com/questions/72707194/reading-app-settings-as-null-from-app-config,reading app settings as null from App.config,,,,,,
39,"['c#', 'flutter', 'selenium-webdriver', 'shadow-dom']","{'account_id': 25605749, 'reputation': 1, 'user_id': 19379871, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/26b1d785d4c5980ca53edcd6887a6943?s=256&d=identicon&r=PG', 'display_name': 'Milind', 'link': 'https://stackoverflow.com/users/19379871/milind'}",False,100,1,0,1667245122,1655791863,72696055,CC BY-SA 4.0,https://stackoverflow.com/questions/72696055/how-to-inspect-element-in-flutter-app-how-to-do-the-flutter-app-automation,"How to Inspect Element in Flutter App, How to do the Flutter app Automation",1655791934.0,,,,,
40,"['c#', 'asp.net', 'visual-studio', 'msbuild', 'asp.net-core-6.0']","{'account_id': 13121461, 'reputation': 141, 'user_id': 9478734, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/595673670783975/picture?type=large', 'display_name': 'mohammed alani', 'link': 'https://stackoverflow.com/users/9478734/mohammed-alani'}",False,996,1,2,1667161718,1655992201,72731340,CC BY-SA 4.0,https://stackoverflow.com/questions/72731340/visual-studio-22-slow-build-time-with-net-core-6,Visual studio 22 slow Build time with .net core 6,1655994387.0,,,,,
41,"['c#', 'unity3d']","{'account_id': 25532262, 'reputation': 11, 'user_id': 19320055, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ApL1I.jpg?s=256&g=1', 'display_name': 'ezio', 'link': 'https://stackoverflow.com/users/19320055/ezio'}",False,52,1,0,1667059175,1655286731,72629265,CC BY-SA 4.0,https://stackoverflow.com/questions/72629265/cant-add-script-component-because-the-script-class-cannot-be-found-what-mean-t,Can&#39;t add script component because the script class cannot be found? what mean this is if all is ok?,1656452767.0,,,,,
42,"['c#', 'visual-studio-2012', 'monogame']","{'account_id': 25651182, 'reputation': 1, 'user_id': 19418384, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10219630898033390/picture?type=large', 'display_name': 'Craig Watson', 'link': 'https://stackoverflow.com/users/19418384/craig-watson'}",False,71,1,0,1667020936,1656227409,72759568,CC BY-SA 4.0,https://stackoverflow.com/questions/72759568/my-main-cs-file-is-now-blank-after-crash,My main .cs file is now blank after crash,1656236261.0,,,,,
43,"['c#', 'asp.net', 'asp.net-core', 'razor-pages']","{'account_id': 25378303, 'reputation': 15, 'user_id': 19191096, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/SGTWW.jpg?s=256&g=1', 'display_name': 'Software_Architect', 'link': 'https://stackoverflow.com/users/19191096/software-architect'}",True,559,3,0,1666978621,1655391180,72647822,CC BY-SA 4.0,https://stackoverflow.com/questions/72647822/cannot-upload-large-file-x1gb-in-asp-net-core-6-razor-pages,Cannot upload large file x&gt;1GB in ASP.NET CORE 6 RAZOR PAGES,1655392101.0,,,,,
44,"['c#', 'user-interface', 'datepicker', 'winui-3']","{'account_id': 5582547, 'reputation': 4893, 'user_id': 4424024, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/qtXIg.jpg?s=256&g=1', 'display_name': 'Martin', 'link': 'https://stackoverflow.com/users/4424024/martin'}",True,95,1,1,1666874525,1655210753,72617234,CC BY-SA 4.0,https://stackoverflow.com/questions/72617234/winui3-datepicker-control-shows-margin-to-left-and-right-side,WinUI3: DatePicker control shows margin to left and right side,1666874525.0,72688016.0,,,,
45,"['c#', 'emgucv']","{'account_id': 24290042, 'reputation': 99, 'user_id': 19172507, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgCd5KJqk1z3HpZFvasgmdzbGmuBvRdg3oySZE1=k-s256', 'display_name': 'Saylent', 'link': 'https://stackoverflow.com/users/19172507/saylent'}",False,85,1,1,1666871934,1655901246,72715609,CC BY-SA 4.0,https://stackoverflow.com/questions/72715609/emgu-c-how-to-train-list-of-imagegray-byte-in-the-current-latest-version,"Emgu c#, how to train list of Image&lt;Gray, byte&gt; in the current latest version?",,,,,,
46,"['c#', 'visual-studio', 'jira', 'jira-rest-api', 'atlassian-plugin-sdk']","{'account_id': 3892633, 'reputation': 83, 'user_id': 6009941, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1151764362/picture?type=large', 'display_name': 'Ankit Gupta', 'link': 'https://stackoverflow.com/users/6009941/ankit-gupta'}",False,71,0,1,1666858473,1655284222,72628707,CC BY-SA 4.0,https://stackoverflow.com/questions/72628707/how-to-use-jira-createoauthrestclient-from-c-code,How to use Jira.CreateOAuthRestClient from C# code?,,,,,,
