,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date,community_owned_date,locked_date
14,"['c#', 'visual-studio', 'asp.net-core', 'microservices', 'grpc']","{'account_id': 20878013, 'reputation': 35, 'user_id': 15336412, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e6e5fc429b881347e16b3236e2ef0cd4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sannn', 'link': 'https://stackoverflow.com/users/15336412/sannn'}",False,633,0,0,1668413563,1648475888,71648697,CC BY-SA 4.0,https://stackoverflow.com/questions/71648697/can-we-write-a-grpc-gateway-in-net-core-using-visual-studio-2019,Can we write a gRPC gateway in .NET Core using Visual Studio 2019?,,1648487955.0,,,,,
15,"['java', 'c#', 'protocol-buffers', 'grpc', 'grpc-java']","{'account_id': 14807124, 'reputation': 18, 'user_id': 10693743, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-JjGO_aCAj7Y/AAAAAAAAAAI/AAAAAAAAAyU/e-YbUDaOkhE/photo.jpg?sz=256', 'display_name': 'Shane H', 'link': 'https://stackoverflow.com/users/10693743/shane-h'}",False,591,2,0,1668396490,1647027794,71443898,CC BY-SA 4.0,https://stackoverflow.com/questions/71443898/grcp-unable-to-call-server-method,gRCP - Unable to Call Server Method,,1647213508.0,,,,,
16,"['c#', '.net', 'api', 'google-sheets', 'datatable']","{'account_id': 24537722, 'reputation': 1, 'user_id': 18448542, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwyOcA15Yf7mX9DWlmW-FwIx6SEFdu9eKanpO2S=k-s256', 'display_name': 'Асылжан Ауезов', 'link': 'https://stackoverflow.com/users/18448542/%d0%90%d1%81%d1%8b%d0%bb%d0%b6%d0%b0%d0%bd-%d0%90%d1%83%d0%b5%d0%b7%d0%be%d0%b2'}",False,262,1,0,1668236127,1648058848,71592019,CC BY-SA 4.0,https://stackoverflow.com/questions/71592019/how-to-read-google-sheet-as-a-datatable-in-c,How to read google sheet as a datatable in c#?,,,,,,,
17,"['c#', 'automapper']","{'account_id': 17598226, 'reputation': 239, 'user_id': 12768751, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2424247181013562/picture?type=large', 'display_name': 'Youssef EL Fakir', 'link': 'https://stackoverflow.com/users/12768751/youssef-el-fakir'}",True,3815,2,21,1668107447,1646150551,71311303,CC BY-SA 4.0,https://stackoverflow.com/questions/71311303/replacement-for-automappers-forallothermembers,Replacement for Automapper&#39;s ForAllOtherMembers(),,,,,,,
18,"['c#', 'visual-studio', 'sqlite']","{'account_id': 24689775, 'reputation': 41, 'user_id': 18582451, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/wtGrT.jpg?s=256&g=1', 'display_name': 'Blue_Dreams', 'link': 'https://stackoverflow.com/users/18582451/blue-dreams'}",False,746,1,4,1667992307,1648238670,71622532,CC BY-SA 4.0,https://stackoverflow.com/questions/71622532/how-to-add-sqlite-to-data-source-wizard-in-visual-studio-2022,How to add SQLite to Data Source Wizard in Visual Studio 2022?,,,,,,,
19,"['c#', 'unity3d']","{'account_id': 23201044, 'reputation': 1, 'user_id': 17295855, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ghl-HtOJCfDx_WFosluy1NJYJfjwa_tMpzySoe4KQ=k-s256', 'display_name': 'Galaxii_', 'link': 'https://stackoverflow.com/users/17295855/galaxii'}",True,218,2,0,1667975326,1647711951,71540586,CC BY-SA 4.0,https://stackoverflow.com/questions/71540586/coroutine-function-isnt-working-as-expected-in-unity-i-am-a-beginner-somewhat,Coroutine function isn&#39;t working as expected in unity. (I am a beginner somewhat),,,,,,,
20,"['c#', 'unity3d']","{'account_id': 24584362, 'reputation': 41, 'user_id': 18489063, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/IZ3i7.png?s=256&g=1', 'display_name': 'craft000', 'link': 'https://stackoverflow.com/users/18489063/craft000'}",False,106,2,0,1667930522,1648449880,71643370,CC BY-SA 4.0,https://stackoverflow.com/questions/71643370/in-unity-if-i-have-millions-of-colliders-that-doesnt-do-anything-should-i-dea,"In unity, if I have millions of colliders that doesn&#39;t do anything, should I deactivate them when I don&#39;t need them?",,1648452455.0,,,,,
21,"['javascript', 'c#', 'webview2']","{'account_id': 24090325, 'reputation': 67, 'user_id': 18063681, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ce2c2d273336af5a1366c8f73e4febe1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Loch', 'link': 'https://stackoverflow.com/users/18063681/loch'}",False,563,1,2,1667924571,1646648782,71379632,CC BY-SA 4.0,https://stackoverflow.com/questions/71379632/how-to-perform-quick-print-using-webview2-c,how to Perform Quick Print using Webview2 c#?,,1646693791.0,,,,,
22,['c#'],"{'account_id': 285383, 'reputation': 9015, 'user_id': 584018, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/0770bdb62b52b2629ecd50eca624669b?s=256&d=identicon&r=PG', 'display_name': 'user584018', 'link': 'https://stackoverflow.com/users/584018/user584018'}",False,311,0,1,1667876395,1646727855,71391944,CC BY-SA 4.0,https://stackoverflow.com/questions/71391944/how-to-hide-sensitive-data-while-logging-in-c,how to hide sensitive data while logging in C#?,,1667876395.0,,,,,
23,"['c#', 'visual-studio']","{'account_id': 22333279, 'reputation': 25, 'user_id': 16554260, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjsF6wNSHkZOgXa2l7WFa90S5KKjWeRP-jdNNYOzw=k-s256', 'display_name': 'K. K', 'link': 'https://stackoverflow.com/users/16554260/k-k'}",True,361,1,1,1667873899,1648626224,71673375,CC BY-SA 4.0,https://stackoverflow.com/questions/71673375/visual-studio-how-to-fade-about-unused-using,Visual Studio How to fade about unused using,71673608.0,1667873899.0,,,,,
24,"['c#', 'azure', 'visual-studio', 'azure-functions', 'azure-blob-storage']","{'account_id': 24405825, 'reputation': 55, 'user_id': 18334032, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwZSonETswfgmttArdV_bo4PUDDL5WFZ9FUqb5l=k-s256', 'display_name': 'xmfr3452', 'link': 'https://stackoverflow.com/users/18334032/xmfr3452'}",False,2825,3,5,1667853810,1646659281,71381742,CC BY-SA 4.0,https://stackoverflow.com/questions/71381742/secret-initialization-from-blob-storage-failed-due-to-missing-both-an-azure-stor,Secret initialization from Blob storage failed due to missing both an Azure Storage connection string and a SAS connection uri,,1646667782.0,,,,,
25,"['c#', '.net', 'dependency-injection', '.net-6.0', 'object-lifetime']","{'account_id': 14616191, 'reputation': 242, 'user_id': 10556217, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8ad8698d697d2d3b1035c53fae3b9fe4?s=256&d=identicon&r=PG&f=1', 'display_name': 'J Flex', 'link': 'https://stackoverflow.com/users/10556217/j-flex'}",True,247,1,0,1667834322,1647265817,71468851,CC BY-SA 4.0,https://stackoverflow.com/questions/71468851/services-in-new-scope-act-like-transient-services,Services in new scope act like transient services,71573131.0,1667834322.0,,,,,
26,"['c#', 'html', 'css', 'asp.net-core', 'blazor']","{'account_id': 23579473, 'reputation': 93, 'user_id': 17618688, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/9qrav.jpg?s=256&g=1', 'display_name': 'Vischi', 'link': 'https://stackoverflow.com/users/17618688/vischi'}",True,1704,2,0,1667812630,1646311676,71337474,CC BY-SA 4.0,https://stackoverflow.com/questions/71337474/razor-page-css-is-not-working-isolated-only-with-the-style-tag-at-the-top,"razor page CSS is not working isolated, only with the style tag at the top",,1646363926.0,,,,,
27,"['c#', 'asp.net-core', 'entity-framework-core', 'dbcontext', 'http-put']","{'account_id': 21053236, 'reputation': 57, 'user_id': 15473154, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b3c298fa6fc406e94d254b937cd2c6a0?s=256&d=identicon&r=PG&f=1', 'display_name': 'GW7', 'link': 'https://stackoverflow.com/users/15473154/gw7'}",True,1210,1,3,1667772939,1648066133,71593424,CC BY-SA 4.0,https://stackoverflow.com/questions/71593424/dbcontext-update-vs-entitystate-modified,DbContext Update vs EntityState Modified,71594676.0,1667772939.0,,,,,
28,"['c#', 'windows', 'inputsimulator']","{'account_id': 24497489, 'reputation': 1, 'user_id': 18413534, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4492c35420c4b838016c12e89a75a35f?s=256&d=identicon&r=PG', 'display_name': 'CErdtmann', 'link': 'https://stackoverflow.com/users/18413534/cerdtmann'}",True,147,1,0,1667769998,1646786079,71403032,CC BY-SA 4.0,https://stackoverflow.com/questions/71403032/failed-inputsimulation-windows-including-user-interface-privacy-isolation-uip,Failed InputSimulation - Windows including User Interface Privacy Isolation (UIPI) Error,74339866.0,,,,,,
29,"['c#', 'image-processing', 'motion-detection']","{'account_id': 4889379, 'reputation': 51, 'user_id': 3940943, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://graph.facebook.com/100002211615027/picture?type=large', 'display_name': 'Znyder', 'link': 'https://stackoverflow.com/users/3940943/znyder'}",False,87,0,0,1667752360,1648106288,71598387,CC BY-SA 4.0,https://stackoverflow.com/questions/71598387/detect-rotation-of-camera-output-c,Detect rotation of camera output C#,,,,,,,
30,"['c#', 'asp.net-core', 'async-await', 'asp.net-core-5.0', 'asp.net-core-hosted-services']","{'account_id': 13542135, 'reputation': 10281, 'user_id': 9971404, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7cd9db31d5a582aab9112b2cbaa75e4d?s=256&d=identicon&r=PG&f=1', 'display_name': 'lonix', 'link': 'https://stackoverflow.com/users/9971404/lonix'}",True,5597,2,6,1667676201,1648387817,71636763,CC BY-SA 4.0,https://stackoverflow.com/questions/71636763/run-async-hosted-service-every-5-minutes-in-asp-net-core,Run async hosted service every 5 minutes in ASP.NET Core,71637260.0,1648390847.0,,,,,
31,"['c#', 'arrays', 'visual-studio', 'multidimensional-array']","{'account_id': 18170653, 'reputation': 1, 'user_id': 14849988, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhN8UhtizG0owNXHB5PrkLyp0TZwkj56otKPt3jyw=k-s256', 'display_name': 'Tiggy', 'link': 'https://stackoverflow.com/users/14849988/tiggy'}",False,71,1,0,1667594489,1646737342,71393938,CC BY-SA 4.0,https://stackoverflow.com/questions/71393938/is-it-possible-to-modify-the-dimensions-of-an-array-while-a-c-program-is-runnin,Is it possible to modify the dimensions of an array while a c# program is running?,,1667594489.0,,,,,
32,"['c#', 'asp.net-mvc', 'api', 'asp.net-core', 'httpclient']","{'account_id': 23929485, 'reputation': 31, 'user_id': 17924190, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxNn_Z-1m57OcX82QTDG7GN2ef5ekeS-uXWLQTq=k-s256', 'display_name': 'Basma', 'link': 'https://stackoverflow.com/users/17924190/basma'}",True,7575,1,-1,1667580612,1647691863,71538028,CC BY-SA 4.0,https://stackoverflow.com/questions/71538028/message-unexpected-character-encountered-while-parsing-value-path-lin,"Message = &quot;Unexpected character encountered while parsing value: [. Path &#39;&#39;, line 1, position 1.&quot;",71538101.0,1647692249.0,,,,,
33,"['c#', 'asp.net-core', 'entity-framework-core']","{'account_id': 24140884, 'reputation': 67, 'user_id': 18107091, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxRpQqGwgR8AjwzQvJOl2rduw4uRr4EI6qBiU6Q=k-s256', 'display_name': 'ahamad zooghi', 'link': 'https://stackoverflow.com/users/18107091/ahamad-zooghi'}",True,198,1,2,1667573562,1646387247,71349475,CC BY-SA 4.0,https://stackoverflow.com/questions/71349475/how-to-implement-searching-with-include-in-asp-net-core,How to implement searching with Include in ASP.NET CORE,71350015.0,,,,,,
34,"['python', 'c#', 'datetime']","{'account_id': 116146, 'reputation': 11765, 'user_id': 304684, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/6cfc86e606d2c0e6bb9923c1a72040cd?s=256&d=identicon&r=PG', 'display_name': 'Brett', 'link': 'https://stackoverflow.com/users/304684/brett'}",False,99,1,0,1667488666,1646425258,71356853,CC BY-SA 4.0,https://stackoverflow.com/questions/71356853/porting-datetime-ticks-from-c-to-python,Porting DateTime Ticks from C# to Python,,1646425911.0,,,,,
35,"['c#', 'xml', 'configuration', 'nlog']","{'account_id': 5370447, 'reputation': 14783, 'user_id': 4279155, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://i.stack.imgur.com/Gve3F.png?s=256&g=1', 'display_name': 'Dominique', 'link': 'https://stackoverflow.com/users/4279155/dominique'}",False,545,0,0,1667478826,1646905154,71421892,CC BY-SA 4.0,https://stackoverflow.com/questions/71421892/nlog-config-seems-not-to-be-taken-into-account,NLog.config seems not to be taken into account,,1667478826.0,,,,,
36,"['c#', 'forms', 'dll', '.net-6.0']","{'account_id': 3105388, 'reputation': 41, 'user_id': 2628346, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/69231051ad610e60789c01d4918b6574?s=256&d=identicon&r=PG', 'display_name': 'John James', 'link': 'https://stackoverflow.com/users/2628346/john-james'}",False,681,2,1,1667461374,1647108302,71452071,CC BY-SA 4.0,https://stackoverflow.com/questions/71452071/how-can-i-make-a-net-6-dll-understand-messagebox-and-dialogresult,How can I make a .Net 6 dll understand MessageBox and DialogResult,,1647198420.0,,,,,
37,"['c#', 'asp.net-core', 'razor', 'asp.net-core-mvc']","{'account_id': 414306, 'reputation': 773, 'user_id': 788448, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/d41198515ad2aafefd4875dede3691b7?s=256&d=identicon&r=PG', 'display_name': 'user788448', 'link': 'https://stackoverflow.com/users/788448/user788448'}",True,1020,2,0,1667239282,1646769338,71400773,CC BY-SA 4.0,https://stackoverflow.com/questions/71400773/bind-dropdownlist-with-viewbag-in-net-core,Bind Dropdownlist with ViewBag in .Net Core,71443602.0,1646789961.0,,,,,
38,"['c#', 'amazon-s3', 'aws-lambda', 'zip']","{'account_id': 2234458, 'reputation': 401, 'user_id': 1971246, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/ca9994f6fe19869ae743cf7292d96bc3?s=256&d=identicon&r=PG', 'display_name': 'William', 'link': 'https://stackoverflow.com/users/1971246/william'}",True,555,2,0,1667225509,1647876371,71560060,CC BY-SA 4.0,https://stackoverflow.com/questions/71560060/decompressing-a-s3-file-in-stream-using-c,Decompressing a S3 File in Stream using C#,71560762.0,1647878345.0,,,,,
39,"['c#', 'asp.net', 'visual-studio-code']","{'account_id': 7563940, 'reputation': 2437, 'user_id': 11664580, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/KxGXw.png?s=256&g=1', 'display_name': 'JimmyTheCode', 'link': 'https://stackoverflow.com/users/11664580/jimmythecode'}",True,398,2,0,1667058117,1646309418,71336993,CC BY-SA 4.0,https://stackoverflow.com/questions/71336993/how-to-ensure-proper-integration-between-httprepl-and-visual-studio-code,How &quot;to ensure proper integration between HttpRepl and Visual Studio Code.&quot;?,,,,,,,
40,"['c#', 'datagridview', 'visual-studio-2019']","{'account_id': 24747590, 'reputation': 25, 'user_id': 18633572, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhSuRKEktNPvd1_NA2s9gBAl8jKhFd5qztJoFB6=k-s256', 'display_name': 'Mohammad', 'link': 'https://stackoverflow.com/users/18633572/mohammad'}",False,140,1,0,1667022780,1648655570,71680377,CC BY-SA 4.0,https://stackoverflow.com/questions/71680377/datagridview-select-a-rows-cell-and-get-first-cells-value-c,dataGridView select a row&#39;s cell and get first cell&#39;s value C#,,1667022780.0,,,,,
41,"['c#', 'winforms', 'winapi', 'win32gui', 'sendinput']","{'account_id': 18704949, 'reputation': 21, 'user_id': 13636326, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-the7iX_vPBI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmSxPfE1PViUfg5kxO7Zmy57diG7A/photo.jpg?sz=256', 'display_name': 'Bob the builder', 'link': 'https://stackoverflow.com/users/13636326/bob-the-builder'}",True,1300,2,0,1666900433,1648039678,71587520,CC BY-SA 4.0,https://stackoverflow.com/questions/71587520/how-to-use-sendinput-to-simulate-the-up-arrow-key-press-or-other-extended-keys,How to use SendInput to simulate the UP arrow key press (or other extended keys),71589883.0,1649040273.0,,,,,
42,"['c#', 'caching', 'asp.net-core-3.1', '.net-6.0', 'responsecache']","{'account_id': 21346667, 'reputation': 94, 'user_id': 15716642, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8d6b6f7507ff15e5a0718914552e1f3b?s=256&d=identicon&r=PG', 'display_name': 'user15716642', 'link': 'https://stackoverflow.com/users/15716642/user15716642'}",True,91,1,2,1666805707,1647725783,71542285,CC BY-SA 4.0,https://stackoverflow.com/questions/71542285/responsecacheattribute-doesnt-seem-to-stop-preflight-requests-from-hitting-the,ResponseCacheAttribute doesn&#39;t seem to stop preflight requests from hitting the server,74184331.0,1666805707.0,,,,,
43,"['c#', '.net', 'amazon-web-services', '.net-6.0', 'aws-parameter-store']","{'account_id': 5722439, 'reputation': 476, 'user_id': 4520493, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ULlDU.jpg?s=256&g=1', 'display_name': 'Viresh Mathad', 'link': 'https://stackoverflow.com/users/4520493/viresh-mathad'}",True,726,4,2,1666803697,1646230795,71324248,CC BY-SA 4.0,https://stackoverflow.com/questions/71324248/c-aws-parameter-store-configuration-not-loading-systemmanagerconfiguration-in,C# AWS Parameter Store - Configuration not loading SystemManagerConfiguration in .Net 6,71332859.0,1646283519.0,,,,,
44,"['c#', 'asp.net', 'azure', 'azure-cloud-services']","{'account_id': 450669, 'reputation': 3681, 'user_id': 846117, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://i.stack.imgur.com/lWjdt.png?s=256&g=1', 'display_name': 'Tom Troughton', 'link': 'https://stackoverflow.com/users/846117/tom-troughton'}",True,204,3,2,1666735854,1646743627,71395326,CC BY-SA 4.0,https://stackoverflow.com/questions/71395326/azure-web-role-build-error-unable-to-import-module-diagnostics-no-manifest-wa,Azure web role build error: &quot;Unable to import module Diagnostics. No manifest was found&quot;,74148719.0,,,,,,
45,"['c#', 'postgresql', 'entity-framework', 'asp.net-core']","{'account_id': 23012897, 'reputation': 11, 'user_id': 17135171, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/20ff9f09fd9921fdc46260a0d44953a8?s=256&d=identicon&r=PG', 'display_name': 'Udemytur', 'link': 'https://stackoverflow.com/users/17135171/udemytur'}",False,219,1,0,1666710577,1646129694,71306836,CC BY-SA 4.0,https://stackoverflow.com/questions/71306836/dataprotection-entityframework-raise-an-expcetion-with-postgresql,DataProtection.EntityFramework raise an expcetion with Postgresql,,1646129890.0,,,,,
