,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,community_owned_date
23,"['c#', '.net', 'filenames']","{'account_id': 2095, 'reputation': 1685, 'user_id': 2889, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/7547d0d7766bc52dd3699c811d9f09fa?s=256&d=identicon&r=PG', 'display_name': 'Web', 'link': 'https://stackoverflow.com/users/2889/web'}",True,3390,3,2,1666333373,1337804191,,10727182,CC BY-SA 3.0,https://stackoverflow.com/questions/10727182/convert-8-3-filename-to-long-filename,Convert 8.3 filename to long filename,10727237.0,,,,
24,"['c#', '.net', 'sql-server', 'database', 'sql-server-2005']","{'account_id': 1450296, 'reputation': 1095, 'user_id': 1367442, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/d6f72e9373062e9b49d376b1b46591d3?s=256&d=identicon&r=PG', 'display_name': 'Sana Sana', 'link': 'https://stackoverflow.com/users/1367442/sana-sana'}",True,146054,8,101,1666274982,1336105374,1500641790.0,10442686,CC BY-SA 3.0,https://stackoverflow.com/questions/10442686/received-an-invalid-column-length-from-the-bcp-client-for-colid-6,Received an invalid column length from the bcp client for colid 6,10443042.0,,,,
25,"['c#', 'ternary-operator', 'compile-time']","{'account_id': 62820, 'reputation': 11031, 'user_id': 186359, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/e02c3a863e8a241a674b29573f577563?s=256&d=identicon&r=PG', 'display_name': 'Matt Phillips', 'link': 'https://stackoverflow.com/users/186359/matt-phillips'}",True,1317,3,1,1666031995,1337029041,,10590923,CC BY-SA 3.0,https://stackoverflow.com/questions/10590923/c-ternary-expression-type-conversion,C# Ternary expression type conversion,10590949.0,,,,
26,"['c#', 'arrays', 'indexof']","{'account_id': 904538, 'reputation': 8537, 'user_id': 939713, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/f37e47f8530b332bd50c6eb06f4cd147?s=256&d=identicon&r=PG', 'display_name': 'Eric Yin', 'link': 'https://stackoverflow.com/users/939713/eric-yin'}",True,34621,10,32,1666031288,1336111353,1399305119.0,10443461,CC BY-SA 3.0,https://stackoverflow.com/questions/10443461/c-array-findallindexof-which-findall-indexof,c# Array.FindAllIndexOf which FindAll IndexOf,10443540.0,,,,
27,"['c#', 'text', 'md5']","{'account_id': 1487138, 'reputation': 3071, 'user_id': 1395137, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/d53d60a9cba2929c002da80476222879?s=256&d=identicon&r=PG&f=1', 'display_name': 'JosephG', 'link': 'https://stackoverflow.com/users/1395137/josephg'}",True,229,2,-2,1665613691,1337994807,1665613691.0,10762917,CC BY-SA 4.0,https://stackoverflow.com/questions/10762917/make-c-console-application-close-after-return-value,Make C# Console Application Close after Return Value,10762925.0,,,,
28,"['java', 'c#', 'selenium', 'selenium-webdriver', 'webdriver']","{'account_id': 373248, 'reputation': 2212, 'user_id': 722773, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/LTI87.jpg?s=256&g=1', 'display_name': 'psadac', 'link': 'https://stackoverflow.com/users/722773/psadac'}",True,212580,19,119,1665565161,1337777553,1558676750.0,10720325,CC BY-SA 4.0,https://stackoverflow.com/questions/10720325/selenium-webdriver-wait-for-complex-page-with-javascript-to-load,Selenium WebDriver: Wait for complex page with JavaScript to load,10726369.0,,,,
29,"['c#', 'rest', 'asp.net-web-api']","{'account_id': 411313, 'reputation': 72766, 'user_id': 783681, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/4a6d68e2358aa6675d8d82763614bb37?s=256&d=identicon&r=PG&f=1', 'display_name': 'cuongle', 'link': 'https://stackoverflow.com/users/783681/cuongle'}",True,670676,14,444,1664967713,1337842813,1526028829.0,10732644,CC BY-SA 4.0,https://stackoverflow.com/questions/10732644/best-practice-to-return-errors-in-asp-net-web-api,Best practice to return errors in ASP.NET Web API,10734690.0,,,,
30,"['c#', 'jquery', 'asp.net-mvc', 'asp.net-mvc-3', 'razor']","{'account_id': 80184, 'reputation': 80938, 'user_id': 226897, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/02f02fcd0e0adfd6f5d5d1d594a8953c?s=256&d=identicon&r=PG', 'display_name': 'Abe Miessler', 'link': 'https://stackoverflow.com/users/226897/abe-miessler'}",True,212024,12,70,1664754663,1335815224,1337775000.0,10389649,CC BY-SA 3.0,https://stackoverflow.com/questions/10389649/possible-to-access-mvc-viewbag-object-from-javascript-file,Possible to access MVC ViewBag object from Javascript file?,10389766.0,,,,
31,"['c#', 'sockets', 'video', 'streaming']","{'account_id': 1175760, 'reputation': 1947, 'user_id': 1151849, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'andrew', 'link': 'https://stackoverflow.com/users/1151849/andrew'}",True,311924,16,168,1664663430,1336216285,1628091183.0,10461257,CC BY-SA 4.0,https://stackoverflow.com/questions/10461257/an-attempt-was-made-to-access-a-socket-in-a-way-forbidden-by-its-access-permissi,An attempt was made to access a socket in a way forbidden by its access permissions. Why?,10461978.0,,,,
32,"['c#', 'api', 'winapi', 'apimonitor']","{'account_id': 1093445, 'reputation': 3865, 'user_id': 1087547, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/FLL0o.png?s=256&g=1', 'display_name': 'M Rostami', 'link': 'https://stackoverflow.com/users/1087547/m-rostami'}",False,499,2,0,1664571953,1337096885,1625662854.0,10604344,CC BY-SA 4.0,https://stackoverflow.com/questions/10604344/how-can-i-hide-the-api-calls-that-a-c-app-makes,How can I hide the API calls that a c# app makes?,,,,,
33,"['c#', '.net', 'appsettings', 'configurationmanager']","{'account_id': 940173, 'reputation': 7933, 'user_id': 968379, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/cca1b075aa9adcf0757b4c289eaa3218?s=256&d=identicon&r=PG&f=1', 'display_name': 'Matt', 'link': 'https://stackoverflow.com/users/968379/matt'}",True,645169,18,201,1664473962,1338038750,1402059364.0,10766654,CC BY-SA 3.0,https://stackoverflow.com/questions/10766654/appsettings-get-value-from-config-file,AppSettings get value from .config file,10766683.0,,,,
34,"['c#', 'msmq']","{'account_id': 1316472, 'reputation': 25, 'user_id': 1263196, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a3430f4292778da652ee28792d8b9d51?s=256&d=identicon&r=PG', 'display_name': 'John Smith', 'link': 'https://stackoverflow.com/users/1263196/john-smith'}",True,753,2,1,1664456416,1338067149,,10769868,CC BY-SA 3.0,https://stackoverflow.com/questions/10769868/delayed-invocation-of-a-message-queue,Delayed Invocation of a Message Queue?,10835413.0,,,,
35,"['c#', '.net', 'excel']","{'account_id': 1108083, 'reputation': 239, 'user_id': 1099059, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/306829da12ef667bc9a56a1a74bcd12d?s=256&d=identicon&r=PG', 'display_name': 'jitsuin', 'link': 'https://stackoverflow.com/users/1099059/jitsuin'}",True,114690,7,21,1664311226,1335981114,1468957436.0,10419071,CC BY-SA 3.0,https://stackoverflow.com/questions/10419071/using-c-to-read-write-excel-files-xls-xlsx,Using C# to read/write Excel files (.xls/.xlsx),,,,,
36,"['c#', 'reflection', 'types']","{'account_id': 266352, 'reputation': 14504, 'user_id': 553877, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/d899f54066d24be41fadd5d1b5115a26?s=256&d=identicon&r=PG', 'display_name': 'Karan', 'link': 'https://stackoverflow.com/users/553877/karan'}",True,142936,4,113,1663922298,1335967100,1495923441.0,10415276,CC BY-SA 3.0,https://stackoverflow.com/questions/10415276/how-to-check-if-variables-type-matches-type-stored-in-a-variable,How to check if variable&#39;s type matches Type stored in a variable,10416231.0,,,,
37,"['c#', 'sql-server-2008', 'entity-framework', 'ef-code-first', 'entity-framework-4.3']","{'account_id': 462895, 'reputation': 1471, 'user_id': 865464, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://i.stack.imgur.com/W8E5S.jpg?s=256&g=1', 'display_name': 'Mohammad Zare', 'link': 'https://stackoverflow.com/users/865464/mohammad-zare'}",True,43792,3,15,1663818110,1337005306,1516891779.0,10585214,CC BY-SA 3.0,https://stackoverflow.com/questions/10585214/conversion-of-a-datetime2-data-type-to-a-datetime-data-type-error-with-ef-code-f,conversion of a datetime2 data type to a datetime data type error with EF Code first?,10585257.0,,,,
38,"['c#', 'string', 'replace', 'escaping']","{'account_id': 64655, 'reputation': 24242, 'user_id': 190750, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/vbWjC.jpg?s=256&g=1', 'display_name': 'Justin Helgerson', 'link': 'https://stackoverflow.com/users/190750/justin-helgerson'}",True,107134,5,43,1663807404,1337811037,,10728602,CC BY-SA 3.0,https://stackoverflow.com/questions/10728602/turning-a-single-quote-into-an-escaped-single-quote-within-a-string,Turning a single quote into an escaped single quote within a string,10728636.0,,,,
39,"['c#', 'multithreading']","{'account_id': 322705, 'reputation': 3008, 'user_id': 642269, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/f639b8588fff8bf480c5967a4cfc2bc9?s=256&d=identicon&r=PG', 'display_name': 'Mel', 'link': 'https://stackoverflow.com/users/642269/mel'}",True,3851,3,5,1663621644,1337664912,,10696238,CC BY-SA 3.0,https://stackoverflow.com/questions/10696238/difference-of-upgradeable-read-lock-vs-a-write-lock-in-c-readerwritelock,difference of upgradeable read lock vs a write lock in C# ReaderWriteLock,10696312.0,,,,
40,"['c#', 'oop', 'd', 'access-modifiers']","{'account_id': 421735, 'reputation': 15926, 'user_id': 800123, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/bZMq5.jpg?s=256&g=1', 'display_name': 'Jack', 'link': 'https://stackoverflow.com/users/800123/jack'}",True,27183,3,11,1663620968,1336182809,,10458142,CC BY-SA 3.0,https://stackoverflow.com/questions/10458142/why-a-function-with-protected-modifier-can-be-overridden-and-accessible-every-wh,Why a function with protected modifier can be overridden and accessible every where?,10458163.0,,,,
41,"['c#', 'wpf', '.net-4.0', 'resourcedictionary']","{'account_id': 1485232, 'reputation': 530, 'user_id': 1393644, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/991e4ede31c25e2052a5900074d24808?s=256&d=identicon&r=PG', 'display_name': 'User3810621', 'link': 'https://stackoverflow.com/users/1393644/user3810621'}",True,5865,3,11,1663347046,1337069023,1495540840.0,10596515,CC BY-SA 3.0,https://stackoverflow.com/questions/10596515/setting-windowstartuplocation-from-resourcedictionary-throws-xamlparseexception,Setting WindowStartupLocation from ResourceDictionary throws XamlParseException,10596863.0,,,,
42,"['c#', 'asp.net', 'database']","{'account_id': 204444, 'reputation': 347, 'user_id': 452666, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/85c03a167feb30962221d4b9338ab185?s=256&d=identicon&r=PG', 'display_name': 'mehrdad', 'link': 'https://stackoverflow.com/users/452666/mehrdad'}",True,1476,4,2,1662831222,1335942594,1335950392.0,10409228,CC BY-SA 3.0,https://stackoverflow.com/questions/10409228/create-classes-at-runtime-from-database,create classes at runtime from database,,,,,
43,"['c#', 'datetime', 'tryparse']","{'account_id': 1449877, 'reputation': 377, 'user_id': 1367130, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/67c57feb1d2df8d6367da232876bee13?s=256&d=identicon&r=PG', 'display_name': 'kevp', 'link': 'https://stackoverflow.com/users/1367130/kevp'}",True,3281,2,0,1662789708,1335906145,1335907128.0,10404307,CC BY-SA 3.0,https://stackoverflow.com/questions/10404307/datetime-tryparseexact-and-parsing-multiple-date-formats,DateTime.TryParseExact and parsing multiple date formats,10404533.0,,,,
44,"['c#', 'validation', 'textbox']","{'account_id': 991546, 'reputation': 1114, 'user_id': 1008693, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/murig.jpg?s=256&g=1', 'display_name': 'Wizard', 'link': 'https://stackoverflow.com/users/1008693/wizard'}",True,155740,12,9,1662630474,1335893366,1377110378.0,10401633,CC BY-SA 3.0,https://stackoverflow.com/questions/10401633/validating-a-textbox-field-for-only-numeric-input,Validating a Textbox field for only numeric input.,10401668.0,1663049601.0,,,
45,"['c#', '.net', 'hash', 'md5']","{'account_id': 70277, 'reputation': 7942, 'user_id': 203948, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/73d303f70cf342dc18323da1442dda2f?s=256&d=identicon&r=PG', 'display_name': 'broke', 'link': 'https://stackoverflow.com/users/203948/broke'}",True,388536,7,398,1662320483,1336580211,1418642936.0,10520048,CC BY-SA 3.0,https://stackoverflow.com/questions/10520048/calculate-md5-checksum-for-a-file,Calculate MD5 checksum for a file,10520086.0,,,,
46,"['c#', 'asp.net-ajax', 'calendar', 'ajaxcontroltoolkit']","{'account_id': 1138122, 'reputation': 19026, 'user_id': 1122748, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/ae686b9d7d0c93261e9ce8430ed7b2d5?s=256&d=identicon&r=PG', 'display_name': 'Learning', 'link': 'https://stackoverflow.com/users/1122748/learning'}",False,11628,3,2,1661976055,1338362023,1342712261.0,10811598,CC BY-SA 3.0,https://stackoverflow.com/questions/10811598/higlight-disable-specific-dates-in-ajax-calendar-control-based-on-database-selec,Higlight/disable specific dates in ajax calendar control based on database selection,,,,,
47,"['c#', 'wpf', 'batch-file', 'cmd']","{'account_id': 210172, 'reputation': 6061, 'user_id': 461632, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c992828978d588a71110ef46793b9854?s=256&d=identicon&r=PG', 'display_name': 'gwiazdorrr', 'link': 'https://stackoverflow.com/users/461632/gwiazdorrr'}",True,27310,4,29,1661958447,1335968930,1495540044.0,10415807,CC BY-SA 3.0,https://stackoverflow.com/questions/10415807/output-console-writeline-from-wpf-windows-applications-to-actual-console,Output Console.WriteLine from WPF Windows Applications to actual console,11591223.0,,,,
