,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,community_owned_date,locked_date,migrated_from
10,"['c#', '.net', 'file-io', 'save']","{'account_id': 931463, 'reputation': 65, 'user_id': 961282, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/4dd8cca9a8dd1d2aaf500349614b4a39?s=256&d=identicon&r=PG', 'display_name': '0xddr', 'link': 'https://stackoverflow.com/users/961282/0xddr'}",False,7868,,2,1,1666476315,1330943004,1331075710.0,9565013,CC BY-SA 3.0,https://stackoverflow.com/questions/9565013/ioexception-there-is-not-enough-space-on-the-disk-while-there-is-enough-spac,&quot;IOException: There is not enough space on the disk.&quot; while there is enough space,,,,,,
11,"['c#', 'sql', 'database', 'azure', 'blob']","{'account_id': 1054912, 'reputation': 390, 'user_id': 1057858, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/bSQgW.jpg?s=256&g=1', 'display_name': 'kavalerov', 'link': 'https://stackoverflow.com/users/1057858/kavalerov'}",True,884,11647127.0,5,2,1666266712,1332253786,,9788748,CC BY-SA 3.0,https://stackoverflow.com/questions/9788748/how-to-sync-azure-sql-with-azure-blob-storage,How to sync Azure SQL with Azure BLOB Storage?,,,,,,
12,"['c#', '.net', 'wcf', '.net-4.0']","{'account_id': 1305318, 'reputation': 151, 'user_id': 1254420, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a23a6f49e7b8df0a8b7d8464e458337d?s=256&d=identicon&r=PG', 'display_name': 'Silly Me', 'link': 'https://stackoverflow.com/users/1254420/silly-me'}",True,26886,,2,15,1666213399,1331116605,1331118450.0,9599840,CC BY-SA 3.0,https://stackoverflow.com/questions/9599840/wcf-the-service-certificate-is-not-provided-specify-a-service-certificate-in-s,WCF: The service certificate is not provided. Specify a service certificate in ServiceCredentials,,,,,,
13,"['c#', '.net', 'winforms', 'printing', 'printer-properties']","{'account_id': 1214944, 'reputation': 764, 'user_id': 1182735, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/0a63750972b9c4a1f019855bc868cca0?s=256&d=identicon&r=PG', 'display_name': 'user1182735', 'link': 'https://stackoverflow.com/users/1182735/user1182735'}",True,7331,9748847.0,2,5,1666130400,1331737921,1331740506.0,9704671,CC BY-SA 3.0,https://stackoverflow.com/questions/9704671/modifying-printersettings-after-printdialog-was-shown,Modifying PrinterSettings after PrintDialog was shown,,,,,,
14,"['c#', '.net', 'winforms', 'textbox', 'border']","{'account_id': 1177205, 'reputation': 425, 'user_id': 1152906, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/rOV4n.jpg?s=256&g=1', 'display_name': 'Raggy Shrestha', 'link': 'https://stackoverflow.com/users/1152906/raggy-shrestha'}",True,140700,9769253.0,8,30,1666070570,1332154814,1575390720.0,9768938,CC BY-SA 4.0,https://stackoverflow.com/questions/9768938/change-the-bordercolor-of-the-textbox,Change the borderColor of the TextBox,,,,,,
15,"['c#', 'performance', 'class', 'reference', 'struct']","{'account_id': 57228, 'reputation': 739, 'user_id': 171405, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/7376226d7b5b05dd05b0ee33e2e1e58c?s=256&d=identicon&r=PG', 'display_name': 'Joao Carlos', 'link': 'https://stackoverflow.com/users/171405/joao-carlos'}",True,5945,9923324.0,2,12,1666030905,1333015751,,9923256,CC BY-SA 3.0,https://stackoverflow.com/questions/9923256/class-vs-ref-struct,Class VS ref Struct,,,,,,
16,"['c#', 'filesystemwatcher']","{'account_id': 1314550, 'reputation': 167, 'user_id': 1261744, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/28e2c2ea5f2730637252553f8db307ae?s=256&d=identicon&r=PG', 'display_name': 'kanden', 'link': 'https://stackoverflow.com/users/1261744/kanden'}",True,5044,9916172.0,4,3,1665850894,1332970514,1333009784.0,9916013,CC BY-SA 3.0,https://stackoverflow.com/questions/9916013/how-to-capture-watch-folder-deletion-events,How to capture watch folder deletion events,,,,,,
17,"['c#', 'wpf', 'multithreading', 'backgroundworker']","{'account_id': 402112, 'reputation': 11111, 'user_id': 769091, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/21bc5b10a0454bf9e29f426aefe900f2?s=256&d=identicon&r=PG', 'display_name': 'Kuntady Nithesh', 'link': 'https://stackoverflow.com/users/769091/kuntady-nithesh'}",True,346759,9732853.0,15,415,1665755478,1331878027,1449005245.0,9732709,CC BY-SA 3.0,https://stackoverflow.com/questions/9732709/the-calling-thread-cannot-access-this-object-because-a-different-thread-owns-it,The calling thread cannot access this object because a different thread owns it,1492449507.0,,,,,
18,"['c#', 'asp.net-mvc', 'dapper']","{'account_id': 380839, 'reputation': 1035, 'user_id': 735123, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/32da1c4f207ef010d6a41e517d58a3b9?s=256&d=identicon&r=PG', 'display_name': 'SaltProgrammer', 'link': 'https://stackoverflow.com/users/735123/saltprogrammer'}",True,2818,,2,8,1665653750,1331174531,1342317274.0,9612213,CC BY-SA 3.0,https://stackoverflow.com/questions/9612213/reset-cache-for-dapper,Reset Cache for Dapper,,,,,,
19,"['c#', 'visual-studio-2010']","{'account_id': 126740, 'reputation': 5350, 'user_id': 323434, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://i.stack.imgur.com/JITeY.jpg?s=256&g=1', 'display_name': 'atwellpub', 'link': 'https://stackoverflow.com/users/323434/atwellpub'}",True,350267,,32,111,1665602160,1331148044,1521245630.0,9607702,CC BY-SA 3.0,https://stackoverflow.com/questions/9607702/does-not-contain-a-static-main-method-suitable-for-an-entry-point,Does not contain a static &#39;main&#39; method suitable for an entry point,,,,,,
20,"['c#', '.net']","{'account_id': 941126, 'reputation': 2569, 'user_id': 969188, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/30a30fa64dbce79c48a27276ab8b0572?s=256&d=identicon&r=PG', 'display_name': 'hari', 'link': 'https://stackoverflow.com/users/969188/hari'}",True,417173,9679614.0,4,214,1665516664,1331620557,1630416107.0,9679375,CC BY-SA 4.0,https://stackoverflow.com/questions/9679375/how-can-i-run-an-exe-file-from-my-c-code,How can I run an EXE file from my C# code?,,,,,,
21,"['c#', '.net', 'cryptography', 'rsa', 'blackberry-jde']","{'account_id': 79739, 'reputation': 8456, 'user_id': 225885, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/pKYBo.jpg?s=256&g=1', 'display_name': 'jim', 'link': 'https://stackoverflow.com/users/225885/jim'}",True,1464,9769426.0,5,2,1665454080,1331225922,1332157040.0,9621630,CC BY-SA 3.0,https://stackoverflow.com/questions/9621630/decrypt-pkcs-1-v2-1-cipher-from-blackberry-in-c-net,Decrypt PKCS #1 v2.1 cipher from BlackBerry in C#.NET,,,,,,
22,"['c#', 'asp.net-mvc', 'asp.net-mvc-3', 'c#-4.0', 'anonymous-types']","{'account_id': 545438, 'reputation': 13034, 'user_id': 1020476, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/b0d26f8cfa5443da308d08ce6169e351?s=256&d=identicon&r=PG', 'display_name': 'Saeid', 'link': 'https://stackoverflow.com/users/1020476/saeid'}",True,26946,9757162.0,5,23,1665067267,1331988294,1332060599.0,9750078,CC BY-SA 3.0,https://stackoverflow.com/questions/9750078/get-value-from-anonymous-type,Get value from anonymous type,,,,,,
23,"['c#', 'active-directory']","{'account_id': 159661, 'reputation': 966, 'user_id': 379215, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/2b652abfe2f58bf8ab67471c4e1d769e?s=256&d=identicon&r=PG', 'display_name': 'colinbashbash', 'link': 'https://stackoverflow.com/users/379215/colinbashbash'}",True,9059,,2,4,1664967714,1331070296,1331072117.0,9592422,CC BY-SA 3.0,https://stackoverflow.com/questions/9592422/casting-activedirectory-pwdlastset-property-without-using-activeds,Casting ActiveDirectory pwdLastSet property without using ActiveDs,,,,,,
24,"['c#', 'string', 'grouping', 'string-formatting']","{'account_id': 1361961, 'reputation': 3911, 'user_id': 1299145, 'user_type': 'registered', 'accept_rate': 41, 'profile_image': 'https://www.gravatar.com/avatar/b67e84c69c02be9fb75ad7aca132e3bc?s=256&d=identicon&r=PG', 'display_name': 'Abdur Rahim', 'link': 'https://stackoverflow.com/users/1299145/abdur-rahim'}",True,96216,9932155.0,15,89,1664903610,1333049153,1454576814.0,9932096,CC BY-SA 3.0,https://stackoverflow.com/questions/9932096/add-separator-to-string-at-every-n-characters,Add separator to string at every N characters?,,,,,,
25,"['c#', 'wav', 'naudio']","{'account_id': 1282364, 'reputation': 1246, 'user_id': 1236178, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/99b25095dafdfeded44cec4c4bac6674?s=256&d=identicon&r=PG', 'display_name': 'DIXONJWDD', 'link': 'https://stackoverflow.com/users/1236178/dixonjwdd'}",True,3496,9572511.0,1,2,1664364882,1330965112,1330969577.0,9570256,CC BY-SA 3.0,https://stackoverflow.com/questions/9570256/using-naudio-to-mix-waveproviders,Using NAudio to mix WaveProviders,,,,,,
26,['c#'],"{'account_id': 1159652, 'reputation': 2320, 'user_id': 1139444, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/f187fdc4151f2bc12a0505809c0b7acd?s=256&d=identicon&r=PG', 'display_name': 'kwelch', 'link': 'https://stackoverflow.com/users/1139444/kwelch'}",True,975,9933733.0,3,4,1664264355,1333053859,,9933239,CC BY-SA 3.0,https://stackoverflow.com/questions/9933239/import-app-config-from-class-library-into-project-when-references,Import app.config from class library into project when references,,,,,,
27,"['c#', 'tsql', 'sql-server-2008-r2']","{'account_id': 1301667, 'reputation': 61, 'user_id': 1251433, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a217bf27e5762c80c7867df3d50aed8a?s=256&d=identicon&r=PG', 'display_name': 'Leon Albus', 'link': 'https://stackoverflow.com/users/1251433/leon-albus'}",True,772,,3,2,1664171885,1331014336,1331022075.0,9578803,CC BY-SA 3.0,https://stackoverflow.com/questions/9578803/how-i-can-get-the-list-of-all-t-sql-reserved-keywords-in-c-a-program,how i can get the list of all T-SQL reserved keywords in c# a program,,,,,,
28,"['c#', 'winforms', 'datagridview', 'setfocus']","{'account_id': 1038477, 'reputation': 1031, 'user_id': 1045045, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/0aa8cfa5298fbd4c7bda4814c390d39a?s=256&d=identicon&r=PG', 'display_name': 'Sukanya', 'link': 'https://stackoverflow.com/users/1045045/sukanya'}",False,9096,,1,1,1664143340,1332749472,1402256021.0,9868648,CC BY-SA 3.0,https://stackoverflow.com/questions/9868648/how-to-set-focus-on-specific-cell-in-datagridview-after-a-validation-error,How to set focus on specific cell in datagridview after a validation error?,,,,,,
29,"['c#', 'dropbox']","{'account_id': 14576, 'reputation': 18057, 'user_id': 30099, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/539fef7a0aa086c2299fc06ae5e3e5f3?s=256&d=identicon&r=PG', 'display_name': 'Jamey McElveen', 'link': 'https://stackoverflow.com/users/30099/jamey-mcelveen'}",True,20539,9660541.0,9,35,1664073602,1331511479,,9660280,CC BY-SA 3.0,https://stackoverflow.com/questions/9660280/how-do-i-programmatically-locate-my-dropbox-folder-using-c,How do I programmatically locate my Dropbox folder using C#?,,,,,,
30,['c#'],"{'account_id': 343167, 'reputation': 3690, 'user_id': 674701, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/d54047416523f1d2eb958825361622b3?s=256&d=identicon&r=PG', 'display_name': 'Matt', 'link': 'https://stackoverflow.com/users/674701/matt'}",True,57697,9740611.0,9,5,1663864005,1331913514,1331913756.0,9740557,CC BY-SA 3.0,https://stackoverflow.com/questions/9740557/reading-a-text-file-word-by-word,Reading a text file word by word,,,,,,
31,"['c#', 'winforms', 'fonts', 'controls', 'bold']","{'account_id': 435096, 'reputation': 2916, 'user_id': 821484, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/ef71f8e357a22d9f9785e080c5125e7f?s=256&d=identicon&r=PG', 'display_name': 'ImGreg', 'link': 'https://stackoverflow.com/users/821484/imgreg'}",True,9334,9777973.0,3,5,1663706199,1332190723,1495542175.0,9777834,CC BY-SA 3.0,https://stackoverflow.com/questions/9777834/remove-fontstyle-bold-from-a-controls-font,Remove FontStyle Bold from a Control&#39;s Font,,,,,,
32,"['c#', 'serial-port']","{'account_id': 60902, 'reputation': 40347, 'user_id': 181771, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/NQuFs.jpg?s=256&g=1', 'display_name': 'DaveDev', 'link': 'https://stackoverflow.com/users/181771/davedev'}",False,8909,,2,0,1663664875,1332332480,,9804503,CC BY-SA 3.0,https://stackoverflow.com/questions/9804503/how-to-get-the-correct-value-from-serialport-bytestoread,How to get the correct value from SerialPort.BytesToRead?,,,,,,
33,"['c#', '.net', 'nunit', 'xunit']","{'account_id': 65354, 'reputation': 2498, 'user_id': 192384, 'user_type': 'registered', 'accept_rate': 26, 'profile_image': 'https://www.gravatar.com/avatar/06680271f24a980456a26c9d15e434c3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ruslan', 'link': 'https://stackoverflow.com/users/192384/ruslan'}",True,107598,,6,166,1663621226,1332155260,1637827465.0,9769047,CC BY-SA 4.0,https://stackoverflow.com/questions/9769047/nunit-vs-xunit,NUnit vs. xUnit,,,,,,
34,"['c#', 'asp.net', 'visual-studio-2010', 'report', 'rdlc']","{'account_id': 342649, 'reputation': 21006, 'user_id': 673924, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/9e9cf71a089e23378925c9093c39e147?s=256&d=identicon&r=PG', 'display_name': 'jams', 'link': 'https://stackoverflow.com/users/673924/jams'}",False,9783,,2,0,1663538625,1332620567,1495540370.0,9855266,CC BY-SA 3.0,https://stackoverflow.com/questions/9855266/how-to-filter-data-in-rdlc-report,How to filter data in RDLC report?,,,,,,
35,"['c#', 'asp.net', 'web-applications', 'code-behind', 'messagebox']","{'account_id': 1165720, 'reputation': 5471, 'user_id': 1144118, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/b28d5d457a163a7b24e88f4a70e8c8ee?s=256&d=identicon&r=PG', 'display_name': 'Baxter', 'link': 'https://stackoverflow.com/users/1144118/baxter'}",True,376374,9720205.0,13,34,1662394141,1331816152,,9720143,CC BY-SA 3.0,https://stackoverflow.com/questions/9720143/asp-net-web-application-message-box,ASP.NET Web Application Message Box,1453883680.0,,,,,
36,"['c#', 'text-files']","{'account_id': 460118, 'reputation': 6846, 'user_id': 861019, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bfHCf.jpg?s=256&g=1', 'display_name': 'Berker Y&#252;ceer', 'link': 'https://stackoverflow.com/users/861019/berker-y%c3%bcceer'}",True,496725,9907728.0,15,181,1662207252,1332938398,1414762840.0,9907682,CC BY-SA 3.0,https://stackoverflow.com/questions/9907682/create-a-txt-file-if-doesnt-exist-and-if-it-does-append-a-new-line,"Create a .txt file if doesn&#39;t exist, and if it does append a new line",,,,,,
37,"['c#', 'unity3d', 'coroutine']","{'account_id': 1274349, 'reputation': 2199, 'user_id': 1229895, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/9c5140e6ff9b1bf0edb4f5153a56a523?s=256&d=identicon&r=PG', 'display_name': 'user1229895', 'link': 'https://stackoverflow.com/users/1229895/user1229895'}",False,9092,,2,1,1662170840,1331867405,1331877553.0,9731295,CC BY-SA 3.0,https://stackoverflow.com/questions/9731295/hold-or-wait-while-coroutine-finishes, Hold or Wait while Coroutine finishes,,,,,,
38,"['c#', 'html', 'xpath', 'html-select', 'html-agility-pack']","{'account_id': 1335862, 'reputation': 31, 'user_id': 1278641, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/540f6a1f71ae239100858e1669035c77?s=256&d=identicon&r=PG', 'display_name': 'Fatalitos', 'link': 'https://stackoverflow.com/users/1278641/fatalitos'}",True,4704,,3,3,1661967792,1332166149,1661967792.0,9771678,CC BY-SA 4.0,https://stackoverflow.com/questions/9771678/html-agility-pack-option-inner-text,Html Agility Pack - &lt;option&gt; inner text,,,,,,
39,"['c#', 'scala', 'null', 'nullable', 'scala-option']","{'account_id': 91845, 'reputation': 251058, 'user_id': 252000, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/082b8ee2b0aebb430b8d4d98e6a5c32f?s=256&d=identicon&r=PG', 'display_name': 'fredoverflow', 'link': 'https://stackoverflow.com/users/252000/fredoverflow'}",True,642,9754696.0,2,2,1661967745,1332026109,1661967745.0,9754639,,https://stackoverflow.com/questions/9754639/optional-references-types,optional references types,,1332066371.0,exact duplicate,,,
40,"['c#', 'asp.net-mvc', 'asp.net-mvc-4']","{'account_id': 117980, 'reputation': 3676, 'user_id': 308665, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/260c94551a5bc1d858360e09944dbec7?s=256&d=identicon&r=PG', 'display_name': 'JoeGeeky', 'link': 'https://stackoverflow.com/users/308665/joegeeky'}",True,25364,9777069.0,8,13,1661782921,1332183979,1392101699.0,9776312,CC BY-SA 3.0,https://stackoverflow.com/questions/9776312/hidden-form-fields-not-appearing-in-mvc-model-after-post-back,Hidden form fields not appearing in MVC Model after post-back,,,,,,
41,"['c#', 'asp.net', 'printing', 'crystal-reports', 'client-side']","{'account_id': 933506, 'reputation': 1386, 'user_id': 962896, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/2748cff2b03cbbeb4d1c0a37e2a34c30?s=256&d=identicon&r=PG', 'display_name': 'Francisco G', 'link': 'https://stackoverflow.com/users/962896/francisco-g'}",False,14898,,3,0,1661770940,1330628649,1330636997.0,9522314,CC BY-SA 3.0,https://stackoverflow.com/questions/9522314/printing-crystal-report-on-client-side-in-asp-net-c,Printing Crystal Report on Client Side in ASP.NET C#,,,,,,
42,"['c#', 'c#-4.0', 'dynamic', 'reflection', '.net-4.0']","{'account_id': 363690, 'reputation': 3528, 'user_id': 707598, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/f3e68419b0e50187d2e78a2459afb6f9?s=256&d=identicon&r=PG', 'display_name': 'David MZ', 'link': 'https://stackoverflow.com/users/707598/david-mz'}",True,151652,9956981.0,14,156,1661205520,1333203540,1450979055.0,9956648,CC BY-SA 3.0,https://stackoverflow.com/questions/9956648/how-do-i-check-if-a-property-exists-on-a-dynamic-anonymous-type-in-c,How do I check if a property exists on a dynamic anonymous type in c#?,,,,,,
43,"['c#', 'windows-7']","{'account_id': 1004289, 'reputation': 3263, 'user_id': 1018437, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/19d4dfd66bd0fe5ae40ec0fc78ab51c6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rocshy', 'link': 'https://stackoverflow.com/users/1018437/rocshy'}",True,5215,9767958.0,5,2,1661176509,1332149016,1661176509.0,9767629,CC BY-SA 4.0,https://stackoverflow.com/questions/9767629/delete-folder-that-contains-thumbs-db,Delete folder that contains thumbs.db,,,,,,
44,"['c#', '.net', 'image', 'pattern-recognition', 'aforge']","{'account_id': 1148529, 'reputation': 6258, 'user_id': 1130760, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/f03f8c8bce1fb8cfb7e6cdc213c3b3b5?s=256&d=identicon&r=PG', 'display_name': 'bbedward', 'link': 'https://stackoverflow.com/users/1130760/bbedward'}",False,10310,,1,9,1660946820,1332274423,1543079496.0,9794196,CC BY-SA 4.0,https://stackoverflow.com/questions/9794196/white-blob-detection,White blob detection,,,,,,
45,"['c#', '.net', 'system.drawing', 'drawstring']","{'account_id': 252755, 'reputation': 1120, 'user_id': 531014, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://i.stack.imgur.com/ZtHc2.jpg?s=256&g=1', 'display_name': 'Kishan Gajjar', 'link': 'https://stackoverflow.com/users/531014/kishan-gajjar'}",True,3689,9736210.0,2,3,1660930784,1331893501,1331899727.0,9735549,CC BY-SA 3.0,https://stackoverflow.com/questions/9735549/write-text-on-image-specified-width,Write Text on Image ( Specified width ),,,,,,
46,"['c#', 'powershell', 'filepath', 'powershell-cmdlet']","{'account_id': 46897, 'reputation': 6453, 'user_id': 138757, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/9Lv4J.png?s=256&g=1', 'display_name': 'Phil', 'link': 'https://stackoverflow.com/users/138757/phil'}",True,2276,9964696.0,6,2,1660676746,1332962068,,9914173,CC BY-SA 3.0,https://stackoverflow.com/questions/9914173/powershell-cmdlet-determine-actual-filepath-of-file-in-local-directory,Powershell Cmdlet: Determine actual filepath of file in local directory,,,,,,
