,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,bounty_amount,bounty_closes_date,closed_date,closed_reason,protected_date
10,"['typescript', 'vite', 'vitest']","{'account_id': 1348581, 'reputation': 4264, 'user_id': 9242225, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/084d353933084ad0d1266529dfd72b29?s=256&d=identicon&r=PG', 'display_name': 'WillD', 'link': 'https://stackoverflow.com/users/9242225/willd'}",True,4959,72149404.0,3,13,1668555020,1651864337,,72146352,CC BY-SA 4.0,https://stackoverflow.com/questions/72146352/vitest-defineconfig-test-does-not-exist-in-type-userconfigexport,"Vitest defineConfig, &#39;test&#39; does not exist in type &#39;UserConfigExport&#39;",,,,,
11,"['angular', 'typescript', 'npm']","{'account_id': 10734227, 'reputation': 339, 'user_id': 7899320, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/457b19c70ab5d789e668ef0574f8ccb5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Fernando', 'link': 'https://stackoverflow.com/users/7899320/fernando'}",False,348,,1,3,1668496680,1652071232,,72167061,CC BY-SA 4.0,https://stackoverflow.com/questions/72167061/how-to-implement-the-following-voice-recording-library-in-angular-latest-version,How to implement the following voice recording library in angular latest version?,,,,,
12,"['javascript', 'typescript', 'webrtc', 'phone-call', 'jssip']","{'account_id': 21680926, 'reputation': 1, 'user_id': 15997043, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f59dadfddc171c6ddc6affd23cd955cc?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yaokaoya', 'link': 'https://stackoverflow.com/users/15997043/yaokaoya'}",False,193,,1,0,1668448872,1652630342,,72249928,CC BY-SA 4.0,https://stackoverflow.com/questions/72249928/jssip-how-to-detect-call-transfer-successfullly,JsSIP How to detect call transfer successfullly,,,,,
13,"['node.js', 'angular', 'typescript', 'frontend']","{'account_id': 19254452, 'reputation': 19, 'user_id': 14071708, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-rPSfRQ36dL8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnXn22oyrANpm_bJe29HFIOzPQWTA/photo.jpg?sz=256', 'display_name': 'skander lassoued', 'link': 'https://stackoverflow.com/users/14071708/skander-lassoued'}",True,44,72409022.0,1,-1,1668443246,1653671891,1668443246.0,72408969,,https://stackoverflow.com/questions/72408969/how-to-loop-through-an-array-of-objects-using-ngfor,How to loop through an array of objects using *ngFor,,,1653708714.0,Not suitable for this site,
14,"['typescript', 'react-redux', 'redux-toolkit']","{'account_id': 25302775, 'reputation': 61, 'user_id': 19126793, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3ca3b3bd0a9570f710772901144b66b2?s=256&d=identicon&r=PG', 'display_name': 'Huy282002', 'link': 'https://stackoverflow.com/users/19126793/huy282002'}",True,1283,72324448.0,4,5,1668317205,1652704631,1668317205.0,72259324,CC BY-SA 4.0,https://stackoverflow.com/questions/72259324/parameter-state-implicitly-has-an-any-type-error-when-using-redux-toolkit-wi,Parameter &#39;state&#39; implicitly has an &#39;any&#39; type error when using redux toolkit with typescript,,,,,
15,"['reactjs', 'typescript', 'image', 'file', 'react-hooks']","{'account_id': 10038131, 'reputation': 788, 'user_id': 7421972, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://lh5.googleusercontent.com/-1MCGQL-V1bs/AAAAAAAAAAI/AAAAAAAAABU/0wnuZBCHMvA/photo.jpg?sz=256', 'display_name': 'TIshow', 'link': 'https://stackoverflow.com/users/7421972/tishow'}",True,98,72199546.0,1,0,1668065609,1652262668,1652280462.0,72198930,CC BY-SA 4.0,https://stackoverflow.com/questions/72198930/preview-file-before-uploading-in-proper-way-reacttypescript,Preview File before uploading in proper way.(React&amp;Typescript),,,,,
16,"['node.js', 'typescript', 'express', 'middleware', 'ts-jest']","{'account_id': 22695241, 'reputation': 15, 'user_id': 19034014, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0b453d457b9db1feaaec52c978eeb6cb?s=256&d=identicon&r=PG&f=1', 'display_name': 'izakVoigt', 'link': 'https://stackoverflow.com/users/19034014/izakvoigt'}",True,533,72114522.0,1,1,1668001814,1651673393,1668001814.0,72114434,CC BY-SA 4.0,https://stackoverflow.com/questions/72114434/jest-error-type-error-res-status-is-not-a-function,Jest error: Type error: res.status is not a function,,,,,
17,"['typescript', 'dependency-injection', 'lerna', 'typedi']","{'account_id': 7189291, 'reputation': 47, 'user_id': 5490226, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7220b612f46ac8b7d6f1c3a4a3090ee4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dystar', 'link': 'https://stackoverflow.com/users/5490226/dystar'}",False,213,,0,0,1667974769,1652271688,,72200984,CC BY-SA 4.0,https://stackoverflow.com/questions/72200984/typedi-not-detecting-services-from-local-external-package,TypeDI not detecting Services from local external package,,,,,
18,"['typescript', 'visual-studio-code', 'vscode-extensions']","{'account_id': 5959111, 'reputation': 16559, 'user_id': 4684797, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/QASBU.jpg?s=256&g=1', 'display_name': 'Black', 'link': 'https://stackoverflow.com/users/4684797/black'}",False,104,,1,0,1667941085,1651670745,1651671171.0,72113739,CC BY-SA 4.0,https://stackoverflow.com/questions/72113739/visual-studio-code-add-multiple-commands,Visual Studio Code - Add multiple commands,,,,,
19,"['reactjs', 'typescript', 'firebase', 'firebase-authentication']","{'account_id': 17832952, 'reputation': 111, 'user_id': 12952549, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/kuB5h.jpg?s=256&g=1', 'display_name': 'levensta', 'link': 'https://stackoverflow.com/users/12952549/levensta'}",False,647,,2,2,1667822946,1651858330,1651860453.0,72145390,CC BY-SA 4.0,https://stackoverflow.com/questions/72145390/property-accesstoken-does-not-exist-on-type-user-firebase-is-not-defined,Property &#39;accessToken&#39; does not exist on type &#39;User&#39; &amp;&amp; firebase is not defined,,,,,
20,"['javascript', 'reactjs', 'typescript']","{'account_id': 23947694, 'reputation': 327, 'user_id': 17939803, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/GR3pf.jpg?s=256&g=1', 'display_name': 'Julia Schafer', 'link': 'https://stackoverflow.com/users/17939803/julia-schafer'}",True,5196,72410674.0,6,2,1667689424,1653680750,1654001956.0,72410388,CC BY-SA 4.0,https://stackoverflow.com/questions/72410388/how-can-i-use-refresh-token-in-react,How can I use refresh token in react,,,,,
21,"['typescript', 'nestjs']","{'account_id': 10560058, 'reputation': 2551, 'user_id': 7780102, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-5m76mUpjKl8/AAAAAAAAAAI/AAAAAAAAAAo/eJDzYmeFs_c/photo.jpg?sz=256', 'display_name': 'Digvijay', 'link': 'https://stackoverflow.com/users/7780102/digvijay'}",True,340,,2,0,1667678867,1653476335,1667678867.0,72376375,CC BY-SA 4.0,https://stackoverflow.com/questions/72376375/how-to-access-the-method-defined-in-one-class-to-another-class-in-typescript,How to access the method defined in one class to another class in TypeScript,,,,,
22,['typescript'],"{'account_id': 21966662, 'reputation': 399, 'user_id': 16474209, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4378177a335dcbeaf21d1eb66cba3a9b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Josh', 'link': 'https://stackoverflow.com/users/16474209/josh'}",True,180,74321824.0,1,1,1667588445,1652180861,,72185262,CC BY-SA 4.0,https://stackoverflow.com/questions/72185262/overwrite-type-definitions-for-alias-const-in-typescript,Overwrite type definitions for (alias) const in TypeScript,,,,,
23,"['typescript', 'webpack', 'animejs']","{'account_id': 13817844, 'reputation': 11, 'user_id': 9974064, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6f85577e49a99595bdaddf0264dbf9a8?s=256&d=identicon&r=PG&f=1', 'display_name': 'mouseDown', 'link': 'https://stackoverflow.com/users/9974064/mousedown'}",False,395,,1,1,1667526608,1653655570,1653672529.0,72405668,CC BY-SA 4.0,https://stackoverflow.com/questions/72405668/cant-get-animejs-library-to-work-in-my-typescript-webpack-project,Can&#39;t get Animejs library to work in my typescript &amp; webpack project,,,,,
24,"['typescript', 'svelte']","{'account_id': 337675, 'reputation': 9369, 'user_id': 666079, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://i.stack.imgur.com/eePvq.jpg?s=256&g=1', 'display_name': 'Mike Hogan', 'link': 'https://stackoverflow.com/users/666079/mike-hogan'}",True,629,72340285.0,2,3,1667427459,1653239833,,72339759,CC BY-SA 4.0,https://stackoverflow.com/questions/72339759/right-typescript-type-for-onchange-handler-in-svelte,Right Typescript type for on:change handler in Svelte,,,,,
25,"['c#', 'angular', 'typescript', 'types', 'kentico']","{'account_id': 25282225, 'reputation': 31, 'user_id': 19109904, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjfQojTZy4Y08biFWq7XsAvdOaf0R-WO_oyjlmk3Ss=k-s256', 'display_name': 'Dejan Cancar', 'link': 'https://stackoverflow.com/users/19109904/dejan-cancar'}",True,1022,,2,2,1667329130,1652703630,1652796565.0,72259122,CC BY-SA 4.0,https://stackoverflow.com/questions/72259122/how-do-i-fix-a-rebuild-typescript-error-types-node,How do I fix a rebuild TypeScript Error @types/node,,,,,
26,"['javascript', 'reactjs', 'typescript', 'azure-devops', 'material-ui']","{'account_id': 21128644, 'reputation': 39, 'user_id': 15533484, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0fcca3e788f6cd2562160d98d52b69b7?s=256&d=identicon&r=PG&f=1', 'display_name': 'AppSupportGuru1995', 'link': 'https://stackoverflow.com/users/15533484/appsupportguru1995'}",True,126,72351464.0,3,2,1667321033,1653073655,,72323772,CC BY-SA 4.0,https://stackoverflow.com/questions/72323772/devops-typescript-build-issue-with-material-ui-box-element,DevOps Typescript Build Issue with Material Ui Box Element,,,,,
27,"['javascript', 'typescript', 'jestjs']","{'account_id': 10094643, 'reputation': 2547, 'user_id': 7460467, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/a1b029d7797f40f5be6056fa1ae640f2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jimmy', 'link': 'https://stackoverflow.com/users/7460467/jimmy'}",True,455,72092358.0,2,0,1667252175,1651514362,1651527305.0,72090566,CC BY-SA 4.0,https://stackoverflow.com/questions/72090566/mocking-a-default-export-function-with-jest-typeerror-0-samplefunction-de,"Mocking a default export function with Jest: TypeError: (0 , _sampleFunction).default is not a function",,,,,
28,"['typescript', 'jestjs']","{'account_id': 5239196, 'reputation': 2440, 'user_id': 4186830, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://i.stack.imgur.com/XzkSz.png?s=256&g=1', 'display_name': 'GThree', 'link': 'https://stackoverflow.com/users/4186830/gthree'}",False,258,,1,0,1667214949,1652892937,,72293176,CC BY-SA 4.0,https://stackoverflow.com/questions/72293176/how-to-mock-global-variable-in-jest-test,How to mock global variable in Jest test?,,,,,
29,"['reactjs', 'typescript', 'material-ui', 'datagrid', 'line-breaks']","{'account_id': 20684514, 'reputation': 163, 'user_id': 15187273, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/41d5120ab8b66748763202c8c9fe845e?s=256&d=identicon&r=PG&f=1', 'display_name': 'gjs', 'link': 'https://stackoverflow.com/users/15187273/gjs'}",True,1543,,3,4,1667212038,1651623759,,72106717,CC BY-SA 4.0,https://stackoverflow.com/questions/72106717/react-mui-datagrid-insert-line-break-when-text-inside-row-hits-max-width,React Mui DataGrid - insert line break when text inside row hits max width,,,,,
30,"['typescript', 'web-component', 'custom-element', 'lit-element', 'lit']","{'account_id': 2674955, 'reputation': 9641, 'user_id': 2311557, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://i.stack.imgur.com/KOoOQ.png?s=256&g=1', 'display_name': 'codepleb', 'link': 'https://stackoverflow.com/users/2311557/codepleb'}",False,89,,1,2,1666989331,1652447876,,72230228,CC BY-SA 4.0,https://stackoverflow.com/questions/72230228/what-is-the-right-way-to-nest-components,What is the &quot;right&quot; way to nest components?,,,,,
31,"['typescript', 'next.js', 'sanity']","{'account_id': 21280751, 'reputation': 103, 'user_id': 15659211, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ggd84C9tF3mYcEQnC2UvRMzIVVdr7zi83oKwrAo=k-s256', 'display_name': 'Mohammad Miskatur Rahman', 'link': 'https://stackoverflow.com/users/15659211/mohammad-miskatur-rahman'}",False,182,,0,0,1666877133,1651440684,,72080556,CC BY-SA 4.0,https://stackoverflow.com/questions/72080556/fetch-object-type-data-from-sanity-cms,fetch &#39;Object&#39; type data from sanity CMS,,,,,
32,"['reactjs', 'typescript', 'error-handling', 'react-query']","{'account_id': 22531462, 'reputation': 169, 'user_id': 16723433, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwWh8PWGUltYzLS9jjTWb6xWqJTTf9C001L943E=k-s256', 'display_name': 'Hazem Ben Abdelhafidh', 'link': 'https://stackoverflow.com/users/16723433/hazem-ben-abdelhafidh'}",True,3830,72373622.0,2,8,1666716561,1653061671,,72321623,CC BY-SA 4.0,https://stackoverflow.com/questions/72321623/whats-the-type-of-react-querys-error-and-how-to-handle-different-cases,What&#39;s the type of React Query&#39;s Error and how to handle different cases?,,,,,
33,"['node.js', 'typescript', 'postgresql', 'mikro-orm', 'postgresql-14']","{'account_id': 18441635, 'reputation': 101, 'user_id': 14636031, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/D9h19.jpg?s=256&g=1', 'display_name': 'Olivia', 'link': 'https://stackoverflow.com/users/14636031/olivia'}",True,388,72189938.0,2,0,1666608492,1652199405,,72189798,CC BY-SA 4.0,https://stackoverflow.com/questions/72189798/issue-in-creating-a-class-instance-using-mikro-orm-and-typescript-and-inserting,Issue in creating a class instance using mikro-orm and typescript and inserting into postgresql database,,,,,
34,"['javascript', 'reactjs', 'typescript', 'react-hooks', 'use-ref']","{'account_id': 25180083, 'reputation': 1, 'user_id': 19021686, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3f4a655f017c4bd2e6126b55c7abe9c0?s=256&d=identicon&r=PG', 'display_name': 'Francisldn', 'link': 'https://stackoverflow.com/users/19021686/francisldn'}",False,122,,1,0,1666355892,1651560746,1651580050.0,72095723,CC BY-SA 4.0,https://stackoverflow.com/questions/72095723/problem-with-using-useref-to-add-csstext-in-typescript,Problem with using useRef to add cssText in Typescript,,,,,
35,"['html', 'angular', 'typescript', 'angular-material']","{'account_id': 25207367, 'reputation': 1, 'user_id': 19045506, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3168b9e03d92569d008a103059487099?s=256&d=identicon&r=PG', 'display_name': 'user19045506', 'link': 'https://stackoverflow.com/users/19045506/user19045506'}",False,399,,1,0,1666337392,1651772517,,72131496,CC BY-SA 4.0,https://stackoverflow.com/questions/72131496/panelclass-for-matdialogconfig-is-being-added-to-the-wrong-element-how-can-i-re,PanelClass for MatDialogConfig is being added to the wrong element. How can I resolve this?,,,,,
36,"['javascript', 'typescript', 'ag-grid', 'ag-grid-react']","{'account_id': 25088286, 'reputation': 21, 'user_id': 18940230, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/07b58bd906cb9effc232c1c0e354950e?s=256&d=identicon&r=PG', 'display_name': 'J Priyadarshi', 'link': 'https://stackoverflow.com/users/18940230/j-priyadarshi'}",False,211,,2,1,1666182932,1652286411,,72204519,CC BY-SA 4.0,https://stackoverflow.com/questions/72204519/ag-grid-auto-complete-cell-editor-doesnt-work-on-enterprise-version,ag grid auto complete cell editor doesn&#39;t work on enterprise version,,,,,
37,"['typescript', 'vite', 'fs-extra']","{'account_id': 20451218, 'reputation': 88, 'user_id': 15005949, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/n1pge.png?s=256&g=1', 'display_name': '8BitSoda', 'link': 'https://stackoverflow.com/users/15005949/8bitsoda'}",True,7185,,3,3,1666169118,1651674774,,72114775,CC BY-SA 4.0,https://stackoverflow.com/questions/72114775/vite-global-is-not-defined,Vite &#39;global is not defined&#39;,,,,,
38,"['node.js', 'typescript', 'eslint']","{'account_id': 14592125, 'reputation': 818, 'user_id': 10538907, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/xwYYj.jpg?s=256&g=1', 'display_name': 'Ayesha Iftikhar', 'link': 'https://stackoverflow.com/users/10538907/ayesha-iftikhar'}",False,447,,1,2,1666116503,1653641242,,72402806,CC BY-SA 4.0,https://stackoverflow.com/questions/72402806/why-is-eslint-throwing-error-for-d-ts-files-in-my-node-project,Why is eslint throwing error for .d.ts files in my node project,,,,,
39,"['typescript', 'socket.io']","{'account_id': 25157285, 'reputation': 41, 'user_id': 19001956, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJw_iGN1NNfYxu9U7DuT9eyn00yKFfdwe-kulTo6=k-s256', 'display_name': 'tt oo', 'link': 'https://stackoverflow.com/users/19001956/tt-oo'}",False,229,,1,4,1666010190,1651340436,1652854790.0,72070762,CC BY-SA 4.0,https://stackoverflow.com/questions/72070762/how-to-define-types-of-the-auth-properties-in-socket-io-client,How to define types of the auth properties in socket.io-client,,,,,
40,"['typescript', 'fp-ts']","{'account_id': 9842779, 'reputation': 3290, 'user_id': 7291317, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-H--TJK0x4HY/AAAAAAAAAAI/AAAAAAAAACI/ABDM2fYYCBU/photo.jpg?sz=256', 'display_name': 'Roman Mahotskyi', 'link': 'https://stackoverflow.com/users/7291317/roman-mahotskyi'}",True,125,72420810.0,2,3,1665971046,1653761497,1653797367.0,72418173,CC BY-SA 4.0,https://stackoverflow.com/questions/72418173/what-is-the-difference-between-option-and-optiont,What is the difference between Option and OptionT?,,,,,
41,"['javascript', 'node.js', 'typescript', 'node-modules', 'package.json']","{'account_id': 24745992, 'reputation': 11, 'user_id': 18632157, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e52678637a28531ff6ca025d62194706?s=256&d=identicon&r=PG', 'display_name': 'Bamil Kednarek', 'link': 'https://stackoverflow.com/users/18632157/bamil-kednarek'}",False,48,,0,0,1665840062,1653996043,,72446871,CC BY-SA 4.0,https://stackoverflow.com/questions/72446871/cannot-install-any-dependency-cause-by-timeout,Cannot install any dependency cause by TIMEOUT,,,,,
42,"['typescript', 'material-ui']","{'account_id': 2804019, 'reputation': 67, 'user_id': 2411628, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8fa6b76ec140d3d6cd8942133a5825b8?s=256&d=identicon&r=PG', 'display_name': 'user2411628', 'link': 'https://stackoverflow.com/users/2411628/user2411628'}",True,1243,72155214.0,2,0,1665821310,1651759593,,72128567,CC BY-SA 4.0,https://stackoverflow.com/questions/72128567/mui-5-sx-typescript-error-when-spreading-values-in-prop,MUI 5 SX Typescript error when spreading values in prop,,,,,
43,"['javascript', 'reactjs', 'typescript', 'next.js']","{'account_id': 15652440, 'reputation': 129, 'user_id': 11293581, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3eccc76ef6b675faf9c9c75e9ba3e398?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jantoma21', 'link': 'https://stackoverflow.com/users/11293581/jantoma21'}",False,1453,,0,1,1665818290,1652383092,1652383422.0,72221040,CC BY-SA 4.0,https://stackoverflow.com/questions/72221040/next-js-cannot-use-import-statement-outside-a-module,Next js: Cannot use import statement outside a module,,,,,
44,"['javascript', 'reactjs', 'typescript', 'react-native', 'react-hooks']","{'account_id': 15828101, 'reputation': 1, 'user_id': 19134653, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-O-sad7z1ja8/AAAAAAAAAAI/AAAAAAAAEz8/DSfoRnVMHz8/photo.jpg?sz=256', 'display_name': 'Mus ', 'link': 'https://stackoverflow.com/users/19134653/mus'}",False,35,,1,0,1665714867,1652781077,,72271792,CC BY-SA 4.0,https://stackoverflow.com/questions/72271792/how-to-find-layout-position-of-footer-within-flatlist-in-react-native,How to find layout position of footer within FlatList in React Native?,,,,,
45,"['typescript', 'aws-cdk']","{'account_id': 13565139, 'reputation': 331, 'user_id': 9785462, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/j2pWO.jpg?s=256&g=1', 'display_name': 'Yang Liu', 'link': 'https://stackoverflow.com/users/9785462/yang-liu'}",False,296,,1,0,1665680478,1651958653,,72156462,CC BY-SA 4.0,https://stackoverflow.com/questions/72156462/cdk-synth-cannot-find-module,cdk synth: Cannot find module,,,,,
46,"['typescript', 'vue.js', 'jestjs', 'vuejs3']","{'account_id': 15183665, 'reputation': 149, 'user_id': 10956303, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-RwmVTiwTSOE/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQNJDj-yBsNyEuQjXF9RWtxkWkicFQ/mo/photo.jpg?sz=256', 'display_name': 'Jonathan Aurry', 'link': 'https://stackoverflow.com/users/10956303/jonathan-aurry'}",False,529,,1,2,1665667995,1653914243,,72434465,CC BY-SA 4.0,https://stackoverflow.com/questions/72434465/vue-3-with-script-setup-typescript-gives-error-2307-cannot-find-module,Vue 3 with script setup + typescript gives error 2307 Cannot find module,,,,,
