,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason,locked_date
10,['typescript'],"{'account_id': 294559, 'reputation': 11345, 'user_id': 1022330, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://i.stack.imgur.com/sfSrX.png?s=256&g=1', 'display_name': 'Oliver Watkins', 'link': 'https://stackoverflow.com/users/1022330/oliver-watkins'}",False,6335,1,9,1667508822,1605099754,64786970,CC BY-SA 4.0,https://stackoverflow.com/questions/64786970/const-initializer-in-an-ambient-context-must-be-a-string-or-numeric-literal,&#39;const&#39; initializer in an ambient context must be a string or numeric literal,,,,,,
11,"['node.js', 'typescript', 'graphql', 'nestjs', 'typeorm']","{'account_id': 8501478, 'reputation': 255, 'user_id': 6374280, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://lh3.googleusercontent.com/-6SHEFbY00Tk/AAAAAAAAAAI/AAAAAAAAH58/EmKt5BlznVE/photo.jpg?sz=256', 'display_name': 'Ivan Sim', 'link': 'https://stackoverflow.com/users/6374280/ivan-sim'}",True,6520,3,0,1667240157,1604830426,64736891,CC BY-SA 4.0,https://stackoverflow.com/questions/64736891/error-cannot-determine-a-graphql-input-type-while-using-nestjs-graphql-typ,"Error: Cannot determine a GraphQL input type, while using Nestjs + Graphql + Typeorm",,1604831403.0,,,,
12,"['node.js', 'typescript', 'express', 'socket.io']","{'account_id': 1667979, 'reputation': 118, 'user_id': 1535018, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/0afc2241d93b69fef79efb3c86c7a84e?s=256&d=identicon&r=PG', 'display_name': 'Noah Wallace', 'link': 'https://stackoverflow.com/users/1535018/noah-wallace'}",False,1101,2,1,1667219920,1605225661,64813612,CC BY-SA 4.0,https://stackoverflow.com/questions/64813612/basic-express-and-socket-io-connect-issue,Basic Express and socket.io connect issue,,,,,,
13,"['typescript', 'enums']","{'account_id': 1566412, 'reputation': 5950, 'user_id': 1455108, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/zaRtd.jpg?s=256&g=1', 'display_name': 'Jo&#227;o Paulo', 'link': 'https://stackoverflow.com/users/1455108/jo%c3%a3o-paulo'}",True,1653,1,4,1666802047,1604854499,64740709,CC BY-SA 4.0,https://stackoverflow.com/questions/64740709/use-computed-values-on-enums,Use computed values on enums,64740836.0,,,,,
14,"['typescript', 'vue.js', 'vuex', 'vuejs3', 'vue-composition-api']","{'account_id': 3854821, 'reputation': 659, 'user_id': 3194042, 'user_type': 'registered', 'accept_rate': 24, 'profile_image': 'https://www.gravatar.com/avatar/aea5445a6a8568affaf3d94ef8435cb0?s=256&d=identicon&r=PG', 'display_name': 'chindit', 'link': 'https://stackoverflow.com/users/3194042/chindit'}",True,33225,7,34,1666773115,1605338488,64831745,CC BY-SA 4.0,https://stackoverflow.com/questions/64831745/props-typing-in-vue-js-3-with-typescript,Props typing in Vue.js 3 with TypeScript,,1642189302.0,1658764339.0,,,
15,"['reactjs', 'typescript']","{'account_id': 18849898, 'reputation': 669, 'user_id': 13749290, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gi-BLxQZtFd_XuRA7njataNH2tCcu1KLnK7qwG-4w=k-s256', 'display_name': 'Arsh Sharma', 'link': 'https://stackoverflow.com/users/13749290/arsh-sharma'}",True,6080,2,1,1666717631,1604415678,64665337,CC BY-SA 4.0,https://stackoverflow.com/questions/64665337/object-is-of-type-unknown-error-when-using-typescript-with-react,Object is of type unknown error when using Typescript with React,64665768.0,,,,,
16,['typescript'],"{'account_id': 513896, 'reputation': 4981, 'user_id': 2093785, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0fd2f4b2767debd3902d8ad59c38fc16?s=256&d=identicon&r=PG', 'display_name': 'RazerM', 'link': 'https://stackoverflow.com/users/2093785/razerm'}",True,54,1,1,1666615073,1606310709,65005590,CC BY-SA 4.0,https://stackoverflow.com/questions/65005590/type-checking-key-of-nested-mapped-type,Type checking key of nested mapped type,74176585.0,1666615073.0,,,,
17,"['typescript', 'react-native', 'import']","{'account_id': 13358093, 'reputation': 97, 'user_id': 9641006, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-h6tr1cFDDXs/AAAAAAAAAAI/AAAAAAAAABQ/VLli3V-hc8A/photo.jpg?sz=256', 'display_name': 'Edoardo Trotta', 'link': 'https://stackoverflow.com/users/9641006/edoardo-trotta'}",False,975,1,1,1666603252,1605013768,64769551,CC BY-SA 4.0,https://stackoverflow.com/questions/64769551/pattern-components-can-have-at-most-one-character,Pattern &#39;components/*/*&#39; can have at most one &#39;*&#39; character,,1605016157.0,,,,
18,"['typescript', 'vuejs3']","{'account_id': 5278912, 'reputation': 2576, 'user_id': 4214922, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://i.stack.imgur.com/faTXO.jpg?s=256&g=1', 'display_name': 'anonymous-dev', 'link': 'https://stackoverflow.com/users/4214922/anonymous-dev'}",True,50485,17,26,1666519415,1605571481,64867504,CC BY-SA 4.0,https://stackoverflow.com/questions/64867504/vue-3-the-template-root-requires-exactly-one-element-eslint-plugin-vue,Vue 3 The template root requires exactly one element. eslint-plugin-vue,64901711.0,1636270002.0,,,,
19,"['node.js', 'angular', 'typescript', 'npm', 'sheetjs']","{'account_id': 1376839, 'reputation': 813, 'user_id': 8636516, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6b4db0993772924fd3c4ee0a74b88d0f?s=256&d=identicon&r=PG&f=1', 'display_name': 'harkesh kumar', 'link': 'https://stackoverflow.com/users/8636516/harkesh-kumar'}",True,13818,1,1,1666378824,1605612795,64874466,CC BY-SA 4.0,https://stackoverflow.com/questions/64874466/cannot-find-module-xlsx,Cannot find module &#39;xlsx&#39;,74114589.0,1605621306.0,,,,
20,"['javascript', 'typescript', 'webpack', 'ts-loader']","{'account_id': 5245762, 'reputation': 71, 'user_id': 4191553, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-gx_QoRcNunM/AAAAAAAAAAI/AAAAAAAAADk/zTdULlbFM4M/photo.jpg?sz=256', 'display_name': 'amosq', 'link': 'https://stackoverflow.com/users/4191553/amosq'}",True,1204,2,3,1666218675,1605147362,64796952,CC BY-SA 4.0,https://stackoverflow.com/questions/64796952/webpack-ts-loader-import-with-js-extension-not-resolving,Webpack/ts-loader import with .js extension not resolving,69050859.0,,,,,
21,"['typescript', 'jestjs', 'fetch']","{'account_id': 241, 'reputation': 11051, 'user_id': 298, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/e6054cea1b47ef9f971543b9857c38e3?s=256&d=identicon&r=PG', 'display_name': 'Riri', 'link': 'https://stackoverflow.com/users/298/riri'}",True,12918,3,16,1666196874,1605259130,64818305,CC BY-SA 4.0,https://stackoverflow.com/questions/64818305/simple-fetch-mock-using-typescript-and-jest,Simple fetch mock using Typescript and Jest,64819545.0,1605263865.0,,,,
22,"['javascript', 'reactjs', 'typescript', 'next.js']","{'account_id': 58551, 'reputation': 11981, 'user_id': 175250, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/69ae95a978dcc6e37c2c66e215af9d37?s=256&d=identicon&r=PG&f=1', 'display_name': 'Citizen', 'link': 'https://stackoverflow.com/users/175250/citizen'}",True,23641,6,42,1666185891,1604704652,64722812,CC BY-SA 4.0,https://stackoverflow.com/questions/64722812/what-typescript-type-should-nextjs-app-tsx-component-and-pageprops-be,What TypeScript type should NextJS _app.tsx Component and pageProps be?,64722865.0,1604705025.0,,,,
23,"['reactjs', 'typescript', 'react-hooks']","{'account_id': 18021756, 'reputation': 115, 'user_id': 13098781, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/24019b2ed38a95c88d9a0259a3c7f23e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tigran', 'link': 'https://stackoverflow.com/users/13098781/tigran'}",True,13937,3,9,1665780796,1606485615,65038611,CC BY-SA 4.0,https://stackoverflow.com/questions/65038611/type-mutablerefobjecthtmlinputelement-undefined-is-not-assignable-to-type,Type &#39;MutableRefObject&lt;HTMLInputElement | undefined&gt;&#39; is not assignable to type &#39;string | ((instance: HTMLInputElement | null) =&gt; void),65039281.0,1606667606.0,,,,
24,"['javascript', 'node.js', 'typescript', 'fs']","{'account_id': 13484086, 'reputation': 921, 'user_id': 9728387, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-ooZw9NCVQ08/AAAAAAAAAAI/AAAAAAAACI4/XEpUEwNAZM4/photo.jpg?sz=256', 'display_name': 'Rahul Sharma', 'link': 'https://stackoverflow.com/users/9728387/rahul-sharma'}",True,52264,5,38,1665598638,1604732271,64725249,CC BY-SA 4.0,https://stackoverflow.com/questions/64725249/fs-promises-api-in-typescript-not-compiling-in-javascript-correctly,fs/promises api in typescript not compiling in javascript correctly,65231800.0,1604742879.0,,,,
25,"['javascript', 'node.js', 'typescript', 'promise']","{'account_id': 4320042, 'reputation': 7395, 'user_id': 3528590, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://i.stack.imgur.com/MURuw.jpg?s=256&g=1', 'display_name': 'Stretch0', 'link': 'https://stackoverflow.com/users/3528590/stretch0'}",True,20575,6,19,1664570579,1605869775,64928212,CC BY-SA 4.0,https://stackoverflow.com/questions/64928212/how-to-use-promise-allsettled-with-typescript,How to use promise.allSettled with typescript?,64928886.0,1605870139.0,,,,
26,"['typescript', 'typing']","{'account_id': 938603, 'reputation': 2206, 'user_id': 967091, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://i.stack.imgur.com/uTHvc.png?s=256&g=1', 'display_name': 'Forseti', 'link': 'https://stackoverflow.com/users/967091/forseti'}",True,66,1,0,1664479437,1605367254,64835429,CC BY-SA 4.0,https://stackoverflow.com/questions/64835429/setting-object-fields-in-a-loop-in-typescript,Setting object fields in a loop in TypeScript,73900687.0,1605387600.0,,,,
27,"['javascript', 'node.js', 'typescript', 'express', 'typescript-typings']","{'account_id': 15197365, 'reputation': 43, 'user_id': 10966302, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/--_6HChcx_qo/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQMuufN5lom9d2ujFJMBMTFupee5GA/mo/photo.jpg?sz=256', 'display_name': 'lobs', 'link': 'https://stackoverflow.com/users/10966302/lobs'}",True,2050,2,4,1664432859,1604395724,64660055,CC BY-SA 4.0,https://stackoverflow.com/questions/64660055/build-failed-because-of-no-export-of-parsedqs-from-express-serve-static-core,Build failed because of no export of ParsedQs from express-serve-static-core,,,,,,
28,['typescript'],"{'account_id': 6070778, 'reputation': 3091, 'user_id': 4739687, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/tzpek.jpg?s=256&g=1', 'display_name': 'Andrew Stegmaier', 'link': 'https://stackoverflow.com/users/4739687/andrew-stegmaier'}",True,43,2,0,1664287925,1606009136,64949865,CC BY-SA 4.0,https://stackoverflow.com/questions/64949865/is-it-possible-to-constrain-the-values-of-an-object-literal-while-still-being-ab,Is it possible to constrain the values of an object literal while still being able to infer the exact keys of that object later?,73869072.0,1606010693.0,,,,
29,"['javascript', 'typescript', 'jsdoc']","{'account_id': 136917, 'reputation': 95554, 'user_id': 340760, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/ef1a0f00d57917768acdc5b379ca1b28?s=256&d=identicon&r=PG', 'display_name': 'BrunoLM', 'link': 'https://stackoverflow.com/users/340760/brunolm'}",True,982,2,-4,1664196699,1605708423,64894676,CC BY-SA 4.0,https://stackoverflow.com/questions/64894676/how-to-unwrap-a-promise-in-a-jsdoc-type-with-returntype,How to unwrap a promise in a JSDoc type with ReturnType?,73854434.0,1606143304.0,,,,
30,"['typescript', 'overloading']","{'account_id': 16279029, 'reputation': 1071, 'user_id': 11755515, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a8032debaba1077d021aad617de023ec?s=256&d=identicon&r=PG&f=1', 'display_name': 'csb00', 'link': 'https://stackoverflow.com/users/11755515/csb00'}",True,4397,3,5,1663796096,1604857558,64741234,CC BY-SA 4.0,https://stackoverflow.com/questions/64741234/function-overloading-in-typescript-vs-using-a-union-type,Function Overloading in TypeScript vs Using a Union Type,64742480.0,,,,,
31,"['reactjs', 'typescript']","{'account_id': 17568055, 'reputation': 616, 'user_id': 12744347, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-CIs9ycdxT10/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcGyU722Lv77XYAFrC3sC3p5HmfZQ/photo.jpg?sz=256', 'display_name': 'T&#246;lz', 'link': 'https://stackoverflow.com/users/12744347/t%c3%b6lz'}",True,11724,3,10,1663113295,1604763904,64729482,CC BY-SA 4.0,https://stackoverflow.com/questions/64729482/typescript-usestate-setstate-in-child-with-argument,Typescript useState: SetState in Child with argument,64729581.0,,,,,
32,"['javascript', 'typescript', 'asynchronous', 'browser']","{'account_id': 6530848, 'reputation': 497, 'user_id': 11817030, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ac9cabb200d68748b5b817ff1a169f4d?s=256&d=identicon&r=PG', 'display_name': 'skatori', 'link': 'https://stackoverflow.com/users/11817030/skatori'}",True,183,3,0,1663020452,1606150919,64972857,CC BY-SA 4.0,https://stackoverflow.com/questions/64972857/how-to-wait-until-image-src-is-set-in-an-image-onload-event-function,How to wait until image.src is set in an image.onload event function?,65069082.0,,,,,
33,"['javascript', 'node.js', 'typescript', 'node-modules', 'es6-modules']","{'account_id': 22631, 'reputation': 25364, 'user_id': 56007, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/e71a8cbf759f284f5ccf668f187f8925?s=256&d=identicon&r=PG', 'display_name': 'jonhobbs', 'link': 'https://stackoverflow.com/users/56007/jonhobbs'}",True,10329,3,16,1663008989,1606492424,65040190,CC BY-SA 4.0,https://stackoverflow.com/questions/65040190/import-es6-modules-with-absolute-paths-in-nodejs-without-using-babel-webpack,Import ES6 Modules with absolute paths in NodeJS without using Babel/Webpack,,1606495340.0,,,,
34,"['angular', 'typescript', 'viewchild', 'angular-unit-test']","{'account_id': 3893188, 'reputation': 660, 'user_id': 3222876, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/341b0be07e28593e7a93a79ebd2e67fd?s=256&d=identicon&r=PG&f=1', 'display_name': 'sunil', 'link': 'https://stackoverflow.com/users/3222876/sunil'}",True,6460,2,9,1662627428,1606590455,65053473,CC BY-SA 4.0,https://stackoverflow.com/questions/65053473/how-to-unit-test-the-viewchild-elementref-angular,How to Unit test the @viewChild ElementRef angular,65054650.0,1606600877.0,,,,
35,['typescript'],"{'account_id': 11216401, 'reputation': 131, 'user_id': 8228886, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/be6f985cbb937f0d1e3e57121f766e84?s=256&d=identicon&r=PG&f=1', 'display_name': 'Matrix Norm', 'link': 'https://stackoverflow.com/users/8228886/matrix-norm'}",True,1886,2,5,1662625186,1606075915,64959028,CC BY-SA 4.0,https://stackoverflow.com/questions/64959028/typescript-incorrect-type-for-object-spread-operator,Typescript: incorrect type for object spread operator?,,1606123195.0,,,,
36,"['javascript', 'node.js', 'typescript', 'express', 'cookies']","{'account_id': 8717044, 'reputation': 424, 'user_id': 6521289, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/789067089fcc5fa817d0715240593ab0?s=256&d=identicon&r=PG&f=1', 'display_name': 'lak', 'link': 'https://stackoverflow.com/users/6521289/lak'}",False,2740,1,3,1662484097,1604707103,64723114,CC BY-SA 4.0,https://stackoverflow.com/questions/64723114/delete-httponly-cookies-express,Delete httpOnly cookies - Express,,,,,,
37,"['html', 'typescript', 'html-select', 'angular9', 'angular10']","{'account_id': 20037056, 'reputation': 1, 'user_id': 14688539, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bc49acb0e9c3319e368985d8dc9c3c85?s=256&d=identicon&r=PG&f=1', 'display_name': 'wissam_dk', 'link': 'https://stackoverflow.com/users/14688539/wissam-dk'}",False,429,1,0,1662477021,1606083267,64960173,CC BY-SA 4.0,https://stackoverflow.com/questions/64960173/angular-9-10-set-selected-in-option-in-dropdown,"Angular 9, 10 - Set Selected in option in Dropdown",,1662477021.0,,,,
38,"['typescript', 'swagger', 'nestjs', 'openapi']","{'account_id': 2634371, 'reputation': 17917, 'user_id': 2279488, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/c41VI.jpg?s=256&g=1', 'display_name': 'Reza', 'link': 'https://stackoverflow.com/users/2279488/reza'}",True,8663,1,9,1662472521,1605925571,64939247,CC BY-SA 4.0,https://stackoverflow.com/questions/64939247/nestjs-swagger-mixed-types,NestJs Swagger mixed types,64951141.0,1662472521.0,,,,
39,"['typescript', 'express', 'url', 'types', 'request']","{'account_id': 20021048, 'reputation': 111, 'user_id': 14675991, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10222487930060494/picture?type=large', 'display_name': 'Miguel Alejandro Smurawski', 'link': 'https://stackoverflow.com/users/14675991/miguel-alejandro-smurawski'}",True,9657,4,11,1662409589,1605881423,64930937,CC BY-SA 4.0,https://stackoverflow.com/questions/64930937/how-to-cast-req-query-parameters-in-express-using-typescript,How to cast req.query parameters in Express using Typescript,,,,,,
40,"['typescript', 'eslint']","{'account_id': 9947305, 'reputation': 11531, 'user_id': 7361479, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/soT91.jpg?s=256&g=1', 'display_name': 'kshetline', 'link': 'https://stackoverflow.com/users/7361479/kshetline'}",True,378,2,2,1662356829,1606522050,65045171,CC BY-SA 4.0,https://stackoverflow.com/questions/65045171/custom-eslint-typescript-indentation-rules-for-parameters-of-method-declaration,Custom ESLint/TypeScript indentation rules for parameters of method declaration,,,,,,
41,"['reactjs', 'typescript', 'webpack', 'babeljs', 'styled-components']","{'account_id': 19996545, 'reputation': 81, 'user_id': 14656471, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7052cffe99a63ab05c6868e123e3d036?s=256&d=identicon&r=PG&f=1', 'display_name': 'Karl Knuttel', 'link': 'https://stackoverflow.com/users/14656471/karl-knuttel'}",True,5144,1,8,1662288656,1605633292,64880073,CC BY-SA 4.0,https://stackoverflow.com/questions/64880073/styled-components-babel-plugin-styled-components-not-working,Styled components: babel-plugin-styled-components not working,,1605638739.0,,,,
42,"['node.js', 'typescript', 'amazon-web-services', 'aws-amplify', 'yarn-workspaces']","{'account_id': 8519994, 'reputation': 307, 'user_id': 6387273, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10209449716059353/picture?type=large', 'display_name': 'Simon Verhoeven', 'link': 'https://stackoverflow.com/users/6387273/simon-verhoeven'}",False,720,2,0,1662145291,1606362832,65015880,CC BY-SA 4.0,https://stackoverflow.com/questions/65015880/typescript-configure-mapping-for-compiled-import-path,Typescript configure mapping for compiled import path,,1606363345.0,,,,
43,"['javascript', 'node.js', 'typescript', 'nestjs', 'class-validator']","{'account_id': 2356630, 'reputation': 4763, 'user_id': 2064292, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://i.stack.imgur.com/vyPBn.png?s=256&g=1', 'display_name': 'SamuraiJack', 'link': 'https://stackoverflow.com/users/2064292/samuraijack'}",True,4553,3,1,1661893315,1606406499,65025460,CC BY-SA 4.0,https://stackoverflow.com/questions/65025460/nestjs-validating-array-of-objects-using-class-validator,NestJs: Validating array of objects using class-validator,,,,,,
44,"['typescript', 'jestjs', 'babeljs']","{'account_id': 8042543, 'reputation': 3761, 'user_id': 6063755, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/lDoRF.jpg?s=256&g=1', 'display_name': 'Dan Levy', 'link': 'https://stackoverflow.com/users/6063755/dan-levy'}",True,18717,9,44,1661478799,1606093833,64961387,CC BY-SA 4.0,https://stackoverflow.com/questions/64961387/how-to-use-import-meta-when-testing-with-jest,How to Use `import.meta` When Testing With Jest,,,,,,
45,['typescript'],"{'account_id': 10399732, 'reputation': 15483, 'user_id': 7668448, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/36b7185fc0063f74ba1f2d2f77fd205b?s=256&d=identicon&r=PG', 'display_name': 'Mohamed Allal', 'link': 'https://stackoverflow.com/users/7668448/mohamed-allal'}",True,1722,2,2,1661162381,1604919061,64750214,CC BY-SA 4.0,https://stackoverflow.com/questions/64750214/how-to-inference-class-type-that-implements-an-interface,How to inference class type that implements an interface,64765554.0,1661162381.0,,,,
46,"['typescript', 'visual-studio-code', 'jsx', 'create-react-app', 'tsconfig']","{'account_id': 14751093, 'reputation': 1033, 'user_id': 10653175, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/601331050281879/picture?type=large', 'display_name': 'Denis Lebon', 'link': 'https://stackoverflow.com/users/10653175/denis-lebon'}",True,36988,10,84,1660846740,1606157819,64974648,CC BY-SA 4.0,https://stackoverflow.com/questions/64974648/problem-with-visual-studio-code-using-react-jsx-as-jsx-value-with-create-react,Problem with Visual Studio Code using &quot;react-jsx&quot; as jsx value with create-react-app,64976666.0,1617349267.0,,,,
