,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,accepted_answer_id,closed_reason
10,"['javascript', 'node.js', 'typescript', 'google-api-nodejs-client']","{'account_id': 18990010, 'reputation': 391, 'user_id': 13859497, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/fcnOs.jpg?s=256&g=1', 'display_name': 'Marinescu', 'link': 'https://stackoverflow.com/users/13859497/marinescu'}",True,3337,1,0,1667920237,1622813399,1667920237.0,67838142,CC BY-SA 4.0,https://stackoverflow.com/questions/67838142/google-auth-with-node-js-using-typescript-and-promise-syntax,Google Auth with Node.js using Typescript and Promise syntax,,,
11,"['node.js', 'typescript', 'automated-tests', 'playwright']","{'account_id': 14221178, 'reputation': 182, 'user_id': 10273452, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a0f09f3a1b8636492174180978806212?s=256&d=identicon&r=PG&f=1', 'display_name': 'Amrou', 'link': 'https://stackoverflow.com/users/10273452/amrou'}",True,6919,4,2,1667856318,1623838667,1623845905.0,68000771,CC BY-SA 4.0,https://stackoverflow.com/questions/68000771/run-grouped-tests-sequentially-using-playwright,Run grouped tests sequentially using Playwright,,,
12,"['javascript', 'reactjs', 'typescript', 'autocomplete', 'material-ui']","{'account_id': 20074642, 'reputation': 73, 'user_id': 14718642, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/hMrsf.jpg?s=256&g=1', 'display_name': 'Anna Harshyna', 'link': 'https://stackoverflow.com/users/14718642/anna-harshyna'}",True,4379,2,4,1667189748,1624377004,,68086839,CC BY-SA 4.0,https://stackoverflow.com/questions/68086839/react-autocomplete-with-material-ui,React Autocomplete with Material UI,,68087352.0,
13,"['reactjs', 'typescript', 'next.js', 'yarnpkg', 'npm-scripts']","{'account_id': 15361077, 'reputation': 151, 'user_id': 11081899, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2ea3b2cb14e455d8034911a82b8a7f8a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dayvvo', 'link': 'https://stackoverflow.com/users/11081899/dayvvo'}",True,5840,7,8,1667015530,1623573329,1623577862.0,67956337,CC BY-SA 4.0,https://stackoverflow.com/questions/67956337/next-build-hangs-forever,Next Build hangs forever,,,
14,"['typescript', 'promise', 'mocking', 'void', 'ts-jest']","{'account_id': 952905, 'reputation': 16795, 'user_id': 1235929, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/9f460ae7deb6fa19034c810a53b9fbac?s=256&d=identicon&r=PG', 'display_name': 'Dave', 'link': 'https://stackoverflow.com/users/1235929/dave'}",True,8639,2,10,1666922885,1624987263,,68183112,CC BY-SA 4.0,https://stackoverflow.com/questions/68183112/in-jest-how-do-i-mock-a-promise-of-void,"In Jest, how do I mock a Promise of void?",,68184047.0,
15,"['typescript', 'enums', 'sequelize.js', 'backend', 'sequelize-typescript']","{'account_id': 17327990, 'reputation': 149, 'user_id': 12551787, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/643f27c24c15df1dcb6c3777b2d4a521?s=256&d=identicon&r=PG&f=1', 'display_name': 'liam', 'link': 'https://stackoverflow.com/users/12551787/liam'}",False,443,1,4,1666905079,1623918145,,68015577,CC BY-SA 4.0,https://stackoverflow.com/questions/68015577/sequelizedatabaseerror-type-public-enum-does-not-exist,SequelizeDatabaseError: type &quot;public.enum_...&quot; does not exist,,,
16,"['angular', 'typescript', 'angular-routing', 'angular-module', 'angular-lazyloading']","{'account_id': 3211062, 'reputation': 2314, 'user_id': 2711071, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'lampshade', 'link': 'https://stackoverflow.com/users/2711071/lampshade'}",True,1173,1,2,1666827191,1623056746,,67868816,CC BY-SA 4.0,https://stackoverflow.com/questions/67868816/does-importing-a-component-from-a-lazy-loaded-module-elsewhere-in-the-app-circum,Does importing a component from a lazy loaded module elsewhere in the app circumvent lazy loading of this module in Angular 12?,,74215270.0,
17,"['javascript', 'typescript', 'amazon-web-services', 'aws-sdk', 'amazon-cloudfront']","{'account_id': 15339353, 'reputation': 51, 'user_id': 11066824, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-Ubu0FokppBk/AAAAAAAAAAI/AAAAAAAAAT4/kwH65x4kzug/photo.jpg?sz=256', 'display_name': 'aurixel', 'link': 'https://stackoverflow.com/users/11066824/aurixel'}",False,474,1,2,1666821501,1624094111,,68045331,CC BY-SA 4.0,https://stackoverflow.com/questions/68045331/rate-exceeded-error-when-calling-aws-cloudfront-update,Rate exceeded error when calling AWS CloudFront update,,,
18,"['typescript', 'google-chrome-extension']","{'account_id': 8550256, 'reputation': 63, 'user_id': 6407389, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dc7d54527c0b15eedd17547b983c2bc0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rachit', 'link': 'https://stackoverflow.com/users/6407389/rachit'}",False,96,1,1,1666770988,1623005864,,67862681,CC BY-SA 4.0,https://stackoverflow.com/questions/67862681/typescript-interface-for-chrome-extension-manifest-file,Typescript interface for chrome extension manifest file,,,
19,"['reactjs', 'typescript', 'typescript-generics']","{'account_id': 21827672, 'reputation': 11, 'user_id': 16122939, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/319fe333474a1c4fb54d308a0f59aafe?s=256&d=identicon&r=PG&f=1', 'display_name': 'dhythm', 'link': 'https://stackoverflow.com/users/16122939/dhythm'}",True,70,1,1,1666638345,1622773732,1622774110.0,67830766,CC BY-SA 4.0,https://stackoverflow.com/questions/67830766/how-to-redefine-a-type-with-a-new-generic,How to redefine a type with a new generic,,,
20,['typescript'],"{'account_id': 3741577, 'reputation': 23349, 'user_id': 3111255, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://www.gravatar.com/avatar/0e6aa6cbb8222b788b824a3e312c9ce8?s=256&d=identicon&r=PG&f=1', 'display_name': 'JoeTidee', 'link': 'https://stackoverflow.com/users/3111255/joetidee'}",True,3307,4,2,1666587539,1623540399,1623546786.0,67953714,CC BY-SA 4.0,https://stackoverflow.com/questions/67953714/typescript-expression-of-type-string-cant-be-used-to-index-type,Typescript - expression of type &#39;string&#39; can&#39;t be used to index type,,67953765.0,
21,"['javascript', 'reactjs', 'typescript', 'material-ui']","{'account_id': 22076810, 'reputation': 161, 'user_id': 16337012, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/4060178704071104/picture?type=large', 'display_name': 'Mohamed Ibrahim', 'link': 'https://stackoverflow.com/users/16337012/mohamed-ibrahim'}",True,30372,8,12,1666358125,1624908803,,68169108,CC BY-SA 4.0,https://stackoverflow.com/questions/68169108/attempted-import-error-makestyles-is-not-exported-from-material-ui-core-sty,Attempted import error: &#39;makeStyles&#39; is not exported from &#39;@material-ui/core/styles&#39;,,,
22,"['javascript', 'typescript']","{'account_id': 8500037, 'reputation': 6427, 'user_id': 6373357, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/a3b870102aa2df81c64374b893f601ba?s=256&d=identicon&r=PG&f=1', 'display_name': 'jacobcan118', 'link': 'https://stackoverflow.com/users/6373357/jacobcan118'}",True,432,2,1,1666127930,1623203840,1623204298.0,67896510,CC BY-SA 4.0,https://stackoverflow.com/questions/67896510/sort-value-of-key-from-object-of-array-that-key-is-optional-type-in-typescript,sort value of key from object of array that key is optional type in typescript?,,,
23,"['reactjs', 'typescript']","{'account_id': 453315, 'reputation': 883, 'user_id': 850237, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/0e2736c98ad1c93894ecca27899bd609?s=256&d=identicon&r=PG', 'display_name': 'ygetarts', 'link': 'https://stackoverflow.com/users/850237/ygetarts'}",True,452,1,0,1666098319,1624921209,,68170839,CC BY-SA 4.0,https://stackoverflow.com/questions/68170839/react-state-gets-set-to-null-after-button-click,react - state gets set to null after button click,,68171340.0,
24,"['node.js', 'typescript', 'discord.js']","{'account_id': 21761238, 'reputation': 65, 'user_id': 16090679, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c4951328075ea35f33a51cb092eea881?s=256&d=identicon&r=PG', 'display_name': 'Adonys Santos', 'link': 'https://stackoverflow.com/users/16090679/adonys-santos'}",True,7718,3,6,1665917515,1622514277,,67781999,CC BY-SA 4.0,https://stackoverflow.com/questions/67781999/type-string-undefined-is-not-assignable-to-type-string-type-undefined-i,Type &#39;string | undefined&#39; is not assignable to type &#39;string&#39;. Type &#39;undefined&#39; is not assignable to type &#39;string&#39;,,67782262.0,
25,['typescript'],"{'account_id': 12405146, 'reputation': 1470, 'user_id': 9559251, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-uu271Qn5OA8/AAAAAAAAAAI/AAAAAAAAACU/po9uUyr2MjI/photo.jpg?sz=256', 'display_name': 'LazioTibijczyk', 'link': 'https://stackoverflow.com/users/9559251/laziotibijczyk'}",True,1393,3,5,1665835288,1623068176,,67871461,CC BY-SA 4.0,https://stackoverflow.com/questions/67871461/optional-object-parameter-in-typescript,Optional object parameter in typescript,,67871557.0,
26,"['reactjs', 'typescript', 'comments', 'tsx']","{'account_id': 15488195, 'reputation': 33, 'user_id': 11469186, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/dLNkp.jpg?s=256&g=1', 'display_name': 'K. Hansika Herath', 'link': 'https://stackoverflow.com/users/11469186/k-hansika-herath'}",True,3154,2,3,1665266666,1623517896,,67951218,CC BY-SA 4.0,https://stackoverflow.com/questions/67951218/how-to-comment-on-tsx-file,How to comment on .tsx file?,,67951255.0,
27,"['reactjs', 'typescript', 'next.js', 'nextjs-image']","{'account_id': 12522585, 'reputation': 8592, 'user_id': 11613622, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f1e4f1f082c32892055e752b5e23111c?s=256&d=identicon&r=PG&f=1', 'display_name': 'brc-dd', 'link': 'https://stackoverflow.com/users/11613622/brc-dd'}",True,2765,2,8,1665146922,1624466023,1624466640.0,68103844,CC BY-SA 4.0,https://stackoverflow.com/questions/68103844/how-to-override-next-js-svg-module-declaration,How to override Next.js `*.svg` module declaration?,,68129058.0,
28,"['typescript', 'next.js']","{'account_id': 21941067, 'reputation': 31, 'user_id': 16221609, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/06d474d59b89682d5a56d36f903f824b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tony Le', 'link': 'https://stackoverflow.com/users/16221609/tony-le'}",True,649,6,1,1664931319,1623664707,,67968252,CC BY-SA 4.0,https://stackoverflow.com/questions/67968252/nextjs-typescript-built-failed-with-auth0-nextjs-auth0,NextJS + Typescript built failed with @auth0/nextjs-auth0,,,
29,"['typescript', 'duplicates', 'union', 'permutation', 'template-literals']","{'account_id': 6231319, 'reputation': 3, 'user_id': 15147919, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ggcl2Qtpk3Mhe2Y6fNVwZiq1TU4E32H7Zo6-yIM2w=k-s256', 'display_name': 'Richard Van Camp', 'link': 'https://stackoverflow.com/users/15147919/richard-van-camp'}",True,280,2,0,1664661514,1623999979,,68030771,CC BY-SA 4.0,https://stackoverflow.com/questions/68030771/typescript-string-literal-with-permutations-of-union-but-no-repetitions,Typescript string literal with permutations of union but no repetitions,,68031487.0,
30,"['javascript', 'typescript', 'for-loop']","{'account_id': 7650868, 'reputation': 1773, 'user_id': 5799673, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/f1eb668cc8e910aba87ad3d0502d7da0?s=256&d=identicon&r=PG&f=1', 'display_name': 'ebbishop', 'link': 'https://stackoverflow.com/users/5799673/ebbishop'}",True,306,3,2,1664635956,1624903668,,68168178,CC BY-SA 4.0,https://stackoverflow.com/questions/68168178/typescript-index-error-looping-through-keys-of-typed-object,Typescript index error: looping through keys of typed object,,68168725.0,
31,"['node.js', 'typescript', 'mongodb', 'mongoose', 'typegoose']","{'account_id': 11989020, 'reputation': 3253, 'user_id': 8772744, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/hBmv1.png?s=256&g=1', 'display_name': 'MD. RAKIB HASAN', 'link': 'https://stackoverflow.com/users/8772744/md-rakib-hasan'}",True,505,2,3,1664538003,1624898343,1664538003.0,68167071,CC BY-SA 4.0,https://stackoverflow.com/questions/68167071/models-ref-each-other-error-circular-dependencies-problem,Models ref each other error: circular dependencies problem,,70031143.0,
32,"['javascript', 'reactjs', 'typescript', 'next.js']","{'account_id': 21303009, 'reputation': 848, 'user_id': 15678620, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/086c409811927ce3df334c683c9949ef?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ali Ehyaie', 'link': 'https://stackoverflow.com/users/15678620/ali-ehyaie'}",True,16655,3,19,1664371201,1624781478,1664371201.0,68149201,CC BY-SA 4.0,https://stackoverflow.com/questions/68149201/use-getstaticprops-in-component,use getStaticProps in component,,68149362.0,
33,"['typescript', 'react-native', 'environment', 'dotenv']","{'account_id': 20035124, 'reputation': 31, 'user_id': 14687026, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-4FYDineS9qw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclSJsT09D60vR9CAG1F8Qt0lH9swg/s96-c/photo.jpg?sz=256', 'display_name': 'Gilad Shemtov', 'link': 'https://stackoverflow.com/users/14687026/gilad-shemtov'}",False,302,1,0,1664227929,1624532179,,68114427,CC BY-SA 4.0,https://stackoverflow.com/questions/68114427/react-native-dotenv-with-multiple-enviorments-only-runs-local-env-in-react-nativ,react-native-dotenv with multiple enviorments only runs local env in react native using typescript,,,
34,"['angular', 'typescript', 'subscription']","{'account_id': 21832548, 'reputation': 33, 'user_id': 16127325, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxDXKyCw2_veHYHt8cVSLPUvtMk0V_sVRJgGepY=k-s256', 'display_name': 'Mike Yefymovych', 'link': 'https://stackoverflow.com/users/16127325/mike-yefymovych'}",True,827,3,2,1664109470,1622810361,1663660828.0,67837391,CC BY-SA 4.0,https://stackoverflow.com/questions/67837391/i-need-to-listen-if-there-any-changes-in-the-form-make-enable-disable-save-butt,"I need to listen if there any changes in the form, make enable/disable SAVE button if there changes or not | Angular",,67841563.0,
35,"['angular', 'typescript', 'angular-builder']","{'account_id': 38046, 'reputation': 3303, 'user_id': 108993, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/8b99f265afa7b56f173a7bf3a0ecc4b7?s=256&d=identicon&r=PG', 'display_name': 'Bill Barry', 'link': 'https://stackoverflow.com/users/108993/bill-barry'}",False,198,1,2,1663860121,1623966429,,68026887,CC BY-SA 4.0,https://stackoverflow.com/questions/68026887/angular-12-how-can-i-add-a-custom-compiled-script-to-build-output-chunks,Angular 12: How can I add a custom compiled script to build output chunks?,,,
36,"['reactjs', 'typescript', 'graphql', 'searchbar', 'react-typescript']","{'account_id': 21203293, 'reputation': 1, 'user_id': 15593477, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-nSkCZq6-txc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclxatSpQLIImmM98yZLAQG2UDNJsg/s96-c/photo.jpg?sz=256', 'display_name': 'Joshua Pagonas', 'link': 'https://stackoverflow.com/users/15593477/joshua-pagonas'}",False,317,1,0,1663637410,1624031657,1663637410.0,68038180,CC BY-SA 4.0,https://stackoverflow.com/questions/68038180/in-graphql-how-can-i-create-a-case-insensitive-query-that-works-for-looking-up,"In GraphQL, how can I create a case insensitive query that works for looking up a name within a search bar?",,,
37,"['typescript', 'next.js', 'nextjs-image']","{'account_id': 21969294, 'reputation': 359, 'user_id': 16246032, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhBr0nU0pbgvid4G8rVUf-6G_olkY1QCjALlXKL=k-s256', 'display_name': 'Arif hossain', 'link': 'https://stackoverflow.com/users/16246032/arif-hossain'}",True,11973,4,14,1663244196,1624770785,1624829499.0,68148204,CC BY-SA 4.0,https://stackoverflow.com/questions/68148204/types-of-property-src-are-incompatible-in-nextjs-image,Types of property &#39;src&#39; are incompatible in nextjs/image,,,
38,"['javascript', 'typescript', 'https', 'nestjs']","{'account_id': 21688845, 'reputation': 31, 'user_id': 16003768, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4aba3118f52b893104792779969417bd?s=256&d=identicon&r=PG&f=1', 'display_name': 'vantaqada', 'link': 'https://stackoverflow.com/users/16003768/vantaqada'}",True,3963,2,3,1663068261,1623372165,1623388538.0,67930000,CC BY-SA 4.0,https://stackoverflow.com/questions/67930000/nestjs-https-empty-post-body,NestJS HTTPS empty @POST() body,,,
39,"['node.js', 'angular', 'typescript', 'eslint', 'tsconfig']","{'account_id': 10093366, 'reputation': 342, 'user_id': 7459622, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/fpMn9.jpg?s=256&g=1', 'display_name': 'Alberto Bricio', 'link': 'https://stackoverflow.com/users/7459622/alberto-bricio'}",True,7551,5,14,1663010473,1622643610,,67806963,CC BY-SA 4.0,https://stackoverflow.com/questions/67806963/types-eslint-error-chainexpression-and-importexpression-members-of-estree-not,@types/eslint Error: ChainExpression and ImportExpression members of ESTree not exported,,,
40,"['typescript', 'visual-studio-code', 'eslint', 'intellisense', 'tslint']","{'account_id': 4776517, 'reputation': 9087, 'user_id': 3859456, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jonathan002', 'link': 'https://stackoverflow.com/users/3859456/jonathan002'}",False,1246,1,4,1662792553,1623181432,,67893664,CC BY-SA 4.0,https://stackoverflow.com/questions/67893664/how-to-fix-this-element-cannot-be-renamed-in-typescript,How to fix &quot;This element cannot be renamed&quot; in Typescript?,,,
41,"['typescript', 'jestjs', 'mocking', 'ts-jest']","{'account_id': 5528019, 'reputation': 1553, 'user_id': 4388938, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://www.gravatar.com/avatar/3771c3f91cdb5255f45e979c869d0516?s=256&d=identicon&r=PG&f=1', 'display_name': 'MDalt', 'link': 'https://stackoverflow.com/users/4388938/mdalt'}",False,57,1,0,1662714383,1622755051,1662714383.0,67828782,CC BY-SA 4.0,https://stackoverflow.com/questions/67828782/how-to-mock-es6-default-module-using-jest-v25,How to mock ES6 default module using Jest v25,,,
42,"['typescript', 'vue.js', 'webpack', 'optional-chaining']","{'account_id': 21975032, 'reputation': 93, 'user_id': 16250993, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxksDw3hn2IRh3nhkJCNEeRscGcCG09aESkEPx5=k-s256', 'display_name': 'Ludovic Mouline', 'link': 'https://stackoverflow.com/users/16250993/ludovic-mouline'}",True,5545,4,9,1662704191,1623922417,1623922809.0,68016663,CC BY-SA 4.0,https://stackoverflow.com/questions/68016663/error-while-importing-a-module-with-optional-chaining,Error while importing a module with optional chaining,,68042245.0,
43,"['angular', 'typescript', 'fullcalendar', 'observable']","{'account_id': 10274714, 'reputation': 145, 'user_id': 7582029, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cc64b5c07e65255bc68513c7f69d9d68?s=256&d=identicon&r=PG&f=1', 'display_name': 'Taldorr', 'link': 'https://stackoverflow.com/users/7582029/taldorr'}",True,1960,1,1,1662552383,1622896881,,67849708,CC BY-SA 4.0,https://stackoverflow.com/questions/67849708/angular-fullcalendar-does-not-refresh-events,Angular Fullcalendar does not refresh events,,67857074.0,
44,"['javascript', 'angular', 'typescript', 'html2pdf', 'angular12']","{'account_id': 12876620, 'reputation': 2188, 'user_id': 9313109, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/kfdhm.jpg?s=256&g=1', 'display_name': 'Evan', 'link': 'https://stackoverflow.com/users/9313109/evan'}",False,230,1,3,1662497105,1624096752,,68045660,CC BY-SA 4.0,https://stackoverflow.com/questions/68045660/angular-html2pdf-domexception-failed-to-set-the-adoptedstylesheets-property,Angular Html2Pdf - DOMException: Failed to set the &#39;adoptedStyleSheets&#39; property on &#39;ShadowRoot&#39;,,,
45,"['typescript', 'vuejs3', 'vue-class-components']","{'account_id': 7796712, 'reputation': 459, 'user_id': 5897532, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/da71dff160432cc0b990adb272f77eb8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Igor Nikiforov', 'link': 'https://stackoverflow.com/users/5897532/igor-nikiforov'}",True,5861,1,5,1662491449,1624127892,1662491449.0,68049778,CC BY-SA 4.0,https://stackoverflow.com/questions/68049778/vue-3-using-v-model-as-props-instead-of-prop-and-emit,Vue 3 using v-model as props instead of :prop and @emit,,68055275.0,
46,"['javascript', 'typescript', 'vue.js']","{'account_id': 21844334, 'reputation': 73, 'user_id': 16137432, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/acac4c1eaa01e8ce2d6fa5c05ead6e7d?s=256&d=identicon&r=PG&f=1', 'display_name': 'bkndvlpr', 'link': 'https://stackoverflow.com/users/16137432/bkndvlpr'}",True,1743,1,4,1662491418,1622899337,,67850002,CC BY-SA 4.0,https://stackoverflow.com/questions/67850002/vue-warn-failed-to-resolve-component-when-tried-to-create-global-component,[Vue warn]: Failed to resolve component when tried to create global component,,67852032.0,
