,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,migrated_from,closed_date,closed_reason
10,"['typescript', 'postgresql', 'nestjs', 'typeorm']","{'account_id': 16276450, 'reputation': 197, 'user_id': 11753511, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-T9PNuw5dpEM/AAAAAAAAAAI/AAAAAAAACUQ/eZn9qTiE92I/photo.jpg?sz=256', 'display_name': 'Exo', 'link': 'https://stackoverflow.com/users/11753511/exo'}",True,8519,,5,2,1667935256,1619084530,67210764,CC BY-SA 4.0,https://stackoverflow.com/questions/67210764/typeorm-entity-metadata-not-found,TypeORM Entity Metadata not found,1619097830.0,,,
11,"['html', 'angularjs', 'angular', 'typescript']","{'account_id': 21250011, 'reputation': 231, 'user_id': 15632327, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a09312541129fbd223d6bfcf6b1a4745?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nour Mawla', 'link': 'https://stackoverflow.com/users/15632327/nour-mawla'}",True,11398,67123805.0,3,14,1667892318,1618569020,67123603,CC BY-SA 4.0,https://stackoverflow.com/questions/67123603/angular-error-ts2531-object-is-possibly-null,Angular error TS2531: Object is possibly &#39;null&#39;,1618569941.0,,,
12,"['angular', 'typescript']","{'account_id': 2474822, 'reputation': 1446, 'user_id': 2155668, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/d456e21cc7c07027c7587e24a835f236?s=256&d=identicon&r=PG&f=1', 'display_name': 'Malcolm Salvador', 'link': 'https://stackoverflow.com/users/2155668/malcolm-salvador'}",True,1145,,2,0,1667824959,1617752954,66977892,CC BY-SA 4.0,https://stackoverflow.com/questions/66977892/typescript-transpile-warning-critical-dependency-the-request-of-a-dependency-i,Typescript transpile Warning: Critical dependency: the request of a dependency is an expression,,,,
13,"['angular', 'typescript']","{'account_id': 19716442, 'reputation': 25, 'user_id': 14435794, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/19c19588baebbbaa376288969c33877d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Angin', 'link': 'https://stackoverflow.com/users/14435794/angin'}",True,394,67268809.0,2,0,1667578803,1619448072,67268717,CC BY-SA 4.0,https://stackoverflow.com/questions/67268717/module-angular-core-has-no-exported-member-reactiveformsmodule,Module &#39;&quot;@angular/core&quot;&#39; has no exported member &#39;ReactiveFormsModule&#39;,,,,
14,"['reactjs', 'typescript', 'ionic-framework', 'yup', 'react-hook-form']","{'account_id': 21225280, 'reputation': 658, 'user_id': 15611096, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3b0484c6382f289110ed1f99001f5aa3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ani', 'link': 'https://stackoverflow.com/users/15611096/ani'}",True,1678,67200109.0,2,2,1667500772,1619004411,67194947,CC BY-SA 4.0,https://stackoverflow.com/questions/67194947/how-to-solve-termsofuse-must-be-a-boolean-type-but-the-final-value-was-on,"How to solve &quot;termsOfUse must be a boolean type, but the final value was: &quot;on&quot;.&quot; using Ionic, React, Yup and Resolvers",1619072431.0,,,
15,"['node.js', 'typescript', 'amazon-web-services', 'aws-lambda']","{'account_id': 3123241, 'reputation': 407, 'user_id': 2642628, 'user_type': 'registered', 'accept_rate': 21, 'profile_image': 'https://www.gravatar.com/avatar/04376d537b1fc18ce9948082c8c8a1df?s=256&d=identicon&r=PG', 'display_name': 'Jack', 'link': 'https://stackoverflow.com/users/2642628/jack'}",False,552,,1,2,1667336643,1617721007,66971107,CC BY-SA 4.0,https://stackoverflow.com/questions/66971107/aws-lambda-typescript-handler-schema-validation,AWS lambda typescript handler schema validation,,,,
16,"['node.js', 'typescript', 'npm', 'import', 'node-worker-threads']","{'account_id': 7732618, 'reputation': 190, 'user_id': 5859299, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ae012613b49c7e7b578eab2e4b16863c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Austin', 'link': 'https://stackoverflow.com/users/5859299/austin'}",False,636,,0,2,1666799224,1618514155,67114777,CC BY-SA 4.0,https://stackoverflow.com/questions/67114777/node-v12-cant-resolve-worker-threads,Node v12 cant resolve worker_threads,,,,
17,"['javascript', 'reactjs', 'typescript', 'luxon']","{'account_id': 18900, 'reputation': 34740, 'user_id': 43792, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/c2595a82b352c52e15cc6aba4ed7eda9?s=256&d=identicon&r=PG&f=1', 'display_name': 'aarona', 'link': 'https://stackoverflow.com/users/43792/aarona'}",True,3362,66976924.0,2,5,1666785138,1617742407,66976326,CC BY-SA 4.0,https://stackoverflow.com/questions/66976326/can-i-use-luxon-to-combine-a-datetime-with-a-time-string,Can I use Luxon to combine a DateTime with a time string?,,,,
18,"['reactjs', 'typescript', 'react-typescript']","{'account_id': 7869027, 'reputation': 372, 'user_id': 5946981, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/UL4Yy.jpg?s=256&g=1', 'display_name': 'Jacob', 'link': 'https://stackoverflow.com/users/5946981/jacob'}",True,5161,66918035.0,3,10,1666730138,1617356816,66917440,CC BY-SA 4.0,https://stackoverflow.com/questions/66917440/typescript-conditional-types-for-props,TypeScript conditional types for props,1617358538.0,,,
19,"['reactjs', 'typescript', 'webpack', 'yaml']","{'account_id': 435455, 'reputation': 3945, 'user_id': 822052, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/3VAQv.jpg?s=256&g=1', 'display_name': 'gorootde', 'link': 'https://stackoverflow.com/users/822052/gorootde'}",False,112,,0,2,1666622652,1617533899,66940532,CC BY-SA 4.0,https://stackoverflow.com/questions/66940532/yaml-loader-in-react-returns-only-file-path,YAML-loader in react returns only file path,,,,
20,"['node.js', 'json', 'typescript']","{'account_id': 12996139, 'reputation': 5, 'user_id': 9393700, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'frustrated_with_prolog', 'link': 'https://stackoverflow.com/users/9393700/frustrated-with-prolog'}",True,359,66920389.0,1,0,1666478363,1617311097,66911542,CC BY-SA 4.0,https://stackoverflow.com/questions/66911542/how-can-i-read-an-object-from-a-typescript-file-in-nodejs,How can I read an object from a typescript file in nodejs?,1666478363.0,,,
21,"['typescript', 'next.js']","{'account_id': 11739465, 'reputation': 24754, 'user_id': 10128619, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1bdc22c54f0db808af642c22b4308f22?s=256&d=identicon&r=PG&f=1', 'display_name': 'cbdeveloper', 'link': 'https://stackoverflow.com/users/10128619/cbdeveloper'}",True,17752,67108130.0,3,26,1666354308,1618388372,67087999,CC BY-SA 4.0,https://stackoverflow.com/questions/67087999/how-to-properly-type-the-document-tsx-file-from-next-js,How to properly type the _document.tsx file from Next.js?,,,,
22,"['node.js', 'typescript', 'mongoose', 'nestjs']","{'account_id': 13879253, 'reputation': 41, 'user_id': 10020013, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-I8DLl2iLCZ8/AAAAAAAAAAI/AAAAAAAAAAA/AB6qoq0qMfNbgkvqjbIQXeILfFQP4R8SuA/mo/photo.jpg?sz=256', 'display_name': 'arman', 'link': 'https://stackoverflow.com/users/10020013/arman'}",False,846,,1,2,1666216105,1618993632,67192013,CC BY-SA 4.0,https://stackoverflow.com/questions/67192013/nestjs-mongoose-schema-error-when-use-validator-pipe,NestJS Mongoose schema error when use validator pipe,1619084817.0,,,
23,"['javascript', 'node.js', 'typescript', 'fonts', 'truetype']","{'account_id': 17470412, 'reputation': 4559, 'user_id': 12666332, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/J2Yn0.jpg?s=256&g=1', 'display_name': 'SeyyedKhandon', 'link': 'https://stackoverflow.com/users/12666332/seyyedkhandon'}",False,446,,0,0,1666161398,1618571128,67124068,CC BY-SA 4.0,https://stackoverflow.com/questions/67124068/how-to-install-ttf-font-files-using-nodejs,How to install .ttf font files using nodejs?,1666161398.0,,,
24,"['typescript', 'csv', 'sorting', 'recursion', 'template-literals']","{'account_id': 2606044, 'reputation': 2228, 'user_id': 2257198, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/c58c37ac9c4792e475ec25a2db1df177?s=256&d=identicon&r=PG', 'display_name': 'cefn', 'link': 'https://stackoverflow.com/users/2257198/cefn'}",True,1846,67184772.0,2,6,1665762836,1618942573,67184269,CC BY-SA 4.0,https://stackoverflow.com/questions/67184269/truly-recursive-template-literal-for-comma-separated-strings-in-typescript,Truly recursive Template Literal for comma-separated strings in Typescript,1618943758.0,,,
25,"['typescript', 'joi']","{'account_id': 21049437, 'reputation': 37, 'user_id': 15470124, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Giq5lUBwAJlq9Ks9u7yMRbdXVcsnRuUZ0pFtJwk=k-s256', 'display_name': 'rafaelpolonio', 'link': 'https://stackoverflow.com/users/15470124/rafaelpolonio'}",True,1941,69088097.0,2,1,1665318551,1618612861,67132969,CC BY-SA 4.0,https://stackoverflow.com/questions/67132969/typescript-joi-date-validation,Typescript Joi date validation,1618615238.0,,,
26,"['angular', 'typescript', 'angular9']","{'account_id': 6530206, 'reputation': 4670, 'user_id': 5051564, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://i.stack.imgur.com/XcA21.jpg?s=256&g=1', 'display_name': 'matchifang', 'link': 'https://stackoverflow.com/users/5051564/matchifang'}",True,3820,,2,8,1665302770,1617963697,67019328,CC BY-SA 4.0,https://stackoverflow.com/questions/67019328/private-identifiers-are-only-available-when-targeting-ecmascript-2015-and-higher,Private identifiers are only available when targeting ECMAScript 2015 and higher (Angular 9),,,,
27,"['reactjs', 'typescript', 'firebase', 'firebase-hosting']","{'account_id': 21233149, 'reputation': 204, 'user_id': 15617602, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/118de5560ce46d6ea616681e2221b74a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sableur', 'link': 'https://stackoverflow.com/users/15617602/sableur'}",True,1203,67108157.0,2,9,1665201029,1618285791,67068481,CC BY-SA 4.0,https://stackoverflow.com/questions/67068481/firebase-default-hosting-domains-only-firebaseapp-com-works-but-web-app-fails,Firebase default hosting domains: only .firebaseapp.com works but .web.app fails,1618323296.0,,,
28,"['javascript', 'typescript', 'async-await', 'generator', 'redux-saga']","{'account_id': 2606044, 'reputation': 2228, 'user_id': 2257198, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/c58c37ac9c4792e475ec25a2db1df177?s=256&d=identicon&r=PG', 'display_name': 'cefn', 'link': 'https://stackoverflow.com/users/2257198/cefn'}",True,228,73980397.0,1,2,1665093459,1619399175,67259671,CC BY-SA 4.0,https://stackoverflow.com/questions/67259671/can-a-framework-like-redux-saga-achieve-the-same-without-use-of-generators-if-n,"Can a framework like Redux-Saga achieve the same without use of generators? If not, why not?",,,,
29,"['reactjs', 'typescript', 'async-await']","{'account_id': 17251350, 'reputation': 124, 'user_id': 12491477, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d5337144d38fc9eb5a57f100fdde8f7a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rowin_nb2', 'link': 'https://stackoverflow.com/users/12491477/rowin-nb2'}",False,4356,,3,0,1665014994,1617368036,66919650,CC BY-SA 4.0,https://stackoverflow.com/questions/66919650/ts-property-does-not-exist-on-type-promiseany,TS Property does not exist on type Promise&lt;any&gt;,1617378108.0,,,
30,"['typescript', 'lambda', 'serverless', 'aws-ssm']","{'account_id': 12877536, 'reputation': 11, 'user_id': 9313705, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e11a002350d2ec2f1eacc0e9ff15c48f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Esmat Nawahda', 'link': 'https://stackoverflow.com/users/9313705/esmat-nawahda'}",False,645,,2,1,1664982245,1617554387,66943554,CC BY-SA 4.0,https://stackoverflow.com/questions/66943554/aws-lambda-how-can-i-use-aws-ssm-in-the-serverless-ts-file-typescript,AWS lambda: How can I use AWS ssm in the serverless.ts file (Typescript),,,,
31,"['angular', 'typescript', 'api', 'http', 'highcharts']","{'account_id': 20884549, 'reputation': 105, 'user_id': 15341457, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/981303fc539e76f30ba587c5f0d80ecc?s=256&d=identicon&r=PG&f=1', 'display_name': 'Maurizio Brini', 'link': 'https://stackoverflow.com/users/15341457/maurizio-brini'}",False,561,,1,0,1664385039,1619771876,67330758,CC BY-SA 4.0,https://stackoverflow.com/questions/67330758/highcharts-angular-setting-chart-data-from-api,HighCharts Angular - Setting chart data from API,1619789815.0,,,
32,"['node.js', 'typescript', 'eslint', 'typeorm', 'express-router']","{'account_id': 16857320, 'reputation': 648, 'user_id': 12188968, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDoa8XUypAoRLVXo8BWbqkQaHGbsfp9vSrRVEk=k-s256', 'display_name': ' HigoChumbo ', 'link': 'https://stackoverflow.com/users/12188968/higochumbo'}",True,6773,67114433.0,3,11,1664364441,1618511403,67114152,CC BY-SA 4.0,https://stackoverflow.com/questions/67114152/typescript-eslint-throwing-a-promise-returned-error-on-a-express-router-async,TypeScript/Eslint throwing a &#39;Promise returned&#39; error on a Express Router async route,,,,
33,"['javascript', 'typescript', 'oop', 'decorator']","{'account_id': 12203668, 'reputation': 1664, 'user_id': 11589183, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fda3a263d4efabd40fb5479e7d0f91a7?s=256&d=identicon&r=PG', 'display_name': 'Yoskutik', 'link': 'https://stackoverflow.com/users/11589183/yoskutik'}",True,294,67096676.0,1,3,1664186610,1618225440,67057250,CC BY-SA 4.0,https://stackoverflow.com/questions/67057250/how-to-extend-class-type-with-decorator,How to extend class type with decorator,,,,
34,"['reactjs', 'typescript', 'mocking', 'ts-jest', 'react-tsx']","{'account_id': 7727384, 'reputation': 415, 'user_id': 5851595, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://i.stack.imgur.com/I2Jwu.jpg?s=256&g=1', 'display_name': 'Emric M&#229;nsson', 'link': 'https://stackoverflow.com/users/5851595/emric-m%c3%a5nsson'}",True,2311,67108742.0,1,1,1663643073,1617872300,67000607,CC BY-SA 4.0,https://stackoverflow.com/questions/67000607/how-to-use-manual-mock-with-typescript-react-and-jest,"How to use manual mock with typescript, react and jest?",1663643073.0,,,
35,"['typescript', 'child-nodes']","{'account_id': 143478, 'reputation': 3914, 'user_id': 351835, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/385811efbb52fa641bcc72035d7a3c15?s=256&d=identicon&r=PG', 'display_name': 'Tokimon', 'link': 'https://stackoverflow.com/users/351835/tokimon'}",True,1163,66936615.0,1,2,1663525093,1617490373,66936554,CC BY-SA 4.0,https://stackoverflow.com/questions/66936554/typescript-childnode-parentelement-and-or-parentnode-is-null,Typescript ChildNode: `parentElement` and/or `parentNode` is null?,1663525093.0,,,
36,"['typescript', 'nestjs', 'nestjs-config']","{'account_id': 402626, 'reputation': 5440, 'user_id': 769900, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://i.stack.imgur.com/CSGrK.jpg?s=256&g=1', 'display_name': 'Jeff Tian', 'link': 'https://stackoverflow.com/users/769900/jeff-tian'}",True,2331,,3,3,1663272021,1619003798,67194776,CC BY-SA 4.0,https://stackoverflow.com/questions/67194776/how-to-override-an-imported-module-in-nestjs-testing,How to override an imported module in nestjs testing?,,,,
37,"['string', 'typescript', 'template-literals']","{'account_id': 2813487, 'reputation': 3355, 'user_id': 2419215, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://i.stack.imgur.com/VFl2k.jpg?s=256&g=1', 'display_name': 'fodma1', 'link': 'https://stackoverflow.com/users/2419215/fodma1'}",True,1891,67301712.0,1,2,1663249856,1619610855,67299745,CC BY-SA 4.0,https://stackoverflow.com/questions/67299745/typescript-template-literal-type-to-match-title-case,TypeScript template literal type to match Title Case,,,,
38,"['javascript', 'typescript', 'webpack', 'tsc', 'ts-loader']","{'account_id': 11931738, 'reputation': 71, 'user_id': 8731441, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/daffe41c3f2dbed913d8e1bb2afdbb66?s=256&d=identicon&r=PG&f=1', 'display_name': 'Samira', 'link': 'https://stackoverflow.com/users/8731441/samira'}",False,1091,,1,1,1662623776,1618985383,67190158,CC BY-SA 4.0,https://stackoverflow.com/questions/67190158/webpack-ts-loader-generates-d-ts-file-in-output-directory-but-not-js-file,Webpack: ts-loader generates d.ts file in output directory but not js file,,,,
39,"['typescript', 'aws-lambda', 'stripe-payments']","{'account_id': 19417684, 'reputation': 107, 'user_id': 14834117, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ImdU0.jpg?s=256&g=1', 'display_name': 'Rahul Issar', 'link': 'https://stackoverflow.com/users/14834117/rahul-issar'}",False,408,,1,0,1662544639,1618517614,67115463,CC BY-SA 4.0,https://stackoverflow.com/questions/67115463/invalid-stripe-api-version-object-object-when-connecting-to-stripe-api,Invalid Stripe API version: [object Object] when connecting to stripe api,,,,
40,"['typescript', 'vue.js', 'vuejs3']","{'account_id': 11813397, 'reputation': 1068, 'user_id': 8644294, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c337df053a3955e5170f88306dcf0c6c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ash K', 'link': 'https://stackoverflow.com/users/8644294/ash-k'}",True,4059,,2,3,1662491685,1618460745,67102270,CC BY-SA 4.0,https://stackoverflow.com/questions/67102270/create-a-global-filter-in-vue-3-using-typescript,Create a global filter in Vue 3 using TypeScript,1662491685.0,,,
41,"['javascript', 'html', 'typescript', 'ionic-framework', 'frontend']","{'account_id': 19856060, 'reputation': 13, 'user_id': 15786519, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/79238c16f72f867d914ad4393691141c?s=256&d=identicon&r=PG&f=1', 'display_name': 'MiloCode', 'link': 'https://stackoverflow.com/users/15786519/milocode'}",True,1622,67381639.0,2,1,1662447705,1619755428,67328026,CC BY-SA 4.0,https://stackoverflow.com/questions/67328026/ionic-datetime-error-cannot-read-property-toisostring-of-undefined,Ionic DateTime error: Cannot read property &#39;toISOString&#39; of undefined,,,,
42,"['typescript', 'vue.js', 'types', 'emit', 'vue-composition-api']","{'account_id': 21251905, 'reputation': 346, 'user_id': 15634040, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/062bd2fcd8d81bc1f6e432007aec9d62?s=256&d=identicon&r=PG&f=1', 'display_name': 'AlbinR', 'link': 'https://stackoverflow.com/users/15634040/albinr'}",True,5535,,4,9,1662422177,1618412571,67094213,CC BY-SA 4.0,https://stackoverflow.com/questions/67094213/how-to-emit-events-with-a-strictly-typed-payload-vue-3-composition-api-type,How to emit events with a strictly typed payload? | Vue 3 Composition API + TypeScript,,,,
43,"['reactjs', 'typescript', 'state', 'wrapper', 'children']","{'account_id': 16857320, 'reputation': 648, 'user_id': 12188968, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDoa8XUypAoRLVXo8BWbqkQaHGbsfp9vSrRVEk=k-s256', 'display_name': ' HigoChumbo ', 'link': 'https://stackoverflow.com/users/12188968/higochumbo'}",True,528,67067865.0,1,0,1662415500,1618272814,67067155,CC BY-SA 4.0,https://stackoverflow.com/questions/67067155/type-props-for-a-context-provider-wrapping-app,Type props for a context provider wrapping &lt;App/&gt;?,1618273628.0,,,
44,"['reactjs', 'typescript', 'webpack', 'code-splitting']","{'account_id': 1035832, 'reputation': 15275, 'user_id': 1043150, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://i.stack.imgur.com/nVaqo.jpg?s=256&g=1', 'display_name': 'Philipp', 'link': 'https://stackoverflow.com/users/1043150/philipp'}",False,179,,0,4,1662382383,1618498819,67110919,CC BY-SA 4.0,https://stackoverflow.com/questions/67110919/webpack-code-splitting-when-importing-dynamic-and-static-mixed,Webpack code-splitting when importing dynamic and static mixed,,,,
45,"['typescript', 'redux', 'redux-toolkit']","{'account_id': 19517171, 'reputation': 91, 'user_id': 14279788, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/34a940aba142c48b7cac7489cb10e1f9?s=256&d=identicon&r=PG&f=1', 'display_name': 'suyeon', 'link': 'https://stackoverflow.com/users/14279788/suyeon'}",True,9844,67040931.0,2,6,1662322209,1618039436,67031804,CC BY-SA 4.0,https://stackoverflow.com/questions/67031804/how-to-fix-typescript-error-in-redux-toolkit,How to fix typescript error in redux-toolkit?,1618108378.0,,,
46,"['typescript', 'leaflet', 'react-typescript']","{'account_id': 17486498, 'reputation': 53, 'user_id': 14676896, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6254adc30500b08a740497bd321761f9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jo&#227;o C', 'link': 'https://stackoverflow.com/users/14676896/jo%c3%a3o-c'}",True,1706,,1,4,1662291614,1617204835,66890855,CC BY-SA 4.0,https://stackoverflow.com/questions/66890855/property-center-does-not-exist-on-type-intrinsicattributes-mapcontainerprop,Property &#39;center&#39; does not exist on type &#39;IntrinsicAttributes &amp; MapContainerProps&#39; on Leaflet,1617206947.0,,,
