,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason
10,"['javascript', 'charts', 'amcharts']","{'account_id': 5245126, 'reputation': 858, 'user_id': 4191101, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/cfMq3.jpg?s=256&g=1', 'display_name': 'Majestic', 'link': 'https://stackoverflow.com/users/4191101/majestic'}",True,7660,6,-1,1668742589,1555681686,55762887,CC BY-SA 4.0,https://stackoverflow.com/questions/55762887/how-to-hide-zero-values-in-a-chart-with-amchart-js,How to hide zero values in a chart with amchart.js?,,1556198118.0,,,
11,"['javascript', 'css', 'angular', 'tooltip']","{'account_id': 8057868, 'reputation': 645, 'user_id': 6074359, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://i.stack.imgur.com/1jXji.jpg?s=256&g=1', 'display_name': 'Udit Gogoi', 'link': 'https://stackoverflow.com/users/6074359/udit-gogoi'}",True,6031,2,3,1668718638,1554373956,55513730,CC BY-SA 4.0,https://stackoverflow.com/questions/55513730/displaying-image-in-tooltip-is-giving-me-a-flickering-effect-when-hovered-over-t,Displaying image in tooltip is giving me a flickering effect when hovered over the content,55514137.0,1554377021.0,,,
12,"['javascript', 'reactjs', 'environment-variables', 'gatsby', 'dotenv']","{'account_id': 2046512, 'reputation': 521, 'user_id': 1826479, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/3a34649945fc272729115f35a3586fab?s=256&d=identicon&r=PG', 'display_name': 'mckeever02', 'link': 'https://stackoverflow.com/users/1826479/mckeever02'}",True,37155,8,31,1668580618,1554135565,55459528,CC BY-SA 4.0,https://stackoverflow.com/questions/55459528/using-private-key-in-a-env-file,Using private key in a .env file,55459738.0,1554193589.0,,,
13,"['javascript', 'html', 'forms']","{'account_id': 8945131, 'reputation': 171, 'user_id': 11381501, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/gtV7y.jpg?s=256&g=1', 'display_name': 'RDragonrydr', 'link': 'https://stackoverflow.com/users/11381501/rdragonrydr'}",True,315,1,2,1668521925,1555635079,55755308,CC BY-SA 4.0,https://stackoverflow.com/questions/55755308/dynamically-editing-multiple-identical-html-forms-with-javascript,Dynamically editing multiple identical HTML forms with JavaScript,55755359.0,1668521861.0,,,
14,"['javascript', 'algorithm']","{'user_type': 'does_not_exist', 'display_name': 'user11110636'}",True,92,2,-1,1668451582,1554745494,55578984,CC BY-SA 4.0,https://stackoverflow.com/questions/55578984/efficient-string-reversal,Efficient string reversal,55581301.0,1668451582.0,,,
15,"['javascript', 'node.js', 'validation', 'nestjs', 'class-validator']","{'account_id': 10851824, 'reputation': 2764, 'user_id': 7979337, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/GAHsE.jpg?s=256&g=1', 'display_name': 'Revansiddh', 'link': 'https://stackoverflow.com/users/7979337/revansiddh'}",True,48483,4,29,1668436659,1554720791,55571773,CC BY-SA 4.0,https://stackoverflow.com/questions/55571773/validation-on-optional-parameter-using-class-validator-in-nestjs,Validation on optional Parameter using class-validator in nestjs?,55575553.0,1554733196.0,,,
16,"['javascript', 'reactjs', 'jestjs', 'jsdom', 'react-testing-library']","{'account_id': 966579, 'reputation': 3776, 'user_id': 989920, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/01e16ed8a3bc3246278001359f7a0257?s=256&d=identicon&r=PG', 'display_name': 'evolutionxbox', 'link': 'https://stackoverflow.com/users/989920/evolutionxbox'}",True,9900,2,6,1668428399,1556623783,55919953,CC BY-SA 4.0,https://stackoverflow.com/questions/55919953/tab-keypress-doesnt-change-focused-element,Tab keypress doesn&#39;t change focused element,,1663683858.0,,,
17,"['javascript', 'arrays', 'string', 'for-loop', 'concatenation']","{'account_id': 4343395, 'reputation': 3891, 'user_id': 3546086, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/4AF5h.jpg?s=256&g=1', 'display_name': 'HappyHands31', 'link': 'https://stackoverflow.com/users/3546086/happyhands31'}",True,4600,4,0,1668424864,1554315158,55501660,CC BY-SA 4.0,https://stackoverflow.com/questions/55501660/given-a-string-move-the-first-letter-of-each-word-to-the-end-of-each-word-then,"Given a String, Move The First Letter of Each Word to The End of Each Word, Then Add &quot;ay&quot; To The End of Each Word and Return a New String - JavaScript",55501766.0,1554316285.0,,,
18,"['javascript', 'ecmascript-6']","{'account_id': 5378275, 'reputation': 3173, 'user_id': 4284401, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/fDIo5.jpg?s=256&g=1', 'display_name': 'Zac Delventhal', 'link': 'https://stackoverflow.com/users/4284401/zac-delventhal'}",True,54196,3,31,1668415755,1554394124,55520583,CC BY-SA 4.0,https://stackoverflow.com/questions/55520583/how-to-check-if-a-map-or-set-is-empty,How to check if a Map or Set is empty?,55520613.0,,,,
19,"['javascript', 'html', 'dom', 'chromium']","{'account_id': 5002105, 'reputation': 368, 'user_id': 4020788, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://lh3.googleusercontent.com/-pY57A3WU7uk/AAAAAAAAAAI/AAAAAAAAABM/GKSU9XdH7uk/photo.jpg?sz=256', 'display_name': 'Gabrio', 'link': 'https://stackoverflow.com/users/4020788/gabrio'}",True,218,3,3,1668164142,1556297814,55872025,CC BY-SA 4.0,https://stackoverflow.com/questions/55872025/how-to-programmatically-add-html-dom-breakpoints-in-chromium,How to programmatically add HTML DOM breakpoints in chromium?,,,,,
20,"['javascript', 'angular', 'typescript', 'routerlink']","{'account_id': 9929563, 'reputation': 317, 'user_id': 7350029, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-6dXjwl9DJ0Y/AAAAAAAAAAI/AAAAAAAACOQ/9pnFRmmbOZs/photo.jpg?sz=256', 'display_name': 'June Lee', 'link': 'https://stackoverflow.com/users/7350029/june-lee'}",True,186,3,-1,1668161653,1555825596,55780230,CC BY-SA 4.0,https://stackoverflow.com/questions/55780230/how-to-add-queryparams-without-routerlink-click-in-angular,How to add queryParams without routerLink Click in angular?,55780375.0,,,,
21,"['javascript', 'promise']","{'account_id': 11651514, 'reputation': 1995, 'user_id': 8532675, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/j49K3.jpg?s=256&g=1', 'display_name': 'karolis2017', 'link': 'https://stackoverflow.com/users/8532675/karolis2017'}",True,13864,3,4,1668084959,1555036354,55643677,CC BY-SA 4.0,https://stackoverflow.com/questions/55643677/how-do-i-get-data-from-pending-resolved-promise-without-async-await,How do I get data from pending resolved promise without async/await?,55643881.0,,,,
22,"['javascript', 'functional-programming', 'monads', 'lazy-evaluation', 'thunk']","{'account_id': 7258661, 'reputation': 3789, 'user_id': 5536315, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/38Cjm.png?s=256&g=1', 'display_name': 'Iven Marquardt', 'link': 'https://stackoverflow.com/users/5536315/iven-marquardt'}",True,126,2,0,1667994275,1554489545,55541551,CC BY-SA 4.0,https://stackoverflow.com/questions/55541551/is-there-a-difference-in-expressiveness-of-thunk-or-pair-based-deferred-types,Is there a difference in expressiveness of thunk or pair based deferred types?,55558962.0,1667994275.0,,,
23,"['javascript', 'react-native', 'text', 'react-native-flatlist']","{'account_id': 2031428, 'reputation': 3389, 'user_id': 1815028, 'user_type': 'registered', 'accept_rate': 41, 'profile_image': 'https://i.stack.imgur.com/29ksB.jpg?s=256&g=1', 'display_name': 'Anilkumar iOS - ReactNative', 'link': 'https://stackoverflow.com/users/1815028/anilkumar-ios-reactnative'}",True,29330,7,7,1667880562,1555999670,55805233,CC BY-SA 4.0,https://stackoverflow.com/questions/55805233/how-to-show-for-text-more-less-in-react-native-javascript,How to show for text More/Less in React-Native (JavaScript),,1667880562.0,1621522053.0,,
24,"['javascript', 'fabricjs']","{'account_id': 270371, 'reputation': 16328, 'user_id': 560287, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/47a4ceb4aadb9d792aa1a0e5a881ba19?s=256&d=identicon&r=PG', 'display_name': 'John Magnolia', 'link': 'https://stackoverflow.com/users/560287/john-magnolia'}",True,3707,2,4,1667655409,1556574301,55911215,CC BY-SA 4.0,https://stackoverflow.com/questions/55911215/fabricjs-image-with-rounded-corner-and-stroke,Fabricjs. image with rounded corner and stroke,55913276.0,,,,
25,"['javascript', 'automation', 'browser-automation', 'google-chrome-console', 'quora']","{'account_id': 4112007, 'reputation': 578, 'user_id': 3374574, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/6CL6v.jpg?s=256&g=1', 'display_name': 'Julien Reszka', 'link': 'https://stackoverflow.com/users/3374574/julien-reszka'}",True,530,1,3,1667651683,1555612071,55751868,CC BY-SA 4.0,https://stackoverflow.com/questions/55751868/use-all-of-the-requests-to-answer-available-at-once-on-a-question-on-quora-from,Use all of the requests to answer available at once on a question on Quora from the Google Chrome browser console,55751907.0,1555749329.0,1590054230.0,,
26,"['javascript', 'reactjs', 'dom-events']","{'account_id': 11102083, 'reputation': 945, 'user_id': 9914653, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e61fd88affbca575271db61811e727c2?s=256&d=identicon&r=PG&f=1', 'display_name': 'hitchhiker', 'link': 'https://stackoverflow.com/users/9914653/hitchhiker'}",True,15841,5,6,1667627275,1555143918,55663491,CC BY-SA 4.0,https://stackoverflow.com/questions/55663491/how-to-detect-screen-orientation-in-mobile-website-when-using-react-js-and-orien,How to detect screen orientation in mobile website when using react js and orientationchange event?,,,,,
27,"['javascript', 'google-chrome']","{'account_id': 9201465, 'reputation': 53, 'user_id': 6838239, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1590719926d3a76f0a7c2e41d53f4705?s=256&d=identicon&r=PG&f=1', 'display_name': 'nguyen xuan linh', 'link': 'https://stackoverflow.com/users/6838239/nguyen-xuan-linh'}",True,8411,3,3,1667551261,1554260527,55486396,CC BY-SA 4.0,https://stackoverflow.com/questions/55486396/how-to-fix-the-message-port-closed-before-a-response-was-received-after-windo,How to fix &quot;The message port closed before a response was received.&quot; after window.location.reload() in javascript,55527550.0,,,,
28,"['javascript', 'angular', 'ionic-framework', 'chart.js']","{'account_id': 2913561, 'reputation': 6031, 'user_id': 2497278, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/3afd098c9c531d5591c5fdc0257da20f?s=256&d=identicon&r=PG', 'display_name': 'peterc', 'link': 'https://stackoverflow.com/users/2497278/peterc'}",True,13596,1,3,1667517507,1554940247,55622806,CC BY-SA 4.0,https://stackoverflow.com/questions/55622806/how-to-import-chart-js-chartjs-plugin-datalabels-npm-package-into-an-angular-7-p,How to import Chart.js chartjs-plugin-datalabels npm package into an Angular 7 project,,1667517507.0,,,
29,"['javascript', 'google-apps-script']","{'account_id': 7577212, 'reputation': 19, 'user_id': 5749180, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-DUbDSBPh1LA/AAAAAAAAAAI/AAAAAAAABQw/7S-yF2DwGNE/photo.jpg?sz=256', 'display_name': 'Stefano Ferrario', 'link': 'https://stackoverflow.com/users/5749180/stefano-ferrario'}",True,2278,2,2,1667500456,1554136768,55459833,CC BY-SA 4.0,https://stackoverflow.com/questions/55459833/save-gmail-attachments-on-google-drive,Save Gmail attachments on Google Drive,,,,,
30,"['javascript', 'reactjs', 'object']","{'account_id': 5564029, 'reputation': 753, 'user_id': 4411969, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/851e70daa8dd95915b4aec0e0d88b1cd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ankit Kaushal', 'link': 'https://stackoverflow.com/users/4411969/ankit-kaushal'}",True,61208,7,22,1667425981,1554704912,55567386,CC BY-SA 4.0,https://stackoverflow.com/questions/55567386/react-cannot-add-property-x-object-is-not-extensible,"React : cannot add property &#39;X&#39;, object is not extensible",55567414.0,,,,
31,"['javascript', 'node.js', 'json']","{'account_id': 13666455, 'reputation': 1529, 'user_id': 9860237, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5feb3e3a87d8b7a8e6728126f6c601de?s=256&d=identicon&r=PG&f=1', 'display_name': 'MisterniceGuy', 'link': 'https://stackoverflow.com/users/9860237/misterniceguy'}",True,595,1,1,1667404681,1556294462,55871220,CC BY-SA 4.0,https://stackoverflow.com/questions/55871220/how-to-check-if-a-json-doc-has-all-required-keys-in-node-js,How to check if a Json Doc has all required Keys in Node JS,55871441.0,1556295527.0,,,
32,"['javascript', 'reactjs', 'npm', 'webpack']","{'account_id': 3801718, 'reputation': 866, 'user_id': 3155183, 'user_type': 'moderator', 'profile_image': 'https://i.stack.imgur.com/MRI2x.jpg?s=256&g=1', 'display_name': 'Fralle', 'link': 'https://stackoverflow.com/users/3155183/fralle'}",True,311,1,0,1667306636,1556176150,55843678,CC BY-SA 4.0,https://stackoverflow.com/questions/55843678/third-party-library-react-dev-utils-webpackhotdevclient-gets-empty-object-on-r,Third party library (react-dev-utils/webpackHotDevClient) gets empty object on require(&#39;chalk&#39;),55846007.0,1667306511.0,,,
33,"['javascript', 'reactjs', 'firebase', 'firebase-authentication']","{'account_id': 15665569, 'reputation': 23, 'user_id': 11303389, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/89294da61f4e5f34bafebd6a9ebcb624?s=256&d=identicon&r=PG&f=1', 'display_name': 'Muhammad Yousuf', 'link': 'https://stackoverflow.com/users/11303389/muhammad-yousuf'}",True,475,2,0,1667183086,1554811277,55592399,CC BY-SA 4.0,https://stackoverflow.com/questions/55592399/firebase-phone-authentication-not-working-after-deploy,Firebase Phone Authentication Not Working after deploy,,1556604338.0,,,
34,"['javascript', 'css', 'bootstrap-4', 'bootstrap-5']","{'user_type': 'does_not_exist', 'display_name': 'user7884989'}",True,39247,12,26,1667151194,1554813908,55593229,CC BY-SA 4.0,https://stackoverflow.com/questions/55593229/increasing-the-size-of-a-bootstrap-checkbox,Increasing the size of a bootstrap checkbox,55593375.0,1603707027.0,,,
35,"['javascript', 'reactjs', 'npm', 'react-router', 'react-router-dom']","{'account_id': 15786974, 'reputation': 11, 'user_id': 11391457, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2320533464896097/picture?type=large', 'display_name': 'Ganesh Patra', 'link': 'https://stackoverflow.com/users/11391457/ganesh-patra'}",False,2775,1,0,1666999401,1555861241,55784181,CC BY-SA 4.0,https://stackoverflow.com/questions/55784181/page-is-not-rendering-in-reactjs,Page is not rendering in reactjs,,1555890028.0,,,
36,"['javascript', 'vue.js', 'vuejs2', 'vue-test-utils']","{'account_id': 11481077, 'reputation': 857, 'user_id': 8415116, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/982821e593420b7bdd8aa76f9ad5c1ef?s=256&d=identicon&r=PG&f=1', 'display_name': 'janedoe', 'link': 'https://stackoverflow.com/users/8415116/janedoe'}",True,10291,4,14,1666967611,1554406319,55523639,CC BY-SA 4.0,https://stackoverflow.com/questions/55523639/vue-test-utils-could-not-overwrite-property-route-this-is-usually-caused-by-a,"vue-test-utils: could not overwrite property $route, this is usually caused by a plugin that has added the property as a read-only value",55544303.0,1554505034.0,,,
37,"['javascript', 'jquery', 'html', 'css', 'css-transitions']","{'account_id': 4787317, 'reputation': 12439, 'user_id': 3867406, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/2953c91f637b80205241c00c3e215b9a?s=256&d=identicon&r=PG&f=1', 'display_name': 'ted', 'link': 'https://stackoverflow.com/users/3867406/ted'}",True,999,2,1,1666964239,1555510027,55729477,CC BY-SA 4.0,https://stackoverflow.com/questions/55729477/smooth-growing-of-div-when-appending-children-using-transitions,smooth growing of div when appending children using transitions,,1555510402.0,,,
38,"['javascript', 'ag-grid']","{'account_id': 13616249, 'reputation': 721, 'user_id': 9822083, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/n7oFg.png?s=256&g=1', 'display_name': 'Jett', 'link': 'https://stackoverflow.com/users/9822083/jett'}",True,1023,1,2,1666883587,1556226619,55857688,CC BY-SA 4.0,https://stackoverflow.com/questions/55857688/how-to-do-two-way-binding-in-ag-grid,How to do two-way binding in Ag-grid,55857739.0,1666883587.0,,,
39,"['javascript', 'chart.js']","{'account_id': 15698775, 'reputation': 21, 'user_id': 11327428, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-vYd2Sv5SWIE/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcydEx4qU7EjdJakZ7n07ZHeCf_8g/mo/photo.jpg?sz=256', 'display_name': 'Yudha Aditia', 'link': 'https://stackoverflow.com/users/11327428/yudha-aditia'}",False,814,2,1,1666857917,1554978231,55630236,CC BY-SA 4.0,https://stackoverflow.com/questions/55630236/how-to-show-hide-animation-when-legend-clicked-chart-js,How to show/hide animation when legend clicked chart js,,1554978431.0,,,
40,"['javascript', 'amazon-web-services', 'amazon-s3']","{'account_id': 2260743, 'reputation': 4393, 'user_id': 1990924, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/0d84711d91489312619ba9a44b633af7?s=256&d=identicon&r=PG', 'display_name': 'Jaroslav Klimč&#237;k', 'link': 'https://stackoverflow.com/users/1990924/jaroslav-klim%c4%8d%c3%adk'}",False,5712,4,3,1666805885,1555407498,55705043,CC BY-SA 4.0,https://stackoverflow.com/questions/55705043/aws-s3-inaccessible-host,AWS S3 Inaccessible host,,1555407907.0,,,
41,"['javascript', 'node.js', 'typescript', 'parquet']","{'account_id': 6876934, 'reputation': 11105, 'user_id': 5285068, 'user_type': 'registered', 'accept_rate': 35, 'profile_image': 'https://www.gravatar.com/avatar/8967c033e617a2fb6f7d8fd7b5a12eb5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Joe', 'link': 'https://stackoverflow.com/users/5285068/joe'}",False,3960,1,10,1666786480,1554341858,55506633,CC BY-SA 4.0,https://stackoverflow.com/questions/55506633/nodejs-reading-parquet-files,NodeJS - reading Parquet files,,,,,
42,"['javascript', 'ios', 'react-native', 'npm']","{'account_id': 15768240, 'reputation': 1, 'user_id': 11377967, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2180027765398515/picture?type=large', 'display_name': 'Alex Iancu', 'link': 'https://stackoverflow.com/users/11377967/alex-iancu'}",False,8260,2,0,1666764210,1555579420,55742970,CC BY-SA 4.0,https://stackoverflow.com/questions/55742970/how-to-reset-ios-folder-in-react-native,How to Reset IOS folder in react-native,,1555579531.0,,,
43,"['javascript', 'jquery']","{'account_id': 14322492, 'reputation': 541, 'user_id': 10345439, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/cEhch.jpg?s=256&g=1', 'display_name': 'Oliver', 'link': 'https://stackoverflow.com/users/10345439/oliver'}",True,5204,2,0,1666651604,1554179288,55466966,CC BY-SA 4.0,https://stackoverflow.com/questions/55466966/how-to-compare-e-currenttarget-and-e-target,How to compare e.currentTarget and e.Target?,55467319.0,,,,
44,"['javascript', 'node.js', 'typescript', 'zsh', 'nestjs']","{'account_id': 2550935, 'reputation': 151, 'user_id': 2214697, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/232a41f934feb88214c3b775b021c884?s=256&d=identicon&r=PG', 'display_name': 'Jo&#235;l Sonderegger', 'link': 'https://stackoverflow.com/users/2214697/jo%c3%abl-sonderegger'}",True,41167,12,15,1666632523,1555999893,55805275,CC BY-SA 4.0,https://stackoverflow.com/questions/55805275/nest-command-not-found,nest Command not found,,1556113607.0,,,
45,"['javascript', 'html', 'vue.js', 'tabs']","{'account_id': 4525037, 'reputation': 971, 'user_id': 3677138, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://graph.facebook.com/1521426655/picture?type=large', 'display_name': 'EnzoTrompeneers', 'link': 'https://stackoverflow.com/users/3677138/enzotrompeneers'}",False,1140,1,3,1666527860,1554979345,55630569,CC BY-SA 4.0,https://stackoverflow.com/questions/55630569/vue-form-wizard-make-the-tab-index-dynamic-by-the-route,Vue-form-wizard: Make the tab index dynamic by the route,,1555399569.0,,,
46,"['javascript', 'forms', 'ipad']","{'account_id': 15840064, 'reputation': 1, 'user_id': 11428772, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-bh0PyyplwTI/AAAAAAAAAAI/AAAAAAAAACc/4BFG1_z03xA/photo.jpg?sz=256', 'display_name': 'Carol Lawrence', 'link': 'https://stackoverflow.com/users/11428772/carol-lawrence'}",False,1391,1,0,1666337005,1556566857,55909818,CC BY-SA 4.0,https://stackoverflow.com/questions/55909818/auto-reload-for-google-forms,Auto reload for google forms,,1565001970.0,,,
47,"['javascript', 'jquery-isotope']","{'account_id': 5703144, 'reputation': 479, 'user_id': 4507540, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/yAKg6.png?s=256&g=1', 'display_name': 'moeses', 'link': 'https://stackoverflow.com/users/4507540/moeses'}",True,927,1,0,1666314357,1556365156,55880167,CC BY-SA 4.0,https://stackoverflow.com/questions/55880167/isotope-filtering-using-select-in-vanilla-js-is-buggy,Isotope Filtering using select in vanilla JS is buggy,,1594755070.0,,,
48,"['javascript', 'node.js', 'express', 'mongoose', 'passport.js']","{'account_id': 3934931, 'reputation': 1988, 'user_id': 3251645, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/3c2b67f18c87216f04487f4723a0c93e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Amol Borkar', 'link': 'https://stackoverflow.com/users/3251645/amol-borkar'}",True,1728,4,1,1666277143,1555827984,55780440,CC BY-SA 4.0,https://stackoverflow.com/questions/55780440/mongoose-schema-cannot-read-property-password-of-undefined,Mongoose schema Cannot read property &#39;password&#39; of undefined,55798270.0,1555852611.0,,,
