,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,community_owned_date,closed_date,closed_reason,locked_date,migrated_from
10,"['javascript', 'jquery', 'css']","{'account_id': 52669, 'reputation': 30390, 'user_id': 157397, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://i.stack.imgur.com/69Asy.png?s=256&g=1', 'display_name': 'meo', 'link': 'https://stackoverflow.com/users/157397/meo'}",True,7341,1285212.0,5,4,1667231812,1250448640,1667231812.0,1285033,CC BY-SA 4.0,https://stackoverflow.com/questions/1285033/read-hover-pseudo-class-with-javascript,Read :hover pseudo class with javascript,,,,,,
11,"['javascript', 'optimization', 'video']","{'account_id': 7618, 'reputation': 50510, 'user_id': 13281, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/aa705a09f888ce9f4712be2177f57bc8?s=256&d=identicon&r=PG', 'display_name': 'VirtuosiMedia', 'link': 'https://stackoverflow.com/users/13281/virtuosimedia'}",True,14683,1268805.0,6,7,1667213051,1250108199,,1268482,CC BY-SA 2.5,https://stackoverflow.com/questions/1268482/is-there-a-way-to-load-embedded-youtube-videos-faster-on-my-website,Is there a way to load embedded YouTube videos faster on my website?,,,,,,
12,"['javascript', 'syntax', 'jslint', 'use-strict']","{'account_id': 12984, 'reputation': 95179, 'user_id': 25847, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/34d142b034e7b194fc1708f3b20d9568?s=256&d=identicon&r=PG', 'display_name': 'Mark Rogers', 'link': 'https://stackoverflow.com/users/25847/mark-rogers'}",True,1190358,1335881.0,30,8310,1666968101,1251303013,1657029561.0,1335851,CC BY-SA 4.0,https://stackoverflow.com/questions/1335851/what-does-use-strict-do-in-javascript-and-what-is-the-reasoning-behind-it,"What does &quot;use strict&quot; do in JavaScript, and what is the reasoning behind it?",1370840538.0,,,,,
13,"['javascript', 'timer', 'setinterval']","{'account_id': 26071, 'reputation': 2097, 'user_id': 1284583, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/36b3eef9a58a61f86f15b8f74b7995ab?s=256&d=identicon&r=PG', 'display_name': 'Joe Di Stefano', 'link': 'https://stackoverflow.com/users/1284583/joe-di-stefano'}",True,192655,1280279.0,17,190,1666967245,1250284443,1433770944.0,1280263,CC BY-SA 3.0,https://stackoverflow.com/questions/1280263/changing-the-interval-of-setinterval-while-its-running,Changing the interval of SetInterval while it&#39;s running,,,,,,
14,"['javascript', 'ajax', 'synchronization', 'prototypejs']","{'account_id': 52964, 'reputation': 3954, 'user_id': 2162529, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/CQsYb.jpg?s=256&g=1', 'display_name': 'Pierre-Gilles Levallois', 'link': 'https://stackoverflow.com/users/2162529/pierre-gilles-levallois'}",True,327,,2,0,1666944475,1250686718,1666944475.0,1299768,CC BY-SA 4.0,https://stackoverflow.com/questions/1299768/how-do-i-launch-an-ajax-request-after-the-prior-one-has-finished,how do I launch an ajax request after the prior one has finished?,,,,,,
15,"['javascript', 'html', 'xhtml', 'scroll', 'anchor']","{'account_id': 20609, 'reputation': 1783, 'user_id': 49411, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/365d5549fef52316ab1d72fa7ec679d3?s=256&d=identicon&r=PG', 'display_name': 'Neil', 'link': 'https://stackoverflow.com/users/49411/neil'}",True,52988,1218038.0,9,29,1666775885,1249180828,,1218034,CC BY-SA 2.5,https://stackoverflow.com/questions/1218034/html-anchor-link-with-no-scroll-or-jump,HTML anchor link with no scroll or jump,,,,,,
16,"['javascript', 'css', 'fonts', 'embedding', 'font-face']","{'user_type': 'does_not_exist', 'display_name': 'dougoftheabaci'}",True,163334,1330889.0,15,132,1666420374,1251232548,,1330825,CC BY-SA 2.5,https://stackoverflow.com/questions/1330825/preloading-font-face-fonts,Preloading @font-face fonts?,,,,,,
17,"['javascript', 'string', 'random']","{'account_id': 12662, 'reputation': 82889, 'user_id': 25068, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/152c39ec9f2570aef287d40f9824c5f2?s=256&d=identicon&r=PG', 'display_name': 'Tom Lehman', 'link': 'https://stackoverflow.com/users/25068/tom-lehman'}",True,2453082,1349426.0,91,2595,1666030993,1251494081,1592812394.0,1349404,CC BY-SA 4.0,https://stackoverflow.com/questions/1349404/generate-random-string-characters-in-javascript,Generate random string/characters in JavaScript,1383453697.0,,,,,
18,['javascript'],"{'account_id': 26268, 'reputation': 96361, 'user_id': 68183, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/db92156fccb31def7688ae66d221f803?s=256&d=identicon&r=PG', 'display_name': 'mrblah', 'link': 'https://stackoverflow.com/users/68183/mrblah'}",True,179493,1314389.0,11,121,1666030209,1250891544,1562335761.0,1314383,CC BY-SA 4.0,https://stackoverflow.com/questions/1314383/how-to-check-if-a-query-string-value-is-present-via-javascript,How to check if a query string value is present via JavaScript?,,,,,,
19,"['javascript', 'jquery', 'jquery-events']","{'account_id': 36793, 'reputation': 12416, 'user_id': 105035, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/d54c8178b93b7fccf9055f0a6db9954a?s=256&d=identicon&r=PG', 'display_name': 'Hcabnettek', 'link': 'https://stackoverflow.com/users/105035/hcabnettek'}",True,11332,1230255.0,2,7,1665993861,1249424937,1665993861.0,1230230,CC BY-SA 4.0,https://stackoverflow.com/questions/1230230/how-can-i-pass-args-to-event-handler,How can I pass args to event handler?,,,,,,
20,"['javascript', 'jquery', 'jquery-events']","{'account_id': 878251, 'reputation': 3985, 'user_id': 93956, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/bef0c5534dc72c2645f8b10c520b4f27?s=256&d=identicon&r=PG', 'display_name': 'CMB', 'link': 'https://stackoverflow.com/users/93956/cmb'}",True,18460,1294791.0,2,10,1665613944,1250610571,1665613944.0,1294767,CC BY-SA 4.0,https://stackoverflow.com/questions/1294767/javascript-event-for-when-image-src-attribute-is-changed,JavaScript event for when image &#39;src&#39; attribute is changed?,,,,,,
21,"['javascript', 'iframe']","{'account_id': 51823, 'reputation': 3333, 'user_id': 154855, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/e3ec95fa409a516dbe5d15e45bebfcd0?s=256&d=identicon&r=PG', 'display_name': 'Paulraj', 'link': 'https://stackoverflow.com/users/154855/paulraj'}",True,50694,1264771.0,4,7,1665470976,1250059573,1329526547.0,1264569,CC BY-SA 3.0,https://stackoverflow.com/questions/1264569/how-to-get-iframe-src-content-using-javascript,How to get iFrame src content using javascript?,,,,,,
22,['javascript'],"{'account_id': 30726, 'reputation': 20878, 'user_id': 83898, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/629dd98e26181db40376b65617fe5e4c?s=256&d=identicon&r=PG', 'display_name': 'Josh Gibson', 'link': 'https://stackoverflow.com/users/83898/josh-gibson'}",True,11157,,8,23,1664379102,1249467505,1413572426.0,1232345,CC BY-SA 3.0,https://stackoverflow.com/questions/1232345/speed-and-style-of-math-max-vs-ternary-operator-in-javascript,Speed and style of Math.max vs ternary operator in JavaScript,,,,,,
23,['javascript'],"{'account_id': 344007, 'reputation': 10045, 'user_id': 676066, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/35c3572ac25b044c3cc122411364eaa3?s=256&d=identicon&r=PG', 'display_name': 'Waleed Eissa', 'link': 'https://stackoverflow.com/users/676066/waleed-eissa'}",True,316284,,13,248,1664353268,1251524695,1543450476.0,1350581,CC BY-SA 4.0,https://stackoverflow.com/questions/1350581/how-to-get-an-elements-top-position-relative-to-the-browsers-viewport,How to get an element&#39;s top position relative to the browser&#39;s viewport?,,,,,,
24,"['javascript', 'truncate']","{'account_id': 25544, 'reputation': 2518, 'user_id': 65700, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/af19ef1459b7c70d0d0f05f13b0337ec?s=256&d=identicon&r=PG', 'display_name': 'Bob', 'link': 'https://stackoverflow.com/users/65700/bob'}",True,420718,1301525.0,16,222,1663495272,1250703764,1500824597.0,1301512,CC BY-SA 3.0,https://stackoverflow.com/questions/1301512/truncate-a-string-straight-javascript,Truncate a string straight JavaScript,,,,,,
25,"['javascript', 'jquery', 'ajax']","{'account_id': 22698, 'reputation': 18892, 'user_id': 56256, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/e57808f4634d221405c81d00b2e12b16?s=256&d=identicon&r=PG', 'display_name': 'Nick', 'link': 'https://stackoverflow.com/users/56256/nick'}",True,660045,1349219.0,33,91,1663315916,1251490621,1518251570.0,1349118,CC BY-SA 3.0,https://stackoverflow.com/questions/1349118/jquery-ajax-post-results-in-500-internal-server-error,JQuery Ajax Post results in 500 Internal Server Error,1508398173.0,,,,,
26,"['javascript', 'csv']","{'account_id': 52964, 'reputation': 3954, 'user_id': 2162529, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/CQsYb.jpg?s=256&g=1', 'display_name': 'Pierre-Gilles Levallois', 'link': 'https://stackoverflow.com/users/2162529/pierre-gilles-levallois'}",True,467097,1293163.0,13,260,1663035073,1250592877,1661196892.0,1293147,CC BY-SA 4.0,https://stackoverflow.com/questions/1293147/how-to-parse-csv-data,How to parse CSV data?,,,,,,
27,"['javascript', 'html', 'dom-events']","{'account_id': 24197, 'reputation': 3829, 'user_id': 61394, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/9fca4b61a1ab555f231851e7543f9a3e?s=256&d=identicon&r=PG', 'display_name': 'Justin L.', 'link': 'https://stackoverflow.com/users/61394/justin-l'}",True,3675,1268265.0,5,3,1662473675,1250105399,1662473675.0,1268229,CC BY-SA 4.0,https://stackoverflow.com/questions/1268229/how-can-i-notify-the-parent-page-when-a-popup-has-finished-a-load-which-the-pare,How can I notify the parent page when a popup has finished a load which the parent initated?,,,,,,
28,"['javascript', 'jquery', 'arrays']","{'account_id': 50217, 'reputation': 39326, 'user_id': 149738, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/fa1de418dc9e7922d034c5198c842be6?s=256&d=identicon&r=PG', 'display_name': 'akano1', 'link': 'https://stackoverflow.com/users/149738/akano1'}",True,2364248,43363105.0,58,1404,1661989543,1249424980,1440560958.0,1230233,CC BY-SA 3.0,https://stackoverflow.com/questions/1230233/how-to-find-the-sum-of-an-array-of-numbers,How to find the sum of an array of numbers,1542334420.0,,,,,
29,"['javascript', 'debugging', 'dom']","{'account_id': 47853, 'reputation': 14536, 'user_id': 141906, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/wfmOI.jpg?s=256&g=1', 'display_name': 'Maxim Sloyko', 'link': 'https://stackoverflow.com/users/141906/maxim-sloyko'}",True,8764,1254550.0,4,25,1661285633,1249894053,1661285605.0,1253786,CC BY-SA 4.0,https://stackoverflow.com/questions/1253786/dom-attribute-change-debugging,DOM attribute change debugging,,,,,,
30,['javascript'],"{'account_id': 44618, 'reputation': 11679, 'user_id': 1709270, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/GpilN.jpg?s=256&g=1', 'display_name': 'Yves', 'link': 'https://stackoverflow.com/users/1709270/yves'}",True,124519,1337428.0,18,106,1660613250,1251319928,1505607643.0,1337419,CC BY-SA 3.0,https://stackoverflow.com/questions/1337419/how-do-you-convert-numbers-between-different-bases-in-javascript,How do you convert numbers between different bases in JavaScript?,,,,,,
31,"['javascript', 'memory', 'object', 'sizeof']","{'user_type': 'does_not_exist', 'display_name': 'anonymous'}",True,370208,,23,415,1660306493,1249718297,1504349325.0,1248302,CC BY-SA 3.0,https://stackoverflow.com/questions/1248302/how-to-get-the-size-of-a-javascript-object,How to get the size of a JavaScript object?,1557897765.0,,,,,
32,"['javascript', 'regex']","{'account_id': 49973, 'reputation': 28288, 'user_id': 148978, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/54465abdf9fc5e96488558decd6adba5?s=256&d=identicon&r=PG', 'display_name': 'DNB5brims', 'link': 'https://stackoverflow.com/users/148978/dnb5brims'}",True,98712,1222072.0,9,66,1660219743,1249302168,,1222045,CC BY-SA 2.5,https://stackoverflow.com/questions/1222045/how-to-loop-all-the-elements-that-match-the-regex,How to loop all the elements that match the regex?,,,,,,
33,"['javascript', 'arrays']","{'account_id': 50738, 'reputation': 8372, 'user_id': 151401, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7be388fde5aa14a9ac5cf1d6a80a14d5?s=256&d=identicon&r=PG', 'display_name': 'dil', 'link': 'https://stackoverflow.com/users/151401/dil'}",True,566030,,44,817,1658867494,1250619089,,1295584,CC BY-SA 2.5,https://stackoverflow.com/questions/1295584/most-efficient-way-to-create-a-zero-filled-javascript-array,Most efficient way to create a zero filled JavaScript array?,1395797393.0,,,,,
34,"['javascript', 'zerofill']","{'account_id': 3656, 'reputation': 32314, 'user_id': 5291, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/718a25f38a4fea73c590ac7c8f372bf7?s=256&d=identicon&r=PG', 'display_name': 'Wilco', 'link': 'https://stackoverflow.com/users/5291/wilco'}",True,303070,1267338.0,77,540,1658161770,1250094816,1493298962.0,1267283,CC BY-SA 3.0,https://stackoverflow.com/questions/1267283/how-can-i-pad-a-value-with-leading-zeros,How can I pad a value with leading zeros?,1417544398.0,1378206493.0,,,,
35,"['javascript', 'forms', 'html-select']","{'account_id': 50669, 'reputation': 681, 'user_id': 151202, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/a8676823348a15dfba8796ea483f44f6?s=256&d=identicon&r=PG', 'display_name': 'Dave Hunt', 'link': 'https://stackoverflow.com/users/151202/dave-hunt'}",True,118054,1296068.0,5,22,1657969059,1250623566,1657969059.0,1295950,,https://stackoverflow.com/questions/1295950/javascript-to-select-multiple-options,Javascript to Select Multiple options,,,1627103794.0,Needs more focus,,
36,"['javascript', 'jquery', 'image']","{'account_id': 32427, 'reputation': 47780, 'user_id': 90025, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/b3bb70a4bace7f9bd49f48b149ab95f9?s=256&d=identicon&r=PG', 'display_name': 'Paul Tarjan', 'link': 'https://stackoverflow.com/users/90025/paul-tarjan'}",True,34335,1257402.0,7,23,1657925656,1249940690,1272064123.0,1257385,CC BY-SA 2.5,https://stackoverflow.com/questions/1257385/javascript-know-when-an-image-is-fully-loaded,JavaScript: Know when an image is fully loaded,,,,,,
37,"['javascript', 'arrays']","{'account_id': 50217, 'reputation': 39326, 'user_id': 149738, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/fa1de418dc9e7922d034c5198c842be6?s=256&d=identicon&r=PG', 'display_name': 'akano1', 'link': 'https://stackoverflow.com/users/149738/akano1'}",True,3742060,1232046.0,18,2195,1657314230,1249463319,1447269772.0,1232040,CC BY-SA 3.0,https://stackoverflow.com/questions/1232040/how-do-i-empty-an-array-in-javascript,How do I empty an array in JavaScript?,1404843571.0,,,,1504098679.0,
38,"['javascript', 'cross-browser', 'viewport']","{'account_id': 32371, 'reputation': 149026, 'user_id': 89771, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/be9e4cbcfa96b7e4ad4bc28c88cfdb2b?s=256&d=identicon&r=PG', 'display_name': 'Alix Axel', 'link': 'https://stackoverflow.com/users/89771/alix-axel'}",True,833261,8876069.0,17,974,1656567803,1249710881,1576756222.0,1248081,CC BY-SA 4.0,https://stackoverflow.com/questions/1248081/how-to-get-the-browser-viewport-dimensions,How to get the browser viewport dimensions?,1656582282.0,,,,,
39,"['javascript', 'jquery', 'events', 'jquery-events']","{'account_id': 11253, 'reputation': 9742, 'user_id': 21613, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://i.stack.imgur.com/tB5iV.png?s=256&g=1', 'display_name': 'Dan Burzo', 'link': 'https://stackoverflow.com/users/21613/dan-burzo'}",True,1549,1744132.0,2,1,1656245885,1250850538,1656245885.0,1311168,CC BY-SA 4.0,https://stackoverflow.com/questions/1311168/jquery-hover-mouseout-does-not-fire-when-using-overflowauto-with-scrollbars,jQuery hover(): mouseout does not fire when using overflow:auto (with scrollbars),,,,,,
40,"['javascript', 'jquery', 'markdown', 'textile']","{'account_id': 12662, 'reputation': 82889, 'user_id': 25068, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/152c39ec9f2570aef287d40f9824c5f2?s=256&d=identicon&r=PG', 'display_name': 'Tom Lehman', 'link': 'https://stackoverflow.com/users/25068/tom-lehman'}",True,92248,1319711.0,13,99,1655928245,1251063978,1251064803.0,1319657,CC BY-SA 2.5,https://stackoverflow.com/questions/1319657/javascript-to-convert-markdown-textile-to-html-and-ideally-back-to-markdown-t,"Javascript to convert Markdown/Textile to HTML (and, ideally, back to Markdown/Textile)",,,,,,
41,"['javascript', 'html', 'reload']","{'user_type': 'does_not_exist', 'display_name': 'Edwin'}",True,60253,,10,18,1654190468,1249175626,1387666895.0,1217929,CC BY-SA 3.0,https://stackoverflow.com/questions/1217929/how-to-automatically-reload-a-web-page-at-a-certain-time,How to automatically reload a web page at a certain time?,,,,,,
42,['javascript'],"{'account_id': 22749, 'reputation': 32695, 'user_id': 56449, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/793c96ba46b5db802c2857479ea9d92e?s=256&d=identicon&r=PG', 'display_name': 'adardesign', 'link': 'https://stackoverflow.com/users/56449/adardesign'}",True,76187,1245956.0,6,30,1653500002,1249665185,1514768590.0,1245930,CC BY-SA 3.0,https://stackoverflow.com/questions/1245930/javascript-indexof-to-ignore-case,JavaScript indexOf to ignore Case,,,,,,
43,"['javascript', 'html']","{'user_type': 'does_not_exist', 'display_name': 'Tom'}",True,46617,1255740.0,11,52,1652109500,1249919836,,1255726,CC BY-SA 2.5,https://stackoverflow.com/questions/1255726/href-dont-scroll,Href=&quot;#&quot; Don&#39;t Scroll,,,,,,
44,"['javascript', 'jquery', 'internet-explorer', 'jquery-events']","{'account_id': 876901, 'reputation': 471, 'user_id': 81314, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/60003d92a4fc2fa557e32f3f70c63996?s=256&d=identicon&r=PG', 'display_name': 'dalizard', 'link': 'https://stackoverflow.com/users/81314/dalizard'}",True,3984,1258163.0,13,8,1650712131,1249570779,1650712131.0,1239478,CC BY-SA 4.0,https://stackoverflow.com/questions/1239478/internet-explorer-and-select-tag-problem,Internet Explorer and &lt;select&gt; tag problem,,,,,,
45,"['javascript', 'search', 'lucene', 'full-text-search']","{'account_id': 25076, 'reputation': 2822, 'user_id': 64208, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/3a04a6ef977427704b930c4665c42a47?s=256&d=identicon&r=PG', 'display_name': 'Bambax', 'link': 'https://stackoverflow.com/users/64208/bambax'}",True,9607,1878053.0,7,16,1650615845,1251720730,1260407665.0,1357173,CC BY-SA 2.5,https://stackoverflow.com/questions/1357173/full-text-search-for-static-html-files-on-cd-rom-via-javascript,Full-text search for static HTML files on CD-Rom via javascript,,,,,,
46,"['javascript', 'jquery', 'html', 'validation', 'forms']","{'account_id': 51308, 'reputation': 927, 'user_id': 153284, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/4dc9d9f33e70fcde340a80d6c34ce38e?s=256&d=identicon&r=PG', 'display_name': 'ponjoh', 'link': 'https://stackoverflow.com/users/153284/ponjoh'}",True,261351,1271651.0,9,66,1650363811,1250166447,,1271640,CC BY-SA 2.5,https://stackoverflow.com/questions/1271640/validate-select-box,Validate select box,,,,,,
47,"['javascript', 'regex']","{'account_id': 46299, 'reputation': 10172, 'user_id': 136700, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/cdda184a957305771cceb37197078737?s=256&d=identicon&r=PG', 'display_name': 'Sinan Taifour', 'link': 'https://stackoverflow.com/users/136700/sinan-taifour'}",True,182837,1234725.0,3,295,1650320956,1249494494,1533268856.0,1234712,CC BY-SA 4.0,https://stackoverflow.com/questions/1234712/javascript-replace-with-reference-to-matched-group,Javascript replace with reference to matched group?,,,,,,
48,"['javascript', 'jquery']","{'account_id': 21567, 'reputation': 20245, 'user_id': 52529, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/9aefefd47ee6a5a9fd04009f2dc8c15a?s=256&d=identicon&r=PG', 'display_name': 'frankadelic', 'link': 'https://stackoverflow.com/users/52529/frankadelic'}",True,566252,1225238.0,23,358,1650225683,1249341888,,1225102,CC BY-SA 2.5,https://stackoverflow.com/questions/1225102/jquery-event-to-trigger-action-when-a-div-is-made-visible,jQuery event to trigger action when a div is made visible,,,,,,
