,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,community_owned_date,locked_date
34,"['javascript', 'colors']","{'account_id': 50668, 'reputation': 19882, 'user_id': 151200, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/gzru4.jpg?s=256&g=1', 'display_name': 'Andrey', 'link': 'https://stackoverflow.com/users/151200/andrey'}",True,91918,,1573141.0,16,96,1659498920,1255619789,1371843401.0,1573053,CC BY-SA 3.0,https://stackoverflow.com/questions/1573053/javascript-function-to-convert-color-names-to-hex-codes,Javascript function to convert color names to hex codes,,,,
35,"['javascript', 'firefox', 'firefox-addon', 'dom-events']","{'account_id': 44041, 'reputation': 40831, 'user_id': 129001, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/886427a445a180eb6618d77ee4ec4894?s=256&d=identicon&r=PG', 'display_name': 'Tony_Henrich', 'link': 'https://stackoverflow.com/users/129001/tony-henrich'}",True,16054,,1558905.0,3,30,1659439562,1255417114,1563114668.0,1558569,CC BY-SA 4.0,https://stackoverflow.com/questions/1558569/firefox-extension-to-find-out-which-javascript-event-is-bound-to-an-inspected-el,Firefox extension to find out which Javascript event is bound to an inspected element?,,,,
36,"['javascript', 'regex']","{'account_id': 19364, 'reputation': 3687, 'user_id': 45327, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a8d667a9e3cddf049231bfc05ca512d1?s=256&d=identicon&r=PG', 'display_name': 'about', 'link': 'https://stackoverflow.com/users/45327/about'}",True,57840,,1520853.0,7,342,1658862452,1254756720,1496998556.0,1520800,CC BY-SA 3.0,https://stackoverflow.com/questions/1520800/why-does-a-regexp-with-global-flag-give-wrong-results,Why does a RegExp with global flag give wrong results?,,,,
37,"['javascript', 'jquery', 'file-upload']","{'account_id': 55635, 'reputation': 9606, 'user_id': 166658, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/80c34edea5f3063019549c11b640d9fc?s=256&d=identicon&r=PG', 'display_name': 'Jimmy', 'link': 'https://stackoverflow.com/users/166658/jimmy'}",True,368399,,3937404.0,9,147,1658752475,1256137504,1400369620.0,1601455,CC BY-SA 3.0,https://stackoverflow.com/questions/1601455/how-to-check-file-input-size-with-jquery,How to check file input size with jQuery?,,,,
38,"['javascript', 'html']","{'account_id': 28890, 'reputation': 11035, 'user_id': 77538, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/e3d899fdf49a550207763d2454304de0?s=256&d=identicon&r=PG', 'display_name': 'Achilles', 'link': 'https://stackoverflow.com/users/77538/achilles'}",True,194602,,1601948.0,16,161,1658298592,1256142018,1424785934.0,1601933,CC BY-SA 3.0,https://stackoverflow.com/questions/1601933/how-do-i-stop-a-web-page-from-scrolling-to-the-top-when-a-link-is-clicked-that-t,How do I stop a web page from scrolling to the top when a link is clicked that triggers JavaScript?,,,,
39,"['javascript', 'regex']","{'account_id': 564793, 'reputation': 871, 'user_id': 196446, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/550dbdd151bbf5aea8895a401445a908?s=256&d=identicon&r=PG', 'display_name': 'Devi', 'link': 'https://stackoverflow.com/users/196446/devi'}",True,166353,,,9,87,1658256253,1256534796,1493767064.0,1623221,CC BY-SA 3.0,https://stackoverflow.com/questions/1623221/how-to-find-a-number-in-a-string-using-javascript,How to find a number in a string using JavaScript?,,,,
40,"['javascript', 'ajax', 'prototypejs']","{'account_id': 68206, 'reputation': 363, 'user_id': 199153, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c9f2041550bd5c93b143f1e96c1b53a3?s=256&d=identicon&r=PG', 'display_name': 'dev101', 'link': 'https://stackoverflow.com/users/199153/dev101'}",True,22096,,10646659.0,6,18,1658243534,1256842765,1325109375.0,1645847,CC BY-SA 3.0,https://stackoverflow.com/questions/1645847/ajax-binary-response,Ajax Binary Response,,,,
41,"['php', 'javascript', 'jquery', 'ajax', 'error-handling']","{'account_id': 53289, 'reputation': 35658, 'user_id': 159319, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/BNcfw.png?s=256&g=1', 'display_name': 'jantimon', 'link': 'https://stackoverflow.com/users/159319/jantimon'}",True,713584,,1637051.0,13,269,1658004618,1256733633,1423497269.0,1637019,CC BY-SA 3.0,https://stackoverflow.com/questions/1637019/how-to-get-the-jquery-ajax-error-response-text,How to get the jQuery $.ajax error response text?,,,,
42,"['javascript', 'arrays', 'merge']","{'account_id': 55391, 'reputation': 23233, 'user_id': 165873, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/4cvPG.jpg?s=256&g=1', 'display_name': 'Vijjendra', 'link': 'https://stackoverflow.com/users/165873/vijjendra'}",True,1864778,1515059331.0,1584377.0,89,1850,1657252342,1255854897,1508308179.0,1584370,CC BY-SA 3.0,https://stackoverflow.com/questions/1584370/how-to-merge-two-arrays-in-javascript-and-de-duplicate-items,How to merge two arrays in JavaScript and de-duplicate items,,,,
43,"['javascript', 'html', 'cross-browser']","{'account_id': 561055, 'reputation': 1517, 'user_id': 132488, 'user_type': 'unregistered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/28f50b435698716855953bbff8fe2ad7?s=256&d=identicon&r=PG', 'display_name': 'Tesseract', 'link': 'https://stackoverflow.com/users/132488/tesseract'}",True,238151,,,3,51,1656943482,1256914542,1429578624.0,1650299,CC BY-SA 3.0,https://stackoverflow.com/questions/1650299/how-do-i-change-the-id-of-a-html-element-with-javascript,How do I change the ID of a HTML element with JavaScript?,,,,
44,"['javascript', 'events', 'dom-events']","{'account_id': 33759, 'reputation': 35159, 'user_id': 94813, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/309b6e38fe3e1f926bfd6de600ce0346?s=256&d=identicon&r=PG', 'display_name': 'Rakesh Juyal', 'link': 'https://stackoverflow.com/users/94813/rakesh-juyal'}",True,482,,1623647.0,1,0,1656429987,1256542358,1656429987.0,1623492,CC BY-SA 4.0,https://stackoverflow.com/questions/1623492/how-to-skip-the-method-if-the-event-is-generated-from-specified-button,How to skip the method if the event is generated from specified button?,,,,
45,"['javascript', 'events', 'dom-events']","{'account_id': 57217, 'reputation': 19076, 'user_id': 171365, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://i.stack.imgur.com/g5nZa.jpg?s=256&g=1', 'display_name': 'Santhosh', 'link': 'https://stackoverflow.com/users/171365/santhosh'}",True,23757,,,3,8,1656351796,1256879899,1656351796.0,1648130,CC BY-SA 4.0,https://stackoverflow.com/questions/1648130/keycode-on-keydown-event,keycode on keydown event,,,,
46,"['javascript', 'html', 'wmd', 'html-sanitizing']","{'account_id': 36229, 'reputation': 22770, 'user_id': 103202, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/6c98878ee0c48109b3c395e2cf4eb244?s=256&d=identicon&r=PG', 'display_name': 'Sander Marechal', 'link': 'https://stackoverflow.com/users/103202/sander-marechal'}",True,134542,1479276001.0,,3,46,1655751477,1256736927,1380602851.0,1637275,,https://stackoverflow.com/questions/1637275/simple-html-sanitizer-in-javascript,Simple HTML sanitizer in Javascript,1655760692.0,Not suitable for this site,,
47,"['javascript', 'css', 'dom-events']","{'account_id': 36763, 'reputation': 3596, 'user_id': 104965, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/242f4f4f0a87ac9caeeba1cdd772193e?s=256&d=identicon&r=PG', 'display_name': 'Baversjo', 'link': 'https://stackoverflow.com/users/104965/baversjo'}",True,4368,,1560780.0,2,4,1655361262,1255445687,1655361262.0,1560750,CC BY-SA 4.0,https://stackoverflow.com/questions/1560750/javascript-event-css-background-image-loaded,JavaScript event CSS background image loaded,,,,
48,"['javascript', 'jquery', 'css', 'jquery-events']","{'user_type': 'does_not_exist', 'display_name': 'David Savage'}",True,250,,1561201.0,2,1,1654969648,1255448519,1654969648.0,1561086,CC BY-SA 4.0,https://stackoverflow.com/questions/1561086/interactive-javascript-bar,Interactive JavaScript Bar,,,,
49,['javascript'],"{'account_id': 38821, 'reputation': 45753, 'user_id': 111665, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/1678377fcbe8f336ac0c70de21677c7b?s=256&d=identicon&r=PG', 'display_name': 'Phillip Senn', 'link': 'https://stackoverflow.com/users/111665/phillip-senn'}",True,380338,,1574020.0,9,182,1654241328,1255629066,1255629922.0,1574008,CC BY-SA 2.5,https://stackoverflow.com/questions/1574008/how-to-simulate-target-blank-in-javascript,How to simulate target=&quot;_blank&quot; in JavaScript,,,,
