,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,bounty_amount,bounty_closes_date,closed_date,closed_reason
10,"['javascript', 'node.js', 'redis', 'nestjs', 'nestjs-config']","{'account_id': 5632337, 'reputation': 598, 'user_id': 4458917, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/sypl6.jpg?s=256&g=1', 'display_name': 'Nairi Abgaryan', 'link': 'https://stackoverflow.com/users/4458917/nairi-abgaryan'}",True,2164,,3,1,1669302016,1659471922,1659502825.0,73213405,CC BY-SA 4.0,https://stackoverflow.com/questions/73213405/in-nest-js-i-added-redis-as-a-cache-manager-and-cant-find-any-added-data-in-r,"In Nest js, I added Redis as a cache manager. And can&#39;t find any added data in Redis after calling the set function. So, am I missing something?",,,,
11,"['javascript', 'salesforce', 'lwc', 'salesforce-developer']","{'account_id': 25944773, 'reputation': 1, 'user_id': 19884249, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmkjQ4sdg3xl1TPJ-Z6jwwB3TG0TbmUXIwiy84pa=k-s256', 'display_name': 'Kapil Prajapat', 'link': 'https://stackoverflow.com/users/19884249/kapil-prajapat'}",False,82,,2,0,1669285767,1661920709,1661920992.0,73550923,CC BY-SA 4.0,https://stackoverflow.com/questions/73550923/in-lwc-javascript-controller-splice-method-not-working-with-api-variable-which,In LWC JavaScript controller splice method not working with @api variable which is an array,,,,
12,"['javascript', 'reactjs', 'webpack', 'code-splitting', 'react-lazy-load']","{'account_id': 6320916, 'reputation': 4995, 'user_id': 4909000, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/25f896fb72bfa03c9a685b807c783f59?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alk', 'link': 'https://stackoverflow.com/users/4909000/alk'}",False,365,,0,1,1669284957,1659310755,,73187679,CC BY-SA 4.0,https://stackoverflow.com/questions/73187679/react-lazy-import-does-not-include-css-files,React Lazy Import does not include CSS files,,,,
13,"['javascript', 'reactjs', 'remix.run']","{'account_id': 1160467, 'reputation': 5837, 'user_id': 1140065, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/Mnoxr.png?s=256&g=1', 'display_name': 'Camilo', 'link': 'https://stackoverflow.com/users/1140065/camilo'}",True,214,,1,1,1669261093,1659364445,,73195325,CC BY-SA 4.0,https://stackoverflow.com/questions/73195325/how-to-set-custom-title-for-not-found-pages-in-remix,How to set custom title for not found pages in Remix?,,,,
14,"['javascript', 'reactjs', 'sqlite', 'prisma']","{'account_id': 24860525, 'reputation': 51, 'user_id': 18736359, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/xXZqo.jpg?s=256&g=1', 'display_name': 'danimadmolil', 'link': 'https://stackoverflow.com/users/18736359/danimadmolil'}",False,138,,1,0,1669255362,1660598770,,73366583,CC BY-SA 4.0,https://stackoverflow.com/questions/73366583/how-to-get-deep-nested-json-from-a-query-on-self-relation-table-in-prisma,how to get deep nested json from a query on self relation table in prisma,,,,
15,"['javascript', 'flutter', 'asp.net-core', 'helper', 'issue-tracking']","{'account_id': 25946190, 'reputation': 21, 'user_id': 19664892, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucolSSxcszbB0QPMC1ePbShEeluogtUVmiiPrdU4Ow=k-s256', 'display_name': 'Sem Tavares', 'link': 'https://stackoverflow.com/users/19664892/sem-tavares'}",True,1582,,1,2,1669229828,1659345616,,73191538,CC BY-SA 4.0,https://stackoverflow.com/questions/73191538/the-current-gradle-version-6-7-is-not-compatible,The current Gradle version 6.7 is not compatible,,,,
16,"['javascript', 'vue.js', 'quill', 'vue-quill-editor']","{'account_id': 25529660, 'reputation': 1100, 'user_id': 19317939, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/QCbGW.jpg?s=256&g=1', 'display_name': 'Mishen Thakshana', 'link': 'https://stackoverflow.com/users/19317939/mishen-thakshana'}",True,127,73349250.0,1,2,1669201782,1660410933,,73346276,CC BY-SA 4.0,https://stackoverflow.com/questions/73346276/how-to-use-vue-quill-image-compressor-module,How to use vue-quill image compressor module,,,,
17,"['javascript', 'html', 'slick.js', 'lottie']","{'account_id': 10285175, 'reputation': 522, 'user_id': 7588726, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d4af304bce2e41c7cea057112d45d403?s=256&d=identicon&r=PG&f=1', 'display_name': 'Adam Wr&#243;bel', 'link': 'https://stackoverflow.com/users/7588726/adam-wr%c3%b3bel'}",False,151,,0,1,1669136462,1659554813,,73226795,CC BY-SA 4.0,https://stackoverflow.com/questions/73226795/use-lottie-in-slick-carousel-slide,Use lottie in slick carousel slide,,,,
18,"['javascript', 'string', 'type-conversion', 'pascal', 'ansi']","{'account_id': 3297079, 'reputation': 63, 'user_id': 2774094, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tactic', 'link': 'https://stackoverflow.com/users/2774094/tactic'}",False,48,,1,0,1669132761,1661460775,,73493584,CC BY-SA 4.0,https://stackoverflow.com/questions/73493584/adapt-pascal-function-ansichar-and-ansistring-in-javascript,Adapt Pascal function AnsiChar() and AnsiString() in JavaScript?,,,,
19,"['javascript', 'reactjs']","{'account_id': 22898232, 'reputation': 331, 'user_id': 17037420, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d3fcb177108634d643ad6f234b767025?s=256&d=identicon&r=PG', 'display_name': 'TestUser', 'link': 'https://stackoverflow.com/users/17037420/testuser'}",True,67,73264969.0,1,0,1669095719,1659757676,1659798041.0,73257022,CC BY-SA 4.0,https://stackoverflow.com/questions/73257022/react-enable-disable-checkboxlist-data-depending-upon-data-attribute-on-page-lo,"React, enable/disable checkboxlist data depending upon data attribute on page load?",,,,
20,"['javascript', 'html', 'memory-leaks']","{'account_id': 25400703, 'reputation': 67, 'user_id': 19210262, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9357ccd6a99f9e8fbe802a728027d9f0?s=256&d=identicon&r=PG', 'display_name': 'rd1218', 'link': 'https://stackoverflow.com/users/19210262/rd1218'}",True,89,74524249.0,1,0,1669060553,1660930307,1660938284.0,73420350,CC BY-SA 4.0,https://stackoverflow.com/questions/73420350/js-memory-leak-append-table,JS - memory leak - append table,,,,
21,"['javascript', 'reactjs', 'arrays']","{'account_id': 25375761, 'reputation': 21, 'user_id': 19188930, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxH4t8SQSfR2xlzXf-rDd8rBHtKV4PC3pqekz1f=k-s256', 'display_name': 'pummy sinha', 'link': 'https://stackoverflow.com/users/19188930/pummy-sinha'}",False,312,,1,1,1669021202,1659955500,,73276646,CC BY-SA 4.0,https://stackoverflow.com/questions/73276646/dynamic-column-and-row-in-datagrid-in-react-js,Dynamic Column and Row In datagrid in React JS,,,,
22,['javascript'],"{'account_id': 25858535, 'reputation': 153, 'user_id': 19591368, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5ebd1b8b40a11755494380120d5f0ad3?s=256&d=identicon&r=PG', 'display_name': 'Mishonda', 'link': 'https://stackoverflow.com/users/19591368/mishonda'}",True,112,,4,1,1669017691,1661141490,1661142364.0,73440130,CC BY-SA 4.0,https://stackoverflow.com/questions/73440130/reverse-a-string-using-two-pointer-method-in-js,Reverse a string using two-pointer method in JS,,,,
23,"['javascript', 'reactjs', 'infinite-scroll', 'react-infinite-scroll-component']","{'account_id': 17974901, 'reputation': 328, 'user_id': 13062745, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ef972868e57fac2aa1dd9fb48b0b3bf7?s=256&d=identicon&r=PG&f=1', 'display_name': 'zxcisnoias', 'link': 'https://stackoverflow.com/users/13062745/zxcisnoias'}",True,397,73260330.0,2,2,1668956933,1659742409,1659746129.0,73256140,CC BY-SA 4.0,https://stackoverflow.com/questions/73256140/react-infinite-scroll-component-not-firing-next-function,“react-infinite-scroll-component” not firing next function,,,,
24,"['javascript', 'typescript', 'solid-js']","{'account_id': 23707995, 'reputation': 139, 'user_id': 17730226, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1f5270814ad60f48c24951772f47eade?s=256&d=identicon&r=PG', 'display_name': 'clencat', 'link': 'https://stackoverflow.com/users/17730226/clencat'}",True,67,73872077.0,2,3,1668940562,1661140615,1661498416.0,73440069,CC BY-SA 4.0,https://stackoverflow.com/questions/73440069/how-to-listen-to-only-a-certain-value-of-an-object-in-solid-js,How to listen to only a certain value of an object in solid-js?,,,,
25,"['javascript', 'node.js', 'blockchain', 'hardhat']","{'account_id': 25771510, 'reputation': 33, 'user_id': 19520174, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmke1RbnYEGpTgz9FoHYBFFlbylFcxy95p7_UOAF=k-s256', 'display_name': 'Paweł Stach', 'link': 'https://stackoverflow.com/users/19520174/pawe%c5%82-stach'}",True,462,,4,0,1668912565,1659950320,,73275509,CC BY-SA 4.0,https://stackoverflow.com/questions/73275509/error-invalid-chai-property-revertedwith,Error: Invalid Chai property: revertedWith,,,,
26,"['javascript', 'html', 'model-view-controller', 'slider', 'slideshow']","{'account_id': 23842884, 'reputation': 131, 'user_id': 17847724, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/35bc6a99e710d136b738a4c58459b24a?s=256&d=identicon&r=PG', 'display_name': 'vives', 'link': 'https://stackoverflow.com/users/17847724/vives'}",False,147,,1,0,1668897551,1661151467,1661152315.0,73441225,CC BY-SA 4.0,https://stackoverflow.com/questions/73441225/how-to-make-an-automatic-slideshow-with-buttons,How to make an automatic slideshow with buttons?,,,,
27,"['javascript', 'interpolation']","{'account_id': 1904472, 'reputation': 521, 'user_id': 1719619, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/e99cfd660f312bb46e01004d3e3f2378?s=256&d=identicon&r=PG', 'display_name': 'Anamaria Miehs', 'link': 'https://stackoverflow.com/users/1719619/anamaria-miehs'}",True,139,,2,0,1668891492,1660138198,,73307218,CC BY-SA 4.0,https://stackoverflow.com/questions/73307218/javascript-interpolation-how-do-you-best-replace-items-from-a-variable-contain,Javascript interpolation - how do you best replace items from a variable containing the string?,,,,
28,"['javascript', 'vue.js']","{'account_id': 5036423, 'reputation': 5, 'user_id': 4045046, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-6xrgM5pzaE4/AAAAAAAAAAI/AAAAAAAAC3Q/Ji3zf-m-rZA/photo.jpg?sz=256', 'display_name': 'spgk', 'link': 'https://stackoverflow.com/users/4045046/spgk'}",False,71,,1,0,1668884535,1661363566,,73477639,CC BY-SA 4.0,https://stackoverflow.com/questions/73477639/redirection-to-another-vue-or-page-using-vue-form-wizard,Redirection to Another Vue or Page using Vue Form Wizard,,,,
29,"['javascript', 'material-ui', 'react-proptypes']","{'account_id': 86204, 'reputation': 39455, 'user_id': 239879, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/b9e2d7ef70e61ce1c509e556c453626d?s=256&d=identicon&r=PG', 'display_name': 'Shamoon', 'link': 'https://stackoverflow.com/users/239879/shamoon'}",True,134,74185250.0,1,4,1668788892,1659371166,,73196804,CC BY-SA 4.0,https://stackoverflow.com/questions/73196804/how-can-i-do-a-boolean-undefined-vs-boolean-null-proptype,How can I do a boolean | undefined vs boolean | null PropType?,,,,
30,"['javascript', 'vue.js', 'web', 'vuejs2', 'vue-component']","{'account_id': 24936867, 'reputation': 1, 'user_id': 19181075, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e50c1c8186ead409a5447f822343f0e0?s=256&d=identicon&r=PG', 'display_name': 'Gleb-Shalygin', 'link': 'https://stackoverflow.com/users/19181075/gleb-shalygin'}",False,57,,1,0,1668758744,1659456841,,73210647,CC BY-SA 4.0,https://stackoverflow.com/questions/73210647/how-do-i-change-a-cell-in-the-element-ui-table,How do I change a cell in the element-ui table?,,,,
31,"['javascript', 'html', 'css', 'reactjs', 'infinite-scroll']","{'account_id': 23097064, 'reputation': 35, 'user_id': 17206992, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2a4b7f8509fafbc9405e57273836df81?s=256&d=identicon&r=PG', 'display_name': 'React-beginner', 'link': 'https://stackoverflow.com/users/17206992/react-beginner'}",False,562,,2,2,1668741649,1659971580,,73280173,CC BY-SA 4.0,https://stackoverflow.com/questions/73280173/how-to-avoid-scrollbar-staying-on-top-when-loading-more-data-infinite-scroll-i,How to avoid scrollbar staying on top when loading more data (infinite scroll) in React,,,,
32,"['javascript', 'reactjs', 'npm', 'create-react-app', 'vite']","{'account_id': 19835692, 'reputation': 73, 'user_id': 14529403, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/DxMMJ.png?s=256&g=1', 'display_name': 'gouder hicham', 'link': 'https://stackoverflow.com/users/14529403/gouder-hicham'}",False,261,,1,2,1668701956,1660074845,,73297379,CC BY-SA 4.0,https://stackoverflow.com/questions/73297379/how-to-move-index-html-file-in-a-react-app-bundled-via-vite-to-the-public-direct,how to move index-html file in a react app bundled via vite to the public directory,,,,
33,"['javascript', 'reactjs', 'i18next', 'react-i18next']","{'account_id': 19497446, 'reputation': 233, 'user_id': 16765604, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgCTlIuecQgoC_szUlZMHMrQIyilZPHcKPNLREu=k-s256', 'display_name': 'Alina', 'link': 'https://stackoverflow.com/users/16765604/alina'}",False,436,,1,3,1668694255,1659674948,,73244803,CC BY-SA 4.0,https://stackoverflow.com/questions/73244803/how-to-dynamically-add-language-to-url-in-react-using-i18next,How to dynamically add language to URL in React using i18next?,,,,
34,"['javascript', 'html', 'jquery', 'tabs', 'jquery-plugins']","{'account_id': 6341629, 'reputation': 26, 'user_id': 4923340, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9f6d9161927c87283dade38039220bb9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Netih J', 'link': 'https://stackoverflow.com/users/4923340/netih-j'}",False,32,,0,0,1668675012,1661509585,1668675012.0,73499566,CC BY-SA 4.0,https://stackoverflow.com/questions/73499566/jquery-accordions-tabs-mobile-responsiveness-issue,Jquery - accordions tabs mobile responsiveness issue,,,,
35,"['javascript', 'reactjs', 'class', 'window', 'onbeforeunload']","{'account_id': 23107314, 'reputation': 127, 'user_id': 17215694, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d7bedc7f506b9a2fb8a814ae79511947?s=256&d=identicon&r=PG', 'display_name': 'penguin', 'link': 'https://stackoverflow.com/users/17215694/penguin'}",False,138,,3,0,1668656537,1660321604,1660324560.0,73337160,CC BY-SA 4.0,https://stackoverflow.com/questions/73337160/react-onbeforeunload-not-sure-how-to-use,React onbeforeunload - not sure how to use,,,,
36,"['javascript', 'node.js', 'spawn']","{'account_id': 25629629, 'reputation': 77, 'user_id': 19400202, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/11550a7cc8f7c1d2ab1bfecb4a931d58?s=256&d=identicon&r=PG', 'display_name': 'imagesck', 'link': 'https://stackoverflow.com/users/19400202/imagesck'}",False,48,,1,0,1668638720,1659454725,1659457435.0,73210212,CC BY-SA 4.0,https://stackoverflow.com/questions/73210212/spawn-process-inside-process-or-detached-it-pkg-builder,Spawn process inside process or detached it pkg builder,,,,
37,"['javascript', 'react-native', 'scrollview']","{'account_id': 4640755, 'reputation': 9323, 'user_id': 3935035, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/370b7aad76088f41a3bf9ee5020bc0e5?s=256&d=identicon&r=PG&f=1', 'display_name': 'four-eyes', 'link': 'https://stackoverflow.com/users/3935035/four-eyes'}",True,44,73430345.0,3,0,1668620026,1660980669,1668620026.0,73424862,CC BY-SA 4.0,https://stackoverflow.com/questions/73424862/add-backgroundimage-to-scrollview-in-react-native-for-javascript,Add BackgroundImage to ScrollView in React-Native for JavaScript,,,,
38,"['javascript', 'react-native', 'animation']","{'account_id': 4640755, 'reputation': 9323, 'user_id': 3935035, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/370b7aad76088f41a3bf9ee5020bc0e5?s=256&d=identicon&r=PG&f=1', 'display_name': 'four-eyes', 'link': 'https://stackoverflow.com/users/3935035/four-eyes'}",True,27,73423950.0,1,0,1668620015,1660918657,1668620015.0,73418196,CC BY-SA 4.0,https://stackoverflow.com/questions/73418196/animation-is-not-showing-with-animated-value-in-react-native-for-javascript,Animation is not showing with Animated.Value in React-Native for JavaScript,,,,
39,"['javascript', 'typescript', 'amazon-web-services', 'aws-cdk', 'transpiler']","{'account_id': 11835674, 'reputation': 1086, 'user_id': 8661071, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/182290d977f1f9fdaa010fe8a60f276e?s=256&d=identicon&r=PG&f=1', 'display_name': 'MasterOfTheHouse', 'link': 'https://stackoverflow.com/users/8661071/masterofthehouse'}",True,362,73325197.0,1,0,1668611336,1660181954,1660241367.0,73314391,CC BY-SA 4.0,https://stackoverflow.com/questions/73314391/aws-cdk-yarn-synth-o-tmp-artifacts-returning-error-enoent-no-such-file-or-dir,"aws-cdk yarn synth -o /tmp/artifacts returning error ENOENT: no such file or directory, open &#39;/tmp/artifacts/manifest.json&#39;",,,,
40,"['javascript', 'blockchain', 'solidity', 'smartcontracts']","{'account_id': 26152008, 'reputation': 1, 'user_id': 19839830, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmkacowFhshhkcu197XWS2kj1pNNWS7b-r9txWSH=k-s256', 'display_name': 'Lesnar', 'link': 'https://stackoverflow.com/users/19839830/lesnar'}",False,29,,0,0,1668609301,1661360701,,73477115,CC BY-SA 4.0,https://stackoverflow.com/questions/73477115/i-am-getting-these-errors-while-adding-a-task-to-my-todolist-i-am-creating-this,I am getting these errors while adding a task to my todoList. I am creating this using blockchain technolo,,,,
41,"['javascript', 'variable-assignment', 'referenceerror']","{'account_id': 26070534, 'reputation': 21, 'user_id': 19770287, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucr6rkI97Av2m8o0I_2LDk4emXQdG9MTBC1qmKjeww=k-s256', 'display_name': 'Matt P', 'link': 'https://stackoverflow.com/users/19770287/matt-p'}",True,1283,,7,1,1668608150,1660589396,1660589512.0,73365251,CC BY-SA 4.0,https://stackoverflow.com/questions/73365251/having-a-problem-with-a-javascript-assignment-and-i-have-no-idea-what-the-soluti,"Having a problem with a Javascript assignment and I have no idea what the solution is, i have tried everything",,,,
42,"['javascript', 'google-sheets', 'gmail']","{'account_id': 26202174, 'reputation': 1, 'user_id': 19882374, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5d227d8bbf5a34eab17b90cd24133105?s=256&d=identicon&r=PG', 'display_name': 'SomeHRrep', 'link': 'https://stackoverflow.com/users/19882374/somehrrep'}",False,45,,0,0,1668603937,1661892139,1661893587.0,73548248,CC BY-SA 4.0,https://stackoverflow.com/questions/73548248/google-sheet-script-send-an-email-reminder-based-on-due-date,Google Sheet script - send an email reminder based on due date,,,,
43,"['javascript', 'reactjs', 'pdf', 'react-pdf']","{'account_id': 17347336, 'reputation': 1996, 'user_id': 12566640, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/12de725504906eec83c01e03fd970226?s=256&d=identicon&r=PG&f=1', 'display_name': 'r121', 'link': 'https://stackoverflow.com/users/12566640/r121'}",True,5723,,6,16,1668597091,1661868719,,73543912,CC BY-SA 4.0,https://stackoverflow.com/questions/73543912/attempted-import-error-create-is-not-exported-from-fontkit-imported-as-fo,Attempted import error: &#39;create&#39; is not exported from &#39;fontkit&#39; (imported as &#39;fontkit&#39;),,,,
44,"['javascript', 'php', 'ajax', 'laravel', 'view']","{'account_id': 8107205, 'reputation': 467, 'user_id': 6108371, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/0c12fa9c605505ef6179d6a74ece76cd?s=256&d=identicon&r=PG&f=1', 'display_name': 'in2d', 'link': 'https://stackoverflow.com/users/6108371/in2d'}",True,82,73477701.0,1,1,1668566541,1661325543,1661326743.0,73468942,CC BY-SA 4.0,https://stackoverflow.com/questions/73468942/how-can-i-return-view-and-pass-in-data-in-laravel-with-ajax,How can I return view and pass in data in Laravel with Ajax?,,,,
45,"['javascript', 'node.js', 'discord.js']","{'account_id': 25834748, 'reputation': 36, 'user_id': 19571301, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucrHS_zeIItl4cDb7Df3pAf43eMu0FA25knpIgJw=k-s256', 'display_name': 'Sans', 'link': 'https://stackoverflow.com/users/19571301/sans'}",True,61,74452795.0,1,0,1668550441,1660829811,1660829952.0,73404049,CC BY-SA 4.0,https://stackoverflow.com/questions/73404049/remove-a-value-from-a-json-file,Remove a value from a json file,,,,
46,"['javascript', 'react-native']","{'account_id': 25284844, 'reputation': 123, 'user_id': 19112047, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/fOBH6.jpg?s=256&g=1', 'display_name': 'Mahdyar', 'link': 'https://stackoverflow.com/users/19112047/mahdyar'}",False,857,,3,4,1668527510,1660813983,,73400376,CC BY-SA 4.0,https://stackoverflow.com/questions/73400376/requirenativecomponent-autolayoutview-when-using-flash-list-in-react-native,requireNativeComponent: &quot;AutoLayoutView&quot; when using flash list in React Native,,,,
