,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date,migrated_from,community_owned_date
11,"['javascript', 'node.js']","{'account_id': 1468834, 'reputation': 85138, 'user_id': 1380918, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/7c4c301aaf34810e2f2b6e0411fbd473?s=256&d=identicon&r=PG&f=1', 'display_name': 'hexacyanide', 'link': 'https://stackoverflow.com/users/1380918/hexacyanide'}",True,67261,12453463.0,10,44,1668435158,1347855371,12453057,CC BY-SA 3.0,https://stackoverflow.com/questions/12453057/node-js-count-the-number-of-lines-in-a-file,Node.js: Count the number of lines in a file,1369019593.0,,,,,
12,"['javascript', 'jquery', 'jquery-events']","{'account_id': 944154, 'reputation': 526, 'user_id': 971743, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/dc2d7773f298b2d31d936e6547076cb7?s=256&d=identicon&r=PG', 'display_name': 'Diogo Garcia', 'link': 'https://stackoverflow.com/users/971743/diogo-garcia'}",False,63,,0,1,1668349652,1346429082,12218938,CC BY-SA 4.0,https://stackoverflow.com/questions/12218938/coinslider-not-able-to-access-css-atributes-of-element,CoinSlider Not able to access CSS atributes of element,1668349652.0,,,,,
13,"['javascript', 'jquery', 'jquery-events']","{'account_id': 53456, 'reputation': 10484, 'user_id': 159795, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/4469b1b96938606e1c447de3da4ed534?s=256&d=identicon&r=PG', 'display_name': 'Nick', 'link': 'https://stackoverflow.com/users/159795/nick'}",True,16341,12222229.0,2,13,1668335172,1346445663,12222208,CC BY-SA 4.0,https://stackoverflow.com/questions/12222208/jquery-event-target-is-a-child-ofelement,jQuery event.target is_a_child_of(element),1668335172.0,,,,,
14,"['javascript', 'jquery', 'jquery-events']","{'account_id': 299866, 'reputation': 1507, 'user_id': 606696, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/d61ec462b6359b3d9716577f4ccc1b34?s=256&d=identicon&r=PG', 'display_name': 'moondog', 'link': 'https://stackoverflow.com/users/606696/moondog'}",True,94,12223600.0,3,1,1668335126,1346455360,12223569,CC BY-SA 4.0,https://stackoverflow.com/questions/12223569/different-click-callbacks-in-different-scripts-can-i-control-order-of-executi,different &#39;click&#39; callbacks in different scripts: can I control order of execution?,1668335126.0,,,,,
15,"['javascript', 'jquery', 'jquery-events']","{'account_id': 325224, 'reputation': 32656, 'user_id': 646276, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/2bee1ec15d20928432d69759f97fd722?s=256&d=identicon&r=PG', 'display_name': 'Lolly', 'link': 'https://stackoverflow.com/users/646276/lolly'}",True,1911,12252973.0,2,0,1668335094,1346698618,12252824,CC BY-SA 4.0,https://stackoverflow.com/questions/12252824/using-javascript-to-bind-onclick-event-with-arguments,Using JavaScript to bind onclick event with arguments,1668335094.0,,,,,
16,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1023591, 'reputation': 165, 'user_id': 1033367, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/833abe6678af61dc2121c9fa0e5b676a?s=256&d=identicon&r=PG', 'display_name': 'nilesh1006', 'link': 'https://stackoverflow.com/users/1033367/nilesh1006'}",True,2706,12266345.0,3,0,1668335025,1346770952,12266265,CC BY-SA 4.0,https://stackoverflow.com/questions/12266265/image-flickering-with-setinterval-function,Image flickering with setInterval() function,1668335025.0,,,,,
17,"['javascript', 'jquery', 'jquery-events']","{'account_id': 8372, 'reputation': 219684, 'user_id': 15055, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/7f71287b47b7189d11fe6d3fbc7ed2fe?s=256&d=identicon&r=PG', 'display_name': 'Claudiu', 'link': 'https://stackoverflow.com/users/15055/claudiu'}",True,198,12267913.0,1,6,1668260846,1346775340,12267518,CC BY-SA 4.0,https://stackoverflow.com/questions/12267518/how-do-i-remove-being-pressed-state-from-checkbox,How do I remove &#39;being pressed&#39; state from checkbox?,1668260846.0,,,,,
18,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1717936, 'reputation': 17931, 'user_id': 1574622, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/125d2165cfdfea8f58fbb065a8c83665?s=256&d=identicon&r=PG', 'display_name': 'N. Taylor Mullen', 'link': 'https://stackoverflow.com/users/1574622/n-taylor-mullen'}",True,1057,12290004.0,1,3,1668260789,1346880058,12289984,CC BY-SA 4.0,https://stackoverflow.com/questions/12289984/elegant-way-to-check-if-jquery-object-has-an-event-under-a-namespace,Elegant way to check if JQuery object has an event under a namespace,1668260789.0,,,,,
19,"['javascript', 'jquery', 'jquery-events']","{'account_id': 334452, 'reputation': 389, 'user_id': 660913, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/8aea178fd74ccdaba3949883fd3d8c7b?s=256&d=identicon&r=PG', 'display_name': 'Gale', 'link': 'https://stackoverflow.com/users/660913/gale'}",True,3825,,3,3,1668260721,1346934788,12300229,,https://stackoverflow.com/questions/12300229/checking-if-element-change-state-from-hidden-to-visible,Checking if element change state from hidden to visible,1668260721.0,1347004533.0,exact duplicate,,,
20,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1759140, 'reputation': 319, 'user_id': 1606703, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/3f26aa5447d0d470506064c13cf650da?s=256&d=identicon&r=PG', 'display_name': 'saschor', 'link': 'https://stackoverflow.com/users/1606703/saschor'}",True,58,,1,0,1668251757,1347050114,12325015,CC BY-SA 4.0,https://stackoverflow.com/questions/12325015/dropdown-menu-size-changed-event,dropdown menu size changed event?,1668251757.0,,,,,
21,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1821769, 'reputation': 147, 'user_id': 1655668, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1c481bd316d6f7227b29e3e55366965b?s=256&d=identicon&r=PG', 'display_name': 'nidoran', 'link': 'https://stackoverflow.com/users/1655668/nidoran'}",True,2246,12325287.0,1,3,1668251722,1347050584,12325113,CC BY-SA 4.0,https://stackoverflow.com/questions/12325113/jquery-ajax-ajaxsuccess-event-not-firing,jQuery Ajax .ajaxSuccess() event not firing,1668251722.0,,,,,
22,"['javascript', 'jquery', 'jquery-events']","{'account_id': 326297, 'reputation': 39141, 'user_id': 647991, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/yFZCC.jpg?s=256&g=1', 'display_name': 'blueFast', 'link': 'https://stackoverflow.com/users/647991/bluefast'}",True,821,12332175.0,2,1,1668251687,1347106582,12330663,CC BY-SA 4.0,https://stackoverflow.com/questions/12330663/react-to-form-auto-filling-by-browser,React to form auto-filling by browser,1668251687.0,,,,,
23,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1660688, 'reputation': 31, 'user_id': 1529045, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/77ab886b79a96e14c65ea0bab0dd0321?s=256&d=identicon&r=PG', 'display_name': 'cypeker', 'link': 'https://stackoverflow.com/users/1529045/cypeker'}",False,902,,1,0,1668244332,1347343702,12363671,CC BY-SA 4.0,https://stackoverflow.com/questions/12363671/how-can-i-use-the-jquery-validation-engine-validation-group,How can I use the jQuery validation engine validation group?,1668244332.0,,,,,
24,"['javascript', 'jquery', 'jquery-events']","{'account_id': 93806, 'reputation': 5838, 'user_id': 256465, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://i.stack.imgur.com/tga4A.jpg?s=256&g=1', 'display_name': 'sultan', 'link': 'https://stackoverflow.com/users/256465/sultan'}",True,376,12364382.0,2,1,1668244307,1347346488,12364280,CC BY-SA 4.0,https://stackoverflow.com/questions/12364280/jquery-1-7-2-on-works-on-one-page-and-doesnt-work-on-another,jQuery 1.7.2: .on() works on one page and doesn&#39;t work on another,1668244307.0,,,,,
25,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1317177, 'reputation': 44111, 'user_id': 1263783, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/2d199492d296fad1c64bbc157c12742d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Techie', 'link': 'https://stackoverflow.com/users/1263783/techie'}",True,90,12411875.0,2,-2,1668244266,1347558037,12411849,CC BY-SA 4.0,https://stackoverflow.com/questions/12411849/jquery-filter-method-usage,jQuery filter method usage,1668244266.0,,,,,
26,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1317177, 'reputation': 44111, 'user_id': 1263783, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/2d199492d296fad1c64bbc157c12742d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Techie', 'link': 'https://stackoverflow.com/users/1263783/techie'}",True,97,12449754.0,2,2,1668244221,1347821703,12449728,CC BY-SA 4.0,https://stackoverflow.com/questions/12449728/append-jquery-function,.append jQuery function,1668244221.0,,,,,
27,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1134786, 'reputation': 946, 'user_id': 1120064, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/ec77517ab56e81972c117400ef0756c9?s=256&d=identicon&r=PG', 'display_name': 'mdance', 'link': 'https://stackoverflow.com/users/1120064/mdance'}",False,537,,1,0,1668197016,1347922920,12468240,,https://stackoverflow.com/questions/12468240/how-do-i-remove-an-event-listener,How do I remove an event listener?,1668197016.0,1347947748.0,exact duplicate,,,
28,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1121803, 'reputation': 13769, 'user_id': 1109988, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/7649cddd9be08e1bd02ce5622d7776d6?s=256&d=identicon&r=PG', 'display_name': 'sdespont', 'link': 'https://stackoverflow.com/users/1109988/sdespont'}",True,221,12471522.0,1,1,1668196966,1347949282,12471396,CC BY-SA 4.0,https://stackoverflow.com/questions/12471396/what-is-the-most-efficient-events-declaration-way,What is the most efficient events declaration way?,1668196966.0,,,,,
29,"['javascript', 'jquery', 'dom-events']","{'account_id': 1134786, 'reputation': 946, 'user_id': 1120064, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/ec77517ab56e81972c117400ef0756c9?s=256&d=identicon&r=PG', 'display_name': 'mdance', 'link': 'https://stackoverflow.com/users/1120064/mdance'}",False,189,,0,0,1668196915,1347994807,12483284,CC BY-SA 4.0,https://stackoverflow.com/questions/12483284/event-listener-prevents-another-event-listener-from-firing,Event listener prevents another event listener from firing,1668196915.0,,,,,
30,"['javascript', 'jquery']","{'account_id': 1079155, 'reputation': 944, 'user_id': 1076627, 'user_type': 'registered', 'accept_rate': 14, 'profile_image': 'https://i.stack.imgur.com/lV6WC.png?s=256&g=1', 'display_name': 'Eralph', 'link': 'https://stackoverflow.com/users/1076627/eralph'}",False,1363,,1,0,1668196835,1348038532,12489986,CC BY-SA 4.0,https://stackoverflow.com/questions/12489986/how-to-check-active-tab-in-javascript-jquery,How to check active tab in JavaScript/jQuery?,1668196835.0,,,,,
31,"['javascript', 'appendchild']","{'account_id': 1146408, 'reputation': 139, 'user_id': 1129048, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/7OeCl.jpg?s=256&g=1', 'display_name': 'John', 'link': 'https://stackoverflow.com/users/1129048/john'}",True,14740,12501089.0,3,2,1668184097,1348080754,12501042,CC BY-SA 3.0,https://stackoverflow.com/questions/12501042/appendchild-link-with-onclick-function,AppendChild Link with onClick function,,,,,,
32,"['javascript', 'browser']","{'account_id': 1822413, 'reputation': 2514, 'user_id': 1656134, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/92be5296715c294c69b2c0d81f9dc672?s=256&d=identicon&r=PG', 'display_name': 'Sawant Akshay', 'link': 'https://stackoverflow.com/users/1656134/sawant-akshay'}",True,736955,12381610.0,38,225,1668175021,1347426551,12381563,CC BY-SA 4.0,https://stackoverflow.com/questions/12381563/how-can-i-stop-the-browser-back-button-using-javascript,How can I stop the browser back button using JavaScript?,1607986393.0,,,1503378647.0,,
33,"['javascript', 'jquery', 'jquery-events']","{'account_id': 169104, 'reputation': 955, 'user_id': 395000, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/cb746afad37c2b974e8db2814b9d9dd3?s=256&d=identicon&r=PG', 'display_name': 'rex', 'link': 'https://stackoverflow.com/users/395000/rex'}",True,16835,12502825.0,1,5,1668119832,1348088122,12502769,CC BY-SA 4.0,https://stackoverflow.com/questions/12502769/how-to-get-the-div-top-position-value-while-scrolling,How to get the div top position value while scrolling,1668119832.0,,,,,
34,"['javascript', 'jquery', 'jquery-events']","{'account_id': 104734, 'reputation': 740, 'user_id': 279837, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/f1dcbdc1f9c66e3ce0631edbbcd38ba8?s=256&d=identicon&r=PG', 'display_name': 'zeal', 'link': 'https://stackoverflow.com/users/279837/zeal'}",False,103,,1,0,1668119803,1348102945,12504855,CC BY-SA 4.0,https://stackoverflow.com/questions/12504855/using-ajax-to-load-paired-html-and-js-files-and-keeping-order,Using ajax to load paired html and js files and keeping order,1668119803.0,,,,,
35,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1691424, 'reputation': 586, 'user_id': 1553676, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/7fce17ff6fac6b387760460b51047503?s=256&d=identicon&r=PG', 'display_name': 'yejinxin', 'link': 'https://stackoverflow.com/users/1553676/yejinxin'}",True,193,12585222.0,2,0,1668119709,1348582988,12585052,CC BY-SA 4.0,https://stackoverflow.com/questions/12585052/cannot-get-the-checked-radio-correctly-in-click-event,Cannot get the checked radio correctly in click event,1668119709.0,,,,,
36,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1727204, 'reputation': 54, 'user_id': 1581604, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7b41f891220cda606041830c813997ee?s=256&d=identicon&r=PG', 'display_name': 'Martty Rox', 'link': 'https://stackoverflow.com/users/1581604/martty-rox'}",True,84,,1,0,1668119661,1348652281,12598793,CC BY-SA 4.0,https://stackoverflow.com/questions/12598793/access-control-of-the-multi-variables-in-switch-condition-in-jquery,Access control of the multi variables in switch condition in jQuery,1668119661.0,,,,,
37,"['javascript', 'jquery']","{'account_id': 437851, 'reputation': 44586, 'user_id': 825757, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/4A2fA.jpg?s=256&g=1', 'display_name': 'L84', 'link': 'https://stackoverflow.com/users/825757/l84'}",True,91236,12612133.0,5,10,1667981648,1348702324,12611983,CC BY-SA 3.0,https://stackoverflow.com/questions/12611983/typeerror-is-null,TypeError is Null?,,,,,,
38,"['javascript', 'domready']","{'account_id': 530523, 'reputation': 4550, 'user_id': 942767, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/0aef4b8a8efa53d6b0dea11f7ec524c4?s=256&d=identicon&r=PG', 'display_name': 'silkAdmin', 'link': 'https://stackoverflow.com/users/942767/silkadmin'}",True,50287,12637750.0,4,22,1667918823,1348826121,12637725,CC BY-SA 3.0,https://stackoverflow.com/questions/12637725/what-is-the-dom-ready-event,What is the DOM ready event?,1459452243.0,,,,,
39,"['javascript', 'wordpress', 'tinymce', 'frontend']","{'account_id': 1701793, 'reputation': 1146, 'user_id': 1687356, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://i.stack.imgur.com/vy1KO.jpg?s=256&g=1', 'display_name': 'bpy', 'link': 'https://stackoverflow.com/users/1687356/bpy'}",True,4809,15773510.0,2,2,1667767299,1348232417,12531113,CC BY-SA 3.0,https://stackoverflow.com/questions/12531113/is-there-a-way-to-apply-characters-limit-inside-wp-editor-function,Is there a way to apply characters limit inside wp_editor function?,,,,,,
40,"['javascript', 'short-circuiting']","{'account_id': 159543, 'reputation': 69694, 'user_id': 379008, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/Labo5.png?s=256&g=1', 'display_name': 'GibboK', 'link': 'https://stackoverflow.com/users/379008/gibbok'}",True,65364,12554597.0,3,138,1667745442,1348421657,12554578,CC BY-SA 4.0,https://stackoverflow.com/questions/12554578/does-javascript-have-short-circuit-evaluation,Does JavaScript have &quot;Short-circuit&quot; evaluation?,1557441769.0,,,,,
41,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1529003, 'reputation': 217, 'user_id': 1639408, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/b09e85267fa212699b43738dcce1a308?s=256&d=identicon&r=PG', 'display_name': 'Schutzstaffel', 'link': 'https://stackoverflow.com/users/1639408/schutzstaffel'}",True,43214,12635675.0,4,3,1667738042,1348817630,12635582,CC BY-SA 4.0,https://stackoverflow.com/questions/12635582/jquery-console-log-vs-alert,jQuery console.log() vs alert(),1667738042.0,,,,,
42,"['javascript', 'angularjs', 'requirejs', 'dependency-management']","{'account_id': 1381889, 'reputation': 4575, 'user_id': 1314697, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Zqv6a.jpg?s=256&g=1', 'display_name': 'Franck', 'link': 'https://stackoverflow.com/users/1314697/franck'}",True,160858,,14,450,1667684198,1348224578,12529083,,https://stackoverflow.com/questions/12529083/does-it-make-sense-to-use-require-js-with-angular-js,Does it make sense to use Require.js with Angular.js?,1667684198.0,1404129360.0,Opinion-based,1400158246.0,,
43,['javascript'],"{'user_type': 'does_not_exist', 'display_name': 'user656925'}",True,111164,,7,148,1667469313,1348160421,12517359,CC BY-SA 3.0,https://stackoverflow.com/questions/12517359/performance-date-now-vs-date-gettime,Performance - Date.now() vs Date.getTime(),1365802979.0,,,,,
44,['javascript'],"{'account_id': 425180, 'reputation': 4099, 'user_id': 805627, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/3d91a083d47c66019bcda1f3a9b32fde?s=256&d=identicon&r=PG', 'display_name': 'user805627', 'link': 'https://stackoverflow.com/users/805627/user805627'}",True,1155,12231806.0,4,8,1667157424,1346536632,12231752,CC BY-SA 3.0,https://stackoverflow.com/questions/12231752/why-does-math-pow1-infinity-return-nan,"Why does Math.pow(1, Infinity) return NaN?",,,,,,
45,['javascript'],"{'account_id': 337158, 'reputation': 55863, 'user_id': 665261, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/bae67d1482c1a667677ef18aafe0505d?s=256&d=identicon&r=PG', 'display_name': 'Billy Moon', 'link': 'https://stackoverflow.com/users/665261/billy-moon'}",True,24353,12413321.0,11,55,1667036311,1347563717,12413243,CC BY-SA 3.0,https://stackoverflow.com/questions/12413243/javascript-date-format-like-iso-but-local,Javascript date format like ISO but local,1347567091.0,,,,,
46,"['javascript', 'google-maps', 'connection']","{'account_id': 1805786, 'reputation': 71, 'user_id': 1642898, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/66eb8ce695ac818d4ac5dff0ad78fc5f?s=256&d=identicon&r=PG', 'display_name': 'Puneet Arora', 'link': 'https://stackoverflow.com/users/1642898/puneet-arora'}",False,642,,1,0,1666872772,1346652799,12242846,CC BY-SA 3.0,https://stackoverflow.com/questions/12242846/google-maps-java-script-api-handle-when-no-internet-connection-is-there,Google Maps Java Script API handle when no Internet Connection is there,1378643621.0,,,,,
47,"['javascript', 'jquery', 'gwt']","{'account_id': 426916, 'reputation': 2642, 'user_id': 808409, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://www.gravatar.com/avatar/b59e6bdb8d9050b7201d1c8211f445d1?s=256&d=identicon&r=PG', 'display_name': 'Sree', 'link': 'https://stackoverflow.com/users/808409/sree'}",True,107996,12559256.0,7,37,1666764706,1348463928,12559208,CC BY-SA 3.0,https://stackoverflow.com/questions/12559208/how-to-remove-comma-from-number-which-comes-dynamically-in-tpl-file,How to remove comma from number which comes dynamically in .tpl file,1348499134.0,,,,,
48,"['javascript', 'node.js', 'same-origin-policy', 'cappuccino']","{'account_id': 184143, 'reputation': 12318, 'user_id': 420001, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/3d820fb811e934e6f656a4d6aaa5bb0a?s=256&d=identicon&r=PG', 'display_name': 'Josh', 'link': 'https://stackoverflow.com/users/420001/josh'}",False,746,,2,3,1666295845,1346529410,12230936,CC BY-SA 3.0,https://stackoverflow.com/questions/12230936/how-can-i-use-node-js-with-cappuccino,How Can I Use Node.js With Cappuccino?,1346534930.0,,,,,
