,tags,owner,is_answered,view_count,protected_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,accepted_answer_id,closed_reason,community_owned_date,locked_date
10,"['javascript', 'html', 'css']","{'account_id': 565950, 'reputation': 33, 'user_id': 200686, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/6490f96ee421bd5cb68547d635011805?s=256&d=identicon&r=PG', 'display_name': 'Trong Son', 'link': 'https://stackoverflow.com/users/200686/trong-son'}",True,5129,,5,3,1665626422,1257126737,1495540885.0,1659089,CC BY-SA 3.0,https://stackoverflow.com/questions/1659089/how-to-change-links-color-when-link-is-selected,How to change link&#39;s color when link is selected?,,1662409.0,,,
11,"['javascript', 'character']","{'account_id': 40955, 'reputation': 7342, 'user_id': 118885, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7b05922f79b58c09afa65322a3997642?s=256&d=identicon&r=PG', 'display_name': 'Richard Clayton', 'link': 'https://stackoverflow.com/users/118885/richard-clayton'}",True,354299,,12,628,1665368496,1257167069,1528386148.0,1661197,CC BY-SA 4.0,https://stackoverflow.com/questions/1661197/what-characters-are-valid-for-javascript-variable-names,What characters are valid for JavaScript variable names?,,9337047.0,,,
12,"['javascript', 'view-source']","{'account_id': 56742, 'reputation': 72085, 'user_id': 169992, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/OeNfG.png?s=256&g=1', 'display_name': 'Lance', 'link': 'https://stackoverflow.com/users/169992/lance'}",True,33341,,7,16,1665356110,1259483860,1500678959.0,1815021,CC BY-SA 3.0,https://stackoverflow.com/questions/1815021/programmatically-open-view-source-html-window-in-browser-with-javascript,Programmatically open &quot;View Source&quot; HTML Window in Browser with Javascript?,,1815045.0,,,
13,"['javascript', 'css', 'stylesheet']","{'account_id': 57976, 'reputation': 8280, 'user_id': 173655, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/1280621ba59ccbffcd27ddb2d3837e89?s=256&d=identicon&r=PG', 'display_name': 'Himadri', 'link': 'https://stackoverflow.com/users/173655/himadri'}",True,373084,,17,367,1665230670,1258007727,1408977551.0,1720320,CC BY-SA 3.0,https://stackoverflow.com/questions/1720320/how-to-dynamically-create-css-class-in-javascript-and-apply,How to dynamically create CSS class in JavaScript and apply?,,1720483.0,,,
14,"['javascript', 'jquery', 'dom-events']","{'account_id': 570276, 'reputation': 6141, 'user_id': 214202, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/2d6cddf5c222c08412ca4f97e9f855a6?s=256&d=identicon&r=PG', 'display_name': 'rashcroft22', 'link': 'https://stackoverflow.com/users/214202/rashcroft22'}",True,527106,1411917630.0,29,591,1664953925,1258588695,1566820255.0,1759987,CC BY-SA 4.0,https://stackoverflow.com/questions/1759987/listening-for-variable-changes-in-javascript,Listening for variable changes in JavaScript,,,,,
15,"['javascript', 'jquery', 'unit-testing']","{'account_id': 61110, 'reputation': 2277, 'user_id': 182269, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/839d31565260abb86206a01b73cdf7ab?s=256&d=identicon&r=PG', 'display_name': 'BeraCim', 'link': 'https://stackoverflow.com/users/182269/beracim'}",True,3890,,2,5,1664473861,1259194044,1322787484.0,1800818,,https://stackoverflow.com/questions/1800818/unit-testing-jquery-document-ready-function,Unit testing jQuery document.ready function,1664473855.0,,Duplicate,,
16,"['javascript', 'variables', 'variable-assignment']","{'account_id': 74489, 'reputation': 7955, 'user_id': 214017, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fc0f97989d5cebb7a031526fe9925c2c?s=256&d=identicon&r=PG', 'display_name': 'David Calhoun', 'link': 'https://stackoverflow.com/users/214017/david-calhoun'}",True,140245,1444401135.0,8,214,1664283965,1258573717,,1758576,CC BY-SA 2.5,https://stackoverflow.com/questions/1758576/multiple-left-hand-assignment-with-javascript,Multiple left-hand assignment with JavaScript,,1758912.0,,,
17,['javascript'],"{'user_type': 'does_not_exist', 'display_name': 'user200368'}",True,25423,,2,15,1664266253,1257046618,,1656314,CC BY-SA 2.5,https://stackoverflow.com/questions/1656314/how-to-get-referrer-url-after-a-redirect-in-javascript,How to get referrer URL after a redirect in javascript,,,,,
18,"['javascript', 'browser', 'zooming', 'detection']","{'account_id': 64185, 'reputation': 10992, 'user_id': 189618, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/bbe26b24e17f81d765268453e137c7c6?s=256&d=identicon&r=PG', 'display_name': 'understack', 'link': 'https://stackoverflow.com/users/189618/understack'}",True,360134,1587299143.0,30,353,1663601083,1257927415,1612693775.0,1713771,CC BY-SA 4.0,https://stackoverflow.com/questions/1713771/how-to-detect-page-zoom-level-in-all-modern-browsers,How to detect page zoom level in all modern browsers?,,5078596.0,,,
19,"['javascript', 'regex', 'html-parsing']","{'account_id': 52364, 'reputation': 14346, 'user_id': 156481, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/dae414f44831c9f89c5abf64990eb3e3?s=256&d=identicon&r=PG', 'display_name': 'acme', 'link': 'https://stackoverflow.com/users/156481/acme'}",True,1804,,5,3,1663598566,1257248405,1257250204.0,1666790,CC BY-SA 2.5,https://stackoverflow.com/questions/1666790/how-to-replace-text-not-within-a-specific-tag-in-javascript,How to replace text not within a specific-Tag in JavaScript,,1667004.0,,,
20,"['javascript', 'ajax']","{'user_type': 'does_not_exist', 'display_name': 'user94893'}",True,50230,,11,93,1663008398,1257833649,1663008398.0,1705952,CC BY-SA 4.0,https://stackoverflow.com/questions/1705952/is-possible-to-debug-dynamic-loading-javascript-by-some-debugger-like-webkit-fi,"Is possible to debug dynamic loading JavaScript by some debugger like WebKit, FireBug or the IE8 Developer Tool?",,10929430.0,,,
21,"['javascript', 'bookmarklet']","{'account_id': 17016, 'reputation': 16878, 'user_id': 37664, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/01cd9df78e68ff5586d6a33d9dbdfeb6?s=256&d=identicon&r=PG', 'display_name': 'Yoo', 'link': 'https://stackoverflow.com/users/37664/yoo'}",True,3000,,2,8,1662878495,1259362154,,1810885,CC BY-SA 2.5,https://stackoverflow.com/questions/1810885/easier-bookmarklet-development,easier bookmarklet development,,1810897.0,,,
22,"['javascript', 'variable-assignment', 'conditional-operator', 'operator-precedence', 'compound-assignment']","{'account_id': 66240, 'reputation': 1827, 'user_id': 194458, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/80480a56f7c9b6aa31877204af57db2a?s=256&d=identicon&r=PG', 'display_name': 'Baijs', 'link': 'https://stackoverflow.com/users/194458/baijs'}",True,99393,1492386232.0,7,117,1662740778,1259054821,1662737412.0,1788917,CC BY-SA 4.0,https://stackoverflow.com/questions/1788917/operator-precedence-with-javascripts-ternary-operator,Operator precedence with JavaScript&#39;s ternary operator,,1788931.0,,,
23,"['javascript', 'position', 'margin', 'absolute']","{'account_id': 571600, 'reputation': 141, 'user_id': 215330, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/ca6bc994f8da8a696963334532e37833?s=256&d=identicon&r=PG', 'display_name': 'Johnny', 'link': 'https://stackoverflow.com/users/215330/johnny'}",True,47105,,4,14,1662556754,1258712709,1596592755.0,1769584,CC BY-SA 4.0,https://stackoverflow.com/questions/1769584/get-position-of-element-by-javascript,Get position of element by JavaScript,,,,,
24,"['javascript', 'html', 'dom-events']","{'account_id': 43616, 'reputation': 1514, 'user_id': 127592, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/09476907df7b9a70a56d4bc784870ba7?s=256&d=identicon&r=PG', 'display_name': 'Rohan Grover', 'link': 'https://stackoverflow.com/users/127592/rohan-grover'}",True,2429,,2,0,1662467619,1257357255,1662467619.0,1675558,CC BY-SA 4.0,https://stackoverflow.com/questions/1675558/ondblclick-event-on-a-non-editable-text-box-in-html,onDblClick event on a non-editable text box in HTML,,1676144.0,,,
25,"['javascript', 'optimization']","{'account_id': 568813, 'reputation': 211, 'user_id': 208812, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/c402571e6a6ed5f90df1beb4d493228c?s=256&d=identicon&r=PG', 'display_name': 'TeddyH', 'link': 'https://stackoverflow.com/users/208812/teddyh'}",True,14479,,12,21,1662337039,1257956253,,1716266,CC BY-SA 2.5,https://stackoverflow.com/questions/1716266/javascript-document-getelementbyid-slow-performance,JavaScript: document.getElementById slow performance?,,,,,
26,"['javascript', 'operator-overloading']","{'account_id': 8785, 'reputation': 1149, 'user_id': 15969, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/7840e582f6be5918efbb1e6c9b3367fd?s=256&d=identicon&r=PG', 'display_name': 'slyprid', 'link': 'https://stackoverflow.com/users/15969/slyprid'}",True,48717,,10,103,1661522570,1257888693,1625074681.0,1711357,CC BY-SA 4.0,https://stackoverflow.com/questions/1711357/how-would-you-overload-the-operator-in-javascript,How would you overload the [] operator in javascript,,1711405.0,,,
27,"['javascript', 'json']","{'account_id': 574734, 'reputation': 101, 'user_id': 219512, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/36ce5a4da3f65be513f9ee72ee3993d1?s=256&d=identicon&r=PG', 'display_name': 'Alois Reitbauer', 'link': 'https://stackoverflow.com/users/219512/alois-reitbauer'}",True,818,,2,10,1661519984,1259249967,1661519984.0,1804387,,https://stackoverflow.com/questions/1804387/why-is-there-a-for-preamble-in-facebooks-json-responses,Why is there a for(;;); preamble in facebooks JSON responses?,1406053930.0,,Duplicate,,
28,"['javascript', 'with-statement']","{'account_id': 19818, 'reputation': 7302, 'user_id': 2200391, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/c5f0c8efdeb3204bdeb53af2cef09c6c?s=256&d=identicon&r=PG', 'display_name': 'ntownsend', 'link': 'https://stackoverflow.com/users/2200391/ntownsend'}",True,746,,6,4,1661213889,1257362145,1267734839.0,1675982,CC BY-SA 2.5,https://stackoverflow.com/questions/1675982/any-examples-of-a-non-trivial-and-useful-example-of-the-with-keyword,Any examples of a non-trivial and useful example of the &#39;with&#39; keyword?,,1676044.0,,,
29,"['javascript', 'query-string', 'urlencode']","{'account_id': 72221, 'reputation': 14956, 'user_id': 208623, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/b59d0c91a5997a921ccd300576267d78?s=256&d=identicon&r=PG', 'display_name': 'napolux', 'link': 'https://stackoverflow.com/users/208623/napolux'}",True,568857,,49,671,1660990968,1257941257,1488691176.0,1714786,CC BY-SA 3.0,https://stackoverflow.com/questions/1714786/query-string-encoding-of-a-javascript-object,Query-string encoding of a Javascript Object,,1714899.0,,,
30,"['javascript', 'string', 'dom', 'cross-browser', 'element']","{'account_id': 39280, 'reputation': 79847, 'user_id': 113195, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/4257476fe3d948aaf89658db890d0236?s=256&d=identicon&r=PG', 'display_name': 'Boldewyn', 'link': 'https://stackoverflow.com/users/113195/boldewyn'}",True,161615,,13,122,1660357035,1258482410,1398113448.0,1750815,CC BY-SA 3.0,https://stackoverflow.com/questions/1750815/get-the-string-representation-of-a-dom-node,Get the string representation of a DOM node,,1750860.0,,,
31,"['javascript', 'arrays', 'set-difference']","{'account_id': 46972, 'reputation': 349003, 'user_id': 139010, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/0df2f3c2d3b43605889eb90231fb6884?s=256&d=identicon&r=PG', 'display_name': 'Matt Ball', 'link': 'https://stackoverflow.com/users/139010/matt-ball'}",True,111602,,14,163,1660153070,1258040559,1285598158.0,1723168,CC BY-SA 2.5,https://stackoverflow.com/questions/1723168/what-is-the-fastest-or-most-elegant-way-to-compute-a-set-difference-using-javasc,What is the fastest or most elegant way to compute a set difference using Javascript arrays?,,1723220.0,,,
32,"['javascript', 'jquery', 'cross-domain', 'jsonp', 'getjson']","{'account_id': 54143, 'reputation': 7268, 'user_id': 161967, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/eff0acb5c0e0acc574cbe3686c6d50c2?s=256&d=identicon&r=PG', 'display_name': 'Ajay', 'link': 'https://stackoverflow.com/users/161967/ajay'}",True,251982,,9,210,1660120673,1258348851,1660120673.0,1740218,CC BY-SA 4.0,https://stackoverflow.com/questions/1740218/error-handling-in-getjson-calls,Error handling in getJSON calls,,,,,
33,"['javascript', 'jquery', 'dom', 'jquery-events']","{'account_id': 23742, 'reputation': 18943, 'user_id': 59730, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/9166c0d4b097139ebb24308add5bebfd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sam152', 'link': 'https://stackoverflow.com/users/59730/sam152'}",True,324,,3,0,1658254105,1258367947,1658254105.0,1741357,CC BY-SA 4.0,https://stackoverflow.com/questions/1741357/getting-ajax-content-into-the-dom-or-registering-an-object-with-jquery-via-an-on,Getting AJAX content into the DOM or registering an object with jQuery via an onClick event?,,1741387.0,,,
34,"['javascript', 'jquery', 'dom', 'jquery-events']","{'account_id': 571914, 'reputation': 121, 'user_id': 221071, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/69ef5d19ed581a0fcc98857d0e89527d?s=256&d=identicon&r=PG', 'display_name': 'Tom', 'link': 'https://stackoverflow.com/users/221071/tom'}",True,23317,,7,12,1658168670,1259546653,1658168670.0,1817540,CC BY-SA 4.0,https://stackoverflow.com/questions/1817540/clicking-a-link-when-enter-key-is-pressed-using-jquery,Clicking a link when enter key is pressed using jQuery,,,,,
35,"['javascript', 'v8']","{'account_id': 30840, 'reputation': 6351, 'user_id': 84349, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/b98a3bcf2c5a7a38b7596da957b05069?s=256&d=identicon&r=PG', 'display_name': 'Manuel', 'link': 'https://stackoverflow.com/users/84349/manuel'}",True,82859,,9,130,1658164837,1259226642,1259228307.0,1802478,CC BY-SA 2.5,https://stackoverflow.com/questions/1802478/running-v8-javascript-engine-standalone,Running V8 Javascript Engine Standalone,,1802613.0,,1259226642.0,
36,"['javascript', 'event-handling', 'dom-events']","{'account_id': 42593, 'reputation': 3883, 'user_id': 124110, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/1d96dd9469529ac3b8601d01346821b4?s=256&d=identicon&r=PG', 'display_name': 'Nir', 'link': 'https://stackoverflow.com/users/124110/nir'}",True,2888,,2,3,1657384848,1259054414,1657384848.0,1788887,CC BY-SA 4.0,https://stackoverflow.com/questions/1788887/bypassing-event-stoppropagation,Bypassing event.stopPropagation,,1790525.0,,,
37,"['javascript', 'event-handling', 'dom-events']","{'account_id': 5592, 'reputation': 289, 'user_id': 9096, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8837e14db8d21ac4199a08dd68c4e745?s=256&d=identicon&r=PG', 'display_name': 'PetroleumJelliffe', 'link': 'https://stackoverflow.com/users/9096/petroleumjelliffe'}",False,91,,1,0,1657384808,1259357790,1657384808.0,1810710,CC BY-SA 4.0,https://stackoverflow.com/questions/1810710/obtaining-the-value-of-a-select-dropdown-from-within-a-function,Obtaining the value of a select dropdown from within a function,,,,,
38,"['javascript', 'dom', 'dhtml', 'effects', 'fade']","{'account_id': 106986, 'reputation': 7097, 'user_id': 284693, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://i.stack.imgur.com/wtp8i.jpg?s=256&g=1', 'display_name': 'punkbit', 'link': 'https://stackoverflow.com/users/284693/punkbit'}",True,419,,3,1,1657148065,1258062983,1657148065.0,1725693,CC BY-SA 4.0,https://stackoverflow.com/questions/1725693/fx-on-javascript-how-to-fade-stuff-etc-without-frameworks,"Fx on JavaScript: How to fade stuff, etc without frameworks?",,1725897.0,,,
39,"['javascript', 'debugging', 'firefox', 'firebug']","{'account_id': 61821, 'reputation': 111132, 'user_id': 184046, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/3d480969cbace51e179e5e4928e81603?s=256&d=identicon&r=PG', 'display_name': 'Legend', 'link': 'https://stackoverflow.com/users/184046/legend'}",True,870,,3,2,1657105374,1257882323,,1710661,CC BY-SA 2.5,https://stackoverflow.com/questions/1710661/javascript-firebug-how-do-i-have-multiple-views-or-what-is-the-right-of-way-of,"Javascript, Firebug: How do I have multiple views or what is the right of way of doing development?",,1715938.0,,,
40,"['javascript', 'date', 'datetime']","{'account_id': 21125, 'reputation': 1925, 'user_id': 51109, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/d2808161fa817e6dfd44b127592f885b?s=256&d=identicon&r=PG', 'display_name': 'Kishh', 'link': 'https://stackoverflow.com/users/51109/kishh'}",True,275075,1656734776.0,19,129,1656798862,1259039532,1360943476.0,1787939,CC BY-SA 3.0,https://stackoverflow.com/questions/1787939/check-time-difference-in-javascript,Check time difference in Javascript,,,,,
41,"['javascript', 'dom-events']","{'account_id': 62377, 'reputation': 81, 'user_id': 185383, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/941a1c2cf411c45e485afa1c6a5ecccd?s=256&d=identicon&r=PG', 'display_name': 'user185383', 'link': 'https://stackoverflow.com/users/185383/user185383'}",True,5651,,3,7,1656153969,1257702088,1613381988.0,1697286,CC BY-SA 4.0,https://stackoverflow.com/questions/1697286/dispatch-window-load-event,Dispatch window load event,,,,,
42,['javascript'],"{'user_type': 'does_not_exist', 'display_name': 'user188962'}",True,11325,,5,0,1656127883,1259175336,1259176646.0,1799184,CC BY-SA 2.5,https://stackoverflow.com/questions/1799184/how-to-add-array-element-values-with-javascript,how to add array element values with javascript?,,1799194.0,,,
43,"['javascript', 'jquery', 'url', 'show-hide']","{'account_id': 566912, 'reputation': 43, 'user_id': 194740, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/5a864abba6dc37ad2ede1a04725225ca?s=256&d=identicon&r=PG', 'display_name': 'Lennart', 'link': 'https://stackoverflow.com/users/194740/lennart'}",True,11083,,4,4,1655974433,1257249329,,1666880,CC BY-SA 2.5,https://stackoverflow.com/questions/1666880/javascript-show-hide-div-based-on-url-string,JavaScript: Show / Hide &lt;DIV&gt; based on URL string,,,,,
44,['javascript'],"{'account_id': 72282, 'reputation': 1377, 'user_id': 208768, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/7b569be110025996ae8c2c1bbf0bacff?s=256&d=identicon&r=PG', 'display_name': 'Heidi', 'link': 'https://stackoverflow.com/users/208768/heidi'}",True,134421,,16,135,1655527136,1258044971,1258045093.0,1723716,CC BY-SA 2.5,https://stackoverflow.com/questions/1723716/how-to-concatenate-two-numbers-in-javascript,How to concatenate two numbers in javascript?,,1723724.0,,,
45,"['javascript', 'jquery', 'node.js']","{'account_id': 572627, 'reputation': 6147, 'user_id': 219069, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/14819fe5bcb9676e996b1f2039a1aa98?s=256&d=identicon&r=PG', 'display_name': 'John', 'link': 'https://stackoverflow.com/users/219069/john'}",True,413579,1582590629.0,21,613,1654906051,1259200460,1381942029.0,1801160,CC BY-SA 3.0,https://stackoverflow.com/questions/1801160/can-i-use-jquery-with-node-js,Can I use jQuery with Node.js?,,,,,
46,"['javascript', 'jquery', 'jquery-ui']","{'account_id': 71887, 'reputation': 14683, 'user_id': 207756, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/9XOal.png?s=256&g=1', 'display_name': 'Orson', 'link': 'https://stackoverflow.com/users/207756/orson'}",True,703,,1,0,1654291286,1258362910,1654291286.0,1740984,CC BY-SA 4.0,https://stackoverflow.com/questions/1740984/how-do-i-dynamically-adding-controls-in-asp-net-with-javascript-or-jquery,How do I dynamically adding controls in asp.net with JavaScript or jQuery,,1741790.0,,,
47,"['javascript', 'html', 'jquery', 'jquery-ui', 'jquery-events']","{'account_id': 21467, 'reputation': 933, 'user_id': 52187, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/w5VVQ.png?s=256&g=1', 'display_name': 'Danno', 'link': 'https://stackoverflow.com/users/52187/danno'}",True,1838,,2,3,1654284966,1258054040,1654284966.0,1724743,CC BY-SA 4.0,https://stackoverflow.com/questions/1724743/using-jquery-setting-draggable-on-an-element-prevents-blur-from-firing-when-you,"Using jQuery, setting Draggable on an element prevents blur from firing when you click the draggable element",,4059132.0,,,
48,"['javascript', 'jquery']","{'account_id': 881127, 'reputation': 33, 'user_id': 214552, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5a2c856b9220d41ee0328c97020a584d?s=256&d=identicon&r=PG', 'display_name': 'univers', 'link': 'https://stackoverflow.com/users/214552/univers'}",True,354,,7,2,1652882179,1258633683,1652882179.0,1762950,CC BY-SA 4.0,https://stackoverflow.com/questions/1762950/my-jquery-code-is-working-but-is-it-very-crappy-from-a-programmers-point-of-vi,"My jQuery code is working, but is it very crappy from a programmer&#39;s point of view?",,1762969.0,,,
49,"['javascript', 'php', 'dom', 'dom-events']","{'account_id': 70851, 'reputation': 127, 'user_id': 205088, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/90e52132c7b542aab551989808034d24?s=256&d=identicon&r=PG&f=1', 'display_name': 'Connie H.', 'link': 'https://stackoverflow.com/users/205088/connie-h'}",True,942,,6,2,1652004409,1259530601,1652004409.0,1816849,CC BY-SA 4.0,https://stackoverflow.com/questions/1816849/image-upload-showing-image-on-web-page-before-hitting-submit,Image Upload -- showing image on web page before hitting Submit,,1817900.0,,,
