,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,locked_date,migrated_from,community_owned_date
10,"['javascript', 'html', 'dom-events']","{'account_id': 1063634, 'reputation': 6743, 'user_id': 1064717, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://i.stack.imgur.com/lJtwA.png?s=256&g=1', 'display_name': 'coiso', 'link': 'https://stackoverflow.com/users/1064717/coiso'}",True,215977,17,92,1668800902,1344341465,1377871035.0,11845678,CC BY-SA 3.0,https://stackoverflow.com/questions/11845678/adding-multiple-event-listeners-to-one-element,adding multiple event listeners to one element,11846294.0,,,,,,
11,"['javascript', 'jquery', 'jquery-events']","{'account_id': 405860, 'reputation': 8041, 'user_id': 775014, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/838347acc4c97bfc938a2dac4043bd2a?s=256&d=identicon&r=PG', 'display_name': 'udidu', 'link': 'https://stackoverflow.com/users/775014/udidu'}",True,1808,1,3,1668626598,1344157240,1668626598.0,11815187,CC BY-SA 4.0,https://stackoverflow.com/questions/11815187/remove-event-listener-when-using-jquery-proxy,Remove event listener when using jQuery proxy,11815222.0,,,,,,
12,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1026613, 'reputation': 2576, 'user_id': 1035789, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/de156e629f4fde4fcf96cea8759abaf8?s=256&d=identicon&r=PG', 'display_name': 'viji', 'link': 'https://stackoverflow.com/users/1035789/viji'}",True,105,3,-1,1668551321,1344187580,1668551321.0,11818512,CC BY-SA 4.0,https://stackoverflow.com/questions/11818512/bind-a-method-of-an-object-to-an-event-of-an-element,Bind a method of an object to an event of an element,11818552.0,,,,,,
13,"['javascript', 'jquery', 'jquery-events']","{'account_id': 385684, 'reputation': 1922, 'user_id': 742980, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/c975081b5d952f18a806d0aafb2537ee?s=256&d=identicon&r=PG', 'display_name': 'DevAntoine', 'link': 'https://stackoverflow.com/users/742980/devantoine'}",True,838,3,4,1668551292,1344241860,1668551292.0,11824878,CC BY-SA 4.0,https://stackoverflow.com/questions/11824878/bind-function-to-the-onclick-on-other-scope,Bind function to the onClick on other scope,11825006.0,,,,,,
14,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1148990, 'reputation': 25, 'user_id': 1131108, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/PiReB.jpg?s=256&g=1', 'display_name': 'SmileyWar', 'link': 'https://stackoverflow.com/users/1131108/smileywar'}",True,2303,2,0,1668551211,1344270727,1668551211.0,11832312,CC BY-SA 4.0,https://stackoverflow.com/questions/11832312/disable-mouseover-event-then-re-enable,Disable mouseover event then re-enable,11832395.0,,,,,,
15,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1721242, 'reputation': 1900, 'user_id': 1577040, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/2tnUz.jpg?s=256&g=1', 'display_name': 'Newmu', 'link': 'https://stackoverflow.com/users/1577040/newmu'}",True,316,2,1,1668541601,1344386703,1668541601.0,11856146,CC BY-SA 4.0,https://stackoverflow.com/questions/11856146/jquery-click-wont-trigger-for-user-selection-events-spanning-multiple-elements,jQuery .click won&#39;t trigger for user selection events spanning multiple elements,11856361.0,,,,,,
16,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1724937, 'reputation': 657, 'user_id': 1579857, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/084d420be1ed9d7e0e333839b5d49ef6?s=256&d=identicon&r=PG', 'display_name': 'Vaso A.', 'link': 'https://stackoverflow.com/users/1579857/vaso-a'}",True,18551,11,66,1668541557,1344272570,1668541557.0,11832706,CC BY-SA 4.0,https://stackoverflow.com/questions/11832706/how-can-i-see-the-event-that-is-attached-to-an-html-element,How can I see the event that is attached to an html element?,11832781.0,,,,,,
17,"['javascript', 'jquery', 'jquery-events']","{'account_id': 260622, 'reputation': 3058, 'user_id': 544283, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/7LaHy.png?s=256&g=1', 'display_name': 'Esteban', 'link': 'https://stackoverflow.com/users/544283/esteban'}",True,3068,1,2,1668541523,1344606601,1668541523.0,11903078,CC BY-SA 4.0,https://stackoverflow.com/questions/11903078/how-to-update-my-content-async-with-javascript,How to update my content async with javascript?,11903079.0,,,,,,
18,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1188351, 'reputation': 3278, 'user_id': 1161812, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/0d7beefda859c7d02439a323ae8d142a?s=256&d=identicon&r=PG', 'display_name': 'danqing', 'link': 'https://stackoverflow.com/users/1161812/danqing'}",True,495,2,1,1668541403,1344620639,1668541403.0,11906708,CC BY-SA 4.0,https://stackoverflow.com/questions/11906708/jquery-late-binding-of-ajax-elements-doesnt-work,jQuery late binding of Ajax elements doesn&#39;t work,11906931.0,,,,,,
19,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1403199, 'reputation': 1350, 'user_id': 1331592, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/52a965905315d8d56c31cccd14fd7a7f?s=256&d=identicon&r=PG', 'display_name': 'A Person', 'link': 'https://stackoverflow.com/users/1331592/a-person'}",True,161,2,0,1668456440,1344665521,1668456440.0,11912424,CC BY-SA 4.0,https://stackoverflow.com/questions/11912424/events-to-bind-to-in-mobile-devices,Events to bind to in mobile devices,,,,,,,
20,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1578171, 'reputation': 21, 'user_id': 1464136, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/96b2322f40de3c5bebd59eb3a4e13932?s=256&d=identicon&r=PG', 'display_name': 'Jaison Thomas', 'link': 'https://stackoverflow.com/users/1464136/jaison-thomas'}",True,1423,2,0,1668456340,1344748281,1668456340.0,11919878,CC BY-SA 4.0,https://stackoverflow.com/questions/11919878/jquery-click-event-syntax,jQuery click event syntax,11919908.0,,,,,,
21,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1739463, 'reputation': 69, 'user_id': 1591287, 'user_type': 'registered', 'accept_rate': 10, 'profile_image': 'https://www.gravatar.com/avatar/c3c4083aa67d0260b135c95002336f6c?s=256&d=identicon&r=PG', 'display_name': 'bibliofilo bibliofilo', 'link': 'https://stackoverflow.com/users/1591287/bibliofilo-bibliofilo'}",False,96,2,0,1668456277,1344959306,1668456277.0,11956103,CC BY-SA 4.0,https://stackoverflow.com/questions/11956103/event-at-value-changed-using-jquery-val,Event at value changed using jquery.val(),,,,,,,
22,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1750180, 'reputation': 5, 'user_id': 1599446, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bcdbac2505e3cc88840da0c487d041fc?s=256&d=identicon&r=PG', 'display_name': 'Pai Tunchuvong', 'link': 'https://stackoverflow.com/users/1599446/pai-tunchuvong'}",True,151,1,0,1668449924,1345075933,1668449924.0,11979033,CC BY-SA 4.0,https://stackoverflow.com/questions/11979033/passing-button-namevalue-to-another-javascript-page,Passing button name&amp;value to another JavaScript page,11979315.0,,,,,,
23,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1195904, 'reputation': 3135, 'user_id': 1167650, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/1f12a961330a061520ddb234a9f382ce?s=256&d=identicon&r=PG', 'display_name': 'user1167650', 'link': 'https://stackoverflow.com/users/1167650/user1167650'}",True,5771,4,7,1668449865,1345223522,1668449865.0,12010154,CC BY-SA 4.0,https://stackoverflow.com/questions/12010154/intercepting-keyboard-presses,Intercepting keyboard presses,12010204.0,,,,,,
24,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1511419, 'reputation': 2053, 'user_id': 1413440, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/298a3d9b88c8f9f056d47ecec6cc67ab?s=256&d=identicon&r=PG&f=1', 'display_name': 'js999', 'link': 'https://stackoverflow.com/users/1413440/js999'}",True,2127,2,2,1668371671,1345553090,1668371671.0,12055127,CC BY-SA 4.0,https://stackoverflow.com/questions/12055127/how-to-create-a-new-event,How to create a new Event,,,,,,,
25,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1761998, 'reputation': 185, 'user_id': 1608851, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/28a894f96e3f876661b11d6095a4fd47?s=256&d=identicon&r=PG', 'display_name': 'Trey', 'link': 'https://stackoverflow.com/users/1608851/trey'}",True,2803,1,0,1668360200,1345868135,1668360200.0,12119107,CC BY-SA 4.0,https://stackoverflow.com/questions/12119107/prevent-javascript-function-from-firing-multiple-times,Prevent Javascript function from firing multiple times,,,,,,,
26,"['javascript', 'jquery', 'jquery-events']","{'account_id': 331417, 'reputation': 918, 'user_id': 656068, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/8a759d8ba453d724563f1e36aba5f405?s=256&d=identicon&r=PG', 'display_name': 'Kai CriticallyAcclaimed Cooper', 'link': 'https://stackoverflow.com/users/656068/kai-criticallyacclaimed-cooper'}",True,94,1,0,1668360138,1345904102,1668360138.0,12122730,CC BY-SA 4.0,https://stackoverflow.com/questions/12122730/javascript-to-jquery-for-kendoui,JavaScript to jQuery for KendoUI,,,,,,,
27,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1784683, 'reputation': 2325, 'user_id': 1626425, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/a07b49d9271e26c3b6eb66b7942317a5?s=256&d=identicon&r=PG', 'display_name': 'spinners', 'link': 'https://stackoverflow.com/users/1626425/spinners'}",True,375,2,0,1668360088,1346020068,1668360088.0,12134419,CC BY-SA 4.0,https://stackoverflow.com/questions/12134419/correctly-binding-event-handlers-jquery,Correctly binding event handlers jQuery,,,,,,,
28,"['javascript', 'jquery', 'jquery-events']","{'account_id': 134331, 'reputation': 11506, 'user_id': 336384, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/3d8be306126d827cf413d3b7af322889?s=256&d=identicon&r=PG', 'display_name': 'quakkels', 'link': 'https://stackoverflow.com/users/336384/quakkels'}",True,91,2,0,1668360037,1346104351,1668360037.0,12150123,CC BY-SA 4.0,https://stackoverflow.com/questions/12150123/how-do-i-get-access-to-the-event-object,How do I get access to the event object?,12150201.0,,,,,,
29,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1260631, 'reputation': 2316, 'user_id': 1219011, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/TFhSj.png?s=256&g=1', 'display_name': 'TwystO', 'link': 'https://stackoverflow.com/users/1219011/twysto'}",True,282,6,4,1668349733,1346366938,1668349733.0,12206694,CC BY-SA 4.0,https://stackoverflow.com/questions/12206694/how-can-i-use-jquery-on-method-in-a-loop-without-overriding-the-objects-on-w,"How can I use jQuery .on() method in a loop, without overriding the objects on which I loop",12206900.0,,,,,,
30,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1011720, 'reputation': 563, 'user_id': 1024158, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/6bc0ed63a9f565495a05e0dc9faa5a99?s=256&d=identicon&r=PG', 'display_name': 'MrBrightside', 'link': 'https://stackoverflow.com/users/1024158/mrbrightside'}",True,486,1,0,1668349678,1346370186,1668349678.0,12207129,CC BY-SA 4.0,https://stackoverflow.com/questions/12207129/supersede-inputtext-change-handler-based-on-button-click-event,Supersede input:text change handler based on button click event,12207490.0,,,,,,
31,"['javascript', 'html', 'dom-events', 'execcommand']","{'account_id': 909063, 'reputation': 14551, 'user_id': 943340, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/f7b5b9f0164c4854a8c9f148ddc97c8e?s=256&d=identicon&r=PG', 'display_name': 'Googlebot', 'link': 'https://stackoverflow.com/users/943340/googlebot'}",True,118479,13,131,1668280424,1345385434,1583598830.0,12027137,CC BY-SA 4.0,https://stackoverflow.com/questions/12027137/javascript-trick-for-paste-as-plain-text-in-execcommand,Javascript trick for &#39;paste as plain text` in execCommand,12028136.0,,,,,,
32,"['javascript', 'jquery', 'html', 'drag-and-drop']","{'account_id': 63561, 'reputation': 8876, 'user_id': 188081, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/7c0ebd0c092cec9c0de53a8d76a1c35a?s=256&d=identicon&r=PG', 'display_name': 'Gup3rSuR4c', 'link': 'https://stackoverflow.com/users/188081/gup3rsur4c'}",True,47315,10,52,1668270848,1344822254,1344903619.0,11927309,CC BY-SA 3.0,https://stackoverflow.com/questions/11927309/html5-dnd-datatransfer-setdata-or-getdata-not-working-in-every-browser-except-fi,HTML5 DnD dataTransfer setData or getData not working in every browser except Firefox,11959389.0,,,,,,
33,"['javascript', 'operators', 'equality', 'assignment-operator']","{'account_id': 530607, 'reputation': 5297, 'user_id': 950931, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/93b6a7aa3d56ac5ae731051ce41e6c8f?s=256&d=identicon&r=PG', 'display_name': 'o_O', 'link': 'https://stackoverflow.com/users/950931/o-o'}",True,6278,5,3,1668026056,1344453518,1668026056.0,11871616,CC BY-SA 4.0,https://stackoverflow.com/questions/11871616/what-is-the-difference-between-the-and-operators-and-what-is-si,"What is the difference between the `=` and `==` operators and what is `===`? (Single, double, and triple equals)",11871654.0,,,,,,
34,"['javascript', 'sql', 'checkbox', 'oracle11g', 'oracle-apex']","{'account_id': 38768, 'reputation': 33489, 'user_id': 111479, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/MOwCL.png?s=256&g=1', 'display_name': 'tonyf', 'link': 'https://stackoverflow.com/users/111479/tonyf'}",True,17086,1,3,1667953732,1345468464,1556448363.0,12038392,CC BY-SA 4.0,https://stackoverflow.com/questions/12038392/oracle-apex-checkbox-to-manipulate-other-values-when-checked-unchecked,Oracle ApEx Checkbox to Manipulate Other Values When Checked/Unchecked,12040507.0,,,,,,
35,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1197335, 'reputation': 1042, 'user_id': 1168764, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/0f67465b28b24e6ae93119136bdb967d?s=256&d=identicon&r=PG', 'display_name': 'Max', 'link': 'https://stackoverflow.com/users/1168764/max'}",True,736,1,0,1667749992,1344339875,1667749992.0,11845249,CC BY-SA 4.0,https://stackoverflow.com/questions/11845249/redefine-event-in-javascript,Redefine event in JavaScript,,,,,,,
36,"['javascript', 'google-maps', 'google-maps-api-3']","{'account_id': 301079, 'reputation': 3059, 'user_id': 608588, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/72dfeec25f8f7713cb91342c83db96fe?s=256&d=identicon&r=PG', 'display_name': 'Piscean', 'link': 'https://stackoverflow.com/users/608588/piscean'}",True,1886,2,1,1667437229,1344435142,1465624646.0,11866380,CC BY-SA 3.0,https://stackoverflow.com/questions/11866380/why-google-maps-javascript-api-v3-does-not-work-fine-when-i-try-to-create-second,Why Google Maps JavaScript API v3 does not work fine when i try to create second map instance?,11867419.0,,,,,,
37,"['javascript', 'jquery', 'jquery-events']","{'account_id': 199668, 'reputation': 28537, 'user_id': 445126, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/c534010006da1d80a2f43ba87b8bee40?s=256&d=identicon&r=PG', 'display_name': 'Mild Fuzz', 'link': 'https://stackoverflow.com/users/445126/mild-fuzz'}",True,4102,5,8,1667426913,1345713476,1667426913.0,12088460,CC BY-SA 4.0,https://stackoverflow.com/questions/12088460/using-on-and-e-stoppropagation-on-dynamic-elements,Using .on() and e.stopPropagation() on dynamic elements,12088563.0,,,,,,
38,"['javascript', 'jquery', 'math', 'date', 'datetime']","{'account_id': 326859, 'reputation': 3479, 'user_id': 648865, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/a5a153b4d4159a013b73915ee52ad24b?s=256&d=identicon&r=PG&f=1', 'display_name': 'John Doe', 'link': 'https://stackoverflow.com/users/648865/john-doe'}",True,81852,14,43,1667418578,1345096714,1345098334.0,11981453,CC BY-SA 3.0,https://stackoverflow.com/questions/11981453/get-current-quarter-in-year-with-javascript,Get current quarter in year with javascript,11981763.0,,,,,,
39,"['javascript', 'regex']","{'account_id': 1004084, 'reputation': 19061, 'user_id': 1018270, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/f63e4d88b0db551dd7ddd04dca2770d9?s=256&d=identicon&r=PG', 'display_name': 'Milos Cuculovic', 'link': 'https://stackoverflow.com/users/1018270/milos-cuculovic'}",True,135251,11,198,1667385781,1345190294,1441410941.0,12001953,CC BY-SA 3.0,https://stackoverflow.com/questions/12001953/javascript-and-regex-split-string-and-keep-the-separator,Javascript and regex: split string and keep the separator,25221523.0,,,,,,
40,"['javascript', 'node.js', 'download', 'fs']","{'account_id': 1596567, 'reputation': 6663, 'user_id': 1478546, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/74a1529833c8ad610e7ebd73e6d39c4c?s=256&d=identicon&r=PG', 'display_name': 'greepow', 'link': 'https://stackoverflow.com/users/1478546/greepow'}",True,769704,31,620,1666996925,1344910904,1611930461.0,11944932,CC BY-SA 4.0,https://stackoverflow.com/questions/11944932/how-to-download-a-file-with-node-js-without-using-third-party-libraries,How to download a file with Node.js (without using third-party libraries)?,11944984.0,1662363951.0,,,,,
41,"['javascript', 'handlebars.js']","{'account_id': 153643, 'reputation': 3377, 'user_id': 369034, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/luQ8S.png?s=256&g=1', 'display_name': 'thunderboltz', 'link': 'https://stackoverflow.com/users/369034/thunderboltz'}",True,207945,8,298,1666953321,1344520195,1366302104.0,11884960,CC BY-SA 3.0,https://stackoverflow.com/questions/11884960/how-to-get-index-in-handlebars-each-helper,How to get index in Handlebars each helper?,14113688.0,1418628859.0,,,,,
42,"['javascript', 'node.js', 'api', 'express', 'api-key']","{'account_id': 40085, 'reputation': 8516, 'user_id': 115988, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/5f4389b462408f1e198c2955f93710f8?s=256&d=identicon&r=PG', 'display_name': 'Lydon Ch', 'link': 'https://stackoverflow.com/users/115988/lydon-ch'}",True,457,2,1,1666745819,1344802369,1666745819.0,11925543,CC BY-SA 4.0,https://stackoverflow.com/questions/11925543/creating-node-js-api-framework-with-api-registration,Creating Node.js API Framework with API Registration,,,,,,,
43,"['javascript', 'math', 'primes']","{'account_id': 1750586, 'reputation': 653, 'user_id': 1599757, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9f392aeff63638afe0d8d3186fd88364?s=256&d=identicon&r=PG', 'display_name': 'user1599757', 'link': 'https://stackoverflow.com/users/1599757/user1599757'}",True,213079,40,61,1666700654,1345021067,1402579076.0,11966520,CC BY-SA 3.0,https://stackoverflow.com/questions/11966520/how-to-find-prime-numbers-between-0-100,How to find prime numbers between 0 - 100?,,1418666739.0,,,,,
44,"['javascript', 'events']","{'account_id': 1674678, 'reputation': 311, 'user_id': 1540479, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3a4b92fb13fa72d2e6ede238a8109c25?s=256&d=identicon&r=PG', 'display_name': 'Daniel Haro', 'link': 'https://stackoverflow.com/users/1540479/daniel-haro'}",True,26871,2,13,1666613899,1345220092,,12009367,CC BY-SA 3.0,https://stackoverflow.com/questions/12009367/javascript-event-handling-scroll-event-with-a-delay,JavaScript event handling scroll event with a delay,12009497.0,,,,,,
45,"['javascript', 'jsp', 'struts2']","{'account_id': 1532238, 'reputation': 91, 'user_id': 1429169, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/c8b2dd5f1c3fb9e8cd431ad47d3e5262?s=256&d=identicon&r=PG', 'display_name': 'Soham', 'link': 'https://stackoverflow.com/users/1429169/soham'}",False,8037,4,0,1666339505,1346290450,1590358931.0,12188755,CC BY-SA 4.0,https://stackoverflow.com/questions/12188755/pass-value-from-javascript-in-jsp-to-action-class-in-struts2,Pass value from javascript in jsp to action class in struts2,,,,,,,
46,"['javascript', 'rounding', 'decimal-point']","{'account_id': 148723, 'reputation': 41237, 'user_id': 360705, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://i.stack.imgur.com/4f5zg.jpg?s=256&g=1', 'display_name': 'stinkycheeseman', 'link': 'https://stackoverflow.com/users/360705/stinkycheeseman'}",True,3852012,90,3843,1666145334,1344273468,1651764510.0,11832914,CC BY-SA 4.0,https://stackoverflow.com/questions/11832914/how-to-round-to-at-most-2-decimal-places-if-necessary,"How to round to at most 2 decimal places, if necessary",11832950.0,1376752269.0,,,,,
