,tags,owner,is_answered,view_count,closed_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,protected_date,community_owned_date
10,"['javascript', 'google-drive-api']","{'account_id': 383465, 'reputation': 6689, 'user_id': 739331, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/126adb5b6c44fcd058fd51f2d8b4ad90?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mohammed H', 'link': 'https://stackoverflow.com/users/739331/mohammed-h'}",True,11224,,12889786.0,2,14,1668557182,1350277311,,12889532,https://stackoverflow.com/questions/12889532/insert-a-file-to-a-particular-folder-using-google-drive-api,,Insert a file to a particular folder using google-drive-api,CC BY-SA 3.0,,
11,"['javascript', 'jquery', 'ajax', 'https']","{'account_id': 738426, 'reputation': 612, 'user_id': 710073, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/rLq46.jpg?s=256&g=1', 'display_name': 'Rob', 'link': 'https://stackoverflow.com/users/710073/rob'}",True,18174,,13058446.0,3,8,1668271955,1351100904,,13054842,https://stackoverflow.com/questions/13054842/jquery-ajax-not-using-https,,JQuery.ajax not using HTTPS,CC BY-SA 3.0,,
12,"['javascript', 'html', 'unicode']","{'account_id': 1205526, 'reputation': 12929, 'user_id': 1175276, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/e9f53d24beea7056b25f37491c094253?s=256&d=identicon&r=PG', 'display_name': 'Bluefire', 'link': 'https://stackoverflow.com/users/1175276/bluefire'}",True,198201,,13093138.0,6,184,1668121814,1351279365,1351279499.0,13093126,https://stackoverflow.com/questions/13093126/insert-unicode-character-into-javascript,,Insert Unicode character into JavaScript,CC BY-SA 3.0,,
13,"['javascript', 'exception', 'exception-handling', 'custom-exceptions']","{'account_id': 96837, 'reputation': 92424, 'user_id': 263004, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/8c500ddee9f1e115cf9aaa5e823c4384?s=256&d=identicon&r=PG', 'display_name': 'Vivin Paliath', 'link': 'https://stackoverflow.com/users/263004/vivin-paliath'}",True,8422,,24078053.0,2,24,1668076186,1351200973,,13077681,https://stackoverflow.com/questions/13077681/throwing-custom-exceptions-in-javascript-which-style-to-use,,Throwing custom exceptions in Javascript. Which style to use?,CC BY-SA 3.0,,
14,"['javascript', 'arrays', 'upload', 'xmlhttprequest']","{'account_id': 1959620, 'reputation': 1291, 'user_id': 1761649, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2945b2608a21ae5d20aa4a32de2893e2?s=256&d=identicon&r=PG', 'display_name': 'jaanisk', 'link': 'https://stackoverflow.com/users/1761649/jaanisk'}",True,273139,,,16,129,1668074902,1350743536,1350844977.0,12989442,https://stackoverflow.com/questions/12989442/uploading-multiple-files-using-formdata,,Uploading multiple files using formData(),CC BY-SA 3.0,,
15,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1236871, 'reputation': 373, 'user_id': 1200294, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/4fa215412db638b0ddc0eba76cadd63c?s=256&d=identicon&r=PG', 'display_name': 'outrunthewolf', 'link': 'https://stackoverflow.com/users/1200294/outrunthewolf'}",True,94,,12712605.0,1,2,1668024142,1349280536,1668024142.0,12712477,https://stackoverflow.com/questions/12712477/dynamic-event-building-in-javascript,,Dynamic event building in JavaScript,CC BY-SA 4.0,,
16,"['javascript', 'jquery', 'jquery-events']","{'account_id': 485115, 'reputation': 1223, 'user_id': 901229, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/973942f5675632982b38f4dc1e4b7db1?s=256&d=identicon&r=PG', 'display_name': 'Tendi', 'link': 'https://stackoverflow.com/users/901229/tendi'}",True,124,,12722846.0,1,0,1668024086,1349337464,1668024086.0,12722725,https://stackoverflow.com/questions/12722725/add-typewrite-effect-to-an-onclick-event-that-is-already-changing-div-content-wi,,Add typewrite effect to an onclick event that is already changing div content with jQuery,CC BY-SA 4.0,,
17,"['javascript', 'jquery', 'jquery-events']","{'account_id': 411683, 'reputation': 1051, 'user_id': 784304, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/4ba3ee04edff223cfa334051b97bdd50?s=256&d=identicon&r=PG', 'display_name': 'Bruce Whealton', 'link': 'https://stackoverflow.com/users/784304/bruce-whealton'}",True,1796,,12733476.0,3,1,1668024033,1349228600,1668024033.0,12700865,https://stackoverflow.com/questions/12700865/how-do-i-send-data-in-javascript-onclick-call-and-then-access-it-in-the-click-ha,,How do I send data in JavaScript onclick call and then access it in the click handler function?,CC BY-SA 4.0,,
18,"['javascript', 'arrays', 'function']","{'account_id': 1938827, 'reputation': 91, 'user_id': 1745558, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/8fb2347e834daa22389652f1b117a2ea?s=256&d=identicon&r=PG', 'display_name': 'user1745558', 'link': 'https://stackoverflow.com/users/1745558/user1745558'}",True,75115,,,8,1,1667961316,1351300413,1351301204.0,13096352,https://stackoverflow.com/questions/13096352/javascript-pass-an-array-to-a-function,,javascript: pass an array to a function,CC BY-SA 3.0,,
19,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1780637, 'reputation': 23, 'user_id': 1623484, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c1f7e51e1ea7c13ac1d26e8647a60dea?s=256&d=identicon&r=PG', 'display_name': 'user1623484', 'link': 'https://stackoverflow.com/users/1623484/user1623484'}",True,1188,,12748487.0,2,1,1667947474,1349445792,1667947474.0,12747970,https://stackoverflow.com/questions/12747970/jquery-event-handlers-not-triggering-on-search-bar,,jQuery event handlers not triggering on search bar,CC BY-SA 4.0,,
20,"['javascript', 'jquery', 'jquery-events']","{'account_id': 341529, 'reputation': 1141, 'user_id': 672195, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/27954ab3fbeddcef495758d9b2977633?s=256&d=identicon&r=PG', 'display_name': 'Jeremy', 'link': 'https://stackoverflow.com/users/672195/jeremy'}",True,9131,,12752714.0,2,4,1667947399,1349464573,1667947399.0,12752685,https://stackoverflow.com/questions/12752685/refresh-document-ready-in-javascript,,Refresh $(document).ready in JavaScript,CC BY-SA 4.0,,
21,"['javascript', 'jquery', 'jquery-events']","{'account_id': 71712, 'reputation': 10878, 'user_id': 207364, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/4c178cc13a50a8e4ffcd6b071fa81393?s=256&d=identicon&r=PG', 'display_name': 'Dan', 'link': 'https://stackoverflow.com/users/207364/dan'}",True,1988,,12793074.0,1,3,1667947336,1349758513,1667947336.0,12793028,https://stackoverflow.com/questions/12793028/prevent-jquery-ready-handlers-from-firing,,Prevent jQuery ready handlers from firing,CC BY-SA 4.0,,
22,"['javascript', 'jquery', 'jquery-events']","{'account_id': 5370, 'reputation': 10882, 'user_id': 8611, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/3ab4d3a66e470ce10eb7ec812fab3c46?s=256&d=identicon&r=PG', 'display_name': 'singpolyma', 'link': 'https://stackoverflow.com/users/8611/singpolyma'}",True,887,,12698740.0,1,6,1667947301,1349211342,1667947301.0,12698192,https://stackoverflow.com/questions/12698192/trigger-real-event-with-jquery,,Trigger Real Event with jQuery,CC BY-SA 4.0,,
23,"['javascript', 'jquery', 'jquery-events']","{'account_id': 324699, 'reputation': 1120, 'user_id': 645421, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/cc3c2333ff07f7e456d3fc27a39a46b4?s=256&d=identicon&r=PG', 'display_name': 'Danny Valariola', 'link': 'https://stackoverflow.com/users/645421/danny-valariola'}",True,95,,12817906.0,2,0,1667923313,1349866976,1667923313.0,12817818,https://stackoverflow.com/questions/12817818/javascript-better-practice-event-listener-or-function,,JavaScript better practice event listener or function,CC BY-SA 4.0,,
24,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1168220, 'reputation': 2959, 'user_id': 1146022, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/f4aee3a9cf8e531a39f3bcb6f92a4eac?s=256&d=identicon&r=PG', 'display_name': 'zero', 'link': 'https://stackoverflow.com/users/1146022/zero'}",True,1702,,,2,0,1667915377,1349968975,1667915377.0,12843085,https://stackoverflow.com/questions/12843085/understanding-javascript-custom-event-listeners,,Understanding JavaScript custom event listeners,CC BY-SA 4.0,,
25,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1724703, 'reputation': 897, 'user_id': 1579670, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/f1e0ced6439dd2fa6242e70274063539?s=256&d=identicon&r=PG', 'display_name': 'abilash', 'link': 'https://stackoverflow.com/users/1579670/abilash'}",True,204,,12693869.0,1,1,1667915297,1349192987,1667915297.0,12693783,https://stackoverflow.com/questions/12693783/attaching-script-file-to-web-site,,Attaching script file to web site,CC BY-SA 4.0,,
26,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1962372, 'reputation': 49, 'user_id': 1763531, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0b5bee855aa23c4dce241e31f3c90224?s=256&d=identicon&r=PG', 'display_name': 'matt', 'link': 'https://stackoverflow.com/users/1763531/matt'}",True,1991,,13013952.0,2,3,1667750106,1350916771,1667750106.0,13013795,https://stackoverflow.com/questions/13013795/in-chrome-embed-resource-isnt-loaded-when-document-ready-is-triggered,,"In Chrome, &lt;embed&gt; resource isn&#39;t loaded when $(document).ready() is triggered. Why?",CC BY-SA 4.0,,
27,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1084462, 'reputation': 2441, 'user_id': 1080517, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/8ecf4416e80828ee100f13381e37777e?s=256&d=identicon&r=PG', 'display_name': 'sebap123', 'link': 'https://stackoverflow.com/users/1080517/sebap123'}",True,109,,13031445.0,2,0,1667750022,1350984488,1667750022.0,13027342,https://stackoverflow.com/questions/13027342/how-can-i-add-action-to-just-created-object-in-javascript,,How can I add action to just created object in JavaScript?,CC BY-SA 4.0,,
28,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1981922, 'reputation': 31, 'user_id': 1778310, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b14ecf049963e3086845508bebf6a6ae?s=256&d=identicon&r=PG', 'display_name': 'Ryan M', 'link': 'https://stackoverflow.com/users/1778310/ryan-m'}",True,75,,,2,3,1667738262,1351287252,1667738262.0,13094760,https://stackoverflow.com/questions/13094760/merging-three-click-functions-into-one-jquery,,Merging three click functions into one jQuery,CC BY-SA 4.0,,
29,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1662546, 'reputation': 1484, 'user_id': 1530536, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/7da3b34425d2d72bad08061344ee4252?s=256&d=identicon&r=PG', 'display_name': 'rusly', 'link': 'https://stackoverflow.com/users/1530536/rusly'}",True,1154,,13134814.0,5,0,1667738174,1351583703,1667738174.0,13134765,https://stackoverflow.com/questions/13134765/count-string-using-jquery-with-condition,,Count string using jQuery with condition,CC BY-SA 4.0,,
30,"['javascript', 'node.js', 'xml', 'xmldom', 'processing-instruction']","{'user_type': 'does_not_exist', 'display_name': 'user1598585'}",True,1509,,13033881.0,1,1,1667610082,1351000348,1667610082.0,13032046,https://stackoverflow.com/questions/13032046/is-it-possible-to-get-all-the-processing-instruction-elements-using-xmldom,,Is it possible to get all the processing instruction elements using XMLDOM?,CC BY-SA 4.0,,
31,"['javascript', 'math']","{'account_id': 106573, 'reputation': 90311, 'user_id': 283863, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/vItjB.png?s=256&g=1', 'display_name': 'Derek 朕會功夫', 'link': 'https://stackoverflow.com/users/283863/derek-%e6%9c%95%e6%9c%83%e5%8a%9f%e5%a4%ab'}",True,4054,,12810800.0,10,14,1667503273,1349833113,1429514722.0,12810765,https://stackoverflow.com/questions/12810765/calculating-cubic-root-for-negative-number,,Calculating cubic root for negative number,CC BY-SA 3.0,1392163448.0,
32,"['javascript', 'compilation', 'typescript']","{'account_id': 4210, 'reputation': 5321, 'user_id': 6254, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/6322dd27f5e8bac6f363ef901ade29f4?s=256&d=identicon&r=PG', 'display_name': 'VoY', 'link': 'https://stackoverflow.com/users/6254/voy'}",True,186050,,30148384.0,12,113,1667490100,1349782758,,12799237,https://stackoverflow.com/questions/12799237/how-to-watch-and-compile-all-typescript-sources,,How to watch and compile all TypeScript sources?,CC BY-SA 3.0,,
33,"['javascript', 'regex']","{'account_id': 448572, 'reputation': 16104, 'user_id': 842837, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/2f0a9609dbfbd314ca558d48e308315d?s=256&d=identicon&r=PG', 'display_name': 'jerrymouse', 'link': 'https://stackoverflow.com/users/842837/jerrymouse'}",True,467,,,3,0,1667470232,1349615450,1411153289.0,12769130,https://stackoverflow.com/questions/12769130/print-number-with-comma-as-hundred-separator,,print number with comma as hundred separator,CC BY-SA 3.0,,
34,"['javascript', 'jquery', 'dom-events', 'google-translate', 'google-translator-toolkit']","{'account_id': 1968681, 'reputation': 599, 'user_id': 1768257, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a04538b47242d87ea5b564b4322f1104?s=256&d=identicon&r=PG', 'display_name': 'MM2', 'link': 'https://stackoverflow.com/users/1768257/mm2'}",True,66138,,,4,19,1667187246,1350994308,1568187013.0,13030153,https://stackoverflow.com/questions/13030153/translate-website-to-any-specific-language-on-page-load,,"Translate website to any specific language, on page load",CC BY-SA 4.0,1503440444.0,
35,"['javascript', 'spring-mvc']","{'account_id': 1738050, 'reputation': 333, 'user_id': 1590164, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/be68a912c32b1e8d9c6d4b3bee3bdade?s=256&d=identicon&r=PG', 'display_name': 'nidhi', 'link': 'https://stackoverflow.com/users/1590164/nidhi'}",True,5871,,13008899.0,1,0,1667075185,1350895761,1667075185.0,13007807,https://stackoverflow.com/questions/13007807/dynamically-add-table-row-and-binding-to-server-side-in-spring-mvc,,Dynamically add table row and binding to Server Side in Spring MVC,CC BY-SA 4.0,,
36,"['javascript', 'function', 'design-patterns']","{'account_id': 1868510, 'reputation': 8568, 'user_id': 1691423, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/YtJy0.jpg?s=256&g=1', 'display_name': 'vlio20', 'link': 'https://stackoverflow.com/users/1691423/vlio20'}",True,322198,,12713611.0,32,147,1667048980,1349284689,1569268249.0,12713564,https://stackoverflow.com/questions/12713564/function-in-javascript-that-can-be-called-only-once,,Function in JavaScript that can be called only once,CC BY-SA 4.0,1660726081.0,
37,"['php', 'javascript', 'html']","{'account_id': 1712194, 'reputation': 494, 'user_id': 1569995, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/cad06ff01cfe9f46dbd43e58caa35896?s=256&d=identicon&r=PG', 'display_name': 'Will Sampson', 'link': 'https://stackoverflow.com/users/1569995/will-sampson'}",True,2913,,12700245.0,5,3,1667033470,1349222626,1349290906.0,12700171,https://stackoverflow.com/questions/12700171/view-actual-html-source-of-javascript-generated-html-page,,view actual html source of javascript generated html page,CC BY-SA 3.0,,
38,"['javascript', 'element', 'selectors-api']","{'account_id': 1944900, 'reputation': 7122, 'user_id': 1750282, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/de6f3eebd350eab64f9728c30ede43ef?s=256&d=identicon&r=PG', 'display_name': 'Randy Hall', 'link': 'https://stackoverflow.com/users/1750282/randy-hall'}",True,85870,,13125840.0,3,84,1666950164,1351528454,1557861013.0,13125817,https://stackoverflow.com/questions/13125817/how-to-remove-elements-that-were-fetched-using-queryselectorall,,How to remove elements that were fetched using querySelectorAll?,CC BY-SA 4.0,,
39,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1899902, 'reputation': 13, 'user_id': 1715969, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dc4f254b692710b29a1dfe632ccfa19e?s=256&d=identicon&r=PG', 'display_name': 'user1715969', 'link': 'https://stackoverflow.com/users/1715969/user1715969'}",True,3033,,12701776.0,2,1,1666858836,1349237270,1666858836.0,12701747,https://stackoverflow.com/questions/12701747/jquery-blur-event-firing-on-load-instead-of-when-expected,,"jQuery blur event firing on load, instead of when expected",CC BY-SA 4.0,,
40,"['javascript', 'html-table']","{'account_id': 1955196, 'reputation': 403, 'user_id': 1758333, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://i.stack.imgur.com/Up80s.jpg?s=256&g=1', 'display_name': 'Mayukh Raaj', 'link': 'https://stackoverflow.com/users/1758333/mayukh-raaj'}",True,40114,,12968240.0,4,6,1666840323,1350626063,1535811676.0,12968145,https://stackoverflow.com/questions/12968145/how-to-include-rowspan-and-colspan-dynamically-inside-td-tag-based-on-some-con,,How to include rowspan and colspan dynamically inside &lt;td&gt; tag based on some conditions,CC BY-SA 4.0,,
41,"['javascript', 'jquery']","{'account_id': 972671, 'reputation': 3756, 'user_id': 2532423, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/1a98f241453cef97fc9767d8d0e81f00?s=256&d=identicon&r=PG', 'display_name': 'Aladdin Mhemed', 'link': 'https://stackoverflow.com/users/2532423/aladdin-mhemed'}",True,8062,,12891625.0,9,2,1666811145,1350288366,,12891526,https://stackoverflow.com/questions/12891526/javascript-associative-array-access-by-key-value,,javascript associative array access by key value,CC BY-SA 3.0,,
42,"['javascript', 'sql', 'sqlite', 'node.js']","{'account_id': 1045328, 'reputation': 19831, 'user_id': 1050447, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/5017ec24332d7354fa71f0c94fd74558?s=256&d=identicon&r=PG', 'display_name': 'Adam Waite', 'link': 'https://stackoverflow.com/users/1050447/adam-waite'}",False,8803,,,1,-1,1666407930,1349776341,1351858896.0,12797332,https://stackoverflow.com/questions/12797332/sqlite-select-from-table-where-id-troubles,,SQLite SELECT * FROM table WHERE id=? Troubles,CC BY-SA 3.0,,
43,"['javascript', 'forms', 'event-handling']","{'account_id': 111852, 'reputation': 76156, 'user_id': 295264, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/a88d1309c2ea93cadb3f11b58890ca83?s=256&d=identicon&r=PG', 'display_name': 'Starx', 'link': 'https://stackoverflow.com/users/295264/starx'}",True,7961,,12820780.0,3,7,1666304240,1349872083,1592644375.0,12819357,https://stackoverflow.com/questions/12819357/form-submitted-using-submit-from-a-link-cannot-be-caught-by-onsubmit-handler,,Form submitted using submit() from a link cannot be caught by onsubmit handler,CC BY-SA 4.0,,
44,"['javascript', 'typescript']","{'account_id': 459063, 'reputation': 3793, 'user_id': 859314, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/909892a9a8f332145fc01b6547cd3a3a?s=256&d=identicon&r=PG', 'display_name': 'Alex Objelean', 'link': 'https://stackoverflow.com/users/859314/alex-objelean'}",True,142513,,12701445.0,12,60,1666265232,1349115365,1349172152.0,12678716,https://stackoverflow.com/questions/12678716/transforming-typescript-into-javascript,,Transforming TypeScript into JavaScript,CC BY-SA 3.0,,
45,"['javascript', 'inheritance', 'object-create']","{'account_id': 1446886, 'reputation': 7831, 'user_id': 1365028, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/25dc880ff1cd2e1a67e95f401c4905ed?s=256&d=identicon&r=PG', 'display_name': 'ChrisRich', 'link': 'https://stackoverflow.com/users/1365028/chrisrich'}",True,44378,,13041474.0,5,125,1666181501,1351033657,1447890816.0,13040684,https://stackoverflow.com/questions/13040684/javascript-inheritance-object-create-vs-new,,JavaScript inheritance: Object.create vs new,CC BY-SA 3.0,,
46,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1006352, 'reputation': 4312, 'user_id': 1020022, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/3818621a199c446d24da16d9db2d65e4?s=256&d=identicon&r=PG', 'display_name': 'Linas', 'link': 'https://stackoverflow.com/users/1020022/linas'}",True,3500,,12817769.0,3,13,1666120671,1349643743,1666120671.0,12772822,https://stackoverflow.com/questions/12772822/javascript-memory-usage-management,,JavaScript memory usage management,CC BY-SA 4.0,,
47,"['php', 'javascript']","{'account_id': 1096778, 'reputation': 3605, 'user_id': 1090213, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/79f57a1acef90f11c6d02bad9b3ec5aa?s=256&d=identicon&r=PG', 'display_name': 'Rocco The Taco', 'link': 'https://stackoverflow.com/users/1090213/rocco-the-taco'}",True,28673,,13109951.0,6,13,1665879870,1351435219,1351436819.0,13109770,https://stackoverflow.com/questions/13109770/best-way-to-redirect-single-php-page-for-mobile-devices-with-php-javascript,,Best way to redirect single php page for mobile devices with PHP/Javascript,CC BY-SA 3.0,,
