,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,protected_date,community_owned_date,migrated_from
10,"['javascript', 'jquery', 'jquery-events']","{'account_id': 340434, 'reputation': 2911, 'user_id': 670457, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/3940b6f0162e17687486b130a6c25e9a?s=256&d=identicon&r=PG', 'display_name': 'katie', 'link': 'https://stackoverflow.com/users/670457/katie'}",True,270,1,1,1667427028,1354330918,13655930,CC BY-SA 4.0,https://stackoverflow.com/questions/13655930/assign-global-variable-within-a-function,Assign global variable within a function,1667427028.0,13656019.0,,,,,
11,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1125923, 'reputation': 12692, 'user_id': 1113216, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/22a19975c6e3dc8c25d79bcf7814f601?s=256&d=identicon&r=PG', 'display_name': 'Lorraine Bernard', 'link': 'https://stackoverflow.com/users/1113216/lorraine-bernard'}",True,5850,3,16,1667420236,1354551197,13687269,CC BY-SA 4.0,https://stackoverflow.com/questions/13687269/bind-events-on-body-or-document,Bind events on body or document?,1667420236.0,,,,,,
12,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1021806, 'reputation': 6054, 'user_id': 1031947, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/c6dacdcf88a313c0f09e3b535d687b04?s=256&d=identicon&r=PG', 'display_name': 'user1031947', 'link': 'https://stackoverflow.com/users/1031947/user1031947'}",True,79,4,1,1667420208,1354841664,13755319,CC BY-SA 4.0,https://stackoverflow.com/questions/13755319/event-binding-in-jquery,Event binding in jQuery,1667420208.0,13755537.0,,,,,
13,"['javascript', 'jquery', 'jquery-events']","{'account_id': 2056906, 'reputation': 35, 'user_id': 1834403, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/83209d6538ad3d3225e0a86976bd06a6?s=256&d=identicon&r=PG', 'display_name': 'SupremeGunman', 'link': 'https://stackoverflow.com/users/1834403/supremegunman'}",True,4229,1,2,1667420184,1355092224,13792547,CC BY-SA 4.0,https://stackoverflow.com/questions/13792547/jquery-not-triggering-on-radio-button-change,jQuery not triggering on radio button change,1667420184.0,,,,,,
14,"['javascript', 'jquery', 'jquery-events']","{'account_id': 298125, 'reputation': 11003, 'user_id': 603986, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/cb82889f27fa0e93a1fc8905cbeccd29?s=256&d=identicon&r=PG', 'display_name': 'Charlie', 'link': 'https://stackoverflow.com/users/603986/charlie'}",True,1193,1,0,1667420117,1355090145,13792270,CC BY-SA 4.0,https://stackoverflow.com/questions/13792270/ios-scroll-event-not-being-called-at-end,iOS scroll event not being called at end?,1667420117.0,,,,,,
15,"['javascript', 'onkeyup']","{'account_id': 2099421, 'reputation': 21, 'user_id': 1867460, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3c574582ccfc2f627fded77fc16c3d64?s=256&d=identicon&r=PG', 'display_name': 'ucf', 'link': 'https://stackoverflow.com/users/1867460/ucf'}",False,10679,3,0,1667394195,1354308441,13652931,CC BY-SA 3.0,https://stackoverflow.com/questions/13652931/format-amount-on-keyup,Format amount on keyup,1354310526.0,,,,,,
16,"['javascript', 'jquery', 'jquery-events']","{'account_id': 2109787, 'reputation': 139, 'user_id': 1875282, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/oCge3.jpg?s=256&g=1', 'display_name': 'SHAKEEL HUSSAIN', 'link': 'https://stackoverflow.com/users/1875282/shakeel-hussain'}",False,135,0,0,1667374917,1355120534,13795978,CC BY-SA 4.0,https://stackoverflow.com/questions/13795978/cannot-access-global-array-in-other-javascript-function,Cannot access global array in other JavaScript function,1667374917.0,,,,,,
17,"['javascript', 'jquery', 'dom-events']","{'account_id': 1124615, 'reputation': 6794, 'user_id': 1449101, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://i.stack.imgur.com/v4w0y.png?s=256&g=1', 'display_name': 'kannanrbk', 'link': 'https://stackoverflow.com/users/1449101/kannanrbk'}",False,422,1,-1,1667374744,1355131569,13798089,CC BY-SA 4.0,https://stackoverflow.com/questions/13798089/listening-for-the-custom-event-triggered-from-jquery-in-native-javascript,Listening for the custom event triggered from jQuery in Native Javascript,1667374744.0,,,,,,
18,"['javascript', 'node.js', 'mongodb', 'coffeescript', 'express']","{'account_id': 202083, 'reputation': 1932, 'user_id': 2251266, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/NKyYt.jpg?s=256&g=1', 'display_name': 'Will', 'link': 'https://stackoverflow.com/users/2251266/will'}",True,118721,21,131,1667359930,1355356873,13850819,CC BY-SA 3.0,https://stackoverflow.com/questions/13850819/can-i-determine-if-a-string-is-a-mongodb-objectid,Can I determine if a string is a MongoDB ObjectID?,1355359015.0,29231016.0,,,,,
19,"['javascript', 'jquery', 'jquery-events']","{'account_id': 345558, 'reputation': 183, 'user_id': 678561, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/3d8cdf5429805a0aab0aeaf7838a25b4?s=256&d=identicon&r=PG', 'display_name': 'NickG77', 'link': 'https://stackoverflow.com/users/678561/nickg77'}",True,50,1,1,1667338811,1355168276,13807919,CC BY-SA 4.0,https://stackoverflow.com/questions/13807919/putting-a-timed-jquery-function-on-a-dynamically-created-div,Putting a timed jQuery function on a dynamically created div,1667338811.0,13807935.0,,,,,
20,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1936828, 'reputation': 79, 'user_id': 2019626, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/18abf895ae56e8267f1fd5854e8f8cfd?s=256&d=identicon&r=PG', 'display_name': 'deetu', 'link': 'https://stackoverflow.com/users/2019626/deetu'}",True,81,1,0,1667338753,1355482405,13877246,CC BY-SA 4.0,https://stackoverflow.com/questions/13877246/javascript-event-trigger,JavaScript Event Trigger,1667338753.0,13877348.0,,,,,
21,"['javascript', 'jquery', 'jquery-events']","{'account_id': 39686, 'reputation': 7977, 'user_id': 114558, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/bab612017b2cd60149999f197e9e5cc3?s=256&d=identicon&r=PG', 'display_name': 'rinogo', 'link': 'https://stackoverflow.com/users/114558/rinogo'}",True,153,1,1,1667338720,1355526306,13887472,CC BY-SA 4.0,https://stackoverflow.com/questions/13887472/accepted-design-pattern-for-preventing-event-handler-loops,Accepted design pattern for preventing event handler loops,1667338720.0,13887500.0,,,,,
22,"['javascript', 'jquery', 'jquery-events']","{'account_id': 916955, 'reputation': 4814, 'user_id': 949553, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/BHSVU.jpg?s=256&g=1', 'display_name': 'Ramzi Khahil', 'link': 'https://stackoverflow.com/users/949553/ramzi-khahil'}",True,165,1,3,1667326607,1356101928,13992349,CC BY-SA 4.0,https://stackoverflow.com/questions/13992349/delegate-events-from-an-object-to-another,Delegate events from an object to another,1667326607.0,13992421.0,,,,,
23,"['javascript', 'jquery', 'jquery-events']","{'account_id': 2170592, 'reputation': 41, 'user_id': 1922698, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/84c2e6af6e476c65fa8612d863547cbf?s=256&d=identicon&r=PG', 'display_name': 'user1922698', 'link': 'https://stackoverflow.com/users/1922698/user1922698'}",True,2858,1,0,1667326543,1356132035,13998445,CC BY-SA 4.0,https://stackoverflow.com/questions/13998445/using-javascript-jquery-to-display-text-only-on-scroll-event,Using JavaScript/JQuery to display text only on scroll event,1667326543.0,,,,,,
24,"['javascript', 'jquery']","{'account_id': 453665, 'reputation': 696, 'user_id': 850786, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/71402038e871f54d202b0530e7c490d2?s=256&d=identicon&r=PG', 'display_name': 'Andy Dwyer', 'link': 'https://stackoverflow.com/users/850786/andy-dwyer'}",True,504,2,0,1667326507,1356279382,14012519,CC BY-SA 4.0,https://stackoverflow.com/questions/14012519/retrieve-multiple-elements-with-getelementbyid,Retrieve multiple elements with &quot;getElementById&quot;?,1667326507.0,14012579.0,,,,,
25,"['javascript', 'plugins']","{'account_id': 204938, 'reputation': 29918, 'user_id': 453435, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/4pzzK.jpg?s=256&g=1', 'display_name': 'Ky -', 'link': 'https://stackoverflow.com/users/453435/ky'}",True,95196,3,39,1667269378,1354301456,13651274,CC BY-SA 3.0,https://stackoverflow.com/questions/13651274/how-can-i-attach-a-window-resize-event-listener-in-javascript,How can I attach a window resize event listener in JavaScript?,1443016556.0,13651455.0,,,,,
26,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1059408, 'reputation': 475, 'user_id': 1061346, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://i.stack.imgur.com/XDBp0.png?s=256&g=1', 'display_name': 'Sebastian', 'link': 'https://stackoverflow.com/users/1061346/sebastian'}",True,301,1,5,1667248986,1356341335,14019494,CC BY-SA 4.0,https://stackoverflow.com/questions/14019494/how-to-call-a-jquery-function-like-in-javascript,How to call a jQuery function like in JavaScript,1667248986.0,14019502.0,,,,,
27,"['javascript', 'jquery', 'jquery-events']","{'account_id': 443146, 'reputation': 2941, 'user_id': 834186, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/026d6be1a14c9575eaed498af227fc9c?s=256&d=identicon&r=PG', 'display_name': 'nthpixel', 'link': 'https://stackoverflow.com/users/834186/nthpixel'}",True,440,2,0,1667248907,1356653595,14062998,CC BY-SA 4.0,https://stackoverflow.com/questions/14062998/why-does-renaming-an-html-element-remove-its-events,Why does renaming an HTML element remove its events?,1667248907.0,14068874.0,,,,,
28,"['javascript', 'datetime', 'epoch']","{'account_id': 1412435, 'reputation': 959, 'user_id': 1338769, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://i.stack.imgur.com/TOXII.png?s=256&g=1', 'display_name': 'cbm64', 'link': 'https://stackoverflow.com/users/1338769/cbm64'}",True,141438,11,44,1666959272,1354638357,13707333,CC BY-SA 3.0,https://stackoverflow.com/questions/13707333/javascript-convert-date-time-string-to-epoch,Javascript Convert Date Time string to Epoch,1354638456.0,13707396.0,,,,,
29,"['javascript', 'd3.js']","{'account_id': 126818, 'reputation': 9732, 'user_id': 323578, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://i.stack.imgur.com/i6YAT.png?s=256&g=1', 'display_name': 'josephmisiti', 'link': 'https://stackoverflow.com/users/323578/josephmisiti'}",True,100789,5,225,1666933715,1354726645,13728402,CC BY-SA 3.0,https://stackoverflow.com/questions/13728402/what-is-the-difference-d3-datum-vs-data,What is the difference D3 datum vs. data?,,13730996.0,,,,,
30,"['javascript', 'html', 'text']","{'account_id': 1325502, 'reputation': 777, 'user_id': 1270405, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/4b6aeb5e4ac611feeddeefe38cdf5d4a?s=256&d=identicon&r=PG', 'display_name': 'CRS', 'link': 'https://stackoverflow.com/users/1270405/crs'}",True,237525,6,62,1666782867,1354645633,13709482,CC BY-SA 3.0,https://stackoverflow.com/questions/13709482/how-to-read-text-file-in-javascript,How to read text file in JavaScript,1448655220.0,13709663.0,,,,,
31,"['php', 'javascript', 'symfony', 'twig']","{'account_id': 1803461, 'reputation': 3950, 'user_id': 1712587, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/266e0a22f9e15bf90dddb1571640e88e?s=256&d=identicon&r=PG', 'display_name': 'clifford.duke', 'link': 'https://stackoverflow.com/users/1712587/clifford-duke'}",True,71867,5,64,1665791777,1355817966,13928729,CC BY-SA 3.0,https://stackoverflow.com/questions/13928729/use-javascript-to-access-a-variable-passed-through-twig,Use Javascript to access a variable passed through Twig,1355819162.0,13929052.0,,,,,
32,"['underscore.js', 'javascript', 'lodash']","{'account_id': 10223, 'reputation': 78457, 'user_id': 19212, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/3aefe160da30caa0d7ea0f922f94c257?s=256&d=identicon&r=PG', 'display_name': 'Brian M. Hunt', 'link': 'https://stackoverflow.com/users/19212/brian-m-hunt'}",True,358237,12,1704,1665774481,1355072916,13789618,,https://stackoverflow.com/questions/13789618/differences-between-lodash-and-underscore-js,Differences between Lodash and Underscore.js,1665774481.0,13898916.0,1548026737.0,Opinion-based,,,
33,"['javascript', 'html', 'css', 'tooltip', 'delay']","{'account_id': 1843996, 'reputation': 7351, 'user_id': 1672778, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/uxHbs.gif?s=256&g=1', 'display_name': 'ModernDesigner', 'link': 'https://stackoverflow.com/users/1672778/moderndesigner'}",True,8267,3,6,1665451655,1355184642,13811538,CC BY-SA 3.0,https://stackoverflow.com/questions/13811538/how-to-delay-basic-html-tooltip,How to delay basic HTML tooltip?,,13811558.0,,,,,
34,"['javascript', 'jquery']","{'account_id': 55677, 'reputation': 603, 'user_id': 166804, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/f4e4d53113930e35246931a4f5c96c42?s=256&d=identicon&r=PG', 'display_name': 'Z with a Z', 'link': 'https://stackoverflow.com/users/166804/z-with-a-z'}",True,149040,4,22,1665361361,1355862949,13941055,CC BY-SA 3.0,https://stackoverflow.com/questions/13941055/add-a-string-of-text-into-an-input-field-when-user-clicks-a-button,Add a string of text into an input field when user clicks a button,1355863457.0,13941291.0,,,,,
35,"['javascript', 'datetime']","{'account_id': 481379, 'reputation': 48044, 'user_id': 895174, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/78e344ec038d09a26a4380d8f23de6ab?s=256&d=identicon&r=PG&f=1', 'display_name': 'itsme', 'link': 'https://stackoverflow.com/users/895174/itsme'}",True,215618,24,100,1665004799,1355680136,13903897,CC BY-SA 3.0,https://stackoverflow.com/questions/13903897/javascript-return-number-of-days-hours-minutes-seconds-between-two-dates,"Javascript return number of days,hours,minutes,seconds between two dates",1520864640.0,13904120.0,,,,,
36,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1606871, 'reputation': 1858, 'user_id': 1486796, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://i.stack.imgur.com/zHVHm.jpg?s=256&g=1', 'display_name': 'Gideon', 'link': 'https://stackoverflow.com/users/1486796/gideon'}",True,5732,3,1,1664995500,1354319177,13654787,CC BY-SA 4.0,https://stackoverflow.com/questions/13654787/using-javascript-jquery-event-handler-in-firefox,Using JavaScript / jQuery event handler in Firefox,1664995500.0,13654802.0,,,,,
37,['javascript'],"{'account_id': 1697169, 'reputation': 486, 'user_id': 1558305, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/75c04eeb8a50b68557c642143f615e19?s=256&d=identicon&r=PG', 'display_name': 'abhishek-23', 'link': 'https://stackoverflow.com/users/1558305/abhishek-23'}",True,26394,3,11,1664799188,1356166783,14001483,CC BY-SA 3.0,https://stackoverflow.com/questions/14001483/document-body-clientheight-not-working-javascript,document.body.clientHeight not working? (JavaScript),,14001548.0,,,,,
38,"['javascript', 'jsf', 'richfaces']","{'account_id': 1940712, 'reputation': 4742, 'user_id': 1746975, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/1b324334a7501c59aadd6ff70f6b425c?s=256&d=identicon&r=PG', 'display_name': 'ZeDonDino', 'link': 'https://stackoverflow.com/users/1746975/zedondino'}",True,3733,2,0,1664788702,1356439459,14030754,CC BY-SA 3.0,https://stackoverflow.com/questions/14030754/uncaught-typeerror-cannot-read-property-action-of-null-with-delayed-handler,uncaught TypeError: Cannot read property &#39;action&#39; of null with delayed handler,1356446442.0,14031282.0,,,,,
39,"['javascript', 'jquery', 'jquery-events']","{'account_id': 955897, 'reputation': 3669, 'user_id': 981208, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/56a72354ffe33e9815f02be3709576cb?s=256&d=identicon&r=PG&f=1', 'display_name': 'FixMaker', 'link': 'https://stackoverflow.com/users/981208/fixmaker'}",True,437,4,0,1664698029,1354732627,13730089,CC BY-SA 4.0,https://stackoverflow.com/questions/13730089/determining-whether-focus-was-received-as-result-of-a-click-event,Determining whether focus was received as result of a click event,1664698029.0,13743655.0,,,,,
40,"['javascript', 'jquery']","{'account_id': 1820432, 'reputation': 681, 'user_id': 1654619, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/d18258fb39410137aec925d5be3f7d18?s=256&d=identicon&r=PG', 'display_name': 'krrr25', 'link': 'https://stackoverflow.com/users/1654619/krrr25'}",True,89704,12,30,1664530143,1355737507,13911681,CC BY-SA 3.0,https://stackoverflow.com/questions/13911681/remove-html-tags-from-a-javascript-string,Remove HTML tags from a javascript string,1355737677.0,13911769.0,,,,,
41,"['php', 'javascript', 'post', 'get']","{'account_id': 2115494, 'reputation': 1273, 'user_id': 1879926, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/007e8f0e8e54b60607003c827e7844ea?s=256&d=identicon&r=PG', 'display_name': 'user1879926', 'link': 'https://stackoverflow.com/users/1879926/user1879926'}",True,119681,6,14,1663963865,1354739272,13731800,,https://stackoverflow.com/questions/13731800/send-php-variable-to-javascript-function,Send PHP variable to JavaScript function,1663963865.0,13731853.0,1400513060.0,Duplicate,,,
42,"['javascript', 'html', 'css']","{'user_type': 'does_not_exist', 'display_name': 'user479870'}",True,41353,5,12,1663861383,1355093719,13792755,CC BY-SA 3.0,https://stackoverflow.com/questions/13792755/show-border-grid-lines-only-between-elements,show border grid lines only between elements,,13832144.0,,,,,
43,"['javascript', 'node.js', 'closures']","{'account_id': 1037031, 'reputation': 2212, 'user_id': 1044011, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'bxshi', 'link': 'https://stackoverflow.com/users/1044011/bxshi'}",True,12055,6,32,1663765280,1355198767,13813463,CC BY-SA 4.0,https://stackoverflow.com/questions/13813463/how-to-avoid-access-mutable-variable-from-closure,How to avoid access mutable variable from closure,1663765280.0,13815365.0,,,,,
44,"['javascript', 'jquery', 'html']","{'account_id': 1093989, 'reputation': 8074, 'user_id': 1087998, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/pWuex.jpg?s=256&g=1', 'display_name': 'Sumit Bijvani', 'link': 'https://stackoverflow.com/users/1087998/sumit-bijvani'}",True,238366,12,120,1663671567,1355132319,13798313,CC BY-SA 3.0,https://stackoverflow.com/questions/13798313/set-custom-html5-required-field-validation-message,Set custom HTML5 required field validation message,1486690384.0,16069817.0,,,1546406242.0,,
45,"['javascript', 'iframe', 'youtube', 'embed', 'unsafe']","{'account_id': 1195457, 'reputation': 319, 'user_id': 1167299, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/5cb2101cefea2250610ce336fab89957?s=256&d=identicon&r=PG', 'display_name': 'Joseph Shambrook', 'link': 'https://stackoverflow.com/users/1167299/joseph-shambrook'}",False,7783,1,3,1663617650,1355410205,13862339,CC BY-SA 3.0,https://stackoverflow.com/questions/13862339/unsafe-javascript-attempt-to-access-frame-with-url-error-causing-javascript-ro,&quot;Unsafe JavaScript attempt to access frame with URL&quot; error causing JavaScript rollovers to fail,1359972040.0,,,,,,
46,"['javascript', 'html', 'dom']","{'account_id': 2150187, 'reputation': 41, 'user_id': 1906799, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d4f0edbac172e00a6f4000b5c48bc01a?s=256&d=identicon&r=PG', 'display_name': 'Rpk_74', 'link': 'https://stackoverflow.com/users/1906799/rpk-74'}",True,14118,4,2,1663615868,1355600328,13895522,CC BY-SA 3.0,https://stackoverflow.com/questions/13895522/how-to-get-absolute-dom-path-of-html-element,How to get absolute DOM path of html element,1355602035.0,,,,,,
47,"['javascript', 'time-format']","{'account_id': 668931, 'reputation': 8407, 'user_id': 311343, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/d966ec61fcaf459d0a057828f285694c?s=256&d=identicon&r=PG', 'display_name': 'Tim', 'link': 'https://stackoverflow.com/users/311343/tim'}",True,181167,22,64,1663595967,1355629581,13898423,CC BY-SA 3.0,https://stackoverflow.com/questions/13898423/javascript-convert-24-hour-time-of-day-string-to-12-hour-time-with-am-pm-and-no,Javascript: convert 24-hour time-of-day string to 12-hour time with AM/PM and no timezone,1355631907.0,13899011.0,,,,,
48,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1613111, 'reputation': 2019, 'user_id': 1491537, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/61f70fb086346bd40a91395a724153b6?s=256&d=identicon&r=PG', 'display_name': 'kostepanych', 'link': 'https://stackoverflow.com/users/1491537/kostepanych'}",True,53269,1,21,1663446404,1356709668,14072042,,https://stackoverflow.com/questions/14072042/how-to-check-if-element-has-click-handler,How to check if element has click handler?,1663446404.0,14072162.0,1356716942.0,exact duplicate,,,
