,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,accepted_answer_id,community_owned_date,locked_date,closed_date,closed_reason
10,"['javascript', 'window-resize']","{'account_id': 21539, 'reputation': 19227, 'user_id': 52458, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/11e524fa952e9e2b844149a9862f8c26?s=256&d=identicon&r=PG', 'display_name': 'Dead account', 'link': 'https://stackoverflow.com/users/52458/dead-account'}",True,1175684,12,708,1664482914,1236934223,1599509752.0,641857,CC BY-SA 4.0,https://stackoverflow.com/questions/641857/javascript-window-resize-event,JavaScript window resize event,1435475632.0,641874.0,,,,
11,"['javascript', 'igoogle']","{'account_id': 25389, 'reputation': 14119, 'user_id': 65230, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/PMj3B.jpg?s=256&g=1', 'display_name': 'Ascalonian', 'link': 'https://stackoverflow.com/users/65230/ascalonian'}",True,1751,4,8,1664287345,1236012586,1305058784.0,603059,,https://stackoverflow.com/questions/603059/how-to-use-draggable-sections-like-on-igoogle,How to use draggable sections like on iGoogle?,,603061.0,,,1664360244.0,Needs more focus
12,['javascript'],"{'user_type': 'does_not_exist', 'display_name': 'Geetha'}",True,109634,11,62,1664136937,1236069550,1352037422.0,605575,CC BY-SA 3.0,https://stackoverflow.com/questions/605575/getting-the-previous-months-first-date-from-current-date-in-javascript,Getting the previous month&#39;s first date from current date in JavaScript,,,,,,
13,"['javascript', 'dom', 'range', 'traversal']","{'account_id': 1581, 'reputation': 9453, 'user_id': 2118, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/558f6300806bd61b6fc860289ebe37c7?s=256&d=identicon&r=PG', 'display_name': 'AnnanFay', 'link': 'https://stackoverflow.com/users/2118/annanfay'}",True,21089,10,22,1663635941,1237582336,,667951,CC BY-SA 2.5,https://stackoverflow.com/questions/667951/how-to-get-nodes-lying-inside-a-range-with-javascript,How to get nodes lying inside a range with javascript?,,668058.0,,,,
14,"['javascript', 'model-view-controller', 'drop-down-menu', 'viewdata', 'selectlist']","{'account_id': 14720, 'reputation': 731, 'user_id': 30535, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/07714a0ee504c08e6f75e5bc764fb719?s=256&d=identicon&r=PG', 'display_name': 'MikeD', 'link': 'https://stackoverflow.com/users/30535/miked'}",False,9072,2,2,1663441455,1236134278,1556537673.0,609063,CC BY-SA 4.0,https://stackoverflow.com/questions/609063/populating-dropdownlist-with-selectlist-in-viewdata,Populating dropdownlist with selectlist in ViewData,,,,,,
15,"['javascript', 'loops', 'for-loop', 'each']","{'account_id': 10119, 'reputation': 43134, 'user_id': 1312208, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/9196200f17e666c6ccd475bbf26e1309?s=256&d=identicon&r=PG', 'display_name': 'Tanmoy', 'link': 'https://stackoverflow.com/users/1312208/tanmoy'}",True,2657263,48,3467,1663257228,1238047307,1652030948.0,684672,CC BY-SA 4.0,https://stackoverflow.com/questions/684672/how-do-i-loop-through-or-enumerate-a-javascript-object,How do I loop through or enumerate a JavaScript object?,1361955130.0,684692.0,,,,
16,"['javascript', 'regex', 'split']","{'user_type': 'does_not_exist', 'display_name': 'sol'}",True,766927,25,712,1662650571,1237202752,1614362502.0,650022,CC BY-SA 4.0,https://stackoverflow.com/questions/650022/how-do-i-split-a-string-with-multiple-separators-in-javascript,How do I split a string with multiple separators in JavaScript?,1574511981.0,650037.0,,,,
17,"['javascript', 'string', 'startswith']","{'user_type': 'does_not_exist', 'display_name': 'sol'}",True,1012195,18,1787,1661874734,1237061571,1536440071.0,646628,CC BY-SA 4.0,https://stackoverflow.com/questions/646628/how-to-check-if-a-string-startswith-another-string,How to check if a string &quot;StartsWith&quot; another string?,1437950815.0,646643.0,,,,
18,"['javascript', 'arrays', 'performance', 'firefox', 'browser']","{'account_id': 23274, 'reputation': 115495, 'user_id': 58186, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/7ece00ffc45c3ef315d206f32999a0ac?s=256&d=identicon&r=PG', 'display_name': 'KooiInc', 'link': 'https://stackoverflow.com/users/58186/kooiinc'}",True,36143,6,76,1660382715,1236246119,1641328370.0,614126,CC BY-SA 4.0,https://stackoverflow.com/questions/614126/why-is-array-push-sometimes-faster-than-arrayn-value,Why is array.push sometimes faster than array[n] = value?,,614255.0,,,,
19,"['javascript', 'object', 'dump', 'var-dump']","{'account_id': 19848, 'reputation': 8304, 'user_id': 46866, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/983a991ae17def46bfb40524da59fe8e?s=256&d=identicon&r=PG', 'display_name': 'Adriana', 'link': 'https://stackoverflow.com/users/46866/adriana'}",True,503166,9,317,1660200628,1236027797,1417969686.0,603987,,https://stackoverflow.com/questions/603987/what-is-the-javascript-equivalent-of-var-dump-or-print-r-in-php,What is the JavaScript equivalent of var_dump or print_r in PHP?,,603998.0,,,1513588204.0,Duplicate
20,"['javascript', 'jquery', 'html']","{'account_id': 1335, 'reputation': 78658, 'user_id': 1782, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/4dfc8f56817006ef21327d5ff19ce04f?s=256&d=identicon&r=PG', 'display_name': 'juan', 'link': 'https://stackoverflow.com/users/1782/juan'}",True,646040,29,340,1659312721,1236881245,1236887917.0,639815,CC BY-SA 2.5,https://stackoverflow.com/questions/639815/how-to-disable-all-div-content,How to disable all div content,1410267381.0,25328170.0,,,,
21,"['javascript', 'jquery', 'image']","{'account_id': 24635, 'reputation': 8492, 'user_id': 62780, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/9c82428ae5e3a7b05fda89449fbb41d2?s=256&d=identicon&r=PG', 'display_name': 'Saneef', 'link': 'https://stackoverflow.com/users/62780/saneef'}",True,1374781,33,712,1658961758,1236494473,1596487013.0,623172,CC BY-SA 4.0,https://stackoverflow.com/questions/623172/how-to-get-image-size-height-width-using-javascript,How to get image size (height &amp; width) using JavaScript?,1591286457.0,,,,,
22,['javascript'],"{'account_id': 11433, 'reputation': 18841, 'user_id': 22039, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/67fe5c6c0f514fbd30dbdb24da08a3e2?s=256&d=identicon&r=PG', 'display_name': 'Cherian', 'link': 'https://stackoverflow.com/users/22039/cherian'}",True,449142,37,568,1658423349,1237576550,1631627264.0,667555,CC BY-SA 4.0,https://stackoverflow.com/questions/667555/how-to-detect-idle-time-in-javascript,How to detect idle time in JavaScript,1633733252.0,,,,,
23,"['javascript', 'jquery', 'html', 'webkit', 'forms']","{'account_id': 28992, 'reputation': 6391, 'user_id': 77972, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/510f8d2cb76eb3921179ceb00bcacca0?s=256&d=identicon&r=PG', 'display_name': 'b. e. hollenbeck', 'link': 'https://stackoverflow.com/users/77972/b-e-hollenbeck'}",True,528556,16,451,1657734379,1238447779,1406542869.0,699065,CC BY-SA 3.0,https://stackoverflow.com/questions/699065/submitting-a-form-on-enter-with-jquery,Submitting a form on &#39;Enter&#39; with jQuery?,1388789502.0,12518467.0,,,,
24,"['javascript', 'performance']","{'account_id': 3141, 'reputation': 111849, 'user_id': 4465, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/7f4fd2cb2fec52981ae18c25257a1634?s=256&d=identicon&r=PG', 'display_name': 'levik', 'link': 'https://stackoverflow.com/users/4465/levik'}",True,346175,11,212,1657182727,1238043679,1517333092.0,684575,CC BY-SA 3.0,https://stackoverflow.com/questions/684575/how-to-quickly-clear-a-javascript-object,How to quickly clear a JavaScript Object?,,684603.0,,,,
25,"['javascript', 'split']","{'user_type': 'does_not_exist', 'display_name': 'sol'}",True,379476,11,255,1656492745,1237227469,1451056256.0,651563,CC BY-SA 3.0,https://stackoverflow.com/questions/651563/getting-the-last-element-of-a-split-string-array,Getting the last element of a split string array,,651595.0,,,,
26,['javascript'],"{'account_id': 183, 'reputation': 28712, 'user_id': 225, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/36c9d60c1653c9e295189ffd803a7fb6?s=256&d=identicon&r=PG', 'display_name': 'brendan', 'link': 'https://stackoverflow.com/users/225/brendan'}",True,213064,9,184,1656461452,1237834048,1618741232.0,674721,CC BY-SA 4.0,https://stackoverflow.com/questions/674721/how-do-i-subtract-minutes-from-a-date-in-javascript,How do I subtract minutes from a date in JavaScript?,,674735.0,,,,
27,"['javascript', 'jquery']","{'account_id': 14416, 'reputation': 15032, 'user_id': 29653, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/ea32e1d33d0ed1299628c2e49e9c3fc9?s=256&d=identicon&r=PG', 'display_name': 'akshat', 'link': 'https://stackoverflow.com/users/29653/akshat'}",True,386498,3,427,1656411466,1238013412,1238031001.0,683339,CC BY-SA 2.5,https://stackoverflow.com/questions/683339/how-do-i-find-the-absolute-position-of-an-element-using-jquery,How do I find the absolute position of an element using jQuery?,1319997631.0,683564.0,,,,
28,"['javascript', 'html', 'download', 'content-disposition']","{'account_id': 8326, 'reputation': 253181, 'user_id': 14955, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://i.stack.imgur.com/5DblQ.png?s=256&g=1', 'display_name': 'Thilo', 'link': 'https://stackoverflow.com/users/14955/thilo'}",True,28766,9,30,1656329879,1236150751,1319404759.0,609530,CC BY-SA 3.0,https://stackoverflow.com/questions/609530/download-textarea-contents-as-a-file-using-only-javascript-no-server-side,Download textarea contents as a file using only Javascript (no server-side),,,,,,
29,"['javascript', 'gmail']","{'account_id': 25389, 'reputation': 14119, 'user_id': 65230, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/PMj3B.jpg?s=256&g=1', 'display_name': 'Ascalonian', 'link': 'https://stackoverflow.com/users/65230/ascalonian'}",True,75344,14,95,1655675406,1237400383,,659508,CC BY-SA 2.5,https://stackoverflow.com/questions/659508/how-can-i-shift-select-multiple-checkboxes-like-gmail,How can I shift-select multiple checkboxes like GMail?,,659571.0,,,,
30,"['javascript', 'html', 'events', 'event-handling', 'dom-events']","{'account_id': 25572, 'reputation': 12177, 'user_id': 65778, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/7731ced7bf9b136b7bdb90ea8f576d8c?s=256&d=identicon&r=PG', 'display_name': 'Sebastian Celis', 'link': 'https://stackoverflow.com/users/65778/sebastian-celis'}",True,1996,5,0,1655561163,1237573704,1655561163.0,667377,CC BY-SA 4.0,https://stackoverflow.com/questions/667377/how-can-i-temporarily-prevent-a-scrollable-div-from-scrolling,How can I temporarily prevent a scrollable div from scrolling?,,667934.0,,,,
31,"['.net', 'asp.net', 'javascript', 'ajax']","{'account_id': 28429, 'reputation': 7788, 'user_id': 75946, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/e1d9b7c6667800cfb80ddd3872049b58?s=256&d=identicon&r=PG', 'display_name': 'dkarzon', 'link': 'https://stackoverflow.com/users/75946/dkarzon'}",True,322329,13,141,1654106306,1238019598,1596551972.0,683746,CC BY-SA 4.0,https://stackoverflow.com/questions/683746/how-to-disable-postback-on-an-asp-button-system-web-ui-webcontrols-button,How to disable postback on an asp Button (System.Web.UI.WebControls.Button),,683754.0,,,,
32,"['jquery', 'swap', 'javascript']","{'account_id': 1335, 'reputation': 78658, 'user_id': 1782, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/4dfc8f56817006ef21327d5ff19ce04f?s=256&d=identicon&r=PG', 'display_name': 'juan', 'link': 'https://stackoverflow.com/users/1782/juan'}",True,134416,22,184,1653384464,1238435828,1524706065.0,698301,CC BY-SA 3.0,https://stackoverflow.com/questions/698301/is-there-a-native-jquery-function-to-switch-elements,Is there a native jQuery function to switch elements?,,8638127.0,,,,
33,"['javascript', 'scripting', 'server-side']","{'account_id': 20683, 'reputation': 1723, 'user_id': 49684, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/53f7921a0198cb24ad8e8a4f297903e5?s=256&d=identicon&r=PG', 'display_name': 'Ronn', 'link': 'https://stackoverflow.com/users/49684/ronn'}",True,8377,6,35,1653039681,1238184814,1238186969.0,691307,CC BY-SA 2.5,https://stackoverflow.com/questions/691307/server-side-javascript-why,Server Side Javascript: Why?,,691317.0,,,,
34,"['javascript', 'html']","{'account_id': 17171, 'reputation': 36951, 'user_id': 38172, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/5b5506e29d988e9b4f3408d50d8bc9c9?s=256&d=identicon&r=PG', 'display_name': 'praveenjayapal', 'link': 'https://stackoverflow.com/users/38172/praveenjayapal'}",True,229248,17,84,1652952273,1237966355,1237976202.0,680562,CC BY-SA 2.5,https://stackoverflow.com/questions/680562/can-javascript-read-the-source-of-any-web-page,Can Javascript read the source of any web page?,,,,,,
35,"['javascript', 'html', 'scroll']","{'account_id': 10610, 'reputation': 64602, 'user_id': 20126, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/22fc146c1512cdb4d381222dcbc8b9f8?s=256&d=identicon&r=PG', 'display_name': 'Amr Elgarhy', 'link': 'https://stackoverflow.com/users/20126/amr-elgarhy'}",True,562975,16,276,1652947369,1236795140,1596548885.0,635706,CC BY-SA 4.0,https://stackoverflow.com/questions/635706/how-to-scroll-to-an-element-inside-a-div,How to scroll to an element inside a div?,1564544885.0,1592609.0,,,,
36,"['javascript', 'ajax', 'greasemonkey']","{'user_type': 'does_not_exist', 'display_name': 'Scooby Doo'}",True,44875,7,54,1651819793,1236682746,,629671,CC BY-SA 2.5,https://stackoverflow.com/questions/629671/how-can-i-intercept-xmlhttprequests-from-a-greasemonkey-script,How can I intercept XMLHttpRequests from a Greasemonkey script?,,,,,,
37,"['javascript', 'flash', 'browser', 'localization']","{'account_id': 25081, 'reputation': 8615, 'user_id': 64223, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/af2c86bad6659fcf55828dd17829d3dc?s=256&d=identicon&r=PG', 'display_name': 'Theo.T', 'link': 'https://stackoverflow.com/users/64223/theo-t'}",True,382445,9,303,1650983232,1237823010,1629197196.0,673905,CC BY-SA 4.0,https://stackoverflow.com/questions/673905/how-to-determine-users-locale-within-browser,How to determine user&#39;s locale within browser?,1521174793.0,674570.0,,,,
38,"['javascript', 'html', 'jquery', 'forms', 'jquery-events']","{'account_id': 29335, 'reputation': 899, 'user_id': 79210, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/9a65959c685ae4d4057080c383e17773?s=256&d=identicon&r=PG', 'display_name': 'Jordie', 'link': 'https://stackoverflow.com/users/79210/jordie'}",True,1245,4,3,1650616210,1237460079,1650616210.0,661752,CC BY-SA 4.0,https://stackoverflow.com/questions/661752/problem-with-disabling-submit-buttons-on-form-submit,Problem with disabling submit buttons on form submit,,862163.0,,,,
39,"['javascript', 'browser-history', 'back-button', 'deep-linking']","{'account_id': 23582, 'reputation': 18578, 'user_id': 59180, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/0f0f5d11143921e700f2d98a2a7850cb?s=256&d=identicon&r=PG', 'display_name': 'Jonathon Watney', 'link': 'https://stackoverflow.com/users/59180/jonathon-watney'}",True,32279,6,29,1650098049,1236997315,1267846450.0,645202,CC BY-SA 2.5,https://stackoverflow.com/questions/645202/can-i-update-window-location-hash-without-having-the-web-page-scroll,Can I update window.location.hash without having the web page scroll?,,645217.0,,,,
40,"['javascript', 'date']","{'account_id': 18364, 'reputation': 38190, 'user_id': 42024, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/vGRys.jpg?s=256&g=1', 'display_name': 'Martin', 'link': 'https://stackoverflow.com/users/42024/martin'}",True,695155,25,821,1650018095,1236965466,1534865120.0,643782,CC BY-SA 4.0,https://stackoverflow.com/questions/643782/how-to-check-whether-an-object-is-a-date,How to check whether an object is a date?,1415050046.0,643827.0,,,,
41,"['javascript', 'ajax', 'yui', 'yui3']","{'account_id': 24717, 'reputation': 252862, 'user_id': 63051, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/b4b87a82355f286bb410cc1854389226?s=256&d=identicon&r=PG', 'display_name': 'flybywire', 'link': 'https://stackoverflow.com/users/63051/flybywire'}",True,2088,4,11,1649335882,1237917911,1649335861.0,678546,CC BY-SA 4.0,https://stackoverflow.com/questions/678546/comparison-of-yui-and-yui3,Comparison of yui and yui3,,678770.0,,,,
42,"['javascript', 'asp.net', 'ajax']","{'account_id': 18585, 'reputation': 1385, 'user_id': 450954, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/e03cce6e66fc7e2d875f9af8a107ea96?s=256&d=identicon&r=PG', 'display_name': 'NetHawk', 'link': 'https://stackoverflow.com/users/450954/nethawk'}",True,101831,9,51,1648027268,1236911842,1410838000.0,641280,CC BY-SA 3.0,https://stackoverflow.com/questions/641280/reference-asp-net-control-by-id-in-javascript,Reference ASP.NET control by ID in JavaScript?,,641329.0,,,,
43,"['javascript', 'regex', 'negative-lookbehind']","{'account_id': 10905, 'reputation': 11370, 'user_id': 20801, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/88387a69eef0b3caea7f4e8920c1ca08?s=256&d=identicon&r=PG', 'display_name': 'Andrew Ensley', 'link': 'https://stackoverflow.com/users/20801/andrew-ensley'}",True,95527,12,167,1646592467,1236916238,1638315983.0,641407,CC BY-SA 4.0,https://stackoverflow.com/questions/641407/negative-lookbehind-equivalent-in-javascript,Negative lookbehind equivalent in JavaScript,1574642584.0,50434875.0,,,,
44,"['javascript', 'jquery', 'jquery-events', 'watermark']","{'account_id': 7872, 'reputation': 540, 'user_id': 13843, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/a7543ca8df114d733f254e14d523213f?s=256&d=identicon&r=PG', 'display_name': 'Chris Jackson', 'link': 'https://stackoverflow.com/users/13843/chris-jackson'}",True,1612,1,1,1645106809,1236712995,1645106809.0,631875,CC BY-SA 4.0,https://stackoverflow.com/questions/631875/javascript-events-not-bubbling-up-when-using-text-box-watermark,Javascript Events Not Bubbling Up When Using Text Box Watermark,,632087.0,,,,
45,"['javascript', 'css', 'html-table']","{'account_id': 1364, 'reputation': 34674, 'user_id': 1820, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/b24d350717de2b0432a76043e01c8a8a?s=256&d=identicon&r=PG', 'display_name': 'Cheekysoft', 'link': 'https://stackoverflow.com/users/1820/cheekysoft'}",True,224700,31,247,1644404501,1237810272,1452621347.0,673153,CC BY-SA 3.0,https://stackoverflow.com/questions/673153/html-table-with-fixed-headers,HTML table with fixed headers?,1335149359.0,7732309.0,,,,
46,"['javascript', 'inheritance', 'prototype-programming']","{'account_id': 25344, 'reputation': 20370, 'user_id': 65120, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/ac81051f3e74f6bf8ff6a4e60c47adf6?s=256&d=identicon&r=PG', 'display_name': 'xdevel2000', 'link': 'https://stackoverflow.com/users/65120/xdevel2000'}",True,56120,8,177,1642973114,1237215353,1472054708.0,650764,CC BY-SA 3.0,https://stackoverflow.com/questions/650764/how-does-proto-differ-from-constructor-prototype,How does __proto__ differ from constructor.prototype?,,11249437.0,,,,
47,"['javascript', 'html', 'mouse-cursor']","{'account_id': 2212, 'reputation': 387841, 'user_id': 3043, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/61d2a0f034915fa9d2acd6f6b145bba8?s=256&d=identicon&r=PG', 'display_name': 'Joel Coehoorn', 'link': 'https://stackoverflow.com/users/3043/joel-coehoorn'}",True,15177,3,5,1641444240,1236889169,1641444240.0,640303,CC BY-SA 4.0,https://stackoverflow.com/questions/640303/change-cursor-type-for-an-html-document-from-javascript,Change cursor type for an html document from javascript,,640322.0,,,,
48,"['javascript', 'dom-events', 'standards', 'magic-numbers']","{'account_id': 10588, 'reputation': 75486, 'user_id': 20074, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/42cefdfc8bf68676484cebf431329369?s=256&d=identicon&r=PG', 'display_name': 'Ken', 'link': 'https://stackoverflow.com/users/20074/ken'}",True,1717,1,5,1640617354,1236191326,1640617354.0,611852,CC BY-SA 4.0,https://stackoverflow.com/questions/611852/how-to-avoid-magic-numbers-when-matching-an-event-keycode-in-javascript,How to avoid magic numbers when matching an event.keyCode in Javascript,,613673.0,,,,
49,"['javascript', 'html', 'dom']","{'account_id': 17356, 'reputation': 2814, 'user_id': 38769, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/b5b998a16507eecae42baf247152ef56?s=256&d=identicon&r=PG', 'display_name': 'CountZero', 'link': 'https://stackoverflow.com/users/38769/countzero'}",True,356632,14,166,1640569530,1236169842,1443701957.0,610336,CC BY-SA 3.0,https://stackoverflow.com/questions/610336/retrieving-the-text-of-the-selected-option-in-select-element,Retrieving the text of the selected &lt;option&gt; in &lt;select&gt; element,,610344.0,,,,
