,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,protected_date,last_edit_date,closed_date,closed_reason,community_owned_date,locked_date
10,"['javascript', 'html', 'iframe', 'adjustment']","{'account_id': 19119, 'reputation': 15252, 'user_id': 44533, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/e9765eff0c80ac791015e37d17123a27?s=256&d=identicon&r=PG', 'display_name': 'StoneHeart', 'link': 'https://stackoverflow.com/users/44533/stoneheart'}",True,845701,819455.0,36,393,1666002277,1241428818,819416,CC BY-SA 4.0,https://stackoverflow.com/questions/819416/adjust-width-and-height-of-iframe-to-fit-with-content-in-it,Adjust width and height of iframe to fit with content in it,1439249036.0,1533119365.0,,,,
11,"['javascript', 'naming-conventions']","{'account_id': 23600, 'reputation': 35385, 'user_id': 59242, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/9bc62071957c23fa46dca30e6601b904?s=256&d=identicon&r=PG', 'display_name': 'peirix', 'link': 'https://stackoverflow.com/users/59242/peirix'}",True,173138,921162.0,6,260,1665607324,1243520883,921133,,https://stackoverflow.com/questions/921133/javascript-naming-conventions,JavaScript naming conventions,,1665605038.0,1344597232.0,not constructive,,
12,"['javascript', 'string']","{'user_type': 'does_not_exist', 'display_name': 'Akash'}",True,965083,881111.0,38,733,1665453787,1242710664,881085,CC BY-SA 3.0,https://stackoverflow.com/questions/881085/count-the-number-of-occurrences-of-a-character-in-a-string-in-javascript,Count the number of occurrences of a character in a string in Javascript,1564301110.0,1491724980.0,,,,
13,"['javascript', 'html', 'dom', 'dom-events', 'pageload']","{'account_id': 18060, 'reputation': 107489, 'user_id': 41021, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/1b91ea7970ba26630adec64ef683c474?s=256&d=identicon&r=PG', 'display_name': 'Robin Rodricks', 'link': 'https://stackoverflow.com/users/41021/robin-rodricks'}",True,2139179,807895.0,25,994,1664882645,1241109516,807878,CC BY-SA 4.0,https://stackoverflow.com/questions/807878/how-to-make-javascript-execute-after-page-load,How to make JavaScript execute after page load?,1545288544.0,1592419795.0,,,,
14,"['javascript', 'api', 'maps', 'openstreetmap']","{'account_id': 10448, 'reputation': 90366, 'user_id': 19746, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/l14hu.jpg?s=256&g=1', 'display_name': 'Piskvor left the building', 'link': 'https://stackoverflow.com/users/19746/piskvor-left-the-building'}",True,175642,925178.0,10,115,1664744796,1243589241,925164,CC BY-SA 2.5,https://stackoverflow.com/questions/925164/openstreetmap-embedding-map-in-webpage-like-google-maps,Openstreetmap: embedding map in webpage (like Google Maps),,1244020178.0,,,,
15,"['javascript', 'jquery', 'html', 'checkbox']","{'account_id': 38756, 'reputation': 58291, 'user_id': 111435, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/3d7de11fb1c0a98dc2aee865c558f7cc?s=256&d=identicon&r=PG', 'display_name': 'Prasad', 'link': 'https://stackoverflow.com/users/111435/prasad'}",True,4651026,903152.0,67,5082,1664621319,1243091799,901712,CC BY-SA 4.0,https://stackoverflow.com/questions/901712/how-do-i-check-whether-a-checkbox-is-checked-in-jquery,How do I check whether a checkbox is checked in jQuery?,1369154844.0,1613779413.0,,,1380469505.0,
16,"['javascript', 'diacritics']","{'account_id': 32335, 'reputation': 2346, 'user_id': 89604, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/ce3a40cb82a6b673f8d978c16ade692c?s=256&d=identicon&r=PG', 'display_name': 'Paul Grigoruta', 'link': 'https://stackoverflow.com/users/89604/paul-grigoruta'}",True,32598,863865.0,11,28,1664559614,1242312839,863800,CC BY-SA 3.0,https://stackoverflow.com/questions/863800/replacing-diacritics-in-javascript,Replacing diacritics in Javascript,,1504692127.0,,,,
17,"['javascript', 'integer', 'octal']","{'account_id': 1269, 'reputation': 31545, 'user_id': 1690, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/8d1b72efe7ffa105425d8c7325be747c?s=256&d=identicon&r=PG', 'display_name': 'Portman', 'link': 'https://stackoverflow.com/users/1690/portman'}",True,63422,850346.0,10,283,1664147225,1242080051,850341,CC BY-SA 3.0,https://stackoverflow.com/questions/850341/how-do-i-work-around-javascripts-parseint-octal-behavior,How do I work around JavaScript&#39;s parseInt octal behavior?,,1450254940.0,,,,
18,"['javascript', 'naming-conventions']","{'account_id': 16936, 'reputation': 25983, 'user_id': 37418, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/380f0a3e0c931920d833fd3a5d5f1a94?s=256&d=identicon&r=PG', 'display_name': 'Keith Donegan', 'link': 'https://stackoverflow.com/users/37418/keith-donegan'}",True,497583,846613.0,12,457,1663704452,1242010826,846585,CC BY-SA 4.0,https://stackoverflow.com/questions/846585/what-is-the-purpose-of-the-dollar-sign-in-javascript,What is the purpose of the dollar sign in JavaScript?,,1648521569.0,,,,
19,"['javascript', 'regex', 'html-select', 'postal-code']","{'account_id': 17105, 'reputation': 68004, 'user_id': 37947, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/6285ff8f79ce11a5c9161011137258bc?s=256&d=identicon&r=PG', 'display_name': 'DisgruntledGoat', 'link': 'https://stackoverflow.com/users/37947/disgruntledgoat'}",True,2000,865099.0,4,0,1663351079,1242326426,865009,CC BY-SA 4.0,https://stackoverflow.com/questions/865009/auto-selection-of-option-based-on-input-field-with-some-caveats,"Auto-selection of &lt;option&gt; based on input field, with some caveats",,1663351079.0,,,,
20,"['javascript', 'jquery', 'html', 'ajax']","{'account_id': 208947, 'reputation': 14430, 'user_id': 459737, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/f54eb629dbceeb1e7f9e0d354e59feaa?s=256&d=identicon&r=PG', 'display_name': 'ahmed', 'link': 'https://stackoverflow.com/users/459737/ahmed'}",True,111002,908935.0,8,28,1662748898,1243305238,908708,CC BY-SA 2.5,https://stackoverflow.com/questions/908708/how-to-pass-multiple-checkboxes-using-jquery-ajax-post,How to pass multiple checkboxes using jQuery ajax post,,,,,,
21,['javascript'],"{'account_id': 36240, 'reputation': 569, 'user_id': 103237, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/c8ad91803a5de139563f53a3e4a8ef61?s=256&d=identicon&r=PG', 'display_name': 'Server_Mule', 'link': 'https://stackoverflow.com/users/103237/server-mule'}",True,9001,851104.0,7,0,1662741305,1242101185,851089,CC BY-SA 2.5,https://stackoverflow.com/questions/851089/embed-html-tag-in-javascript,embed HTML tag in JavaScript,,,,,,
22,"['javascript', 'html', 'dom-events']","{'account_id': 11168, 'reputation': 37228, 'user_id': 21384, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/638e6a9e175da1803ec2c9e59ab6e5be?s=256&d=identicon&r=PG', 'display_name': 'Andrea Ambu', 'link': 'https://stackoverflow.com/users/21384/andrea-ambu'}",True,364,,2,2,1662477051,1243764345,931786,CC BY-SA 4.0,https://stackoverflow.com/questions/931786/short-cut-in-textarea,Short-cut in textarea,,1662477051.0,,,,
23,"['javascript', 'html', 'preload', 'yslow']","{'user_type': 'does_not_exist', 'display_name': 'MrDoAlot'}",True,6840,841030.0,2,5,1662411600,1241804910,841020,CC BY-SA 2.5,https://stackoverflow.com/questions/841020/how-to-preload-an-entire-web-page,How to preload an ENTIRE web page,,1241807647.0,,,,
24,['javascript'],"{'account_id': 5559, 'reputation': 527813, 'user_id': 9021, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/f092dfd45793e9483281d4205b674823?s=256&d=identicon&r=PG', 'display_name': 'nickf', 'link': 'https://stackoverflow.com/users/9021/nickf'}",True,91647,905345.0,12,85,1661893488,1243226091,905322,CC BY-SA 2.5,https://stackoverflow.com/questions/905322/how-do-you-stop-an-infinite-loop-in-javascript,How do you stop an infinite loop in Javascript?,,1245068728.0,,,,
25,"['javascript', 'jquery', 'string']","{'account_id': 27686, 'reputation': 3280, 'user_id': 73315, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/7c64ee94fc657c834422c8b6ce8d5e30?s=256&d=identicon&r=PG', 'display_name': 'alvatar', 'link': 'https://stackoverflow.com/users/73315/alvatar'}",True,7164,875200.0,3,8,1661730482,1242585550,875183,CC BY-SA 3.0,https://stackoverflow.com/questions/875183/how-can-i-measure-how-many-characters-will-fit-the-width-of-the-document,How can I measure how many characters will fit the width of the document?,,1322835474.0,,,,
26,"['javascript', 'html', 'dom-events']","{'account_id': 15332, 'reputation': 8576, 'user_id': 32262, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/f3faf527000f88433d113ddf03758972?s=256&d=identicon&r=PG', 'display_name': 'user32262', 'link': 'https://stackoverflow.com/users/32262/user32262'}",True,16802,903259.0,4,1,1661692040,1243142949,903150,CC BY-SA 4.0,https://stackoverflow.com/questions/903150/how-to-get-the-html-list-value-through-javascript,How to get the html List value through JavaScript?,,1661692040.0,,,,
27,"['javascript', 'json', 'firefox']","{'user_type': 'does_not_exist', 'display_name': 'Sam Dutton'}",True,8273,,2,17,1661518376,1242744515,883243,CC BY-SA 4.0,https://stackoverflow.com/questions/883243/does-json-parse-require-double-quoting,Does JSON.parse() require double quoting?,,1661518376.0,,,,
28,"['javascript', 'html', 'google-maps']","{'user_type': 'does_not_exist', 'display_name': 'happygilmore892'}",True,208711,,12,314,1661088261,1241665046,832692,CC BY-SA 3.0,https://stackoverflow.com/questions/832692/how-can-i-check-whether-google-maps-is-fully-loaded,How can I check whether Google Maps is fully loaded?,1413832220.0,1389379938.0,,,,
29,"['javascript', 'url', 'plugins', 'query-string']","{'account_id': 20706, 'reputation': 13525, 'user_id': 49742, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/174bi.png?s=256&g=1', 'display_name': 'Subliminal Hash', 'link': 'https://stackoverflow.com/users/49742/subliminal-hash'}",True,4878214,901144.0,73,2694,1660960065,1243066248,901115,CC BY-SA 3.0,https://stackoverflow.com/questions/901115/how-can-i-get-query-string-values-in-javascript,How can I get query string values in JavaScript?,1319383651.0,1428368108.0,,,1343334545.0,1406316939.0
30,"['javascript', 'dom-events']","{'account_id': 2411, 'reputation': 7317, 'user_id': 3351, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/227578f1a2c81a786bf94d13b9f0597a?s=256&d=identicon&r=PG', 'display_name': 'David', 'link': 'https://stackoverflow.com/users/3351/david'}",True,52428,880792.0,14,52,1660190060,1242697047,880608,CC BY-SA 4.0,https://stackoverflow.com/questions/880608/prevent-click-event-from-firing-when-dblclick-event-fires,Prevent click event from firing when dblclick event fires,,1566727413.0,,,,
31,"['javascript', 'html', 'regex']","{'account_id': 32417, 'reputation': 39324, 'user_id': 89989, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/8379dc25724c470e36b2f7f659b060ad?s=256&d=identicon&r=PG', 'display_name': 'Gordon Gustafson', 'link': 'https://stackoverflow.com/users/89989/gordon-gustafson'}",True,380354,874722.0,13,399,1659958625,1242570018,874709,CC BY-SA 3.0,https://stackoverflow.com/questions/874709/converting-user-input-string-to-regular-expression,Converting user input string to regular expression,1437042728.0,1437018268.0,,,,
32,"['javascript', 'html', 'cross-browser', 'standards']","{'account_id': 31250, 'reputation': 3839, 'user_id': 85695, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/176e6856fa70e7719e7c27235a0c9e28?s=256&d=identicon&r=PG', 'display_name': 'Stewart', 'link': 'https://stackoverflow.com/users/85695/stewart'}",True,211921,925387.0,15,236,1659688054,1243592691,925334,CC BY-SA 3.0,https://stackoverflow.com/questions/925334/how-is-the-default-submit-button-on-an-html-form-determined,How is the default submit button on an HTML form determined?,,1432202261.0,,,,
33,"['javascript', 'datetime']","{'account_id': 36460, 'reputation': 133004, 'user_id': 104015, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/946c085c383cc406907c2bbf809917c3?s=256&d=identicon&r=PG', 'display_name': 'omg', 'link': 'https://stackoverflow.com/users/104015/omg'}",True,80635,926422.0,11,48,1659615321,1243608105,926332,CC BY-SA 2.5,https://stackoverflow.com/questions/926332/how-to-get-formatted-date-time-like-2009-05-29-215557-using-javascript,how to get formatted date time like 2009-05-29 21:55:57 using javascript?,,,,,,
34,"['javascript', 'loops']","{'account_id': 15329, 'reputation': 21710, 'user_id': 32242, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/0c61ebe8b7bd57b3f789710d0c0863f6?s=256&d=identicon&r=PG', 'display_name': 'edt', 'link': 'https://stackoverflow.com/users/32242/edt'}",True,1967693,921808.0,28,1775,1659062470,1243527494,921789,CC BY-SA 4.0,https://stackoverflow.com/questions/921789/how-to-loop-through-a-plain-javascript-object-with-the-objects-as-members,How to loop through a plain JavaScript object with the objects as members,1450099508.0,1626694565.0,,,,
35,"['javascript', 'oop', 'inheritance', 'prototype-programming']","{'account_id': 29108, 'reputation': 135132, 'user_id': 78374, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/f13cb1b1bd8b16bf6dc6eda558e162a0?s=256&d=identicon&r=PG', 'display_name': 'Stefano Borini', 'link': 'https://stackoverflow.com/users/78374/stefano-borini'}",True,78902,816075.0,4,230,1658424144,1241314750,816071,CC BY-SA 4.0,https://stackoverflow.com/questions/816071/prototype-based-vs-class-based-inheritance,prototype based vs. class based inheritance,,1541162467.0,,,,
36,"['javascript', 'drop-down-menu', 'html-select']","{'account_id': 876289, 'reputation': 3, 'user_id': 108299, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/99644a10749621520ef76f3240099202?s=256&d=identicon&r=PG', 'display_name': 'arcadian', 'link': 'https://stackoverflow.com/users/108299/arcadian'}",True,1015,873803.0,2,0,1658062695,1242526354,873752,CC BY-SA 4.0,https://stackoverflow.com/questions/873752/javascript-option-select-problem,javascript option select problem,,1658062695.0,,,,
37,"['javascript', 'controls', 'dhtml', 'no-framework']","{'user_type': 'does_not_exist', 'display_name': 'Hank892'}",True,19238,,3,8,1658044679,1242650409,877530,,https://stackoverflow.com/questions/877530/range-slider-dual-slider-exist-without-using-a-framework,Range slider / dual slider exist without using a framework,,1658044679.0,1349370531.0,not constructive,,
38,"['javascript', 'html', 'dom', 'dom-events']","{'account_id': 21491, 'reputation': 32511, 'user_id': 52256, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/a65e01a757d285d68888a3388d44c33c?s=256&d=identicon&r=PG', 'display_name': 'T.T.T.', 'link': 'https://stackoverflow.com/users/52256/t-t-t'}",True,140,918690.0,3,0,1657987579,1243471530,918675,CC BY-SA 4.0,https://stackoverflow.com/questions/918675/how-do-i-change-the-name-of-multiple-selected-html-values,How do I change the name of multiple selected html values?,,1657987579.0,,,,
39,['javascript'],"{'account_id': 5869, 'reputation': 2759, 'user_id': 9645, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/5eed4a02034043b61b14251ad5552eb3?s=256&d=identicon&r=PG', 'display_name': 'Matteo Caprari', 'link': 'https://stackoverflow.com/users/9645/matteo-caprari'}",True,3672,,4,7,1657581300,1242648098,877379,CC BY-SA 4.0,https://stackoverflow.com/questions/877379/in-javascript-how-can-i-detect-if-a-browser-will-display-or-download-a-pdf,in javascript how can I detect if a browser will display or download a pdf?,,1657581300.0,,,,
40,"['javascript', 'selection-object']","{'account_id': 2411, 'reputation': 7317, 'user_id': 3351, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/227578f1a2c81a786bf94d13b9f0597a?s=256&d=identicon&r=PG', 'display_name': 'David', 'link': 'https://stackoverflow.com/users/3351/david'}",True,167598,880518.0,14,352,1657528400,1242694552,880512,CC BY-SA 2.5,https://stackoverflow.com/questions/880512/prevent-text-selection-after-double-click,Prevent text selection after double click,,,,,,
41,"['javascript', 'keyboard-shortcuts']","{'user_type': 'does_not_exist', 'display_name': 'asdfasdfasdf'}",True,2177,,3,1,1657526716,1243110032,902407,CC BY-SA 3.0,https://stackoverflow.com/questions/902407/how-to-hijack-key-combos-in-javascript,How to hijack key combos in javascript?,,1315655399.0,,,,
42,"['javascript', 'css', 'minify']","{'account_id': 34671, 'reputation': 7762, 'user_id': 98044, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://i.stack.imgur.com/Vhtpt.jpg?s=256&g=1', 'display_name': 'Vini', 'link': 'https://stackoverflow.com/users/98044/vini'}",True,29203,841272.0,6,22,1657241722,1241808459,841253,,https://stackoverflow.com/questions/841253/minify-jquery-based-js-files,Minify jQuery based js files,,1338421256.0,1657256585.0,Not suitable for this site,,
43,"['javascript', 'html', 'document', 'tostring']","{'account_id': 18060, 'reputation': 107489, 'user_id': 41021, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/1b91ea7970ba26630adec64ef683c474?s=256&d=identicon&r=PG', 'display_name': 'Robin Rodricks', 'link': 'https://stackoverflow.com/users/41021/robin-rodricks'}",True,448649,817230.0,16,300,1657201539,1241361245,817218,CC BY-SA 3.0,https://stackoverflow.com/questions/817218/how-to-get-the-entire-document-html-as-a-string,How to get the entire document HTML as a string?,,1447692084.0,,,,
44,"['javascript', 'jquery', 'url', 'redirect']","{'account_id': 31365, 'reputation': 2055, 'user_id': 86053, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/45eccad345bad612013bf555baad7948?s=256&d=identicon&r=PG', 'display_name': 'gacon', 'link': 'https://stackoverflow.com/users/86053/gacon'}",True,574114,,8,136,1656064948,1242023496,846954,CC BY-SA 4.0,https://stackoverflow.com/questions/846954/change-url-and-redirect-using-jquery,Change URL and redirect using jQuery,1566478593.0,1555248389.0,,,,
45,"['javascript', 'submit']","{'account_id': 36460, 'reputation': 133004, 'user_id': 104015, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/946c085c383cc406907c2bbf809917c3?s=256&d=identicon&r=PG', 'display_name': 'omg', 'link': 'https://stackoverflow.com/users/104015/omg'}",True,156646,,25,113,1655750902,1243613325,926816,CC BY-SA 3.0,https://stackoverflow.com/questions/926816/how-to-prevent-form-from-submitting-multiple-times-from-client-side,How to prevent form from submitting multiple times from client side?,,1407330975.0,,,,
46,"['javascript', 'function', 'parameters', 'arguments', 'default-parameters']","{'account_id': 1107, 'reputation': 47465, 'user_id': 1470, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/bf8f45e0eeb60d023dfb474ea6e7eb44?s=256&d=identicon&r=PG', 'display_name': 'Tilendor', 'link': 'https://stackoverflow.com/users/1470/tilendor'}",True,1414787,894877.0,29,2601,1655498119,1242936437,894860,CC BY-SA 4.0,https://stackoverflow.com/questions/894860/set-a-default-parameter-value-for-a-javascript-function,Set a default parameter value for a JavaScript function,1444036700.0,1593527447.0,,,,
47,"['javascript', 'arrays', 'declaration']","{'account_id': 10610, 'reputation': 64602, 'user_id': 20126, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/22fc146c1512cdb4d381222dcbc8b9f8?s=256&d=identicon&r=PG', 'display_name': 'Amr Elgarhy', 'link': 'https://stackoverflow.com/users/20126/amr-elgarhy'}",True,923224,931875.0,19,945,1654142925,1243769012,931872,CC BY-SA 3.0,https://stackoverflow.com/questions/931872/what-s-the-difference-between-array-and-while-declaring-a-javascript-ar,What’s the difference between &quot;Array()&quot; and &quot;[]&quot; while declaring a JavaScript array?,1505834881.0,1451036911.0,,,,
48,"['javascript', 'dom', 'siblings']","{'account_id': 64784, 'reputation': 14413, 'user_id': 191083, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/5ceeaac29b2dc13ab6cfc916e8a279b7?s=256&d=identicon&r=PG', 'display_name': 'codingbear', 'link': 'https://stackoverflow.com/users/191083/codingbear'}",True,209335,842346.0,15,137,1653545761,1241827742,842336,CC BY-SA 4.0,https://stackoverflow.com/questions/842336/is-there-a-way-to-select-sibling-nodes,Is there a way to select sibling nodes?,1535556370.0,1595071524.0,,,,
49,"['javascript', 'html', 'url', 'url-rewriting', 'friendly-url']","{'account_id': 18060, 'reputation': 107489, 'user_id': 41021, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/1b91ea7970ba26630adec64ef683c474?s=256&d=identicon&r=PG', 'display_name': 'Robin Rodricks', 'link': 'https://stackoverflow.com/users/41021/robin-rodricks'}",True,1885415,3354511.0,20,2885,1652222923,1241520845,824349,CC BY-SA 4.0,https://stackoverflow.com/questions/824349/how-do-i-modify-the-url-without-reloading-the-page,How do I modify the URL without reloading the page?,1394654677.0,1651263408.0,,,,
50,"['javascript', 'html', 'textarea', 'line-breaks']","{'account_id': 36919, 'reputation': 2595, 'user_id': 105419, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/f57f23546f086f0dc86a87fe91b5c468?s=256&d=identicon&r=PG', 'display_name': 'djairo', 'link': 'https://stackoverflow.com/users/105419/djairo'}",True,365562,863806.0,9,173,1652058538,1242312722,863779,CC BY-SA 4.0,https://stackoverflow.com/questions/863779/how-to-add-line-breaks-to-an-html-textarea,How to add line breaks to an HTML textarea,1304948946.0,1652057872.0,,,,
