,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,protected_date
10,"['javascript', 'html', 'dom']","{'account_id': 20917227, 'reputation': 1570, 'user_id': 15366635, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/vgIya.png?s=256&g=1', 'display_name': 'I_love_vegetables', 'link': 'https://stackoverflow.com/users/15366635/i-love-vegetables'}",True,96,1,5,1668758173,1620038619,67367591,CC BY-SA 4.0,https://stackoverflow.com/questions/67367591/addeventlistener-doesnt-work-with-default-paramaters,addEventListener doesn&#39;t work with default paramaters,1668758173.0,67367673.0,,,
11,"['javascript', 'vue.js', 'vuetify.js', 'vuejs3', 'vuetifyjs3']","{'account_id': 11133636, 'reputation': 74690, 'user_id': 8172857, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ILkHM.png?s=256&g=1', 'display_name': 'Boussadjra Brahim', 'link': 'https://stackoverflow.com/users/8172857/boussadjra-brahim'}",True,8229,1,1,1668754048,1619880200,67347456,CC BY-SA 4.0,https://stackoverflow.com/questions/67347456/how-to-install-and-get-started-with-vuetify-and-vue-js-3,How to install and get started with Vuetify and Vue.js 3,1635757460.0,67347457.0,,,
12,"['javascript', 'node.js', 'express']","{'account_id': 14437551, 'reputation': 1986, 'user_id': 10429169, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Ns7vV.png?s=256&g=1', 'display_name': 'VersifiXion', 'link': 'https://stackoverflow.com/users/10429169/versifixion'}",False,18,0,1,1668729167,1620146804,67388845,CC BY-SA 4.0,https://stackoverflow.com/questions/67388845/matchesid-is-not-a-function,matchesId is not a function,1668729167.0,,,,
13,"['javascript', 'node.js', 'loops', 'nestjs']","{'account_id': 15070370, 'reputation': 199, 'user_id': 10876098, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/q2W2v.jpg?s=256&g=1', 'display_name': 'farzanmanafi', 'link': 'https://stackoverflow.com/users/10876098/farzanmanafi'}",True,2412,4,3,1668718793,1621958054,67691514,CC BY-SA 4.0,https://stackoverflow.com/questions/67691514/using-async-await-with-a-for-in-loop,Using async/await with a for in loop,,67691602.0,,,
14,"['javascript', 'flutter', 'dart', 'flutter-web']","{'account_id': 10639219, 'reputation': 5, 'user_id': 7834910, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-M1Jqt5-6idE/AAAAAAAAAAI/AAAAAAAAGSA/qa7MvIhfAf8/photo.jpg?sz=256', 'display_name': 'samuelbeep', 'link': 'https://stackoverflow.com/users/7834910/samuelbeep'}",True,2940,2,0,1668697915,1620580181,67460423,CC BY-SA 4.0,https://stackoverflow.com/questions/67460423/redirect-only-on-flutter-web,Redirect only on Flutter Web,,67463670.0,,,
15,"['javascript', 'react-native', 'react-i18next']","{'account_id': 21781769, 'reputation': 51, 'user_id': 16083377, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxJf6_i0_sgYYkmAKE-5eV3ibjz_m1h4mQPG-s3=k-s256', 'display_name': 'Vishal', 'link': 'https://stackoverflow.com/users/16083377/vishal'}",False,7574,2,3,1668690000,1622449642,67770286,CC BY-SA 4.0,https://stackoverflow.com/questions/67770286/how-to-get-current-locale-with-i18next-react-i18next,How to get current locale with i18next / react-i18next?,1622453500.0,,,,
16,"['javascript', '.net', 'global-payments-api']","{'account_id': 18146375, 'reputation': 1, 'user_id': 13199662, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gg5XH-DLIa6JYXjM9XNHVZqNTKg3LYKs_a9-_uO=k-s256', 'display_name': 'Adam Hutchinson', 'link': 'https://stackoverflow.com/users/13199662/adam-hutchinson'}",False,309,2,0,1668615180,1621861836,67672643,CC BY-SA 4.0,https://stackoverflow.com/questions/67672643/challenge-flow-3d-secure-2-net-sdk,Challenge Flow 3d Secure 2 .NET SDK,,,,,
17,"['javascript', 'python', 'fastapi']","{'account_id': 21549621, 'reputation': 61, 'user_id': 15885956, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/985dd9949fd98dab4b86cd3cad8fe994?s=256&d=identicon&r=PG&f=1', 'display_name': 'WhyIsThatHappening', 'link': 'https://stackoverflow.com/users/15885956/whyisthathappening'}",True,6565,2,1,1668571860,1620644903,67469367,CC BY-SA 4.0,https://stackoverflow.com/questions/67469367/fastapi-422-unprocessable-entity-on-authentication-how-to-fix,"FastApi 422 Unprocessable Entity, on authentication, how to fix?",1620645931.0,67470102.0,,,
18,"['javascript', 'json', 'angular', 'angular-material', 'tree']","{'account_id': 14123694, 'reputation': 3, 'user_id': 10203602, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2101c9f86473d40545b5fb8fa03085a8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Natasa Marinkovic', 'link': 'https://stackoverflow.com/users/10203602/natasa-marinkovic'}",True,1176,2,0,1668520097,1622203690,67738546,CC BY-SA 4.0,https://stackoverflow.com/questions/67738546/convert-array-to-nested-json-object-angular-material-tree,Convert array to nested JSON object - Angular Material tree,1622215418.0,67739554.0,,,
19,"['javascript', 'reactjs', 'browser', 'local-storage', 'token']","{'account_id': 14593539, 'reputation': 127, 'user_id': 10539973, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/61565f48f41d43167b21a43610a22533?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bucky', 'link': 'https://stackoverflow.com/users/10539973/bucky'}",False,2492,2,1,1668518916,1622324414,67755922,CC BY-SA 4.0,https://stackoverflow.com/questions/67755922/how-to-forcefully-logout-or-delete-token-from-localstorage-after-a-refresh-in-re,How to forcefully logout or delete token from localstorage after a refresh in react app?,1668518916.0,,,,
20,"['javascript', 'flutter', 'dart']","{'account_id': 12826074, 'reputation': 3, 'user_id': 9279057, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d219cc1fe51232a51cf686f0e154d2ba?s=256&d=identicon&r=PG&f=1', 'display_name': 'digitala', 'link': 'https://stackoverflow.com/users/9279057/digitala'}",False,235,1,0,1668418142,1622359350,67758752,CC BY-SA 4.0,https://stackoverflow.com/questions/67758752/exiting-full-screen-flutter-web,exiting full screen flutter web,,,,,
21,"['javascript', 'reactjs', 'react-native', 'textinput']","{'account_id': 21712161, 'reputation': 351, 'user_id': 16023652, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzRAMT82D43-znOU1LLmbhN9b_oPGsMAoI54ZYd=k-s256', 'display_name': 'Ashish Verma', 'link': 'https://stackoverflow.com/users/16023652/ashish-verma'}",True,12777,6,35,1668416507,1621925985,67683149,CC BY-SA 4.0,https://stackoverflow.com/questions/67683149/react-native-build-error-attempt-to-invoke-virtual-methodboolean-com-facebook,React native build error: Attempt to invoke virtual method&#39;boolean com.facebook.react.uimanager.FabricViewStateManager.hasStateWrappper(),1630336746.0,,,,
22,"['javascript', 'json']","{'account_id': 21750830, 'reputation': 49, 'user_id': 16056849, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/479029e113ff51c327342d5b74bd0277?s=256&d=identicon&r=PG&f=1', 'display_name': 'Samuel', 'link': 'https://stackoverflow.com/users/16056849/samuel'}",True,736,3,0,1668345037,1622187510,67734739,CC BY-SA 4.0,https://stackoverflow.com/questions/67734739/import-a-local-json-using-javascript,Import a local JSON using JavaScript,1622187608.0,67734788.0,,,
23,"['javascript', 'python', 'flask', 'pycharm']","{'account_id': 14311695, 'reputation': 540, 'user_id': 10337789, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-QT110ytXo9Q/AAAAAAAAAAI/AAAAAAAAAAA/APUIFaNJIZI_t0bnH5mpDqgCjRW21yqcCg/mo/photo.jpg?sz=256', 'display_name': 'Владимир Кузовкин', 'link': 'https://stackoverflow.com/users/10337789/%d0%92%d0%bb%d0%b0%d0%b4%d0%b8%d0%bc%d0%b8%d1%80-%d0%9a%d1%83%d0%b7%d0%be%d0%b2%d0%ba%d0%b8%d0%bd'}",False,524,2,1,1668329945,1622309215,67754106,CC BY-SA 4.0,https://stackoverflow.com/questions/67754106/console-log-in-flask-with-javasript,console.log in flask with javasript,,,,,
24,['javascript'],"{'account_id': 21112059, 'reputation': 349, 'user_id': 15519806, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/50434dff87849ea08c1b02c69585de70?s=256&d=identicon&r=PG&f=1', 'display_name': 'nathan', 'link': 'https://stackoverflow.com/users/15519806/nathan'}",True,540,2,-4,1668316401,1622143349,67728669,CC BY-SA 4.0,https://stackoverflow.com/questions/67728669/javascript-given-string-of-number-dup-pop,"javascript given string of number, DUP, POP, +, -",1622144273.0,67729040.0,,,
25,"['javascript', 'vue.js', 'vuejs3', 'vue-composition-api', 'vue-script-setup']","{'account_id': 10709092, 'reputation': 6921, 'user_id': 7881859, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/6c5VB.jpg?s=256&g=1', 'display_name': 'Wenfang Du', 'link': 'https://stackoverflow.com/users/7881859/wenfang-du'}",True,4804,4,18,1668282168,1620463162,67445608,CC BY-SA 4.0,https://stackoverflow.com/questions/67445608/how-to-define-name-and-inheritattrs-in-script-setup,How to define `name` and `inheritAttrs` in `&lt;script setup&gt;`?,1628565888.0,68689819.0,,,
26,"['javascript', 'node.js', 'puppeteer']","{'account_id': 19946334, 'reputation': 53, 'user_id': 14616907, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjgWvwYzZvQCrWTI1UNBw6N7VaAevoPkQC9kGzhiA=k-s256', 'display_name': 'addy', 'link': 'https://stackoverflow.com/users/14616907/addy'}",True,2932,2,2,1668214974,1620888914,67515088,CC BY-SA 4.0,https://stackoverflow.com/questions/67515088/scraping-google-search-result-links-with-puppeteer,Scraping Google search result links with Puppeteer,1665865324.0,,,,
27,"['javascript', 'html', 'web']","{'account_id': 20195300, 'reputation': 11, 'user_id': 14812390, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-NYoGTu3yKro/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnjIri5gtb5iv4W6XHwkawzqydTuw/s96-c/photo.jpg?sz=256', 'display_name': 'Saksham Chaturvedi', 'link': 'https://stackoverflow.com/users/14812390/saksham-chaturvedi'}",True,452,2,0,1668190898,1621781765,67661109,CC BY-SA 4.0,https://stackoverflow.com/questions/67661109/audio-tag-in-html-showing-disabled,Audio tag in html showing disabled,1621841879.0,,,,
28,"['javascript', 'html', 'angular', 'select', 'ionic4']","{'account_id': 6452456, 'reputation': 7496, 'user_id': 5218360, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/rFIHY.jpg?s=256&g=1', 'display_name': 'Mohan Gopi', 'link': 'https://stackoverflow.com/users/5218360/mohan-gopi'}",True,808,2,0,1668187799,1620124498,67383107,CC BY-SA 4.0,https://stackoverflow.com/questions/67383107/select-all-the-text-on-tap-of-the-ion-input,Select all the text on tap of the ion-input,,,,,
29,"['javascript', 'c#', 'blazor', 'blazor-webassembly']","{'account_id': 2331965, 'reputation': 1954, 'user_id': 2045161, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/ypRRj.jpg?s=256&g=1', 'display_name': 'Andres Talavera', 'link': 'https://stackoverflow.com/users/2045161/andres-talavera'}",True,3595,2,1,1668169055,1620238481,67406662,CC BY-SA 4.0,https://stackoverflow.com/questions/67406662/call-javascript-function-from-external-library-with-blazor,Call JavaScript function (from external library) with Blazor,1620725985.0,,,,
30,"['javascript', 'node.js', 'prisma']","{'account_id': 7194455, 'reputation': 1495, 'user_id': 5493715, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/qLCQP.jpg?s=256&g=1', 'display_name': 'zero', 'link': 'https://stackoverflow.com/users/5493715/zero'}",True,6545,3,0,1668156602,1620265062,67410788,CC BY-SA 4.0,https://stackoverflow.com/questions/67410788/invalid-prisma-user-findunique-invocation,Invalid prisma.user.findUnique() invocation,,,,,
31,"['javascript', 'html', 'media-player', 'video-player', 'shaka']","{'account_id': 214776, 'reputation': 6633, 'user_id': 468952, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://i.stack.imgur.com/8WOrx.jpg?s=256&g=1', 'display_name': 'Raghu Mudem', 'link': 'https://stackoverflow.com/users/468952/raghu-mudem'}",False,477,2,1,1668153465,1620573419,67459300,CC BY-SA 4.0,https://stackoverflow.com/questions/67459300/shaka-player-never-triggers-error-listener,shaka player never triggers &#39;error&#39; listener,1620594846.0,,,,
32,"['javascript', 'blockchain', 'web3js', 'erc20']","{'account_id': 21071624, 'reputation': 3, 'user_id': 15487778, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-xyqx57Cam5k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmm3HK-vmwHRiatE6MJm8ZM9KEdiw/s96-c/photo.jpg?sz=256', 'display_name': 'Dave Raa', 'link': 'https://stackoverflow.com/users/15487778/dave-raa'}",False,528,0,0,1668111802,1620891614,67515575,CC BY-SA 4.0,https://stackoverflow.com/questions/67515575/cant-retrieve-wallets-transactions-using-web3js,Can&#39;t Retrieve Wallets transactions using web3js,1668111802.0,,,,
33,"['javascript', 'testing', 'npm']","{'account_id': 10783313, 'reputation': 1390, 'user_id': 7933157, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/fX7bb.jpg?s=256&g=1', 'display_name': 'Sam Sverko', 'link': 'https://stackoverflow.com/users/7933157/sam-sverko'}",True,55,1,0,1668106781,1621957112,67691254,CC BY-SA 4.0,https://stackoverflow.com/questions/67691254/why-is-the-test-runner-missing-the-plugin,Why is the test runner missing the plugin?,1668106781.0,67691540.0,,,
34,"['javascript', 'arrays', 'sorting', 'utf-8']","{'account_id': 2171136, 'reputation': 4226, 'user_id': 1923095, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://i.stack.imgur.com/nPVGT.jpg?s=256&g=1', 'display_name': 'Zamicol', 'link': 'https://stackoverflow.com/users/1923095/zamicol'}",True,357,1,1,1668047633,1620421421,67441649,CC BY-SA 4.0,https://stackoverflow.com/questions/67441649/how-to-sort-an-array-by-utf-8-in-browser-javascript,How to sort an array by UTF-8 in browser Javascript?,1668047633.0,,,,
35,"['javascript', 'node.js', 'amazon-ec2', 'puppeteer']","{'account_id': 6988552, 'reputation': 2129, 'user_id': 5358599, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/BMHfS.jpg?s=256&g=1', 'display_name': 'ImFarhad', 'link': 'https://stackoverflow.com/users/5358599/imfarhad'}",True,22067,1,18,1668007774,1620240370,67407104,CC BY-SA 4.0,https://stackoverflow.com/questions/67407104/error-while-loading-shared-libraries-libgbm-so-1-cannot-open-shared-object-fil,error while loading shared libraries: libgbm.so.1: cannot open shared object file: Puppeteer in Nodejs on AWS EC2 instance,1668007774.0,,,,
36,"['javascript', 'numbers', 'return']","{'account_id': 21733491, 'reputation': 1, 'user_id': 16041835, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10215586965387512/picture?type=large', 'display_name': 'Jeremiah Saunders', 'link': 'https://stackoverflow.com/users/16041835/jeremiah-saunders'}",True,883,4,0,1668005548,1622061834,67712468,CC BY-SA 4.0,https://stackoverflow.com/questions/67712468/returning-the-first-two-odd-numbers-in-an-array,Returning the first two odd numbers in an array,1622104637.0,,,,
37,"['javascript', 'html', 'jquery', 'css']","{'account_id': 21466208, 'reputation': 1, 'user_id': 15816097, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9c9a69591e45eb67820769edaf561996?s=256&d=identicon&r=PG&f=1', 'display_name': 'Arnas Vingilis', 'link': 'https://stackoverflow.com/users/15816097/arnas-vingilis'}",True,70,2,-1,1667996217,1620327810,67424458,CC BY-SA 4.0,https://stackoverflow.com/questions/67424458/jquery-on-off-function-with-one-button-not-working,jQuery on/off function with one button not working?,1667995586.0,,,,
38,['javascript'],"{'account_id': 20967834, 'reputation': 41, 'user_id': 15405633, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-EVQeo9lhphU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclHpWLEnpedbuNqx8bide03VIR5KQ/s96-c/photo.jpg?sz=256', 'display_name': 'mohsen mehri', 'link': 'https://stackoverflow.com/users/15405633/mohsen-mehri'}",True,946,4,1,1667990701,1620043419,67368589,CC BY-SA 4.0,https://stackoverflow.com/questions/67368589/how-to-set-onclick-for-element-when-created-with-javascript,How to set onclick for element when created with javascript,1621680471.0,,,,
39,"['javascript', 'html', 'jquery', 'css']","{'account_id': 21459149, 'reputation': 19, 'user_id': 15810254, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b32389465ebf750c0f1534460f85d9ba?s=256&d=identicon&r=PG&f=1', 'display_name': 'RJ_OOOMS', 'link': 'https://stackoverflow.com/users/15810254/rj-oooms'}",True,75,2,2,1667990559,1619965709,67357496,CC BY-SA 4.0,https://stackoverflow.com/questions/67357496/jquery-collision-draggable-and-target-collision-event,Jquery collision: draggable and target collision event,1620057290.0,,,,
40,"['javascript', 'ethereum', 'solidity', 'web3js', 'ethers.js']","{'account_id': 21274665, 'reputation': 29, 'user_id': 15653680, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-vnkBagd4SiM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnpp6FysSlmnPhsx1GW4H6aV8CBpg/s96-c/photo.jpg?sz=256', 'display_name': 'Rafael', 'link': 'https://stackoverflow.com/users/15653680/rafael'}",False,3780,2,2,1667939619,1621020297,67539940,CC BY-SA 4.0,https://stackoverflow.com/questions/67539940/im-getting-a-gas-limit-error-when-calling-ethers-web3js-on-a-view-read-only-bl,I&#39;m getting a gas limit error when calling ethers web3js on a view/ read-only blockchain function,1667939619.0,,,,
41,"['javascript', 'json', 'web3js']","{'account_id': 153435, 'reputation': 65451, 'user_id': 368691, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/74a5bd659b3a8af09a336a932eebe3b1?s=256&d=identicon&r=PG', 'display_name': 'Gajus', 'link': 'https://stackoverflow.com/users/368691/gajus'}",True,346,1,1,1667939603,1620967821,67529199,CC BY-SA 4.0,https://stackoverflow.com/questions/67529199/how-to-inspect-web3-application-traffic,How to inspect web3 application traffic?,1667939603.0,,,,
42,"['javascript', 'cryptography', 'ethereum', 'bcrypt', 'web3js']","{'account_id': 8306696, 'reputation': 597, 'user_id': 6243427, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/3683025641c93b3c1e755834d673f472?s=256&d=identicon&r=PG&f=1', 'display_name': 'Adam', 'link': 'https://stackoverflow.com/users/6243427/adam'}",False,89,0,1,1667939392,1622011117,67699741,CC BY-SA 4.0,https://stackoverflow.com/questions/67699741/web3-signature-twice-as-long,Web3 Signature Twice as Long,1667939392.0,,,,
43,"['javascript', 'html', 'e-commerce', 'product']","{'account_id': 21046957, 'reputation': 13, 'user_id': 15468094, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gj6kURrPewbR9BdCY1Yo9H7FZnSuRRUrnoIYc6RdA=k-s256', 'display_name': 'j kh', 'link': 'https://stackoverflow.com/users/15468094/j-kh'}",False,87,2,0,1667916373,1621367286,67593061,CC BY-SA 4.0,https://stackoverflow.com/questions/67593061/replace-main-image-when-a-thumbnail-image-is-hover-for-all-products-in-one-page,replace main image when a thumbnail image is hover for all products in one page,1667916373.0,,,,
44,"['javascript', 'angular']","{'account_id': 17137634, 'reputation': 11, 'user_id': 12402312, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6df3cf4a045a4cf10e56d8f84d6e565b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Prasanth', 'link': 'https://stackoverflow.com/users/12402312/prasanth'}",False,189,2,0,1667818393,1620812585,67501108,CC BY-SA 4.0,https://stackoverflow.com/questions/67501108/error-cant-resolve-all-parameters-for-inmemorystoragestrategy,Error: Can&#39;t resolve all parameters for InMemoryStorageStrategy: (?),,,,,
45,"['javascript', 'java', 'spring', 'spring-boot', 'websocket']","{'account_id': 15298713, 'reputation': 194, 'user_id': 11037922, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/43BW3.jpg?s=256&g=1', 'display_name': 'Greta', 'link': 'https://stackoverflow.com/users/11037922/greta'}",False,262,1,1,1667732093,1620314748,67421263,CC BY-SA 4.0,https://stackoverflow.com/questions/67421263/can%c2%b4t-establish-connection-to-websocket-whoops-lost-connection-to-http-local,Can&#180;t establish connection to websocket &quot;Whoops! Lost connection to http://localhost:8080&quot;,,,,,
46,"['javascript', 'vue.js', 'frontend', 'progress-bar']","{'account_id': 19590203, 'reputation': 4049, 'user_id': 14337399, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6f262a09289e686e4045594edaeef8ef?s=256&d=identicon&r=PG&f=1', 'display_name': 'Juliette', 'link': 'https://stackoverflow.com/users/14337399/juliette'}",True,214,1,1,1667673084,1622084590,67715101,CC BY-SA 4.0,https://stackoverflow.com/questions/67715101/updating-existing-text-for-progressbar-js-circle,updating existing text for ProgressBar.js circle,1622127965.0,67720968.0,,,
47,"['javascript', 'ethereum', 'solidity', 'web3js']","{'account_id': 17409702, 'reputation': 61, 'user_id': 12617101, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c5e8e9d37d75e9103ae40225b617669b?s=256&d=identicon&r=PG&f=1', 'display_name': 'buckage', 'link': 'https://stackoverflow.com/users/12617101/buckage'}",True,491,2,2,1667658560,1622048326,67709521,CC BY-SA 4.0,https://stackoverflow.com/questions/67709521/how-can-i-define-my-solidity-contract-as-a-javascript-object,How can I define my Solidity contract as a javascript object?,1667658560.0,67710701.0,,,
