,tags,owner,is_answered,view_count,protected_date,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,closed_date,last_edit_date,closed_reason,accepted_answer_id,community_owned_date,migrated_from,locked_date
11,"['javascript', 'html', 'web', 'printing']","{'account_id': 49136, 'reputation': 4967, 'user_id': 146197, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/a2f8f7002738274d502c7643e19c8494?s=256&d=identicon&r=PG', 'display_name': 'M. A. Kishawy', 'link': 'https://stackoverflow.com/users/146197/m-a-kishawy'}",True,39204,,4,13,1666793586,1262673383,2004555,CC BY-SA 3.0,https://stackoverflow.com/questions/2004555/how-can-i-make-javascript-make-produce-new-page,How can I make JavaScript make (produce) new page?,,1489066391.0,,2004661.0,,,
12,"['javascript', 'html', 'hyperlink']","{'account_id': 50060, 'reputation': 40887, 'user_id': 149206, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/iA04d.jpg?s=256&g=1', 'display_name': 'Naveed', 'link': 'https://stackoverflow.com/users/149206/naveed'}",True,1377640,1370274093.0,19,561,1666271753,1263619559,2076299,CC BY-SA 4.0,https://stackoverflow.com/questions/2076299/how-to-close-current-tab-in-a-browser-window,How to close current tab in a browser window?,,1531989567.0,,2076307.0,,,
13,"['javascript', 'reload', 'page-refresh', 'window.location']","{'account_id': 73942, 'reputation': 37268, 'user_id': 212700, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/e68880b4427edb8594f73f1c2b0c64cf?s=256&d=identicon&r=PG', 'display_name': 'leepowers', 'link': 'https://stackoverflow.com/users/212700/leepowers'}",True,227721,,8,245,1665958540,1263964578,2099201,CC BY-SA 3.0,https://stackoverflow.com/questions/2099201/javascript-hard-refresh-of-current-page,JavaScript hard refresh of current page,,1510172783.0,,2099205.0,,,
14,"['javascript', 'jquery', 'attributes', 'parsing']","{'account_id': 61370, 'reputation': 2367, 'user_id': 182941, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/Yxnxc.jpg?s=256&g=1', 'display_name': 'k0ni', 'link': 'https://stackoverflow.com/users/182941/k0ni'}",True,323787,,19,188,1665772773,1263297948,2048720,CC BY-SA 3.0,https://stackoverflow.com/questions/2048720/get-all-attributes-from-a-html-element-with-javascript-jquery,Get all Attributes from a HTML element with Javascript/jQuery,,1495541402.0,,,,,
15,"['javascript', 'jquery']","{'account_id': 82776, 'reputation': 26022, 'user_id': 232495, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/7bf0f3df45463a6f9c4fb951018f5a58?s=256&d=identicon&r=PG', 'display_name': 'Brian', 'link': 'https://stackoverflow.com/users/232495/brian'}",True,206215,,6,244,1665053871,1263085345,2035645,CC BY-SA 2.5,https://stackoverflow.com/questions/2035645/when-is-javascript-synchronous,When is JavaScript synchronous?,,,,2035662.0,,,
16,"['javascript', 'java', 'jquery', 'pdf']","{'account_id': 61754, 'reputation': 3504, 'user_id': 183871, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/6b07941c7fd68ffed9ab38e3519ba9d9?s=256&d=identicon&r=PG', 'display_name': 'Nayn', 'link': 'https://stackoverflow.com/users/183871/nayn'}",True,382462,,18,114,1665023087,1262612539,1999607,CC BY-SA 4.0,https://stackoverflow.com/questions/1999607/download-and-open-pdf-file-using-ajax,Download and open PDF file using Ajax,,1535030816.0,,1999621.0,,,
17,"['javascript', 'iframe', 'cross-domain', 'single-sign-on']","{'account_id': 23171, 'reputation': 14113, 'user_id': 57847, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/f2c9624bde8ce8209edc8736d8e24cde?s=256&d=identicon&r=PG', 'display_name': 'Priyank', 'link': 'https://stackoverflow.com/users/57847/priyank'}",False,11071,,3,4,1664813346,1263929113,2096387,CC BY-SA 4.0,https://stackoverflow.com/questions/2096387/cross-domain-with-an-iframe-pointing-to-sso-server,"Cross domain with an Iframe, pointing to SSO server",,1578932594.0,,,,,
18,"['javascript', 'jquery', 'jquery-plugins', 'timer']","{'account_id': 75531, 'reputation': 38386, 'user_id': 216605, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/be4356b5e2e258404a42b1e2a12843ab?s=256&d=identicon&r=PG', 'display_name': 'ensnare', 'link': 'https://stackoverflow.com/users/216605/ensnare'}",True,691809,1509080686.0,7,618,1664598980,1264923095,2170923,,https://stackoverflow.com/questions/2170923/whats-the-easiest-way-to-call-a-function-every-5-seconds-in-jquery,What&#39;s the easiest way to call a function every 5 seconds in jQuery?,1509080657.0,1431283436.0,Duplicate,2170924.0,,,
19,"['javascript', 'jquery']","{'account_id': 37715, 'reputation': 9985, 'user_id': 107922, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/04d84045d7103686077babe11c315b55?s=256&d=identicon&r=PG', 'display_name': 'amit', 'link': 'https://stackoverflow.com/users/107922/amit'}",True,85015,,6,79,1664362778,1263361545,2054705,CC BY-SA 4.0,https://stackoverflow.com/questions/2054705/non-ajax-jquery-post-request,Non-AJAX jQuery POST request,,1558963238.0,,2054741.0,,,
20,"['javascript', 'function', 'date']","{'account_id': 71923, 'reputation': 24290, 'user_id': 207847, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/88ed7484b7793fcacafbbdfebd462cd9?s=256&d=identicon&r=PG', 'display_name': 'Amra', 'link': 'https://stackoverflow.com/users/207847/amra'}",True,95086,,10,20,1664266270,1263825980,2086744,CC BY-SA 2.5,https://stackoverflow.com/questions/2086744/javascript-function-to-convert-date-yyyy-mm-dd-to-dd-mm-yy,Javascript function to convert date yyyy/mm/dd to dd/mm/yy,,,,2086843.0,,,
21,"['javascript', 'v8', 'rhino', 'spidermonkey', 'javascript-engine']","{'account_id': 588274, 'reputation': 699, 'user_id': 258970, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/166491a716688750922ce2f115656a6b?s=256&d=identicon&r=PG', 'display_name': 'Jan', 'link': 'https://stackoverflow.com/users/258970/jan'}",True,36604,,5,69,1664168798,1264475686,2137320,CC BY-SA 3.0,https://stackoverflow.com/questions/2137320/javascript-engines-advantages,Javascript Engines Advantages,,1412700432.0,,,,,
22,"['javascript', 'jquery', 'back-button', 'jquery-events']","{'account_id': 60131, 'reputation': 247952, 'user_id': 179736, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/e77327f7ef0c6213525de4dcea19b200?s=256&d=identicon&r=PG', 'display_name': 'TIMEX', 'link': 'https://stackoverflow.com/users/179736/timex'}",True,75050,,5,19,1663942295,1262722874,2008806,CC BY-SA 4.0,https://stackoverflow.com/questions/2008806/how-to-detect-if-the-user-clicked-the-back-button,How to detect if the user clicked the &quot;back&quot; button,,1566753902.0,,2008831.0,,,
23,"['javascript', 'json', 'jsonp', 'terminology']","{'account_id': 20213, 'reputation': 186708, 'user_id': 48082, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/18bff049e78e8d77a620f8ac4f15b2a0?s=256&d=identicon&r=PG', 'display_name': 'Cheeso', 'link': 'https://stackoverflow.com/users/48082/cheeso'}",True,576697,1444035696.0,10,2390,1663757389,1263502428,2067472,CC BY-SA 4.0,https://stackoverflow.com/questions/2067472/what-is-jsonp-and-why-was-it-created,"What is JSONP, and why was it created?",,1551277618.0,,2067584.0,,,
24,"['javascript', 'clipboard']","{'account_id': 689, 'reputation': 146031, 'user_id': 905, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/130b8a67fd029b2e6b5e56e7aad04952?s=256&d=identicon&r=PG', 'display_name': 'Keith', 'link': 'https://stackoverflow.com/users/905/keith'}",True,56348,1449632840.0,8,111,1663704215,1262939593,2026335,CC BY-SA 3.0,https://stackoverflow.com/questions/2026335/how-to-add-extra-info-to-copied-web-text,How to add extra info to copied web text,,1426908443.0,,4777746.0,,,
25,"['javascript', 'html', 'local-storage']","{'account_id': 896, 'reputation': 80245, 'user_id': 1175, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/48c5dc5d3596150c1d9d906a687cf458?s=256&d=identicon&r=PG', 'display_name': 'Kristopher Johnson', 'link': 'https://stackoverflow.com/users/1175/kristopher-johnson'}",True,1383836,1371982237.0,24,2979,1663056176,1262750751,2010892,CC BY-SA 4.0,https://stackoverflow.com/questions/2010892/how-to-store-objects-in-html5-localstorage-sessionstorage,How to store objects in HTML5 localStorage/sessionStorage,,1663056176.0,,2010948.0,,,
26,['javascript'],"{'account_id': 71950, 'reputation': 661, 'user_id': 207920, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/28de88d1fde48b49580e8a9a24059afa?s=256&d=identicon&r=PG', 'display_name': 'girish', 'link': 'https://stackoverflow.com/users/207920/girish'}",False,7889,,5,4,1662944515,1263983615,2100649,CC BY-SA 2.5,https://stackoverflow.com/questions/2100649/asp-net-date-validation-with-three-drop-down-list,asp.net date validation with three drop down list,,,,,,,
27,['javascript'],"{'account_id': 32988, 'reputation': 23176, 'user_id': 420123, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/94bf8d35dd9f5a701e089f89b0b6d636?s=256&d=identicon&r=PG', 'display_name': 'Ian', 'link': 'https://stackoverflow.com/users/420123/ian'}",True,149667,,11,228,1662755795,1263324053,2051678,CC BY-SA 2.5,https://stackoverflow.com/questions/2051678/getting-all-variables-in-scope,Getting All Variables In Scope,,1263330272.0,,2051693.0,,,
28,"['javascript', 'jquery']","{'account_id': 81444, 'reputation': 11318, 'user_id': 229652, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/84e0e907691541bc058e58b67aad01ac?s=256&d=identicon&r=PG', 'display_name': 'ram', 'link': 'https://stackoverflow.com/users/229652/ram'}",True,1661,,4,0,1662634259,1263233373,2043799,CC BY-SA 2.5,https://stackoverflow.com/questions/2043799/lazy-loading-and-dependency-resolution,Lazy loading and dependency resolution,,1275503134.0,,2086959.0,,,
29,"['javascript', 'html', 'dom-events']","{'account_id': 68024, 'reputation': 60148, 'user_id': 198729, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://www.gravatar.com/avatar/3b104e63986f3650917b545a243a04a4?s=256&d=identicon&r=PG', 'display_name': 'user198729', 'link': 'https://stackoverflow.com/users/198729/user198729'}",True,243,,3,2,1662467586,1264391139,2130084,CC BY-SA 4.0,https://stackoverflow.com/questions/2130084/when-are-inline-event-triggered-in-javascript,When are inline event triggered in JavaScript?,,1662467586.0,,2159709.0,,,
30,['javascript'],"{'account_id': 29108, 'reputation': 135132, 'user_id': 78374, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/f13cb1b1bd8b16bf6dc6eda558e162a0?s=256&d=identicon&r=PG', 'display_name': 'Stefano Borini', 'link': 'https://stackoverflow.com/users/78374/stefano-borini'}",True,158771,,13,160,1662162669,1262583290,1997661,CC BY-SA 2.5,https://stackoverflow.com/questions/1997661/unique-object-identifier-in-javascript,unique object identifier in javascript,,,,1997811.0,,,
31,"['javascript', 'prototypejs', 'lightbox', 'modal-dialog', 'scriptaculous']","{'account_id': 580887, 'reputation': 365, 'user_id': 245947, 'user_type': 'unregistered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/5f7b7d703cb33e0c356656e968f4dd6d?s=256&d=identicon&r=PG', 'display_name': 'BiscottiGummyBears', 'link': 'https://stackoverflow.com/users/245947/biscottigummybears'}",False,16889,,1,2,1662159670,1263527992,2069423,CC BY-SA 3.0,https://stackoverflow.com/questions/2069423/scriptaculous-prototype-modal-window,Scriptaculous / Prototype modal window,,1325024527.0,,,,,
32,"['c#', 'javascript', 'asp.net-mvc', 'ajax', 'dictionary']","{'account_id': 15576, 'reputation': 1399, 'user_id': 33054, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/794198024caf2a690a6c085ca63724dc?s=256&d=identicon&r=PG', 'display_name': 'ddd', 'link': 'https://stackoverflow.com/users/33054/ddd'}",True,37735,,6,21,1661785080,1262611560,1999525,CC BY-SA 2.5,https://stackoverflow.com/questions/1999525/pass-dictionary-to-controller-asp-net-mvc,pass dictionary to controller asp.net mvc,,1262692574.0,,,,,
33,"['javascript', 'date', 'formatting']","{'account_id': 44316, 'reputation': 81376, 'user_id': 130015, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/13871016e7ff62f95d47c0eeb9194674?s=256&d=identicon&r=PG', 'display_name': 'chobo2', 'link': 'https://stackoverflow.com/users/130015/chobo2'}",True,195791,,10,79,1661719693,1263086672,2035699,CC BY-SA 3.0,https://stackoverflow.com/questions/2035699/how-to-convert-a-full-date-to-a-short-date-in-javascript,How to convert a full date to a short date in javascript?,,1375890329.0,,2035706.0,,,
34,"['javascript', 'arrays', 'json', 'push', 'not-exists']","{'account_id': 53925, 'reputation': 25444, 'user_id': 161266, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/61d87c147115e5d1979c032bc837fe08?s=256&d=identicon&r=PG', 'display_name': 'tarnfeld', 'link': 'https://stackoverflow.com/users/161266/tarnfeld'}",True,565815,,29,364,1661263920,1262343541,1988349,CC BY-SA 3.0,https://stackoverflow.com/questions/1988349/array-push-if-does-not-exist,Array.push() if does not exist?,,1468429162.0,,1988361.0,,,
35,"['javascript', 'file-upload']","{'account_id': 71716, 'reputation': 691, 'user_id': 207376, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/5285cd16bf2a51d75c2865a3034ba88f?s=256&d=identicon&r=PG', 'display_name': 'Selom', 'link': 'https://stackoverflow.com/users/207376/selom'}",True,43259,,8,6,1660674281,1263099827,2036158,CC BY-SA 4.0,https://stackoverflow.com/questions/2036158/validate-image-type-using-javascript,Validate image type using javascript,,1660674281.0,,2036177.0,,,
36,"['javascript', 'dom-events']","{'account_id': 20317, 'reputation': 10629, 'user_id': 48450, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/1dcd387da74abc4897529750ffb9071d?s=256&d=identicon&r=PG', 'display_name': 'Russ Bradberry', 'link': 'https://stackoverflow.com/users/48450/russ-bradberry'}",True,19003,,3,15,1660589163,1264723871,2158991,CC BY-SA 4.0,https://stackoverflow.com/questions/2158991/fire-javascript-event-when-a-div-is-in-view,Fire JavaScript Event When a DIV is in View,,1660589163.0,,2159195.0,,,
37,"['javascript', 'html', 'css']","{'account_id': 106222, 'reputation': 95803, 'user_id': 283055, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/b974640a01aa5cbed74cbd0700de5852?s=256&d=identicon&r=PG', 'display_name': 'Tower', 'link': 'https://stackoverflow.com/users/283055/tower'}",True,732,1348604994.0,13,9,1659600302,1262952920,2027456,,https://stackoverflow.com/questions/2027456/what-are-some-excellent-html-5-css-3-and-javascript-blogs,"What are some excellent HTML 5, CSS 3 and JavaScript blogs?",1348744223.0,,not constructive,2027468.0,,,
38,"['javascript', 'html', 'firefox-addon']","{'user_type': 'does_not_exist', 'display_name': 'user186889'}",True,7293,,3,8,1658849293,1262829857,2017743,CC BY-SA 4.0,https://stackoverflow.com/questions/2017743/how-to-call-a-function-in-firefox-extension-from-a-html-button,how to call a function in Firefox extension from a html button,,1658849293.0,,,,,
39,"['javascript', 'jquery', 'dom', 'jquery-events']","{'account_id': 84437, 'reputation': 24089, 'user_id': 236047, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/e083220ac33b47364d345eac8f017919?s=256&d=identicon&r=PG', 'display_name': 'Victor Nicollet', 'link': 'https://stackoverflow.com/users/236047/victor-nicollet'}",True,2943,,2,6,1658128409,1262956131,2027706,CC BY-SA 4.0,https://stackoverflow.com/questions/2027706/why-do-registered-events-disappear-when-an-element-is-removed-from-dom,Why do registered events disappear when an element is removed from DOM?,,1658128409.0,,2028195.0,,,
40,"['javascript', 'select', 'prototypejs']","{'account_id': 50576, 'reputation': 43553, 'user_id': 150939, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/3Q4Eb.jpg?s=256&g=1', 'display_name': 'jamesmhaley', 'link': 'https://stackoverflow.com/users/150939/jamesmhaley'}",True,21890,,2,9,1658064336,1264513114,2139668,CC BY-SA 4.0,https://stackoverflow.com/questions/2139668/adding-an-option-to-a-select-element-with-javascript-using-the-prototype-library,Adding an Option to a Select Element with javascript using the Prototype library,,1658064336.0,,2139813.0,,,
41,"['javascript', 'html', 'css']","{'account_id': 91867, 'reputation': 455, 'user_id': 252048, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/af02286df066cfecb53cf13f77ae47c1?s=256&d=identicon&r=PG', 'display_name': 'Patel', 'link': 'https://stackoverflow.com/users/252048/patel'}",True,40143,,9,17,1657302908,1263970122,2099517,CC BY-SA 4.0,https://stackoverflow.com/questions/2099517/how-to-load-in-an-external-css-file-dynamically,How to load in an external CSS file dynamically?,,1582555922.0,,,,,
42,"['javascript', 'jquery']","{'account_id': 20530, 'reputation': 255145, 'user_id': 49153, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/833df8cee775eea743cb1172dfcd3809?s=256&d=identicon&r=PG', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/49153/ali'}",True,118004,,16,41,1657173241,1263091982,2035910,CC BY-SA 2.5,https://stackoverflow.com/questions/2035910/how-to-get-the-number-of-lines-in-a-textarea,How to get the number of lines in a textarea?,,,,12927469.0,,,
43,"['javascript', 'jquery', 'minify']","{'account_id': 71344, 'reputation': 75792, 'user_id': 206446, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/d084e44bfe1566d87abf80d1f6c0b8a4?s=256&d=identicon&r=PG', 'display_name': 'ajsie', 'link': 'https://stackoverflow.com/users/206446/ajsie'}",True,4453,,9,17,1657115689,1263560901,2071631,CC BY-SA 4.0,https://stackoverflow.com/questions/2071631/jquery-min-version,jquery-min version?,,1525536842.0,,2071650.0,,,
44,"['javascript', 'html', 'firefox-addon', 'firefox-addon-sdk']","{'account_id': 91495, 'reputation': 417, 'user_id': 251160, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/c717f3901b53941b9459f51bd1214189?s=256&d=identicon&r=PG', 'display_name': 'msheshtawy', 'link': 'https://stackoverflow.com/users/251160/msheshtawy'}",True,9552,,5,6,1656926077,1264225685,2122287,CC BY-SA 3.0,https://stackoverflow.com/questions/2122287/how-to-get-info-from-another-website-from-my-html-page,How to get info from another website from my HTML page?,,1338679118.0,,2123665.0,,,
45,"['javascript', 'html', 'select']","{'account_id': 58654, 'reputation': 15558, 'user_id': 175562, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/07fb6f3d45f6e72d791d51509e9dec78?s=256&d=identicon&r=PG', 'display_name': 'David', 'link': 'https://stackoverflow.com/users/175562/david'}",True,187171,,7,66,1656878530,1264694794,2155909,CC BY-SA 4.0,https://stackoverflow.com/questions/2155909/how-can-i-disable-an-option-in-a-select-based-on-its-value-in-javascript,How can I disable an &lt;option&gt; in a &lt;select&gt; based on its value in JavaScript?,,1656878289.0,,2155924.0,,,
46,"['javascript', 'html', 'forms', 'excel']","{'account_id': 579883, 'reputation': 1023, 'user_id': 243957, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/53b95f5dc21a6fb76f818caa753d03fe?s=256&d=identicon&r=PG', 'display_name': 'His dudeness', 'link': 'https://stackoverflow.com/users/243957/his-dudeness'}",True,119391,,9,102,1656827941,1262700380,2006468,CC BY-SA 3.0,https://stackoverflow.com/questions/2006468/copy-paste-from-excel-to-a-web-page,Copy/Paste from Excel to a web page,,1382486741.0,,2006514.0,,,
47,"['javascript', 'cookies']","{'account_id': 583813, 'reputation': 4361, 'user_id': 256515, 'user_type': 'unregistered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/1a4232fa5172a4c1f4b0a1d777e93a67?s=256&d=identicon&r=PG', 'display_name': 'kennedy', 'link': 'https://stackoverflow.com/users/256515/kennedy'}",True,861208,1351030470.0,11,435,1656706566,1264562874,2144386,CC BY-SA 3.0,https://stackoverflow.com/questions/2144386/how-to-delete-a-cookie,How to delete a cookie?,,1499307923.0,,,,,
48,"['javascript', 'date', 'time']","{'account_id': 58361, 'reputation': 12677, 'user_id': 174719, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/25abbe6d5c68fa80f729aca49df4ab56?s=256&d=identicon&r=PG', 'display_name': 'steven', 'link': 'https://stackoverflow.com/users/174719/steven'}",True,228905,,10,243,1656451141,1262903719,2024198,CC BY-SA 4.0,https://stackoverflow.com/questions/2024198/how-do-i-calculate-how-many-seconds-between-two-dates,How do I calculate how many seconds between two dates?,,1619077862.0,,2024230.0,,,
