,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason
10,"['javascript', 'node.js', 'port', 'undefined']","{'account_id': 18334683, 'reputation': 1, 'user_id': 13352342, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/671698703648147/picture?type=large', 'display_name': 'romanl', 'link': 'https://stackoverflow.com/users/13352342/romanl'}",False,785,,,2,0,1669023422,1603183370,64441548,CC BY-SA 4.0,https://stackoverflow.com/questions/64441548/port-is-undefined,Port is undefined,,,
11,"['javascript', 'html', 'css', 'vaadin', 'lit-element']","{'account_id': 19126845, 'reputation': 366, 'user_id': 13969650, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/23d8fab8845323c4f0563d7a043a72ee?s=256&d=identicon&r=PG', 'display_name': 'AmAn KumAr', 'link': 'https://stackoverflow.com/users/13969650/aman-kumar'}",True,1216,,64502897.0,2,1,1669022763,1603465770,64502642,CC BY-SA 4.0,https://stackoverflow.com/questions/64502642/how-to-access-an-element-deep-inside-shadow-root,How to access an element deep inside shadow-root,1603897136.0,,
12,"['javascript', 'lodash']","{'account_id': 14588133, 'reputation': 814, 'user_id': 10536222, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-5xNqeUEyMjY/AAAAAAAAAAI/AAAAAAAAALw/8eaExKTKcqc/photo.jpg?sz=256', 'display_name': 'ZimGil', 'link': 'https://stackoverflow.com/users/10536222/zimgil'}",True,307,,64535826.0,1,1,1668850094,1603709236,64535608,CC BY-SA 4.0,https://stackoverflow.com/questions/64535608/lodash-template-with-async-data,lodash.template with async data,1603709706.0,,
13,"['javascript', 'node.js', 'postgresql']","{'account_id': 14603007, 'reputation': 23, 'user_id': 10546809, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bfc3088acbf12aa0f94baa972a9b84b3?s=256&d=identicon&r=PG&f=1', 'display_name': 'MikeH', 'link': 'https://stackoverflow.com/users/10546809/mikeh'}",True,3849,,,3,2,1668847538,1603471382,64504089,CC BY-SA 4.0,https://stackoverflow.com/questions/64504089/node-js-typeerror-client-is-not-a-constructor,Node.js - TypeError: Client is not a constructor,,,
14,"['javascript', 'reactjs', 'docker', 'safari', 'cross-browser']","{'account_id': 17611911, 'reputation': 11, 'user_id': 12779765, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mCIB0yL_JINEmDLWswRjkKJaFVjdtKCg4LltGmH=k-s256', 'display_name': 'Pratham Singh', 'link': 'https://stackoverflow.com/users/12779765/pratham-singh'}",False,7480,,,1,1,1668801600,1602750218,64367591,CC BY-SA 4.0,https://stackoverflow.com/questions/64367591/react-app-not-working-in-safari-working-fine-on-chrome-and-firefox-but-giving-b,React app not working in Safari. Working fine on Chrome and FireFox but giving black layout for safari,1602765261.0,,
15,"['javascript', 'vue.js', 'eventemitter', 'vuejs3', 'vue-composition-api']","{'account_id': 2783327, 'reputation': 1308, 'user_id': 2395382, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/4b41034df43b70b608b912b259486648?s=256&d=identicon&r=PG', 'display_name': 'Fanna1119', 'link': 'https://stackoverflow.com/users/2395382/fanna1119'}",True,47443,,64220977.0,4,64,1668701190,1601967244,64220737,CC BY-SA 4.0,https://stackoverflow.com/questions/64220737/vue-3-emit-warning-extraneous-non-emits-event-listeners,vue 3 emit warning &quot; Extraneous non-emits event listeners&quot;,,,
16,"['javascript', 'reactjs', 'pdf', 'iframe', 'react-pdf']","{'account_id': 19724588, 'reputation': 21, 'user_id': 14441443, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2a515d4beff87a1c07f3719e9b2ff6a7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Shiro20', 'link': 'https://stackoverflow.com/users/14441443/shiro20'}",False,333,,,1,2,1668660404,1602583876,64333177,CC BY-SA 4.0,https://stackoverflow.com/questions/64333177/please-help-react-pdf-renderer-pdfviewer-with-dynamic-data,Please Help react-pdf/renderer PDFViewer with Dynamic Data,,,
17,"['javascript', 'node.js', 'tabs', 'webautomation', 'playwright']","{'account_id': 19694662, 'reputation': 169, 'user_id': 14418779, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gh7bGNqraRAJt-zc1kby3HJi5p4fXzaftKGu56BAA=k-s256', 'display_name': 'Olya', 'link': 'https://stackoverflow.com/users/14418779/olya'}",True,12743,,,3,8,1668575293,1602235147,64277178,CC BY-SA 4.0,https://stackoverflow.com/questions/64277178/how-to-open-the-new-tab-using-playwright-ex-click-the-button-to-open-the-new-s,How to open the new tab using Playwright (ex. click the button to open the new section in a new tab),1602247247.0,,
18,"['javascript', 'reactjs', 'next.js', 'single-page-application']","{'account_id': 6590959, 'reputation': 921, 'user_id': 5092134, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-xzaZetoXWmE/AAAAAAAAAAI/AAAAAAAAAgc/F0HMtJZMaPs/photo.jpg?sz=256', 'display_name': 'AveryFreeman', 'link': 'https://stackoverflow.com/users/5092134/averyfreeman'}",True,6784,,,5,5,1668539463,1601916471,64212885,CC BY-SA 4.0,https://stackoverflow.com/questions/64212885/nextjs-dynamic-router-pathname-does-not-show-path-but-filename-how-to-get-wo,"NextJS: dynamic router.pathname does not show path, but filename - how to get words in path?",1601948651.0,,
19,"['javascript', 'vue.js', 'vue-router', 'vuejs3', 'vue-router4']","{'account_id': 11787830, 'reputation': 125, 'user_id': 8624893, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/50a6f03510480a31039dabc55fb6a9bf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Student', 'link': 'https://stackoverflow.com/users/8624893/student'}",True,1173,,64314549.0,1,2,1668537681,1602484805,64312844,CC BY-SA 4.0,https://stackoverflow.com/questions/64312844/how-to-redirect-a-404-route-to-home-using-vue-router-in-vue-js-3,How to redirect a 404 route to Home using vue router in Vue.js 3,1602494426.0,,
20,"['javascript', 'typescript', 'types']","{'account_id': 11031144, 'reputation': 747, 'user_id': 8102492, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ubvlc.jpg?s=256&g=1', 'display_name': 'Jibin Thomas', 'link': 'https://stackoverflow.com/users/8102492/jibin-thomas'}",True,6142,,64482301.0,2,8,1668464452,1603368753,64481968,CC BY-SA 4.0,https://stackoverflow.com/questions/64481968/partial-keys-of-union-type-as-key-of-an-object-in-typescript,Partial keys of union type as key of an object in typescript,1603476140.0,,
21,"['javascript', 'google-apps-script', 'post', 'urlfetch']","{'account_id': 16334115, 'reputation': 78, 'user_id': 11796744, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fc53dfbab4d0173f8b9cb941c06efa34?s=256&d=identicon&r=PG&f=1', 'display_name': 'fasito', 'link': 'https://stackoverflow.com/users/11796744/fasito'}",True,1849,,,2,1,1668369455,1602821089,64382781,CC BY-SA 4.0,https://stackoverflow.com/questions/64382781/api-post-request-in-google-app-script-not-working,API Post request in Google App Script not working,1668369455.0,,
22,"['javascript', 'jquery', 'kendo-grid', 'kendo-asp.net-mvc']","{'account_id': 19497257, 'reputation': 199, 'user_id': 14264157, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-O5EFfXyPheM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnRgEwPoSUAl-ua6f3QXzoLHG1oQw/photo.jpg?sz=256', 'display_name': 'kuka muk', 'link': 'https://stackoverflow.com/users/14264157/kuka-muk'}",False,711,,,2,0,1668334221,1602645348,64346109,CC BY-SA 4.0,https://stackoverflow.com/questions/64346109/how-can-i-get-the-selected-row-in-kendo-grid-using-jquery,How can I get the selected row in Kendo Grid using jQuery,1602653494.0,,
23,"['javascript', 'ajax', 'paypal', 'paypal-sandbox']","{'account_id': 15028803, 'reputation': 174, 'user_id': 11216745, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-O0mULpSvmy8/AAAAAAAAAAI/AAAAAAAAAKM/cm0hKdhXuhQ/photo.jpg?sz=256', 'display_name': 'Hern&#226;ni Pereira', 'link': 'https://stackoverflow.com/users/11216745/hern%c3%a2ni-pereira'}",True,1026,,,1,2,1668281336,1602770531,64373294,CC BY-SA 4.0,https://stackoverflow.com/questions/64373294/paypal-onapprove-not-calling-ajax-function,PayPal onApprove not calling ajax function,1602778670.0,,
24,"['javascript', 'reactjs', 'leaflet', 'react-leaflet']","{'account_id': 8984011, 'reputation': 35, 'user_id': 6698175, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1418c419b2e91316cdd7bde4ba7f1a99?s=256&d=identicon&r=PG&f=1', 'display_name': 'F.A', 'link': 'https://stackoverflow.com/users/6698175/f-a'}",True,1368,,64154814.0,1,1,1668281182,1601494533,64144586,CC BY-SA 4.0,https://stackoverflow.com/questions/64144586/how-to-toggle-a-rectangle-grid-using-react-leaflets-layercontrol,How to toggle a rectangle grid using react-leaflet&#39;s LayerControl?,1601556805.0,,
25,"['javascript', 'node.js', 'json', 'jsonschema']","{'account_id': 10718012, 'reputation': 21, 'user_id': 7887956, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/737a9f931eb11c79947988c0bf619892?s=256&d=identicon&r=PG&f=1', 'display_name': 'Suraj Birdawade', 'link': 'https://stackoverflow.com/users/7887956/suraj-birdawade'}",False,672,,,3,1,1668206106,1604040913,64603872,CC BY-SA 4.0,https://stackoverflow.com/questions/64603872/how-to-declare-schema-for-at-least-one-property-is-not-null-using-json-schema,How to declare schema for at least one property is not null using JSON Schema?,1604050076.0,,
26,"['javascript', 'reactjs', 'material-ui', 'slider']","{'account_id': 16038119, 'reputation': 748, 'user_id': 11575257, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5761edd690664bb8c1b397a4a7c2eef4?s=256&d=identicon&r=PG&f=1', 'display_name': 'theastronomist', 'link': 'https://stackoverflow.com/users/11575257/theastronomist'}",True,15320,,64177486.0,4,6,1668125402,1601659234,64175786,CC BY-SA 4.0,https://stackoverflow.com/questions/64175786/warning-failed-prop-type-invalid-prop-value-supplied-to-forwardrefslider,Warning: Failed prop type: Invalid prop `value` supplied to `ForwardRef(Slider)`,1601660606.0,,
27,"['javascript', 'webpack', 'frontend']","{'account_id': 15500120, 'reputation': 71, 'user_id': 11181772, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/brROX.jpg?s=256&g=1', 'display_name': 'Nikolay Shebeko', 'link': 'https://stackoverflow.com/users/11181772/nikolay-shebeko'}",True,12138,,,10,7,1668067919,1603334097,64474426,CC BY-SA 4.0,https://stackoverflow.com/questions/64474426/webpack-5-live-reload,Webpack 5 live reload,,,
28,"['javascript', 'fetch-api']","{'account_id': 19486635, 'reputation': 21, 'user_id': 14255855, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiIEvTTEO30q59wDRUCXn_7nuZvS-oC0gO_PXD6HA=k-s256', 'display_name': 'l0574ndf0und', 'link': 'https://stackoverflow.com/users/14255855/l0574ndf0und'}",False,813,,,2,0,1668060091,1602650150,64346662,CC BY-SA 4.0,https://stackoverflow.com/questions/64346662/how-to-add-a-dynamic-url-with-fetch,How to add a dynamic URL with Fetch?,1668060091.0,,
29,"['javascript', 'arrays', 'multidimensional-array', 'bbc-microbit']","{'account_id': 13581464, 'reputation': 55, 'user_id': 9797303, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/eebad47dc3ebd91ab6eb066e80a0425a?s=256&d=identicon&r=PG&f=1', 'display_name': 'test_subject_8055', 'link': 'https://stackoverflow.com/users/9797303/test-subject-8055'}",True,1451,,64589479.0,2,1,1668021548,1603967425,64589283,CC BY-SA 4.0,https://stackoverflow.com/questions/64589283/defining-2d-array-javascript,Defining 2D array Javascript,,,
30,"['javascript', 'html', 'reactjs', 'input', 'formik']","{'account_id': 4525085, 'reputation': 4265, 'user_id': 9099077, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/q8hgs.jpg?s=256&g=1', 'display_name': 'Leo Messi', 'link': 'https://stackoverflow.com/users/9099077/leo-messi'}",True,5983,,64242954.0,3,3,1667978703,1602065169,64241790,CC BY-SA 4.0,https://stackoverflow.com/questions/64241790/set-autocomplete-off-for-formik-field,Set autocomplete off for Formik field,,,
31,"['javascript', 'html', 'css', 'dom']","{'account_id': 10898465, 'reputation': 20991, 'user_id': 8011544, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://lh3.googleusercontent.com/-YtCjSKj6bBY/AAAAAAAAAAI/AAAAAAAAAAs/xLARQPguzJs/photo.jpg?sz=256', 'display_name': 'Melchia', 'link': 'https://stackoverflow.com/users/8011544/melchia'}",False,1045,,,1,0,1667899773,1603880940,64570943,CC BY-SA 4.0,https://stackoverflow.com/questions/64570943/jest-how-to-set-offsetwidth-with-dom,Jest: How to set offsetWidth with dom,1667899773.0,,
32,"['javascript', 'c#', 'dom', 'cefsharp']","{'account_id': 10712475, 'reputation': 26537, 'user_id': 7884305, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7f582791bc217379415cc2bc54abc718?s=256&d=identicon&r=PG&f=1', 'display_name': 'Chayim Friedman', 'link': 'https://stackoverflow.com/users/7884305/chayim-friedman'}",True,175,,64387686.0,2,-1,1667854324,1602819886,64382641,CC BY-SA 4.0,https://stackoverflow.com/questions/64382641/cefsharp-does-not-marshal-dom-nodes,CefSharp does not marshal DOM nodes,,,
33,"['javascript', 'arrays', 'reactjs', 'typescript', 'merge']","{'account_id': 19769888, 'reputation': 23, 'user_id': 14477070, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/93970cdae6f9dcb7a54b2e91c2da2f8e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Max', 'link': 'https://stackoverflow.com/users/14477070/max'}",True,140,,64427184.0,1,2,1667853722,1603099010,64424408,CC BY-SA 4.0,https://stackoverflow.com/questions/64424408/how-to-correctly-merge-two-arrays-of-objects,How to correctly merge two arrays of objects?,1667853722.0,,
34,"['javascript', 'service-worker', 'browser-cache', 'reload']","{'account_id': 15971144, 'reputation': 35, 'user_id': 11525252, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/T2j9H.png?s=256&g=1', 'display_name': 'String Manolo', 'link': 'https://stackoverflow.com/users/11525252/string-manolo'}",False,236,,,1,0,1667819659,1603754822,64546355,CC BY-SA 4.0,https://stackoverflow.com/questions/64546355/how-to-load-from-browser-cache-after-the-resources-are-cached-without-reload,How to load from browser cache after the resources are cached without reload?,,,
35,"['javascript', 'firebase', 'google-cloud-platform', 'google-cloud-firestore']","{'account_id': 13836674, 'reputation': 339, 'user_id': 9988031, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/44a22bad89d4ad3a9bcd72daefae86c0?s=256&d=identicon&r=PG&f=1', 'display_name': 'SabetiG', 'link': 'https://stackoverflow.com/users/9988031/sabetig'}",True,1313,,64429573.0,2,4,1667770770,1603115862,64428892,CC BY-SA 4.0,https://stackoverflow.com/questions/64428892/cloud-firestore-update-field-values-in-nested-array-object-with-dot-notation,Cloud firestore: Update field values in nested array object with dot notation,,,
36,"['javascript', 'es6-modules', 'dotenv']","{'account_id': 19866600, 'reputation': 79, 'user_id': 14553717, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-NIU4omzB740/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucko9H6mjSRhfGhgP3id2C0rjWG3Jw/s96-c/photo.jpg?sz=256', 'display_name': 'David Mulholland', 'link': 'https://stackoverflow.com/users/14553717/david-mulholland'}",True,8658,,64622082.0,3,8,1667702993,1604141170,64620877,CC BY-SA 4.0,https://stackoverflow.com/questions/64620877/cant-use-dotenv-with-es6-modules,Can&#39;t use dotenv with ES6 modules,1604141750.0,,
37,"['javascript', 'codeigniter']","{'account_id': 17623627, 'reputation': 15, 'user_id': 12789040, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2ebce3db0bc1064214767db5617c4505?s=256&d=identicon&r=PG&f=1', 'display_name': 'ajo', 'link': 'https://stackoverflow.com/users/12789040/ajo'}",False,11618,,,1,1,1667512855,1604033689,64602931,CC BY-SA 4.0,https://stackoverflow.com/questions/64602931/neterr-aborted-403-forbidden-error-in-codeigniter-when-using-store-locator,net::ERR_ABORTED 403 (Forbidden) error in codeigniter when using store locator,1604036287.0,,
38,"['javascript', 'node.js', 'discord', 'discord.js', 'typeerror']","{'account_id': 19550448, 'reputation': 23, 'user_id': 14306203, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gh0qBqQHeGqvC69PNfTC5MJe3C0JQ1BUSo_hgUgAA=k-s256', 'display_name': 'MarcZX10', 'link': 'https://stackoverflow.com/users/14306203/marczx10'}",False,1155,,,0,0,1667454723,1603732194,64541793,CC BY-SA 4.0,https://stackoverflow.com/questions/64541793/typeerror-cannot-read-property-users-of-undefined-using-discordjs-v12,TypeError: Cannot read property &#39;users&#39; of undefined using Discordjs v12,1667454723.0,,
39,['javascript'],"{'account_id': 19195450, 'reputation': 41, 'user_id': 14024250, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-WwysJRkvOz0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucng0Dpfgxs8a2fwYBsctNtKTHmmbw/photo.jpg?sz=256', 'display_name': 'Nadav', 'link': 'https://stackoverflow.com/users/14024250/nadav'}",True,42,,,1,1,1667454708,1603932558,64583362,CC BY-SA 4.0,https://stackoverflow.com/questions/64583362/addeventlistener-problem-during-iteration-of-an-array,addEventListener problem during Iteration of an array,1667454708.0,,
40,"['javascript', 'angular', 'jspdf', 'html2canvas']","{'account_id': 17818189, 'reputation': 85, 'user_id': 12941220, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-Dv7OzSMH-3k/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfs21_zoXfav3X2kzH4_s4vbxEMcA/photo.jpg?sz=256', 'display_name': 'Manmeet Khurana', 'link': 'https://stackoverflow.com/users/12941220/manmeet-khurana'}",True,4047,,,2,2,1667387313,1602601745,64337927,CC BY-SA 4.0,https://stackoverflow.com/questions/64337927/how-to-split-page-after-adding-the-image-using-html2canvas-and-jspdf,How to split page after adding the image using HTML2Canvas and jspdf,1667387313.0,,
41,"['javascript', 'node.js']","{'account_id': 5972957, 'reputation': 15427, 'user_id': 4694781, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/db2063935189c90374d7d1fc11765bb8?s=256&d=identicon&r=PG&f=1', 'display_name': 'PositiveGuy', 'link': 'https://stackoverflow.com/users/4694781/positiveguy'}",False,1011,,,0,3,1667285449,1603235553,64454556,CC BY-SA 4.0,https://stackoverflow.com/questions/64454556/command-node-gyp-rebuild-exit-code-1,Command: node-gyp rebuild Exit code: 1,1603237584.0,,
42,"['javascript', 'html', 'css', 'reactjs', 'react-bootstrap']","{'account_id': 19616830, 'reputation': 27, 'user_id': 14358104, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/91a056e0a54a56b3f53dd2a0ba4a7ef3?s=256&d=identicon&r=PG&f=1', 'display_name': 'robotcourier', 'link': 'https://stackoverflow.com/users/14358104/robotcourier'}",False,115,,,1,1,1667135488,1603473779,64504643,CC BY-SA 4.0,https://stackoverflow.com/questions/64504643/show-current-temperature-in-react-navbar,Show current temperature in React NavBar?,1603479698.0,,
43,"['javascript', 'arrays', 'class']","{'account_id': 19777070, 'reputation': 1, 'user_id': 14482783, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgCS9ZBgfvyLtHaHLPqVVF1S_SPD4PI6RsawqHrgQ=k-s256', 'display_name': 'Md Nishath Khandakar', 'link': 'https://stackoverflow.com/users/14482783/md-nishath-khandakar'}",True,30,,,1,0,1667015790,1603171746,64438993,CC BY-SA 4.0,https://stackoverflow.com/questions/64438993/create-new-class-instance-from-existing-class-based-on-array,Create new class instance from existing class based on array,1667012802.0,,
44,"['javascript', 'jspdf', 'jspdf-autotable']","{'account_id': 16141356, 'reputation': 21, 'user_id': 11652390, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/597c61d93fdc4e035cb20f4f870de997?s=256&d=identicon&r=PG&f=1', 'display_name': 'V_swan', 'link': 'https://stackoverflow.com/users/11652390/v-swan'}",True,896,,,3,0,1666951076,1601904398,64209548,CC BY-SA 4.0,https://stackoverflow.com/questions/64209548/cant-use-jspdf-autotable-is-not-a-function-since-v3-5-13-jspdf-v2-1-1,Can&#39;t use jsPDF-AutoTable is not a function since v3.5.13 (jsPDF v2.1.1),1601904762.0,,
45,"['javascript', 'discord', 'discord.js']","{'account_id': 18814538, 'reputation': 8060, 'user_id': 13721990, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/sZQCu.jpg?s=256&g=1', 'display_name': 'Lioness100', 'link': 'https://stackoverflow.com/users/13721990/lioness100'}",True,26988,,64559391.0,1,24,1666929076,1603818151,64559390,CC BY-SA 4.0,https://stackoverflow.com/questions/64559390/none-of-my-discord-js-guildmember-events-are-emitting-my-user-caches-are-basica,"None of my discord.js guildmember events are emitting, my user caches are basically empty, and my functions are timing out?",1603973699.0,,
