,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,locked_date,community_owned_date,closed_date,closed_reason
10,"['javascript', 'arrays', 'loops', 'for-loop', 'iteration']","{'account_id': 23837, 'reputation': 56706, 'user_id': 60102, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/04a828a8559bb8c4de12c515af6f6b58?s=256&d=identicon&r=PG', 'display_name': 'lYriCAlsSH', 'link': 'https://stackoverflow.com/users/60102/lyricalssh'}",True,985107,500531.0,28,2026,1665321443,1233481598,1593835508.0,500504,CC BY-SA 4.0,https://stackoverflow.com/questions/500504/why-is-using-for-in-for-array-iteration-a-bad-idea,Why is using &quot;for...in&quot; for array iteration a bad idea?,1368211808.0,,,,
11,"['javascript', 'struct']","{'account_id': 5559, 'reputation': 527813, 'user_id': 9021, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/f092dfd45793e9483281d4205b674823?s=256&d=identicon&r=PG', 'display_name': 'nickf', 'link': 'https://stackoverflow.com/users/9021/nickf'}",True,251979,502384.0,10,135,1665294449,1233555938,1640552292.0,502366,CC BY-SA 4.0,https://stackoverflow.com/questions/502366/structs-in-javascript,Structs in Javascript,,,,,
12,['javascript'],"{'account_id': 24576, 'reputation': 4572, 'user_id': 62610, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/1515e94401db35decfcc77c059d27bff?s=256&d=identicon&r=PG', 'display_name': 'kgrad', 'link': 'https://stackoverflow.com/users/62610/kgrad'}",True,24576,526581.0,10,25,1664666340,1234133049,1234161362.0,526559,CC BY-SA 2.5,https://stackoverflow.com/questions/526559/testing-if-something-is-a-class-in-javascript,Testing if something is a class in javascript,,,,,
13,"['javascript', 'cookies']","{'account_id': 9316, 'reputation': 10060, 'user_id': 17162, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://graph.facebook.com/5252267/picture?type=large', 'display_name': 'Jose Vega', 'link': 'https://stackoverflow.com/users/17162/jose-vega'}",True,220180,532638.0,9,175,1664543042,1234277381,,532635,CC BY-SA 2.5,https://stackoverflow.com/questions/532635/javascript-cookie-with-no-expiration-date,Javascript Cookie with no expiration date,,,,,
14,"['javascript', 'jquery']","{'account_id': 16388, 'reputation': 11461, 'user_id': 35585, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/01a4a7e96176b435386a2767602db32d?s=256&d=identicon&r=PG', 'display_name': 'Bobby Borszich', 'link': 'https://stackoverflow.com/users/35585/bobby-borszich'}",True,346314,559178.0,22,286,1664286198,1234911475,1638735227.0,559112,CC BY-SA 4.0,https://stackoverflow.com/questions/559112/how-to-convert-a-currency-string-to-a-double-with-javascript,How to convert a currency string to a double with Javascript?,,,,,
15,"['javascript', 'reporting-services', 'reporting']","{'user_type': 'does_not_exist', 'display_name': 'praveenthonda'}",True,6028,,2,1,1664028356,1235147582,1235147939.0,570262,CC BY-SA 2.5,https://stackoverflow.com/questions/570262/javascript-sql-reporting-services,JavaScript - SQL Reporting Services,,,,,
16,"['javascript', 'jquery', 'html', 'jquery-selectors', 'radio-button']","{'account_id': 1335, 'reputation': 78658, 'user_id': 1782, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/4dfc8f56817006ef21327d5ff19ce04f?s=256&d=identicon&r=PG', 'display_name': 'juan', 'link': 'https://stackoverflow.com/users/1782/juan'}",True,2455742,596369.0,40,3000,1663045945,1235764407,1578668797.0,596351,CC BY-SA 4.0,https://stackoverflow.com/questions/596351/how-can-i-know-which-radio-button-is-selected-via-jquery,How can I know which radio button is selected via jQuery?,1395775523.0,,,,
17,"['javascript', 'closures', 'iife', 'self-executing-function']","{'account_id': 16517, 'reputation': 5309, 'user_id': 1973027, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/a081464dd04762de220bd9393a6c66ab?s=256&d=identicon&r=PG', 'display_name': 'Ej.', 'link': 'https://stackoverflow.com/users/1973027/ej'}",True,210054,592414.0,21,503,1663008679,1235681632,1451858859.0,592396,CC BY-SA 3.0,https://stackoverflow.com/questions/592396/what-is-the-purpose-of-a-self-executing-function-in-javascript,What is the purpose of a self executing function in javascript?,1576814083.0,,,,
18,"['javascript', 'html', 'xhtml']","{'user_type': 'does_not_exist', 'display_name': 'lfonlfonlfon'}",True,89932,,11,48,1662424935,1234029504,1237931380.0,524222,CC BY-SA 2.5,https://stackoverflow.com/questions/524222/how-can-i-get-the-form-value-from-a-disabled-input-element,How can I get the form value from a disabled &lt;input&gt; element,,,1237931619.0,,
19,"['javascript', 'arrays']","{'account_id': 155, 'reputation': 79199, 'user_id': 192, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/4466fde5314c4361853e95c1f892e191?s=256&d=identicon&r=PG', 'display_name': 'tags2k', 'link': 'https://stackoverflow.com/users/192/tags2k'}",True,3104253,586189.0,27,3971,1661705205,1235572170,1646657365.0,586182,CC BY-SA 4.0,https://stackoverflow.com/questions/586182/how-to-insert-an-item-into-an-array-at-a-specific-index-javascript,How to insert an item into an array at a specific index (JavaScript),1410722819.0,,,,
20,"['javascript', 'json', 'separation-of-concerns', 'web-architecture', 'static-html']","{'account_id': 20172, 'reputation': 6565, 'user_id': 47937, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/e5c32a36d441b29c59817813c11a944d?s=256&d=identicon&r=PG', 'display_name': 'mannicken', 'link': 'https://stackoverflow.com/users/47937/mannicken'}",True,4020,,3,6,1661518154,1235631785,1661518154.0,589462,CC BY-SA 4.0,https://stackoverflow.com/questions/589462/what-are-benefits-of-serving-static-html-and-generating-content-with-ajax-json,What are benefits of serving static HTML and generating content with AJAX/JSON?,,,1235631822.0,,
21,"['javascript', 'jquery', 'jquery-selectors']","{'account_id': 20530, 'reputation': 255135, 'user_id': 49153, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/833df8cee775eea743cb1172dfcd3809?s=256&d=identicon&r=PG', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/49153/ali'}",True,832834,590219.0,21,462,1661478322,1235647941,1426930322.0,590163,CC BY-SA 3.0,https://stackoverflow.com/questions/590163/how-to-get-all-options-of-a-select-using-jquery,How to get all options of a select using jQuery?,,,,,
22,"['javascript', 'jquery', 'html', 'css']","{'account_id': 26070, 'reputation': 4985, 'user_id': 67550, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/c8de7c6f12d6322e08838c9f44164f75?s=256&d=identicon&r=PG', 'display_name': 'Alexandre', 'link': 'https://stackoverflow.com/users/67550/alexandre'}",True,46045,558642.0,6,24,1661446700,1234903077,1661446700.0,558614,CC BY-SA 4.0,https://stackoverflow.com/questions/558614/how-can-i-reorder-elements-with-javascript,How can I reorder elements with JavaScript?,,,,,
23,"['javascript', 'dom-manipulation']","{'account_id': 17640, 'reputation': 253224, 'user_id': 39677, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/77aa7bc1ace6e4b0b49a2102e4fa4059?s=256&d=identicon&r=PG', 'display_name': 'Blankman', 'link': 'https://stackoverflow.com/users/39677/blankman'}",True,2271436,507157.0,27,1546,1661278395,1233669240,1613433576.0,507138,CC BY-SA 4.0,https://stackoverflow.com/questions/507138/how-to-add-a-class-to-a-given-element,How to add a class to a given element?,1414103150.0,,,,
24,"['javascript', 'jquery']","{'account_id': 897, 'reputation': 6603, 'user_id': 2019426, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/dacbbe2a57103a7e8606ed3210d905cf?s=256&d=identicon&r=PG', 'display_name': 'RSilva', 'link': 'https://stackoverflow.com/users/2019426/rsilva'}",True,197479,553411.0,7,254,1660863859,1234793162,1455125129.0,553402,CC BY-SA 3.0,https://stackoverflow.com/questions/553402/how-to-fadeout-remove-a-div-in-jquery,How to &quot;fadeOut&quot; &amp; &quot;remove&quot; a div in jQuery?,,,,,
25,"['javascript', 'dom-events']","{'account_id': 27332, 'reputation': 5375, 'user_id': 72022, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d9efdd86a69733a9f86530a5628d0313?s=256&d=identicon&r=PG', 'display_name': 'tan', 'link': 'https://stackoverflow.com/users/72022/tan'}",True,737819,,25,535,1660338147,1235765832,1566208121.0,596481,CC BY-SA 4.0,https://stackoverflow.com/questions/596481/is-it-possible-to-simulate-key-press-events-programmatically,Is it possible to simulate key press events programmatically?,1548987496.0,,,,
26,"['javascript', 'regex']","{'account_id': 22907, 'reputation': 2725, 'user_id': 56976, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/c07a753017b1e44e7a5378e0edf61b9b?s=256&d=identicon&r=PG', 'display_name': 'makeee', 'link': 'https://stackoverflow.com/users/56976/makeee'}",True,310040,576206.0,8,72,1660330708,1235349834,1660330708.0,576196,CC BY-SA 4.0,https://stackoverflow.com/questions/576196/regular-expression-allow-letters-numbers-and-spaces-with-at-least-one-letter,"Regular Expression: Allow letters, numbers, and spaces (with at least one letter or number)",,,,,
27,"['javascript', 'arrays', 'oop']","{'account_id': 20530, 'reputation': 255135, 'user_id': 49153, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/833df8cee775eea743cb1172dfcd3809?s=256&d=identicon&r=PG', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/49153/ali'}",True,4172,575486.0,4,2,1659971730,1235329506,1235342995.0,575480,CC BY-SA 2.5,https://stackoverflow.com/questions/575480/associative-arrays-in-javascript,Associative arrays in javascript,,,,,
28,"['javascript', 'performance', 'dom', 'reflow']","{'account_id': 13193, 'reputation': 72062, 'user_id': 26349, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/0f47e514351f802b3c70eaacfe6ff492?s=256&d=identicon&r=PG', 'display_name': 'Morgan Cheng', 'link': 'https://stackoverflow.com/users/26349/morgan-cheng'}",True,28195,1278213.0,3,52,1659801717,1233726642,1233727248.0,510213,CC BY-SA 2.5,https://stackoverflow.com/questions/510213/when-does-reflow-happen-in-a-dom-environment,When does reflow happen in a DOM environment?,,,,,
29,"['javascript', 'date']","{'user_type': 'does_not_exist', 'display_name': 'Ronald'}",True,144909,499846.0,10,60,1658384242,1233446605,1335831118.0,499838,CC BY-SA 3.0,https://stackoverflow.com/questions/499838/javascript-date-next-month,Javascript Date: next month,1502876534.0,,,,
30,"['javascript', 'events']","{'account_id': 26132, 'reputation': 3157, 'user_id': 67722, 'user_type': 'registered', 'accept_rate': 15, 'profile_image': 'https://www.gravatar.com/avatar/e04050fdb0180e117e28e863aa88f31a?s=256&d=identicon&r=PG', 'display_name': 'user67722', 'link': 'https://stackoverflow.com/users/67722/user67722'}",True,267109,,29,224,1658148247,1235555847,1482155510.0,585396,CC BY-SA 3.0,https://stackoverflow.com/questions/585396/how-to-prevent-enter-keypress-to-submit-a-web-form,How to prevent ENTER keypress to submit a web form?,,,,,
31,"['javascript', 'eval']","{'account_id': 5121, 'reputation': 40173, 'user_id': 8078, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/26a6b978dd7b7f8ea7dd446cff12cf5c?s=256&d=identicon&r=PG', 'display_name': 'JSBձոգչ', 'link': 'https://stackoverflow.com/users/8078/jsb%d5%b1%d5%b8%d5%a3%d5%b9'}",True,19051,543820.0,9,36,1657800857,1234475620,1234476505.0,543533,CC BY-SA 2.5,https://stackoverflow.com/questions/543533/restricting-eval-to-a-narrow-scope,Restricting eval() to a narrow scope,,,,,
32,"['javascript', 'jquery', 'image']","{'account_id': 25917, 'reputation': 15735, 'user_id': 67033, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/b55f1f86e4af384bed761da9046272b2?s=256&d=identicon&r=PG', 'display_name': 'user67033', 'link': 'https://stackoverflow.com/users/67033/user67033'}",True,1787425,,17,870,1657708370,1234812239,1437256237.0,554273,CC BY-SA 3.0,https://stackoverflow.com/questions/554273/changing-the-image-source-using-jquery,Changing the image source using jQuery,,,,,
33,['javascript'],"{'account_id': 5586, 'reputation': 7081, 'user_id': 9082, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/827fd7206695d35526991c9a2feb5f6a?s=256&d=identicon&r=PG', 'display_name': 'wallyqs', 'link': 'https://stackoverflow.com/users/9082/wallyqs'}",True,526880,23481096.0,38,575,1657632193,1235800586,1628279600.0,597588,CC BY-SA 4.0,https://stackoverflow.com/questions/597588/how-do-you-clone-an-array-of-objects-in-javascript,How do you clone an array of objects in JavaScript?,1344469023.0,,,,
34,"['javascript', 'jquery', 'event-handling', 'jquery-events']","{'account_id': 20997, 'reputation': 6894, 'user_id': 50711, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/e86c2ba0add63f44ad8eea8e7dc79b0d?s=256&d=identicon&r=PG', 'display_name': 'rball', 'link': 'https://stackoverflow.com/users/50711/rball'}",True,1043,499097.0,4,2,1657037514,1233418603,1657037514.0,499085,CC BY-SA 4.0,https://stackoverflow.com/questions/499085/how-do-i-keep-events-elements-added-through-a-ajax-call-in-jquery-active,How do I keep events elements added through a ajax call in jQuery &quot;active&quot;,,,,,
35,"['javascript', 'pass-by-reference', 'pass-by-value']","{'account_id': 2319, 'reputation': 18661, 'user_id': 3219, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8e8c5550634581492bc83f79e98284bf?s=256&d=identicon&r=PG', 'display_name': 'Danail Nachev', 'link': 'https://stackoverflow.com/users/3219/danail-nachev'}",True,503762,,33,1686,1656800328,1233869036,1561478908.0,518000,CC BY-SA 4.0,https://stackoverflow.com/questions/518000/is-javascript-a-pass-by-reference-or-pass-by-value-language,Is JavaScript a pass-by-reference or pass-by-value language?,1434270904.0,,,,
36,"['javascript', 'jquery', 'dom', 'event-handling', 'jquery-events']","{'account_id': 9214, 'reputation': 134429, 'user_id': 16940, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/7fc2db839382b30434539fbc967c498e?s=256&d=identicon&r=PG', 'display_name': 'Simon_Weaver', 'link': 'https://stackoverflow.com/users/16940/simon-weaver'}",True,17097,559181.0,3,22,1656518852,1234912316,1656518852.0,559147,CC BY-SA 4.0,https://stackoverflow.com/questions/559147/are-events-lost-in-jquery-when-you-remove-an-element-and-append-it-elsewhere,Are events lost in jQuery when you remove() an element and append() it elsewhere?,,,,,
37,"['javascript', 'jquery', 'events', 'jquery-events']","{'account_id': 22631, 'reputation': 25364, 'user_id': 56007, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/e71a8cbf759f284f5ccf668f187f8925?s=256&d=identicon&r=PG', 'display_name': 'jonhobbs', 'link': 'https://stackoverflow.com/users/56007/jonhobbs'}",True,2401,547978.0,3,1,1656245927,1234546138,1656245927.0,546863,CC BY-SA 4.0,https://stackoverflow.com/questions/546863/jquery-mouseout-firing-when-injecting-child-element,jQuery mouseout firing when injecting child element,,,,,
38,"['javascript', 'jquery', 'dom']","{'user_type': 'does_not_exist', 'display_name': 'sam'}",True,4363,,6,15,1656158162,1235761531,1320193535.0,596150,CC BY-SA 3.0,https://stackoverflow.com/questions/596150/how-can-i-tell-whether-an-element-matches-a-selector,How can I tell whether an element matches a selector?,,,,,
39,"['javascript', 'textbox', 'input']","{'account_id': 22631, 'reputation': 25364, 'user_id': 56007, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/e71a8cbf759f284f5ccf668f187f8925?s=256&d=identicon&r=PG', 'display_name': 'jonhobbs', 'link': 'https://stackoverflow.com/users/56007/jonhobbs'}",True,368288,512542.0,10,219,1655879209,1233770091,1495541429.0,512528,CC BY-SA 3.0,https://stackoverflow.com/questions/512528/set-keyboard-caret-position-in-html-textbox,Set keyboard caret position in html textbox,,,,,
40,"['javascript', 'html', 'dom']","{'account_id': 10610, 'reputation': 64602, 'user_id': 20126, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/22fc146c1512cdb4d381222dcbc8b9f8?s=256&d=identicon&r=PG', 'display_name': 'Amr Elgarhy', 'link': 'https://stackoverflow.com/users/20126/amr-elgarhy'}",True,413669,574914.0,10,150,1655743914,1235308442,1517928868.0,574904,CC BY-SA 3.0,https://stackoverflow.com/questions/574904/get-next-previous-element-using-javascript,Get next / previous element using JavaScript?,,,,,
41,"['javascript', 'string', 'trim']","{'account_id': 10964, 'reputation': 31133, 'user_id': 20951, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/36de0b1514932801ddb4dc0b30532611?s=256&d=identicon&r=PG', 'display_name': 'Vinod', 'link': 'https://stackoverflow.com/users/20951/vinod'}",True,886182,498995.0,20,1356,1655084840,1233414743,1655084840.0,498970,CC BY-SA 4.0,https://stackoverflow.com/questions/498970/trim-string-in-javascript,Trim string in JavaScript,1361597974.0,,,,
42,"['javascript', 'arrays', 'element', 'delete-operator', 'array-splice']","{'account_id': 23837, 'reputation': 56706, 'user_id': 60102, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/04a828a8559bb8c4de12c515af6f6b58?s=256&d=identicon&r=PG', 'display_name': 'lYriCAlsSH', 'link': 'https://stackoverflow.com/users/60102/lyricalssh'}",True,1607666,500617.0,29,1432,1654053415,1233486676,1593086879.0,500606,CC BY-SA 4.0,https://stackoverflow.com/questions/500606/deleting-array-elements-in-javascript-delete-vs-splice,Deleting array elements in JavaScript - delete vs splice,1340215601.0,,,,
43,"['java', 'php', 'javascript', 'google-api', 'google-finance']","{'account_id': 876450, 'reputation': 4528, 'user_id': 60215, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/5dbb5cada11eb2a63fccad10f1f08a9f?s=256&d=identicon&r=PG', 'display_name': 'Josema', 'link': 'https://stackoverflow.com/users/60215/josema'}",True,317464,527780.0,15,129,1653265818,1234176850,1376659374.0,527703,CC BY-SA 3.0,https://stackoverflow.com/questions/527703/how-can-i-get-stock-quotes-using-google-finance-api,How can I get stock quotes using Google Finance API?,1436151045.0,,,,
44,"['javascript', 'jquery', 'jquery-ui', 'jquery-ui-datepicker']","{'account_id': 9867, 'reputation': 606857, 'user_id': 18393, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/2f364c2e36b52bc80296cbf23da8b231?s=256&d=identicon&r=PG', 'display_name': 'cletus', 'link': 'https://stackoverflow.com/users/18393/cletus'}",True,156793,503082.0,12,195,1653242669,1233536200,1381490891.0,501943,CC BY-SA 3.0,https://stackoverflow.com/questions/501943/can-the-jquery-ui-datepicker-be-made-to-disable-saturdays-and-sundays-and-holid,Can the jQuery UI Datepicker be made to disable Saturdays and Sundays (and holidays)?,1286537128.0,,,,
45,['javascript'],"{'account_id': 19898, 'reputation': 18547, 'user_id': 47036, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Peanut', 'link': 'https://stackoverflow.com/users/47036/peanut'}",True,416749,736322.0,34,384,1652670902,1233749498,,511088,CC BY-SA 2.5,https://stackoverflow.com/questions/511088/use-javascript-to-place-cursor-at-end-of-text-in-text-input-element,Use JavaScript to place cursor at end of text in text input element,1481304014.0,,,,
46,"['javascript', 'syntax']","{'account_id': 8175, 'reputation': 23329, 'user_id': 14570, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/3c2ce5e843cef58cf546b403c6233597?s=256&d=identicon&r=PG', 'display_name': 'mcherm', 'link': 'https://stackoverflow.com/users/14570/mcherm'}",True,1501016,596503.0,18,1454,1652666634,1235765707,1456337817.0,596467,CC BY-SA 3.0,https://stackoverflow.com/questions/596467/how-do-i-convert-a-float-number-to-a-whole-number-in-javascript,How do I convert a float number to a whole number in JavaScript?,1559280149.0,,,,
47,"['javascript', 'jquery', 'keyboard-shortcuts']","{'user_type': 'does_not_exist', 'display_name': 'yoyo19'}",True,166984,,14,191,1652510681,1235712130,1336775275.0,593602,CC BY-SA 3.0,https://stackoverflow.com/questions/593602/keyboard-shortcuts-with-jquery,Keyboard shortcuts with jQuery,1504666725.0,,,,
48,"['javascript', 'stack-trace']","{'account_id': 27199, 'reputation': 143227, 'user_id': 71522, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/f0e286ba0482e57904e89e753a4b36e6?s=256&d=identicon&r=PG', 'display_name': 'David Wolever', 'link': 'https://stackoverflow.com/users/71522/david-wolever'}",True,538226,635852.0,25,660,1652364614,1235673393,1521311773.0,591857,CC BY-SA 3.0,https://stackoverflow.com/questions/591857/how-can-i-get-a-javascript-stack-trace-when-i-throw-an-exception,How can I get a JavaScript stack trace when I throw an exception?,,,,,
49,['javascript'],"{'account_id': 3353, 'reputation': 36540, 'user_id': 4834, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/6a04e124482c3750617f8dacde3388ce?s=256&d=identicon&r=PG', 'display_name': 'quamrana', 'link': 'https://stackoverflow.com/users/4834/quamrana'}",True,21953,537667.0,8,49,1651260601,1234369947,1469361482.0,537632,,https://stackoverflow.com/questions/537632/should-i-use-semicolons-in-javascript,Should I use semicolons in JavaScript?,,,,1539094705.0,Duplicate
