,tags,owner,is_answered,view_count,bounty_amount,bounty_closes_date,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date
17,"['javascript', 'swiper.js']","{'account_id': 24378051, 'reputation': 11, 'user_id': 18310074, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiayppoASbLIyMLsdkqQb0ZwoY9sWupcJhnKp9s=k-s256', 'display_name': 'Jfrdmn', 'link': 'https://stackoverflow.com/users/18310074/jfrdmn'}",False,343,,,1,1,1668887819,1645803663,71268255,CC BY-SA 4.0,https://stackoverflow.com/questions/71268255/swiper-js-slows-down-on-autoplay-between-slides,Swiper.js slows down on autoplay between slides,,,,,
18,"['javascript', 'reactjs', 'react-native', 'expo', 'react-hook-form']","{'account_id': 19126561, 'reputation': 839, 'user_id': 13969419, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-qzrYhl-cBmY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnFXo1HybAOr1HdLAsSIkK4-q5o8Q/photo.jpg?sz=256', 'display_name': 'Seven', 'link': 'https://stackoverflow.com/users/13969419/seven'}",False,389,,,2,1,1668845883,1645864423,71275174,CC BY-SA 4.0,https://stackoverflow.com/questions/71275174/how-to-trigger-validation-in-react-hook-form-in-react-native-expo-web,how to trigger validation in React Hook Form in React Native Expo Web,,,,,
19,"['javascript', 'reactjs', 'api', 'npm', 'clarifai']","{'account_id': 24196443, 'reputation': 45, 'user_id': 18154915, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/GyJAm.jpg?s=256&g=1', 'display_name': 'zanthez', 'link': 'https://stackoverflow.com/users/18154915/zanthez'}",True,320,,,1,2,1668826516,1644434228,71055440,CC BY-SA 4.0,https://stackoverflow.com/questions/71055440/clarifai-api-referenceerror-process-is-not-defined,Clarifai api referenceerror : process is not defined,,,,,
20,"['javascript', 'reactjs', 'react-redux', 'react-hooks']","{'account_id': 21978704, 'reputation': 765, 'user_id': 16254113, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/gRKOl.jpg?s=256&g=1', 'display_name': 'sarangkkl', 'link': 'https://stackoverflow.com/users/16254113/sarangkkl'}",False,655,,,1,0,1668778718,1644909416,71122416,CC BY-SA 4.0,https://stackoverflow.com/questions/71122416/the-page-is-not-loading-when-i-am-useselector-in-the-code-so-that-i-can-render-t,The page is not loading When i am useSelector in the code so that i can render the object which is available in the store,,1644911241.0,,,
21,"['javascript', 'ios', 'sentry']","{'account_id': 24388393, 'reputation': 311, 'user_id': 18318767, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyvrXQu9dc3DOY-foGCmvPp8YmZDNB7u7xWpSn_=k-s256', 'display_name': 'Thomas Stewart', 'link': 'https://stackoverflow.com/users/18318767/thomas-stewart'}",True,6594,,,3,21,1668778559,1645908489,71280168,CC BY-SA 4.0,https://stackoverflow.com/questions/71280168/javascript-typeerror-load-failed-error-when-calling-fetch-on-ios,Javascript &quot;TypeError: Load Failed&quot; error when calling &quot;fetch&quot; on iOS,,,,,
22,"['javascript', 'node.js', 'reactjs', 'express', 'mern']","{'account_id': 22312951, 'reputation': 89, 'user_id': 16536700, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7eac6509b16328a6dc1778682cf3320d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Syed Mazhar', 'link': 'https://stackoverflow.com/users/16536700/syed-mazhar'}",False,14,,,1,1,1668729731,1645982781,71286954,CC BY-SA 4.0,https://stackoverflow.com/questions/71286954/how-does-the-react-know-for-which-request-we-have-to-use-proxy-and-for-which-we,How does the react know for which request we have to use proxy and for which we have to use frontend react server?,,,,,
23,"['javascript', 'node.js', 'express', 'mongoose']","{'account_id': 12304198, 'reputation': 805, 'user_id': 8977748, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6cd9ae17d7b5a0c45312e1aaa5faf7fe?s=256&d=identicon&r=PG&f=1', 'display_name': 'OscarDev', 'link': 'https://stackoverflow.com/users/8977748/oscardev'}",False,13,,,0,0,1668729404,1643773389,70950286,CC BY-SA 4.0,https://stackoverflow.com/questions/70950286/update-with-findoneandupdate-does-not-run,Update with findOneAndUpdate does not run,,1668729404.0,,,
24,"['javascript', 'node.js', 'reactjs', 'http']","{'account_id': 14205110, 'reputation': 207, 'user_id': 10261928, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ebfaba5ef4d148ea41fabb3e5c0c578f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Marko Marchisio', 'link': 'https://stackoverflow.com/users/10261928/marko-marchisio'}",True,5247,,,4,4,1668719105,1643884928,70969837,CC BY-SA 4.0,https://stackoverflow.com/questions/70969837/how-to-download-zip-file-that-i-recieve-from-a-http-response-axios-put-request,How to download .zip file that i recieve from a HTTP response (axios PUT request),72867978.0,,,,
25,"['javascript', 'reactjs']","{'account_id': 14561084, 'reputation': 301, 'user_id': 17848757, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ae3091022f36707a12be9f413345bbfa?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tomaz_', 'link': 'https://stackoverflow.com/users/17848757/tomaz'}",False,352,,,2,1,1668706982,1644058896,70997371,CC BY-SA 4.0,https://stackoverflow.com/questions/70997371/external-link-getting-appended-with-localhost-url,external link getting appended with localhost url,,1644059909.0,,,
26,"['javascript', 'google-apps-script', 'google-sheets', 'google-calendar-api', 'method-signature']","{'account_id': 24168759, 'reputation': 1, 'user_id': 18131126, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJycHO7T32o4wH8EAjmCJCp-DcTQP_4tc3yY-5MUCZ8=k-s256', 'display_name': 'Vanessa Goh', 'link': 'https://stackoverflow.com/users/18131126/vanessa-goh'}",False,793,,,3,0,1668705250,1644113903,71003723,CC BY-SA 4.0,https://stackoverflow.com/questions/71003723/apps-script-google-calendar-api-integration-string-class-error,Apps Script Google Calendar API Integration String Class Error,,,,,
27,"['javascript', 'reactjs', 'next.js']","{'account_id': 24278209, 'reputation': 15, 'user_id': 18225187, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgBf6iYSwGzcEYcV00peguYJfD8EyNdjL3Nghlr=k-s256', 'display_name': 'Nicholas Braveson', 'link': 'https://stackoverflow.com/users/18225187/nicholas-braveson'}",True,1611,,,3,1,1668704260,1645026085,71144867,CC BY-SA 4.0,https://stackoverflow.com/questions/71144867/can-not-add-query-params-to-the-nextjs-dynamic-route,Can not add query params to the nextjs dynamic route,71145245.0,,,,
28,"['javascript', 'node.js', 'express', 'slack', 'slack-api']","{'account_id': 23575001, 'reputation': 33, 'user_id': 17614770, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyMQtKiAbsuH5GVRD8BduhjpSDgQqzJJBzK-9gH=k-s256', 'display_name': 'omkar p', 'link': 'https://stackoverflow.com/users/17614770/omkar-p'}",False,224,,,1,1,1668702980,1644388201,71044925,CC BY-SA 4.0,https://stackoverflow.com/questions/71044925/how-to-respond-to-view-after-submitting-the-view-in-slack-with-bolt-js,How to respond to view after submitting the view in slack with bolt js,,,,,
29,"['javascript', 'reactjs', 'unit-testing', 'testing']","{'account_id': 11634533, 'reputation': 127, 'user_id': 12289678, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/m4Q9U.jpg?s=256&g=1', 'display_name': 'ddaudiosolutions', 'link': 'https://stackoverflow.com/users/12289678/ddaudiosolutions'}",False,2975,,,2,1,1668691513,1644607636,71085591,CC BY-SA 4.0,https://stackoverflow.com/questions/71085591/test-element-in-object-is-empty-with-jest,test element in object is empty with jest,,,,,
30,"['javascript', 'node.js', 'mongodb']","{'account_id': 24023321, 'reputation': 25, 'user_id': 18005286, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgwaMtbTw7H42Inx7rhPC4uGPfBU5DIfhRxuu2X2A=k-s256', 'display_name': 'RainyPlays', 'link': 'https://stackoverflow.com/users/18005286/rainyplays'}",False,453,,,3,0,1668635395,1645380141,71197230,CC BY-SA 4.0,https://stackoverflow.com/questions/71197230/user-create-is-not-a-function-mongodb,User.create is not a function mongodb,,,,,
31,"['javascript', 'bundle', 'vuejs3', 'vite', 'npm-package']","{'account_id': 17761442, 'reputation': 11, 'user_id': 12897356, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0b7a93107aa3ac075a7a9be190744f6b?s=256&d=identicon&r=PG&f=1', 'display_name': 'RocketRick', 'link': 'https://stackoverflow.com/users/12897356/rocketrick'}",False,468,,,0,0,1668608750,1644277892,71026897,CC BY-SA 4.0,https://stackoverflow.com/questions/71026897/vite-bundeled-npm-packaged-dynamic-component-not-rendering,Vite bundeled npm-packaged dynamic component not rendering,,,,,
32,"['javascript', 'reactjs', 'amazon-ec2', 'next.js']","{'account_id': 17880105, 'reputation': 113, 'user_id': 12989130, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/cllg9.jpg?s=256&g=1', 'display_name': 'Jeevan Kumar', 'link': 'https://stackoverflow.com/users/12989130/jeevan-kumar'}",True,481,,,1,3,1668589412,1645606579,71233924,CC BY-SA 4.0,https://stackoverflow.com/questions/71233924/how-to-deploy-adaptive-next-js-website-on-a-single-domain,How to deploy adaptive Next Js website on a single domain?,71234544.0,1646068083.0,,,
33,"['javascript', 'zoho', 'zoho-deluge']","{'account_id': 24363226, 'reputation': 11, 'user_id': 18297297, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjFnRPVljL4aQZflp4AUBX5r9y0yEGsUH8IVz4jlY4=k-s256', 'display_name': 'Vilakshan Bhutani', 'link': 'https://stackoverflow.com/users/18297297/vilakshan-bhutani'}",True,236,,,1,1,1668536972,1645692556,71249316,CC BY-SA 4.0,https://stackoverflow.com/questions/71249316/how-can-we-re-write-the-same-code-as-per-zoho-deluge,How can we re-write the same code as per Zoho deluge?,,1668536972.0,,,
34,"['javascript', 'html']","{'account_id': 12433235, 'reputation': 66, 'user_id': 9054640, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0030b141846765b7d4f113775e867548?s=256&d=identicon&r=PG', 'display_name': 'MILAN SAHANA', 'link': 'https://stackoverflow.com/users/9054640/milan-sahana'}",True,786,,,3,0,1668516922,1644253429,71022441,CC BY-SA 4.0,https://stackoverflow.com/questions/71022441/can-i-send-a-image-to-whatsapp-using-html-hyperlink-a-tag,Can I send a Image to whatsApp using html hyperlink / a tag?,,,,,
35,"['javascript', 'firebase', 'google-cloud-firestore', 'onbeforeunload']","{'account_id': 63830, 'reputation': 52068, 'user_id': 188740, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/c9FDe.jpg?s=256&g=1', 'display_name': 'Johnny Oshika', 'link': 'https://stackoverflow.com/users/188740/johnny-oshika'}",False,130,,,0,2,1668510393,1644595014,71083003,CC BY-SA 4.0,https://stackoverflow.com/questions/71083003/firebase-firestore-globally-detect-when-there-are-pending-writes,Firebase Firestore: globally detect when there are pending writes,,1644597472.0,,,
36,"['javascript', 'reactjs', 'atlassian-plugin-sdk']","{'account_id': 23269246, 'reputation': 55, 'user_id': 17354320, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/74cc4a64538774f9f3881b22593c4095?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jsef bch', 'link': 'https://stackoverflow.com/users/17354320/jsef-bch'}",False,907,,,0,0,1668500308,1644349962,71040079,CC BY-SA 4.0,https://stackoverflow.com/questions/71040079/export-react-table-as-csv,Export react table as csv,,,,,
37,"['javascript', 'utf-8', 'readfile']","{'account_id': 11172229, 'reputation': 980, 'user_id': 8198889, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bbfdf1c6d8fa9b4c8b1d6f5824ee6e76?s=256&d=identicon&r=PG&f=1', 'display_name': 'tsu', 'link': 'https://stackoverflow.com/users/8198889/tsu'}",False,265,,,1,2,1668490679,1643821414,70959747,CC BY-SA 4.0,https://stackoverflow.com/questions/70959747/filereader-readastext-encoding-both-utf-8-and-ansi,FileReader - readAsText encoding both utf-8 and ANSI,,,,,
38,"['javascript', 'regex']","{'account_id': 21201289, 'reputation': 3, 'user_id': 15591892, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/62fa5b8cbf015cbbf09031df17c5cc44?s=256&d=identicon&r=PG&f=1', 'display_name': 'lieberman', 'link': 'https://stackoverflow.com/users/15591892/lieberman'}",True,94,,,2,0,1668443673,1645380119,71197224,CC BY-SA 4.0,https://stackoverflow.com/questions/71197224/a-question-about-a-regex-expression-from-jaden-casing-strings-with-js-a-kata-fr,A question about a regex expression from Jaden Casing Strings with JS (a kata from Codewars),71197360.0,,,,
39,"['javascript', 'testing', 'rust', 'smartcontracts', 'nearprotocol']","{'account_id': 11169513, 'reputation': 33, 'user_id': 18082804, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7c1a638730ff1b6ca3f582041f2dbb0e?s=256&d=identicon&r=PG&f=1', 'display_name': 'user702991', 'link': 'https://stackoverflow.com/users/18082804/user702991'}",True,941,,,3,1,1668410495,1643646990,70929533,CC BY-SA 4.0,https://stackoverflow.com/questions/70929533/executionerrorsmart-contract-panicked-panicked-at-should-be-initialized-bef,ExecutionError&quot;:&quot;Smart contract panicked: panicked at &#39;Should be initialized before usage&#39; error while running test:deploy [NEAR PROTOCOL],,1643707392.0,,,
40,"['javascript', 'node.js', 'reactjs', 'remix.run']","{'account_id': 2843351, 'reputation': 1378, 'user_id': 2442424, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/e7963702ff5e752cad5b2128eee6a85e?s=256&d=identicon&r=PG', 'display_name': 'Xiao Waffles', 'link': 'https://stackoverflow.com/users/2442424/xiao-waffles'}",True,4549,,,1,5,1668410002,1644138382,71005650,CC BY-SA 4.0,https://stackoverflow.com/questions/71005650/handling-ui-state-in-remix-run,Handling UI State in Remix.run,71026364.0,1644244328.0,,,
41,"['javascript', 'caching', 'next.js', 'cdn', 'production']","{'account_id': 7297837, 'reputation': 150, 'user_id': 5561890, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-9C8kajFmGLM/AAAAAAAAAAI/AAAAAAAAADk/7rQCT7Ec10o/photo.jpg?sz=256', 'display_name': 'fedetibaldo', 'link': 'https://stackoverflow.com/users/5561890/fedetibaldo'}",False,532,,,1,0,1668405192,1644418797,71051910,CC BY-SA 4.0,https://stackoverflow.com/questions/71051910/how-to-prevent-statically-generated-pages-from-being-cached-without-opting-into,How to prevent statically generated pages from being cached without opting into ISR in Next.js,,1644440494.0,,,
42,"['javascript', 'node.js', 'firebase', 'firebase-authentication']","{'account_id': 23752799, 'reputation': 33, 'user_id': 17769308, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e4a86767e797e8844fb3b8c1efb392d5?s=256&d=identicon&r=PG', 'display_name': 'fisto1995', 'link': 'https://stackoverflow.com/users/17769308/fisto1995'}",True,1934,,,2,2,1668389950,1644269003,71025571,CC BY-SA 4.0,https://stackoverflow.com/questions/71025571/firebase-sendpasswordresetemail-doesnt-send-email,Firebase sendPasswordResetEmail doesn&#39;t send email,71025861.0,,,,
43,"['javascript', 'reactjs', 'firebase', 'google-cloud-firestore']","{'account_id': 15872243, 'reputation': 817, 'user_id': 15197645, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f70927a5913495a772492008928d5fa2?s=256&d=identicon&r=PG&f=1', 'display_name': 'motionless570', 'link': 'https://stackoverflow.com/users/15197645/motionless570'}",True,2359,,,3,2,1668381778,1644779491,71104009,CC BY-SA 4.0,https://stackoverflow.com/questions/71104009/how-to-count-number-of-documents-in-a-collection-in-firebase-firestore-with-a-wh,How To Count Number of Documents in a Collection in Firebase Firestore With a WHERE query in react.js,71104259.0,,,,
44,"['javascript', 'typescript', 'github', 'testing', 'github-actions']","{'account_id': 9220503, 'reputation': 23, 'user_id': 6850120, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-AI_oh-K5t8c/AAAAAAAAAAI/AAAAAAAAAMc/9riXvEzSL1o/photo.jpg?sz=256', 'display_name': 'Kelvin Kitika', 'link': 'https://stackoverflow.com/users/6850120/kelvin-kitika'}",True,578,,,2,0,1668375611,1643886002,70970086,CC BY-SA 4.0,https://stackoverflow.com/questions/70970086/tests-pass-on-github-actions-but-process-exit-code-1,Tests pass on github actions but process exit code 1,,,,,
45,"['javascript', 'html', 'reactjs']","{'account_id': 21083138, 'reputation': 129, 'user_id': 15496969, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/527e1d674ca16a4fcf0e76ff7fb24eb6?s=256&d=identicon&r=PG&f=1', 'display_name': 'HeyLameRobin', 'link': 'https://stackoverflow.com/users/15496969/heylamerobin'}",True,3364,,,5,2,1668357885,1644550123,71075028,CC BY-SA 4.0,https://stackoverflow.com/questions/71075028/how-to-display-images-using-props-in-react,How to display images using props in react?,71075210.0,,,,
46,"['javascript', 'android', 'ios', 'node.js']","{'account_id': 8188075, 'reputation': 23, 'user_id': 6163273, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/daedebda8fd866af78f22dad2d41422a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mauro Mazzocchetti', 'link': 'https://stackoverflow.com/users/6163273/mauro-mazzocchetti'}",True,660,,,3,0,1668355930,1644419704,71052128,CC BY-SA 4.0,https://stackoverflow.com/questions/71052128/there-is-a-mode-to-run-a-nodejs-backend-on-android,There is a mode to run a nodejs backend on android?,71249419.0,1644426406.0,,,
